ounces,original_index,unique_index
16.0 oz.,137,7
12.0 oz,138,0
12.0 oz,139,0
12.0 oz.,140,1
16.0 ounce,141,6
16.0 oz. Alumi-Tek,142,8
16.0 oz. Silo Can,143,12
12.0 oz.,144,1
12.0 oz,145,0
12.0 oz.,146,1
12.0 oz.,147,1
12.0 ounce,148,2
12.0 OZ.,149,3
16.0 ounce,150,6
16.0 oz.,151,7
16.0 oz,152,9
12.0 oz.,153,1
12.0 oz,154,0
12.0 oz.,155,1
16.0 oz,156,9
12.0 OZ.,157,3
12.0 oz,158,0
12.0 oz.,159,1
12.0 ounce,160,2
12.0 oz.,161,1
12.0 oz.,162,1
12.0 oz.,163,1
12.0 oz.,164,1
12.0 oz,165,0
12.0 ounce,166,2
12.0 oz. Alumi-Tek,167,4
12.0 oz.,168,1
12.0 ounce,169,2
12.0 oz.,170,1
12.0 oz.,171,1
12.0 ounce,172,2
12.0 ounce,173,2
12.0 oz.,174,1
12.0 OZ.,175,3
12.0 oz.,176,1
12.0 ounce,177,2
12.0 ounce,178,2
12.0 oz,179,0
12.0 ounce,180,2
12.0 ounce,181,2
12.0 ounce,182,2
12.0 ounce,183,2
12.0 OZ.,184,3
12.0 OZ.,185,3
12.0 oz,186,0
12.0 oz.,187,1
12.0 oz. Alumi-Tek,188,4
12.0 oz,189,0
12.0 ounce,190,2
16.0 oz,191,9
12.0 oz.,192,1
12.0 oz,193,0
12.0 oz. Alumi-Tek,194,4
12.0 oz.,195,1
12.0 ounce,196,2
12.0 oz.,197,1
12.0 oz,198,0
12.0 ounce,199,2
12.0 oz.,200,1
12.0 oz.,201,1
12.0 oz.,202,1
12.0 oz,203,0
16.0 oz,204,9
12.0 oz,205,0
12.0 oz.,206,1
12.0 ounce,207,2
12.0 oz.,208,1
12.0 oz.,209,1
12.0 OZ.,210,3
12.0 oz,211,0
16.0 ounce,212,6
12.0 OZ.,213,3
12.0 oz. Alumi-Tek,214,4
12.0 oz.,215,1
12.0 ounce,216,2
12.0 oz,217,0
16.0 oz.,218,7
16.0 oz.,219,7
16.0 oz.,220,7
16.0 OZ.,221,10
16.0 oz.,222,7
12.0 oz.,223,1
16.0 ounce,224,6
12.0 oz.,225,1
12.0 OZ.,226,3
12.0 oz.,227,1
12.0 ounce,228,2
12.0 oz.,229,1
12.0 oz.,230,1
12.0 oz.,231,1
12.0 ounce,232,2
12.0 oz,233,0
12.0 oz.,234,1
12.0 oz.,235,1
12.0 oz,236,0
12.0 oz,237,0
12.0 OZ.,238,3
16.0 oz. Alumi-Tek,239,8
12.0 ounce,240,2
16.0 oz.,241,7
16.0 oz,242,9
12.0 ounce,243,2
12.0 OZ.,244,3
12.0 ounce,245,2
16.0 oz.,246,7
16.0 ounce,247,6
12.0 oz.,248,1
16.0 oz.,249,7
12.0 oz.,250,1
12.0 oz.,251,1
12.0 ounce,252,2
12.0 oz,253,0
12.0 oz,254,0
12.0 oz.,255,1
12.0 oz.,256,1
12.0 oz.,257,1
12.0 oz,258,0
12.0 OZ.,259,3
12.0 ounce,260,2
12.0 oz,261,0
12.0 oz,262,0
12.0 oz.,263,1
12.0 oz.,264,1
12.0 ounce,265,2
16.0 oz,266,9
16.0 ounce,267,6
16.0 OZ.,268,10
16.0 oz.,269,7
16.0 oz.,270,7
16.0 ounce,271,6
12.0 oz,272,0
12.0 oz,273,0
12.0 oz.,274,1
16.0 oz,275,9
12.0 oz,276,0
12.0 ounce,277,2
12.0 ounce,278,2
12.0 ounce,279,2
12.0 oz,280,0
12.0 ounce,281,2
12.0 oz.,282,1
12.0 oz,283,0
12.0 oz,284,0
12.0 oz,285,0
12.0 ounce,286,2
12.0 oz. Alumi-Tek,287,4
12.0 OZ.,288,3
12.0 ounce,289,2
12.0 ounce,290,2
12.0 oz,291,0
12.0 ounce,292,2
12.0 ounce,293,2
12.0 oz. Alumi-Tek,294,4
12.0 oz.,295,1
12.0 oz.,296,1
12.0 oz.,297,1
12.0 oz,298,0
12.0 ounce,299,2
12.0 ounce,300,2
12.0 ounce,301,2
12.0 oz.,302,1
12.0 oz.,303,1
12.0 ounce,304,2
12.0 ounce,305,2
12.0 oz.,306,1
12.0 oz.,307,1
12.0 oz,308,0
12.0 oz,309,0
12.0 ounce,310,2
12.0 oz.,311,1
12.0 oz.,312,1
12.0 ounce,313,2
12.0 oz,314,0
12.0 oz.,315,1
12.0 oz.,316,1
12.0 oz.,317,1
12.0 oz,318,0
16.0 oz. Alumi-Tek,319,8
12.0 oz.,320,1
12.0 ounce,321,2
12.0 ounce,322,2
12.0 oz.,323,1
12.0 oz.,324,1
12.0 oz.,325,1
12.0 oz,326,0
12.0 oz. Alumi-Tek,327,4
12.0 oz,328,0
12.0 oz. Alumi-Tek,329,4
12.0 oz.,330,1
16.0 OZ.,331,10
16.0 oz.,332,7
12.0 oz,333,0
12.0 oz.,334,1
12.0 ounce,335,2
16.0 oz.,336,7
16.0 ounce,337,6
12.0 oz.,338,1
16.0 ounce,339,6
12.0 oz. Alumi-Tek,340,4
16.0 oz. Alumi-Tek,341,8
12.0 oz,342,0
12.0 oz,343,0
12.0 oz.,344,1
16.0 oz.,345,7
12.0 oz.,346,1
12.0 oz.,347,1
16.0 ounce,348,6
12.0 ounce,349,2
12.0 oz.,350,1
12.0 ounce,351,2
16.0 oz.,352,7
16.0 ounce,353,6
16.0 oz. Alumi-Tek,354,8
12.0 ounce,355,2
16.0 oz,356,9
12.0 ounce,357,2
12.0 oz.,358,1
16.0 ounce,359,6
12.0 oz.,360,1
12.0 oz,361,0
12.0 oz,362,0
12.0 oz.,363,1
12.0 oz.,364,1
12.0 ounce,365,2
12.0 oz.,366,1
12.0 oz.,367,1
12.0 oz.,368,1
12.0 oz,369,0
12.0 ounce,370,2
12.0 oz.,371,1
12.0 ounce,372,2
12.0 ounce,373,2
12.0 oz.,374,1
12.0 oz,375,0
12.0 oz. Alumi-Tek,376,4
16.0 oz,377,9
12.0 oz.,378,1
12.0 ounce,379,2
12.0 ounce,380,2
12.0 oz,381,0
12.0 oz.,382,1
12.0 oz.,383,1
12.0 oz.,384,1
12.0 oz,385,0
16.0 oz.,386,7
16.0 ounce,387,6
16.0 oz,388,9
16.0 oz.,389,7
16.0 OZ.,390,10
16.0 oz,391,9
16.0 oz.,392,7
16.0 oz,393,9
16.0 oz.,394,7
16.0 oz. Alumi-Tek,395,8
16.0 oz,396,9
16.0 oz.,397,7
16.0 oz,398,9
16.0 ounce,399,6
16.0 oz.,400,7
16.0 OZ.,401,10
16.0 ounce,402,6
16.0 oz.,403,7
16.0 oz.,404,7
16.0 oz.,405,7
16.0 oz. Silo Can,406,12
16.0 oz.,407,7
16.0 oz,408,9
16.0 ounce,409,6
16.0 oz.,410,7
16.0 oz,411,9
16.0 oz,412,9
16.0 oz.,413,7
16.0 oz.,414,7
16.0 oz.,415,7
16.0 oz.,416,7
16.0 oz.,417,7
16.0 ounce,418,6
16.0 oz.,419,7
16.0 oz.,420,7
16.0 oz,421,9
16.0 oz,422,9
16.0 ounce,423,6
16.0 oz,424,9
16.0 oz.,425,7
16.0 oz,426,9
16.0 oz. Alumi-Tek,427,8
16.0 ounce,428,6
16.0 oz.,429,7
16.0 oz,430,9
16.0 ounce,431,6
16.0 ounce,432,6
16.0 oz,433,9
16.0 oz.,434,7
16.0 ounce,435,6
16.0 oz.,436,7
16.0 OZ.,437,10
16.0 oz,438,9
16.0 oz.,439,7
16.0 oz,440,9
16.0 ounce,441,6
16.0 oz.,442,7
16.0 oz.,443,7
16.0 oz,444,9
16.0 oz,445,9
16.0 oz. Alumi-Tek,446,8
16.0 oz.,447,7
16.0 oz.,448,7
16.0 oz,449,9
12.0 oz.,450,1
12.0 oz.,451,1
16.0 oz,452,9
12.0 oz.,453,1
12.0 oz. Alumi-Tek,454,4
12.0 oz.,455,1
12.0 oz.,456,1
16.0 oz,457,9
12.0 ounce,458,2
12.0 oz.,459,1
12.0 OZ.,460,3
16.0 oz.,461,7
12.0 oz. Alumi-Tek,462,4
16.0 oz,463,9
16.0 oz. Alumi-Tek,464,8
16.0 oz.,465,7
16.0 oz,466,9
16.0 oz,467,9
16.0 oz.,468,7
16.0 oz.,469,7
16.0 ounce,470,6
12.0 oz.,471,1
12.0 oz.,472,1
12.0 oz,473,0
16.0 ounce,474,6
16.0 OZ.,475,10
16.0 oz,476,9
24.0 oz.,477,13
12.0 oz,478,0
12.0 ounce,479,2
12.0 oz.,480,1
16.0 oz.,481,7
16.0 ounce,482,6
16.0 oz,483,9
16.0 oz,484,9
16.0 oz,485,9
12.0 oz,486,0
12.0 ounce,487,2
12.0 ounce,488,2
12.0 oz.,489,1
12.0 oz,490,0
12.0 ounce,491,2
12.0 ounce,492,2
12.0 oz. Alumi-Tek,493,4
12.0 oz.,494,1
16.0 oz.,495,7
16.0 oz.,496,7
16.0 oz.,497,7
16.0 ounce,498,6
16.0 oz,499,9
16.0 oz.,500,7
16.0 oz,501,9
16.0 OZ.,502,10
16.0 ounce,503,6
12.0 ounce,504,2
12.0 ounce,505,2
12.0 oz.,506,1
12.0 oz,507,0
12.0 ounce,508,2
12.0 oz,509,0
12.0 OZ.,510,3
12.0 oz,511,0
12.0 ounce,512,2
12.0 oz.,513,1
12.0 ounce,514,2
12.0 oz.,515,1
12.0 oz. Alumi-Tek,516,4
12.0 oz,517,0
12.0 oz.,518,1
12.0 oz.,519,1
12.0 oz,520,0
12.0 ounce,521,2
12.0 oz. Alumi-Tek,522,4
12.0 oz.,523,1
16.0 oz.,524,7
16.0 oz.,525,7
12.0 oz,526,0
12.0 oz.,527,1
12.0 ounce,528,2
16.0 oz.,529,7
16.0 oz.,530,7
12.0 oz,531,0
12.0 ounce,532,2
12.0 oz.,533,1
12.0 ounce,534,2
16.0 OZ.,535,10
12.0 oz.,536,1
12.0 ounce,537,2
12.0 oz.,538,1
12.0 ounce,539,2
12.0 ounce,540,2
12.0 ounce,541,2
12.0 ounce,542,2
12.0 ounce,543,2
12.0 oz,544,0
16.0 oz,545,9
12.0 oz.,546,1
12.0 oz.,547,1
16.0 oz.,548,7
16.0 ounce,549,6
16.0 oz,550,9
12.0 oz.,551,1
16.0 oz.,552,7
16.0 oz,553,9
12.0 oz,554,0
12.0 ounce,555,2
12.0 oz.,556,1
12.0 oz. Alumi-Tek,557,4
12.0 OZ.,558,3
12.0 oz.,559,1
12.0 oz.,560,1
16.0 ounce,561,6
16.0 OZ.,562,10
12.0 oz,563,0
12.0 oz,564,0
16.0 oz.,565,7
16.0 oz.,566,7
16.0 oz,567,9
16.0 oz.,568,7
16.0 oz,569,9
16.0 oz.,570,7
12.0 ounce,571,2
12.0 oz,572,0
12.0 ounce,573,2
12.0 oz. Alumi-Tek,574,4
12.0 ounce,575,2
12.0 OZ.,576,3
16.0 oz,577,9
16.0 oz.,578,7
16.0 oz.,579,7
16.0 oz,580,9
24.0 oz,581,14
12.0 OZ.,582,3
12.0 oz,583,0
12.0 oz,584,0
16.0 oz. Alumi-Tek,585,8
16.0 oz. Alumi-Tek,586,8
16.0 oz.,587,7
16.0 oz.,588,7
16.0 ounce,589,6
16.0 ounce,590,6
16.0 oz,591,9
16.0 oz.,592,7
16.0 ounce,593,6
12.0 oz.,594,1
12.0 oz,595,0
12.0 oz.,596,1
12.0 ounce,597,2
12.0 oz.,598,1
12.0 oz,599,0
12.0 oz.,600,1
12.0 oz,601,0
12.0 oz.,602,1
12.0 oz.,603,1
12.0 oz. Alumi-Tek,604,4
12.0 oz. Silo Can,605,11
12.0 ounce,606,2
12.0 oz. Alumi-Tek,607,4
12.0 oz.,608,1
12.0 ounce,609,2
12.0 oz.,610,1
12.0 oz.,611,1
16.0 oz,612,9
12.0 oz,613,0
12.0 ounce,614,2
12.0 oz,615,0
12.0 oz,616,0
12.0 ounce,617,2
12.0 oz,618,0
12.0 oz.,619,1
12.0 oz,620,0
12.0 oz,621,0
12.0 oz. Alumi-Tek,622,4
12.0 oz.,623,1
12.0 oz,624,0
12.0 oz.,625,1
12.0 oz.,626,1
12.0 oz,627,0
12.0 oz.,628,1
12.0 oz.,629,1
16.0 oz.,630,7
12.0 oz,631,0
16.0 oz,632,9
12.0 oz,633,0
12.0 ounce,634,2
12.0 ounce,635,2
12.0 ounce,636,2
12.0 oz.,637,1
12.0 oz,638,0
16.0 OZ.,639,10
16.0 ounce,640,6
16.0 ounce,641,6
16.0 oz.,642,7
12.0 oz.,643,1
12.0 oz,644,0
12.0 ounce,645,2
12.0 oz.,646,1
12.0 oz,647,0
12.0 ounce,648,2
16.0 oz.,649,7
16.0 oz,650,9
16.0 oz.,651,7
12.0 OZ.,652,3
12.0 oz,653,0
12.0 oz. Alumi-Tek,654,4
12.0 oz.,655,1
12.0 ounce,656,2
12.0 oz.,657,1
12.0 ounce,658,2
12.0 ounce,659,2
12.0 oz.,660,1
12.0 ounce,661,2
12.0 oz.,662,1
12.0 oz.,663,1
12.0 oz,664,0
12.0 OZ.,665,3
12.0 oz,666,0
12.0 oz.,667,1
12.0 oz,668,0
12.0 ounce,669,2
12.0 oz,670,0
12.0 oz.,671,1
16.0 oz.,672,7
16.0 oz,673,9
16.0 oz,674,9
16.0 oz.,675,7
16.0 oz,676,9
16.0 oz.,677,7
12.0 oz,678,0
12.0 oz. Alumi-Tek,679,4
12.0 oz,680,0
12.0 oz,681,0
12.0 oz,682,0
12.0 oz.,683,1
12.0 oz.,684,1
12.0 oz.,685,1
12.0 ounce,686,2
12.0 oz,687,0
16.0 oz.,688,7
16.0 ounce,689,6
16.0 ounce,690,6
12.0 oz.,691,1
12.0 oz,692,0
12.0 oz,693,0
12.0 ounce,694,2
12.0 ounce,695,2
12.0 oz.,696,1
12.0 oz,697,0
12.0 oz,698,0
12.0 oz.,699,1
16.0 oz,700,9
12.0 oz.,701,1
12.0 oz.,702,1
12.0 oz,703,0
12.0 oz,704,0
12.0 oz,705,0
12.0 ounce,706,2
12.0 oz.,707,1
12.0 oz,708,0
12.0 oz,709,0
12.0 oz,710,0
12.0 oz.,711,1
12.0 oz.,712,1
12.0 oz,713,0
12.0 OZ.,714,3
12.0 ounce,715,2
12.0 OZ.,716,3
12.0 oz.,717,1
12.0 oz.,718,1
12.0 ounce,719,2
12.0 oz.,720,1
12.0 OZ.,721,3
16.0 oz.,722,7
16.0 OZ.,723,10
16.0 oz,724,9
16.0 oz,725,9
12.0 oz.,726,1
16.0 ounce,727,6
12.0 OZ.,728,3
16.0 oz. Alumi-Tek,729,8
16.0 oz.,730,7
16.0 ounce,731,6
16.0 oz,732,9
16.0 ounce,733,6
16.0 oz,734,9
12.0 oz,735,0
12.0 oz,736,0
12.0 OZ.,737,3
12.0 ounce,738,2
12.0 oz,739,0
12.0 ounce,740,2
12.0 ounce,741,2
12.0 oz.,742,1
16.0 ounce,743,6
16.0 ounce,744,6
16.0 OZ.,745,10
16.0 oz.,746,7
16.0 ounce,747,6
16.0 ounce,748,6
16.0 oz,749,9
16.0 oz.,750,7
16.0 oz. Silo Can,751,12
12.0 ounce,752,2
16.0 ounce,753,6
12.0 oz. Alumi-Tek,754,4
12.0 oz,755,0
12.0 oz.,756,1
12.0 oz.,757,1
12.0 ounce,758,2
12.0 oz.,759,1
16.0 ounce,760,6
16.0 ounce,761,6
16.0 oz.,762,7
16.0 oz.,763,7
16.0 oz,764,9
16.0 oz,765,9
12.0 oz,766,0
16.0 oz.,767,7
12.0 oz.,768,1
12.0 oz,769,0
12.0 oz.,770,1
12.0 oz.,771,1
12.0 oz.,772,1
12.0 oz,773,0
12.0 oz,774,0
16.0 oz.,775,7
16.0 oz,776,9
16.0 oz.,777,7
16.0 oz.,778,7
16.0 oz,779,9
16.0 ounce,780,6
16.0 ounce,781,6
16.0 oz.,782,7
16.0 OZ.,783,10
16.0 OZ.,784,10
16.0 oz,785,9
16.0 ounce,786,6
12.0 oz.,787,1
16.0 oz.,788,7
16.0 oz.,789,7
16.0 oz.,790,7
12.0 oz.,791,1
12.0 oz.,792,1
12.0 oz.,793,1
16.0 oz.,794,7
16.0 ounce,795,6
16.0 oz.,796,7
16.0 ounce,797,6
16.0 oz.,798,7
16.0 oz. Alumi-Tek,799,8
16.0 ounce,800,6
16.0 ounce,801,6
16.0 oz,802,9
16.0 oz,803,9
12.0 oz,804,0
12.0 oz.,805,1
12.0 oz.,806,1
12.0 oz,807,0
12.0 oz,808,0
16.0 oz.,809,7
16.0 ounce,810,6
16.0 ounce,811,6
12.0 ounce,812,2
16.0 oz,813,9
12.0 ounce,814,2
12.0 oz.,815,1
12.0 oz.,816,1
12.0 ounce,817,2
12.0 oz. Alumi-Tek,818,4
12.0 oz,819,0
12.0 ounce,820,2
12.0 oz,821,0
12.0 oz.,822,1
12.0 oz.,823,1
12.0 oz.,824,1
12.0 ounce,825,2
16.0 oz.,826,7
16.0 oz.,827,7
16.0 oz.,828,7
16.0 ounce,829,6
16.0 oz.,830,7
16.0 oz.,831,7
16.0 oz,832,9
16.0 ounce,833,6
16.0 oz,834,9
16.0 ounce,835,6
12.0 oz.,836,1
12.0 oz.,837,1
12.0 ounce,838,2
12.0 oz,839,0
12.0 oz,840,0
12.0 ounce,841,2
12.0 oz.,842,1
12.0 oz.,843,1
12.0 oz,844,0
12.0 ounce,845,2
12.0 oz,846,0
16.0 oz,847,9
16.0 ounce,848,6
16.0 oz.,849,7
16.0 oz. Alumi-Tek,850,8
12.0 oz. Alumi-Tek,851,4
12.0 oz,852,0
12.0 oz,853,0
12.0 oz.,854,1
12.0 oz.,855,1
12.0 oz,856,0
12.0 oz.,857,1
12.0 oz,858,0
12.0 ounce,859,2
12.0 oz.,860,1
12.0 oz. Alumi-Tek,861,4
12.0 ounce,862,2
12.0 oz.,863,1
12.0 oz. Alumi-Tek,864,4
12.0 ounce,865,2
12.0 oz. Alumi-Tek,866,4
12.0 oz.,867,1
12.0 oz.,868,1
12.0 oz.,869,1
12.0 oz.,870,1
12.0 ounce,871,2
12.0 oz,872,0
12.0 ounce,873,2
12.0 ounce,874,2
12.0 oz,875,0
12.0 ounce,876,2
12.0 oz,877,0
12.0 oz,878,0
12.0 oz.,879,1
12.0 oz,880,0
12.0 oz.,881,1
12.0 oz,882,0
12.0 oz.,883,1
16.0 oz. Alumi-Tek,884,8
12.0 OZ.,885,3
12.0 oz.,886,1
12.0 ounce,887,2
12.0 ounce,888,2
12.0 oz,889,0
16.0 oz,890,9
12.0 OZ.,891,3
16.0 oz.,892,7
16.0 oz.,893,7
16.0 oz,894,9
16.0 oz.,895,7
16.0 ounce,896,6
16.0 oz,897,9
12.0 oz,898,0
16.0 oz,899,9
16.0 oz.,900,7
16.0 oz.,901,7
16.0 oz.,902,7
16.0 oz.,903,7
16.0 ounce,904,6
16.0 ounce,905,6
12.0 ounce,906,2
12.0 oz.,907,1
12.0 oz.,908,1
12.0 oz,909,0
12.0 oz.,910,1
12.0 ounce,911,2
12.0 ounce,912,2
12.0 OZ.,913,3
12.0 oz.,914,1
16.0 oz.,915,7
12.0 oz.,916,1
16.0 oz,917,9
12.0 ounce,918,2
12.0 oz.,919,1
12.0 ounce,920,2
12.0 oz.,921,1
12.0 oz.,922,1
12.0 oz. Silo Can,923,11
12.0 oz.,924,1
12.0 oz.,925,1
12.0 oz.,926,1
12.0 oz.,927,1
16.0 oz.,928,7
16.0 OZ.,929,10
16.0 oz,930,9
16.0 oz.,931,7
16.0 oz,932,9
16.0 oz.,933,7
16.0 oz.,934,7
16.0 oz.,935,7
16.0 OZ.,936,10
16.0 oz.,937,7
16.0 oz.,938,7
16.0 oz.,939,7
16.0 oz,940,9
16.0 oz,941,9
16.0 oz,942,9
16.0 oz.,943,7
16.0 oz,944,9
16.0 oz.,945,7
16.0 oz.,946,7
16.0 oz,947,9
12.0 oz,948,0
12.0 oz,949,0
12.0 oz.,950,1
12.0 ounce,951,2
12.0 oz,952,0
12.0 oz.,953,1
12.0 ounce,954,2
12.0 OZ.,955,3
12.0 oz.,956,1
24.0 oz.,957,13
12.0 ounce,958,2
12.0 ounce,959,2
12.0 oz,960,0
12.0 oz,961,0
16.0 ounce,962,6
12.0 ounce,963,2
12.0 oz.,964,1
12.0 oz.,965,1
16.0 ounce,966,6
16.0 OZ.,967,10
16.0 oz.,968,7
16.0 oz. Alumi-Tek,969,8
16.0 oz.,970,7
16.0 oz.,971,7
16.0 ounce,972,6
16.0 oz,973,9
16.0 oz.,974,7
16.0 oz.,975,7
16.0 oz.,976,7
16.0 oz,977,9
16.0 oz,978,9
12.0 oz.,979,1
12.0 ounce,980,2
12.0 ounce,981,2
16.0 ounce,982,6
12.0 oz,983,0
16.0 oz. Alumi-Tek,984,8
12.0 oz.,985,1
16.0 ounce,986,6
16.0 ounce,987,6
16.0 OZ.,988,10
12.0 oz.,989,1
12.0 oz.,990,1
16.0 oz.,991,7
16.0 ounce,992,6
16.0 ounce,993,6
16.0 ounce,994,6
16.0 ounce,995,6
16.0 OZ.,996,10
16.0 ounce,997,6
12.0 oz,998,0
16.0 oz,999,9
12.0 oz.,1000,1
12.0 oz,1001,0
12.0 ounce,1002,2
16.0 oz.,1003,7
16.0 oz.,1004,7
16.0 oz.,1005,7
16.0 oz,1006,9
16.0 oz,1007,9
16.0 oz.,1008,7
16.0 oz,1009,9
16.0 oz,1010,9
12.0 oz. Alumi-Tek,1011,4
12.0 oz,1012,0
12.0 oz. Alumi-Tek,1013,4
12.0 oz,1014,0
16.0 oz.,1015,7
12.0 oz,1016,0
12.0 ounce,1017,2
12.0 oz,1018,0
12.0 ounce,1019,2
12.0 oz.,1020,1
12.0 oz.,1021,1
12.0 ounce,1022,2
12.0 oz.,1023,1
12.0 oz.,1024,1
12.0 ounce,1025,2
12.0 oz,1026,0
12.0 oz.,1027,1
12.0 OZ.,1028,3
12.0 oz,1029,0
12.0 oz.,1030,1
12.0 oz.,1031,1
12.0 ounce,1032,2
12.0 oz,1033,0
19.2 oz.,1034,15
12.0 ounce,1035,2
19.2 oz,1036,16
16.0 oz.,1037,7
16.0 oz,1038,9
16.0 ounce,1039,6
12.0 oz,1040,0
12.0 oz,1041,0
12.0 OZ.,1042,3
16.0 OZ.,1043,10
16.0 oz,1044,9
16.0 oz,1045,9
12.0 ounce,1046,2
12.0 oz. Alumi-Tek,1047,4
12.0 oz,1048,0
12.0 oz.,1049,1
12.0 ounce,1050,2
16.0 oz. Alumi-Tek,1051,8
16.0 oz.,1052,7
16.0 oz.,1053,7
16.0 oz.,1054,7
16.0 oz,1055,9
16.0 oz.,1056,7
12.0 oz.,1057,1
12.0 ounce,1058,2
12.0 oz,1059,0
12.0 oz,1060,0
12.0 oz.,1061,1
12.0 oz.,1062,1
12.0 oz.,1063,1
12.0 ounce,1064,2
12.0 oz.,1065,1
12.0 oz.,1066,1
12.0 oz.,1067,1
12.0 oz,1068,0
12.0 oz.,1069,1
12.0 oz.,1070,1
12.0 ounce,1071,2
12.0 oz.,1072,1
16.0 oz,1073,9
16.0 oz,1074,9
16.0 ounce,1075,6
16.0 oz.,1076,7
16.0 ounce,1077,6
16.0 ounce,1078,6
16.0 ounce,1079,6
16.0 oz,1080,9
16.0 ounce,1081,6
16.0 oz,1082,9
16.0 oz. Alumi-Tek,1083,8
16.0 oz,1084,9
16.0 oz,1085,9
16.0 oz,1086,9
16.0 oz,1087,9
16.0 oz.,1088,7
16.0 oz.,1089,7
16.0 oz.,1090,7
16.0 oz,1091,9
16.0 ounce,1092,6
16.0 oz,1093,9
16.0 oz,1094,9
16.0 oz.,1095,7
12.0 oz.,1096,1
12.0 oz.,1097,1
16.0 oz.,1098,7
12.0 oz.,1099,1
12.0 oz.,1100,1
12.0 oz,1101,0
12.0 ounce,1102,2
12.0 ounce,1103,2
12.0 oz.,1104,1
12.0 ounce,1105,2
12.0 oz,1106,0
12.0 oz,1107,0
12.0 oz.,1108,1
12.0 oz. Alumi-Tek,1109,4
12.0 oz,1110,0
12.0 oz.,1111,1
12.0 oz.,1112,1
12.0 oz.,1113,1
12.0 oz,1114,0
12.0 oz,1115,0
12.0 oz,1116,0
16.0 oz.,1117,7
16.0 oz,1118,9
12.0 OZ.,1119,3
16.0 oz.,1120,7
12.0 ounce,1121,2
12.0 oz. Alumi-Tek,1122,4
12.0 OZ.,1123,3
12.0 oz.,1124,1
12.0 oz.,1125,1
12.0 ounce,1126,2
12.0 ounce,1127,2
12.0 oz.,1128,1
12.0 oz,1129,0
12.0 ounce,1130,2
