jounral_abbreviation,original_index,unique_index
,332,3
,333,3
Endod Dent Traumatol,334,153
Cardiology in the young,335,154
,336,3
,337,3
Hematol. J.,338,155
,339,3
Int J Geriatr Psychiatry,340,156
Acta neurochirurgica. Supplementum,341,157
,342,3
,343,3
,344,3
,345,3
,346,3
Colorectal Dis,347,104
Allergy Asthma Proc,348,158
,349,3
,350,3
,351,3
,352,3
,353,3
J Anesth,354,159
,355,3
Parkinsonism Relat. Disord.,356,160
,357,3
,358,3
,359,3
Dis. Esophagus,360,161
Annales francaises d'anesthesie et de reanimation,361,162
,362,3
Exp. Cell Res.,363,163
,364,3
Biomed Res Int,365,164
,366,3
,367,3
Injury,368,165
,369,3
,370,3
Ann. Intern. Med.,371,166
,372,3
,373,3
,374,3
Hepatogastroenterology,375,167
,376,3
PloS one,377,15
,378,3
,379,3
Anesth Analg,380,168
Bull. Math. Biol.,381,169
Kekkaku,382,170
,383,3
Br J Sports Med,384,171
Sci. Total Environ.,385,172
,386,3
,387,3
,388,3
The Annals of pharmacotherapy,389,173
Pharmacoeconomics,390,174
Am.J.Epidemiol.,391,175
Cir Pediatr,392,176
,393,3
,394,3
Postgrad Med J,395,177
Minerva Cardioangiol,396,178
Anesth Analg,397,168
,398,3
Neurobiol. Aging,399,179
World journal for pediatric & congenital heart surgery,400,180
Am. J. Vet. Res.,401,181
,402,3
,403,3
Clin Psychol Rev,404,182
,405,3
,406,3
J Plast Reconstr Aesthet Surg,407,183
,408,3
,409,3
,410,3
,411,3
,412,3
,413,3
,414,3
Cancer,415,184
Ann Oncol,416,185
,417,3
Clin Cardiol,418,186
,419,3
,420,3
J. Dent. Res.,421,187
Addict.Behav.,422,188
American journal of perinatology,423,189
,424,3
,425,3
,426,3
Anadolu Kardiyol Derg,427,190
,428,3
,429,3
,430,3
,431,3
,432,3
,433,3
The American journal of clinical nutrition,434,191
,435,3
BMC oral health,436,192
J Cell Sci,437,193
,438,3
,439,3
,440,3
Rev Stomatol Chir Maxillofac Chir Orale,441,194
J Cardiovasc Med (Hagerstown),442,195
,443,3
,444,3
J Clin Hypertens (Greenwich),445,196
Front Hum Neurosci,446,197
,447,3
J Am Med Inform Assoc,448,198
,449,3
J Learn Disabil,450,199
Obes Rev,451,200
Diabetes Technol. Ther.,452,201
Ophthalmol Eye Dis,453,202
,454,3
,455,3
,456,3
Int Urogynecol J,457,203
,458,3
,459,3
Rev Lat Am Enfermagem,460,204
Thromb Haemost,461,205
Public Health Nutr,462,206
,463,3
Journal of pain research,464,207
Journal of clinical microbiology,465,208
,466,3
,467,3
,468,3
,469,3
Health education & behavior : the official publication of the Society for Public Health Education,470,209
J Am Acad Child Adolesc Psychiatry,471,210
Science,472,211
Case Rep.Med.,473,212
Korean J.Anesth.,474,213
Phys Med Biol,475,214
Surgery,476,215
IEEE Trans Nucl Sci,477,216
Int. J. Dev. Biol.,478,217
Scand. Cardiovasc. J.,479,218
"Rheumatology (Oxford, England)",480,219
Pain,481,220
EMERG RADIOL,482,221
AUST NZ J MENT HEALTH NURS,483,222
Tobacco control,484,223
Physiol Res,485,224
Physiotherapy,486,117
,487,3
,488,3
,489,3
,490,3
Eur. Heart J.,491,225
Knee Surg Sports Traumatol Arthrosc,492,30
,493,3
Horumon To Rinsho,494,226
,495,3
,496,3
,497,3
,498,3
Clin Med,499,227
,500,3
,501,3
,502,3
,503,3
,504,3
Scand. J. Rheumatol.,505,228
Adm Policy Ment Health,506,229
Czas Stomatol,507,230
,508,3
,509,3
,510,3
J Korean Neurosurg Soc,511,231
,512,3
,513,3
,514,3
JAMA Otolaryngol Head Neck Surg,515,232
,516,3
J Aerosol Med Pulm Drug Deliv,517,233
,518,3
Chung Hua I Hsueh Tsa Chih,519,234
Can Forces Dent Serv Q,520,235
,521,3
,522,3
,523,3
J. Biol. Chem.,524,236
Chin. Med. J.,525,237
,526,3
,527,3
Environ. Toxicol. Pharmacol.,528,238
,529,3
,530,3
Science,531,211
Neuroscience,532,239
Exp. Neurol.,533,240
,534,3
Paediatr Child Health,535,241
,536,3
,537,3
,538,3
,539,3
AJR Am J Roentgenol,540,242
,541,3
,542,3
,543,3
,544,3
"Rheumatology (Oxford, England)",545,219
,546,3
,547,3
,548,3
Disabil Rehabil,549,243
J Stroke Cerebrovasc Dis,550,17
,551,3
,552,3
The Journal of bone and joint surgery. British volume,553,244
J. Cancer Res. Clin. Oncol.,554,245
Int J Obes (Lond),555,246
,556,3
,557,3
,558,3
"Alcoholism, clinical and experimental research",559,247
Klin.Psikofarmakol.Bul.,560,248
REV ENFERMAGEM UFPE,561,249
,562,3
Br J Psychiatry,563,250
,564,3
Hernia,565,251
Lancet,566,252
,567,3
,568,3
Int Psychogeriatr,569,253
,570,3
,571,3
,572,3
,573,3
Tumour Biol.,574,137
Croat.Med.J.,575,254
Int J Stroke,576,255
Eur. J. Heart Fail.,577,256
Yonsei Med.J.,578,257
,579,3
Can Fam Physician,580,258
Childs Nerv Syst,581,259
,582,3
,583,3
,584,3
Arch Phys Med Rehabil,585,260
Eur J Anaesthesiol,586,261
,587,3
Pharmacogenomics,588,262
Rinsho byori. The Japanese journal of clinical pathology,589,263
Journal of nutrition in gerontology and geriatrics,590,264
,591,3
,592,3
,593,3
,594,3
Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,595,141
Geriatrics & gerontology international,596,265
,597,3
,598,3
,599,3
Vet Clin Pathol,600,266
,601,3
Bull.WHO,602,267
,603,3
Neuropharmacology,604,268
,605,3
Phys Ther,606,269
,607,3
Z Erkr Atmungsorgane Folia Bronchol,608,270
,609,3
Blood Rev.,610,271
"Journal of alternative and complementary medicine (New York, N.Y.)",611,272
Jama,612,273
,613,3
Catheter Cardiovasc Interv,614,274
Nature,615,275
Eur. Respir. J.,616,276
,617,3
Public Health Nurs,618,277
,619,3
,620,3
,621,3
,622,3
,623,3
,624,3
Sleep,625,278
,626,3
J. Dent. Res.,627,187
Ther Adv Respir Dis,628,279
,629,3
,630,3
,631,3
Onkologie,632,280
Rheumatology,633,281
,634,3
Neurological research,635,282
Helicobacter,636,283
,637,3
Aust J Rural Health,638,284
,639,3
J. Med. Chem.,640,285
,641,3
Public Health Nurs,642,277
Circulation,643,286
Acta Derm. Venereol.,644,287
,645,3
Protein Sci.,646,288
Am J Orthod Dentofacial Orthop,647,289
,648,3
Am J Infect Control,649,290
,650,3
Hepatology,651,291
,652,3
Stroke,653,292
Journal of graduate medical education,654,293
,655,3
Nephrol. Dial. Transplant.,656,95
Oral Oncol.,657,294
Stroke,658,292
Curr Drug Targets,659,295
Epilepsy Res.,660,296
,661,3
J. Heart Valve Dis.,662,297
PloS one,663,15
Acad Radiol,664,298
,665,3
Chin.J.Evid.-Based Med.,666,299
,667,3
Cases journal,668,300
,669,3
,670,3
,671,3
,672,3
Environ Monit Assess,673,301
Acta neurologica Scandinavica,674,302
,675,3
,676,3
,677,3
,678,3
,679,3
,680,3
,681,3
,682,3
Infect. Immun.,683,303
,684,3
Photomed Laser Surg,685,304
,686,3
The Journal of bone and joint surgery. American volume,687,305
Oral Surg Oral Med Oral Pathol Oral Radiol Endod,688,306
,689,3
Clin Radiol,690,307
,691,3
,692,3
Blood Press Monit,693,308
Psicothema,694,309
,695,3
Journal of analytical toxicology,696,310
,697,3
,698,3
,699,3
,700,3
Respirology,701,311
,702,3
,703,3
Biomed Res Int,704,164
Journal of applied physiology,705,312
Ann. Med.,706,313
Eur J Clin Nutr,707,314
J Pers Soc Psychol,708,315
The Journal of hand surgery,709,316
Physiother. Theory Pract.,710,317
,711,3
BMC Neurol,712,318
,713,3
,714,3
Pharm Pract (Granada),715,319
NeuroRehabilitation,716,320
Microsurgery,717,321
Int.J.Neurosci.,718,322
BJOG : an international journal of obstetrics and gynaecology,719,323
,720,3
Jornal de pediatria,721,324
,722,3
Mol. Plant Pathol.,723,325
,724,3
,725,3
,726,3
,727,3
Bioelectromagnetics,728,326
,729,3
,730,3
Occup Environ Med,731,327
,732,3
,733,3
,734,3
,735,3
J Addict Dis,736,328
Psychosom Med,737,329
,738,3
The Journal of hospital infection,739,330
,740,3
,741,3
,742,3
,743,3
,744,3
Circulation,745,286
Annals of the rheumatic diseases,746,331
,747,3
Hawai'i journal of medicine & public health : a journal of Asia Pacific Medicine & Public Health,748,332
Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,749,333
,750,3
Diabetes Forecast,751,334
,752,3
Biomed Rep,753,335
[Nihon koshu eisei zasshi] Japanese journal of public health,754,336
American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,755,337
Oncol Nurs Forum,756,338
,757,3
Nursing standard (Royal College of Nursing (Great Britain) : 1987),758,339
,759,3
,760,3
,761,3
,762,3
,763,3
Headache,764,340
,765,3
,766,3
,767,3
Circ. J.,768,341
PloS one,769,15
,770,3
,771,3
J. Natl. Cancer Inst.,772,89
AIDS,773,342
Oral Surg. Oral Med. Oral Pathol.,774,343
Archives of internal medicine,775,344
,776,3
,777,3
,778,3
Oper Dent,779,345
Movement disorders : official journal of the Movement Disorder Society,780,346
Psychol Assess,781,347
,782,3
,783,3
,784,3
,785,3
,786,3
Stomatologiia (Mosk),787,348
BMC Med,788,349
,789,3
Oral Surg Oral Med Oral Pathol Oral Radiol,790,350
J Cardiovasc Med (Hagerstown),791,195
,792,3
,793,3
Appl Radiat Isot,794,351
J Clin Epidemiol,795,352
,796,3
The Journal of hand surgery,797,316
,798,3
Eur J Prev Cardiol,799,353
J. Natl. Cancer Inst.,800,89
,801,3
,802,3
,803,3
,804,3
,805,3
Angew. Chem. Int. Ed. Engl.,806,354
Cardiol Young,807,124
,808,3
,809,3
,810,3
,811,3
,812,3
Acta Clin Belg,813,355
,814,3
,815,3
,816,3
Acta Endocrinol Suppl (Copenh),817,356
,818,3
,819,3
,820,3
Obesity (Silver Spring),821,84
,822,3
JAMA Intern Med,823,357
J. Hypertens.,824,358
Thorax,825,359
,826,3
J Am Geriatr Soc,827,360
,828,3
World J Pediatr Congenit Heart Surg,829,361
,830,3
,831,3
,832,3
Am. J. Med.,833,362
Intensive Care Med,834,363
,835,3
J. Bone Miner. Res.,836,364
Pediatr Allergy Immunol,837,365
Shock,838,366
,839,3
,840,3
N. Engl. J. Med.,841,367
Foot & ankle international,842,368
,843,3
,844,3
,845,3
"International journal of surgery (London, England)",846,369
,847,3
Annals of the rheumatic diseases,848,331
,849,3
,850,3
,851,3
Circulation,852,286
Hum. Gene Ther.,853,370
Respiration,854,18
,855,3
,856,3
Circulation,857,286
,858,3
,859,3
,860,3
Oral Dis,861,371
,862,3
,863,3
,864,3
Pediatrics,865,372
,866,3
Cancer Chemother. Pharmacol.,867,55
,868,3
,869,3
,870,3
,871,3
Behav Brain Sci,872,373
,873,3
Arch. Gynecol. Obstet.,874,374
,875,3
,876,3
,877,3
Psychol Med,878,375
,879,3
Nepal Med Coll J,880,39
,881,3
,882,3
,883,3
,884,3
,885,3
,886,3
Catheter Cardiovasc Interv,887,274
PloS one,888,15
,889,3
,890,3
The Journal of hand surgery,891,316
,892,3
Eur. Respir. J.,893,276
,894,3
Science and engineering ethics,895,376
Br J Clin Pharmacol,896,377
,897,3
,898,3
Clin. Infect. Dis.,899,378
,900,3
,901,3
Rev Endocr Metab Disord,902,379
Auton.Neurosc.Basic Clin.,903,380
Chest,904,381
,905,3
,906,3
J ECT,907,382
Integr. Physiol. Behav. Sci.,908,383
Cancer,909,184
Proc.Natl.Acad.Sci.U.S.A.,910,384
,911,3
,912,3
Eur J Radiol,913,385
Psychooncology,914,56
Bioelectromagnetics,915,326
,916,3
J. Am. Coll. Cardiol.,917,386
Anaesthesia,918,387
JAMA Neurol,919,388
Pediatr Med Chir,920,389
,921,3
,922,3
,923,3
Eur J Anaesthesiol,924,261
,925,3
,926,3
,927,3
,928,3
Neurosurg,929,390
Int J Med Inform,930,391
J. Clin. Oncol.,931,12
,932,3
,933,3
,934,3
JRSM Open,935,392
"American journal of critical care : an official publication, American Association of Critical-Care Nurses",936,393
The Journal of surgical research,937,394
"Clinical nutrition (Edinburgh, Scotland)",938,395
,939,3
,940,3
Techniques in coloproctology,941,396
,942,3
,943,3
J Environ Monit,944,397
,945,3
,946,3
,947,3
,948,3
,949,3
PLoS ONE,950,398
,951,3
,952,3
Int J Obes (Lond),953,246
,954,3
,955,3
,956,3
Curr. Opin. Pediatr.,957,399
Ann. Intern. Med.,958,166
Eur. J. Pediatr.,959,400
,960,3
Phytother Res,961,401
,962,3
Curr.Opin.Infect.Dis.,963,402
Brain Behav,964,403
J. Nucl. Med.,965,404
Laryngorhinootologie,966,405
J Health Care Poor Underserved,967,406
Acta Paediatr Scand Suppl,968,407
,969,3
,970,3
J Cell Biol,971,408
,972,3
Planta,973,409
Surg Infect (Larchmt),974,410
Steroids,975,411
,976,3
J. Antimicrob. Chemother.,977,412
,978,3
Endocrinology,979,107
,980,3
Clinical obstetrics and gynecology,981,413
International journal of epidemiology,982,414
The American journal of clinical nutrition,983,191
Biol.Blood Marrow Transplant.,984,415
Br.J.Anaesth.,985,416
,986,3
Journal of human hypertension,987,417
,988,3
Acta Radiol,989,418
The American journal of clinical nutrition,990,191
Am. J. Respir. Crit. Care Med.,991,419
Tumour Biol.,992,137
,993,3
Burns,994,420
The American review of respiratory disease,995,421
,996,3
Female Pelvic Med Reconstr Surg,997,422
,998,3
,999,3
