Address3,MeasureName,original_index,unique_index
empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,33,22
empty,pneumonia patients given the most appropriate initial antibiotic(s),34,23
empty,pneumonia patients assessed and given influenza vaccination,35,24
empty,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,36,25
empty,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,37,1
empty,surgery patients who were given the  right kind  of antibiotic to help prevent infection,38,2
empty,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),39,3
empty,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,40,4
empty,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),41,5
empty,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,42,6
empty,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,43,7
empty,heart attack patients given aspirin at arrival,44,8
empty,heart attack patients given aspirin at discharge,45,9
empty,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),46,10
empty,heart attack patients given smoking cessation advice/counseling,47,11
empty,heart attack patients given beta blocker at discharge,48,12
empty,heart attack patients given fibrinolytic medication within 30 minutes of arrival,49,13
empty,heart attack patients given pci within 90 minutes of arrival,50,14
empty,heart failure patients given discharge instructions,51,15
empty,heart failure patients given an evaluation of left ventricular systolic (lvs) function,52,16
empty,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),53,17
empty,heart failure patients given smoking cessation advice/counseling,54,18
empty,pneumonia patients assessed and given pneumococcal vaccination,55,19
empty,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,56,20
empty,pneumonia patients given smoking cessation advice/counseling,57,21
empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,58,22
empty,pneumonia patients given the most appropriate initial antibiotic(s),59,23
empty,pneumonia patients assessed and given influenza vaccination,60,24
empty,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,61,25
empty,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,62,1
empty,surgery patients who were given the  right kind  of antibiotic to help prevent infection,63,2
empty,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),64,3
empty,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,65,4
empty,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),66,5
empty,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,67,6
empty,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,68,7
empty,heart attack patients given aspirin at arrival,69,8
empty,heart attack patients given aspirin at discharge,70,9
empty,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),71,10
empty,heart attack patients given smoking cessation advice/counseling,72,11
empty,heart attack patients given beta blocker at discharge,73,12
empty,heart attack patients given fibrinolytic medication within 30 minutes of arrival,74,13
empty,heart attack patients given pci within 90 minutes of arrival,75,14
empty,heart failure patients given discharge instructions,76,15
empty,heart failure patients given an evaluation of left ventricular systolic (lvs) function,77,16
empty,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78,17
empty,heart failure patients given smoking cessation advice/counseling,79,18
empty,pneumonia patients assessed and given pneumococcal vaccination,80,19
empty,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,81,20
empty,pneumonia patients given smoking cessation advice/counseling,82,21
empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,83,22
empty,pneumonia patients given the most appropriate initial antibiotic(s),84,23
empty,pneumonia patients assessed and given influenza vaccination,85,24
empty,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,86,25
empty,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,87,1
empty,surgery patients who were given the  right kind  of antibiotic to help prevent infection,88,2
empty,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),89,3
empty,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,90,4
empty,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),91,5
empty,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,92,6
empty,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,93,7
empty,xeart attack patients given aspirin at arrival,94,26
empty,heart attack patients given aspirin at discharge,95,9
empty,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96,10
empty,heart attack patients given smoking cessation advice/counseling,97,11
empty,heart attack patients given beta blocker at discharge,98,12
empty,heart attack patients given fibrinolytic medication within 30 minutes of arrival,99,13
empty,heart attack patients given pci within 90 minutes of arrival,100,14
empty,heart failure patients given discharge instructions,101,15
empty,heart failure patients given an evaluation of left ventricular systolic (lvs) function,102,16
empty,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),103,17
empty,heart failure patients given smoking cessation advice/counseling,104,18
empty,pneumonia patients assessed and given pneumococcal vaccination,105,19
empty,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,106,20
empty,pneumonia patients given smoking cessation advice/counseling,107,21
empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,108,22
empty,pneumonia patients given the most appropriate initial antibiotic(s),109,23
empty,pneumonia patients assessed and given influenza vaccination,110,24
empty,surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery,111,27
empty,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,112,1
empty,surgery patients who were given the  right kind  of antibiotic to help prevent infection,113,2
empty,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),114,3
empty,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,115,4
empty,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),116,5
empty,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,117,6
empty,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,118,7
empty,heart attack patients given aspirin at arrivax,119,28
empty,heart attack patients given aspirin at discharge,120,9
empty,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),121,10
empty,heart attack patients given smoking cessation advice/counseling,122,11
empty,heart attack patients given beta blocker at discharge,123,12
empty,heart attack patients given fibrinolytic medication within 30 minutes of arrival,124,13
empty,heart attack patients given pci within 90 minutes of arrival,125,14
empty,heart failure patients given discharge instructions,126,15
empty,heart failure patients given an evaluation of left ventricular systolic (lvs) function,127,16
empty,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),128,17
empty,heart failure patients given smoking cessation advice/counseling,129,18
empty,pneumonia patients assessed and given pneumococcal vaccination,130,19
empty,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,131,20
empty,pneumonia patients given smoking cessation advice/counseling,132,21
empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,133,22
empty,pneumonia patients given the most appropriate initial antibiotic(s),134,23
empty,pneumonia patients assessed and given influenza vaccination,135,24
empty,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,136,25
empty,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,137,1
empty,surgery patients who were given the  right kind  of antibiotic to help prevent infection,138,2
empty,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),139,3
empty,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,140,4
empty,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),141,5
empty,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,142,6
empty,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,143,7
empty,heart attack patients given aspirin at arrival,144,8
empty,heart attaxk patients given aspirin at disxharge,145,29
empty,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),146,10
empty,heart attack patients given smoking cessation advice/counseling,147,11
empty,heart attack patients given beta blocker at discharge,148,12
empty,heart attack patients given fibrinolytic medication within 30 minutes of arrival,149,13
empty,heart attack patients given pci within 90 minutes of arrival,150,14
empty,heart failure patients given discharge instructions,151,15
empty,heart failure patients given an evaluation of left ventricular systolic (lvs) function,152,16
empty,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),153,17
empty,heart failure patients given smoking cessation advice/counseling,154,18
empty,pneumonia patients assessed and given pneumococcal vaccination,155,19
empty,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,156,20
empty,pneumonia patients given smoking cessation advice/counseling,157,21
empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,158,22
empty,pneumonia patients given the most appropriate initial antibiotic(s),159,23
empty,pneumonia patients assessed and given influenza vaccination,160,24
empty,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,161,25
empty,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,162,1
empty,surgery patients who were given the  right kind  of antibiotic to help prevent infection,163,2
empty,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),164,3
empty,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,165,4
empty,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),166,5
empty,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,167,6
empty,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,168,7
empty,heart attack patients given aspirin at arrival,169,8
empty,heart attack patients given aspirin at discharge,170,9
empty,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),171,10
empty,heart attack patients given smoking cessation advice/counseling,172,11
empty,heart attack patients given beta blocker at discharge,173,12
empty,heart attack patients given fibrinolytic medication within 30 minutes of arrival,174,13
empty,heart attack patients given pci within 90 minutes of arrival,175,14
empty,heart failure patients given discharge instructions,176,15
empty,heart failure patients given an evaluation of left ventricular systolic (lvs) function,177,16
empty,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),178,17
empty,heart failure patients given smoking cessation advice/counseling,179,18
empty,pneumonia patients assessed and given pneumococcal vaccination,180,19
empty,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,181,20
empty,pneumonia patients given smoking cessation advice/counseling,182,21
empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,183,22
empty,pneumonia patients given the most appropriate initial antibiotic(s),184,23
empty,pneumonia patients assessed and given influenza vaccination,185,24
empty,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,186,25
empty,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,187,1
empty,surgery patients who were given the  right kind  of antibiotic to help prevent infection,188,2
empty,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),189,3
empty,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,190,4
empty,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),191,5
empty,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,192,6
empty,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,193,7
empty,heart attack patients given aspirin at arrival,194,8
empty,heart attack patients given aspirin at discharge,195,9
empty,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),196,10
empty,heart attack patients given smoking cessation advice/counseling,197,11
empty,heart attack patients given beta blocker at discharge,198,12
empty,heart attack patients given fibrinolytic medication within 30 minutes of arrival,199,13
empty,heart attack patients given pci within 90 minutes of arrival,200,14
empty,heart failure patients given discharge instructions,201,15
empty,heart failure patients given an evaluation of left ventricular systolic (lvs) function,202,16
empty,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),203,17
empty,heart failure patients given smoking cessation advice/counseling,204,18
empty,pneumonia patients assessed and given pneumococcal vaccination,205,19
empty,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,206,20
empty,pneumonia patients given smoking cessation advice/counseling,207,21
empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,208,22
empty,pneumonia patients given the most appropriate initial antibiotic(s),209,23
empty,pneumoniaxpatientsxassessedxandxgivenxinfluenzaxvaccination,210,30
empty,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,211,25
empty,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,212,1
empty,surgery patients who were given the  right kind  of antibiotic to help prevent infection,213,2
empty,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),214,3
empty,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,215,4
empty,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),216,5
empty,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,217,6
empty,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,218,7
empty,heartxattackxpatientsxgivenxaspirinxatxarrival,219,31
empty,heart attack patients given aspirin at discharge,220,9
empty,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),221,10
empty,heart attack patients given smoking cessation advice/counseling,222,11
empty,heart attack patients given beta blocker at discharge,223,12
empty,heart attack patients given fibrinolytic medication within 30 minutes of arrival,224,13
empty,heart attack patients given pci within 90 minutes of arrival,225,14
empty,heart failure patients given discharge instructions,226,15
empty,heart failure patients given an evaluation of left ventricular systolic (lvs) function,227,16
empty,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),228,17
empty,heart failure patients given smoking cessation advice/counseling,229,18
empty,pneumonia patients assessed and given pneumococcal vaccination,230,19
empty,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,231,20
empty,pneumonia patients given smoking cessation advice/counseling,232,21
empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,233,22
empty,pneumonia patients given the most appropriate initial antibiotic(s),234,23
empty,pneumonia patients assessed and given influenza vaccination,235,24
empty,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,236,25
empty,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,237,1
empty,surgery patients who were given the  right kind  of antibiotic to help prevent infection,238,2
empty,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),239,3
empty,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,240,4
empty,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),241,5
empty,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,242,6
empty,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,243,7
empty,heart attack patients given aspirin at arrival,244,8
empty,heart attack patients given aspirin at discharge,245,9
empty,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),246,10
empty,heart attack patients given smoking cessation advice/counseling,247,11
empty,heart attack patients given beta blocker at discharge,248,12
empty,heart attack patients given fibrinolytic medication within 30 minutes of arrival,249,13
empty,heart attack patients given pci within 90 minutes of arrival,250,14
empty,heart failure patients given discharge instructions,251,15
empty,heart failure patients given an evaluation of left ventricular systolic (lvs) function,252,16
empty,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),253,17
empty,heart failure patients given smoking cessation advice/counseling,254,18
empty,pneumonia patients assessed and given pneumococcal vaccination,255,19
empty,pneumonxa patxents whose inxtxal emergency room blood culture was performed prxor to the admxnxstratxon of the fxrst hospxtal dose of antxbxotxcs,256,32
empty,pneumonia patients given smoking cessation advice/counseling,257,21
empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,258,22
empty,pneumonia patients given the most appropriate initial antibiotic(s),259,23
empty,pneumonia patients assessed and given influenza vaccination,260,24
empty,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,261,25
empty,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,262,1
empty,surgery patients who were given the  right kind  of antibiotic to help prevent infection,263,2
empty,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),264,3
empty,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,265,4
empty,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),266,5
empty,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,267,6
empty,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,268,7
empty,heart attack patients given aspirin at arrival,269,8
empty,heart attack patients given aspirin at discharge,270,9
empty,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),271,10
empty,heart attack patients given smoking cessation advice/counseling,272,11
empty,heart attack patients given beta blocker at discharge,273,12
empty,heart attack patients given fibrinolytic medication within 30 minutes of arrival,274,13
empty,heart attack patients given pci within 90 minutes of arrival,275,14
empty,heart failure patients given discharge instructions,276,15
empty,heart failure patients given an evaluation of left ventricular systolic (lvs) function,277,16
empty,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),278,17
empty,heart failure patients given smoking cessation advice/counseling,279,18
empty,pneumonia patients assessed and given pneumococcal vaccination,280,19
empty,pnxumonia patixnts whosx initial emxrgxncy room blood culturx was pxrformxd prior to thx administration of thx first hospital dosx of antibiotics,281,33
empty,pneumonia patients given smoking cessation advice/counseling,282,21
empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,283,22
empty,pneumonia patients given the most appropriate initial antibiotic(s),284,23
empty,pneumonia patients assessed and given influenza vaccination,285,24
empty,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,286,25
empty,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,287,1
empty,surgery patients who were given the  right kind  of antibiotic to help prevent infection,288,2
empty,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),289,3
empty,all heart surgerx patients whose blood sugar (blood glucose) is kept under good control in the daxs right after surgerx,290,34
empty,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),291,5
empty,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,292,6
empty,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,293,7
empty,heart attack patients given aspirin at arrival,294,8
empty,heart attack patients given aspirin at discharge,295,9
empty,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),296,10
empty,heart attack patients given smoking cessation advice/counseling,297,11
empty,heart attack patients given beta blocker at discharge,298,12
empty,heart attack patients given fibrinolytic medication within 30 minutes of arrival,299,13
empty,heart attack patients given pci within 90 minutes of arrival,300,14
empty,heart failure patients given discharge instructions,301,15
empty,heart failure patients given an evaluation of left ventricular systolic (lvs) function,302,16
empty,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),303,17
empty,heart failure patients given smoking cessation advice/counseling,304,18
empty,pneumonia patients assessed and given pneumococcal vaccination,305,19
empty,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,306,20
empty,pneumonia patients given smoking cessation advice/counseling,307,21
empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,308,22
empty,pneumonia patients given the most appropriate initial antibiotic(s),309,23
empty,pneumonia patients assessed and given influenza vaccination,310,24
empty,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,311,35
empty,children and their caregivers who received a home management plan of care document while hospitalized for asthma,312,36
empty,heart attack patients given aspirin at arrival,313,8
empty,heart attack patients given aspirin at discharge,314,9
empty,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),315,10
empty,heart attack patients given smoking cessation advice/counseling,316,11
empty,heart attack patients given beta blocker at discharge,317,12
empty,heart attack patients given fibrinolytic medication within 30 minutes of arrival,318,13
empty,heart attack patients given pci within 90 minutes of arrival,319,14
empty,heart failure patients given discharge instructions,320,15
empty,heart failure patients given an evaluation of left ventricular systolic (lvs) function,321,16
empty,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),322,17
empty,heart failure patients given smoking cessation advice/counseling,323,18
empty,pneumonia patients assessed and given pneumococcal vaccination,324,19
empty,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,325,20
empty,pneumonia patients given smoking cessation advice/counseling,326,21
empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,327,22
empty,pneumonia patients given the most appropriate initial antibiotic(s),328,23
empty,pneumonia patients assessed and given influenza vaccination,329,24
empty,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,330,25
empty,heart failure patients given an evaluation of left ventricular systolic (lvs) function,331,16
empty,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),332,17
empty,heart failure patients given smoking cessation advice/counseling,333,18
empty,pneumonia patients assessed and given pneumococcal vaccination,334,19
empty,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,335,20
empty,pneumonia patients given smoking cessation advice/counseling,336,21
empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,337,22
empty,pneumonia patients given the most appropriate initial antibiotic(s),338,23
empty,pneumonia patients assessed and given influenza vaccination,339,24
empty,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,340,25
empty,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,341,1
empty,surgery patients who were given the  right kind  of antibiotic to help prevent infection,342,2
empty,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),343,3
empty,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,344,4
empty,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),345,5
empty,surgery pxtients whose doctors ordered trextments to prevent blood clots xfter certxin types of surgeries,346,37
empty,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,347,7
empty,heart attack patients given aspirin at arrival,348,8
empty,heart attack patients given aspirin at discharge,349,9
empty,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),350,10
empty,heart attack patients given smoking cessation advice/counseling,351,11
empty,heart attack patients given beta blocker at discharge,352,12
empty,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,353,7
empty,heart attack patients given aspirin at arrival,354,8
empty,heart attack patients given aspirin at discharge,355,9
empty,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),356,10
empty,heart attack patients given smoking cessation advice/counseling,357,11
empty,heart attack patients given beta blocker at discharge,358,12
empty,heart attack patients given fibrinolytic medication within 30 minutes of arrival,359,13
empty,heart attack patients given pci within 90 minutes of arrival,360,14
empty,heart failure patients given discharge instructions,361,15
empty,heart failure patients given an evaluation of left ventricular systolic (lvs) function,362,16
empty,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),363,17
empty,heart failure patients given smoking cessation advice/counseling,364,18
empty,pneumonia patients assessed and given pneumococcal vaccination,365,19
empty,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,366,20
empty,pneumonia patients given smoking cessation advice/counseling,367,21
empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,368,22
empty,pneumonia patients given the most appropriate initial antibiotic(s),369,23
empty,pneumonia patients assessed and given influenza vaccination,370,24
empty,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,371,25
empty,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,372,1
empty,surgery patients who were given the  right kind  of antibiotic to help prevent infection,373,2
empty,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),374,3
empty,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,375,4
empty,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),376,5
empty,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,377,6
empty,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,378,7
empty,heart attack patients given aspirin at arrival,379,8
empty,heaxt attack patients given aspixin at dischaxge,380,38
empty,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),381,10
empty,heart attack patients given smoking cessation advice/counseling,382,11
empty,heart attack patients given beta blocker at discharge,383,12
empty,heart attack patients given fibrinolytic medication within 30 minutes of arrival,384,13
empty,heart attack patients given pci within 90 minutes of arrival,385,14
