ProviderNumber,Score,original_index,unique_index
10008,empty,124,76
10008,empty,125,76
10008,4%,126,77
10008,72%,127,78
10008,75%,128,79
10008,0%,129,74
10008,25%,130,80
10008,93%,131,81
10008,33%,132,82
10008,95%,133,83
10008,62%,134,84
10008,47%,135,85
10008,100%,136,86
10008,100%,137,86
10008,100%,138,86
10008,100%,139,86
10008,empty,140,76
10008,100%,141,86
10008,100%,142,86
10008,100%,143,86
10009,100%,144,87
10009,100%,145,87
10009,100%,146,87
10009,100%,147,87
10009,100%,148,87
10009,empty,149,88
10009,empty,150,88
10009,97%,151,89
10009,98%,152,90
10009,100%,153,87
10009,100%,154,87
10009,98%,155,90
10009,100%,156,87
10009,100%,157,87
10009,9x%,158,91
10009,100%,159,87
10009,97%,160,89
10009,67%,161,92
10009,100%,162,87
10009,x7%,163,93
10009,80%,164,94
10009,empty,165,88
10009,100%,166,87
10009,78%,167,95
10009,78%,168,95
10010,100%,169,96
10010,100%,170,96
10010,50%,171,97
10010,100%,172,96
10010,83%,173,98
10010,empty,174,99
10010,empty,175,99
10010,93%,176,100
10010,84%,177,101
10010,78%,178,102
10010,100%,179,96
10010,87%,180,103
10010,94%,181,104
10010,94%,182,104
10010,97%,183,105
10010,93%,184,100
10010,90%,185,106
10010,86%,186,107
10010,95x,187,108
10010,91%,188,109
10010,100%,189,96
10010,empty,190,99
10010,100%,191,96
10010,86%,192,107
10010,84%,193,101
10011,99%,194,110
10011,96%,195,111
10011,91%,196,112
10011,100%,197,113
10011,99%,198,110
10011,empty,199,114
10011,85%,200,115
10011,94%,201,116
10011,98%,202,117
10011,98%,203,117
10011,100%,204,113
10011,87%,205,118
10011,96%,206,111
10011,100%,207,113
10011,x5%,208,119
10011,91%,209,112
10011,85%,210,115
10011,83%,211,120
10011,97%,212,121
x00xx,98%,213,122
10011,81%,214,123
10011,60%,215,124
10011,100%,216,113
10011,89%,217,125
10011,83%,218,120
10012,100%,219,126
10012,95%,220,127
10012,91%,221,128
10012,100%,222,126
10012,95%,223,127
10012,100%,224,126
10012,40%,225,129
10012,89%,226,130
10012,100%,227,126
10012,94%,228,131
10012,100%,229,126
10012,97%,230,132
10012,93%,231,133
10012,100%,232,126
10012,99%,233,134
10012,88%,234,135
10012,98%,235,136
10012,100%,236,126
10012,9x%,237,137
10012,xx%,238,138
10012,98%,239,136
10012,empty,240,139
10012,100%,241,126
10012,97%,242,132
10012,97%,243,132
x00x5,empty,244,140
10015,empty,245,141
10015,empty,246,141
10015,empty,247,141
10015,empty,248,141
10015,empty,249,141
10015,empty,250,141
10015,100%,251,142
10015,89x,252,143
1xx15,88%,253,144
10015,88%,254,145
10015,92%,255,146
10015,x6%,256,147
10015,100%,257,142
10015,96%,258,148
10015,100%,259,142
10015,92%,260,146
10015,empty,261,141
10015,86%,262,149
10015,93%,263,150
10015,86%,264,149
10015,empty,265,141
10015,100%,266,142
10015,90%,267,151
10015,90%,268,151
10016,99%,269,152
10016,97%,270,153
10016,100%,271,154
10016,100%,272,154
1xx16,97%,273,155
10016,empty,274,156
10016,83%,275,157
10016,86%,276,158
10016,100%,277,154
10016,97%,278,153
10016,100%,279,154
10016,97%,280,153
10016,100%,281,154
10016,100%,282,154
10016,96%,283,159
10016,93%,284,160
10016,92%,285,161
10016,89%,286,162
10016,98%,287,163
10016,99%,288,152
10016,91%,289,164
10016,93%,290,160
10016,100%,291,154
10016,97%,292,153
10016,94%,293,165
10018,empty,294,0
10018,empty,295,0
10018,empty,296,0
10018,empty,297,0
10018,empty,298,0
10018,empty,299,0
10018,empty,300,0
10018,empty,301,0
10018,empty,302,0
10018,empty,303,0
10018,empty,304,0
10018,empty,305,0
10018,empty,306,0
10018,empty,307,0
10018,empty,308,0
10018,empty,309,0
10018,empty,310,0
10038,100%,311,166
10038,33%,312,167
10038,98%,313,168
100x8,96%,314,169
10038,93%,315,170
10038,100%,316,166
10038,93%,317,170
10038,0%,318,171
10038,87%,319,172
10038,87%,320,172
10038,100%,321,166
10038,90%,322,173
10038,100%,323,166
10038,97%,324,174
10038,100%,325,166
10038,100%,326,166
10038,97%,327,174
10038,92%,328,175
10038,91%,329,176
10038,83%,330,177
10055,100%,331,178
10055,100%,332,178
10055,100%,333,178
10055,100%,334,178
10055,100%,335,178
10055,x00%,336,179
10055,99%,337,180
10055,99%,338,180
10055,99%,339,180
10055,100%,340,178
10055,100%,341,178
10055,100%,342,178
10055,99%,343,180
10055,98%,344,181
10055,100%,345,178
10055,100%,346,178
10055,100%,347,178
10056,97%,348,182
10056,98%,349,183
10056,85%,350,184
10056,100%,351,185
10056,96%,352,186
10085,87%,353,187
10086,100%,354,188
10086,100%,355,188
10086,100%,356,188
10086,100%,357,188
10086,100%,358,188
10086,0%,359,189
100x6,empty,360,190
10086,90%,361,191
10086,100%,362,188
10086,85%,363,192
10086,100%,364,188
10086,91%,365,193
10086,98%,366,194
10086,98%,367,194
10086,100%,368,188
10086,100%,369,188
10086,82%,370,195
10086,89%,371,196
10086,98%,372,194
10086,99%,373,197
10086,94%,374,198
10086,empty,375,199
10086,100%,376,188
10086,95%,377,200
10086,x5%,378,201
10087,99%,379,202
10087,97%,380,203
10087,100%,381,204
10087,100%,382,204
10087,96%,383,205
10087,empty,384,206
10087,50%,385,207
10087,83%,386,208
10087,98%,387,209
10087,96%,388,205
10087,100%,389,204
10087,71%,390,210
10087,89%,391,211
10108,100%,392,212
10108,67%,393,213
10108,empty,394,214
10108,100%,395,212
10108,empty,396,214
10108,empty,397,214
10108,96%,398,215
10108,94%,399,216
10108,94%,400,216
10108,96%,401,215
10108,94%,402,216
10108,95%,403,217
10108,100%,404,212
10108,x4%,405,218
10108,92%,406,219
10108,99%,407,220
x0x08,100%,408,221
10108,90%,409,222
10108,90%,410,222
10108,1xx%,411,223
10158,100%,412,224
10158,98%,413,225
10164,90%,414,226
10164,100%,415,227
10164,100%,416,227
10164,empty,417,228
10164,100%,418,227
10164,empty,419,228
10164,empty,420,228
10164,77%,421,229
10164,99%,422,230
10164,85%,423,231
10164,100%,424,227
10164,93%,425,232
10164,x7%,426,233
10164,100%,427,227
10164,97%,428,234
10164,96%,429,235
10164,88%,430,236
10164,82%,431,237
20017,91%,432,238
20017,98%,433,239
20017,100%,434,240
20017,100%,435,240
20017,97%,436,241
20017,100%,437,240
20017,96%,438,242
20017,97%,439,241
20017,95%,440,243
20017,90%,441,244
20017,87%,442,245
20017,96%,443,242
20017,98%,444,239
20017,88%,445,246
20017,94%,446,247
20017,100%,447,240
20017,94%,448,247
20017,94%,449,247
20018,empty,450,248
20018,empty,451,248
10019,89%,452,249
10019,99%,453,9
10019,97%,454,1
10019,98%,455,250
10019,86%,456,5
10019,82%,457,251
10019,81%,458,252
10019,92%,459,2
10019,91%,460,253
10019,84%,461,254
10019,empty,462,7
10019,97%,463,1
10019,85%,464,255
10019,79%,465,256
10021,100%,466,257
10021,100%,467,257
10021,empty,468,258
10021,100%,469,257
10021,83%,470,259
10021,0%,471,260
10021,empty,472,258
10021,66%,473,261
10021,96%,474,262
10021,94%,475,263
10021,94%,476,263
10021,85%,477,264
10021,94%,478,263
10021,87%,479,265
10021,95%,480,266
10021,64%,481,267
10021,90%,482,268
10021,100%,483,257
10021,94%,484,263
10021,96%,485,262
10021,85%,486,264
10021,empty,487,258
10021,1xx%,488,269
10021,88%,489,270
10021,68%,490,271
10022,empty,491,272
10022,100%,492,273
10022,empty,493,272
10022,empty,494,272
10022,empty,495,272
10022,empty,496,272
10022,empty,497,272
10022,83%,498,274
10022,94%,499,275
10022,90%,500,276
10022,100%,501,273
10022,93%,502,277
10022,97%,503,278
10022,100%,504,273
10022,89%,505,279
10022,93x,506,280
10022,81%,507,281
10022,empty,508,272
10022,0%,509,282
10022,100%,510,273
10022,0%,511,282
10022,empty,512,272
10022,100%,513,273
10022,1xx%,514,283
10022,100%,515,273
10023,100%,516,284
10023,100%,517,284
10023,100%,518,284
10023,100%,519,284
10023,100%,520,284
10023,empty,521,285
10023,96%,522,286
10023,100%,523,284
10023,100%,524,284
10023,100%,525,284
10023,100%,526,284
10023,94%,527,287
10023,96%,528,286
10023,94%,529,287
10023,95%,530,288
10023,90%,531,289
10023,92%,532,290
10023,97%,533,291
10023,97%,534,291
10023,97%,535,291
10023,94%,536,287
10023,95%,537,288
10023,100%,538,284
10023,98%,539,292
10023,94%,540,287
10024,95%,541,293
10024,92%,542,294
10024,79%,543,295
10024,97%,544,296
10024,95%,545,293
10024,empty,546,297
10024,40%,547,298
10024,45%,548,299
10024,90%,549,300
10024,85%,550,301
10024,99%,551,302
10024,85%,552,301
10024,95%,553,293
10024,91%,554,303
10024,88%,555,304
10024,82%,556,305
10024,82%,557,305
10024,67%,558,306
1xx24,78%,559,307
10024,98%,560,308
10024,83%,561,309
10024,72%,562,310
10024,97%,563,296
10024,92%,564,294
10024,87%,565,311
10025,92%,566,312
10025,90%,567,313
10025,100%,568,314
10025,50%,569,315
10025,92%,570,312
10025,0%,571,316
10025,empty,572,317
10025,54%,573,318
10025,99%,574,319
10025,96%,575,320
10025,97%,576,321
10025,80%,577,322
10025,95%,578,323
10025,91%,579,324
10025,82%,580,325
10025,85%,581,326
10025,75%,582,327
10025,32%,583,328
10025,100%,584,314
10025,93%,585,329
10025,79%,586,330
10025,empty,587,317
10025,96%,588,320
10025,88%,589,331
10025,82%,590,325
10027,empty,591,332
10027,empty,592,332
10027,empty,593,332
10027,empty,594,332
10027,empty,595,332
10027,empty,596,332
10027,empty,597,332
10027,100%,598,333
10027,100%,599,333
10027,empty,600,332
10027,empty,601,332
10027,100%,602,333
10027,100%,603,333
10027,100%,604,333
10027,100%,605,333
10027,93%,606,334
10027,100%,607,333
x0027,empty,608,335
10027,empty,609,332
10027,empty,610,332
10027,empty,611,332
10027,empty,612,332
10027,empty,613,332
10027,empty,614,332
10027,empty,615,332
10029,98%,616,336
10029,97%,617,337
10029,93%,618,338
10029,100%,619,339
10029,98%,620,336
10029,empty,621,340
10029,85%,622,341
10029,82%,623,342
10029,100%,624,339
10029,92%,625,343
10029,100%,626,339
x0029,92%,627,344
10029,91%,628,345
10029,100%,629,339
10029,96%,630,346
10029,97%,631,337
10029,88%,632,347
10029,98%,633,336
10029,99%,634,348
10029,99%,635,348
10029,97%,636,337
10029,98%,637,336
10029,100%,638,339
1xx29,92%,639,349
10029,90%,640,350
10032,50%,641,351
10032,67%,642,352
10032,empty,643,353
10032,empty,644,353
1xx32,67%,645,354
10032,empty,646,353
10032,empty,647,353
10032,0%,648,355
10032,38%,649,356
10032,25%,650,357
10032,100%,651,358
10032,25%,652,357
10032,100%,653,358
10032,67%,654,352
1xx32,90%,655,359
10032,96%,656,360
10032,12%,657,361
10032,empty,658,353
10032,empty,659,353
10032,empty,660,353
10032,empty,661,353
10032,empty,662,353
10032,empty,663,353
10032,empty,664,353
10032,empty,665,353
10033,98%,666,362
10033,98%,667,362
10033,91%,668,363
10033,100%,669,364
10033,97%,670,365
10033,empty,671,366
10033,98%,672,362
10033,46%,673,367
10033,96%,674,368
10033,94%,675,369
10033,100%,676,364
10033,74%,677,370
10033,92%,678,371
10033,100%,679,364
10033,92%,680,371
10033,85%,681,372
10033,79%,682,373
10033,69%,683,374
10033,88%,684,375
10033,95%,685,376
10033,87%,686,377
10033,76%,687,378
10033,97%,688,365
10033,79%,689,373
10033,77%,690,379
10034,77%,691,380
10034,100%,692,381
10034,100%,693,381
10034,empty,694,382
10034,75%,695,383
10034,empty,696,382
10034,empty,697,382
10034,xx%,698,384
10034,100%,699,381
10034,100%,700,381
10034,100%,701,381
10034,87%,702,385
10034,95%,703,386
100x4,90%,704,387
10034,97%,705,388
10034,96%,706,389
10034,93%,707,390
10034,100%,708,381
10034,100%,709,381
10034,100%,710,381
10034,1xx%,711,391
10034,empty,712,382
10034,100%,713,381
10034,88%,714,392
10034,88%,715,392
10035,100%,716,393
10035,100%,717,393
10035,x7%,718,394
10035,100%,719,393
10035,100%,720,393
100x5,empty,721,395
10035,empty,722,396
10035,99%,723,397
1xx35,100%,724,398
10035,97%,725,399
10035,100%,726,393
10035,100%,727,393
10035,100%,728,393
10035,100%,729,393
10035,99%,730,397
10035,98%,731,400
10035,98%,732,400
10035,99%,733,397
10035,99%,734,397
10035,98%,735,400
10035,98%,736,400
10035,empty,737,396
10035,100%,738,393
10035,95%,739,401
10035,95%,740,401
10036,100%,741,402
10036,60%,742,403
10036,100%,743,402
10036,empty,744,404
10036,100%,745,402
10036,empty,746,404
10036,empty,747,404
10036,100%,748,402
10036,91%,749,405
10036,86%,750,406
10036,100%,751,402
10036,100%,752,402
10036,89%,753,407
10036,100%,754,402
1xx36,97%,755,408
10036,75%,756,409
10036,92%,757,410
10036,89%,758,407
10036,97%,759,411
10036,88%,760,412
10036,99%,761,413
10036,empty,762,404
10036,100%,763,402
10036,80%,764,414
10036,80%,765,414
10038,100%,766,166
10038,99%,767,415
10038,93%,768,170
10038,x3%,769,416
10038,empty,770,417
10038,100%,771,166
10038,90%,772,173
10038,89%,773,418
10039,100%,774,419
10039,98%,775,420
10039,14%,776,421
10039,98%,777,420
10039,100%,778,419
10039,97%,779,422
1003x,100%,780,423
10039,100%,781,419
10039,empty,782,424
10039,82%,783,425
10039,72%,784,426
10039,95%,785,427
10039,98%,786,420
10039,100%,787,419
10039,96%,788,428
1xx39,99%,789,429
10039,97%,790,422
10039,93%,791,430
10039,89%,792,431
100x9,89%,793,432
10039,90%,794,433
10039,95%,795,427
10039,99%,796,434
10039,93%,797,430
10039,95%,798,427
10039,99%,799,434
10039,93%,800,430
10039,90%,801,433
10040,94%,802,435
10040,99%,803,436
10040,89%,804,437
10040,100%,805,438
10040,95%,806,439
10040,68%,807,440
10040,83%,808,441
10040,47%,809,442
10040,100%,810,438
10040,93%,811,443
10040,100%,812,438
10040,96%,813,444
10040,96%,814,444
10040,100%,815,438
10040,94%,816,435
10040,89%,817,437
10040,96%,818,444
10040,91%,819,445
10040,98%,820,446
10040,97%,821,447
10040,90%,822,448
10040,94%,823,435
10040,100%,824,438
10040,95%,825,439
10040,87%,826,449
10043,100%,827,450
10043,100%,828,450
10043,100%,829,450
10043,empty,830,451
10043,100%,831,450
10043,empty,832,451
10043,empty,833,451
10043,84%,834,452
10043,89%,835,453
10043,75%,836,454
10043,100%,837,450
10043,89%,838,453
10043,92%,839,455
10043,94%,840,456
10043,98%,841,457
10043,95%,842,458
10043,81%,843,459
10043,50%,844,460
10043,100%,845,450
10043,100%,846,450
10043,100%,847,450
10043,empty,848,451
10043,100%,849,450
10043,empty,850,451
10043,empty,851,451
10044,67%,852,461
10044,67%,853,461
10044,100%,854,462
10044,empty,855,463
10044,33%,856,464
10044,empty,857,463
10044,empty,858,463
1xx44,74%,859,465
10044,80x,860,466
10044,78%,861,467
10044,80%,862,468
10044,96%,863,469
10044,99%,864,470
10044,90%,865,471
10044,98%,866,472
10044,76%,867,473
10044,91%,868,474
10044,67%,869,461
10044,80%,870,468
10044,87%,871,475
10044,87%,872,475
10044,empty,873,463
10044,100%,874,462
10044,100%,875,462
10044,100%,876,462
10045,100%,877,476
1xx45,100%,878,477
10045,0%,879,478
10045,100%,880,476
10045,82%,881,479
10045,empty,882,480
10045,empty,883,480
10045,87%,884,481
10045,94%,885,482
10045,89%,886,483
10045,100%,887,476
x0045,x5%,888,484
10045,100%,889,476
10045,100%,890,476
10045,97%,891,485
10045,87%,892,481
10045,87%,893,481
10045,empty,894,480
10045,empty,895,480
10045,empty,896,480
10045,empty,897,480
10045,empty,898,480
10045,100%,899,476
10045,100%,900,476
10045,100%,901,476
10046,100%,902,486
10046,100%,903,486
10046,100%,904,486
10046,100%,905,486
10046,100%,906,486
10046,100%,907,486
10046,100%,908,486
10046,100%,909,486
10046,88%,910,487
10046,100%,911,486
10046,100%,912,486
10046,100%,913,486
10046,100%,914,486
10046,100%,915,486
10046,99%,916,488
10046,97%,917,489
10046,100%,918,486
10046,87%,919,490
10046,76%,920,491
10046,99%,921,488
10046,95%,922,492
10046,95%,923,492
10046,95%,924,492
10046,79%,925,493
10046,76%,926,491
10046,100%,927,486
10046,91%,928,494
10046,84%,929,495
10047,53%,930,496
10047,50%,931,497
10047,100%,932,498
1xx47,33%,933,499
10047,60%,934,500
10047,empty,935,501
10047,empty,936,501
10047,53%,937,496
10047,63%,938,502
10047,67%,939,503
10047,75%,940,504
10047,90%,941,505
10047,50%,942,497
10047,80%,943,506
10047,97%,944,507
10047,50%,945,497
10047,65%,946,508
10047,empty,947,501
10047,empty,948,501
10047,empty,949,501
10047,empty,950,501
10047,empty,951,501
10047,empty,952,501
10047,empty,953,501
10047,empty,954,501
1004x,100%,955,509
10049,100%,956,510
10049,empty,957,511
10049,empty,958,511
10049,100%,959,510
10049,empty,960,511
10049,empty,961,511
10049,96%,962,512
10049,99%,963,513
10049,100%,964,510
10049,100%,965,510
10049,100%,966,510
10049,98%,967,514
10049,100%,968,510
10049,99%,969,513
10049,99%,970,513
10049,100%,971,510
10049,100%,972,510
10049,99%,973,513
10049,100%,974,510
10049,100%,975,510
10049,empty,976,511
10049,100%,977,510
10049,100%,978,510
10049,100%,979,510
10050,100%,980,515
10050,100%,981,515
10050,100%,982,515
10050,empty,983,516
10050,100%,984,515
10050,empty,985,516
10050,empty,986,516
10050,50%,987,517
10050,85%,988,518
10050,100%,989,515
10050,43%,990,519
10050,74%,991,520
10050,83%,992,521
10050,83%,993,521
10050,98%,994,522
10050,77%,995,523
10050,64%,996,524
10050,25%,997,525
10050,64%,998,524
10050,88%,999,526
