HospitalType,EmergencyService,original_index,unique_index,count
acute care hospitals,yes,162,0,802
acute care hospitals,yes,163,0,802
acute care hospitals,yes,164,0,802
acute care hospitals,yes,165,0,802
acute care hospitals,yes,166,0,802
acute care hospitals,yes,167,0,802
acute care hospitals,yes,168,0,802
acute care hospitals,yes,169,0,802
acute care hospitals,yes,170,0,802
acute care hospitals,yes,171,0,802
acute care hospitals,yes,172,0,802
acute care hospitals,yes,173,0,802
acute care hospitals,yes,174,0,802
acute care hospitals,yes,175,0,802
acute care hospitals,yes,176,0,802
acute care hospitals,yes,177,0,802
acute care hospitals,yes,178,0,802
acute care hospitals,yes,179,0,802
acute care hospitals,yes,180,0,802
acute care hospitals,yes,181,0,802
acute care hospitals,yes,182,0,802
acute care hospitals,yes,183,0,802
acute care hospitals,yes,184,0,802
acute care hospitals,yes,185,0,802
acute care hospitals,yes,186,0,802
acute care hospitals,yes,187,0,802
acute care hospitals,yes,188,0,802
acute care hospitals,yes,189,0,802
acute care hospitals,yes,190,0,802
acute care hospitals,yes,191,0,802
acute care hospitals,yes,192,0,802
acute care hospitals,yes,193,0,802
acute care hospitals,yes,194,0,802
acute care hospitals,yes,195,0,802
acute care hospitals,yes,196,0,802
acute care hospitals,yes,197,0,802
acute care hospitals,yes,198,0,802
acute care hosxitals,yes,199,7,3
acute care hospitals,yes,200,0,802
acute care hospitals,yes,201,0,802
acute care hospitals,yes,202,0,802
acute care hospitals,yes,203,0,802
acute care hospitals,yes,204,0,802
acute care hospitals,yes,205,0,802
acute care hospitals,yes,206,0,802
acute care hospitals,yes,207,0,802
acute care hospitals,yes,208,0,802
acute care hospitals,yes,209,0,802
acute care hospitals,yes,210,0,802
acute care hospitals,yes,211,0,802
acute care hospitals,yes,212,0,802
acutx carx hospitals,yes,213,8,2
acute care hospitals,yes,214,0,802
acute care hospitals,yes,215,0,802
acute care hospitals,yes,216,0,802
acute care hospitals,yes,217,0,802
acute care hospitals,yes,218,0,802
acute care hospitals,yes,219,0,802
acute care hospitals,yes,220,0,802
acute care hospitals,yes,221,0,802
acute care hospitals,yes,222,0,802
acute care hospitals,yes,223,0,802
acute care hospitals,yes,224,0,802
acute care hospitals,yes,225,0,802
acute care hospitals,yes,226,0,802
acute care hospitals,yes,227,0,802
acute care hospitals,yes,228,0,802
acute care hospitals,yes,229,0,802
acute care hospitals,yes,230,0,802
acute care hospitals,yes,231,0,802
acute care hospitals,yes,232,0,802
acute care hospitals,yes,233,0,802
acute care hospitals,yes,234,0,802
acute care hospitals,yes,235,0,802
acute care hospitals,yes,236,0,802
acute care hospitals,yes,237,0,802
acute care hospitals,yes,238,0,802
acute care hospitals,yes,239,0,802
acute care hospitals,yes,240,0,802
acute care hospitals,yes,241,0,802
acute care hospitals,yes,242,0,802
acute care hospitals,yes,243,0,802
acute care hospitals,yes,244,0,802
acute care hospitals,yes,245,0,802
acute care hospitals,yes,246,0,802
acute care hospitals,yes,247,0,802
acute care hospitals,yes,248,0,802
acute care hospitals,yes,249,0,802
acute care hospitals,yes,250,0,802
acute care hospitals,yes,251,0,802
acute care hospitals,yes,252,0,802
acute care hospitals,yes,253,0,802
acute care hospitals,yes,254,0,802
acute care hospitals,yes,255,0,802
acute care hospitals,yes,256,0,802
acute care hospitals,yes,257,0,802
acute care hospitals,yes,258,0,802
acute care hospitals,yes,259,0,802
acute care hospitals,yes,260,0,802
acute care hospitals,yes,261,0,802
acute care hospitals,yes,262,0,802
acute care hospitals,yes,263,0,802
acute care hospitals,yes,264,0,802
acute care hospitals,yes,265,0,802
acuxe care hospixals,yes,266,1,8
acute care hospitals,yes,267,0,802
acute care hospitals,yes,268,0,802
acute care hospitals,yes,269,0,802
acute care hospitals,yes,270,0,802
acute care hospitals,yes,271,0,802
acute care hospitals,yes,272,0,802
acute care hospitals,yes,273,0,802
acute care hospitals,yes,274,0,802
acute care hospitals,yes,275,0,802
acute care hospitals,yes,276,0,802
acute care hospitals,yes,277,0,802
acute care hospitals,yes,278,0,802
acute care hospitals,yes,279,0,802
acutexcarexhospitals,yes,280,9,6
acute care hospitals,yes,281,0,802
acute care hospitals,yes,282,0,802
acute care hospitals,yes,283,0,802
acute care hospitals,yes,284,0,802
acute care hospitals,yes,285,0,802
acute care hospitals,yes,286,0,802
acute care hospitals,yes,287,0,802
acute care hospitals,yes,288,0,802
acute care hospitals,yes,289,0,802
acute care hospitals,yes,290,0,802
acute care hospitals,yes,291,0,802
acute care hospitals,yes,292,0,802
acuxe care hospixals,yes,293,1,8
acute care hospitals,yes,294,0,802
acute care hospitals,yes,295,0,802
acute care hospitals,yes,296,0,802
acute care hospitals,yes,297,0,802
acute care hospitals,yes,298,0,802
acute care hospitals,yes,299,0,802
acute care hospitals,yes,300,0,802
acute care hospitals,yes,301,0,802
acute care hospitals,yes,302,0,802
acute care hospitals,yes,303,0,802
acute care hospitals,yes,304,0,802
acute care hospitals,yes,305,0,802
acute care hospitals,yes,306,0,802
acute care hospitals,yes,307,0,802
acute care hospitals,yes,308,0,802
acute care hospitals,yes,309,0,802
acute care hospitals,yes,310,0,802
acute care hospitals,yes,311,0,802
acute care hospitals,yes,312,0,802
acute care hospitals,yes,313,0,802
acute care hospitals,yes,314,0,802
acute care hospitals,yes,315,0,802
acute care hospitals,yes,316,0,802
acute care hospitals,yes,317,0,802
acute care hospitals,xes,318,10,5
acute care hospitals,yes,319,0,802
acute care hospitals,yes,320,0,802
acute care hospitals,yes,321,0,802
acute care hospitals,yes,322,0,802
acute care hospitals,yes,323,0,802
acute care hospitals,yes,324,0,802
acute care hospitals,yes,325,0,802
acute care hospitals,yes,326,0,802
acute care hospitals,yex,327,4,9
acute care hospitals,yes,328,0,802
acute care hospitals,yes,329,0,802
acute care hospitals,yes,330,0,802
acute care hospitals,yes,331,0,802
acute care hospitals,yex,332,4,9
acute care hospitals,yes,333,0,802
acute care hospitals,yes,334,0,802
acute care hospitals,yes,335,0,802
acute care hospitals,yes,336,0,802
acute care hospitals,yes,337,0,802
acute care hospitals,yes,338,0,802
acute care hospitals,yes,339,0,802
acute care hospitals,yes,340,0,802
acute care hospitals,yes,341,0,802
acute care hospitals,yes,342,0,802
acute care hospitals,yes,343,0,802
acute care hospitals,yes,344,0,802
acute care hospitals,yes,345,0,802
acute care hospitals,yes,346,0,802
acute care hospitals,yes,347,0,802
acute care hospitals,yes,348,0,802
acute care hospitals,yes,349,0,802
acute care hospitals,yxs,350,2,11
acute care hospitals,yes,351,0,802
acute care hospitals,yes,352,0,802
acute care hospitals,yes,353,0,802
acute care hospitals,yes,354,0,802
acute care hospitals,yes,355,0,802
acute care hospitals,yes,356,0,802
acute care hospitals,yes,357,0,802
acute care hospitals,yes,358,0,802
acute care hospitals,yes,359,0,802
acute care hospitals,yes,360,0,802
acute care hospitals,yes,361,0,802
acute care hospitals,yes,362,0,802
acute care hospitals,yes,363,0,802
acute care hospitals,yes,364,0,802
acute care hospitals,yes,365,0,802
acute care hospitals,yes,366,0,802
acute care hospitals,yes,367,0,802
acute care hospitals,yes,368,0,802
acute care hospitals,yes,369,0,802
acute care hospitals,yes,370,0,802
acute care hospitals,yes,371,0,802
acute care hospitals,yes,372,0,802
acute care hospitals,yes,373,0,802
acute care hospitals,yex,374,4,9
acute care hospitals,yes,375,0,802
acute care hospitals,yes,376,0,802
acute care hospitals,yes,377,0,802
acute care hospitals,yes,378,0,802
acute care hospitals,yes,379,0,802
acute care hospitals,yes,380,0,802
acute care hospitals,yes,381,0,802
acute care hospitals,yes,382,0,802
acute care hospitals,yes,383,0,802
acute care hospitals,yes,384,0,802
acute care hospitals,yes,385,0,802
acute care hospitals,yes,386,0,802
acute care hospitals,yes,387,0,802
acute care hospitals,yes,388,0,802
acute care hospitals,yxs,389,2,11
acute care hospitals,yes,390,0,802
acute care hospitals,yes,391,0,802
acute care hospitals,yes,392,0,802
acute care hospitals,yes,393,0,802
acute care hospitals,yes,394,0,802
acute care hospitals,yes,395,0,802
acute care hospitals,yes,396,0,802
acute care hospitals,yes,397,0,802
acute care hospitals,yes,398,0,802
acute care hospitals,yes,399,0,802
acute care hospitals,yes,400,0,802
acute care hospitals,yes,401,0,802
acute care hospitals,yes,402,0,802
acute care hospitals,yes,403,0,802
acute care hospitals,yes,404,0,802
acute care hospitals,yes,405,0,802
acute care hospitals,yes,406,0,802
acute care hospitals,yes,407,0,802
acute care hospitals,yes,408,0,802
acute care hospitals,yes,409,0,802
acute care hospitals,yxs,410,2,11
acute care hosxitals,yes,411,7,3
acute care hospitals,yes,412,0,802
acuxe care hospixals,yes,413,1,8
acute care hospitals,no,414,5,139
acute care hospitals,no,415,5,139
acute care hospitals,no,416,5,139
acute care hospitals,no,417,5,139
acute care hospitals,xo,418,11,2
acute care hospitals,no,419,5,139
acute care hospitals,no,420,5,139
acute care hospitals,no,421,5,139
acute care hospitals,no,422,5,139
acute care hospitals,no,423,5,139
acute care hospitals,no,424,5,139
acute care hospitals,no,425,5,139
acute care hospitals,no,426,5,139
acute care hospitals,no,427,5,139
acute care hospitals,no,428,5,139
acute care hospitals,no,429,5,139
acute care hospitals,no,430,5,139
acute care hospitals,no,431,5,139
acute care hospitals,yes,432,0,802
acute care hospitals,yes,433,0,802
acute care hospitals,yes,434,0,802
acute care hospitals,yes,435,0,802
acute care hospitals,yes,436,0,802
acute care hospitals,yes,437,0,802
acute care hospitals,yes,438,0,802
acute care hospitals,yes,439,0,802
acute care hospitals,yes,440,0,802
acute care hospitals,yes,441,0,802
acute care hospitals,yes,442,0,802
acute care hospitals,yes,443,0,802
acute care hospitals,yes,444,0,802
acute care hospitals,yes,445,0,802
acute care hospitals,yes,446,0,802
acute care hospitals,yes,447,0,802
acute care hospitals,yes,448,0,802
acute care hospitals,yes,449,0,802
acute care hospitals,no,450,5,139
acute care hospitals,no,451,5,139
acute care hospitals,yes,452,0,802
acute care hospitaxs,yes,453,12,2
acute care hospitals,yes,454,0,802
acute care hospitals,yes,455,0,802
acute care hospitals,yes,456,0,802
acute care hospitals,yes,457,0,802
acute care hospitals,yes,458,0,802
acute care hospitals,yes,459,0,802
acute care hospitals,yes,460,0,802
acute care hospitals,yes,461,0,802
acute care hospitals,yes,462,0,802
acute care hospitals,yes,463,0,802
acute care hospitals,yes,464,0,802
acute care hospitals,yes,465,0,802
acute care hospitals,yes,466,0,802
acute care hospitals,yes,467,0,802
acute care hospitals,yes,468,0,802
acute care hospitals,yes,469,0,802
acute care hospitals,yes,470,0,802
acute care hospitals,yes,471,0,802
acute care hospitals,yes,472,0,802
acute care hospitals,yes,473,0,802
acute care hospitals,yes,474,0,802
acute care hospitals,yes,475,0,802
acute care hospitals,yes,476,0,802
acute care hospitals,yes,477,0,802
acute care hospitals,yes,478,0,802
acute care hospitals,yes,479,0,802
acute care hospitals,yes,480,0,802
acute care hospitals,yes,481,0,802
acute care hospitals,yes,482,0,802
acute care hospitals,yes,483,0,802
acute care hospitals,yes,484,0,802
acute care hospitals,yes,485,0,802
acute care hospitals,yes,486,0,802
acute care hospitals,yes,487,0,802
acute care hospitals,yes,488,0,802
acute care hospitals,yes,489,0,802
acute caxe hospitals,yes,490,13,2
acute care hospitals,yes,491,0,802
acute care hospitals,yxs,492,2,11
acute care hxspitals,yes,493,14,1
acute care hospitals,yes,494,0,802
acute care hospitals,yes,495,0,802
acute care hospitals,yes,496,0,802
acutx carx hospitals,yes,497,8,2
acute care hospitals,yes,498,0,802
acute care hospitals,yes,499,0,802
acute care hospitals,yes,500,0,802
acute care hospitals,yes,501,0,802
acute care hospitals,yes,502,0,802
acute care hospitals,yes,503,0,802
acute care hospitals,yes,504,0,802
acute care hospitals,yes,505,0,802
acute care hospitals,yes,506,0,802
acute care hospitals,yes,507,0,802
acute care hospitals,yes,508,0,802
acute care hospitals,yes,509,0,802
acute care hospitals,yes,510,0,802
acuxe care hospixals,yes,511,1,8
acute care hospitals,yes,512,0,802
acute care hospitals,yes,513,0,802
acute care hospitals,yes,514,0,802
acute care hospitals,yes,515,0,802
acute care hospitals,yes,516,0,802
acute care hospitals,yes,517,0,802
acute care hospitals,yes,518,0,802
acute care hospitals,yes,519,0,802
acute care hospitals,yes,520,0,802
acute care hospitals,yxs,521,2,11
acute care hospitals,yes,522,0,802
acute care hospitals,yes,523,0,802
acute care hospitals,yes,524,0,802
acute care hospitals,yes,525,0,802
acute care hospitals,yes,526,0,802
acute care hospitals,yes,527,0,802
acute care hospitals,yes,528,0,802
acute care hospitals,yes,529,0,802
acute care hospitals,yes,530,0,802
acute care hospitals,yes,531,0,802
acute care hosxitals,yes,532,7,3
acute care hospitals,yes,533,0,802
acute care hospitals,yes,534,0,802
acute care hospitals,yes,535,0,802
acute care hospitals,yex,536,4,9
acute care hospitals,yes,537,0,802
acute care hospitals,yes,538,0,802
acute care hospitals,yes,539,0,802
acute care hospitals,yes,540,0,802
acute care hospitals,yes,541,0,802
acute care hospitals,yes,542,0,802
acute care hospitals,yes,543,0,802
acute care hospitals,yes,544,0,802
acute care hospitals,yes,545,0,802
acute care hospitals,yes,546,0,802
acute care hospitals,yes,547,0,802
acute care hospitals,yes,548,0,802
acute care hospitals,yes,549,0,802
acute care hospitals,yes,550,0,802
acute care hospitals,yes,551,0,802
acute care hospitals,yes,552,0,802
acute care hospitals,yes,553,0,802
acute care hospitals,yes,554,0,802
acute care hospitals,yes,555,0,802
acute care hospitals,yes,556,0,802
acute care hospitals,yes,557,0,802
acute care hospitals,yes,558,0,802
acute care hospitals,yes,559,0,802
acute care hospitals,yes,560,0,802
acute care hospitals,yes,561,0,802
acute care hospitals,yes,562,0,802
acute care hospitals,yes,563,0,802
acute care hospitals,xes,564,10,5
acute care hospitals,yes,565,0,802
acute care hospitals,yes,566,0,802
acute care hospitals,yes,567,0,802
acute care hospitals,yes,568,0,802
acute care hospitals,yes,569,0,802
acute care hospitals,yes,570,0,802
acute care hospitals,yes,571,0,802
acute care hospitals,yes,572,0,802
acute care hospitals,yes,573,0,802
acute care hospitals,yes,574,0,802
acute care hospitals,yes,575,0,802
acute care hospitals,yes,576,0,802
acute care hospitals,yes,577,0,802
acute care hospitals,yes,578,0,802
acute care hospitals,xes,579,10,5
acute care hospitals,yes,580,0,802
acute care hospitals,yes,581,0,802
acute care hospitals,yes,582,0,802
acute care hospitals,yes,583,0,802
acute care hospitals,yes,584,0,802
acute care hospitals,yes,585,0,802
acute care hospitals,yes,586,0,802
acute care hospitals,xes,587,10,5
acuxe care hospixals,yes,588,1,8
acute care hospitals,yes,589,0,802
acute care hospitals,yes,590,0,802
acute care hospitals,yes,591,0,802
acute care hospitals,yes,592,0,802
acute care hospitals,yes,593,0,802
acute care hospitals,yes,594,0,802
acute care hospitals,yes,595,0,802
acute care hospitals,yes,596,0,802
acute care hospitals,yes,597,0,802
acute care hospitals,yes,598,0,802
acute care hospitals,yes,599,0,802
acute care hospitals,yes,600,0,802
acute care hospitals,yes,601,0,802
acute care hospitals,yes,602,0,802
acute care hospitals,yes,603,0,802
acute care hospitals,yes,604,0,802
acute care hospitals,yes,605,0,802
acute care hospitals,yes,606,0,802
acute care hospitals,yes,607,0,802
acute care hospitals,yes,608,0,802
acute care hospitals,yes,609,0,802
acute care hospitals,yes,610,0,802
acute care hospitals,yes,611,0,802
acute care hospitals,yes,612,0,802
acute care hospitals,yes,613,0,802
acute care hospitals,yes,614,0,802
acute care hospitals,yes,615,0,802
acute care hospitals,yes,616,0,802
acute care hospitals,yes,617,0,802
acute care hospitals,yes,618,0,802
acute care hospitals,yes,619,0,802
acute care hospitals,yes,620,0,802
acute care hospitals,yes,621,0,802
acute care hospitals,yes,622,0,802
acute care hospitals,yes,623,0,802
acute care hospitals,yes,624,0,802
acute care hospitals,yes,625,0,802
acute care hospitals,yes,626,0,802
acute care hospitals,yes,627,0,802
acute care hospitals,yex,628,4,9
acute care hospitals,yes,629,0,802
acute care hospitals,yes,630,0,802
acute care hospitals,yes,631,0,802
acute care hospitals,yes,632,0,802
acute care hospitals,yes,633,0,802
acuxe care hospixals,yes,634,1,8
acute care hospitals,yes,635,0,802
acute care hospitals,yes,636,0,802
acute care hospitals,yes,637,0,802
acute care hospitals,yes,638,0,802
acute care hospitals,yes,639,0,802
acute care hospitals,yes,640,0,802
acute care hospitals,no,641,5,139
acute care hospitals,no,642,5,139
acute care hospitals,no,643,5,139
acute care hospitals,no,644,5,139
acute care hospitals,no,645,5,139
acute care hospitals,no,646,5,139
acute care hospitals,no,647,5,139
acute care hospitals,no,648,5,139
acute care hospitals,no,649,5,139
acute care hospitals,no,650,5,139
acute care hospitals,no,651,5,139
acute care hospitals,no,652,5,139
acute care hospitals,xo,653,11,2
acute care hospitals,no,654,5,139
acute care hospitals,no,655,5,139
acute care hospitals,no,656,5,139
acute care hospitals,no,657,5,139
acute care hospitals,no,658,5,139
acute care hospitals,no,659,5,139
acute care hospitals,no,660,5,139
acute care hospitals,no,661,5,139
acute care hospitals,no,662,5,139
acute care hospitals,no,663,5,139
acute care hospitals,no,664,5,139
acute care hospitals,no,665,5,139
acute care hospitals,yes,666,0,802
acute care hospitals,yes,667,0,802
acute care hospitals,yes,668,0,802
acute care hospitals,yes,669,0,802
acute care hospitals,yes,670,0,802
acute care hospitals,yes,671,0,802
acute care hospitals,yes,672,0,802
acute care hospitals,yes,673,0,802
acute care hospitals,yex,674,4,9
acute care hospitals,yes,675,0,802
acute care hospitals,yes,676,0,802
acute care hospitals,yes,677,0,802
acute care hospitals,yes,678,0,802
acute care hospitals,yes,679,0,802
acute care hospitals,yes,680,0,802
acute care hospitals,yes,681,0,802
acute care hospitals,yes,682,0,802
acute care hospitals,yes,683,0,802
acute care hospitals,yes,684,0,802
acute care hospitals,yes,685,0,802
acute care hospitals,yes,686,0,802
acute care hospitals,yes,687,0,802
acute care hospitals,yes,688,0,802
acute care hospitals,yes,689,0,802
acute care hospitals,yes,690,0,802
acute care hospitals,no,691,5,139
acute care hospitals,no,692,5,139
acute care hospitals,no,693,5,139
acute care hospitals,no,694,5,139
acute cxre hospitxls,no,695,15,1
acute care hospitals,no,696,5,139
acute care hospitals,no,697,5,139
acute care hospitals,no,698,5,139
acute care hospitals,no,699,5,139
acute care hospitals,no,700,5,139
acute care hospitals,no,701,5,139
acute care hospitals,no,702,5,139
acute care hospitals,no,703,5,139
acute care hospitals,no,704,5,139
acutexcarexhospitals,no,705,16,1
acute care hospitals,no,706,5,139
acute care hospitals,no,707,5,139
acute care hospitals,no,708,5,139
acute care hospitals,no,709,5,139
acute care hospitals,no,710,5,139
acute care hospitals,no,711,5,139
acute care hospitals,no,712,5,139
acute care hospitals,no,713,5,139
acute care hospitals,no,714,5,139
acute care hospitals,no,715,5,139
acute care hospitals,yes,716,0,802
acute care hospitals,yes,717,0,802
acute care hospitals,yes,718,0,802
acute care hospitals,yes,719,0,802
acute care hospitals,yes,720,0,802
acute care hospitals,yes,721,0,802
acute care hospitals,yes,722,0,802
acute care hospitals,yes,723,0,802
acute care hospitals,yes,724,0,802
acute care hospitals,yes,725,0,802
acute care hospitals,yes,726,0,802
acute care hospitals,yes,727,0,802
acute care hospitals,yes,728,0,802
acutexcarexhospitals,yes,729,9,6
acute care hospitals,yes,730,0,802
acute care hospitals,yes,731,0,802
acute care hospitals,yes,732,0,802
acute care hospitals,yes,733,0,802
acute care hospitals,yes,734,0,802
acute care hospitals,yes,735,0,802
acute care hospitals,yes,736,0,802
acute care hospitals,yes,737,0,802
acute care hospitals,yes,738,0,802
acute care hospitals,yes,739,0,802
acute care hospitals,yes,740,0,802
acute care hospitals,no,741,5,139
acute care hospitals,no,742,5,139
acute care hospitals,no,743,5,139
acute care hospitals,no,744,5,139
acute care hospitals,no,745,5,139
acute care hospitals,no,746,5,139
acute care hospitals,no,747,5,139
acute care hospitals,no,748,5,139
acute care hospitals,no,749,5,139
acute care hospitals,no,750,5,139
acute care hospitals,no,751,5,139
acute care hospitals,no,752,5,139
acute care hospitals,no,753,5,139
acute care hospitals,no,754,5,139
acute care hospitals,no,755,5,139
acute care hospitals,no,756,5,139
acute care hospitals,no,757,5,139
acute care hospitals,no,758,5,139
acute care hospitals,no,759,5,139
acute care hospitals,no,760,5,139
acute care hospitals,no,761,5,139
acute care hospitals,no,762,5,139
acute care hospitals,no,763,5,139
acute care hospitals,no,764,5,139
acute care hospitals,no,765,5,139
acute care hospitals,yes,766,0,802
acute care hospitals,yes,767,0,802
acute care hospitals,yes,768,0,802
acute care hospitals,yes,769,0,802
acute care hospitals,yes,770,0,802
acute care hospitals,yes,771,0,802
acute care hospitals,yes,772,0,802
acute care hospitals,yes,773,0,802
acute care hospitals,yes,774,0,802
acute care hospitals,yes,775,0,802
acute care hospitals,yes,776,0,802
acute care hospitals,yes,777,0,802
acute care hospitals,yes,778,0,802
acutexcarexhospitals,yes,779,9,6
acute care hospitals,yes,780,0,802
acute care hospitals,yes,781,0,802
acute care hospitaxs,yes,782,12,2
acute care hospitals,yes,783,0,802
acute care hospitals,yes,784,0,802
acute care hospitals,yes,785,0,802
acute care hospitals,yes,786,0,802
acute care hospitals,yes,787,0,802
acute care hospitals,yes,788,0,802
acute care hospitals,yes,789,0,802
acute care hospitals,yes,790,0,802
acute care hospitals,yes,791,0,802
acute care hospitals,yes,792,0,802
acute care hospitals,yes,793,0,802
acute care hospitals,yes,794,0,802
acute care hospitals,yes,795,0,802
acute care hospitals,yes,796,0,802
acute care hospitals,yxs,797,2,11
acute care hospitals,yes,798,0,802
acute care hospitals,yes,799,0,802
acute care hospitals,yes,800,0,802
acute care hospitals,yes,801,0,802
acute care hospitals,yes,802,0,802
acute care hospitals,yes,803,0,802
acute care hospitals,yes,804,0,802
acute care hospitals,yes,805,0,802
acute care hospitals,yes,806,0,802
acute care hospitals,yes,807,0,802
acute care hospitals,yes,808,0,802
acute care hospitals,xes,809,10,5
acute care hospitals,yes,810,0,802
acute care hospitals,yes,811,0,802
acute care hospitals,yes,812,0,802
acute care hospitals,yes,813,0,802
axute care hospitals,yes,814,17,1
acute care hospitals,yes,815,0,802
acute care hospitals,yes,816,0,802
acute care hospitals,yes,817,0,802
acute care hospitals,yes,818,0,802
acute care hospitals,yes,819,0,802
acute care hospitals,yes,820,0,802
acute care hospitals,yes,821,0,802
acute care hospitals,yes,822,0,802
acute care hospitals,yes,823,0,802
