HospitalOwner,original_index,unique_index,count
proprietary,315,9,209
proprietary,316,9,209
proprietary,317,9,209
proprietary,318,9,209
proprietary,319,9,209
proprietary,320,9,209
proprietary,321,9,209
proprietary,322,9,209
proprietary,323,9,209
proprietary,324,9,209
proprietary,325,9,209
proprietary,326,9,209
proprietary,327,9,209
proprietary,328,9,209
proprietary,329,9,209
proprietary,330,9,209
proprietary,331,9,209
proxrietary,332,11,3
proprietary,333,9,209
proprietary,334,9,209
proprietary,335,9,209
proprietary,336,9,209
proprietary,337,9,209
proprietary,338,9,209
proprietary,339,9,209
proprietary,340,9,209
proprietary,341,9,209
proprietary,342,9,209
proprietary,343,9,209
proprietary,344,9,209
proprietary,345,9,209
proprietary,346,9,209
proprietary,347,9,209
voluntary non-profit - other,348,6,122
voluntary non-profit - other,349,6,122
voluntary non-profit - other,350,6,122
voluntary non-profit - other,351,6,122
voluntary non-profit - other,352,6,122
government - hospital district or authority,353,1,198
proprietary,354,9,209
proprietary,355,9,209
prxprietary,356,18,3
proprietary,357,9,209
proprietary,358,9,209
proprietary,359,9,209
proprietary,360,9,209
proprietary,361,9,209
proprietary,362,9,209
proprietary,363,9,209
proprietary,364,9,209
proprietary,365,9,209
proprietary,366,9,209
proprietary,367,9,209
proprietary,368,9,209
proprietary,369,9,209
proprietary,370,9,209
proprietary,371,9,209
proprietary,372,9,209
proprietary,373,9,209
proprietary,374,9,209
proprietary,375,9,209
proprietary,376,9,209
proprietary,377,9,209
proprietary,378,9,209
government - state,379,19,38
government - state,380,19,38
government - state,381,19,38
government - state,382,19,38
government - state,383,19,38
government - state,384,19,38
government - state,385,19,38
government - state,386,19,38
government - state,387,19,38
government - state,388,19,38
government - state,389,19,38
government - state,390,19,38
government - state,391,19,38
voluntary non-profit - private,392,0,258
voluntary non-profit - private,393,0,258
voluntary non-profit - private,394,0,258
voluntary non-profit - private,395,0,258
voluntary non-profit - private,396,0,258
voluntary non-profit - private,397,0,258
voluntary non-profit - private,398,0,258
voluntary non-profit - private,399,0,258
voluntary non-profit - private,400,0,258
voluntary non-profit - private,401,0,258
voluntary non-profit - private,402,0,258
voluntary non-profit - private,403,0,258
voluntary non-profit - private,404,0,258
voluntary non-profit - private,405,0,258
voluntary non-profit - private,406,0,258
voluntary non-profit - private,407,0,258
voluntary non-profit - private,408,0,258
voluntary non-profit - private,409,0,258
voluntary non-profit - private,410,0,258
voluntary non-profit - private,411,0,258
proprietary,412,9,209
proprietary,413,9,209
voluntary non-profit - other,414,6,122
voluntary non-profit - other,415,6,122
voluntary non-profit - other,416,6,122
voluntary non-profit - other,417,6,122
voluntary non-profit - other,418,6,122
voluntary non-profit - other,419,6,122
voluntary non-profit - other,420,6,122
voluntary non-profit - other,421,6,122
voluntary non-profit - other,422,6,122
voluntary non-profit - other,423,6,122
voluntary non-profit - other,424,6,122
voluntary non-profit - other,425,6,122
voluntary non-profit - other,426,6,122
voluntary non-profit - other,427,6,122
voluntary non-profit - other,428,6,122
voluntary non-profit - other,429,6,122
voluntary non-profit - other,430,6,122
voluntary non-profit - other,431,6,122
proprietary,432,9,209
proprietary,433,9,209
proprietary,434,9,209
proprietary,435,9,209
proprietary,436,9,209
proprietary,437,9,209
proprietary,438,9,209
proprietary,439,9,209
proprietary,440,9,209
proprietary,441,9,209
proprietary,442,9,209
proprietary,443,9,209
proprietary,444,9,209
proprietary,445,9,209
proprietary,446,9,209
proprietary,447,9,209
proprietary,448,9,209
proxrietary,449,11,3
government - federal,450,8,51
government - federal,451,8,51
government - hospital district or authority,452,1,198
government - hospital district or authority,453,1,198
government - hospital district or authority,454,1,198
government - hospital district or authority,455,1,198
gxvernment - hxspital district xr authxrity,456,5,2
government - hospital district or authority,457,1,198
government - hospital district or authority,458,1,198
government - hospital district or authority,459,1,198
government - hospital district or authority,460,1,198
government - hospital district or authority,461,1,198
government - hospital district or authority,462,1,198
government - hospital district or authority,463,1,198
government - hospital district or authority,464,1,198
government - hospital district or authority,465,1,198
government - hospital district or authority,466,1,198
government - hospital district or authority,467,1,198
government - hospital district or authority,468,1,198
government - hospital district or authority,469,1,198
government - hospital district or authority,470,1,198
government - hospital district or authority,471,1,198
government - hospital district or authority,472,1,198
government - hospital district or authority,473,1,198
government - hospital district or authority,474,1,198
government - hospital district or authority,475,1,198
government - hospital district or authority,476,1,198
government - hospital district or authority,477,1,198
government - hospital district or authority,478,1,198
government - hospital district or authority,479,1,198
government - hospital district or authority,480,1,198
government - hospital district or authority,481,1,198
government - hospital district or authority,482,1,198
government - hospital district or authority,483,1,198
government - hospital district or authority,484,1,198
government - hospital district or authority,485,1,198
government - hospital district or authority,486,1,198
government - hospital district or authority,487,1,198
government - hospital district or authority,488,1,198
government - hospital district or authority,489,1,198
government - hospital district or authority,490,1,198
voluntary non-profit - private,491,0,258
voluntary non-profit - private,492,0,258
voluntaryxnon-profitx-xprivate,493,20,1
voluntary non-profit - private,494,0,258
voluntary non-profit - private,495,0,258
voluntary non-profit - private,496,0,258
voluntary non-profit - private,497,0,258
voluntary non-profit - private,498,0,258
voluntary non-profit - private,499,0,258
voluntary non-profit - private,500,0,258
voluntary non-profit - private,501,0,258
voluntary non-profit - private,502,0,258
voluntary non-profit - private,503,0,258
voluntary non-profit - private,504,0,258
voluntary non-profit - private,505,0,258
voluntary non-profit - private,506,0,258
voluntary non-profit - private,507,0,258
voluntary non-profit - private,508,0,258
voluntary non-profit - private,509,0,258
voluntary non-profit - private,510,0,258
voluntary non-profit - private,511,0,258
voluntary non-profit - private,512,0,258
voluntary non-profit - private,513,0,258
voluntary non-profit - private,514,0,258
voluntary non-profit - private,515,0,258
voluntary non-profit - church,516,14,72
voluntary non-profit - church,517,14,72
voluntary non-profit - church,518,14,72
voluntary non-profit - church,519,14,72
voluntary non-profit - church,520,14,72
voluntary non-profit - church,521,14,72
voluntary non-profit - church,522,14,72
voluntary non-profit - church,523,14,72
voluntary non-profit - church,524,14,72
voluntary non-profit - church,525,14,72
volxntary non-profit - chxrch,526,21,1
voluntary non-profit - church,527,14,72
voluntary non-profit - church,528,14,72
voluntary non-profit - church,529,14,72
voluntary non-profit - church,530,14,72
voluntary non-profit - church,531,14,72
voluntary non-profit - church,532,14,72
voluntary non-profit - church,533,14,72
voluntary non-profit - church,534,14,72
voluntary non-profit - church,535,14,72
voluntary non-profit - church,536,14,72
voluntary non-profit - church,537,14,72
voluntary non-profit - church,538,14,72
voluntary non-profit - church,539,14,72
voluntary non-profit - church,540,14,72
voluntary non-profit - private,541,0,258
voluntary non-profit - private,542,0,258
voluntary non-profit - private,543,0,258
voluntary non-profit - private,544,0,258
voluntary non-profit - private,545,0,258
voluntary non-profit - private,546,0,258
voluntary non-profit - private,547,0,258
voluntary non-profit - private,548,0,258
voluntary non-profit - private,549,0,258
voluntary non-profit - private,550,0,258
voluntary non-profit - private,551,0,258
voluntary non-profit - private,552,0,258
voluntary non-profit - private,553,0,258
voluntary non-profit - private,554,0,258
voluntary non-profit - private,555,0,258
voluntary non-profit - private,556,0,258
voluntary non-profit - private,557,0,258
voluntary non-profit - private,558,0,258
voluntary non-profit - private,559,0,258
voluntary non-profit - private,560,0,258
voluntary non-profit - private,561,0,258
voluntary non-profit - private,562,0,258
voluntary non-profit - private,563,0,258
voluntary non-profit - private,564,0,258
voluntary non-profit - private,565,0,258
voluntary non-profit - other,566,6,122
voluntary non-profit - other,567,6,122
voluntary non-profit - other,568,6,122
voluntary non-profit - other,569,6,122
voluntary non-profit - other,570,6,122
voluntary non-profit - other,571,6,122
voluntary non-profit - otxer,572,22,1
voluntary non-profit - other,573,6,122
voluntary non-profit - other,574,6,122
voluntary non-profit - other,575,6,122
voluntary non-profit - other,576,6,122
voluntary non-profit - other,577,6,122
voluntary non-profit - other,578,6,122
voluntary non-profit - other,579,6,122
voluntary non-profit - other,580,6,122
voluntary non-profit - other,581,6,122
voluntary non-profit - other,582,6,122
voluntary non-profit - other,583,6,122
voluntary non-profit - other,584,6,122
voluntary non-profit - other,585,6,122
voluntary non-profit - other,586,6,122
voluntary non-profit - other,587,6,122
voluntary non-profit - other,588,6,122
voluntary non-profit - other,589,6,122
voluntary non-profit - other,590,6,122
voluntary non-profit - other,591,6,122
voluntary non-profit - other,592,6,122
voluntary non-profit - other,593,6,122
voluntary non-profit - other,594,6,122
voluntary non-profit - other,595,6,122
voluntary non-profit - other,596,6,122
voluntary non-profit - other,597,6,122
voluntary non-profit - other,598,6,122
voluntary non-profit - other,599,6,122
voluntary non-profit - other,600,6,122
voluntary non-profit - other,601,6,122
voluntary non-profit - other,602,6,122
voluntary non-profit - other,603,6,122
voluntary non-profit - other,604,6,122
voluntary non-profit - other,605,6,122
voluntary non-profit - other,606,6,122
voluntary non-profit - other,607,6,122
voluntary non-profit - other,608,6,122
voluntary non-profit - other,609,6,122
voluntary non-profit - other,610,6,122
voluntary non-profit - other,611,6,122
voluntary non-profit - other,612,6,122
voluntary non-profit - other,613,6,122
voluntary non-profit - other,614,6,122
voluntary non-profit - other,615,6,122
government - hospital district or authority,616,1,198
government - hospital district or authority,617,1,198
government - hospital district or authority,618,1,198
government - hospital district or authority,619,1,198
government - hospital district or authority,620,1,198
government - hospital district or authority,621,1,198
government - hospital district or authority,622,1,198
government - hospital district or authority,623,1,198
government - hospital district or authority,624,1,198
government - hospital district or authority,625,1,198
government - hospital district or authority,626,1,198
government - hospital district or authority,627,1,198
government - hospital district or authority,628,1,198
government - hospital district or authority,629,1,198
government - hospital district or authority,630,1,198
government - hospital district or authority,631,1,198
government - hospital district or authority,632,1,198
government - hospital district or authority,633,1,198
government - hospital district or authority,634,1,198
government - hospital district or authority,635,1,198
government - hospital district or authority,636,1,198
government - hospital district or authority,637,1,198
government - hospital district or authority,638,1,198
government - hospital district or authority,639,1,198
government - hospital district or authority,640,1,198
government - local,641,23,25
government - local,642,23,25
government - local,643,23,25
government - local,644,23,25
government - local,645,23,25
government - local,646,23,25
government - local,647,23,25
government - local,648,23,25
government - local,649,23,25
government - local,650,23,25
government - local,651,23,25
government - local,652,23,25
government - local,653,23,25
government - local,654,23,25
government - local,655,23,25
government - local,656,23,25
government - local,657,23,25
government - local,658,23,25
government - local,659,23,25
government - local,660,23,25
government - local,661,23,25
government - local,662,23,25
government - local,663,23,25
government - local,664,23,25
government - local,665,23,25
government - state,666,19,38
government - state,667,19,38
government - state,668,19,38
government - state,669,19,38
government - state,670,19,38
government - state,671,19,38
government - state,672,19,38
government - state,673,19,38
government - state,674,19,38
government - state,675,19,38
government - state,676,19,38
government - state,677,19,38
government - state,678,19,38
government - state,679,19,38
government - state,680,19,38
government - state,681,19,38
government - state,682,19,38
government - state,683,19,38
government - state,684,19,38
government - state,685,19,38
government - state,686,19,38
government - state,687,19,38
government - state,688,19,38
government - state,689,19,38
government - state,690,19,38
voluntary non-profit - private,691,0,258
voluntary non-profit - private,692,0,258
voluntary non-profit - private,693,0,258
voluntary non-profit - private,694,0,258
voluntary non-profit - private,695,0,258
voluntary non-profit - private,696,0,258
voluntary non-profit - private,697,0,258
voluntary non-profit - private,698,0,258
voluntary non-profit - private,699,0,258
voluntary non-profit - private,700,0,258
voluntary non-profit - private,701,0,258
voluntary non-profit - private,702,0,258
voluntary non-profit - private,703,0,258
voluntary non-profit - private,704,0,258
voluntary non-profit - private,705,0,258
voluntary non-profit - private,706,0,258
voluntary non-profit - private,707,0,258
voluntary non-profit - private,708,0,258
voluntary non-profit - private,709,0,258
voluntary non-profit - private,710,0,258
voluntary non-profit - private,711,0,258
voluntary non-profit - private,712,0,258
voluntary non-profit - private,713,0,258
voluntary non-profit - private,714,0,258
voluntary non-profit - private,715,0,258
government - hospital district or authority,716,1,198
government - hospital district or authority,717,1,198
government - hospital district or authority,718,1,198
government - hospital district or authority,719,1,198
government - hospital district or authority,720,1,198
government - hospital district or authority,721,1,198
government - hospital district or authority,722,1,198
government - hospital district or authority,723,1,198
government - hospital district or authority,724,1,198
government - hospital district or authority,725,1,198
government - hospital district or authority,726,1,198
government - hospital district or authority,727,1,198
government - hospital district or authority,728,1,198
government - hospital district or authority,729,1,198
government - hospital district or authority,730,1,198
government - hospital district or authority,731,1,198
government - hospital district or authority,732,1,198
government - hospital district or authority,733,1,198
government - hospital district or authority,734,1,198
government - hospital district or authority,735,1,198
government - hospital district or authority,736,1,198
government - hospital district or authority,737,1,198
government - hospital district or authority,738,1,198
government - hospital district or authority,739,1,198
government - hospital district or authority,740,1,198
proprietary,741,9,209
proprietary,742,9,209
proprietary,743,9,209
prxprietary,744,18,3
proprietary,745,9,209
proprietary,746,9,209
proprietary,747,9,209
proprietary,748,9,209
proprietary,749,9,209
proprietary,750,9,209
proprietary,751,9,209
proprietary,752,9,209
proprietary,753,9,209
proprietary,754,9,209
proprietary,755,9,209
proprietary,756,9,209
proprietary,757,9,209
proprietary,758,9,209
proprietary,759,9,209
proprietary,760,9,209
proprietary,761,9,209
proprietary,762,9,209
proprietary,763,9,209
proprietary,764,9,209
proprietary,765,9,209
proprietary,766,9,209
proprietary,767,9,209
proprietary,768,9,209
proprietary,769,9,209
proprietary,770,9,209
proprietary,771,9,209
proprietary,772,9,209
proprietary,773,9,209
government - hospital district or authority,774,1,198
government - hospital district or authority,775,1,198
government - hospital district or authority,776,1,198
government - hospital district or authority,777,1,198
government - hospital district or authority,778,1,198
government - hospital district or authority,779,1,198
government - hospital district or authority,780,1,198
government - hospital district or authority,781,1,198
government - hospital district or authority,782,1,198
government - hospital district or authority,783,1,198
goverxmext - hospital district or authority,784,24,1
government - hospital district or authority,785,1,198
government - hospital district or authority,786,1,198
government - hospital district or authority,787,1,198
government - hospital district or authority,788,1,198
government - hospital district or authority,789,1,198
government - hospital district or authority,790,1,198
government - hospital district or authority,791,1,198
government - hospital district or authority,792,1,198
government - hospital district or authority,793,1,198
government - hospital district or authority,794,1,198
government - hospital district or authority,795,1,198
government - hospital district or authority,796,1,198
government - hospital district or authority,797,1,198
government - hospital district or authority,798,1,198
government - hospital district or authority,799,1,198
government - hospital district or authority,800,1,198
government - hospital district or authority,801,1,198
proprietary,802,9,209
proprietary,803,9,209
proprietary,804,9,209
proprietary,805,9,209
proprietary,806,9,209
proprietary,807,9,209
proprietary,808,9,209
proprietary,809,9,209
proprietary,810,9,209
proprietary,811,9,209
proprietary,812,9,209
proprietary,813,9,209
proprietary,814,9,209
proprietary,815,9,209
proprietary,816,9,209
proprietary,817,9,209
proprietary,818,9,209
proprietary,819,9,209
proprietary,820,9,209
proprietary,821,9,209
proprietary,822,9,209
proprietary,823,9,209
proprietary,824,9,209
proprietary,825,9,209
proprietary,826,9,209
voluntary non-profit - private,827,0,258
voluntary non-profit - private,828,0,258
voluntary non-profit - private,829,0,258
voluntary non-profit - private,830,0,258
voluntary non-profit - private,831,0,258
voluntary non-profit - private,832,0,258
voluntary non-profit - private,833,0,258
voluntary non-profit - private,834,0,258
voluntary non-profit - private,835,0,258
voluntary non-profit - private,836,0,258
voluntary non-profit - private,837,0,258
voluntary non-profit - private,838,0,258
voluntary non-profit - private,839,0,258
voluntary non-profit - private,840,0,258
voluntary non-profit - private,841,0,258
voluntary non-profit - private,842,0,258
voluntary non-profit - private,843,0,258
voluntary non-profit - private,844,0,258
voluntary non-profit - private,845,0,258
voluntaxy non-pxofit - pxivate,846,25,2
voluntary non-profit - private,847,0,258
voluntary non-profit - private,848,0,258
voluntary non-profit - private,849,0,258
voluntary non-profit - private,850,0,258
voluntary non-profit - private,851,0,258
voluntary non-profit - private,852,0,258
voluntary non-profit - private,853,0,258
voluntary non-profit - private,854,0,258
voluntary non-profit - private,855,0,258
voluntary non-profit - private,856,0,258
voluntary non-profit - private,857,0,258
voluntary non-profit - private,858,0,258
voluntary non-profit - private,859,0,258
voluntary non-profit - private,860,0,258
voluntary non-profit - private,861,0,258
voluntary non-profit - private,862,0,258
voluntary non-profit - private,863,0,258
voluntary non-profit - private,864,0,258
voluntary non-profit - private,865,0,258
voluntary non-profit - private,866,0,258
voluntary non-profit - private,867,0,258
voluxtary xox-profit - private,868,26,1
voluntary non-profit - private,869,0,258
voluntary non-profit - private,870,0,258
voluntary non-profit - private,871,0,258
voluntaxy non-pxofit - pxivate,872,25,2
voluntary non-profit - private,873,0,258
voluntary non-profit - private,874,0,258
voluntary non-profit - private,875,0,258
voluntary non-profit - private,876,0,258
voluntary non-profit - other,877,6,122
voluntary non-profit - other,878,6,122
voluntary non-profit - other,879,6,122
voluntary non-profit - other,880,6,122
voluntary non-profit - other,881,6,122
voluntary non-profit - other,882,6,122
voluntary non-profit - other,883,6,122
voluntary non-profit - other,884,6,122
voluntary non-profit - other,885,6,122
voluntary non-profit - other,886,6,122
voluntary non-profit - other,887,6,122
voluntary non-profit - other,888,6,122
voluntary non-profit - other,889,6,122
voluntary non-profit - other,890,6,122
voluntary non-profit - other,891,6,122
voluntary non-profit - other,892,6,122
voluntary non-profit - other,893,6,122
voluntary non-profit - other,894,6,122
voluntary non-profit - other,895,6,122
voluntary non-profit - other,896,6,122
voluntary non-profit - other,897,6,122
voluntary non-profit - other,898,6,122
voluntary non-profit - other,899,6,122
voluntary non-profit - other,900,6,122
voluntary non-profit - other,901,6,122
proprietary,902,9,209
proprietary,903,9,209
proprietary,904,9,209
proprietary,905,9,209
proprietary,906,9,209
proprietary,907,9,209
proprietary,908,9,209
proprietary,909,9,209
proprietary,910,9,209
proprietary,911,9,209
proprietary,912,9,209
proprietary,913,9,209
proprietary,914,9,209
proprietary,915,9,209
proprietary,916,9,209
proprietary,917,9,209
proprietary,918,9,209
proprietary,919,9,209
proprietary,920,9,209
proprietary,921,9,209
proprietary,922,9,209
proprietary,923,9,209
proprietary,924,9,209
proprietary,925,9,209
proprietary,926,9,209
proprietary,927,9,209
proprietary,928,9,209
proprietary,929,9,209
voluntary non-profit - private,930,0,258
voluntary non-profit - private,931,0,258
voluntary non-profit - private,932,0,258
voluntary non-profit - private,933,0,258
voluntary non-profit - private,934,0,258
voluntary non-profit - private,935,0,258
voluntary non-profit - private,936,0,258
voluntary non-profit - private,937,0,258
voluntary non-profit - private,938,0,258
