RatingValue,RatingCount,original_index,unique_index
4.7,"1,068",389,385
6.3,903,390,386
5.3,"10,650",391,387
4.5,765,392,388
7.8,376,393,389
6.7,"21,992",394,390
6.3,"7,298",395,391
5.7,929,396,392
6.8,"10,816",397,393
6.2,"12,444",398,394
7.1,"18,395",399,395
6.6,"25,996",400,396
6.6,"55,348",401,397
6.7,"39,087",402,398
6.0,"20,663",403,399
5.7,"21,428",404,400
6.1,"10,457",405,401
6.1,"67,024",406,402
7.6,"396,107",407,403
7.7,"352,890",408,404
7.0,"178,234",409,405
7.0,"286,229",410,406
6.6,"175,056",411,407
6.2,"101,329",412,408
5.8,"63,886",413,409
7.1,"234,929",414,410
6.8,"201,892",415,411
7.4,"96,301",416,412
7.2,"192,976",417,413
6.8,"117,373",418,414
7.7,"199,880",419,415
6.2,"82,240",420,416
5.6,"83,102",421,417
6.1,"147,357",422,418
5.9,"190,941",423,419
6.0,"161,797",424,420
6.9,"250,925",425,421
"5.9/10,5.7/10","227,278",426,422
7.0,"92,257",427,423
8.1,"167,568",428,424
7.6,"436,600",429,425
6.9,"244,558",430,426
5.8,"6,381",431,427
5.0,"1,039",432,428
5.6,594,433,429
6.1,388,434,430
6.5,"6,298",435,431
5.3,"5,239",436,432
4.5,"47,341",437,433
8.8,30,438,434
6.2,125,439,435
6.9,365,440,436
7.8,"5,458",441,437
7.8,"5,203",442,438
6.9,"26,170",443,439
6.1,71,444,440
6.3,177,445,441
8.1,"8,717",446,442
8.1,"4,991",447,443
6.5,603,448,444
6.3,210,449,445
7.8,845,450,446
6.1,239,451,447
6.4,"1,847",452,448
7.1,"3,551",453,449
7.0,"10,461",454,450
7.7,"23,554",455,451
6.4,"6,825",456,452
,,457,29
7.1,877,458,453
5.9,380,459,454
5.6,"13,034",460,455
7.7,"59,902",461,456
7.2,"1,337",462,457
6.2,377,463,458
5.6,341,464,459
7.6,"115,994",465,460
8.0,"219,415",466,461
6.2,365,467,462
3.4,"1,176",468,463
4.4,725,469,464
4.2,270,470,465
4.4,36,471,466
5.3,"6,213",472,467
6.2,"3,162",473,468
5.9,499,474,469
4.3,"1,616",475,470
5.7,"6,428",476,471
7.2,13,477,472
3.4,16,478,473
2.1,265,479,474
,,480,29
7.5,"73,886",481,475
2.6,99,482,476
7.9,"55,174",483,477
6.9,"15,971",484,478
7.8,"239,590",485,479
7.2,"16,300",486,480
6.7,"17,462",487,481
5.3,26,488,482
6.3,"14,042",489,483
6.5,"20,422",490,484
6.2,"17,159",491,485
6.8,"18,787",492,486
6.4,835,493,487
6.0,"1,448",494,488
"4.4/10,5.1/10","1,585",495,489
3.4,684,496,490
5.5,550,497,491
3.6,369,498,492
4.0,"1,060",499,493
7.2,"1,924",500,494
8.2,"12,649",501,495
6.2,"97,703",502,496
8.4,"202,278",503,497
6.0,"21,607",504,498
5.8,"1,185",505,499
6.7,221,506,500
6.9,"239,219",507,501
7.6,"277,254",508,502
8.4,"501,103",509,503
6.9,"107,128",510,504
7.0,"4,907",511,505
5.4,356,512,506
6.4,"4,135",513,507
5.3,348,514,508
7.4,"10,294",515,509
6.0,"6,159",516,510
5.6,"1,376",517,511
5.6,615,518,512
"7.4/10,7.3/10","140,842",519,513
7.4,"9,152",520,514
7.4,647,521,515
7.9,"241,909",522,516
6.7,"2,249",523,517
7.2,"3,638",524,518
6.7,438,525,519
7.5,"1,137",526,520
8.0,"13,275",527,521
7.7,"62,955",528,522
7.9,"260,349",529,523
8.1,"28,303",530,524
8.3,"47,491",531,525
7.7,"275,450",532,526
4.5,"17,275",533,527
8.5,"882,472",534,528
5.6,"5,369",535,529
7.2,"46,678",536,530
"7.2/10,7.3/10","68,292",537,531
7.5,"31,255",538,532
6.7,"33,113",539,533
7.0,"107,229",540,534
5.3,"1,407",541,535
6.9,"5,453",542,536
6.5,"3,548",543,537
7.2,"103,442",544,538
6.3,"14,503",545,539
6.1,"8,423",546,540
6.3,"7,077",547,541
6.1,"24,713",548,542
5.0,175,549,543
6.5,"46,753",550,544
7.2,"2,814",551,545
6.8,"4,972",552,546
7.3,"7,716",553,547
6.1,26,554,548
5.9,327,555,549
6.2,"13,938",556,550
7.7,"31,153",557,551
6.9,"14,847",558,552
6.9,"14,322",559,553
7.7,"24,156",560,554
8.1,729,561,555
8.3,"1,045",562,556
7.3,"8,597",563,557
7.0,"1,079",564,558
,,565,29
4.7,"5,191",566,559
4.8,"2,968",567,560
6.1,"82,674",568,561
6.1,"27,270",569,562
"4.9/10,4.9/10","130,607",570,563
6.4,"106,241",571,564
6.4,"123,724",572,565
,,573,29
5.3,"4,083",574,566
6.8,"49,329",575,567
4.2,"2,292",576,568
6.4,"42,359",577,569
5.4,"43,506",578,570
6.3,"54,788",579,571
"5.2/10,4.9/10","85,985",580,572
5.8,"32,036",581,573
6.9,"71,337",582,574
7.6,"163,913",583,575
7.4,"202,329",584,576
7.7,"38,126",585,577
7.6,"178,988",586,578
7.8,"401,188",587,579
3.7,464,588,580
7.6,"15,121",589,581
6.6,"15,651",590,582
7.0,"8,179",591,583
6.3,"9,591",592,584
6.3,"4,434",593,585
6.5,"167,643",594,586
6.8,"155,521",595,587
7.8,"71,605",596,588
7.9,"70,519",597,589
7.7,"269,574",598,590
7.5,"344,157",599,591
7.2,"367,681",600,592
5.8,"1,259",601,593
5.7,671,602,594
5.1,"1,050",603,595
6.4,141,604,596
5.9,144,605,597
6.5,632,606,598
7.3,"1,267",607,599
7.5,"23,886",608,600
6.7,513,609,601
6.8,782,610,602
7.1,301,611,603
7.1,221,612,604
5.8,"1,583",613,605
5.9,913,614,606
4.6,199,615,607
4.9,"1,274",616,608
5.3,625,617,609
6.6,"4,377",618,610
6.5,51,619,611
7.5,"4,853",620,612
8.8,"1,106,451",621,613
8.0,"89,118",622,614
7.5,"42,319",623,615
6.1,"36,794",624,616
4.8,106,625,617
4.5,"1,429",626,618
6.0,"42,419",627,619
"6/10,5.8/10","350,813",628,620
8.2,"607,339",629,621
7.8,"37,813",630,622
6.3,"231,752",631,623
7.2,"1,892",632,624
7.3,967,633,625
6.4,"33,787",634,626
7.2,"8,130",635,627
6.4,"10,783",636,628
6.7,"14,671",637,629
7.1,"1,804",638,630
7.1,"4,727",639,631
7.1,764,640,632
8.2,"9,179",641,633
8.2,"18,461",642,634
7.4,"2,367",643,635
5.6,"45,988",644,636
4.3,"4,758",645,637
7.1,724,646,638
6.2,"97,241",647,639
4.7,"30,191",648,640
6.2,"99,577",649,641
7.9,"44,573",650,642
5.7,"3,639",651,643
6.4,"2,093",652,644
8.6,"916,883",653,645
7.3,338,654,646
6.1,128,655,647
3.0,155,656,648
6.6,"12,711",657,649
7.6,"151,534",658,650
7.4,"66,043",659,651
6.1,"7,482",660,652
6.6,"65,661",661,653
7.0,"34,079",662,654
7.8,"19,853",663,655
7.0,470,664,656
7.6,"2,328",665,657
7.3,"5,214",666,658
6.6,"90,034",667,659
6.9,"1,176",668,660
7.6,"224,997",669,661
7.3,"125,983",670,662
6.2,"82,612",671,663
6.3,818,672,664
6.9,"1,359",673,665
5.9,710,674,666
6.9,10,675,667
6.7,"1,374",676,668
7.0,"1,564",677,669
7.2,"3,483",678,670
7.8,"1,733",679,671
7.6,"2,119",680,672
8.0,261,681,673
7.2,"1,859",682,674
7.2,749,683,675
5.8,"49,711",684,676
7.6,"13,772",685,677
7.6,"5,362",686,678
7.0,"1,382",687,679
7.5,579,688,680
"3.8/10,3.4/10","27,268",689,681
7.6,"1,029",690,682
6.5,"75,609",691,683
6.9,897,692,684
5.5,"131,717",693,685
6.3,"128,063",694,686
5.8,"2,545",695,687
5.7,942,696,688
8.0,"152,212",697,689
8.1,"535,487",698,690
8.3,"463,740",699,691
"4.6/10,4.7/10","27,960",700,692
5.9,"29,602",701,693
8.1,"444,494",702,694
7.6,"3,245",703,695
4.0,667,704,696
4.4,843,705,697
4.3,960,706,698
7.3,663,707,699
6.8,715,708,700
6.3,"1,515",709,701
6.2,"7,502",710,702
7.6,"2,007",711,703
6.1,"83,542",712,704
6.2,62,713,705
4.7,398,714,706
6.8,"2,331",715,707
6.8,"1,544",716,708
7.5,"1,314",717,709
6.1,"10,636",718,710
7.7,899,719,711
9.0,586,720,712
4.8,43,721,713
3.4,163,722,714
4.4,275,723,715
7.3,"54,022",724,716
7.2,"88,673",725,717
6.4,"185,695",726,718
5.9,"198,625",727,719
6.1,"115,468",728,720
6.0,"114,299",729,721
7.3,"68,929",730,722
6.7,"196,873",731,723
"5.8/10,5.4/10","185,327",732,724
5.8,"142,901",733,725
7.1,"268,942",734,726
7.2,"204,128",735,727
6.5,"5,909",736,728
5.8,"1,186",737,729
4.1,"1,969",738,730
6.7,582,739,731
7.3,"1,041",740,732
7.3,848,741,733
6.9,913,742,734
6.0,226,743,735
6.6,453,744,736
,,745,29
6.6,"1,278",746,737
5.3,97,747,738
6.3,106,748,739
4.4,"1,708",749,740
4.0,507,750,741
5.7,678,751,742
1.7,254,752,743
3.8,143,753,744
6.3,"11,371",754,745
6.2,"15,401",755,746
7.3,"11,408",756,747
5.7,79,757,748
7.2,"50,370",758,749
6.5,"8,383",759,750
7.1,"2,693",760,751
6.4,395,761,752
8.3,"72,323",762,753
6.2,642,763,754
6.7,"85,998",764,755
7.0,926,765,756
"5.4/10,5.2/10","149,536",766,757
,,767,29
6.5,"59,073",768,758
7.6,"3,109",769,759
6.1,396,770,760
6.9,"3,930",771,761
6.3,"69,685",772,762
7.4,"30,188",773,763
5.2,"57,011",774,764
5.9,67,775,765
6.5,99,776,766
,,777,29
5.6,"4,342",778,767
6.7,"116,179",779,768
5.5,"79,278",780,769
4.6,"2,057",781,770
7.7,"31,689",782,771
6.4,272,783,772
5.7,"2,398",784,773
6.5,"99,666",785,774
7.3,"3,657",786,775
1.9,"23,855",787,776
7.1,166,788,777
6.4,"129,923",789,778
7.3,"112,083",790,779
5.2,"20,231",791,780
2.5,"17,749",792,781
6.2,600,793,782
6.7,171,794,783
7.1,"136,875",795,784
5.9,"98,316",796,785
6.7,"33,256",797,786
2.1,"37,426",798,787
2.5,"2,747",799,788
6.1,"72,840",800,789
2.6,"6,758",801,790
4.1,"2,242",802,791
8.6,28,803,792
8.7,27,804,793
8.0,21,805,794
7.7,27,806,795
6.3,"120,330",807,796
,,808,29
8.5,35,809,797
5.8,702,810,798
6.1,"27,510",811,799
6.8,"34,865",812,800
7.5,"91,249",813,801
6.7,"50,544",814,802
6.7,"46,733",815,803
6.6,"76,006",816,804
7.2,"205,985",817,805
7.0,"130,102",818,806
"6.4/10,6.2/10","56,815",819,807
7.3,"135,719",820,808
7.3,"156,530",821,809
8.0,"473,927",822,810
7.2,"244,291",823,811
7.0,"152,140",824,812
6.5,"56,029",825,813
6.7,"79,747",826,814
6.9,"134,478",827,815
6.7,"130,051",828,816
7.3,"156,796",829,817
7.1,"73,004",830,818
6.8,"93,311",831,819
6.5,"28,516",832,820
6.2,"24,569",833,821
6.3,"53,094",834,822
4.4,"20,197",835,823
7.0,"171,537",836,824
8.1,153,837,825
5.8,"50,538",838,826
6.9,"50,178",839,827
5.0,"27,642",840,828
6.6,"64,127",841,829
7.5,33,842,830
7.8,"260,844",843,831
7.5,"255,747",844,832
7.6,"371,529",845,833
7.8,"242,487",846,834
7.8,"187,946",847,835
4.7,"13,653",848,836
2.5,"8,431",849,837
6.9,"243,098",850,838
2.3,"7,646",851,839
7.6,"25,400",852,840
2.7,"14,114",853,841
2.7,"8,744",854,842
4.5,"15,386",855,843
7.5,"21,230",856,844
,114,857,845
7.0,12,858,846
6.6,12,859,847
8.5,52,860,848
6.2,16,861,849
5.8,396,862,850
8.4,"3,001",863,851
7.4,288,864,852
7.0,827,865,853
6.9,276,866,854
7.4,"2,665",867,855
,,868,29
,,869,29
5.4,13,870,856
7.3,"2,973",871,857
,,872,29
,,873,29
,,874,29
,,875,29
7.2,105,876,858
8.5,"125,794",877,859
6.4,186,878,860
7.0,"6,141",879,861
5.6,19,880,862
7.9,"215,340",881,863
7.0,"53,848",882,864
6.6,"105,146",883,865
6.4,"51,289",884,866
"7/10,7.5/10","36,970",885,867
6.9,"42,790",886,868
7.0,"67,335",887,869
7.0,"67,226",888,870
6.3,"94,813",889,871
6.4,"18,972",890,872
6.7,"78,466",891,873
6.6,"117,034",892,874
6.8,"118,959",893,875
7.2,"195,442",894,876
6.9,"238,781",895,877
7.9,"192,074",896,878
8.5,"642,183",897,879
8.1,"515,940",898,880
7.8,"222,561",899,881
8.3,"583,673",900,882
8.4,"635,813",901,883
7.6,"33,850",902,884
7.2,"103,608",903,885
8.1,"41,566",904,886
7.0,"148,748",905,887
7.6,"271,767",906,888
6.1,"193,154",907,889
7.2,"285,559",908,890
6.9,"173,316",909,891
7.6,"296,667",910,892
6.4,"126,556",911,893
"7/10,6.4/10","498,555",912,894
7.0,"347,852",913,895
7.9,"819,305",914,896
8.0,"497,756",915,897
7.2,"484,337",916,898
7.0,"464,119",917,899
7.6,"373,819",918,900
7.8,"364,013",919,901
6.9,"393,472",920,902
7.8,"466,081",921,903
8.0,"428,568",922,904
8.0,"433,148",923,905
6.3,"91,433",924,906
"4.6/10,4.6/10","32,519",925,907
7.2,"233,264",926,908
8.4,"570,865",927,909
7.5,"13,091",928,910
7.1,"132,665",929,911
7.0,"225,590",930,912
7.9,"126,481",931,913
7.4,"112,750",932,914
6.6,"107,401",933,915
8.0,"107,477",934,916
6.4,"39,606",935,917
6.2,"34,845",936,918
7.3,"43,520",937,919
6.2,"16,110",938,920
7.9,"153,870",939,921
7.5,"241,015",940,922
6.5,"45,296",941,923
6.0,"70,235",942,924
8.0,"135,411",943,925
6.8,"29,182",944,926
7.8,"117,757",945,927
7.6,"109,046",946,928
7.8,"97,144",947,929
6.4,"78,006",948,930
7.3,"21,531",949,931
6.4,"5,165",950,932
6.4,"211,255",951,933
7.6,"22,508",952,934
6.6,"35,222",953,935
6.9,"263,810",954,936
7.4,"275,476",955,937
5.9,"117,676",956,938
8.5,"38,279",957,939
6.7,"290,718",958,940
6.5,"175,198",959,941
7.5,"402,103",960,942
6.8,"186,077",961,943
5.5,"62,438",962,944
5.4,"24,860",963,945
6.0,"39,917",964,946
5.9,"85,343",965,947
"4.4/10,4.1/10","51,196",966,948
4.5,"28,087",967,949
5.0,"24,590",968,950
5.5,"22,375",969,951
5.4,"32,658",970,952
4.9,"53,350",971,953
6.1,"58,479",972,954
7.8,"151,905",973,955
7.1,"25,900",974,956
6.6,"177,067",975,957
6.9,"199,595",976,958
6.6,"170,142",977,959
7.0,"106,192",978,960
7.2,"128,484",979,961
6.3,"148,164",980,962
7.4,"242,686",981,963
7.0,"244,527",982,964
7.3,"277,407",983,965
6.2,"153,139",984,966
7.3,"1,199",985,967
6.1,"3,234",986,968
,,987,29
7.3,"31,393",988,969
6.7,"13,879",989,970
6.8,"50,210",990,971
7.5,"15,288",991,972
7.8,"29,441",992,973
7.5,"17,355",993,974
6.8,"146,648",994,975
6.7,"170,219",995,976
6.6,"64,281",996,977
7.1,"78,436",997,978
"6.6/10,6.3/10","45,154",998,979
6.2,"84,420",999,980
7.7,"200,327",1000,981
6.3,"43,312",1001,982
7.4,"75,429",1002,983
5.4,"39,475",1003,984
5.8,"61,709",1004,985
6.0,"61,714",1005,986
5.8,"69,859",1006,987
5.8,"77,245",1007,988
6.1,"38,928",1008,989
5.4,"27,562",1009,990
5.7,"40,033",1010,991
6.2,"40,629",1011,992
5.5,"60,475",1012,993
6.6,"137,156",1013,994
8.3,"550,459",1014,995
8.1,"540,284",1015,996
8.8,"716,832",1016,997
6.6,"106,021",1017,998
6.9,"61,037",1018,999
7.8,"270,767",1019,1000
1.3,764,1020,1001
7.8,"33,429",1021,1002
8.0,"40,074",1022,1003
7.1,275,1023,1004
1.6,"9,897",1024,1005
6.1,"104,696",1025,1006
6.8,"254,748",1026,1007
6.7,"274,037",1027,1008
7.3,"270,945",1028,1009
6.3,"197,947",1029,1010
6.5,"175,029",1030,1011
3.5,"7,289",1031,1012
6.9,"35,102",1032,1013
6.4,"15,610",1033,1014
5.6,"2,814",1034,1015
7.2,"38,648",1035,1016
6.0,"5,601",1036,1017
5.3,"3,971",1037,1018
6.3,"10,366",1038,1019
6.7,"23,995",1039,1020
6.9,"24,414",1040,1021
7.3,"56,561",1041,1022
7.5,"17,852",1042,1023
5.2,"28,022",1043,1024
5.1,"15,293",1044,1025
4.8,"1,641",1045,1026
4.2,"6,251",1046,1027
4.0,"3,925",1047,1028
4.3,"9,493",1048,1029
,,1049,29
7.7,80,1050,1030
7.8,14,1051,1031
6.6,26,1052,1032
6.5,13,1053,1033
7.5,27,1054,1034
8.4,81,1055,1035
7.0,21,1056,1036
5.4,340,1057,1037
6.5,126,1058,1038
6.1,"70,458",1059,1039
7.1,29,1060,1040
7.6,132,1061,1041
7.2,120,1062,1042
4.9,205,1063,1043
7.0,"1,539",1064,1044
6.5,256,1065,1045
,"1,872",1066,1046
7.1,"1,211",1067,1047
6.9,828,1068,1048
7.0,"1,733",1069,1049
7.5,20,1070,1050
7.3,548,1071,1051
8.4,18,1072,1052
5.3,29,1073,1053
8.1,19,1074,1054
6.7,156,1075,1055
7.7,"4,608",1076,1056
,,1077,29
7.9,"6,773",1078,1057
6.7,235,1079,1058
,,1080,29
7.7,"15,905",1081,1059
7.3,"1,952",1082,1060
7.3,"1,833",1083,1061
7.4,"2,817",1084,1062
6.9,"23,814",1085,1063
,,1086,29
,,1087,29
,,1088,29
6.0,"22,200",1089,1064
8.4,"483,099",1090,1065
8.2,"428,101",1091,1066
5.0,338,1092,1067
6.5,639,1093,1068
5.7,"4,086",1094,1069
6.9,"16,830",1095,1070
5.1,"18,726",1096,1071
2.6,923,1097,1072
6.6,"43,114",1098,1073
,,1099,29
,,1100,29
6.4,"4,759",1101,1074
6.8,"9,243",1102,1075
8.5,"673,601",1103,1076
8.6,"787,731",1104,1077
8.4,"602,062",1105,1078
8.3,"435,438",1106,1079
