MeasureName,Score,original_index,unique_index,count
heart failure patients given an evaluation of left ventricular systolic (lvs) function,98%,152,117,4
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,153,118,7
heart failure patients given smoking cessation advice/counseling,100%,154,18,26
pneumonia patients assessed and given pneumococcal vaccination,98%,155,119,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,100%,156,120,8
pneumonia patients given smoking cessation advice/counseling,100%,157,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,9x%,158,121,1
pneumonia patients given the most appropriate initial antibiotic(s),100%,159,122,3
pneumonia patients assessed and given influenza vaccination,97%,160,123,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,67%,161,124,3
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,100%,162,109,6
surgery patients who were given the  right kind  of antibiotic to help prevent infection,x7%,163,125,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),80%,164,126,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,165,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,166,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,78%,167,58,2
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,78%,168,127,1
heart attack patients given aspirin at arrival,100%,169,114,12
heart attack patients given aspirin at discharge,100%,170,128,15
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),50%,171,129,1
heart attack patients given smoking cessation advice/counseling,100%,172,11,21
heart attack patients given beta blocker at discharge,83%,173,130,2
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,174,13,32
heart attack patients given pci within 90 minutes of arrival,empty,175,14,25
heart failure patients given discharge instructions,93%,176,131,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,84%,177,132,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,178,133,2
heart failure patients given smoking cessation advice/counseling,100%,179,18,26
pneumonia patients assessed and given pneumococcal vaccination,87%,180,85,4
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,94%,181,134,2
pneumonia patients given smoking cessation advice/counseling,94%,182,135,3
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,97%,183,136,7
pneumonia patients given the most appropriate initial antibiotic(s),93%,184,137,3
pneumonia patients assessed and given influenza vaccination,90%,185,89,4
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,86%,186,138,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,95x,187,139,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,91%,188,92,3
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100%,189,111,4
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,190,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,191,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,86%,192,38,2
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,84%,193,140,2
heart attack patients given aspirin at arrival,99%,194,141,3
heart attack patients given aspirin at discharge,96%,195,60,3
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,196,142,3
heart attack patients given smoking cessation advice/counseling,100%,197,11,21
heart attack patients given beta blocker at discharge,99%,198,22,2
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,199,13,32
heart attack patients given pci within 90 minutes of arrival,85%,200,143,2
heart failure patients given discharge instructions,94%,201,144,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,98%,202,117,4
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),98%,203,145,2
heart failure patients given smoking cessation advice/counseling,100%,204,18,26
pneumonia patients assessed and given pneumococcal vaccination,87%,205,85,4
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,96%,206,146,3
pneumonia patients given smoking cessation advice/counseling,100%,207,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,x5%,208,147,1
pneumonia patients given the most appropriate initial antibiotic(s),91%,209,70,2
pneumoniaxpatientsxassessedxandxgivenxinfluenzaxvaccination,85%,210,148,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,83%,211,149,2
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,97%,212,150,3
surgery patients who were given the  right kind  of antibiotic to help prevent infection,98%,213,34,5
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),81%,214,151,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,60%,215,152,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,216,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,89%,217,153,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,83%,218,39,2
heartxattackxpatientsxgivenxaspirinxatxarrival,100%,219,154,1
heart attack patients given aspirin at discharge,95%,220,155,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),91%,221,142,3
heart attack patients given smoking cessation advice/counseling,100%,222,11,21
heart attack patients given beta blocker at discharge,95%,223,156,2
heart attack patients given fibrinolytic medication within 30 minutes of arrival,100%,224,157,1
heart attack patients given pci within 90 minutes of arrival,40%,225,158,2
heart failure patients given discharge instructions,89%,226,159,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,227,160,12
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),94%,228,161,4
heart failure patients given smoking cessation advice/counseling,100%,229,18,26
pneumonia patients assessed and given pneumococcal vaccination,97%,230,47,5
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,93%,231,104,2
pneumonia patients given smoking cessation advice/counseling,100%,232,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,99%,233,162,4
pneumonia patients given the most appropriate initial antibiotic(s),88%,234,88,2
pneumonia patients assessed and given influenza vaccination,98%,235,163,2
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,236,108,7
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,9x%,237,164,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,xx%,238,165,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),98%,239,166,2
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,240,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,241,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,97%,242,167,2
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,97%,243,168,1
heart attack patients given aspirin at arrival,empty,244,169,5
heart attack patients given aspirin at discharge,empty,245,170,4
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,246,81,8
heart attack patients given smoking cessation advice/counseling,empty,247,43,16
heart attack patients given beta blocker at discharge,empty,248,171,4
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,249,13,32
heart attack patients given pci within 90 minutes of arrival,empty,250,14,25
heart failure patients given discharge instructions,100%,251,172,5
heart failure patients given an evaluation of left ventricular systolic (lvs) function,89x,252,173,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),88%,253,174,1
heart failure patients given smoking cessation advice/counseling,88%,254,175,1
pneumonia patients assessed and given pneumococcal vaccination,92%,255,176,2
pneumonxa patxents whose inxtxal emergency room blood culture was performed prxor to the admxnxstratxon of the fxrst hospxtal dose of antxbxotxcs,x6%,256,177,1
pneumonia patients given smoking cessation advice/counseling,100%,257,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,96%,258,50,5
pneumonia patients given the most appropriate initial antibiotic(s),100%,259,122,3
pneumonia patients assessed and given influenza vaccination,92%,260,178,3
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,261,179,6
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,86%,262,180,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,93%,263,55,4
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),86%,264,181,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,265,4,23
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,266,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,90%,267,182,2
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,90%,268,183,3
heart attack patients given aspirin at arrival,99%,269,141,3
heart attack patients given aspirin at discharge,97%,270,184,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,271,42,15
heart attack patients given smoking cessation advice/counseling,100%,272,11,21
heart attack patients given beta blocker at discharge,97%,273,185,2
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,274,13,32
heart attack patients given pci within 90 minutes of arrival,83%,275,186,2
heart failure patients given discharge instructions,86%,276,187,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,277,160,12
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),97%,278,188,2
heart failure patients given smoking cessation advice/counseling,100%,279,18,26
pneumonia patients assessed and given pneumococcal vaccination,97%,280,47,5
pnxumonia patixnts whosx initial emxrgxncy room blood culturx was pxrformxd prior to thx administration of thx first hospital dosx of antibiotics,100%,281,189,1
pneumonia patients given smoking cessation advice/counseling,100%,282,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,96%,283,50,5
pneumonia patients given the most appropriate initial antibiotic(s),93%,284,137,3
pneumonia patients assessed and given influenza vaccination,92%,285,178,3
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,89%,286,190,3
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,98%,287,191,3
surgery patients who were given the  right kind  of antibiotic to help prevent infection,99%,288,74,5
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),91%,289,192,1
all heart surgerx patients whose blood sugar (blood glucose) is kept under good control in the daxs right after surgerx,93%,290,193,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,291,57,24
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,97%,292,167,2
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,94%,293,194,3
heart attack patients given aspirin at arrival,empty,294,169,5
heart attack patients given aspirin at discharge,empty,295,170,4
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,296,81,8
heart attack patients given smoking cessation advice/counseling,empty,297,43,16
heart attack patients given beta blocker at discharge,empty,298,171,4
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,299,13,32
heart attack patients given pci within 90 minutes of arrival,empty,300,14,25
heart failure patients given discharge instructions,empty,301,195,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,empty,302,196,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,303,197,2
heart failure patients given smoking cessation advice/counseling,empty,304,198,2
pneumonia patients assessed and given pneumococcal vaccination,empty,305,199,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,empty,306,200,1
pneumonia patients given smoking cessation advice/counseling,empty,307,201,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,empty,308,202,1
pneumonia patients given the most appropriate initial antibiotic(s),empty,309,203,1
pneumonia patients assessed and given influenza vaccination,empty,310,204,1
children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,100%,311,205,2
children and their caregivers who received a home management plan of care document while hospitalized for asthma,33%,312,206,1
heart attack patients given aspirin at arrival,98%,313,19,5
heart attack patients given aspirin at discharge,96%,314,60,3
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),93%,315,61,3
heart attack patients given smoking cessation advice/counseling,100%,316,11,21
heart attack patients given beta blocker at discharge,93%,317,207,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0%,318,208,4
heart attack patients given pci within 90 minutes of arrival,87%,319,209,1
heart failure patients given discharge instructions,87%,320,210,2
heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,321,160,12
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),90%,322,45,3
heart failure patients given smoking cessation advice/counseling,100%,323,18,26
pneumonia patients assessed and given pneumococcal vaccination,97%,324,47,5
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,100%,325,120,8
pneumonia patients given smoking cessation advice/counseling,100%,326,69,20
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,97%,327,136,7
pneumonia patients given the most appropriate initial antibiotic(s),92%,328,51,3
pneumonia patients assessed and given influenza vaccination,91%,329,211,2
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,83%,330,149,2
heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,331,160,12
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,332,118,7
heart failure patients given smoking cessation advice/counseling,100%,333,18,26
pneumonia patients assessed and given pneumococcal vaccination,100%,334,212,5
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,100%,335,120,8
pneumonia patients given smoking cessation advice/counseling,x00%,336,213,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,99%,337,162,4
pneumonia patients given the most appropriate initial antibiotic(s),99%,338,214,2
pneumonia patients assessed and given influenza vaccination,99%,339,215,3
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,340,108,7
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,100%,341,109,6
surgery patients who were given the  right kind  of antibiotic to help prevent infection,100%,342,110,6
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),99%,343,216,2
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,98%,344,217,2
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,345,57,24
surgery pxtients whose doctors ordered trextments to prevent blood clots xfter certxin types of surgeries,100%,346,218,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,100%,347,113,6
heart attack patients given aspirin at arrival,97%,348,8,3
heart attack patients given aspirin at discharge,98%,349,219,2
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),85%,350,220,1
heart attack patients given smoking cessation advice/counseling,100%,351,11,21
heart attack patients given beta blocker at discharge,96%,352,62,3
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,87%,353,221,3
heart attack patients given aspirin at arrival,100%,354,114,12
heart attack patients given aspirin at discharge,100%,355,128,15
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,356,42,15
heart attack patients given smoking cessation advice/counseling,100%,357,11,21
heart attack patients given beta blocker at discharge,100%,358,44,14
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0%,359,208,4
heart attack patients given pci within 90 minutes of arrival,empty,360,14,25
heart failure patients given discharge instructions,90%,361,222,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,362,160,12
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),85%,363,223,3
heart failure patients given smoking cessation advice/counseling,100%,364,18,26
pneumonia patients assessed and given pneumococcal vaccination,91%,365,224,1
