flight,sched_dep_time,original_index,unique_index
CO-62-IAH-EWR,2:30 p.m.,71,71
CO-1561-PHX-IAH,8:05 a.m.,72,72
UA-2314-ATL-PHL,,73,73
AA-446-DFW-PHL,,74,74
CO-1023-IAH-DEN,11:40 a.m.,75,75
AA-466-IAH-MIA,,76,76
UA-3050-PHX-CLT,,77,77
CO-89-IAH-EWR,6:00 a.m.,78,78
CO-1088-CLE-IAH,8:40 a.m.,79,79
AA-1664-MIA-ATL,,80,80
AA-1279-DFW-PHX,,81,81
UA-854-SFO-IAH,,82,82
UA-382-IAD-LAX,,83,83
AA-4344-ORD-DTW,,84,84
UA-257-JFK-SFO,,85,85
UA-2945-PHL-CLT,,86,86
CO-63-EWR-IAH,5:25 p.m.,87,87
CO-47-IAH-LAX,7:10 p.m.,88,88
AA-2050-ORD-MIA,,89,89
UA-248-PHX-ORD,,90,90
AA-4330-CVG-ORD,3:35 p.m.,91,21
AA-1434-DFW-MCO,,92,91
AA-1640-MIA-MCO,,93,92
AA-4307-ORD-DTW,,94,93
AA-3-JFK-LAX,,95,94
CO-1694-LAX-IAH,7:15 p.m.,96,95
UA-843-LAX-ORD,,97,96
CO-1193-EWR-MCO,9:15 a.m.,98,97
AA-3842-MSP-ORD,,99,98
AA-643-MIA-ORD,,100,99
AA-1007-MIA-PHX,,101,100
AA-2525-DFW-MIA,,102,101
UA-2906-PHL-MCO,,103,102
UA-938-DEN-ORD,,104,103
AA-1221-MCO-ORD,,105,104
CO-16-LAX-EWR,10:25 a.m.,106,105
UA-2515-DFW-CLT,,107,106
AA-400-DFW-JFK,,108,107
UA-664-ORD-PHL,,109,108
AA-3756-ORD-SLC,,110,109
UA-37-EWR-MCO,1:29 p.m.,111,110
AA-1522-SFO-ORD,,112,111
UA-233-LAX-JFK,,113,112
AA-3823-LAX-DEN,,114,113
AA-2312-DFW-DTW,,115,114
AA-1165-JFK-MIA,,116,115
AA-431-MIA-SFO,,117,116
UA-3373-IAD-PHL,,118,117
AA-649-ORD-SNA,,119,118
CO-1250-MIA-IAH,2:53 p.m.,120,119
UA-6273-YYC-SFO,,121,120
UA-828-SFO-ORD,11:08 p.m.,122,121
CO-4888-IAH-DAL,,123,122
UA-858-PVG-SFO,,124,123
UA-2704-DTW-PHX,,125,124
AA-3063-SLC-LAX,,126,125
UA-2708-EWR-CLT,,127,126
UA-62-IAH-EWR,2:30 p.m.,128,127
UA-1500-IAH-GUA,8:55 a.m.,129,128
AA-3804-PHL-ORD,,130,129
AA-1917-JFK-MCO,,131,130
AA-2268-PHX-ORD,,132,131
AA-4277-CVG-JFK,,133,132
AA-2957-DFW-CVG,,134,133
UA-37-EDI-EWR,9:05 a.m. (-00:00),135,134
AA-789-ORD-DEN,,136,135
AA-415-BOS-ORD,,137,136
AA-85-JFK-SFO,,138,137
AA-3979-CVG-ORD,,139,138
AA-3786-IAH-ORD,,140,139
AA-271-MIA-LAX,,141,140
CO-50-CLE-EWR,2:55 p.m.,142,141
UA-3099-PHX-PHL,,143,142
AA-4198-ORD-CLE,,144,143
AA-404-MIA-MCO,,145,144
CO-45-EWR-MIA,4:00 p.m.,146,145
AA-3809-PHX-LAX,,147,146
AA-59-JFK-SFO,,148,147
AA-222-LAX-BOS,,149,148
AA-3859-IAH-ORD,7:10 a.m.,150,0
CO-1586-IAH-MCO,,151,149
AA-518-MIA-JFK,6:40 a.m.,152,3
UA-397-JFK-SFO,8:00 a.m.,153,150
UA-3925-IAD-ORF,,154,54
AA-1733-ORD-PHX,7:45 p.m.,155,1
AA-3-JFK-LAX,12:00 p.m.,156,24
UA-2830-MCO-CLT,3:27 p.m.,157,151
CO-58-DEN-IAH,,158,152
UA-5487-SFO-MRY,,159,59
AA-204-LAX-MCO,11:25 p.m.,160,5
UA-414-LAX-SFO,,161,61
CO-1614-LAX-IAH,,162,153
UA-2726-FLL-PHL,4:00 p.m.,163,154
CO-52-IAH-LAX,,164,155
CO-1090-BOS-IAH,,165,156
AA-616-DFW-DTW,9:05 a.m.,166,15
UA-3515-IAD-MSP,,167,67
AA-3468-CVG-MIA,7:00 a.m.,168,6
AA-484-DFW-MIA,4:15 p.m.,169,7
AA-1886-BOS-MIA,,170,70
CO-62-IAH-EWR,,171,157
CO-1561-PHX-IAH,,172,158
UA-2314-ATL-PHL,,173,73
AA-446-DFW-PHL,11:50 a.m.,174,8
CO-1023-IAH-DEN,,175,159
AA-466-IAH-MIA,6:00 a.m.,176,9
UA-3050-PHX-CLT,11:05 a.m.,177,160
CO-89-IAH-EWR,,178,161
CO-1088-CLE-IAH,,179,162
AA-1664-MIA-ATL,10:15 a.m.,180,12
AA-1279-DFW-PHX,1:00 p.m.,181,14
UA-854-SFO-IAH,,182,82
UA-382-IAD-LAX,,183,83
AA-4344-ORD-DTW,,184,84
UA-257-JFK-SFO,2:30 p.m.,185,163
UA-2945-PHL-CLT,12:00 p.m.,186,164
CO-63-EWR-IAH,,187,165
CO-47-IAH-LAX,,188,166
AA-2050-ORD-MIA,10:40 a.m.,189,20
UA-248-PHX-ORD,12:57 p.m.,190,167
AA-4330-CVG-ORD,,191,168
AA-1434-DFW-MCO,7:15 a.m.,192,22
AA-1640-MIA-MCO,6:30 p.m.,193,2
AA-4307-ORD-DTW,6:45 p.m.,194,23
CO-1694-LAX-IAH,7:15 p.m.,195,95
UA-843-LAX-ORD,,196,96
CO-1193-EWR-MCO,9:15 a.m.,197,97
AA-3842-MSP-ORD,6:00 a.m.,198,25
AA-643-MIA-ORD,7:10 a.m.,199,26
AA-1007-MIA-PHX,,200,100
UA-2906-PHL-MCO,3:50 p.m.,201,169
UA-938-DEN-ORD,,202,103
AA-1221-MCO-ORD,8:00 p.m.,203,28
CO-16-LAX-EWR,,204,170
UA-2515-DFW-CLT,,205,106
AA-400-DFW-JFK,10:40 a.m.,206,29
UA-664-ORD-PHL,1:33 p.m.,207,171
AA-3756-ORD-SLC,12:15 p.m.,208,4
UA-37-EWR-MCO,,209,172
AA-1522-SFO-ORD,11:55 p.m.,210,31
UA-233-LAX-JFK,4:25 p.m.,211,173
AA-3823-LAX-DEN,9:00 p.m.,212,32
AA-2312-DFW-DTW,8:25 p.m.,213,33
AA-1165-JFK-MIA,6:59 a.m.,214,34
AA-431-MIA-SFO,8:35 a.m.,215,35
UA-3373-IAD-PHL,,216,117
AA-649-ORD-SNA,1:30 p.m.,217,36
CO-1250-MIA-IAH,,218,174
UA-6273-YYC-SFO,,219,120
UA-828-SFO-ORD,11:08 p.m.,220,121
CO-4888-IAH-DAL,5:30 p.m.,221,175
UA-858-PVG-SFO,,222,123
UA-2704-DTW-PHX,,223,124
AA-3063-SLC-LAX,,224,125
UA-2708-EWR-CLT,,225,126
UA-62-IAH-EWR,,226,176
UA-1500-IAH-GUA,,227,177
AA-3804-PHL-ORD,2:35 p.m.,228,38
AA-1917-JFK-MCO,2:55 p.m.,229,39
AA-2268-PHX-ORD,7:15 a.m.,230,40
AA-4277-CVG-JFK,12:10 p.m.,231,41
AA-2957-DFW-CVG,7:55 a.m.,232,11
UA-37-EDI-EWR,,233,178
AA-789-ORD-DEN,1:05 p.m.,234,42
AA-415-BOS-ORD,,235,136
AA-85-JFK-SFO,3:05 p.m.,236,44
AA-3979-CVG-ORD,7:30 a.m.,237,13
AA-1544-SAN-ORD,,238,58
AA-3786-IAH-ORD,4:00 p.m.,239,46
AA-271-MIA-LAX,11:35 a.m.,240,19
AA-2525-DFW-MIA,7:25 a.m.,241,17
CO-50-CLE-EWR,,242,179
UA-3099-PHX-PHL,11:55 a.m.,243,180
AA-4198-ORD-CLE,10:40 a.m.,244,30
AA-404-MIA-MCO,6:45 a.m.,245,18
CO-45-EWR-MIA,4:00 p.m.,246,145
AA-3809-PHX-LAX,6:00 a.m.,247,48
AA-59-JFK-SFO,7:10 a.m.,248,49
AA-222-LAX-BOS,7:10 a.m.,249,47
AA-3859-IAH-ORD,7:10 a.m.,250,0
AA-518-MIA-JFK,6:40 a.m.,251,3
UA-397-JFK-SFO,8:00 a.m.,252,150
UA-3925-IAD-ORF,8:41 a.m.,253,181
AA-1733-ORD-PHX,7:45 p.m.,254,1
AA-1640-MIA-MCO,6:30 p.m.,255,2
UA-2830-MCO-CLT,3:27 p.m.,256,151
CO-58-DEN-IAH,11:25 a.m.,257,57
AA-1544-SAN-ORD,11:25 a.m.,258,45
UA-5487-SFO-MRY,10:39 a.m.,259,182
AA-204-LAX-MCO,11:25 p.m.,260,5
UA-414-LAX-SFO,6:00 a.m.,261,183
AA-3756-ORD-SLC,12:15 p.m.,262,4
UA-2726-FLL-PHL,4:00 p.m.,263,154
CO-1090-BOS-IAH,9:45 a.m.,264,65
AA-3468-CVG-MIA,7:00 a.m.,265,6
UA-3515-IAD-MSP,8:15 a.m.,266,184
AA-484-DFW-MIA,4:15 p.m.,267,7
CO-62-IAH-EWR,2:30 p.m.,268,71
AA-446-DFW-PHL,11:50 a.m.,269,8
AA-466-IAH-MIA,6:00 a.m.,270,9
UA-3050-PHX-CLT,11:05 a.m.,271,160
CO-89-IAH-EWR,6:00 a.m.,272,78
CO-1088-CLE-IAH,8:40 a.m.,273,79
AA-1886-BOS-MIA,10:45 a.m.,274,10
AA-1664-MIA-ATL,10:15 a.m.,275,12
AA-3979-CVG-ORD,7:30 a.m.,276,13
AA-1279-DFW-PHX,1:00 p.m.,277,14
CO-1614-LAX-IAH,12:30 a.m.,278,62
AA-616-DFW-DTW,9:05 a.m.,279,15
AA-4344-ORD-DTW,11:45 a.m.,280,16
UA-2945-PHL-CLT,12:00 p.m.,281,164
AA-2525-DFW-MIA,7:25 a.m.,282,17
AA-271-MIA-LAX,11:35 a.m.,283,19
AA-2050-ORD-MIA,10:40 a.m.,284,20
AA-1434-DFW-MCO,7:15 a.m.,285,22
CO-1561-PHX-IAH,8:05 a.m.,286,72
AA-4307-ORD-DTW,6:45 p.m.,287,23
AA-3-JFK-LAX,12:00 p.m.,288,24
CO-1694-LAX-IAH,7:15 p.m.,289,95
UA-843-LAX-ORD,1:55 p.m.,290,185
CO-1193-EWR-MCO,9:15 a.m.,291,97
AA-3842-MSP-ORD,6:00 a.m.,292,25
AA-643-MIA-ORD,7:10 a.m.,293,26
UA-2906-PHL-MCO,3:50 p.m.,294,169
UA-938-DEN-ORD,4:16 p.m.,295,186
AA-1221-MCO-ORD,8:00 p.m.,296,28
CO-16-LAX-EWR,10:25 a.m.,297,105
UA-2515-DFW-CLT,7:05 a.m.,298,187
AA-400-DFW-JFK,10:40 a.m.,299,29
UA-664-ORD-PHL,1:33 p.m.,300,171
AA-1522-SFO-ORD,11:55 p.m.,301,31
UA-233-LAX-JFK,4:25 p.m.,302,173
AA-3823-LAX-DEN,9:00 p.m.,303,32
AA-2312-DFW-DTW,8:25 p.m.,304,33
AA-1165-JFK-MIA,6:59 a.m.,305,34
AA-431-MIA-SFO,8:35 a.m.,306,35
UA-257-JFK-SFO,2:30 p.m.,307,163
UA-3373-IAD-PHL,8:29 a.m.,308,188
AA-649-ORD-SNA,1:30 p.m.,309,36
CO-1250-MIA-IAH,2:53 p.m.,310,119
UA-6273-YYC-SFO,7:35 a.m.,311,189
UA-858-PVG-SFO,1:45 p.m.,312,190
UA-2704-DTW-PHX,11:15 a.m.,313,191
AA-3063-SLC-LAX,8:20 p.m.,314,37
UA-2708-EWR-CLT,2:55 p.m.,315,192
UA-62-IAH-EWR,2:30 p.m.,316,127
AA-3804-PHL-ORD,2:35 p.m.,317,38
AA-1917-JFK-MCO,2:55 p.m.,318,39
AA-2268-PHX-ORD,7:15 a.m.,319,40
UA-2314-ATL-PHL,2:55 p.m.,320,193
AA-4277-CVG-JFK,12:10 p.m.,321,41
AA-2957-DFW-CVG,7:55 a.m.,322,11
UA-37-EDI-EWR,9:05 a.m.,323,194
AA-789-ORD-DEN,1:05 p.m.,324,42
UA-854-SFO-IAH,7:53 a.m.,325,195
AA-415-BOS-ORD,8:35 a.m.,326,43
AA-85-JFK-SFO,3:05 p.m.,327,44
AA-3786-IAH-ORD,4:00 p.m.,328,46
CO-50-CLE-EWR,2:55 p.m.,329,141
UA-3099-PHX-PHL,11:55 a.m.,330,180
AA-4198-ORD-CLE,10:40 a.m.,331,30
AA-404-MIA-MCO,6:45 a.m.,332,18
CO-45-EWR-MIA,4:00 p.m.,333,145
AA-3809-PHX-LAX,6:00 a.m.,334,48
AA-59-JFK-SFO,7:10 a.m.,335,49
AA-222-LAX-BOS,7:10 a.m.,336,47
AA-3859-IAH-ORD,,337,50
CO-1586-IAH-MCO,7:00 p.m.,338,51
AA-518-MIA-JFK,,339,52
UA-397-JFK-SFO,,340,53
UA-3925-IAD-ORF,,341,54
AA-1733-ORD-PHX,,342,55
UA-2830-MCO-CLT,,343,56
CO-58-DEN-IAH,11:25 a.m.,344,57
AA-1544-SAN-ORD,,345,58
UA-5487-SFO-MRY,,346,59
AA-204-LAX-MCO,,347,60
UA-414-LAX-SFO,,348,61
CO-1614-LAX-IAH,12:30 a.m.,349,62
UA-2726-FLL-PHL,,350,63
CO-52-IAH-LAX,7:35 a.m.,351,64
CO-1090-BOS-IAH,9:45 a.m.,352,65
AA-616-DFW-DTW,,353,66
UA-3515-IAD-MSP,,354,67
AA-3468-CVG-MIA,,355,68
AA-484-DFW-MIA,,356,69
AA-1886-BOS-MIA,,357,70
CO-62-IAH-EWR,2:30 p.m.,358,71
CO-1561-PHX-IAH,8:05 a.m.,359,72
UA-2314-ATL-PHL,,360,73
AA-446-DFW-PHL,,361,74
CO-1023-IAH-DEN,11:40 a.m.,362,75
AA-466-IAH-MIA,,363,76
UA-3050-PHX-CLT,,364,77
CO-89-IAH-EWR,6:00 a.m.,365,78
CO-1088-CLE-IAH,8:40 a.m.,366,79
AA-1664-MIA-ATL,,367,80
AA-1279-DFW-PHX,,368,81
UA-854-SFO-IAH,,369,82
UA-382-IAD-LAX,,370,83
AA-4344-ORD-DTW,,371,84
UA-257-JFK-SFO,,372,85
UA-2945-PHL-CLT,,373,86
CO-63-EWR-IAH,5:25 p.m.,374,87
CO-47-IAH-LAX,7:10 p.m.,375,88
AA-2050-ORD-MIA,,376,89
UA-248-PHX-ORD,,377,90
AA-4330-CVG-ORD,3:35 p.m.,378,21
AA-1434-DFW-MCO,,379,91
AA-1640-MIA-MCO,,380,92
AA-4307-ORD-DTW,,381,93
AA-3-JFK-LAX,,382,94
CO-1694-LAX-IAH,7:15 p.m.,383,95
UA-843-LAX-ORD,,384,96
CO-1193-EWR-MCO,9:15 a.m.,385,97
AA-3842-MSP-ORD,,386,98
AA-643-MIA-ORD,,387,99
AA-1007-MIA-PHX,,388,100
AA-2525-DFW-MIA,,389,101
UA-2906-PHL-MCO,,390,102
UA-938-DEN-ORD,,391,103
AA-1221-MCO-ORD,,392,104
CO-16-LAX-EWR,10:25 a.m.,393,105
UA-2515-DFW-CLT,,394,106
AA-400-DFW-JFK,,395,107
UA-664-ORD-PHL,,396,108
AA-3756-ORD-SLC,,397,109
UA-37-EWR-MCO,1:29 p.m.,398,110
AA-1522-SFO-ORD,,399,111
UA-233-LAX-JFK,,400,112
AA-3823-LAX-DEN,,401,113
AA-2312-DFW-DTW,,402,114
AA-1165-JFK-MIA,,403,115
AA-431-MIA-SFO,,404,116
UA-3373-IAD-PHL,,405,117
AA-649-ORD-SNA,,406,118
CO-1250-MIA-IAH,2:53 p.m.,407,119
UA-6273-YYC-SFO,,408,120
UA-828-SFO-ORD,11:08 p.m.,409,121
CO-4888-IAH-DAL,,410,122
UA-858-PVG-SFO,,411,123
UA-2704-DTW-PHX,,412,124
AA-3063-SLC-LAX,,413,125
UA-2708-EWR-CLT,,414,126
UA-62-IAH-EWR,2:30 p.m.,415,127
UA-1500-IAH-GUA,8:55 a.m.,416,128
AA-3804-PHL-ORD,,417,129
AA-1917-JFK-MCO,,418,130
AA-2268-PHX-ORD,,419,131
AA-4277-CVG-JFK,,420,132
AA-2957-DFW-CVG,,421,133
UA-37-EDI-EWR,9:05 a.m. (-00:00),422,134
AA-789-ORD-DEN,,423,135
AA-415-BOS-ORD,,424,136
AA-85-JFK-SFO,,425,137
AA-3979-CVG-ORD,,426,138
AA-3786-IAH-ORD,,427,139
AA-271-MIA-LAX,,428,140
CO-50-CLE-EWR,2:55 p.m.,429,141
UA-3099-PHX-PHL,,430,142
AA-4198-ORD-CLE,,431,143
AA-404-MIA-MCO,,432,144
CO-45-EWR-MIA,4:00 p.m.,433,145
AA-3809-PHX-LAX,,434,146
AA-59-JFK-SFO,,435,147
AA-222-LAX-BOS,,436,148
AA-3859-IAH-ORD,7:10 a.m.,437,0
CO-1586-IAH-MCO,,438,149
AA-518-MIA-JFK,6:40 a.m.,439,3
UA-397-JFK-SFO,8:00 a.m.,440,150
UA-3925-IAD-ORF,,441,54
AA-1733-ORD-PHX,7:45 p.m.,442,1
AA-3-JFK-LAX,12:00 p.m.,443,24
UA-2830-MCO-CLT,3:27 p.m.,444,151
CO-58-DEN-IAH,,445,152
UA-5487-SFO-MRY,,446,59
AA-204-LAX-MCO,11:25 p.m.,447,5
UA-414-LAX-SFO,,448,61
CO-1614-LAX-IAH,,449,153
UA-2726-FLL-PHL,4:00 p.m.,450,154
CO-52-IAH-LAX,,451,155
CO-1090-BOS-IAH,,452,156
AA-616-DFW-DTW,9:05 a.m.,453,15
UA-3515-IAD-MSP,,454,67
AA-3468-CVG-MIA,7:00 a.m.,455,6
AA-484-DFW-MIA,4:15 p.m.,456,7
AA-1886-BOS-MIA,,457,70
CO-62-IAH-EWR,,458,157
CO-1561-PHX-IAH,,459,158
UA-2314-ATL-PHL,,460,73
AA-446-DFW-PHL,11:50 a.m.,461,8
CO-1023-IAH-DEN,,462,159
AA-466-IAH-MIA,6:00 a.m.,463,9
UA-3050-PHX-CLT,11:05 a.m.,464,160
CO-89-IAH-EWR,,465,161
CO-1088-CLE-IAH,,466,162
AA-1664-MIA-ATL,10:15 a.m.,467,12
AA-1279-DFW-PHX,1:00 p.m.,468,14
UA-854-SFO-IAH,,469,82
UA-382-IAD-LAX,,470,83
AA-4344-ORD-DTW,,471,84
UA-257-JFK-SFO,2:30 p.m.,472,163
UA-2945-PHL-CLT,12:00 p.m.,473,164
CO-63-EWR-IAH,,474,165
CO-47-IAH-LAX,,475,166
AA-2050-ORD-MIA,10:40 a.m.,476,20
UA-248-PHX-ORD,,477,90
AA-4330-CVG-ORD,,478,168
AA-1434-DFW-MCO,7:15 a.m.,479,22
AA-1640-MIA-MCO,6:30 p.m.,480,2
AA-4307-ORD-DTW,6:45 p.m.,481,23
CO-1694-LAX-IAH,7:15 p.m.,482,95
UA-843-LAX-ORD,,483,96
CO-1193-EWR-MCO,9:15 a.m.,484,97
AA-3842-MSP-ORD,6:00 a.m.,485,25
AA-643-MIA-ORD,7:10 a.m.,486,26
AA-1007-MIA-PHX,,487,100
UA-2906-PHL-MCO,3:50 p.m.,488,169
UA-938-DEN-ORD,,489,103
AA-1221-MCO-ORD,8:00 p.m.,490,28
CO-16-LAX-EWR,,491,170
UA-2515-DFW-CLT,,492,106
AA-400-DFW-JFK,10:40 a.m.,493,29
UA-664-ORD-PHL,1:33 p.m.,494,171
AA-3756-ORD-SLC,12:15 p.m.,495,4
UA-37-EWR-MCO,,496,172
AA-1522-SFO-ORD,11:55 p.m.,497,31
UA-233-LAX-JFK,4:25 p.m.,498,173
AA-3823-LAX-DEN,9:00 p.m.,499,32
AA-2312-DFW-DTW,8:25 p.m.,500,33
AA-1165-JFK-MIA,6:59 a.m.,501,34
AA-431-MIA-SFO,8:35 a.m.,502,35
UA-3373-IAD-PHL,,503,117
AA-649-ORD-SNA,1:30 p.m.,504,36
CO-1250-MIA-IAH,,505,174
UA-6273-YYC-SFO,,506,120
UA-828-SFO-ORD,11:08 p.m.,507,121
CO-4888-IAH-DAL,5:30 p.m.,508,175
UA-858-PVG-SFO,,509,123
UA-2704-DTW-PHX,,510,124
AA-3063-SLC-LAX,,511,125
UA-2708-EWR-CLT,,512,126
UA-62-IAH-EWR,,513,176
UA-1500-IAH-GUA,,514,177
AA-3804-PHL-ORD,2:35 p.m.,515,38
AA-1917-JFK-MCO,2:55 p.m.,516,39
AA-2268-PHX-ORD,7:15 a.m.,517,40
AA-4277-CVG-JFK,12:10 p.m.,518,41
AA-2957-DFW-CVG,7:55 a.m.,519,11
UA-37-EDI-EWR,,520,178
AA-789-ORD-DEN,1:05 p.m.,521,42
AA-415-BOS-ORD,,522,136
AA-85-JFK-SFO,3:05 p.m.,523,44
AA-3979-CVG-ORD,7:30 a.m.,524,13
AA-1544-SAN-ORD,,525,58
AA-3786-IAH-ORD,4:00 p.m.,526,46
AA-271-MIA-LAX,11:35 a.m.,527,19
AA-2525-DFW-MIA,7:25 a.m.,528,17
CO-50-CLE-EWR,,529,179
UA-3099-PHX-PHL,11:55 a.m.,530,180
AA-4198-ORD-CLE,10:40 a.m.,531,30
AA-404-MIA-MCO,6:45 a.m.,532,18
CO-45-EWR-MIA,4:00 p.m.,533,145
AA-3809-PHX-LAX,6:00 a.m.,534,48
AA-59-JFK-SFO,7:10 a.m.,535,49
AA-222-LAX-BOS,7:10 a.m.,536,47
AA-3859-IAH-ORD,7:10 a.m.,537,0
CO-1586-IAH-MCO,7:00 p.m.,538,51
AA-518-MIA-JFK,6:40 a.m.,539,3
UA-397-JFK-SFO,8:00 a.m.,540,150
UA-3925-IAD-ORF,8:41 a.m.,541,181
AA-1733-ORD-PHX,7:45 p.m.,542,1
AA-4344-ORD-DTW,11:45 a.m.,543,16
AA-1640-MIA-MCO,6:30 p.m.,544,2
UA-2830-MCO-CLT,3:27 p.m.,545,151
CO-58-DEN-IAH,11:25 a.m.,546,57
AA-204-LAX-MCO,11:25 p.m.,547,5
UA-414-LAX-SFO,6:00 a.m.,548,183
CO-1614-LAX-IAH,12:30 a.m.,549,62
UA-2726-FLL-PHL,4:00 p.m.,550,154
CO-52-IAH-LAX,7:35 a.m.,551,64
CO-1090-BOS-IAH,9:45 a.m.,552,65
AA-3468-CVG-MIA,7:00 a.m.,553,6
UA-3515-IAD-MSP,8:15 a.m.,554,184
AA-484-DFW-MIA,4:15 p.m.,555,7
AA-616-DFW-DTW,9:05 a.m.,556,15
CO-62-IAH-EWR,2:30 p.m.,557,71
CO-63-EWR-IAH,5:25 p.m.,558,87
AA-446-DFW-PHL,11:50 a.m.,559,8
CO-1023-IAH-DEN,11:40 a.m.,560,75
AA-466-IAH-MIA,6:00 a.m.,561,9
UA-3050-PHX-CLT,11:05 a.m.,562,160
CO-89-IAH-EWR,6:00 a.m.,563,78
CO-1088-CLE-IAH,8:40 a.m.,564,79
AA-2957-DFW-CVG,7:55 a.m.,565,11
AA-1664-MIA-ATL,10:15 a.m.,566,12
AA-3979-CVG-ORD,7:30 a.m.,567,13
AA-1279-DFW-PHX,1:00 p.m.,568,14
AA-404-MIA-MCO,6:45 a.m.,569,18
AA-3756-ORD-SLC,12:15 p.m.,570,4
UA-382-IAD-LAX,12:30 p.m.,571,196
UA-2945-PHL-CLT,12:00 p.m.,572,164
CO-47-IAH-LAX,7:10 p.m.,573,88
AA-271-MIA-LAX,11:35 a.m.,574,19
AA-2050-ORD-MIA,10:40 a.m.,575,20
UA-248-PHX-ORD,12:57 p.m.,576,167
AA-4330-CVG-ORD,3:35 p.m.,577,21
AA-1434-DFW-MCO,7:15 a.m.,578,22
CO-1561-PHX-IAH,8:05 a.m.,579,72
AA-4307-ORD-DTW,6:45 p.m.,580,23
AA-3-JFK-LAX,12:00 p.m.,581,24
CO-1694-LAX-IAH,7:15 p.m.,582,95
UA-843-LAX-ORD,1:55 p.m.,583,185
CO-1193-EWR-MCO,9:15 a.m.,584,97
AA-3842-MSP-ORD,6:00 a.m.,585,25
AA-643-MIA-ORD,7:10 a.m.,586,26
AA-1007-MIA-PHX,4:55 p.m.,587,27
AA-2525-DFW-MIA,7:25 a.m.,588,17
UA-2906-PHL-MCO,3:50 p.m.,589,169
UA-938-DEN-ORD,4:16 p.m.,590,186
AA-1221-MCO-ORD,8:00 p.m.,591,28
CO-16-LAX-EWR,10:25 a.m.,592,105
UA-2515-DFW-CLT,7:05 a.m.,593,187
AA-400-DFW-JFK,10:40 a.m.,594,29
