beer-name,style,original_index,unique_index
British Pale Ale (2010),English Pale Ale,58,57
British Pale Ale,English Pale Ale,59,58
Ballz Deep Double IPA,American Double / Imperial IPA,60,59
Wolfman's Berliner,Berliner Weissbier,61,60
Colorado Native,American Amber / Red Lager,62,61
Colorado Native (2011),American Amber / Red Lager,63,62
Jockamo IPA,American IPA,64,63
Purple Haze,Fruit / Vegetable Beer,65,64
Abita Amber,American Amber / Red Lager,66,65
Citra Ass Down,American IPA,67,66
The Brown Note,American Brown Ale,68,67
Citra Ass Down,American Double / Imperial IPA,69,68
London Balling,English Barleywine,70,69
35 K,Milk / Sweet Stout,71,70
A Beer,American Pale Ale (APA),72,71
Rules are Rules,German Pilsener,73,72
Flesh Gourd'n,Pumpkin Ale,74,73
Sho'nuff,Belgian Pale Ale,75,74
Bloody Show,American Pilsner,76,75
Rico Sauvin,American Double / Imperial IPA,77,76
Coq de la Marche,Saison / Farmhouse Ale,78,77
Kamen Knuddeln,American Wild Ale,79,78
Pile of Face,American IPA,80,79
The Brown Note,English Brown Ale,81,80
Maylani's Coconut Stout,American Stout,82,81
Oatmeal PSA,American Pale Ale (APA),83,82
Pre Flight Pilsner,American Pilsner,84,83
P-Town Pilsner,American Pilsner,85,84
Klickitat Pale Ale,American Pale Ale (APA),86,85
Yellow Wolf Imperial IPA,American Double / Imperial IPA,87,86
Freeride APA,American Pale Ale (APA),88,87
Alaskan Amber,Altbier,89,88
Hopalicious,American Pale Ale (APA),90,89
Kentucky Kölsch,Kölsch,91,90
Kentucky IPA,American IPA,92,91
Dusty Trail Pale Ale,American Pale Ale (APA),93,92
Damnesia,American IPA,94,93
Desolation IPA,American IPA,95,94
Liberty Ale,American IPA,96,95
IPA,American IPA,97,96
Summer Wheat,American Pale Wheat Ale,98,97
California Lager,American Amber / Red Lager,99,98
Brotherhood Steam,California Common / Steam Beer,100,99
Blood Orange Gose,Gose,101,100
Keebarlin' Pale Ale,American Pale Ale (APA),102,101
"the Kimmie, the Yink and the Holy Gose",Gose,103,102
Fall Hornin',Pumpkin Ale,104,103
Barney Flats Oatmeal Stout,Oatmeal Stout,105,104
Summer Solstice,Cream Ale,106,105
Hop Ottin' IPA,American IPA,107,106
Boont Amber Ale,American Amber / Red Ale,108,107
Barney Flats Oatmeal Stout,Oatmeal Stout,109,104
El Steinber Dark Lager,Vienna Lager,110,108
Boont Amber Ale (2010),American Amber / Red Ale,111,109
Summer Solstice Cerveza Crema (2009),Cream Ale,112,110
Barney Flats Oatmeal Stout (2012),Oatmeal Stout,113,111
Winter Solstice,Winter Warmer,114,112
Hop Ottin' IPA (2011),American IPA,115,113
Boont Amber Ale (2011),American Amber / Red Ale,116,114
Summer Solstice (2011),Cream Ale,117,115
Poleeko Gold Pale Ale (2009),American Pale Ale (APA),118,116
Charlie's Rye IPA,American IPA,119,117
River Pig Pale Ale,American Pale Ale (APA),120,118
Oaky's Oatmeal Stout,Oatmeal Stout,121,119
Angry Orchard Apple Ginger,Cider,122,120
Angry Orchard Crisp Apple,Cider,123,121
Angry Orchard Crisp Apple,Cider,124,121
Golden One,Belgian Pale Ale,125,122
Arjuna,Witbier,126,123
Uroboros,American Stout,127,124
Long Leaf,American IPA,128,125
Honey Badger Blonde,American Blonde Ale,129,126
Porter (a/k/a Black Gold Porter),American Porter,130,127
Sky High Rye,American Pale Ale (APA),131,128
Whitsun,American Pale Wheat Ale,132,129
On-On Ale (2008),American Pale Ale (APA),133,130
Quakertown Stout,American Double / Imperial Stout,134,131
Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,135,132
Mo's Gose,Gose,136,133
Green Bullet Organic India Pale Ale,American IPA,137,134
Rocket Girl,Kölsch,138,135
Ninja Porter,American Porter,139,136
Shiva IPA,American IPA,140,137
Aslan Kölsch,Kölsch,141,138
Aslan IPA,American IPA,142,139
Aslan Amber,American Amber / Red Ale,143,140
This Season's Blonde,American Blonde Ale,144,141
Independence Pass Ale,American IPA,145,142
Trolley Stop Stout,American Stout,146,143
Bitter Bitch Imperial IPA,American Double / Imperial IPA,147,144
Poop Deck Porter,American Porter,148,145
Old Red Beard Amber Ale,American Amber / Red Ale,149,146
Hop A-Peel,American Double / Imperial IPA,150,147
Vanilla Java Porter,American Porter,151,148
Michelada,Fruit / Vegetable Beer,152,149
Dirty Blonde Ale,American Blonde Ale,153,150
Grand Circus IPA,American IPA,154,151
Atwater's Lager,Munich Helles Lager,155,152
Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,156,153
Fire Eagle IPA,American IPA,157,154
Peacemaker,American Pale Ale (APA),158,155
Pearl-Snap,German Pilsener,159,156
Black Thunder,Schwarzbier,160,157
Raja,American Double / Imperial IPA,161,158
Perzik Saison,Saison / Farmhouse Ale,162,159
Avery Joe’s Premium American Pilsner,German Pilsener,163,160
White Rascal,Witbier,164,161
Avery India Pale Ale,American IPA,165,162
Ellie’s Brown Ale,American Brown Ale,166,163
Pumpkin Beast,Pumpkin Ale,167,164
OktoberBeast,Märzen / Oktoberfest,168,165
Mad Beach,American Pale Wheat Ale,169,166
Hog Wild India Pale Ale,American IPA,170,167
Devils Tramping Ground Tripel,Tripel,171,168
Hot Rod Red,American Amber / Red Ale,172,169
Palate Mallet,American Double / Imperial IPA,173,170
Back East Porter,American Porter,174,171
Back East Golden Ale,American Blonde Ale,175,172
Misty Mountain IPA,American IPA,176,173
Back East Ale,American Amber / Red Ale,177,174
Truck Stop Honey Brown Ale,English Brown Ale,178,175
Naked Pig Pale Ale,American Pale Ale (APA),179,176
Topcutter India Pale Ale,American IPA,180,177
Field 41 Pale Ale,American Pale Ale (APA),181,178
Grapefruit Sculpin,American IPA,182,179
Even Keel,American IPA,183,180
Ballast Point Pale Ale,Kölsch,184,181
Big Eye India Pale Ale,American IPA,185,182
Longfin Lager,Munich Helles Lager,186,183
Sculpin IPA,American IPA,187,184
All Nighter Ale,Extra Special / Strong Bitter (ESB),188,185
Banner American Rye,Rye Beer,189,186
Banner American Ale,American Amber / Red Ale,190,187
Thai.p.a,American IPA,191,188
Barrio Blanco,American IPA,192,189
Barrio Tucson Blonde,American Blonde Ale,193,190
Hop in the ‘Pool Helles,American Pilsner,194,191
Ultra Gnar Gnar IPA,American IPA,195,192
In-Tents India Pale Lager,American Pale Lager,196,193
Lost Meridian Wit,Witbier,197,194
Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,198,195
Wagon Party,California Common / Steam Beer,199,196
Sky-Five,American IPA,200,197
Stargrazer,Schwarzbier,201,198
Wonderstuff,German Pilsener,202,199
Tarnation California-Style Lager,California Common / Steam Beer,203,200
On the Count of 3 (2015),Hefeweizen,204,201
Summer Swelter,American Pale Wheat Ale,205,202
Phantom Punch Winter Stout,Foreign / Export Stout,206,203
Hayride Autumn Ale,Rye Beer,207,204
Celsius Summer Ale (2012),American Pale Wheat Ale,208,205
Amber Road,American Amber / Red Ale,209,206
Pamola Xtra Pale Ale,American Pale Ale (APA),210,207
Stowaway IPA,American IPA,211,208
Hoptopus Double IPA,American Double / Imperial IPA,212,209
Watermelon Ale,Fruit / Vegetable Beer,213,210
Fenway American Pale Ale,American Pale Ale (APA),214,211
Back Bay IPA,American IPA,215,212
Bunker Hill Blueberry Ale,Other,216,213
Oberon,American Pale Wheat Ale,217,214
Smitten,Rye Beer,218,215
Winter White,Witbier,219,216
Oberon,American Pale Wheat Ale,220,214
Two Hearted,American IPA,221,217
Best Brown,American Brown Ale,222,218
Moar,English India Pale Ale (IPA),223,219
Uber Lupin Schwarz IPA,American Double / Imperial IPA,224,220
Nordic Blonde,American Blonde Ale,225,221
Cold Press,American Black Ale,226,222
Harness the Winter,American IPA,227,223
14° ESB,Extra Special / Strong Bitter (ESB),228,224
Bent Hop Golden IPA,American IPA,229,225
Bent Paddle Black Ale,American Black Ale,230,226
Venture Pils,German Pilsener,231,227
Lost Sailor IPA,English India Pale Ale (IPA),232,228
Steel Rail Extra Pale Ale,American Pale Ale (APA),233,229
La Frontera Premium IPA,American IPA,234,230
Tejas Lager,Czech Pilsener,235,231
Number 22 Porter,American Porter,236,232
Big Bend Hefeweizen,Hefeweizen,237,233
Terlingua Gold,American Blonde Ale,238,234
Aprè Shred,American Strong Ale,239,235
Hemlock Double IPA,American Double / Imperial IPA,240,236
West Portal Colorado Common Summer Ale,California Common / Steam Beer,241,237
Disconnected Red,American Amber / Red Ale,242,238
Big Elm IPA,American IPA,243,239
Gerry Dog Stout,American Stout,244,240
413 Farmhouse Ale,Saison / Farmhouse Ale,245,241
Dark Star,American Stout,246,242
Ryecoe,American IPA,247,243
Blueberry Blonde,Fruit / Vegetable Beer,248,244
Galaxy IPA,American IPA,249,245
Big River Pilsner,Czech Pilsener,250,246
House Brand IPA,American IPA,251,247
Big Sky IPA,American IPA,252,248
Scape Goat Pale Ale,English Pale Ale,253,249
Montana Trout Slayer Ale,American Pale Wheat Ale,254,250
Moose Drool Brown Ale,American Brown Ale,255,251
Powder Hound Winter Ale,English Strong Ale,256,252
Moose Drool Brown Ale (2011),American Brown Ale,257,253
Montana Trout Slayer Ale (2012),American Pale Wheat Ale,258,254
Big Sky IPA (2012),American IPA,259,255
Summer Honey,American Blonde Ale,260,256
Scape Goat Pale Ale (2010),English Pale Ale,261,257
Montana Trout Slayer Ale (2009),American Pale Wheat Ale,262,258
Moose Drool Brown Ale (2009),American Brown Ale,263,259
Arcus IPA,American IPA,264,260
Wavemaker,American Amber / Red Ale,265,261
Jack Pine Savage,American Pale Ale (APA),266,262
Forest Fire Imperial Smoked Rye,Rye Beer,267,263
Bad Axe Imperial IPA,American Double / Imperial IPA,268,264
Morning Wood,Oatmeal Stout,269,265
Bark Bite IPA,American IPA,270,266
Jalapeno Pale Ale,American Pale Ale (APA),271,267
Blown Out Brown,American Brown Ale,272,268
Single Hop Ale,American Pale Ale (APA),273,269
Sawtooth Ale,American Blonde Ale,274,270
Saucy Intruder,Rye Beer,275,271
Deception,American Blonde Ale,276,272
Blackmarket Rye IPA,American IPA,277,273
Black Market Hefeweizen,Hefeweizen,278,274
Aftermath Pale Ale,American Pale Ale (APA),279,275
American India Red Ale,American Strong Ale,280,276
American Red Porter,American Porter,281,277
American Red Saison,Saison / Farmhouse Ale,282,278
Colorado Red Ale,American Amber / Red Ale,283,279
Saddle Bronc Brown Ale,American Brown Ale,284,280
Bomber Mountain Amber Ale,American Amber / Red Ale,285,281
Flying Sailor,Rye Beer,286,282
Nordskye,American IPA,287,283
North Third Stout,Foreign / Export Stout,288,284
Honey Lav,American Pale Wheat Ale,289,285
Coconut Brown Ale,American Brown Ale,290,286
51K IPA,American IPA,291,287
Grand Rabbits,Cream Ale,292,288
1800 Big Log Wheat (2012),American Pale Wheat Ale,293,289
Double Play Pilsner,American Pilsner,294,290
Brewerhood Brown Ale,American Brown Ale,295,291
Last Call Imperial Amber Ale,American Amber / Red Ale,296,292
Pernicious Double IPA,American Double / Imperial IPA,297,293
6-4-3 Double Play Pilsner,German Pilsener,298,294
N Street Drive-In 50th Anniversary IPA,American Double / Imperial IPA,299,295
467 Ethan's Stout,American Stout,300,296
1335 Wicked Snout,Saison / Farmhouse Ale,301,297
543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),302,298
1327 Pod's ESB,Extra Special / Strong Bitter (ESB),303,299
1327 Pod's ESB,Extra Special / Strong Bitter (ESB),304,299
1327 Pod's ESB,Extra Special / Strong Bitter (ESB),305,299
834 Happy As Ale,American Pale Ale (APA),306,300
Yellow Collar,Mead,307,301
Green Collar,Mead,308,302
Quarter Mile Double IPA,American Double / Imperial IPA,309,303
Full Nelson Pale Ale,American Pale Ale (APA),310,304
Steel Wheels ESB,Extra Special / Strong Bitter (ESB),311,305
Blue Mountain Classic Lager,Euro Pale Lager,312,306
Full Nelson Pale Ale (2010),American Pale Ale (APA),313,307
Kölsch 151,Kölsch,314,308
Professor Black,American Stout,315,309
Little Boss,American Pale Wheat Ale,316,310
Van Dayum!,American Amber / Red Ale,317,311
Spirit Animal,American Pale Ale (APA),318,312
Toxic Sludge,American Black Ale,319,313
Blue Point White IPA,American White IPA,320,314
Blue Point Summer Ale,American Blonde Ale,321,315
Toasted Lager,Vienna Lager,322,316
Bohemian Export Lager,Dortmunder / Export Lager,323,317
Altus Bohemes Altbier,Altbier,324,318
Cherny Bock,Schwarzbier,325,319
Czech Pilsner,Czech Pilsener,326,320
Viennese Lager,Vienna Lager,327,321
Mad Manatee IPA,American IPA,328,322
Killer Whale Cream Ale,Cream Ale,329,323
Duke's Cold Nose Brown Ale,American Brown Ale,330,324
Longhop IPA,American IPA,331,325
Lucky Buck,Irish Dry Stout,332,326
Bomb Lager (New Recipe),Munich Helles Lager,333,327
Bomb Lager (Old Recipe),Munich Helles Lager,334,328
Firestarter India Pale Ale,American IPA,335,329
Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,336,330
Wood Splitter Pilsner,Czech Pilsener,337,331
Gyptoberfest,Märzen / Oktoberfest,338,332
Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),339,333
Slow & Steady Golden Ale,American Blonde Ale,340,334
Pink-I Raspberry IPA,American IPA,341,335
Moe's Original Bar B Que 'Bama Brew Golden Ale,American Blonde Ale,342,336
Live Local Golden Ale,American Blonde Ale,343,337
Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),344,338
Dirtbag Dunkel,Munich Dunkel Lager,345,339
Kindler Pale Ale,American Pale Ale (APA),346,340
Mistress Winter Wheat,Winter Warmer,347,341
Tent Pole Vanilla Porter,American Porter,348,342
Awry Rye Pale Ale,American Pale Ale (APA),349,343
Demshitz Brown Ale,American Brown Ale,350,344
Wood Splitter Pilsner (2012),Czech Pilsener,351,345
Brush Creek Blonde,American Blonde Ale,352,346
Firestarter India Pale Ale,American IPA,353,329
Noche Dulce,American Porter,354,347
Porch Rocker,Radler,355,348
Rebel IPA,American IPA,356,349
Cold Snap,Witbier,357,350
Samuel Adams Winter Lager,Bock,358,351
Boston Lager,Vienna Lager,359,352
Boston Lager,Vienna Lager,360,352
Samuel Adams Octoberfest,Märzen / Oktoberfest,361,353
Samuel Adams Summer Ale,American Pale Wheat Ale,362,354
Boston Lager,Vienna Lager,363,352
Hazed & Infused,American Pale Ale (APA),364,355
Hoopla Pale Ale,American Pale Ale (APA),365,356
Hazed & Infused (2010),American Pale Ale (APA),366,357
Heavy Lifting,American IPA,367,358
1492,American Pale Ale (APA),368,359
Mango Ginger,American IPA,369,360
Passenger,English Dark Mild Ale,370,361
Plum St. Porter,American Porter,371,362
Plum St. Porter,American Porter,372,362
Bozone HopZone IPA,American IPA,373,363
Bozone Hefe Weizen,Hefeweizen,374,364
Bozone Select Amber Ale,American Amber / Red Ale,375,365
Evil Owl,American Amber / Red Ale,376,366
Post Time Kölsch,Kölsch,377,367
Agave Wheat,American Pale Wheat Ale,378,368
SummerBright Ale,American Pale Wheat Ale,379,369
Lucky U IPA,American IPA,380,370
Avalanche Ale,American Amber / Red Ale,381,371
"You're My Boy, Blue",Fruit / Vegetable Beer,382,372
Last Stop IPA,American IPA,383,373
Rollin Dirty Red Ale,Irish Red Ale,384,374
Are Wheat There Yet?,American Pale Wheat Ale,385,375
Insert Hop Reference,American Pale Ale (APA),386,376
Manitou Amber,American Amber / Red Ale,387,377
Belfort,Saison / Farmhouse Ale,388,378
Star Runner,Belgian Pale Ale,389,379
Tart Side of the Barrel,American Double / Imperial Stout,390,380
Linnaeus Mango IPA,American IPA,391,381
Beasts A'Burnin',Rauchbier,392,382
Verdun,Bière de Garde,393,383
Barrel Aged Triomphe,Belgian IPA,394,384
Cherry Doppelbock,Doppelbock,395,385
Tropical Saison,Saison / Farmhouse Ale,396,386
Beach Patrol,Witbier,397,387
Nuit Serpent,Belgian IPA,398,388
Paris,Saison / Farmhouse Ale,399,389
The Grand Army,Belgian IPA,400,390
Acidulated Trip,Saison / Farmhouse Ale,401,391
Root Stock,Rye Beer,402,392
Mind Games,Dunkelweizen,403,393
Sous Chef,Belgian Strong Pale Ale,404,394
Dubbelicious,Dubbel,405,395
Psychopomp,Belgian Dark Ale,406,396
Fat Paczki,Belgian Dark Ale,407,397
Earth-Like Planets,Belgian Pale Ale,408,398
Ski Patrol,Witbier,409,399
Viking Ice Hole,Oatmeal Stout,410,400
Rye Porter,American Porter,411,401
Wizard Burial Ground,Quadrupel (Quad),412,402
Smoky Wheat,Rauchbier,413,403
BRIPA,Belgian IPA,414,404
Mela,Belgian Dark Ale,415,405
W.I.P.A Snappa,Belgian IPA,416,406
Pepper in the Rye,Rye Beer,417,407
Moe Lasses',American Stout,418,408
Pumpkin Tart,Fruit / Vegetable Beer,419,409
Undertaker,Belgian Dark Ale,420,410
Undertaker (2014),Belgian Dark Ale,421,411
Coq D'Or,Belgian Pale Ale,422,412
North French,Bière de Garde,423,413
Agent a Deux,Belgian Dark Ale,424,414
Belgian Wit,Witbier,425,415
Pothole Stout,American Stout,426,416
Tree Bucket,Belgian IPA,427,417
Le Flaneur Ale,American Wild Ale,428,418
Maize & Blueberry,Fruit / Vegetable Beer,429,419
Trebuchet Double IPA,American Double / Imperial IPA,430,420
Contemplation,Bière de Garde,431,421
Black Rabbit,American Black Ale,432,422
Zaison,Saison / Farmhouse Ale,433,423
Vivant Tripel,Tripel,434,424
Tart Side of the Moon,Belgian Dark Ale,435,425
Big Red Coq,American Amber / Red Ale,436,426
Hubris Quadrupel Anniversary Ale,Quadrupel (Quad),437,427
Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,438,428
Escoffier Bretta Ale,American Wild Ale,439,429
Contemplation (2012),Bière de Garde,440,430
Vivant Belgian Style Imperial Stout (2012),Russian Imperial Stout,441,431
Big Red Coq (2012),American Amber / Red Ale,442,432
Zaison (2012),Saison / Farmhouse Ale,443,433
Vivant Tripel (2012),Tripel,444,434
Trebuchet Double IPA (2012),Belgian IPA,445,435
Kludde,Belgian Strong Dark Ale,446,436
Farm Hand,Saison / Farmhouse Ale,447,437
Solitude,Belgian Pale Ale,448,438
Triomphe,Belgian IPA,449,439
Tampa Pale Ale,American Pale Ale (APA),450,440
Orange Grove Wheat Ale,American Pale Wheat Ale,451,441
Broad Brook Ale,American Amber / Red Ale,452,442
Northern Lights Amber Ale,American Amber / Red Ale,453,443
Polar Pale Ale,American Pale Ale (APA),454,444
Chugach Session Ale,Cream Ale,455,445
Fairweather IPA,American IPA,456,446
East India Pale Ale,English India Pale Ale (IPA),457,447
Brooklyn Summer Ale,English Pale Mild Ale,458,448
East India Pale Ale,English India Pale Ale (IPA),459,447
Brooklyn Summer Ale (2011),English Pale Mild Ale,460,449
Brooklyn Lager (16 oz.),American Amber / Red Lager,461,450
Brooklyn Lager (12 oz.),American Amber / Red Lager,462,451
Tour de Nez Belgian IPA (Current),Belgian IPA,463,452
Roler Bock (Current),Maibock / Helles Bock,464,453
Black Adder IBA (Current),American Black Ale,465,454
Very Noddy Lager (Current),Schwarzbier,466,455
Tule Duck Red Ale (Current),American Amber / Red Ale,467,456
Original Orange Blossom Ale (Current),Herbed / Spiced Beer,468,457
Black Noddy Lager (Current),Schwarzbier,469,458
Cleveland Beer Week 2013,Munich Helles Lager,470,459
Painted Turtle,American Pale Ale (APA),471,460
1836,American Blonde Ale,472,461
Summer's Wit,Witbier,473,462
More Cowbell,American Double / Imperial IPA,474,463
Wrath of Pele,American Brown Ale,475,464
Black Beer'd,American Black Ale,476,465
Mr. Tea,Fruit / Vegetable Beer,477,466
Pale Alement,American Pale Ale (APA),478,467
Hopkick Dropkick,American Double / Imperial IPA,479,468
Kreamed Corn,Cream Ale,480,469
Coconoats,American Pale Wheat Ale,481,470
Joey Wheat,American Pale Wheat Ale,482,471
3:33 Black IPA,American IPA,483,472
MCA,American IPA,484,473
Pale Alement,American Pale Ale (APA),485,467
Couch Select Lager,American Pale Lager,486,474
Mucho Aloha Hawaiian Pale Ale,American Pale Ale (APA),487,475
Heinnieweisse Weissebier,Hefeweizen,488,476
Snapperhead IPA,American IPA,489,477
Moo Thunder Stout,Milk / Sweet Stout,490,478
Porkslap Pale Ale,American Pale Ale (APA),491,479
Blackbeard,American Double / Imperial Stout,492,480
Rye Knot,American Brown Ale,493,481
Dead Arm,American Pale Ale (APA),494,482
32°/50° Kölsch,Kölsch,495,483
HopArt,American IPA,496,484
Boy King,American Double / Imperial IPA,497,485
Gran Sport,American Porter,498,486
Horny Toad Cerveza,American Blonde Ale,499,487
Native Amber,American Amber / Red Ale,500,488
F5 IPA,American IPA,501,489
Native Amber (2013),American Amber / Red Ale,502,490
Horny Toad Cerveza (2013),American Blonde Ale,503,491
Hopportunity Knocks IPA,American IPA,504,492
Pilot Rock Porter,American Porter,505,493
Caldera Pale Ale,American Pale Ale (APA),506,494
Lawnmower Lager,American Adjunct Lager,507,495
Ashland Amber Ale (2009),American Amber / Red Ale,508,496
Caldera IPA (2009),American IPA,509,497
Caldera IPA (2007),American IPA,510,498
Caldera Pale Ale (2010),American Pale Ale (APA),511,499
Caldera Pale Ale (2009),American Pale Ale (APA),512,500
Caldera Pale Ale (2005),American Pale Ale (APA),513,501
Caldera Pale Ale (2007),American Pale Ale (APA),514,502
Caldera Pale Ale (2011),American Pale Ale (APA),515,503
Ashland Amber Ale,American Amber / Red Ale,516,504
Caldera IPA,American IPA,517,505
Remain in Light,American Pilsner,518,506
Flower Child (2014),American IPA,519,507
THP White (2006),Witbier,520,508
THP Amber (2006),American Amber / Red Ale,521,509
THP Light (2006),American Blonde Ale,522,510
THP Dark (2006),English Dark Mild Ale,523,511
Imperial Pumpkin Stout,Pumpkin Ale,524,512
Dead-Eye DIPA,American Double / Imperial IPA,525,513
Fisherman's IPA,American IPA,526,514
Fisherman's Pils,German Pilsener,527,515
Fisherman's Brew,American Amber / Red Ale,528,516
Cape Cod Red,American Amber / Red Ale,529,517
Beach Blonde,American Blonde Ale,530,39
Dark Voyage Black IPA (2013),American Black Ale,531,518
Wisconsin Amber,Vienna Lager,532,519
Lake House,Munich Helles Lager,533,520
Ghost Ship White IPA,American IPA,534,521
Lake House,Munich Helles Lager,535,520
Mutiny IPA,American IPA,536,522
Wisconsin Amber (1998),Vienna Lager,537,523
Island Wheat,American Pale Wheat Ale,538,524
Wisconsin Amber (2013),Vienna Lager,539,525
U.S. Pale Ale,American Pale Ale (APA),540,526
Supper Club Lager,American Pale Lager,541,527
Carolina Lighthouse (2007),American Blonde Ale,542,528
Carolina Blonde (2006),American Blonde Ale,543,529
Carolina Blonde Light (2005),American Blonde Ale,544,530
Santa's Secret,Winter Warmer,545,531
Flagship IPA,English India Pale Ale (IPA),546,532
Sky Blue Golden Ale,Kölsch,547,533
Epitome,American Black Ale,548,534
Monkey Chased the Weasel,Berliner Weissbier,549,535
077XX,American Double / Imperial IPA,550,536
Boat Beer,American IPA,551,537
Granny Smith Hard Apple Cider,Cider,552,538
Dry Hard Apple Cider,Cider,553,539
Farmer Ted's Cream Ale,Cream Ale,554,540
Firewater India Pale Ale,American IPA,555,541
White Zombie Ale,Witbier,556,542
King Winterbolt Winter Ale,Winter Warmer,557,543
White Zombie Ale,Witbier,558,542
Firewater India Pale Ale,American IPA,559,541
Farmer Ted's Farmhouse Cream Ale,Cream Ale,560,544
Whitecap Wit,Witbier,561,545
Seiche Scottish Ale,Scottish Ale,562,546
Peanut Butter Jelly Time,American Brown Ale,563,547
King Coconut,American Porter,564,548
Gone A-Rye,American Double / Imperial IPA,565,549
Special Release,,566,550
Dankosaurus,American IPA,567,551
Scruffy's Smoked Alt,Smoked Beer,568,552
Elliott's Phoned Home Pale Ale,American Pale Ale (APA),569,553
The Lawn Ranger,Cream Ale,570,554
All American Blonde Ale,American Blonde Ale,571,555
All American Red Ale,American Amber / Red Ale,572,556
Main St. Virginia Ale,Altbier,573,557
Chin Music Amber Lager,American Amber / Red Lager,574,558
Main St. Virginia Ale,Altbier,575,557
Ray Ray’s Pale Ale,American Pale Ale (APA),576,559
Chai Ale,Herbed / Spiced Beer,577,560
Lucky Day IPA,American IPA,578,561
Terrace Hill Double IPA,American Double / Imperial IPA,579,562
Catch 23,American Black Ale,580,563
Stickin' In My Rye,Rye Beer,581,564
Black Me Stout,American Stout,582,565
Killer Kolsch,Kölsch,583,566
Missile IPA,American IPA,584,567
Enlighten,Kölsch,585,568
Ale Cider,Fruit / Vegetable Beer,586,569
Pail Ale,American Pale Ale (APA),587,570
Englishman,English Brown Ale,588,571
8 Barrel,American Strong Ale,589,572
Oktoberfest,Märzen / Oktoberfest,590,573
IPA #11,American IPA,591,574
Blood Orange Honey,Fruit / Vegetable Beer,592,575
Lighthouse Amber,Altbier,593,576
Bay of Bengal Double IPA (2014),American Double / Imperial IPA,594,577
Churchkey Pilsner Style Beer,American Pilsner,595,578
First Press,Cider,596,579
Magic Apple,Cider,597,580
Cubano Espresso,Bock,598,581
Operation Homefront,American IPA,599,582
Wandering Pelican,American Black Ale,600,583
Sugar Plum,American Brown Ale,601,584
Oktoberfest,Märzen / Oktoberfest,602,573
Puppy's Breath Porter,American Porter,603,585
Happening Now,American IPA,604,586
Hopped on the High Seas (Hop #529),American IPA,605,587
Hopped on the High Seas (Calypso),American IPA,606,588
