article_jcreated_at,article_pagination,original_index,unique_index
1/1/12,135-144,188,179
1/1/01,449-+,189,180
1/1/13,603-11,190,181
1/1/09,57-61,191,182
3/1/06,14-17,192,183
8/2/06,1078-87,193,184
1/1/12,207-212,194,185
1/1/09,"633-58 ST  - Prebiotics, immune function, infection and inflammation: a review of the evidence-",195,186
8/13/14,,196,187
1/1/12,25,197,188
7/1/14,46-55,198,189
4/1/04,237-45,199,190
12/1/14,17,200,191
1/1/13,,201,110
7/1/07,1035-46,202,192
1/1/06,715-721,203,193
1/1/13,182-91,204,194
1/1/13,310-5,205,195
,,206,46
,,207,46
1/1/95,240-6,208,196
9/10/15,,209,197
3/1/11,840-54,210,198
1/1/94,305-11,211,199
1/1/02,3541-4,212,200
,,213,46
10/1/12,130-48,214,201
1/1/12,361-3,215,202
1/1/93,265-72,216,203
1/1/08,81-83,217,204
1/1/10,562-569,218,205
1/1/06,112-120,219,206
11/1/98,447-52,220,207
1/1/99,609-21,221,208
,291S-297S,222,209
1/1/09,S29-36,223,210
,,224,46
,,225,46
9/1/13,3118-29,226,211
6/1/01,237-40,227,212
1/1/06,432-438,228,213
,,229,46
1/1/06,291-297,230,214
7/1/14,179-81,231,215
1/1/09,593-610,232,216
1/1/12,425.e1-6,233,217
1/1/13,e867-98,234,218
1/1/12,259-65,235,219
12/1/03,29-32,236,220
2/1/96,S10-3,237,221
1/1/14,e005601,238,222
11/1/01,419-21,239,223
1/1/07,113,240,224
2/1/12,52-63,241,225
1/1/14,e005077,242,226
,eS502-eS503,243,227
1/1/13,159-73,244,228
1/1/13,e249-,245,229
1/1/10,58-69,246,230
12/1/08,331-338,247,231
2/15/13,49-55,248,232
,S46-S61,249,233
9/1/02,245-8,250,234
1/1/09,415-422 8p,251,235
1/1/11,22,252,236
1/1/97,15-16,253,237
3/28/73,110-1,254,238
10/1/13,642-55,255,239
4/1/14,265-9,256,240
1/1/14,524-529,257,241
5/1/14,1232-40,258,242
1/1/12,,259,243
10/1/06,431-446 16p,260,244
1/1/75,69-74,261,245
7/1/05,774-9,262,246
1/1/05,589-96,263,247
1/1/07,922-9,264,248
2/1/06,212-8,265,249
7/1/04,714-9,266,250
1/1/15,58,267,251
1/1/14,733,268,252
1/1/03,10-Oct,269,253
,203-277,270,254
1/1/10,227,271,255
1/1/98,185-185,272,256
1/1/11,341-51,273,257
,314-320,274,258
1/1/11,,275,112
1/1/89,323-326,276,259
5/1/02,1314-21,277,260
11/1/11,1419-25,278,261
1/1/15,761-762,279,262
8/20/13,736-44,280,263
1/1/11,1024-1025,281,264
9/1/14,550-64,282,265
1/1/14,37-41 DO  - 10.1080/10810730902805788,283,266
1/1/07,,284,267
1/1/92,27-32 ST  - Wound care-,285,268
10/1/13,529-33,286,269
1/1/14,,287,270
1/1/12,e35061,288,271
1/1/14,823-830,289,272
1/1/96,7-Jan,290,273
1/1/15,223-38,291,274
2/1/09,23-31,292,275
,,293,46
1/1/11,435-442,294,276
3/1/14,2777-85,295,277
1/1/06,477-505,296,278
1/1/91,22-34,297,279
1/1/14,390-3,298,280
11/1/13,251-6,299,281
1/1/04,64-70,300,282
1/1/07,84301,301,283
1/1/10,204-9,302,284
1/1/02,119-125 7p,303,285
,39-44,304,286
1/1/93,327-32,305,287
,,306,46
1/1/03,1295-1305,307,288
12/1/01,835-42,308,289
1/1/15,1635-1643,309,290
,,310,46
1/1/12,1331-4,311,291
10/8/15,,312,292
1/1/03,663-695,313,293
1/1/10,544-7 ST  - Recurrent distal 16q duplication and terminal 22q deletion: prenatal diagnosis and genetic counseling-,314,294
2/1/14,629-30,315,295
1/1/93,616-626,316,296
1/1/09,590-6,317,297
6/1/04,159-86,318,298
6/1/14,520-3,319,299
1/1/03,2049,320,300
1/1/13,20120261,321,301
5/1/13,196-203,322,302
1/7/15,,323,303
1/1/06,173-181,324,304
,,325,46
5/1/12,130-2,326,305
,,327,46
1/1/10,237-48,328,306
,,329,46
1/1/13,26-Jan,330,307
12/1/09,53-62,331,308
1/1/06,331-373,332,309
1/1/07,"392-7 ST  - [Dinggui Oil Capsule in treating irritable bowel syndrome with stagnation of qi and cold: a prospective, multi-center, randomized, placebo-controlled, double-blind trial]-",333,310
12/1/97,259-64,334,311
9/1/00,527-33,335,312
10/1/05,441-55,336,313
1/1/12,842-848,337,314
1/1/04,112-7,338,315
1/1/78,79-105,339,316
10/9/15,,340,317
1/1/88,145-8,341,318
,,342,46
9/1/09,461-7,343,319
,,344,46
1/1/05,146-152,345,320
6/1/01,447-52,346,321
3/1/09,233-43; discussion 243,347,322
5/1/12,217-26,348,323
1/1/09,870-5,349,324
1/1/12,195-203,350,325
1/1/98,708-711,351,326
1/1/15,1444,352,327
1/1/12,8,353,328
8/1/15,627-30,354,329
1/1/10,131-137,355,330
3/7/15,,356,331
7/1/08,373-6,357,332
1/1/01,149-57,358,333
,106-119,359,334
2/28/14,,360,335
1/1/06,1127-33,361,336
2/1/13,56-64,362,337
10/15/13,2700-7,363,338
1/1/12,458-462,364,339
1/1/14,316272,365,340
1/1/09,182-195,366,341
10/1/94,1556-9,367,342
1/1/10,1112-6,368,343
1/1/11,673-692,369,344
3/1/84,239-46,370,345
9/2/14,347-55,371,346
1/1/12,298-308,372,347
1/1/14,e92590,373,348
1/1/05,143-153,374,349
7/1/14,1257-61,375,350
1/1/15,392-398,376,351
1/1/12,e50836,377,352
1/1/96,9-Jan,378,353
1/1/04,51-54 4p,379,354
5/1/06,1427-30,380,355
9/1/99,875-916,381,356
8/1/05,565-9,382,357
1/1/12,,383,243
1/1/09,70-6,384,358
1/1/85,233-44,385,359
1/1/07,346-352,386,360
1/1/05,239-244 6p,387,361
,,388,46
1/1/12,353-7,389,362
1/1/01,207-13,390,363
2/1/81,144-56,391,364
7/1/08,167-72,392,365
12/1/08,639-46,393,366
1/1/12,1050-1055,394,367
8/1/12,437-42,395,368
4/1/14,177-91,396,369
1/1/11,605-9,397,370
,11-Jan,398,371
3/1/14,725.e11-5,399,372
1/1/13,380-4,400,373
2/1/14,141-51,401,374
1/1/14,395,402,375
1/1/12,160-172,403,376
2/1/13,24-32,404,377
12/1/98,1323-30,405,378
4/1/09,231-5-,406,379
7/1/13,1005-7,407,380
1/1/04,30-33 ST  - No need for routine closed suction drainage in elective arthroplasty of the hip: a prospective randomized trial in 104 operations-,408,381
1/1/97,359-61,409,382
1/1/10,184-9 ST  - Continuation of metformin reduces early pregnancy loss in obese Pakistani women with polycystic ovarian syndrome-,410,383
3/1/06,15-Jan,411,384
11/1/10,1556-1579,412,385
1/1/00,1164-1173 DO  - 10.1002/cncr.11174,413,386
,,414,46
7/15/14,2207-14,415,387
2/1/13,314-21,416,388
3/1/99,91-3,417,389
1/1/04,607-10,418,390
,,419,46
1/1/08,226-232,420,391
1/1/63,328-39,421,392
1/1/12,974-7,422,393
1/1/15,43-8,423,394
1/1/09,827-836,424,395
1/1/95,685-90,425,396
,,426,46
12/1/09,465-6,427,397
8/13/10,468-493,428,398
1/1/97,373-378,429,399
1/1/00,5-Feb,430,400
1/1/07,695-702,431,401
1/1/11,94-95,432,402
1/1/13,w13728,433,403
1/1/01,714-22,434,404
1/1/08,"2562-9 ST  - Randomized, double-blind, placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome-",435,405
1/1/14,66,436,406
1/1/11,706-17,437,407
1/1/15,36,438,408
6/17/02,1858-63,439,409
,S223,440,410
4/1/14,100-4,441,411
6/1/14,447-55,442,412
1/1/07,400-405,443,413
1/1/07,3-Mar,444,414
10/20/14,,445,415
1/1/13,721,446,416
1/1/07,3196-3199,447,417
5/1/14,535-41,448,418
1/1/03,1001-24,449,419
5/1/09,260-87,450,420
9/1/12,780-98,451,421
1/1/10,913-9,452,422
1/1/11,21-24,453,423
1/1/04,31-40,454,424
1/1/07,51-5,455,425
1/1/09,227-33,456,426
12/1/12,1763-9,457,427
1/1/09,708-715,458,428
1/1/09,7111-7120,459,429
1/1/12,101-108,460,430
11/1/13,1074-9,461,431
12/1/14,2692-9,462,432
1/1/04,19-35,463,433
1/1/13,121-36,464,434
1/1/11,1972-4,465,435
1/1/15,100A,466,436
5/1/11,241-242,467,437
,431-438,468,438
1/1/13,13-21,469,439
1/1/13,581-91,470,440
5/1/09,545-53,471,441
4/3/15,20,472,442
1/1/13,923129,473,443
7/1/12,18-24,474,444
6/21/10,3535-44,475,445
3/1/14,493-503,476,446
8/26/10,2571,477,447
1/1/11,851-9,478,448
4/1/09,94-9,479,449
1/1/06,343-7,480,450
1/1/99,577-588,481,451
4/1/11,119-126 8p,482,452
6/1/96,54-62,483,453
1/1/99,350,484,454
1/1/00,269-77,485,455
3/1/10,68-74,486,456
,,487,46
,-,488,457
,S306-S314,489,458
1/1/14,917-920,490,459
7/1/12,1777-86,491,460
9/1/10,1282-9,492,461
1/1/07,193-9,493,462
4/1/68,273-6,494,463
8/1/13,731-741,495,464
1/1/10,277-286,496,465
1/1/05,33-43,497,466
1/1/11,141,498,467
1/1/04,190-1,499,468
2/12/07,593-5,500,469
1/1/91,289-318,501,470
1/1/11,360-374,502,471
1/1/09,238,503,472
,60-61,504,473
3/1/08,130-4,505,474
1/1/00,339-52,506,475
1/1/67,1145-53,507,476
1/1/13,875-81,508,477
1/1/13,1309-1318,509,478
1/1/02,55-56 2p,510,479
6/1/15,440-4,511,480
1/1/13,f5001,512,481
1/1/97,381-386,513,482
,57-65,514,483
4/1/14,383-4,515,484
1/1/11,4327-4335,516,485
8/1/13,223-7,517,486
10/1/11,834-40,518,487
10/26/05,2815-7,519,488
1/1/77,7-Jan,520,489
1/1/13,254-262,521,490
1/1/00,CD001880,522,491
4/1/15,759-63,523,492
10/3/14,27386-99,524,493
10/5/08,1945-52,525,494
3/1/08,83-7,526,495
1/1/14,S136,527,496
1/1/14,195-201,528,497
6/1/09,446-53,529,498
,,530,46
5/11/07,889-94,531,499
12/19/13,80-96,532,500
5/22/14,,533,501
5/1/01,453-60,534,502
3/1/00,105,535,503
,,536,46
10/1/11,319-330,537,504
1/1/06,230-232,538,505
1/1/04,435-40,539,506
5/1/05,1652-6,540,507
,,541,46
1/1/95,195-203,542,508
1/1/04,E315-6,543,509
,,544,46
1/1/05,1442-6,545,510
1/1/06,238-49,546,511
1/1/14,,547,270
3/1/92,559-62,548,512
7/28/14,6-Jan,549,513
7/24/15,,550,514
1/1/09,408-427,551,515
,,552,46
1/1/07,361-5,553,516
9/1/12,1433-41,554,517
6/1/12,843-54,555,518
1/1/10,1723-7,556,519
1/1/13,25-26,557,520
1/1/98,26-39,558,521
10/1/96,1173-8,559,522
1/1/11,S156-S157,560,523
11/1/12,2761-2769 9p,561,524
1/1/04,398-407,562,525
5/1/10,389-95,563,526
1/1/11,207-220,564,527
2/1/15,89-101,565,528
1/1/05,36-42,566,529
6/29/98,143-156,567,530
1/1/10,163-176,568,531
6/1/00,231-47,569,532
7/1/11,544-55,570,533
1/1/12,S131-2,571,534
1/1/12,"421-6, 435, 434",572,535
1/1/96,78-83,573,536
3/1/14,2427-36,574,537
1/1/05,664-669,575,538
6/1/14,489-93,576,539
1/1/14,454-460,577,540
1/1/08,655-661,578,541
7/1/07,411-3,579,542
6/1/10,e213-8,580,543
4/1/14,631-8,581,544
1/1/13,S149,582,545
1/1/11,2276-83,583,546
,,584,46
10/1/09,1727-33,585,547
9/1/09,766-71,586,548
12/1/03,950-959,587,549
1/1/13,1255-1272,588,550
1/1/95,1061-5,589,551
1/1/13,81-3,590,552
1/1/14,597-605,591,553
1/1/98,53,592,554
1/1/05,3236-42 ST  - Changes in glucose tolerance over time in women with polycystic ovary syndrome: a controlled study-,593,555
4/1/05,,594,556
1/1/10,502-8,595,557
10/1/10,288-94,596,558
1/1/02,281-5,597,559
1/1/11,4-47-53,598,560
1/1/14,584-92,599,561
9/1/15,437-41,600,562
1/1/14,202-208,601,563
8/1/07,615-622 8p,602,564
1/1/12,e1919,603,565
10/1/14,81-90,604,566
1/1/99,131-4,605,567
1/1/09,1126-1141,606,568
6/15/92,96-160,607,569
12/1/70,99-106,608,570
12/1/03,383-92,609,571
9/1/14,189-196,610,572
10/1/03,613-5,611,573
1/1/86,477-83,612,574
1/1/13,348-357,613,575
4/1/11,617-22,614,576
2/6/14,93-6,615,577
9/1/04,378-84,616,578
1/22/15,290-296,617,579
1/1/08,327-35,618,580
1/1/14,223-230,619,581
1/1/06,391-406,620,582
8/1/10,1531-7,621,583
1/1/05,"1114-7 ST  - A randomized, double-blind, placebo controlled triphosphate in study of oral adenosine subacute low back pain-",622,584
1/1/13,2018-2020,623,585
1/1/11,550-561,624,586
9/1/08,1271-6,625,587
5/1/90,527-35,626,588
12/1/01,2055-9,627,589
12/1/13,320-6,628,590
1/1/15,361-368,629,591
1/1/11,591-5,630,592
1/1/00,359-362,631,593
1/1/13,75,632,594
1/1/12,iii25-iii25,633,595
,62928,634,596
1/1/03,153-6,635,597
1/1/09,328,636,598
1/1/09,138-139,637,599
8/1/14,156-9,638,600
1/1/09,120-6 ST  - Bioavailability and tolerability of intranasal diazepam in healthy adult volunteers-,639,601
3/27/14,2755-72,640,602
1/1/06,862-869,641,603
11/4/15,,642,604
11/1/11,e483; author's reply e484,643,605
5/1/96,214-8,644,606
,,645,46
3/1/12,307-17,646,607
4/1/90,336-48,647,608
1/1/07,72,648,609
4/1/89,83-88,649,610
7/2/08,S67-8 1p,650,611
6/1/11,1883-94,651,612
1/1/10,55-60,652,613
1/1/15,2335-2340,653,614
1/1/13,19-24,654,615
1/1/04,167-175,655,616
10/1/08,3111-9,656,617
10/1/10,720-6,657,618
3/1/15,615-9,658,619
10/1/13,1237-48,659,620
7/1/14,945-52,660,621
1/1/11,A31,661,622
5/1/11,341-7,662,623
1/1/14,e103065,663,624
5/1/12,599-606,664,625
1/1/15,,665,626
1/1/15,542-549,666,627
2/1/13,209-234,667,628
1/1/08,32,668,629
1/1/07,142-166,669,630
1/1/14,139,670,631
1/1/11,700-4,671,632
,422-424,672,633
1/1/09,209-19,673,634
10/1/04,207-20,674,635
1/1/11,55-56,675,636
1/1/00,1704-10 ST  - Aerobic fitness testing in patients with chronic low back pain: which test is best?-,676,637
1/1/07,"262-265 ST  - Poster abstracts. The National Association of Bariatric Nurses, 4th Annual Meeting and Conference, October 24-27, 2007, North Charleston, South Carolina-",677,638
1/1/10,79-85,678,639
8/1/08,514-27,679,640
3/1/13,50-55,680,641
1/1/13,22,681,642
1/1/13,113-129,682,643
9/1/01,5635-42,683,644
1/1/10,10-14 DO  - 10.1016/S0748-7983(10)00156-3,684,645
1/1/14,9-Mar,685,646
1/1/14,257-264,686,647
1/1/09,1487-90,687,648
7/1/09,15-21,688,649
1/1/81,447-52 ST  - [Studies on cefotaxime (HR 756) concentration in human biliary tract and clinical effect for acute or subacute cholecystitis with cholelithiasis (author's transl)]-,689,650
11/1/06,983-6,690,651
1/1/08,G11-G15,691,652
1/1/14,,692,270
6/1/97,139-145,693,653
8/1/06,603-10,694,654
1/1/14,2425-31,695,655
1/1/96,332-3,696,656
1/1/08,4482-4486,697,657
1/1/07,47-51 ST  - The concept of neurosis in a cross-cultural perspective-,698,658
7/1/00,1-Jan,699,659
1/1/12,,700,243
1/1/14,120 [TP 184],701,660
1/1/15,Cd006178,702,661
,,703,46
1/1/14,987149,704,662
1/1/70,36-9,705,663
6/1/12,375-93,706,664
7/1/02,601-7,707,665
2/1/93,274-82,708,666
1/1/07,459-65,709,667
1/1/01,77-95,710,668
,,711,46
1/1/12,25,712,188
1/1/08,414-6,713,669
10/1/13,1756-1764,714,670
4/1/14,419,715,671
1/1/02,297-310,716,672
1/1/14,64-7,717,673
1/1/04,923-931,718,674
1/1/08,13-May,719,675
1/1/12,13-21 DO  - 10.1016/j.brat.2011.10.009,720,676
1/1/15,413-27,721,677
1/1/07,93-99 7p,722,678
10/1/12,900-14,723,679
,,724,46
1/1/86,,725,680
,,726,46
1/1/75,170-5,727,681
1/1/01,S32-47,728,682
10/1/11,393-411,729,683
1/1/14,1947-1963,730,684
1/1/08,56-60,731,685
8/1/05,974-81,732,686
1/1/14,172-82,733,687
1/1/09,28-Jul,734,688
1/1/02,74-6,735,689
1/1/06,53-58,736,690
1/1/10,462-70,737,691
,,738,46
1/1/00,119-26,739,692
1/1/10,791-799,740,693
1/1/98,59-63,741,694
1/1/05,25-29,742,695
,,743,46
1/1/86,105-18,744,696
1/1/13,,745,110
1/1/14,,746,270
,,747,46
1/1/13,286-91,748,697
5/1/11,584-90,749,698
1/1/04,68-9 ST  - The cost of national service frameworks-,750,699
8/1/02,98--100,751,700
1/1/05,166-188,752,701
5/1/13,464-468,753,702
1/1/95,1017-28,754,703
1/1/10,798-805,755,704
6/1/01,815-22,756,705
,,757,46
,"48-57; quiz 58, 60",758,706
,A776,759,707
1/1/03,283-90,760,708
7/1/07,1307-12,761,709
7/1/06,187-93,762,710
1/1/12,40-43,763,711
11/1/13,1541-7,764,712
4/1/09,204-16,765,713
,,766,46
9/1/98,769-86,767,714
7/4/14,,768,715
1/1/14,e112077,769,716
9/1/08,1140-50,770,717
1/1/01,B123-6,771,718
7/1/14,,772,719
11/13/12,2211-22,773,720
2/1/82,152-6,774,721
1/1/98,194,775,722
6/1/13,15-Oct,776,723
1/1/97,190-192,777,724
1/1/06,572-84,778,725
5/1/02,271-7,779,726
1/1/98,84-8,780,727
6/1/10,336-49,781,728
,,782,46
4/1/11,234-249,783,729
7/1/12,266-8,784,730
1/1/13,-,785,731
1/1/14,29-38,786,732
3/1/71,79-80,787,733
1/1/10,20-20,788,734
1/1/01,35-40,789,735
12/1/14,694-702,790,736
9/23/14,,791,737
1/1/00,221-32,792,738
1/1/13,18-31 14p,793,739
5/1/98,615-7,794,740
12/1/12,1257-66,795,741
,91-8,796,742
9/1/04,841-7,797,743
,,798,46
8/1/12,42-53,799,744
11/1/14,,800,745
1/1/03,39-51,801,746
1/1/93,186-192,802,747
1/1/05,124-31,803,748
1/1/82,125-142,804,749
,346-352,805,750
2/10/14,1928-33,806,751
1/1/15,47-55,807,752
3/1/08,299-314,808,753
1/1/67,756-60,809,754
1/1/12,,810,243
,,811,46
1/1/14,348,812,755
7/1/06,161-5,813,756
1/1/14,11342-11352,814,757
1/1/14,119-125,815,758
1/1/13,178-88,816,759
1/1/88,66-76,817,760
1/1/05,127-31 ST  - Premature androgenic alopecia and insulin resistance. Male equivalent of polycystic ovary syndrome?-,818,761
,A326,819,762
1/1/14,,820,270
4/1/14,976-9,821,763
1/1/04,10-10 ST  - CSM2004 best platform-,822,764
10/28/13,1796-7,823,765
4/1/11,636-45,824,766
4/1/15,382-7,825,767
1/1/08,65-68-,826,768
11/1/10,2063-8,827,769
1/1/12,1337-45,828,770
4/1/15,209-14,829,771
1/1/03,632-9,830,772
4/15/05,1652-8,831,773
,,832,46
10/1/07,835-40,833,774
5/1/06,639-49,834,775
1/1/13,925-31,835,776
6/1/95,890-902,836,777
3/1/10,249-50,837,778
11/1/13,366-74,838,779
1/1/99,693-6; discussion 697 ST  - Value of intravenous cholangiography prior to laparoscopic cholecystectomy-,839,780
,,840,46
5/7/09,2024; author reply 2026-7,841,781
1/1/14,1068-1074,842,782
1/1/94,15-20,843,783
1/1/14,,844,270
1/1/10,13-14,845,784
1/1/14,969-75,846,785
1/1/11,525-531 ST  - How to appraise the effectiveness of treatment-,847,786
10/1/07,1296-304,848,787
1/1/11,3224,849,788
5/1/07,390-8,850,789
1/1/14,435-441,851,790
2/16/10,750-758 9p,852,791
6/10/02,1039-46,853,792
1/1/14,343-51,854,793
1/1/88,330-7,855,794
1/1/10,,856,795
1/1/06,2826-34,857,796
1/1/09,1325-1332,858,797
1/1/15,A176,859,798
1/1/14,P3021,860,799
3/22/14,,861,800
1/1/15,72-7,862,801
7/7/14,29-33,863,802
1/1/10,531-9,864,803
1/1/05,217-24,865,804
1/1/06,CD001364,866,805
3/1/09,759-60,867,806
1/1/10,,868,795
1/1/05,58-68 ST  - Exercise-induced changes of the upper extremity in chronic stroke survivors-,869,807
1/1/02,287-291,870,808
1/1/14,e004623,871,809
9/1/97,371-80; discussion 435-513,872,810
1/1/05,Cd001799,873,811
1/1/14,6-May,874,812
1/1/04,643-50 ST  - Cost-utility analysis of osteopathy in primary care: results from a pragmatic randomized controlled trial-,875,813
1/1/93,138-52 ST  - The cost of depression-complicated alcoholism: health-care utilization and treatment effectiveness-,876,814
,,877,46
3/1/13,507-18,878,815
5/1/01,526,879,816
6/1/03,722-7,880,817
1/1/11,646-666,881,818
1/1/11,,882,112
1/1/89,146-160,883,819
1/1/96,,884,820
1/1/15,791-802,885,821
1/1/06,650-4,886,822
10/24/14,,887,823
1/1/13,e70858,888,824
1/1/09,153,889,825
1/1/97,391-398,890,826
1/1/03,94-104,891,827
1/1/08,63-71 ST  - Polycystic ovary syndrome (PCOS) and other androgen excess-related conditions: can changes in dietary intake make a difference?-,892,828
6/1/12,1468-74,893,829
1/1/09,34-41 ST  - Shedding health risks with bariatric weight loss surgery-,894,830
1/1/98,427-35,895,831
1/1/95,471-6,896,832
1/1/05,"1347-53 ST  - Significantly higher adrenocorticotropin-stimulated cortisol and 17-hydroxyprogesterone levels in 337 consecutive, premenopausal, caucasian, hirsute patients compared with healthy controls-",897,833
,,898,46
7/1/05,S50-5,899,834
1/1/10,74-82,900,835
11/1/07,495-503,901,836
9/1/13,255-63,902,837
1/1/09,22-25,903,838
3/1/14,625-31,904,839
1/1/14,58-69,905,840
1/1/12,,906,243
9/1/14,195-202,907,841
1/1/05,16-Mar,908,842
12/1/13,4086-93,909,843
1/1/07,14306-14311,910,844
6/1/15,e1001835; discussion e1001835-e1001835; discussion e1001835,911,845
1/1/00,244-233,912,846
11/1/13,e734-41,913,847
3/1/14,322-9,914,848
1/1/02,177-88,915,849
