id,author_list,original_index,unique_index,count
82614,"{""Lynne M Ausman"",""Martin S Obin"",""Xiang-Dong Wang"",""Chun Liu"",""Blanche C Ip"",""Donald E Smith"",""Kang-Quan Hu""}",20,20,1
163526,"{""V. E. CN  - medline DA  - Sep-Oct DB  - MEDLINE DO  - http://dx.doi.org/10.1111/j.1552-6909.2011.01275.x DP  - Ovid Technologies von Gruenigen"",""A. M. Burkett"",""J. Doyle"",""T. H. Kenny""}",21,21,1
514411,"{""Luca Maria Sconfienza"",""Ezio Lanza"",""Gianpaolo Cornalba"",""Dario Poretti"",""Catherine Cyteval"",""Pierre Viala"",""Francesco Sardanelli"",""Yann Thouvenin""}",22,22,1
569841,"{""Ariela Noy"",""Lawrence D Kaplan"",""Yanxing Yu"",""Alexandra M Levine"",""Richard F Ambinder"",""Susan E Krown"",""Bruce J Dezube"",""Lan Lin"",""Jeannette Y Lee"",""Gary S Hayward""}",23,23,1
6207,"{""Kaija Leena Kolho"",""Hanne Rintamaki"",""Taina Tervahartiala"",""Timo Sorsa"",""Laura Makitalo""}",24,24,1
21910,"{""Donna M Wilson"",""Jessica A Hewitt"",""Ralph Magnus"",""Jill Vihos"",""Karen Peterson"",""Nancy Barnes""}",25,25,1
378490,"{""Isabella Soreca"",""Andrea Fagiolini"",""David J Kupfer"",""Bret H Goodpaster"",""Sara B Fleet-Michaliszyn"",""Amy D Otto"",""John M Jakicic""}",26,26,1
971878,"{""S. Srikanta"",""O. P. Ganda"",""R. E. Gleason""}",27,27,1
793918,"{""Tina M Blackmore"",""Kirsty Dougal"",""Hilary J Worgan"",""Eric Pinloche"",""Gemma Curtis"",""C Jamie Newbold"",""Neil R McEwan"",""Susan E Girdwood"",""Pat A Harris"",""Caroline McG Argo"",""Alex Dugdale""}",28,28,1
819166,"{""G.R. Gillett""}",29,29,1
880881,"{""Seung Woo Park"",""Jae Bock Chung"",""Sang Kyum Kim"",""Si Young Song"",""Joo Won Chung"",""Ho Keun Kim"",""Joo Hee Seo"",""Seungmin Bang""}",30,30,1
629530,"{""Carolyn H McCabe"",""Shaun G Goodman"",""Frans Van de Werf"",""David A Morrow"",""Elliott M Antman"",""Eugene Braunwald"",""Kenneth W Mahaffey"",""Marc Cohen"",""Ian B Menown"",""Sabina A Murphy"",""Charles Michael Gibson""}",31,31,1
954388,"{""Marilou Madden""}",32,32,1
379737,"{""F Gates"",""P Clifton-Bligh"",""G Fulcher"",""L Hoskin"",""R Hansen""}",33,33,1
676042,"{""Yan-Xin Zhao"",""Jun-Chao Xie"",""Xue-Yuan Liu"",""Han Yan""}",34,34,1
353972,"{""B O Olley""}",35,35,1
968125,"{""T. Nakajima"",""I. Yoshino"",""K. Yasufuku"",""S. Yoshida"",""Y. Sakairi"",""K. Shibuya""}",36,36,1
660168,"{""R Loch Macdonald"",""Farbod Asgarzadie-Gadim"",""Yeon Gyoe Jang"",""Daniel J Curry"",""Rachel N Yanowitch"",""Kim E Schultheiss"",""Jocelyn Tolentino"",""J�_rgen L�_ders""}",37,37,1
732534,"{""K. Sandrick""}",38,38,1
473026,"{""Rich Sinert"",""Shoma Desai"",""Antonia Hipp"",""Carmen Lopez""}",39,39,1
372175,"{""Kooy H."",""Hong T.S."",""Symonifka J."",""Depauw N."",""Wo J.Y.""}",40,40,1
110072,"{""Jacques Van Hoecke"",""Hayat Banoujaafar"",""Christine Marie"",""Claude M Mossiat""}",41,41,1
330553,"{""G. Peters"",""K. Becker"",""C. Von Eiff""}",42,42,1
23215,"{""Leila Jackson"",""Brian J Wells"",""Gregory S Cooper"",""Siran Koroukian"",""Michael W Kattan""}",43,43,1
719532,"{""R. Luck"",""P. Mago"",""N. Fumo""}",44,44,1
86421,"{""Stephanie J Weinstein"",""Rachael Z Stolzenberg-Solomon"",""Philip R Taylor"",""Barry I Graubard"",""Jarmo Virtamo"",""Demetrius Albanes"",""Li Jiao""}",45,45,1
433667,{NULL},46,46,1
530323,"{""Catherine Mathews"",""Moleen Zunza"",""Adel Ferreira"",""Nicola Low"",""Taryn Young""}",47,47,1
102893,"{""Roger S McIntyre"",""Avnish Tripathi"",""Jeanette M Jerrell""}",48,48,1
864817,"{""B. Escudier"",""A. Ravaud"",""F. Rolland"",""A. Blesius"",""B. Beuzelink"",""S. Oudard"",""C. Chevreau""}",49,49,1
217725,"{""P. C. Wollan"",""S. J. Meraw"",""C. M. Reeve""}",50,50,1
730822,"{""Jayatunga AP"",""Dark CH"",""Jahangiri M"",""Bradley JWP""}",51,51,1
659297,"{""James Lenker"",""W Ben Mortenson"",""Frank DeRuyter"",""Louise Demers"",""Jeffrey W Jutai"",""Marcus J Fuhrer""}",52,52,1
42247,"{""John W Toumbourou"",""Eva Leslie"",""Peter Kremer"",""Joanne W Williams""}",53,53,1
302969,"{""Steven G Little"",""K Angeleque Akin-Little"",""Shari Melman""}",54,54,1
158672,"{""Shibin Mathew"",""Ipsita Banerjee""}",55,55,1
616298,"{""David N Maine"",""Genevieve E Courpas"",""James F Weller"",""Jeffrey M Richman"",""Andrew J Rowlingson"",""Christopher L Wu""}",56,56,1
221086,"{""K. Miyoshi"",""T. Noma"",""T. Muto"",""H. Hagita"",""T. Horiguchi""}",57,57,1
548616,"{""Ofelia Garcia"",""Jo Anne Kleifgen""}",58,58,1
669596,"{""Junwei Jiang"",""Hongchuan Wang"",""Hua Lou"",""Kai Liu"",""Huiwei Zhang""}",59,59,1
474288,"{""Marlies L van Bekkum"",""Barbara C van Munster"",""Marije E Hamaker"",""Carolien H Smorenburg"",""Peter L M Thunnissen""}",60,60,1
108424,"{""Ryan Holzwarth"",""Basir Tareen"",""Alicia Majkrzak"",""Darren Huber""}",61,61,1
841679,"{""S. K. Choudhary"",""G. S. Gulati"",""P. Sharma"",""S. Talwar"",""B. Airan"",""S. Mishra""}",62,62,1
173830,"{""S. H. Sicherer"",""D. Y. M. Leung""}",63,63,1
852927,"{""Laura Giacinti"",""Silvia Ileana Fattoruso"",""Maria Grazia Arena"",""Luigi Di Lauro"",""Massimo Lopez"",""Domenico Sergi"",""Diana Giannarelli""}",64,64,1
237623,"{""Allan I Binder""}",65,65,1
912884,"{""C. E. Barber""}",66,66,1
318931,"{""M. Pujol"",""P. Barrag��n"",""J.M. Tiraboschi"",""A. Imaz"",""M.́. Dom�_nguez"",""D. Podzamczer""}",67,67,1
93659,"{""Rujun Zheng"",""Yulan Peng"",""Shuzhen Zhao"",""Hong Huang"",""Ii Liang"",""Xiaoli He""}",68,68,1
349150,"{""O Ceki̤"",""C Batman""}",69,69,1
572010,"{""Anas Younes"",""L Jeffrey Medeiros"",""Frederick Hagemeister"",""Maria Alma Rodriguez"",""Sima Jeha"",""Paolo Fiumara"",""Lynne V Abruzzo"",""John T Manning"",""Jorge Romaguera"",""Andre Goy"",""Dan Jones"",""Peter McLaughlin""}",70,70,1
826030,"{""Cecilia Bj̦rkelund"",""Margaretha Jerlock""}",71,71,1
34962,"{""Everard W Thornton"",""Carolyn A Young"",""Alan Tennant"",""John Ealing"",""Kevin Talbot"",""[Collective Name] UKMND-QoL Group"",""Chris J Gibbons"",""Pamela J Shaw""}",72,72,1
574309,"{""Junge G"",""Rauer B"",""De Simone P"",""Fischer L"",""De Carlis L"",""Kaiser GM"",""Saliba F"",""Duvoux C"",""Metselaar HJ"",""Dong G"",""Nevens F"",""Fung JJ""}",73,73,1
200077,"{""T K Dutta"",""Pampa Ch Toi"",""Bhawana A Badhe"",""L H Ghotekar"",""Debdatta Basu""}",74,74,1
421512,"{""M. Mitka""}",75,75,1
715052,"{""Alexa Stuifbergen"",""Martha Gene Meraviglia""}",76,76,1
172966,"{""E. Bidat""}",77,77,1
140274,"{""J Stilkind""}",78,78,1
282039,"{""M. Martinengo"",""D. F. Ardenghi"",""G. Reali"",""G. Tripodi""}",79,79,1
835177,"{""M. Hebbar"",""P. Fournier"",""O. Romano""}",80,80,1
519732,"{""John T Sharp"",""Weng Kee Wong"",""Grace S Park"",""Harold E Paulus"",""MyungShin Oh"",""Richard H Gold"",""Dinesh Khanna""}",81,81,1
761104,"{""Milagros M. Sessions"",""Kevin J. Miller""}",82,82,1
408062,"{""E Huguet"",""O Porta"",""E Mart�_nez"",""I Mora"",""M Sim�_"",""J Pubill"",""J A Ortega"",""M T Castillo""}",83,83,1
889481,"{""W. Hummig"",""J. Stechman Neto"",""L. F. Tonial""}",84,84,1
894596,"{""Miquel S����nchez-Marr���"",""Geoff Holmes"",""Joaqu���_n Izquierdo"",""Joaquim Comas"",""Ioannis Athanasiadis"",""Karina Gibert""}",85,85,1
604985,"{""Robert S Hoffman"",""Brian W Cotter"",""Barbara M Kirrane"",""Fermin Barrueto"",""Lewis S Nelson""}",86,86,1
220950,"{""S. Gosavi"",""S. Gosavi""}",87,87,1
770196,"{""W. T. Creasman"",""S. Pecorelli"",""J. L. Benedet"",""J. H. Shepherd""}",88,88,1
914468,"{""S. Regina-Ribeiro"",""C. Tortoza"",""R. P. S. Lima"",""S. T. T. de Freitas"",""P. R. Lucareli"",""M. O. Lima"",""M. T. Pacheco"",""J. Gomes-Lucareli"",""R. A. Lopes-Martins""}",89,89,1
346326,"{""Giovanni Teodori"",""Marta Leverone"",""Eraldo Occhetta"",""Miriam Bortnik"",""Paolo Marino"",""Marco Marcolongo""}",90,90,1
612846,"{""B H Mbatchou Ngahane"",""G Devouassoux"",""H Baudrand"",""B Guibert"",""N Freymond"",""Y Pacheco"",""A Traverse-Glehen""}",91,91,1
282053,"{""M. W. Martin"",""R. Saunders"",""S. Levin""}",92,92,1
870257,"{""Melissa E. Dichter"",""Karin V. Rhodes""}",93,93,1
417578,"{""A. A. Kaddis""}",94,94,1
949067,"{""A. A. Mangoni""}",95,95,1
931323,"{""N. Jakubik"",""L. Trzpil"",""F. Raciborski"",""U. Samolinska-Zawisza"",""L. Samoli̱ski"",""D. Paczesny"",""Z. Halat"",""J. Marszalkowska"",""B. Samolinski"",""P. Samel-Kowalik"",""A. Lusawa"",""J. Gutowska"",""A. Tomaszewska"",""A. Walkiewicz""}",96,96,1
752456,"{""B. A. Burt""}",97,97,1
377284,"{""Paola Scifo"",""Alessandro Del Maschio"",""Livio Luzi"",""Elena Meneghini"",""Alberto Battezzati"",""Gianluca Perseghin"",""Massimo Danna"",""Stefano Benedini""}",98,98,1
420138,"{""Stensland SH"",""Sobal J""}",99,99,1
444273,{NULL},100,100,1
816680,"{""M. Tercedor S��nchez"",""J.A. Prieto Velasco""}",101,101,1
491006,"{""A. Keliris"",""I. Koutsourelakis"",""A. Minaritzoglou"",""S. Zakynthinos""}",102,102,1
628299,"{""Christos A Venetis"",""Basil C Tarlatzis"",""Konstantinos A Toulis"",""Efstratios M Kolibianakis"",""Dimitrios G Goulis"",""Ioannis Papadimas""}",103,103,1
72089,"{""Fenlai Tan"",""Ji Jiang"",""Don Zhang"",""Dongyang Liu"",""Yingxiang Wang"",""Li Zhang"",""Pei Hu""}",104,104,1
847287,"{""Sarah McGraw"",""Vida M Petronis"",""Charles S Carver"",""Nancy Avis"",""Kristie Long Foley"",""Deborah F Farmer"",""Roselyn G Smith"",""Kevin Smith""}",105,105,1
764224,"{""Y. Fengying"",""Y. Hainai"",""W. Jianxiong"",""T. Sijie""}",106,106,1
591619,"{""A. D. Hay"",""A. Lovering"",""C. Costelloe"",""A. Montgomery"",""D. Lewis"",""C. McNulty""}",107,107,1
125072,"{""Noritoshi Nagaya"",""Kenji Kangawa""}",108,108,1
255432,"{""D C Thompson"",""F P Rivara""}",109,109,1
689284,"{""HongQiang Wang"",""Dwain K Irvin"",""Ashley Gragg"",""Xiao-xue Zhang"",""Christopher J Wheeler"",""Keith L Black"",""Lucia Veiga"",""Ryan Cordner"",""Mandana Zandian"",""Akanksha Panwar"",""Emmanuel Jouanneau"",""Yuying Zhai"",""Shyam Goverdhana"",""Armen Mardiros""}",110,110,1
781141,"{""T. L. Davies"",""B. Bovill"",""S. Johnston"",""M. T. May"",""M. Gompels""}",111,111,1
148787,"{""J. L. Hastings"",""G. Biolo"",""B. D. Levine"",""T. Tillery"",""R. M. Peshock"",""T. A. Dorfman"",""B. R. Macias"",""A. R. DA  - Jul DO  - 10.1152/japplphysiol.01162.2006 DP  - NLM ET  - 2007/03/24 Hargens"",""S. M. Schneider""}",112,112,1
779281,{NULL},113,113,1
684757,"{""A H Zwinderman"",""M Munneke"",""G J Tijhuis"",""Z de Jong"",""J M Hazes"",""T P Vliet Vlieland""}",114,114,1
447382,{NULL},115,115,1
585766,"{""B. L. Drinkwater"",""J. E. Denton"",""S. M. Horvath"",""P. B. Raven""}",116,116,1
185291,"{""Denys T. Lau"",""Brass Buchanan Deandrea Glaser Guest Hodgson Huerta Lau Lau Miles Miller Parker-Oliver Raina Teno Weller Bostick"",""Celia Berdes"",""Jonathan Masin-Peters"",""Megan Ong""}",117,117,1
886237,"{""G̩raldine Martin-Gaujard"",""Floriane Delphin-Combe"",""Isabelle Rouch"",""Solveig Relland"",""Pierre Krolak-Salmon""}",118,118,1
954493,"{""Sheldon H. White""}",119,119,1
922646,"{""P Talke"",""J Caldwell"",""B Dodsont"",""C A Richardson""}",120,120,1
843485,"{""Peter J Winch"",""Mickey Chopra"",""Cynthia S Minkovitz"",""Debra Jackson"",""Alyssa B Sharkey""}",121,121,1
668845,"{""Jai K Das"",""Zohra S Lassi"",""Zulfiqar A Bhutta"",""Guleshehwar Zahid"",""Aamer Imdad""}",122,122,1
863844,"{""Yasunori Ota"",""Masaaki Noguchi"",""Kei-Ji Sugimoto"",""Hiroshi Izumi"",""Norio Komatsu"",""Nanae Yamaguchi"",""Hidenori Imai"",""Asami Shimada"",""Yasunobu Sekiguchi"",""Mutsumi Wakabayashi""}",123,123,1
946006,"{""A. J. Ghia"",""V. J. Gonzalez"",""J. D. Tward"",""A. M. Stroup"",""D. K. Gaffney"",""L. Pappas""}",124,124,1
36429,"{""V Cus�_"",""H Galvez"",""M Iriondo"",""J Campistol"",""I M��laga"",""A Garc�_a Cazorla""}",125,125,1
259367,"{""A. Erol"",""J. B. Celik"",""I. Kara"",""A. Topal"",""S. Guven""}",126,126,1
977276,"{""M. P. Bach"",""D. Cosic""}",127,127,1
369578,"{""D J Sadler"",""R R Gray"",""B D Schouten"",""J M Bohnen"",""J K Wong"",""R Mustard"",""G Doyle"",""R A Pugash"",""J Sanabria""}",128,128,1
772616,"{""di Raimondo D."",""Pinto A."",""Lucifora B."",""Tuttolomondo A."",""Licata G."",""Butt�� C.""}",129,129,1
334681,"{""Jamehl L. Demons"",""Jeff D. Williamson"",""Kathryn E. Callahan"",""James Lovato"",""Janice S. Lawlor"",""Hal H. Atkinson"",""Ann Lambros"",""Franklin S. Watkins"",""Kaycee M. Sink"",""Brooke R. Davis"",""Mary F. Lyles""}",130,130,1
757463,"{""Mayuko Saito"",""Susan Olender"",""Robert H Gilman"",""Christian T Bautista"",""Evelyn J Hsieh"",""Luz Caviedes"",""Kari Gillenwater"",""Jane Apgar"",""Pedro Moro"",""Andres G Lescano""}",131,131,1
465176,{NULL},132,132,1
368072,"{""Vicenzino B Bisset L, Beller E, Jull G, Brooks P, Darnell R""}",133,133,1
812893,"{""L. Schlessinger"",""D. M. Eddy"",""R. Kahn""}",134,134,1
380945,"{""G R Chalmers"",""K M Knutzen""}",135,135,1
513829,"{""Dominic S Carreira"",""Ross M Borzykowski"",""John Kozy"",""Steven D Needell""}",136,136,1
862798,"{""P. Tarraga-Lopez"",""J. M. Ocana-Lopez"",""J. Miguel-Clave"",""J. Solera-Albero"",""M. Cerdan-Oliver"",""M. A. Lopez-Cara"",""A. Celada-Rodriguez""}",137,137,1
316632,"{""M. Goyal"",""S. Wiebe"",""M. D. Hill"",""F. M. Clement"",""J. H. Wong"",""M. A. Almekhlafi"",""D. Yavin""}",138,138,1
38413,"{""J. DA  - May-Jun DO  - 10.4103/1119-3077.130253 DP  - NLM ET  - 2014/04/10 Wu"",""Q. Zhao"",""Y. Fan"",""Y. S. Liao""}",139,139,1
595469,"{""M. D. Barton"",""J. Simon"",""J. E. Axon"",""S. Moss"",""S. G. Morris"",""D. J. Trott"",""S. Fury"",""M. Maiwald"",""P. Giffard"",""D. Jordan"",""P. Southwell""}",140,140,1
49698,"{""C. C2  - Pmc2827243 C6  - Nihms132141 DA  - Oct DO  - 10.1053/j.gastro.2009.06.060 DP  - NLM ET  - 2009/07/15 Di Lorenzo"",""M. Saps"",""S. Nurko"",""P. Hyman"",""N. Youssef"",""A. Miranda"",""J. Cocjin""}",141,141,1
900624,"{""R. Daniel"",""M. T. Ansari"",""L. Weeks"",""S. Doucette"",""A. Tsertsvadze"",""B. Skidmore"",""K. Singh"",""L. Gaudet"",""M. Walker"",""S. Tsouros""}",142,142,1
246528,"{""A. Zyluk"",""P. Puchalski""}",143,143,1
347144,"{""Abdi Rasekh"",""Jie Cheng"",""Ali Massumi"",""Michael R Ujhelyi"",""Vadim Levin"",""Mehdi Razavi"",""James A Coles"",""Margit Nemeth"",""Ilyas Colombowala""}",144,144,1
957059,"{""W. T. Yu"",""S. Yang"",""Y. Tang"",""B. Wu"",""J. X. Zhou""}",145,145,1
269313,"{""Yong-Kyun Kim"",""Tae Yoong Jeong"",""Won Hyuk Chang"",""Sang Chul Lee"",""Jeong-Gyu Yoon"",""Dong Suk Kim""}",146,146,1
267879,"{""O. H. Simonsen"",""S. T. Skou"",""H. Thomsen""}",147,147,1
224232,"{""A M Mulekar"",""B J Vakiland""}",148,148,1
62306,"{""Fred W Benenati""}",149,149,1
182986,"{""K. Nguz""}",150,150,1
663994,"{""Vincent J P Van Heuven"",""Niels O Schiller"",""Jurriaan Witteman""}",151,151,1
520771,"{""R R van Rijn"",""S G F Robben""}",152,152,1
754594,"{""G. Abraham"",""Jr. Fromm, R. E."",""P. E. Marik"",""J. Varon"",""P. Careau""}",153,153,1
817046,"{""M.M.P. Yang"",""S.H. Kok"",""G.T.C. Lee""}",154,154,1
736183,"{""D Kalina"",""S de Ribaupierre"",""O Vernet"",""P -F Leyvraz"",""B Rilliet"",""B Cavin""}",155,155,1
963532,"{""S. Kato"",""M. Ishida"",""H. Sakuma""}",156,156,1
131820,"{""Debbi Ann Morrissette""}",157,157,1
704093,"{""D Chochol���"",""R Chaloupka"",""B Kala"",""J Gallo"",""M Netval""}",158,158,1
912377,"{""K. Mantsopoulos"",""C. Bohr"",""F. Hebel""}",159,159,1
203935,"{""Pakenham K.I."",""Fitzell A.""}",160,160,1
68354,"{""Maharudrappa Basnaker"",""Satish Bnvs"",""Srikala Sp""}",161,161,1
259916,"{""K. Y. Tseng"",""H. F. Huang"",""K. I. Cheng"",""H. T. Hsu"",""P. Y. Chang"",""Y. C. Chen"",""I. C. Lu""}",162,162,1
199407,"{""Alan David Widgerow"",""Laurence A. DB  - c8h DO  - 22101481 DP  - EBSCOhost Chait""}",163,163,1
790756,"{""M Schmid"",""R Salati"",""P E Bianchi"",""A M Bezzina"",""C Barone""}",164,164,1
592893,"{""S. G. Jenkins"",""T. M. File"",""D. J. Farrell""}",165,165,1
232775,"{""S. McIver""}",166,166,1
631610,"{""N R St-Pierre"",""D Sauvant"",""P Schmidely"",""J J Daudin""}",167,167,1
901298,"{""J. Kelly Anthony"",""Jane Thomas"",""Josephine Kavanagh""}",168,168,1
456691,{NULL},169,169,1
429995,"{""A Philotheou"",""S R Heller"",""J Jendle"",""M-A Gall"",""K K��lendorf"",""G P Ross"",""G Perriello"",""I Pavlic-Renar""}",170,170,1
709359,"{""C. D. Smith"",""J. E. Skandalakis""}",171,171,1
690938,"{""Tian-Biao Zhou"",""Si-Lian Fang"",""Hui-Liu Zhao"",""Gregor P C Drummen""}",172,172,1
910604,"{""P. Kruszewski"",""Dept of Neurology Trondheim University Hospital L.J. Stovner"",""Norway Trondheim"",""J. M. Shen"",""Trondheim Norway University Hospital"",""L. J. Stovner"",""Trondheim Dept. of Neurology"",""Address Correspondence"",""Addresses Author""}",173,173,1
730191,"{""Girault G"",""Rose RJ"",""Weinstein JN"",""Ball PA"",""Hanscom B"",""Fanciullo GJ""}",174,174,1
42135,"{""M Katz"",""R Chatterjee"",""A Oatridge"",""J B Porter"",""G M Bydder""}",175,175,1
835178,"{""D. C. Heimburger""}",176,176,1
335521,"{""Jianwen Cai"",""June Stevens"",""Denise K. Houston""}",177,177,1
22708,"{""J van der Meulen"",""J Kluck"",""E van Dijk"",""J H M Straatman""}",178,178,1
704111,"{""Robert T Trousdale"",""J Ryan Martin""}",179,179,1
804762,"{""T. Isayama"",""M. Crowther"",""C. Chai-Adisaksopha"",""W. Lim""}",180,180,1
657210,"{""Michiel A J Kompier"",""Etty G A Wielenga-Meijer"",""Dani��l H J Wigboldus"",""Toon W Taris""}",181,181,1
431896,{NULL},182,182,1
490584,"{""E. H. Hwang""}",183,183,1
929252,"{""K. Sidney"",""J. Antony"",""A. De Costa"",""A. Shet"",""R. Rodrigues"",""S. Krishnamurthy"",""G. D'Souza"",""K. Arumugam""}",184,184,1
821382,"{""J. Robinson-Papp"",""S.C. Shin""}",185,185,1
961741,"{""Pardo-Masferrer J. Murcia M. Soto R. Gonzalez J. Alastuey I. Montemuino S. Ortiz I. Mena A""}",186,186,1
925885,"{""H Li"",""Kf Chung"",""H Liu"",""Sp Zhang"",""M Xu""}",187,187,1
717315,"{""Enniati Rusli"",""Chien-Hui Yang""}",188,188,1
967781,"{""S. Mallery"",""J. Van Dam""}",189,189,1
928952,"{""J. J. Coran"",""T. Koropeckyj-Cox"",""C. L. Arnold""}",190,190,1
225002,"{""Lynn M Wegner"",""Michelle M Macias""}",191,191,1
550350,"{""OR. International Society for Technology in Education, Eugene"",""Bjorn Norstrom""}",192,192,1
622979,"{""Nicola Orsini"",""Susanna C Larsson"",""Alicja Wolk""}",193,193,1
501663,"{""John Petkov"",""Steve Bailey"",""Samuel Chalmers"",""Michael Heynen"",""Ebonie Scase"",""Mary E Magarey""}",194,194,1
48738,"{""A. R. Lomax"",""P. C. CN  - Pubmed DA  - Mar DO  - 10.1017/s0007114508055608 DP  - NLM ET  - 2008/09/26 Calder""}",195,195,1
143029,"{""Shao-Cheng Liu"",""Chi-Chung Wu"",""Hsing-Won Wang"",""Chuan-Hsiang Kao"",""Yueng-Hsiang Chu""}",196,196,1
667611,"{""Marion Habersack"",""Irmina-Anna Gerlich"",""Gero Luschin""}",197,197,1
565079,"{""John M O�_Callaghan"",""Robert D Morgan"",""Peter J Morris"",""Simon R Knight""}",198,198,1
348006,"{""R A Robison"",""J L Nelson"",""B L Roeder"",""B L Beckstead"",""G B Schaalje"",""J C Carmen"",""W G Pitt"",""C M Runyan""}",199,199,1
55412,"{""Thomas Martin Doring"",""Maud Parise"",""Gustavo Tukamoto"",""Emerson Leandro Gasparetto"",""Tadeu Takao Almodovar Kubo"",""Maurice Vincent""}",200,200,1
546048,"{""John B. Sell""}",201,201,1
979292,"{""Savvas Stafilidis"",""Adamantios Arampatzis""}",202,202,1
971456,"{""H. A. P. Pols"",""C. M. van Duijin"",""S. W. J. Lamberts"",""I. Rietveld"",""A. Hofman"",""J. A. M. J. L. Janssen""}",203,203,1
533193,"{""Elie A Akl"",""Gordon Guyatt"",""Stephen D Walter"",""Rita S Suri"",""Reem A Mustafa"",""Gihad E Nesrallah"",""Robert M Lindsay""}",204,204,1
970436,"{""J. Bhagatwala"",""W. Caldwell"",""D. H. Guo"",""A. Mellor"",""H. Zhu"",""R. Caldwell"",""R. Lucas"",""S. J. Parikh"",""Y. Dong"",""S. Sridhar"",""Y. Dong""}",205,205,1
437969,{NULL},206,206,1
464335,{NULL},207,207,1
417782,"{""A. L. Warshaw""}",208,208,1
979059,"{""Hiroshi Akima"",""Kazunori Nosaka"",""Aya Tomita"",""Anthony J Blazevich"",""Takayuki Inami"",""Ryosuke Ando"",""Kohei Watanabe""}",209,209,1
661572,"{""David J Roelfs"",""Joseph E Schwartz"",""Eran Shor"",""Karina W Davidson""}",210,210,1
132901,"{""D Minors"",""J Waterhouse"",""G Ghirlanda"",""G Costa"",""G Tarondi""}",211,211,1
245822,"{""C. B. Mogensen"",""I. B. Jacobsen"",""L. Wiboe""}",212,212,1
440401,{NULL},213,213,1
77389,"{""Emile E Voest"",""Saskia C C M Teunissen"",""Alexander de Graeff"",""Marija Trajkovic-Vidakovic""}",214,214,1
592817,"{""M. M. Parvaresh"",""M. Hashemi"",""R. Soodi"",""S. Nekoozadeh"",""S. A. Alemzadeh"",""K. G. Falavarjani"",""M. Modarres""}",215,215,1
169270,{NULL},216,216,1
288711,"{""S. Slawik"",""A. R. Dixon""}",217,217,1
184949,"{""D. Buzducea"",""Buzducea Cohen Johnson Lazar Lazar Lejars Lyon Marin McDowell Mardarescu O'Leary Paxton Wood Berger"",""F. Lazar"",""E. I. Mardare""}",218,218,1
833251,"{""E. Frank"",""L.D. Torres"",""D. Kupfer"",""K.L. Harkness"",""J. Guillaumot"",""J.E. Roberts"",""S.M. Monroe""}",219,219,1
470174,"{""R Tello"",""K Kandarpa"",""R F Munden"",""S Hooton"",""R Pugatch""}",220,220,1
315926,"{""I. Roberts"",""E. Heitman"",""C. Diguiseppi"",""T. Dinh-Zarr""}",221,221,1
901385,"{""O. A. Ladipo"",""J. C. Konje""}",222,222,1
