article_jcreated_at,original_index,unique_index
1/1/07,333,39
12/1/97,334,123
9/1/00,335,124
10/1/05,336,125
1/1/12,337,12
1/1/04,338,114
1/1/78,339,126
10/9/15,340,127
1/1/88,341,128
,342,31
9/1/09,343,129
,344,31
1/1/05,345,13
6/1/01,346,94
3/1/09,347,52
5/1/12,348,65
1/1/09,349,5
1/1/12,350,12
1/1/98,351,106
1/1/15,352,10
1/1/12,353,12
8/1/15,354,130
1/1/10,355,33
3/7/15,356,131
7/1/08,357,132
1/1/01,358,84
,359,31
2/28/14,360,133
1/1/06,361,9
2/1/13,362,134
10/15/13,363,135
1/1/12,364,12
1/1/14,365,27
1/1/09,366,5
10/1/94,367,136
1/1/10,368,33
1/1/11,369,8
3/1/84,370,137
9/2/14,371,138
1/1/12,372,12
1/1/14,373,27
1/1/05,374,13
7/1/14,375,87
1/1/15,376,10
1/1/12,377,12
1/1/96,378,111
1/1/04,379,114
5/1/06,380,139
9/1/99,381,140
8/1/05,382,141
1/1/12,383,12
1/1/09,384,5
1/1/85,385,142
1/1/07,386,39
1/1/05,387,13
,388,31
1/1/12,389,12
1/1/01,390,84
2/1/81,391,143
7/1/08,392,132
12/1/08,393,20
1/1/12,394,12
8/1/12,395,144
4/1/14,396,56
1/1/11,397,8
,398,31
3/1/14,399,19
1/1/13,400,3
2/1/14,401,117
1/1/14,402,27
1/1/12,403,12
2/1/13,404,134
12/1/98,405,145
4/1/09,406,146
7/1/13,407,147
1/1/04,408,114
1/1/97,409,14
1/1/10,410,33
3/1/06,411,57
11/1/10,412,35
1/1/00,413,59
,414,31
7/15/14,415,148
2/1/13,416,134
3/1/99,417,45
1/1/04,418,114
,419,31
1/1/08,420,26
1/1/63,421,149
1/1/12,422,12
1/1/15,423,10
1/1/09,424,5
1/1/95,425,29
,426,31
12/1/09,427,122
8/13/10,428,150
1/1/97,429,14
1/1/00,430,59
1/1/07,431,39
1/1/11,432,8
1/1/13,433,3
1/1/01,434,84
1/1/08,435,26
1/1/14,436,27
1/1/11,437,8
1/1/15,438,10
6/17/02,439,151
,440,31
4/1/14,441,56
6/1/14,442,119
1/1/07,443,39
1/1/07,444,39
10/20/14,445,152
1/1/13,446,3
1/1/07,447,39
5/1/14,448,76
1/1/03,449,105
5/1/09,450,153
9/1/12,451,154
1/1/10,452,33
1/1/11,453,8
1/1/04,454,114
1/1/07,455,39
1/1/09,456,5
12/1/12,457,155
1/1/09,458,5
1/1/09,459,5
1/1/12,460,12
11/1/13,461,113
12/1/14,462,17
1/1/04,463,114
1/1/13,464,3
1/1/11,465,8
1/1/15,466,10
5/1/11,467,156
,468,31
1/1/13,469,3
1/1/13,470,3
5/1/09,471,153
4/3/15,472,157
1/1/13,473,3
7/1/12,474,158
6/21/10,475,159
3/1/14,476,19
8/26/10,477,160
1/1/11,478,8
4/1/09,479,146
1/1/06,480,9
1/1/99,481,36
4/1/11,482,161
6/1/96,483,162
1/1/99,484,36
1/1/00,485,59
3/1/10,486,163
,487,31
,488,31
,489,31
1/1/14,490,27
7/1/12,491,158
9/1/10,492,164
1/1/07,493,39
4/1/68,494,165
8/1/13,495,166
1/1/10,496,33
1/1/05,497,13
1/1/11,498,8
1/1/04,499,114
2/12/07,500,167
1/1/91,501,112
1/1/11,502,8
1/1/09,503,5
,504,31
3/1/08,505,168
1/1/00,506,59
1/1/67,507,169
1/1/13,508,3
1/1/13,509,3
1/1/02,510,80
6/1/15,511,170
1/1/13,512,3
1/1/97,513,14
,514,31
4/1/14,515,56
1/1/11,516,8
8/1/13,517,166
10/1/11,518,171
10/26/05,519,172
1/1/77,520,173
1/1/13,521,3
1/1/00,522,59
4/1/15,523,174
10/3/14,524,175
10/5/08,525,176
3/1/08,526,168
1/1/14,527,27
1/1/14,528,27
6/1/09,529,177
,530,31
5/11/07,531,178
12/19/13,532,179
5/22/14,533,180
5/1/01,534,181
3/1/00,535,182
,536,31
10/1/11,537,171
1/1/06,538,9
1/1/04,539,114
5/1/05,540,183
,541,31
1/1/95,542,29
1/1/04,543,114
,544,31
1/1/05,545,13
1/1/06,546,9
1/1/14,547,27
3/1/92,548,184
7/28/14,549,185
7/24/15,550,186
1/1/09,551,5
,552,31
1/1/07,553,39
9/1/12,554,154
6/1/12,555,44
1/1/10,556,33
1/1/13,557,3
1/1/98,558,106
10/1/96,559,187
1/1/11,560,8
11/1/12,561,38
1/1/04,562,114
5/1/10,563,188
1/1/11,564,8
2/1/15,565,25
1/1/05,566,13
6/29/98,567,189
1/1/10,568,33
6/1/00,569,190
7/1/11,570,191
1/1/12,571,12
1/1/12,572,12
1/1/96,573,111
3/1/14,574,19
1/1/05,575,13
6/1/14,576,119
1/1/14,577,27
1/1/08,578,26
7/1/07,579,89
6/1/10,580,192
4/1/14,581,56
1/1/13,582,3
1/1/11,583,8
,584,31
10/1/09,585,193
9/1/09,586,129
12/1/03,587,95
1/1/13,588,3
1/1/95,589,29
1/1/13,590,3
1/1/14,591,27
1/1/98,592,106
1/1/05,593,13
4/1/05,594,194
1/1/10,595,33
10/1/10,596,42
1/1/02,597,80
1/1/11,598,8
1/1/14,599,27
9/1/15,600,195
1/1/14,601,27
8/1/07,602,196
1/1/12,603,12
10/1/14,604,32
1/1/99,605,36
1/1/09,606,5
6/15/92,607,197
12/1/70,608,198
12/1/03,609,95
9/1/14,610,60
10/1/03,611,199
1/1/86,612,21
1/1/13,613,3
4/1/11,614,161
2/6/14,615,200
9/1/04,616,201
1/22/15,617,202
1/1/08,618,26
1/1/14,619,27
1/1/06,620,9
8/1/10,621,203
1/1/05,622,13
1/1/13,623,3
1/1/11,624,8
9/1/08,625,204
5/1/90,626,205
12/1/01,627,115
12/1/13,628,16
1/1/15,629,10
1/1/11,630,8
1/1/00,631,59
1/1/13,632,3
1/1/12,633,12
,634,31
1/1/03,635,105
1/1/09,636,5
1/1/09,637,5
8/1/14,638,206
1/1/09,639,5
3/27/14,640,207
1/1/06,641,9
11/4/15,642,208
11/1/11,643,109
5/1/96,644,209
,645,31
3/1/12,646,210
4/1/90,647,211
1/1/07,648,39
4/1/89,649,212
7/2/08,650,213
6/1/11,651,214
1/1/10,652,33
1/1/15,653,10
1/1/13,654,3
1/1/04,655,114
10/1/08,656,215
10/1/10,657,42
3/1/15,658,216
10/1/13,659,82
7/1/14,660,87
1/1/11,661,8
5/1/11,662,156
1/1/14,663,27
5/1/12,664,65
1/1/15,665,10
1/1/15,666,10
2/1/13,667,134
1/1/08,668,26
1/1/07,669,39
1/1/14,670,27
1/1/11,671,8
,672,31
1/1/09,673,5
10/1/04,674,217
1/1/11,675,8
1/1/00,676,59
1/1/07,677,39
1/1/10,678,33
8/1/08,679,77
3/1/13,680,218
1/1/13,681,3
1/1/13,682,3
9/1/01,683,219
1/1/10,684,33
1/1/14,685,27
1/1/14,686,27
1/1/09,687,5
7/1/09,688,220
1/1/81,689,221
11/1/06,690,222
1/1/08,691,26
1/1/14,692,27
6/1/97,693,223
8/1/06,694,224
1/1/14,695,27
1/1/96,696,111
1/1/08,697,26
1/1/07,698,39
7/1/00,699,225
1/1/12,700,12
1/1/14,701,27
1/1/15,702,10
,703,31
1/1/14,704,27
1/1/70,705,226
6/1/12,706,44
7/1/02,707,227
2/1/93,708,228
1/1/07,709,39
1/1/01,710,84
,711,31
1/1/12,712,12
1/1/08,713,26
10/1/13,714,82
4/1/14,715,56
1/1/02,716,80
1/1/14,717,27
1/1/04,718,114
1/1/08,719,26
1/1/12,720,12
1/1/15,721,10
1/1/07,722,39
10/1/12,723,73
,724,31
1/1/86,725,21
,726,31
1/1/75,727,101
1/1/01,728,84
10/1/11,729,171
1/1/14,730,27
1/1/08,731,26
8/1/05,732,141
1/1/14,733,27
1/1/09,734,5
1/1/02,735,80
1/1/06,736,9
1/1/10,737,33
,738,31
1/1/00,739,59
1/1/10,740,33
1/1/98,741,106
1/1/05,742,13
,743,31
1/1/86,744,21
1/1/13,745,3
1/1/14,746,27
,747,31
1/1/13,748,3
5/1/11,749,156
1/1/04,750,114
8/1/02,751,229
1/1/05,752,13
5/1/13,753,120
1/1/95,754,29
1/1/10,755,33
6/1/01,756,94
,757,31
,758,31
,759,31
1/1/03,760,105
7/1/07,761,89
7/1/06,762,78
1/1/12,763,12
11/1/13,764,113
4/1/09,765,146
,766,31
9/1/98,767,230
7/4/14,768,231
1/1/14,769,27
9/1/08,770,204
1/1/01,771,84
7/1/14,772,87
11/13/12,773,232
2/1/82,774,233
1/1/98,775,106
6/1/13,776,234
1/1/97,777,14
1/1/06,778,9
5/1/02,779,108
1/1/98,780,106
6/1/10,781,192
,782,31
4/1/11,783,161
7/1/12,784,158
1/1/13,785,3
1/1/14,786,27
3/1/71,787,235
1/1/10,788,33
1/1/01,789,84
12/1/14,790,17
9/23/14,791,236
1/1/00,792,59
1/1/13,793,3
5/1/98,794,237
12/1/12,795,155
,796,31
9/1/04,797,201
,798,31
8/1/12,799,144
11/1/14,800,69
1/1/03,801,105
1/1/93,802,79
1/1/05,803,13
1/1/82,804,238
,805,31
2/10/14,806,239
1/1/15,807,10
3/1/08,808,168
1/1/67,809,169
1/1/12,810,12
,811,31
1/1/14,812,27
7/1/06,813,78
1/1/14,814,27
1/1/14,815,27
1/1/13,816,3
1/1/88,817,128
1/1/05,818,13
,819,31
1/1/14,820,27
4/1/14,821,56
1/1/04,822,114
10/28/13,823,240
4/1/11,824,161
4/1/15,825,174
1/1/08,826,26
11/1/10,827,35
1/1/12,828,12
4/1/15,829,174
1/1/03,830,105
4/15/05,831,241
,832,31
10/1/07,833,242
5/1/06,834,139
1/1/13,835,3
6/1/95,836,243
3/1/10,837,163
11/1/13,838,113
1/1/99,839,36
,840,31
5/7/09,841,244
1/1/14,842,27
1/1/94,843,37
1/1/14,844,27
1/1/10,845,33
1/1/14,846,27
1/1/11,847,8
10/1/07,848,242
1/1/11,849,8
5/1/07,850,245
1/1/14,851,27
2/16/10,852,246
6/10/02,853,247
1/1/14,854,27
1/1/88,855,128
1/1/10,856,33
1/1/06,857,9
1/1/09,858,5
1/1/15,859,10
1/1/14,860,27
3/22/14,861,248
1/1/15,862,10
7/7/14,863,249
1/1/10,864,33
1/1/05,865,13
1/1/06,866,9
3/1/09,867,52
1/1/10,868,33
1/1/05,869,13
1/1/02,870,80
1/1/14,871,27
9/1/97,872,250
1/1/05,873,13
1/1/14,874,27
1/1/04,875,114
1/1/93,876,79
,877,31
3/1/13,878,218
5/1/01,879,181
6/1/03,880,67
1/1/11,881,8
1/1/11,882,8
1/1/89,883,107
1/1/96,884,111
1/1/15,885,10
1/1/06,886,9
10/24/14,887,251
1/1/13,888,3
1/1/09,889,5
1/1/97,890,14
1/1/03,891,105
1/1/08,892,26
6/1/12,893,44
1/1/09,894,5
1/1/98,895,106
1/1/95,896,29
1/1/05,897,13
,898,31
7/1/05,899,102
1/1/10,900,33
11/1/07,901,252
9/1/13,902,93
1/1/09,903,5
3/1/14,904,19
1/1/14,905,27
1/1/12,906,12
9/1/14,907,60
1/1/05,908,13
12/1/13,909,16
1/1/07,910,39
6/1/15,911,170
1/1/00,912,59
11/1/13,913,113
3/1/14,914,19
1/1/02,915,80
1/1/98,916,106
8/31/10,917,253
3/1/02,918,254
1/1/14,919,27
9/1/94,920,255
,921,31
1/1/03,922,105
,923,31
4/1/15,924,174
1/1/93,925,79
9/1/12,926,154
,927,31
1/1/86,928,21
1/1/01,929,84
2/1/15,930,25
7/10/13,931,256
,932,31
,933,31
1/1/05,934,13
1/1/15,935,10
1/1/03,936,105
1/1/87,937,257
1/1/14,938,27
1/1/08,939,26
1/1/14,940,27
1/1/10,941,33
,942,31
5/1/11,943,156
1/1/09,944,5
1/1/11,945,8
1/1/76,946,62
,947,31
,948,31
1/1/12,949,12
1/1/14,950,27
1/1/14,951,27
,952,31
5/1/10,953,188
1/1/10,954,33
,955,31
1/1/05,956,13
10/1/13,957,82
1/1/95,958,29
5/1/15,959,51
1/1/15,960,10
6/1/05,961,258
1/1/14,962,27
1/1/94,963,37
1/1/13,964,3
8/1/13,965,166
10/1/03,966,199
1/1/13,967,3
1/1/91,968,112
1/1/91,969,112
1/1/13,970,3
1/1/13,971,3
1/1/07,972,39
6/1/14,973,119
10/1/14,974,32
9/1/15,975,195
,976,31
11/1/10,977,35
1/1/93,978,79
7/1/12,979,158
8/1/09,980,55
1/1/86,981,21
1/1/10,982,33
2/1/01,983,259
1/1/13,984,3
1/1/90,985,260
1/1/13,986,3
1/1/99,987,36
1/1/05,988,13
9/1/14,989,60
1/1/00,990,59
11/1/13,991,113
4/1/14,992,56
1/1/14,993,27
6/1/02,994,261
1/1/91,995,112
1/1/07,996,39
10/27/14,997,262
1/1/11,998,8
1/1/12,999,12
