Director,Actors,original_index,unique_index
Edward Zwick,"Tom Cruise,Ken Watanabe,Billy Connolly",30,30
Tony Scott,"Tom Cruise,Tim Robbins,Kelly McGillis",31,31
Vincent Ward,"Robin Williams,Cuba Gooding Jr.,Annabella Sciorra",32,32
Gene Kelly,"Barbra Streisand,Walter Matthau,Michael Crawford",33,33
William Wyler,"Barbra Streisand,Omar Sharif,Kay Medford",34,34
Michael Curtiz,"Humphrey Bogart,Ingrid Bergman,Paul Henreid",35,35
Stanley Kubrick,"Keir Dullea,Gary Lockwood,William Sylvester",36,36
Darren Aronofsky,"Ellen Burstyn,Jared Leto,Jennifer Connelly",37,37
David Lynch,"Isabella Rossellini,Kyle MacLachlan,Dennis Hopper",38,38
Stanley Kubrick,"Tom Cruise,Nicole Kidman,Todd Field",39,39
Stanley Kubrick,"James Mason,Shelley Winters,Sue Lyon",40,40
F.W. Murnau,"Anne Chevalier,Matahi,Hitu",41,41
"Jonathan Milott,Cary Murnion","Elijah Wood,Rainn Wilson,Alison Pill",42,42
Seth Gordon,"Steve Wiebe,Billy Mitchell,Mark Alpiger",43,43
Juan Carlos Pineiro Escoriaza,"Dan Bustard,Ashley Esqueda,Andrew Monkelban",44,44
Adam Cornelius,"Thor Aackerlund,Pat Contri,Harry Hong",45,45
Dave Danzara,"Bryan Armitage,Nathan Barnatt,Chris Connally",46,46
"Luke Meyer,Andrew Neel","Skip Lipman,Kenyon Wells,Daniel McArthur",47,47
Jeff Von Ward,"Chris Alcott,Pete Ashdown,Jean Baudin",48,48
Sean Tiedeman,"Ralph H. Baer,Tim Balderamos,Greg Bond",49,49
Ross Partridge,"Ross Partridge,Oona Laurence,Tom Bower",50,50
Eli Roth,"Lorenza Izzo,Ariel Levy,Aaron Burns",51,51
Penny Marshall,"Tom Hanks,Elizabeth Perkins,Robert Loggia",52,52
D.J. Caruso,"Angelina Jolie,Ethan Hawke,Kiefer Sutherland",53,53
James Mangold,"Winona Ryder,Angelina Jolie,Clea DuVall",54,54
Zack Snyder,"Jim Sturgess,Hugo Weaving,David Wenham",55,55
Wes Anderson,"George Clooney,Meryl Streep,Bill Murray",56,56
David M. Rosenthal,"Sanaa Lathan,Michael Ealy,Morris Chestnut",57,57
"Tarsem Singh,Tarsem Singh Dhandwar","Henry Cavill,Mickey Rourke,John Hurt",58,58
"Matt Duffer,Ross Duffer","Alexander Skarsgård,Andrea Riseborough,Emily Alyn Lind",59,59
Nima Nourizadeh,"Jesse Eisenberg,Kristen Stewart,Connie Britton",60,60
Joe Dante,"Zach Galligan,Phoebe Cates,John Glover",61,61
Tobe Hooper,"JoBeth Williams,Heather O'Rourke,Craig T. Nelson",62,62
Richard Donner,"Bill Murray,Karen Allen,John Forsythe",63,63
Pitof,"Halle Berry,Sharon Stone,Benjamin Bratt",64,64
Greydon Clark,"Joe Don Baker,Rossano Brazzi,Venantino Venantini",65,65
Lisa France,"Carlos Leon,Eric Smith,Jackie Quinones",66,66
Martin Ritt,"Cicely Tyson,Paul Winfield,Kevin Hooks",67,67
Victor Fleming,"Spencer Tracy,Freddie Bartholomew,Lionel Barrymore",68,68
Alfred E. Green,"Bette Davis,Franchot Tone,Margaret Lindsay",69,69
Vincent Sherman,"Bette Davis,Miriam Hopkins,Gig Young",70,70
Ivan Reitman,"Arnold Schwarzenegger,Danny DeVito,Emma Thompson",71,71
Edward Dmytryk,"Bette Davis,Susan Hayward,Mike Connors",72,72
George Archainbaud,"Betty Compson,Conrad Nagel,Robert Ames",73,73
Richard Thorpe,"Walter Pidgeon,Ann Harding,Barry Sullivan",74,74
J. Walter Ruben,"Dorothy Jordan,Eric Linden,Purnell Pratt",75,75
Walter Lang,"Jack Pearl,Jimmy Durante,Zasu Pitts",76,76
Arthur Lubin,"Bud Abbott,Lou Costello,Lee Bowman",77,77
Jean Yarbrough,"Bud Abbott,Lou Costello,Peggy Ryan",78,78
Charles Lamont,"Bud Abbott,Lou Costello,Fred Clark",79,79
Harry A. Pollard,"Margarita Fischer,James B. Lowe,Arthur Edmund Carewe",80,80
J. Lee Thompson,"Yul Brynner,George Chakiris,Shirley Anne Field",81,81
Michael Anderson,"Yul Brynner,Richard Widmark,George Chakiris",82,82
Franklin J. Schaffner,"Lesley-Anne Down,Frank Langella,Maurice Ronet",83,83
James Ivory,"Christopher Reeve,Vanessa Redgrave,Jessica Tandy",84,84
Sydney Pollack,"Paul Newman,Sally Field,Bob Balaban",85,85
Martin Ritt,"Paul Newman,Melvyn Douglas,Patricia Neal",86,86
Preston Sturges,"Joel McCrea,Veronica Lake,Robert Warwick",87,87
Cecil B. DeMille,"Gary Cooper,Madeleine Carroll,Paulette Goddard",88,88
Michael Curtiz,"Errol Flynn,Miriam Hopkins,Randolph Scott",89,89
"Henry King,Otto Brower","Spencer Tracy,Nancy Kelly,Richard Greene",90,90
Frank Capra,"Glenn Ford,Bette Davis,Hope Lange",91,91
Frank Capra,"Gary Cooper,Jean Arthur,George Bancroft",92,92
Frank Capra,"Jean Harlow,Loretta Young,Robert Williams",93,93
Frank Capra,"Barbara Stanwyck,David Manners,Sam Hardy",94,94
Nick Grinde,"Barbara Stanwyck,Regis Toomey,Zasu Pitts",95,95
Alfred E. Green,"Barbara Stanwyck,George Brent,Donald Cook",96,96
Mervyn LeRoy,"Virginia Davis,Joan Blondell,Anne Shirley",97,97
William A. Wellman,"Loretta Young,Franchot Tone,Ricardo Cortez",98,98
William A. Wellman,"Loretta Young,Richard Barthelmess,Aline MacMahon",99,99
Michael Curtiz,"William Powell,Mary Astor,Eugene Pallette",100,100
W.S. Van Dyke,"William Powell,Myrna Loy,Virginia Grey",101,101
Jack Conway,"William Powell,Myrna Loy,Gail Patrick",102,102
William K. Howard,"William Powell,Myrna Loy,Una Merkel",103,103
W.S. Van Dyke,"William Powell,Myrna Loy,Barry Nelson",104,104
Menahem Golan,"Catherine Mary Stewart,George Gilmour,Grace Kennedy",105,105
Cal Brunker,"Jeff Dunham,Joe Pingue,Rob Tinkler",106,106
Richard Donner,"Mel Gibson,Danny Glover,Joe Pesci",107,107
Steven Soderbergh,"Terence Stamp,Peter Fonda,Lesley Ann Warren",108,108
John Dahl,"Linda Fiorentino,Peter Berg,Bill Pullman",109,109
"Joel Coen,Ethan Coen","Gabriel Byrne,Albert Finney,John Turturro",110,110
Les Mayfield,"Robin Williams,Marcia Gay Harden,Christopher McDonald",111,111
Irving Rapper,"Bette Davis,Paul Henreid,Claude Rains",112,112
Otto Preminger,"James Stewart,Lee Remick,Ben Gazzara",113,113
Alex Kendrick,"Priscilla C. Shirer,T.C. Stallings,Karen Abercrombie",114,114
Douglas Aarniokoski,"Christopher Lambert,Adrian Paul,Bruce Payne",115,115
John Ford,"Henry Fonda,Jane Darwell,John Carradine",116,116
William Wyler,"Charlton Heston,Jack Hawkins,Stephen Boyd",117,117
Franklin J. Schaffner,"Charlton Heston,Roddy McDowall,Kim Hunter",118,118
Boris Sagal,"Charlton Heston,Anthony Zerbe,Rosalind Cash",119,119
Douglas Trumbull,"Bruce Dern,Cliff Potts,Ron Rifkin",120,120
John Badham,"Matthew Broderick,Ally Sheedy,John Wood",121,121
Fede Alvarez,"Jane Levy,Shiloh Fernandez,Jessica Lucas",122,122
Darren Lynn Bousman,"Tobin Bell,Shawnee Smith,Angus Macfadyen",123,123
James Wong,"Mary Elizabeth Winstead,Ryan Merriman,Kris Lemche",124,124
David R. Ellis,"Nick Zano,Krista Allen,Andrew Fiscella",125,125
Ken Wiederhorn,"James Karen,Thom Mathews,Michael Kenworthy",126,126
Fred Dekker,"Jason Lively,Tom Atkins,Steve Marshall",127,127
Stuart Gordon,"Jeffrey Combs,Barbara Crampton,Ted Sorel",128,128
Mike Flanagan,"Catherine Parker,Courtney Bell,Dave Levine",129,129
Christopher Nolan,"Christian Bale,Tom Hardy,Anne Hathaway",130,130
David Lynch,"Kyle MacLachlan,Virginia Madsen,Francesca Annis",131,131
Jonathan Liebesman,"Aaron Eckhart,Michelle Rodriguez,Bridget Moynahan",132,132
Michael Simmons,"Jacqui Holland,Olivia Bellafontaine,Breanne Benson",133,133
"Bobby Farrelly,Peter Farrelly","Laurence Fishburne,Chris Rock,David Hyde Pierce",134,134
Desmond Davis,"Laurence Olivier,Harry Hamlin,Claire Bloom",135,135
Roy Ward Baker,"Ingrid Pitt,Pippa Steel,Madeline Smith",136,136
Terence Fisher,"Peter Cushing,Christopher Lee,Yvonne Furneaux",137,137
Tod Browning,"Bela Lugosi,Helen Chandler,David Manners",138,138
"Merian C. Cooper,Ernest B. Schoedsack","Fay Wray,Robert Armstrong,Bruce Cabot",139,139
Morgan Spurlock,"Morgan Spurlock,Daryl Isaacs,Chemeeka Walker",140,140
Tim Burton,"Mia Wasikowska,Johnny Depp,Helena Bonham Carter",141,141
Alfonso Cuarón,"Daniel Radcliffe,Emma Watson,Rupert Grint",142,142
"Andrew Adamson,Vicky Jenson","Mike Myers,Eddie Murphy,Cameron Diaz",143,143
"Roger Allers,Rob Minkoff","Matthew Broderick,Jeremy Irons,James Earl Jones",144,144
"Gary Trousdale,Kirk Wise","Paige O'Hara,Robby Benson,Jesse Corti",145,145
"Chris Buck,Kevin Lima","Tony Goldwyn,Minnie Driver,Brian Blessed",146,146
Mark Dindal,"David Spade,John Goodman,Eartha Kitt",147,147
"Aaron Blaise,Robert Walker","Joaquin Phoenix,Jeremy Suarez,Rick Moranis",148,148
"Bibo Bergeron,Don Paul","Kevin Kline,Kenneth Branagh,Rosie Perez",149,149
"Bibo Bergeron,Vicky Jenson","Will Smith,Robert De Niro,Renée Zellweger",150,150
"George Miller,Warren Coleman","Elijah Wood,Brittany Murphy,Hugh Jackman",151,151
Gore Verbinski,"Johnny Depp,Isla Fisher,Timothy Olyphant",152,152
"Phil Lord,Christopher Miller","Anna Faris,Bill Hader,Bruce Campbell",153,153
"Eric Darnell,Tom McGrath","Ben Stiller,Chris Rock,David Schwimmer",154,154
"Jerome Robbins,Robert Wise","Natalie Wood,George Chakiris,Richard Beymer",155,155
Paul Mazursky,"Jill Clayburgh,Alan Bates,Michael Murphy",156,156
Alan J. Pakula,"Burt Reynolds,Jill Clayburgh,Candice Bergen",157,157
Michael Ritchie,"Burt Reynolds,Kris Kristofferson,Jill Clayburgh",158,158
Robert Aldrich,"Burt Reynolds,Eddie Albert,Ed Lauter",159,159
"Warren Beatty,Buck Henry","Warren Beatty,James Mason,Julie Christie",160,160
Barry Levinson,"Warren Beatty,Annette Bening,Harvey Keitel",161,161
Danny DeVito,"Jack Nicholson,Danny DeVito,Armand Assante",162,162
Sean Penn,"Jack Nicholson,Benicio Del Toro,Patricia Clarkson",163,163
Charles Shyer,"Steve Martin,Diane Keaton,Martin Short",164,164
Mick Jackson,"Steve Martin,Victoria Tennant,Richard E. Grant",165,165
Arthur Hiller,"Steve Martin,Charles Grodin,Judith Ivey",166,166
Herbert Ross,"Steve Martin,Bernadette Peters,Jessica Harper",167,167
"Norman McLeod,Norman Z. McLeod","Bing Crosby,Madge Evans,Edith Fellows",168,168
Ray Enright,"Marlene Dietrich,Randolph Scott,John Wayne",169,169
William A. Seiter,"Claire Trevor,John Wayne,George Sanders",170,170
"William A. Wellman,John Wayne","John Wayne,Lauren Bacall,Paul Fix",171,171
Edward Ludwig,"John Wayne,Susan Hayward,Dennis O'Keefe",172,172
"John Ford,Robert Montgomery","Robert Montgomery,John Wayne,Donna Reed",173,173
John Ford,"John Wayne,Henry Fonda,Shirley Temple",174,174
Don Siegel,"John Wayne,Lauren Bacall,Ron Howard",175,175
Henry Hathaway,"John Wayne,Dean Martin,Martha Hyer",176,176
Henry Hathaway,"John Wayne,Stewart Granger,Ernie Kovacs",177,177
John Ford,"John Wayne,Lee Marvin,Elizabeth Allen",178,178
Howard Hawks,"John Wayne,Elsa Martinelli,Hardy Krüger",179,179
Peter Weir,"Jim Sturgess,Ed Harris,Colin Farrell",180,180
Katherine Brooks,"Erin Kelly,Diane Gaidry,Laura Breckenridge",181,181
Maria Maggenti,"Laurel Holloman,Nicole Ari Parker,Maggie Moore",182,182
"Peter Hewitt (I),Peter Hewitt","John Goodman,Jim Broadbent,Mark Williams",183,183
Ken Kwapis,"Robert Redford,Nick Nolte,Emma Thompson",184,184
"James Franco,Travis Mathews","Val Lauren,Christian Patrick,James Franco",185,185
James Foley,"Madonna,Griffin Dunne,Haviland Morris",186,186
Susan Seidelman,"Rosanna Arquette,Madonna,Aidan Quinn",187,187
Jordan Mohr,"Michael Abruscato,Katy Baker,Sam Bologna",188,188
Vincente Minnelli,"Frank Sinatra,Dean Martin,Shirley MacLaine",189,189
Guy Ritchie,"Gerard Butler,Tom Wilkinson,Idris Elba",190,190
Bryan Johnson,"Brian O'Halloran,Bryan Johnson,Jerry Lewkowitz",191,191
Steve Stark,"Marc Bernardin,Ming Chen,Matt Cohen",192,192
Kevin Smith,"Jason Mewes,Kevin Smith,Ben Affleck",193,193
Kevin Smith,"Ben Affleck,Liv Tyler,Raquel Castro",194,194
Kevin Smith,"Bruce Willis,Tracy Morgan,Juan Carlos Hernández",195,195
"Kenneth Kit Lamug,Thomas J. Vosicky","Sean Morelli,Ryan Allen,Alex Alzona",196,196
Kristin Hanggi,"Victoria Justice,Pierson Fode,Matthew Daddario",197,197
Robert Clouse,"Jackie Chan,Kristine DeBell,José Ferrer",198,198
Rick Rosenthal,"Sean Penn,Reni Santoni,Jim Moody",199,199
Michael Chapman,"Tom Cruise,Lea Thompson,Craig T. Nelson",200,200
Ron Howard,"Tom Cruise,Nicole Kidman,Thomas Gibson",201,201
Joel Schumacher,"Jason Patric,Corey Haim,Dianne Wiest",202,202
Joseph Ruben,"Julia Roberts,Patrick Bergin,Kevin Anderson",203,203
Ryan Murphy,"Julia Roberts,Javier Bardem,Richard Jenkins",204,204
Tom Hanks,"Tom Hanks,Julia Roberts,Sarah Mahoney",205,205
Tony Gilroy,"Julia Roberts,Clive Owen,Tom Wilkinson",206,206
Tom Tykwer,"Clive Owen,Naomi Watts,Armin Mueller-Stahl",207,207
Spike Lee,"Denzel Washington,Clive Owen,Jodie Foster",208,208
John Flynn,"Robert Duvall,Karen Black,Joe Don Baker",209,209
Don Siegel,"Walter Matthau,Joe Don Baker,Felicia Farr",210,210
Ronald Neame,"Walter Matthau,Glenda Jackson,Sam Waterston",211,211
Tony Scott,"Denzel Washington,Christopher Walken,Dakota Fanning",212,212
Barry Shear,"Anthony Quinn,Yaphet Kotto,Anthony Franciosa",213,213
Tony Scott,"Denzel Washington,Chris Pine,Rosario Dawson",214,214
Denis Villeneuve,"Hugh Jackman,Jake Gyllenhaal,Viola Davis",215,215
Darren Aronofsky,"Sean Gullette,Mark Margolis,Ben Shenkman",216,216
Judd Apatow,"Amy Schumer,Bill Hader,Brie Larson",217,217
William A. Fraker,"Lee Marvin,Jeanne Moreau,Jack Palance",218,218
Sam Peckinpah,"Warren Oates,Isela Vega,Robert Webber",219,219
Monte Hellman,"Warren Oates,Richard B. Shull,Harry Dean Stanton",220,220
"Arthur J. Beckhard,Joseph Lee","Richard Coogan,Rosemary Pettit,Frank Albertson",221,221
Ralph Nelson,"Steve McQueen,Jackie Gleason,Tuesday Weld",222,222
Norman Jewison,"Steve McQueen,Ann-Margret,Edward G. Robinson",223,223
Lee H. Katzin,"Steve McQueen,Siegfried Rauch,Elga Andersen",224,224
John Frankenheimer,"James Garner,Eva Marie Saint,Yves Montand",225,225
"John Frankenheimer,Arthur Penn","Burt Lancaster,Paul Scofield,Jeanne Moreau",226,226
John Frankenheimer,"Burt Lancaster,Dina Merrill,Edward Andrews",227,227
Sydney Pollack,"Burt Lancaster,Shelley Winters,Telly Savalas",228,228
Robert Aldrich,"Burt Lancaster,Bruce Davison,Jorge Luke",229,229
Roy Huggins,"Randolph Scott,Donna Reed,Claude Jarman Jr.",230,230
André De Toth,"Randolph Scott,Lex Barker,Phyllis Kirk",231,231
Tay Garnett,"Greer Garson,Gregory Peck,Donald Crisp",232,232
Frank Perry,"Faye Dunaway,Diana Scarwid,Steve Forrest",233,233
William Castle,"Joan Crawford,Diane Baker,Leif Erickson",234,234
Frank Capra,"Douglas Fairbanks Jr.,Jobyna Ralston,Mildred Harris",235,235
James Cruze,"Thomas Meighan,Evelyn Brent,Renée Adorée",236,236
Maya Forbes,"Mark Ruffalo,Zoe Saldana,Imogene Wolodarsky",237,237
Josh Trank,"Miles Teller,Kate Mara,Michael B. Jordan",238,238
Bernard Rose,"Danny Huston,Peter Weller,James Merendino",239,239
David O. Russell,"Jeremy Davies,Alberta Watson,Elizabeth Newett",240,240
Ben Affleck,"Ben Affleck,Rebecca Hall,Jon Hamm",241,241
"Bobby Farrelly,Peter Farrelly","Ben Stiller,Michelle Monaghan,Malin Akerman",242,242
David Cronenberg,"Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl",243,243
M. Night Shyamalan,"Mel Gibson,Joaquin Phoenix,Rory Culkin",244,244
Steven Soderbergh,"George Clooney,Jennifer Lopez,Ving Rhames",245,245
Richard Donner,"Mel Gibson,Jodie Foster,James Garner",246,246
Danny Boyle,"James Franco,Amber Tamblyn,Kate Mara",247,247
Richard Donner,"John Savage,David Morse,Diana Scarwid",248,248
"Bobby Farrelly,Peter Farrelly","Matt Damon,Greg Kinnear,Eva Mendes",249,249
Anthony Minghella,"Matt Damon,Gwyneth Paltrow,Jude Law",250,250
Rob Marshall,"Daniel Day-Lewis,Marion Cotillard,Penélope Cruz",251,251
Jesús Franco,"Christopher Lee,Richard Greene,Howard Marion-Crawford",252,252
"John English,William Witney","Henry Brandon,William Royle,Robert Kellard",253,253
Fred C. Brannon,"George Wallace,Aline Towne,Roy Barcroft",254,254
Edgar G. Ulmer,"Marguerite Chapman,Douglas Kennedy,James Griffith",255,255
Mikael Håfström,"Sylvester Stallone,Arnold Schwarzenegger,50 Cent",256,256
Sylvester Stallone,"Sylvester Stallone,Julie Benz,Matthew Marsden",257,257
Ted Kotcheff,"Sylvester Stallone,Brian Dennehy,Richard Crenna",258,258
James Mangold,"Sylvester Stallone,Harvey Keitel,Ray Liotta",259,259
Gillian Armstrong,"Susan Sarandon,Winona Ryder,Kirsten Dunst",260,260
Simon Fellows,"Tom Benedict Knight,Amanda Fernando Stevens,Robert Ashby",261,261
Philip Kaufman,"Daniel Day-Lewis,Juliette Binoche,Lena Olin",262,262
Kathryn Bigelow,"Jessica Chastain,Joel Edgerton,Chris Pratt",263,263
"John Berardo,Jessica Kaye","James Franco,Josh Peck,Jason Ritter",264,264
Martin Owen,"Mischa Barton,Dave Bautista,Andy Dick",265,265
Eric Hendershot,"Michael Glauser,Brittany Armstrong,Jonathan Cronin",266,266
Tom Hooper,"Hugh Jackman,Russell Crowe,Anne Hathaway",267,267
Matt Reeves,"Mike Vogel,Jessica Lucas,Lizzy Caplan",268,268
Pat O'Connor,"Daniel Day-Lewis,Harry Dean Stanton,Kent Broadhurst",269,269
"Clarence Brown,Maurice Tourneur","Wallace Beery,Barbara Bedford,Alan Roscoe",270,270
W.S. Van Dyke,"Harry Carey,Edwina Booth,Duncan Renaldo",271,271
George B. Seitz,"Randolph Scott,Binnie Barnes,Henry Wilcoxon",272,272
Brian James O'Connell,"Fran Kranz,Pedro Pascal,Joey Kern",273,273
Lloyd Bacon,"Edward G. Robinson,Humphrey Bogart,Ann Sothern",274,274
George B. Seitz,"Edna Murphy,Harold Miller,Whitehorse",275,275
George Sherman,"Jon Hall,Michael O'Shea,Evelyn Ankers",276,276
Anthony DiBlasi,"Juliana Harkavy,Joshua Mikel,J. LaRose",277,277
Jamie Babbit,"Camilla Belle,Elisha Cuthbert,Edie Falco",278,278
Martin Scorsese,"Ellen Burstyn,Kris Kristofferson,Mia Bendixsen",279,279
Martin Scorsese,"Tenzin Thuthob Tsarong,Gyurme Tethong,Tulku Jamyang Kunga Tenzin",280,280
Martin Scorsese,"Willem Dafoe,Harvey Keitel,Barbara Hershey",281,281
Martin Scorsese,"Nicolas Cage,Patricia Arquette,John Goodman",282,282
Martin Scorsese,"Robert De Niro,Jerry Lewis,Diahnne Abbott",283,283
Martin Scorsese,"Liza Minnelli,Robert De Niro,Lionel Stander",284,284
Alex Holdridge,"Scoot McNairy,Sara Simmonds,Brian McGuire",285,285
Stephen Frears,"Glenn Close,John Malkovich,Michelle Pfeiffer",286,286
Martin Scorsese,"Griffin Dunne,Rosanna Arquette,Verna Bloom",287,287
Rob Reiner,"Wil Wheaton,River Phoenix,Corey Feldman",288,288
Ridley Scott,"Leonardo DiCaprio,Russell Crowe,Mark Strong",289,289
Timur Bekmambetov,"Angelina Jolie,James McAvoy,Morgan Freeman",290,290
Robert Zemeckis,"Ray Winstone,Crispin Glover,Angelina Jolie",291,291
Randall Wallace,"Leonardo DiCaprio,Jeremy Irons,John Malkovich",292,292
Jake Kasdan,"David Duchovny,Sigourney Weaver,Ioan Gruffudd",293,293
Quentin Tarantino,"Kurt Russell,Zoë Bell,Rosario Dawson",294,294
"Frank Miller,Robert Rodriguez","Mickey Rourke,Clive Owen,Bruce Willis",295,295
M. Night Shyamalan,"Bruce Willis,Haley Joel Osment,Toni Collette",296,296
Kevin Reynolds,"Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio",297,297
Adam Shankman,"Mandy Moore,Shane West,Peter Coyote",298,298
Robert Luketic,"Katherine Heigl,Gerard Butler,Bree Turner",299,299
Anne Fletcher,"Katherine Heigl,James Marsden,Malin Akerman",300,300
Joe Nussbaum,"Amanda Bynes,Sara Paxton,Matt Long",301,301
Mark Waters,"Matthew McConaughey,Jennifer Garner,Emma Stone",302,302
Garry Marshall,"Julia Roberts,Jamie Foxx,Anne Hathaway",303,303
Adam Brooks,"Ryan Reynolds,Rachel Weisz,Abigail Breslin",304,304
Billy Wilder,"Marilyn Monroe,Tony Curtis,Jack Lemmon",305,305
"Stanley Donen,Gene Kelly","Gene Kelly,Donald O'Connor,Debbie Reynolds",306,306
John McTiernan,"Bruce Willis,Jeremy Irons,Samuel L. Jackson",307,307
John Moore,"Bruce Willis,Jai Courtney,Sebastian Koch",308,308
Stephen Sommers,"Dennis Quaid,Channing Tatum,Marlon Wayans",309,309
Michael Bay,"Shia LaBeouf,Megan Fox,Josh Duhamel",310,310
Jon Favreau,"Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard",311,311
"Anthony Russo,Joe Russo","Chris Evans,Samuel L. Jackson,Scarlett Johansson",312,312
Marc Webb,"Andrew Garfield,Emma Stone,Jamie Foxx",313,313
Roland Emmerich,"Maika Monroe,Liam Hemsworth,Joey King",314,314
Joan Chen,"Richard Gere,Winona Ryder,Anthony LaPaglia",315,315
L. Gustavo Cooper,"Casper Van Dien,Victoria Pratt,Eddie Jemison",316,316
Peter Chelsom,"Richard Gere,Jennifer Lopez,Susan Sarandon",317,317
"Buddy Cooper,John Douglass","Matt Mitler,Ruth Martinez,Bill Hitchcock",318,318
"Stephen Carpenter,Jeffrey Obrow","Laurie Lapinski,Stephen Sachs,David Snow",319,319
Roger Spottiswoode,"Ben Johnson,Jamie Lee Curtis,Hart Bochner",320,320
Charles E. Sellier Jr.,"Lilyan Chauvin,Gilmer McCormick,Toni Nero",321,321
Juan Piquer Simón,"Christopher George,Lynda Day George,Frank Braña",322,322
Phil Joanou,"Richard Gere,Kim Basinger,Uma Thurman",323,323
George C. Wolfe,"Diane Lane,Richard Gere,Christopher Meloni",324,324
Danny DeVito,"Danny DeVito,Billy Crystal,Kim Greist",325,325
Robert Zemeckis,"Meryl Streep,Bruce Willis,Goldie Hawn",326,326
Ridley Scott,"Jeff Bridges,Caroline Goodall,John Savage",327,327
Thom Andersen,Encke King,328,328
Ridley Scott,"Demi Moore,Viggo Mortensen,Anne Bancroft",329,329
Ridley Scott,"Tom Cruise,Mia Sara,Tim Curry",330,330
Ridley Scott,"Susan Sarandon,Geena Davis,Harvey Keitel",331,331
Ridley Scott,"Tom Berenger,Mimi Rogers,Lorraine Bracco",332,332
Brian Gibson,"Demi Moore,Alec Baldwin,Joseph Gordon-Levitt",333,333
Jon Avnet,"Robert Redford,Michelle Pfeiffer,Stockard Channing",334,334
Clark Johnson,"Michael Douglas,Kiefer Sutherland,Kim Basinger",335,335
Harald Zwart,"Liv Tyler,Matt Dillon,Mary Jo Smith",336,336
George Clooney,"Paul Giamatti,George Clooney,Philip Seymour Hoffman",337,337
J.C. Chandor,Robert Redford,338,338
Alex Gibney,"John Beard,Tim Belden,Barbara Boxer",339,339
Ethan Wiley,"Arye Gross,Jonathan Stark,Royal Dano",340,340
Mark Pavia,"Miguel Ferrer,Julie Entwisle,Dan Monahan",341,341
Tobe Hooper,"Robert Englund,Ted Levine,Daniel Matmor",342,342
Guillermo del Toro,"Mira Sorvino,Jeremy Northam,Alexander Goodwin",343,343
Iain Softley,"Kevin Spacey,Jeff Bridges,Mary McCormack",344,344
Charles Ferguson,"Matt Damon,William Ackman,Daniel Alpert",345,345
J.C. Chandor,"Oscar Isaac,Jessica Chastain,David Oyelowo",346,346
Mark Steven Johnson,"Robert De Niro,John Travolta,Milo Ventimiglia",347,347
Derek Cianfrance,"Ryan Gosling,Bradley Cooper,Eva Mendes",348,348
John Hillcoat,"Tom Hardy,Shia LaBeouf,Guy Pearce",349,349
Derick Martini,"Chloë Grace Moretz,Blake Lively,Rory Culkin",350,350
Stephen Gaghan,"George Clooney,Matt Damon,Amanda Peet",351,351
