journal_issn,article_jcreated_at,original_index,unique_index
0143-991X,1/1/11,113,103
0315-162X,4/1/01,114,104
,,115,45
0021-8987,1/1/76,116,105
,1/1/10,117,48
2115-7863(Electronic);2115-8789(Print),,118,106
,1/1/66,119,107
Mar-22,11/1/96,120,108
1878-3503,2/1/12,121,109
1471-2458,1/1/13,122,110
1936-2625,1/1/13,123,111
1048-891X (Print)     1048-891x,1/1/11,124,112
1578-1968,5/1/12,125,113
,1/1/11,126,14
1840-0132 1840-2445 (electronic),1/1/08,127,114
1051-0443,4/1/99,128,115
-7518,,129,116
Feb-14,1/1/13,130,117
Feb-37,6/1/03,131,118
,,132,45
,,133,45
,1/1/05,134,119
1079-5006,12/1/00,135,120
1432-2161,11/1/14,136,121
,1/1/05,137,119
,1/1/14,138,122
,1/1/14,139,122
,1/1/11,140,14
,1/1/09,141,5
,1/1/11,142,14
0266-7681 (Print) 0266-7681,1/1/05,143,123
1540-8167,3/1/07,144,124
,1/1/12,145,23
,,146,45
1381-4788,1/1/14,147,125
0017-5749,8/1/65,148,126
0363-6771,5/1/04,149,127
0956-7135,1/1/07,150,128
1873-3514,10/1/12,151,129
0028-2162,5/28/05,152,130
,1/1/99,153,49
00913960 (ISSN),1/1/76,154,131
1424-7860,6/30/07,155,132
,1/1/09,156,5
1092-8529,12/1/13,157,133
Jan-15,1/1/13,158,134
1790-8019,1/1/14,159,135
,,160,45
2249-782X,5/1/14,161,136
,1/1/14,162,122
,1/1/11,163,14
0927-3972,1/1/95,164,137
,1/1/07,165,53
,1/1/10,166,48
1751-7311,8/1/08,167,138
,1/1/13,168,3
,,169,45
0742-3071,7/1/06,170,139
,1/1/05,171,119
1532-4281,12/1/14,172,140
0393-5264,1/1/93,173,141
0362-2436,1/1/02,174,142
0077-8923,6/30/98,175,143
0077-8923 (Print) 0077-8923,1/1/92,176,144
1930-7381,1/1/09,177,145
0273-1223,1/1/14,178,146
1938-2367,10/1/13,179,147
0390-6078,1/1/14,180,148
1467-9450,2/17/10,181,149
,,182,45
,1/1/07,183,53
0954-0121,1/1/12,184,150
,1/1/12,185,23
,,186,45
1078-6791,1/1/10,187,151
2158-0979,1/1/12,188,152
0033-8389 DO  - http://dx.doi.org/10.1016/j.rcl.2010.07.015,1/1/01,189,153
1090-1981,1/1/13,190,154
0090-4481,1/1/09,191,155
,3/1/06,192,156
1460-2105,8/2/06,193,157
14402440,1/1/12,194,158
,1/1/09,195,5
1434-4726,8/13/14,196,159
1471-2288,1/1/12,197,160
1528-1140,7/1/14,198,161
0885-3282,4/1/04,199,162
1129-2377,12/1/14,200,163
978-1-2673-2110-7,1/1/13,201,164
0264-0414,7/1/07,202,165
,1/1/06,203,9
1460-2385,1/1/13,204,166
1096-0023,1/1/13,205,167
,,206,45
,,207,45
0004-0010 (Print) 0004-0010,1/1/95,208,168
1097-4598,9/10/15,209,169
1873-5347,3/1/11,210,170
0340-0131,1/1/94,211,171
0041-5782 (Print) 0041-5782,1/1/02,212,172
,,213,45
1879-0461,10/1/12,214,173
,1/1/12,215,23
0033-3549,1/1/93,216,174
1462-8910,1/1/08,217,175
,1/1/10,218,48
,1/1/06,219,9
0895-6111,11/1/98,220,176
,1/1/99,221,49
,,222,45
0307-0565,1/1/09,223,177
,,224,45
,,225,45
1945-7170,9/1/13,226,178
0277-3732,6/1/01,227,179
1555-7855,1/1/06,228,180
,,229,45
87567555,1/1/06,230,181
1532-2939,7/1/14,231,182
1532-1916,1/1/09,232,183
0002-9378 (Print) 0002-9378,1/1/12,233,184
1466-187X,1/1/13,234,185
Jan-47,1/1/12,235,186
1567-5688,12/1/03,236,187
Mar-17,2/1/96,237,188
2044-6055,1/1/14,238,189
0933-7407,11/1/01,239,190
1471-2474,1/1/07,240,191
1433-2981,2/1/12,241,192
2044-6055,1/1/14,242,189
1873-1465,,243,193
1662-8063,1/1/13,244,194
,1/1/13,245,3
1469-7661,1/1/10,246,195
1982-4335,12/1/08,247,196
1879-0038,2/15/13,248,197
1088-0224,,249,198
,9/1/02,250,199
1049-2089,1/1/09,251,200
1475-925X,1/1/11,252,201
1088-3371,1/1/97,253,202
0090-0028,3/28/73,254,203
1467-1107,10/1/13,255,204
1672-0733,4/1/14,256,205
0143-005X,1/1/14,257,206
1530-0293,5/1/14,258,207
,1/1/12,259,23
0361-073X     1096-4657,10/1/06,260,208
,1/1/75,261,209
0340-2592,7/1/05,262,210
0091-7435,1/1/05,263,211
,1/1/07,264,53
1075-2730,2/1/06,265,212
0003-990X,7/1/04,266,213
,1/1/15,267,95
1569-9285,1/1/14,268,214
,1/1/03,269,215
-10475,,270,216
0042-9007,1/1/10,271,217
0007-1250 1472-1465,1/1/98,272,218
0091-0562,1/1/11,273,219
-8906,,274,220
,1/1/11,275,14
,1/1/89,276,221
0016-5085,5/1/02,277,222
1879-1379,11/1/11,278,223
978-1-4503-3459-4,1/1/15,279,224
1526-632X,8/20/13,280,225
0901-5027,1/1/11,281,226
1943-569X,9/1/14,282,227
,1/1/14,283,122
,1/1/07,284,53
,1/1/92,285,228
1754-9485,10/1/13,286,229
,1/1/14,287,122
1932-6203,1/1/12,288,230
0022-9032,1/1/14,289,231
0301-5548,1/1/96,290,232
2072-6643,1/1/15,291,233
1473-0502,2/1/09,292,234
1749-8546,,293,235
1573-3955     1875-631X,1/1/11,294,236
1423-0380,3/1/14,295,237
,1/1/06,296,9
0300-8878,1/1/91,297,238
,1/1/14,298,122
1532-8201,11/1/13,299,239
,1/1/04,300,240
1089-7690,1/1/07,301,241
0949-2658 (Print) 0949-2658,1/1/10,302,242
,1/1/02,303,243
0048-7848 (Print) 0048-7848,,304,244
0030-1876 (Print) 0030-1876,1/1/93,305,245
,,306,45
,1/1/03,307,215
0017-5749,12/1/01,308,246
,1/1/15,309,95
,,310,45
,1/1/12,311,23
1439-6327,10/8/15,312,247
,1/1/03,313,215
,1/1/10,314,48
1527-1315,2/1/14,315,248
,1/1/93,316,249
,1/1/09,317,5
0144-6665,6/1/04,318,250
1467-1107,6/1/14,319,251
420980,1/1/03,320,252
0250-832X,1/1/13,321,253
1578-2735,5/1/13,322,254
1432-1262,1/7/15,323,255
,1/1/06,324,9
,,325,45
1074-7931,5/1/12,326,256
,,327,45
1744-7623,1/1/10,328,257
,,329,45
1533-7731,1/1/13,330,258
1179-1969,12/1/09,331,259
,1/1/06,332,9
,1/1/07,333,53
0109-2502,12/1/97,334,260
1047-9511,9/1/00,335,261
1079-0713,10/1/05,336,262
NCT00227591/ClinicalTrials.gov NCT00509899/ClinicalTrials.gov NCT00599547/ClinicalTrials.gov NCT00631462/ClinicalTrials.gov NCT00934544/ClinicalTrials.gov NCT00952289/ClinicalTrials.gov NCT01420770/ClinicalTrials.gov NCT01437787/ClinicalTrials.gov,1/1/12,337,263
1466-4860,1/1/04,338,264
,1/1/78,339,265
1099-1166,10/9/15,340,266
0065-1419 (Print)     0065-1419,1/1/88,341,267
,,342,45
0353-9466,9/1/09,343,268
,,344,45
1360-7863,1/1/05,345,269
0091-7435,6/1/01,346,270
1463-1318,3/1/09,347,271
1539-6304,5/1/12,348,272
,1/1/09,349,5
0020-7640,1/1/12,350,273
0012-835X,1/1/98,351,274
,1/1/15,352,95
1471-2407,1/1/12,353,275
1438-8359,8/1/15,354,276
,1/1/10,355,48
1873-5126,3/7/15,356,277
0041-4301,7/1/08,357,278
,1/1/01,358,279
-4928,,359,280
1442-2050,2/28/14,360,281
0750-7658,1/1/06,361,282
0022-4707,2/1/13,362,283
1090-2422,10/15/13,363,284
,1/1/12,364,23
2314-6141,1/1/14,365,285
1750-497X,1/1/09,366,286
0021-4892,10/1/94,367,287
0020-1383,1/1/10,368,288
9518398,1/1/11,369,289
0007-0912,3/1/84,370,290
1539-3704,9/2/14,371,291
0301-4215,1/1/12,372,292
,1/1/14,373,122
,1/1/05,374,119
0172-6390,7/1/14,375,293
,1/1/15,376,95
1932-6203,1/1/12,377,230
0098-4108 (Print)     0098-4108 (Linking),1/1/96,378,294
,1/1/04,379,240
1526-7598,5/1/06,380,295
0092-8240,9/1/99,381,296
0022-9776,8/1/05,382,297
,1/1/12,383,23
1473-0480,1/1/09,384,298
1879-1026,1/1/85,385,299
,1/1/07,386,53
,1/1/05,387,119
,,388,45
1060-0280,1/1/12,389,300
1170-7690,1/1/01,390,301
Feb-62,2/1/81,391,302
0214-1221,7/1/08,392,303
0102-6933,12/1/08,393,304
,1/1/12,394,23
1469-0756,8/1/12,395,305
1827-1618,4/1/14,396,306
1526-7598,1/1/11,397,307
0975-1491,,398,308
1558-1497,3/1/14,399,309
2150-1351 (Print)     2150-1351,1/1/13,400,310
1943-5681,2/1/14,401,311
13598546,1/1/14,402,312
,1/1/12,403,23
1873-7811,2/1/13,404,313
0923-7534,12/1/98,405,314
,4/1/09,406,315
1878-0539,7/1/13,407,316
,1/1/04,408,240
,1/1/97,409,317
,1/1/10,410,48
"1051-1970, 1051-1970",3/1/06,411,318
0012-1649,11/1/10,412,319
,1/1/00,413,320
,,414,45
1097-0142,7/15/14,415,321
1569-8041,2/1/13,416,322
0269-2163,3/1/99,417,323
0160-9289,1/1/04,418,324
,,419,45
1745-834X     1745-8358,1/1/08,420,325
0022-0345,1/1/63,421,326
0306-4603,1/1/12,422,327
0735-1631,1/1/15,423,328
,1/1/09,424,5
,1/1/95,425,329
,,426,45
1308-0032,12/1/09,427,330
,8/13/10,428,331
,1/1/97,429,317
0377-208X,1/1/00,430,332
,1/1/07,431,53
,1/1/11,432,14
,1/1/13,433,3
Feb-65,1/1/01,434,333
,1/1/08,435,64
1472-6831,1/1/14,436,334
0021-9533,1/1/11,437,335
,1/1/15,438,95
0007-0920,6/17/02,439,336
Feb-14,,440,337
2213-6541,4/1/14,441,338
1558-2035,6/1/14,442,339
1592-1107,1/1/07,443,340
1058-0832,1/1/07,444,341
1751-7176,10/20/14,445,342
1662-5161,1/1/13,446,343
1557-170X,1/1/07,447,344
1527-974X,5/1/14,448,345
,1/1/03,449,215
0022-2194,5/1/09,450,346
1467-789X,9/1/12,451,347
1520-9156,1/1/10,452,348
1179-1721,1/1/11,453,349
0019-5499,1/1/04,454,350
0370-0747,1/1/07,455,351
,1/1/09,456,5
1433-3023,12/1/12,457,352
,1/1/09,458,5
,1/1/09,459,5
0104-1169,1/1/12,460,353
0340-6245,11/1/13,461,354
1475-2727,12/1/14,462,355
,1/1/04,463,240
1178-7090,1/1/13,464,356
0095-1137 (Print) 0095-1137,1/1/11,465,357
0023-6837,1/1/15,466,358
1356-7500,5/1/11,467,359
-5514,,468,360
,1/1/13,469,3
1090-1981,1/1/13,470,154
1527-5418,5/1/09,471,361
1095-9203,4/3/15,472,362
1687-9627,1/1/13,473,363
2005-7563,7/1/12,474,364
1361-6560,6/21/10,475,365
1532-7361,3/1/14,476,366
0018-9499,8/26/10,477,367
1696-3547,1/1/11,478,368
1651-2006,4/1/09,479,369
1462-0324,1/1/06,480,370
0304-3959,1/1/99,481,371
1070-3004,4/1/11,482,372
1324-3780,6/1/96,483,373
0964-4563,1/1/99,484,374
0862-8408,1/1/00,485,375
1873-1465,3/1/10,486,376
,,487,45
,,488,45
,,489,45
,1/1/14,490,122
1522-9645,7/1/12,491,377
1433-7347,9/1/10,492,378
,1/1/07,493,53
0045-7167,4/1/68,494,379
,8/1/13,495,380
978-0-7918-4926-2,1/1/10,496,381
,1/1/05,497,119
,1/1/11,498,14
1473-4893,1/1/04,499,382
1603-6824,2/12/07,500,383
,1/1/91,501,384
0895-2841,1/1/11,502,385
-94325,1/1/09,503,386
0428-8246,,504,387
0300-9742,3/1/08,505,388
0894-587X,1/1/00,506,389
Nov-53,1/1/67,507,390
,1/1/13,508,3
0301-1623,1/1/13,509,391
,1/1/02,510,243
2005-3711,6/1/15,511,392
1756-1833,1/1/13,512,393
,1/1/97,513,317
-14400,,514,394
2168-619X,4/1/14,515,395
0301-4851,1/1/11,516,396
1941-2703,8/1/13,517,397
1470-2738,10/1/11,518,398
0376-2491,10/26/05,519,399
0045-4850,1/1/77,520,400
0969-4900,1/1/13,521,401
1469-493X,1/1/00,522,100
1531-5053,4/1/15,523,402
1083-351X,10/3/14,524,403
0366-6999,10/5/08,525,404
0962-7480,3/1/08,526,405
,1/1/14,527,122
1872-7077,1/1/14,528,406
1558-2027,6/1/09,529,407
,,530,45
1095-9203,5/11/07,531,408
1873-7544,12/19/13,532,409
1090-2430,5/22/14,533,410
0196-0644,5/1/01,534,411
1918-1485,3/1/00,535,412
,,536,45
0160-6379,10/1/11,537,413
,1/1/06,538,9
,1/1/04,539,240
0361-803X,5/1/05,540,414
,,541,45
1062-8401,1/1/95,542,415
1468-5833 (Electronic),1/1/04,543,416
,,544,45
1462-0324,1/1/05,545,417
,1/1/06,546,9
,1/1/14,547,122
0022-5347,3/1/92,548,418
1464-5165,7/28/14,549,419
1532-8511,7/24/15,550,420
0899-8256,1/1/09,551,421
,,552,45
0301-620X (Print) 0301-620x,1/1/07,553,422
1432-1335,9/1/12,554,423
1476-5497,6/1/12,555,424
,1/1/10,556,48
1520-7714,1/1/13,557,425
,1/1/98,558,426
0145-6008,10/1/96,559,427
1017-7833,1/1/11,560,428
1981-8963,11/1/12,561,429
,1/1/04,562,240
1472-1465,5/1/10,563,430
,1/1/11,564,14
1248-9204,2/1/15,565,431
1474-547X,1/1/05,566,432
0921-4488,6/29/98,567,433
,1/1/10,568,48
1041-6102,6/1/00,569,434
1806-3756,7/1/11,570,435
0884-2175,1/1/12,571,436
,1/1/12,572,23
,1/1/96,573,437
1423-0380,3/1/14,574,237
0353-9504,1/1/05,575,438
1747-4949,6/1/14,576,439
1879-0844,1/1/14,577,440
1976-2437,1/1/08,578,441
1592-7830,7/1/07,579,442
1715-5258,6/1/10,580,443
1433-0350,4/1/14,581,444
,1/1/13,582,3
,1/1/11,583,14
,,584,45
1532-821X,10/1/09,585,445
1365-2346,9/1/09,586,446
0268-0033 DO  - http://dx.doi.org/10.1016/j.clinbiomech.2015.03.009,12/1/03,587,447
1462-2416,1/1/13,588,448
0047-1860 (Print)     0047-1860,1/1/95,589,449
,1/1/13,590,3
0143-005X,1/1/14,591,206
,1/1/98,592,426
,1/1/05,593,119
978-957-41-6666-4,4/1/05,594,450
0949-2658 (Print) 0949-2658,1/1/10,595,242
1447-0594,10/1/10,596,451
,1/1/02,597,243
,1/1/11,598,14
,1/1/14,599,122
1939-165X,9/1/15,600,452
,1/1/14,601,122
0042-9686,8/1/07,602,453
1935-2735,1/1/12,603,454
1873-7064,10/1/14,604,455
,1/1/99,605,49
0031-9023,1/1/09,606,456
0167-2789 DO  - http://dx.doi.org/10.1016/j.physd.2013.07.012,6/15/92,607,457
0044-2631,12/1/70,608,458
0392-9590,12/1/03,609,459
0268-960X,9/1/14,610,460
1075-5535,10/1/03,611,461
0098-7484,1/1/86,612,462
,1/1/13,613,3
1522-726X,4/1/11,614,463
1476-4687,2/6/14,615,464
0903-1936,9/1/04,616,465
,1/22/15,617,466
0737-1209,1/1/08,618,467
,1/1/14,619,122
09663622 (ISSN),1/1/06,620,468
1439-4413,8/1/10,621,469
,1/1/05,622,119
0022-3956,1/1/13,623,470
,1/1/11,624,14
0161-8105,9/1/08,625,471
0910-5050,5/1/90,626,472
0022-0345,12/1/01,627,473
1753-4666,12/1/13,628,474
,1/1/15,629,95
,1/1/11,630,14
,1/1/00,631,320
0378-584X,1/1/13,632,475
1462-0324,1/1/12,633,476
,,634,45
0161-6412 (Print) 0161-6412,1/1/03,635,477
1523-5378,1/1/09,636,478
0390-6078,1/1/09,637,479
1440-1584,8/1/14,638,480
,1/1/09,639,5
1520-4804,3/27/14,640,481
1540-9996,1/1/06,641,482
1525-1446,11/4/15,642,483
1524-4539,11/1/11,643,484
Jan-55,5/1/96,644,485
,,645,45
1469-896X,3/1/12,646,486
0889-5406,4/1/90,647,487
1547-1896,1/1/07,648,488
0196-6553,4/1/89,649,489
1063-8652,7/2/08,650,490
1527-3350,6/1/11,651,491
1076-6294 (Print)     1076-6294,1/1/10,652,492
0039-2499,1/1/15,653,493
1949-8349 (Print)     1949-8357,1/1/13,654,494
0360-7283,1/1/04,655,495
1460-2385,10/1/08,656,496
1879-0593,10/1/10,657,497
1524-4628,3/1/15,658,498
1873-5592,10/1/13,659,499
1872-6844,7/1/14,660,500
,1/1/11,661,14
0966-8519,5/1/11,662,501
1932-6203,1/1/14,663,502
1878-4046,5/1/12,664,503
,1/1/15,665,95
1672-2531,1/1/15,666,504
0195-6744,2/1/13,667,505
1757-1626,1/1/08,668,506
,1/1/07,669,53
,1/1/14,670,122
,1/1/11,671,14
-9262,,672,507
1573-2959,1/1/09,673,508
Jan-14,10/1/04,674,509
,1/1/11,675,14
,1/1/00,676,320
,1/1/07,677,53
,1/1/10,678,48
0096-3445,8/1/08,679,510
"0036-8148, 0036-8148",3/1/13,680,511
,1/1/13,681,3
0268-1153,1/1/13,682,512
0019-9567,9/1/01,683,513
,1/1/10,684,48
1557-8550,1/1/14,685,514
1020-3397,1/1/14,686,515
0021-9355 (Print),1/1/09,687,516
1528-395X,7/1/09,688,517
,1/1/81,689,518
Sep-60,11/1/06,690,519
,1/1/08,691,64
,1/1/14,692,122
1473-5725,6/1/97,693,520
0214-9915,8/1/06,694,521
1541-0048,1/1/14,695,522
0146-4760 (Print) 0146-4760,1/1/96,696,523
0301-4215,1/1/08,697,524
,1/1/07,698,53
,7/1/00,699,525
,1/1/12,700,23
1440-1843,1/1/14,701,526
1469-493X,1/1/15,702,527
,,703,45
2314-6141,1/1/14,704,285
0021-8987 (Print)     0021-8987,1/1/70,705,528
1365-2060,6/1/12,706,529
0954-3007,7/1/02,707,530
0022-3514,2/1/93,708,531
0363-5023,1/1/07,709,532
09593985 (ISSN),1/1/01,710,533
,,711,45
1471-2377,1/1/12,712,534
,1/1/08,713,64
1462-2203,10/1/13,714,535
1885-642X,4/1/14,715,536
1053-8135,1/1/02,716,537
1098-2752,1/1/14,717,538
0020-7454,1/1/04,718,539
1470-0328 (Print) 1470-0328,1/1/08,719,540
,1/1/12,720,23
0021-7557,1/1/15,721,541
,1/1/07,722,53
1364-3703,10/1/12,723,542
,,724,45
,1/1/86,725,26
,,726,45
,1/1/75,727,209
1521-186X,1/1/01,728,543
"1386-4416, 1386-4416",10/1/11,729,544
,1/1/14,730,122
1470-7926,1/1/08,731,545
0160-6689,8/1/05,732,546
,1/1/14,733,122
1678-4464,1/1/09,734,547
1523-536X,1/1/02,735,548
1545-0848,1/1/06,736,549
0033-3174,1/1/10,737,550
0732-183X,,738,551
0195-6701 (Print) 0195-6701,1/1/00,739,552
Apr-74,1/1/10,740,553
,1/1/98,741,426
,1/1/05,742,119
,,743,45
0301-5149,1/1/86,744,554
Sep-22,1/1/13,745,555
Mar-67,1/1/14,746,556
,,747,45
2165-8242,1/1/13,748,557
1437-1588,5/1/11,749,558
,1/1/04,750,240
0095-8301,8/1/02,751,559
,1/1/05,752,119
2049-9434,5/1/13,753,560
0546-1766 (Print) 0546-1766,1/1/95,754,561
1079-2082 (Print) 1079-2082,1/1/10,755,562
0190-535X,6/1/01,756,563
,,757,45
0029-6570 (Print) 0029-6570,,758,564
1098-3015,,759,565
,1/1/03,760,215
1042-8194,7/1/07,761,566
0033-8419,7/1/06,762,567
,1/1/12,763,23
1526-4610,11/1/13,764,568
1098-240X,4/1/09,765,569
,,766,45
0301-2603,9/1/98,767,570
1347-4820,7/4/14,768,571
1932-6203,1/1/14,769,502
0221-0363,9/1/08,770,572
0939-5555,1/1/01,771,573
1460-2105,7/1/14,772,574
1473-5571,11/13/12,773,575
0030-4220,2/1/82,774,576
0003-9926 (Print) 0003-9926,1/1/98,775,577
,6/1/13,776,578
,1/1/97,777,317
,1/1/06,778,9
0361-7734,5/1/02,779,579
0885-3185,1/1/98,780,580
1939-134X,6/1/10,781,581
,,782,45
1303-6521,4/1/11,783,582
1592-7830,7/1/12,784,583
,1/1/13,785,3
,1/1/14,786,122
0039-1735,3/1/71,787,584
1741-7015,1/1/10,788,585
,1/1/01,789,279
2212-4411,12/1/14,790,586
1558-2035,9/23/14,791,587
0034-9887,1/1/00,792,588
,1/1/13,793,3
0969-8043,5/1/98,794,589
1878-5921,12/1/12,795,590
,,796,45
0363-5023,9/1/04,797,591
,,798,45
2047-4881,8/1/12,799,592
1460-2105,11/1/14,800,593
1535-7414,1/1/03,801,594
,1/1/93,802,249
0961-5423,1/1/05,803,595
0093-934X,1/1/82,804,596
1672-2531,,805,597
1521-3773,2/10/14,806,598
1467-1107,1/1/15,807,599
1096-4673,3/1/08,808,600
0049-8610,1/1/67,809,601
,1/1/12,810,23
,,811,45
,1/1/14,812,122
1784-3286,7/1/06,813,602
0021-9258,1/1/14,814,603
,1/1/14,815,122
,1/1/13,816,3
0300-9750,1/1/88,817,604
,1/1/05,818,119
0090-3493,,819,605
,1/1/14,820,122
1930-739X,4/1/14,821,606
,1/1/04,822,240
2168-6114,10/28/13,823,607
1473-5598,4/1/11,824,608
1468-3296,4/1/15,825,609
,1/1/08,826,64
1532-5415,11/1/10,827,610
,1/1/12,828,23
2150-136X,4/1/15,829,611
,1/1/03,830,215
0008-543X,4/15/05,831,612
,,832,45
1555-7162,10/1/07,833,613
0342-4642,5/1/06,834,614
,1/1/13,835,3
0884-0431,6/1/95,836,615
1399-3038,3/1/10,837,616
1540-0514,11/1/13,838,617
,1/1/99,839,49
,,840,45
1533-4406,5/7/09,841,618
1071-1007 (Print) 1071-1007,1/1/14,842,619
,1/1/94,843,620
,1/1/14,844,122
,1/1/10,845,48
1743-9159,1/1/14,846,621
,1/1/11,847,14
Mar-67,10/1/07,848,622
,1/1/11,849,14
0882-2786,5/1/07,850,623
,1/1/14,851,122
Sep-22,2/16/10,852,624
1043-0342,6/10/02,853,625
1423-0356,1/1/14,854,626
,1/1/88,855,627
,1/1/10,856,48
Sep-22,1/1/06,857,628
,1/1/09,858,5
,1/1/15,859,95
,1/1/14,860,122
1601-0825,3/22/14,861,629
1699-5198,1/1/15,862,630
0025-7753,7/7/14,863,631
,1/1/10,864,48
1098-4275,1/1/05,865,632
1469-493X,1/1/06,866,633
1432-0843,3/1/09,867,634
,1/1/10,868,48
,1/1/05,869,119
,1/1/02,870,243
2044-6055,1/1/14,871,189
0140-525X,9/1/97,872,635
,1/1/05,873,119
1432-0711,1/1/14,874,636
,1/1/04,875,240
,1/1/93,876,249
,,877,45
1469-8978,3/1/13,878,637
1040-2446,5/1/01,879,638
,6/1/03,880,639
,1/1/11,881,14
1478-7547 (electronic),1/1/11,882,640
,1/1/89,883,221
,1/1/96,884,437
,1/1/15,885,95
,1/1/06,886,9
1522-726X,10/24/14,887,641
1932-6203,1/1/13,888,27
,1/1/09,889,5
0305-1862,1/1/97,890,642
0363-5023,1/1/03,891,643
,1/1/08,892,64
1399-3003,6/1/12,893,644
,1/1/09,894,5
1353-3452 (Print)     1353-3452,1/1/98,895,645
0306-5251,1/1/95,896,646
,1/1/05,897,119
,,898,45
1537-6591,7/1/05,899,647
Mar-22,1/1/10,900,648
,11/1/07,901,649
1573-2606,9/1/13,902,650
1566-0702,1/1/09,903,651
1931-3543,3/1/14,904,652
,1/1/14,905,122
978-1-2673-2110-7,1/1/12,906,653
1533-4112,9/1/14,907,654
1053881X (ISSN),1/1/05,908,655
1097-0142,12/1/13,909,656
0027-8424,1/1/07,910,657
,6/1/15,911,658
"0361-6843, Print 1471-6402, Electronic",1/1/00,912,659
1872-7727,11/1/13,913,660
1099-1611,3/1/14,914,661
1521-186X,1/1/02,915,662
,1/1/98,916,426
1558-3597,8/31/10,917,663
Mar-09,3/1/02,918,664
2168-6157,1/1/14,919,665
0391-5387,9/1/94,920,666
,,921,45
,1/1/03,922,215
1672-1977,,923,667
1365-2346,4/1/15,924,668
0393-5264,1/1/93,925,141
"1466-187X, Electronic 0142-159X, Print",9/1/12,926,669
,,927,45
,1/1/86,928,26
1092-0684,1/1/01,929,670
1872-8243,2/1/15,930,671
1527-7755,7/10/13,931,672
,,932,45
,,933,45
,1/1/05,934,119
2054-2704,1/1/15,935,673
1062-3264 (Print)     1062-3264,1/1/03,936,674
0022-4804,1/1/87,937,675
0261-5614,1/1/14,938,676
"1742-3953, 1742-3953",1/1/08,939,677
,1/1/14,940,122
