beer_name,ounces,original_index,unique_index,count
Ellie’s Brown Ale,12.0 ounce,166,165,1
Pumpkin Beast,12.0 oz. Alumi-Tek,167,166,1
OktoberBeast,12.0 oz.,168,167,1
Mad Beach,12.0 ounce,169,168,1
Hog Wild India Pale Ale,12.0 oz.,170,169,1
Devils Tramping Ground Tripel,12.0 oz.,171,170,1
Hot Rod Red,12.0 ounce,172,171,1
Palate Mallet,12.0 ounce,173,172,1
Back East Porter,12.0 oz.,174,173,1
Back East Golden Ale,12.0 OZ.,175,174,1
Misty Mountain IPA,12.0 oz.,176,175,1
Back East Ale,12.0 ounce,177,176,1
Truck Stop Honey Brown Ale,12.0 ounce,178,177,1
Naked Pig Pale Ale,12.0 oz,179,178,1
Topcutter India Pale Ale,12.0 ounce,180,179,1
Field 41 Pale Ale,12.0 ounce,181,180,1
Grapefruit Sculpin,12.0 ounce,182,181,1
Even Keel,12.0 ounce,183,182,1
Ballast Point Pale Ale,12.0 OZ.,184,183,1
Big Eye India Pale Ale,12.0 OZ.,185,184,1
Longfin Lager,12.0 oz,186,185,1
Sculpin IPA,12.0 oz.,187,186,1
All Nighter Ale,12.0 oz. Alumi-Tek,188,187,1
Banner American Rye,12.0 oz,189,188,1
Banner American Ale,12.0 ounce,190,189,1
Thai.p.a,16.0 oz,191,190,1
Barrio Blanco,12.0 oz.,192,191,1
Barrio Tucson Blonde,12.0 oz,193,192,1
Hop in the ‘Pool Helles,12.0 oz. Alumi-Tek,194,193,1
Ultra Gnar Gnar IPA,12.0 oz.,195,194,1
In-Tents India Pale Lager,12.0 ounce,196,195,1
Lost Meridian Wit,12.0 oz.,197,196,1
Celestial Meridian Cascadian Dark Lager,12.0 oz,198,197,1
Wagon Party,12.0 ounce,199,198,1
Sky-Five,12.0 oz.,200,199,1
Stargrazer,12.0 oz.,201,200,1
Wonderstuff,12.0 oz.,202,201,1
Tarnation California-Style Lager,12.0 oz,203,202,1
On the Count of 3 (2015),16.0 oz,204,203,1
Summer Swelter,12.0 oz,205,204,1
Phantom Punch Winter Stout,12.0 oz.,206,205,1
Hayride Autumn Ale,12.0 ounce,207,206,1
Celsius Summer Ale (2012),12.0 oz.,208,207,1
Amber Road,12.0 oz.,209,208,1
Pamola Xtra Pale Ale,12.0 OZ.,210,209,1
Stowaway IPA,12.0 oz,211,210,1
Hoptopus Double IPA,16.0 ounce,212,211,1
Watermelon Ale,12.0 OZ.,213,212,1
Fenway American Pale Ale,12.0 oz. Alumi-Tek,214,213,1
Back Bay IPA,12.0 oz.,215,214,1
Bunker Hill Blueberry Ale,12.0 ounce,216,215,1
Oberon,12.0 oz,217,216,1
Smitten,16.0 oz.,218,217,1
Winter White,16.0 oz.,219,218,1
Oberon,16.0 oz.,220,219,1
Two Hearted,16.0 OZ.,221,220,1
Best Brown,16.0 oz.,222,221,1
Moar,12.0 oz.,223,222,1
Uber Lupin Schwarz IPA,16.0 ounce,224,223,1
Nordic Blonde,12.0 oz.,225,224,1
Cold Press,12.0 OZ.,226,225,1
Harness the Winter,12.0 oz.,227,226,1
14° ESB,12.0 ounce,228,227,1
Bent Hop Golden IPA,12.0 oz.,229,228,1
Bent Paddle Black Ale,12.0 oz.,230,229,1
Venture Pils,12.0 oz.,231,230,1
Lost Sailor IPA,12.0 ounce,232,231,1
Steel Rail Extra Pale Ale,12.0 oz,233,232,1
La Frontera Premium IPA,12.0 oz.,234,233,1
Tejas Lager,12.0 oz.,235,234,1
Number 22 Porter,12.0 oz,236,235,1
Big Bend Hefeweizen,12.0 oz,237,236,1
Terlingua Gold,12.0 OZ.,238,237,1
Aprè Shred,16.0 oz. Alumi-Tek,239,238,1
Hemlock Double IPA,12.0 ounce,240,239,1
West Portal Colorado Common Summer Ale,16.0 oz.,241,240,1
Disconnected Red,16.0 oz,242,241,1
Big Elm IPA,12.0 ounce,243,242,1
Gerry Dog Stout,12.0 OZ.,244,243,1
413 Farmhouse Ale,12.0 ounce,245,244,1
Dark Star,16.0 oz.,246,245,1
Ryecoe,16.0 ounce,247,246,1
Blueberry Blonde,12.0 oz.,248,247,1
Galaxy IPA,16.0 oz.,249,248,1
Big River Pilsner,12.0 oz.,250,249,1
House Brand IPA,12.0 oz.,251,250,1
Big Sky IPA,12.0 ounce,252,251,1
Scape Goat Pale Ale,12.0 oz,253,252,1
Montana Trout Slayer Ale,12.0 oz,254,253,1
Moose Drool Brown Ale,12.0 oz.,255,254,1
Powder Hound Winter Ale,12.0 oz.,256,255,1
Moose Drool Brown Ale (2011),12.0 oz.,257,256,1
Montana Trout Slayer Ale (2012),12.0 oz,258,257,1
Big Sky IPA (2012),12.0 OZ.,259,258,1
Summer Honey,12.0 ounce,260,259,1
Scape Goat Pale Ale (2010),12.0 oz,261,260,1
Montana Trout Slayer Ale (2009),12.0 oz,262,261,1
Moose Drool Brown Ale (2009),12.0 oz.,263,262,1
Arcus IPA,12.0 oz.,264,263,1
Wavemaker,12.0 ounce,265,264,1
Jack Pine Savage,16.0 oz,266,265,1
Forest Fire Imperial Smoked Rye,16.0 ounce,267,266,1
Bad Axe Imperial IPA,16.0 OZ.,268,267,1
Morning Wood,16.0 oz.,269,268,1
Bark Bite IPA,16.0 oz.,270,269,1
Jalapeno Pale Ale,16.0 ounce,271,270,1
Blown Out Brown,12.0 oz,272,271,1
Single Hop Ale,12.0 oz,273,272,1
Sawtooth Ale,12.0 oz.,274,273,1
Saucy Intruder,16.0 oz,275,274,1
Deception,12.0 oz,276,275,1
Blackmarket Rye IPA,12.0 ounce,277,276,1
Black Market Hefeweizen,12.0 ounce,278,277,1
Aftermath Pale Ale,12.0 ounce,279,278,1
American India Red Ale,12.0 oz,280,279,1
American Red Porter,12.0 ounce,281,280,1
American Red Saison,12.0 oz.,282,281,1
Colorado Red Ale,12.0 oz,283,282,2
Saddle Bronc Brown Ale,12.0 oz,284,283,1
Bomber Mountain Amber Ale,12.0 oz,285,284,1
Flying Sailor,12.0 ounce,286,285,1
Nordskye,12.0 oz. Alumi-Tek,287,286,1
North Third Stout,12.0 OZ.,288,287,1
Honey Lav,12.0 ounce,289,288,1
Coconut Brown Ale,12.0 ounce,290,289,1
51K IPA,12.0 oz,291,290,1
Grand Rabbits,12.0 ounce,292,291,1
1800 Big Log Wheat (2012),12.0 ounce,293,292,1
Double Play Pilsner,12.0 oz. Alumi-Tek,294,293,1
Brewerhood Brown Ale,12.0 oz.,295,294,1
Last Call Imperial Amber Ale,12.0 oz.,296,295,1
Pernicious Double IPA,12.0 oz.,297,296,1
6-4-3 Double Play Pilsner,12.0 oz,298,297,1
N Street Drive-In 50th Anniversary IPA,12.0 ounce,299,298,1
467 Ethan's Stout,12.0 ounce,300,299,1
1335 Wicked Snout,12.0 ounce,301,300,1
543 Skull Creek Fresh Hopped Pale Ale,12.0 oz.,302,301,1
1327 Pod's ESB,12.0 oz.,303,302,1
1327 Pod's ESB,12.0 ounce,304,303,2
1327 Pod's ESB,12.0 ounce,305,303,2
834 Happy As Ale,12.0 oz.,306,304,1
Yellow Collar,12.0 oz.,307,305,1
Green Collar,12.0 oz,308,306,1
Quarter Mile Double IPA,12.0 oz,309,307,1
Full Nelson Pale Ale,12.0 ounce,310,308,1
Steel Wheels ESB,12.0 oz.,311,309,1
Blue Mountain Classic Lager,12.0 oz.,312,310,1
Full Nelson Pale Ale (2010),12.0 ounce,313,311,1
Kölsch 151,12.0 oz,314,312,1
Professor Black,12.0 oz.,315,313,1
Little Boss,12.0 oz.,316,314,1
Van Dayum!,12.0 oz.,317,315,1
Spirit Animal,12.0 oz,318,316,1
Toxic Sludge,16.0 oz. Alumi-Tek,319,317,1
Blue Point White IPA,12.0 oz.,320,318,1
Blue Point Summer Ale,12.0 ounce,321,319,1
Toasted Lager,12.0 ounce,322,320,1
Bohemian Export Lager,12.0 oz.,323,321,1
Altus Bohemes Altbier,12.0 oz.,324,322,1
Cherny Bock,12.0 oz.,325,323,1
Czech Pilsner,12.0 oz,326,324,1
Viennese Lager,12.0 oz. Alumi-Tek,327,325,1
Mad Manatee IPA,12.0 oz,328,326,1
Killer Whale Cream Ale,12.0 oz. Alumi-Tek,329,327,1
Duke's Cold Nose Brown Ale,12.0 oz.,330,328,1
Longhop IPA,16.0 OZ.,331,329,1
Lucky Buck,16.0 oz.,332,330,1
Bomb Lager (New Recipe),12.0 oz,333,331,1
Bomb Lager (Old Recipe),12.0 oz.,334,332,1
Firestarter India Pale Ale,12.0 ounce,335,333,1
Kilt Dropper Scotch Ale,16.0 oz.,336,334,1
Wood Splitter Pilsner,16.0 ounce,337,335,1
Gyptoberfest,12.0 oz.,338,336,1
Farmer Wirtz India Pale Ale,16.0 ounce,339,337,1
Slow & Steady Golden Ale,12.0 oz. Alumi-Tek,340,338,1
Pink-I Raspberry IPA,16.0 oz. Alumi-Tek,341,339,1
Moe's Original Bar B Que 'Bama Brew Golden Ale,12.0 oz,342,340,1
Live Local Golden Ale,12.0 oz,343,341,1
Screaming Eagle Special Ale ESB,12.0 oz.,344,342,1
Dirtbag Dunkel,16.0 oz.,345,343,1
Kindler Pale Ale,12.0 oz.,346,344,1
Mistress Winter Wheat,12.0 oz.,347,345,1
Tent Pole Vanilla Porter,16.0 ounce,348,346,1
Awry Rye Pale Ale,12.0 ounce,349,347,1
Demshitz Brown Ale,12.0 oz.,350,348,1
Wood Splitter Pilsner (2012),12.0 ounce,351,349,1
Brush Creek Blonde,16.0 oz.,352,350,1
Firestarter India Pale Ale,16.0 ounce,353,351,1
Noche Dulce,16.0 oz. Alumi-Tek,354,352,1
Porch Rocker,12.0 ounce,355,353,1
Rebel IPA,16.0 oz,356,354,1
Cold Snap,12.0 ounce,357,355,1
Samuel Adams Winter Lager,12.0 oz.,358,356,1
Boston Lager,16.0 ounce,359,357,1
Boston Lager,12.0 oz.,360,358,2
Samuel Adams Octoberfest,12.0 oz,361,359,1
Samuel Adams Summer Ale,12.0 oz,362,360,1
Boston Lager,12.0 oz.,363,358,2
Hazed & Infused,12.0 oz.,364,361,1
Hoopla Pale Ale,12.0 ounce,365,362,1
Hazed & Infused (2010),12.0 oz.,366,363,1
Heavy Lifting,12.0 oz.,367,364,1
1492,12.0 oz.,368,365,1
Mango Ginger,12.0 oz,369,366,1
Passenger,12.0 ounce,370,367,1
Plum St. Porter,12.0 oz.,371,368,1
Plum St. Porter,12.0 ounce,372,369,1
Bozone HopZone IPA,12.0 ounce,373,370,1
Bozone Hefe Weizen,12.0 oz.,374,371,1
Bozone Select Amber Ale,12.0 oz,375,372,1
Evil Owl,12.0 oz. Alumi-Tek,376,373,1
Post Time Kölsch,16.0 oz,377,374,1
Agave Wheat,12.0 oz.,378,375,1
SummerBright Ale,12.0 ounce,379,376,1
Lucky U IPA,12.0 ounce,380,377,1
Avalanche Ale,12.0 oz,381,378,1
"You're My Boy, Blue",12.0 oz.,382,379,1
Last Stop IPA,12.0 oz.,383,380,1
Rollin Dirty Red Ale,12.0 oz.,384,381,1
Are Wheat There Yet?,12.0 oz,385,382,1
Insert Hop Reference,16.0 oz.,386,383,1
Manitou Amber,16.0 ounce,387,384,1
Belfort,16.0 oz,388,385,1
Star Runner,16.0 oz.,389,386,1
Tart Side of the Barrel,16.0 OZ.,390,387,1
Linnaeus Mango IPA,16.0 oz,391,388,1
Beasts A'Burnin',16.0 oz.,392,389,1
Verdun,16.0 oz,393,390,1
Barrel Aged Triomphe,16.0 oz.,394,391,1
Cherry Doppelbock,16.0 oz. Alumi-Tek,395,392,1
Tropical Saison,16.0 oz,396,393,1
Beach Patrol,16.0 oz.,397,394,1
Nuit Serpent,16.0 oz,398,395,1
Paris,16.0 ounce,399,396,1
The Grand Army,16.0 oz.,400,397,1
Acidulated Trip,16.0 OZ.,401,398,1
Root Stock,16.0 ounce,402,399,1
Mind Games,16.0 oz.,403,400,1
Sous Chef,16.0 oz.,404,401,1
Dubbelicious,16.0 oz.,405,402,1
Psychopomp,16.0 oz. Silo Can,406,403,1
Fat Paczki,16.0 oz.,407,404,1
Earth-Like Planets,16.0 oz,408,405,1
Ski Patrol,16.0 ounce,409,406,1
Viking Ice Hole,16.0 oz.,410,407,1
Rye Porter,16.0 oz,411,408,1
Wizard Burial Ground,16.0 oz,412,409,1
Smoky Wheat,16.0 oz.,413,410,1
BRIPA,16.0 oz.,414,411,1
Mela,16.0 oz.,415,412,1
W.I.P.A Snappa,16.0 oz.,416,413,1
Pepper in the Rye,16.0 oz.,417,414,1
Moe Lasses',16.0 ounce,418,415,1
Pumpkin Tart,16.0 oz.,419,416,1
Undertaker,16.0 oz.,420,417,1
Undertaker (2014),16.0 oz,421,418,1
Coq D'Or,16.0 oz,422,419,1
North French,16.0 ounce,423,420,1
Agent a Deux,16.0 oz,424,421,1
Belgian Wit,16.0 oz.,425,422,1
Pothole Stout,16.0 oz,426,423,1
Tree Bucket,16.0 oz. Alumi-Tek,427,424,1
Le Flaneur Ale,16.0 ounce,428,425,1
Maize & Blueberry,16.0 oz.,429,426,1
Trebuchet Double IPA,16.0 oz,430,427,1
Contemplation,16.0 ounce,431,428,1
Black Rabbit,16.0 ounce,432,429,1
Zaison,16.0 oz,433,430,1
Vivant Tripel,16.0 oz.,434,431,1
Tart Side of the Moon,16.0 ounce,435,432,1
Big Red Coq,16.0 oz.,436,433,1
Hubris Quadrupel Anniversary Ale,16.0 OZ.,437,434,1
Plow Horse Belgian Style Imperial Stout,16.0 oz,438,435,1
Escoffier Bretta Ale,16.0 oz.,439,436,1
Contemplation (2012),16.0 oz,440,437,1
Vivant Belgian Style Imperial Stout (2012),16.0 ounce,441,438,1
Big Red Coq (2012),16.0 oz.,442,439,1
Zaison (2012),16.0 oz.,443,440,1
Vivant Tripel (2012),16.0 oz,444,441,1
Trebuchet Double IPA (2012),16.0 oz,445,442,1
Kludde,16.0 oz. Alumi-Tek,446,443,1
Farm Hand,16.0 oz.,447,444,1
Solitude,16.0 oz.,448,445,1
Triomphe,16.0 oz,449,446,1
Tampa Pale Ale,12.0 oz.,450,447,1
Orange Grove Wheat Ale,12.0 oz.,451,448,1
Broad Brook Ale,16.0 oz,452,449,1
Northern Lights Amber Ale,12.0 oz.,453,450,1
Polar Pale Ale,12.0 oz. Alumi-Tek,454,451,1
Chugach Session Ale,12.0 oz.,455,452,1
Fairweather IPA,12.0 oz.,456,453,1
East India Pale Ale,16.0 oz,457,454,1
Brooklyn Summer Ale,12.0 ounce,458,455,1
East India Pale Ale,12.0 oz.,459,456,1
Brooklyn Summer Ale (2011),12.0 OZ.,460,457,1
Brooklyn Lager (16 oz.),16.0 oz.,461,458,1
Brooklyn Lager (12 oz.),12.0 oz. Alumi-Tek,462,459,1
Tour de Nez Belgian IPA (Current),16.0 oz,463,460,1
Roler Bock (Current),16.0 oz. Alumi-Tek,464,461,1
Black Adder IBA (Current),16.0 oz.,465,462,1
Very Noddy Lager (Current),16.0 oz,466,463,1
Tule Duck Red Ale (Current),16.0 oz,467,464,1
Original Orange Blossom Ale (Current),16.0 oz.,468,465,1
Black Noddy Lager (Current),16.0 oz.,469,466,1
Cleveland Beer Week 2013,16.0 ounce,470,467,1
Painted Turtle,12.0 oz.,471,468,1
1836,12.0 oz.,472,469,1
Summer's Wit,12.0 oz,473,470,1
More Cowbell,16.0 ounce,474,471,1
Wrath of Pele,16.0 OZ.,475,472,1
Black Beer'd,16.0 oz,476,473,1
Mr. Tea,24.0 oz.,477,474,1
Pale Alement,12.0 oz,478,475,1
Hopkick Dropkick,12.0 ounce,479,476,1
Kreamed Corn,12.0 oz.,480,477,1
Coconoats,16.0 oz.,481,478,1
Joey Wheat,16.0 ounce,482,479,1
3:33 Black IPA,16.0 oz,483,480,1
MCA,16.0 oz,484,481,1
Pale Alement,16.0 oz,485,482,1
Couch Select Lager,12.0 oz,486,483,1
Mucho Aloha Hawaiian Pale Ale,12.0 ounce,487,484,1
Heinnieweisse Weissebier,12.0 ounce,488,485,1
Snapperhead IPA,12.0 oz.,489,486,1
Moo Thunder Stout,12.0 oz,490,487,1
Porkslap Pale Ale,12.0 ounce,491,488,1
Blackbeard,12.0 ounce,492,489,1
Rye Knot,12.0 oz. Alumi-Tek,493,490,1
Dead Arm,12.0 oz.,494,491,1
32°/50° Kölsch,16.0 oz.,495,492,1
HopArt,16.0 oz.,496,493,1
Boy King,16.0 oz.,497,494,1
Gran Sport,16.0 ounce,498,495,1
Horny Toad Cerveza,16.0 oz,499,496,1
Native Amber,16.0 oz.,500,497,1
F5 IPA,16.0 oz,501,498,1
Native Amber (2013),16.0 OZ.,502,499,1
Horny Toad Cerveza (2013),16.0 ounce,503,500,1
Hopportunity Knocks IPA,12.0 ounce,504,501,1
Pilot Rock Porter,12.0 ounce,505,502,1
Caldera Pale Ale,12.0 oz.,506,503,1
Lawnmower Lager,12.0 oz,507,504,1
Ashland Amber Ale (2009),12.0 ounce,508,505,1
Caldera IPA (2009),12.0 oz,509,506,1
Caldera IPA (2007),12.0 OZ.,510,507,1
Caldera Pale Ale (2010),12.0 oz,511,508,1
Caldera Pale Ale (2009),12.0 ounce,512,509,1
Caldera Pale Ale (2005),12.0 oz.,513,510,1
Caldera Pale Ale (2007),12.0 ounce,514,511,1
Caldera Pale Ale (2011),12.0 oz.,515,512,1
Ashland Amber Ale,12.0 oz. Alumi-Tek,516,513,1
Caldera IPA,12.0 oz,517,514,1
Remain in Light,12.0 oz.,518,515,1
Flower Child (2014),12.0 oz.,519,516,1
THP White (2006),12.0 oz,520,517,1
THP Amber (2006),12.0 ounce,521,518,1
THP Light (2006),12.0 oz. Alumi-Tek,522,519,1
THP Dark (2006),12.0 oz.,523,520,1
Imperial Pumpkin Stout,16.0 oz.,524,521,1
Dead-Eye DIPA,16.0 oz.,525,522,1
Fisherman's IPA,12.0 oz,526,523,1
Fisherman's Pils,12.0 oz.,527,524,1
Fisherman's Brew,12.0 ounce,528,525,1
Cape Cod Red,16.0 oz.,529,526,1
Beach Blonde,16.0 oz.,530,527,1
Dark Voyage Black IPA (2013),12.0 oz,531,528,1
Wisconsin Amber,12.0 ounce,532,529,1
Lake House,12.0 oz.,533,530,1
Ghost Ship White IPA,12.0 ounce,534,531,1
Lake House,16.0 OZ.,535,532,1
Mutiny IPA,12.0 oz.,536,533,1
Wisconsin Amber (1998),12.0 ounce,537,534,1
Island Wheat,12.0 oz.,538,535,1
Wisconsin Amber (2013),12.0 ounce,539,536,1
U.S. Pale Ale,12.0 ounce,540,537,1
Supper Club Lager,12.0 ounce,541,538,1
Carolina Lighthouse (2007),12.0 ounce,542,539,1
Carolina Blonde (2006),12.0 ounce,543,540,1
Carolina Blonde Light (2005),12.0 oz,544,541,1
Santa's Secret,16.0 oz,545,542,1
Flagship IPA,12.0 oz.,546,543,1
Sky Blue Golden Ale,12.0 oz.,547,544,1
Epitome,16.0 oz.,548,545,1
Monkey Chased the Weasel,16.0 ounce,549,546,1
077XX,16.0 oz,550,547,1
Boat Beer,12.0 oz.,551,548,1
Granny Smith Hard Apple Cider,16.0 oz.,552,549,1
Dry Hard Apple Cider,16.0 oz,553,550,1
Farmer Ted's Cream Ale,12.0 oz,554,551,1
Firewater India Pale Ale,12.0 ounce,555,552,1
White Zombie Ale,12.0 oz.,556,553,1
King Winterbolt Winter Ale,12.0 oz. Alumi-Tek,557,554,1
White Zombie Ale,12.0 OZ.,558,555,1
Firewater India Pale Ale,12.0 oz.,559,556,1
Farmer Ted's Farmhouse Cream Ale,12.0 oz.,560,557,1
Whitecap Wit,16.0 ounce,561,558,1
Seiche Scottish Ale,16.0 OZ.,562,559,1
Peanut Butter Jelly Time,12.0 oz,563,560,1
King Coconut,12.0 oz,564,561,1
Gone A-Rye,16.0 oz.,565,562,1
Special Release,16.0 oz.,566,563,1
