EmergencyService,original_index,unique_index,count
yes,221,0,830
yes,222,0,830
yes,223,0,830
yes,224,0,830
yes,225,0,830
yes,226,0,830
yes,227,0,830
yes,228,0,830
yes,229,0,830
yes,230,0,830
yes,231,0,830
yes,232,0,830
yes,233,0,830
yes,234,0,830
yes,235,0,830
yes,236,0,830
yes,237,0,830
yes,238,0,830
yes,239,0,830
yes,240,0,830
yes,241,0,830
yes,242,0,830
yes,243,0,830
yes,244,0,830
yes,245,0,830
yes,246,0,830
yes,247,0,830
yes,248,0,830
yes,249,0,830
yes,250,0,830
yes,251,0,830
yes,252,0,830
yes,253,0,830
yes,254,0,830
yes,255,0,830
yes,256,0,830
yes,257,0,830
yes,258,0,830
yes,259,0,830
yes,260,0,830
yes,261,0,830
yes,262,0,830
yes,263,0,830
yes,264,0,830
yes,265,0,830
yes,266,0,830
yes,267,0,830
yes,268,0,830
yes,269,0,830
yes,270,0,830
yes,271,0,830
yes,272,0,830
yes,273,0,830
yes,274,0,830
yes,275,0,830
yes,276,0,830
yes,277,0,830
yes,278,0,830
yes,279,0,830
yes,280,0,830
yes,281,0,830
yes,282,0,830
yes,283,0,830
yes,284,0,830
yes,285,0,830
yes,286,0,830
yes,287,0,830
yes,288,0,830
yes,289,0,830
yes,290,0,830
yes,291,0,830
yes,292,0,830
yes,293,0,830
yes,294,0,830
yes,295,0,830
yes,296,0,830
yes,297,0,830
yes,298,0,830
yes,299,0,830
yes,300,0,830
yes,301,0,830
yes,302,0,830
yes,303,0,830
yes,304,0,830
yes,305,0,830
yes,306,0,830
yes,307,0,830
yes,308,0,830
yes,309,0,830
yes,310,0,830
yes,311,0,830
yes,312,0,830
yes,313,0,830
yes,314,0,830
yes,315,0,830
yes,316,0,830
yes,317,0,830
xes,318,4,5
yes,319,0,830
yes,320,0,830
yes,321,0,830
yes,322,0,830
yes,323,0,830
yes,324,0,830
yes,325,0,830
yes,326,0,830
yex,327,2,9
yes,328,0,830
yes,329,0,830
yes,330,0,830
yes,331,0,830
yex,332,2,9
yes,333,0,830
yes,334,0,830
yes,335,0,830
yes,336,0,830
yes,337,0,830
yes,338,0,830
yes,339,0,830
yes,340,0,830
yes,341,0,830
yes,342,0,830
yes,343,0,830
yes,344,0,830
yes,345,0,830
yes,346,0,830
yes,347,0,830
yes,348,0,830
yes,349,0,830
yxs,350,1,11
yes,351,0,830
yes,352,0,830
yes,353,0,830
yes,354,0,830
yes,355,0,830
yes,356,0,830
yes,357,0,830
yes,358,0,830
yes,359,0,830
yes,360,0,830
yes,361,0,830
yes,362,0,830
yes,363,0,830
yes,364,0,830
yes,365,0,830
yes,366,0,830
yes,367,0,830
yes,368,0,830
yes,369,0,830
yes,370,0,830
yes,371,0,830
yes,372,0,830
yes,373,0,830
yex,374,2,9
yes,375,0,830
yes,376,0,830
yes,377,0,830
yes,378,0,830
yes,379,0,830
yes,380,0,830
yes,381,0,830
yes,382,0,830
yes,383,0,830
yes,384,0,830
yes,385,0,830
yes,386,0,830
yes,387,0,830
yes,388,0,830
yxs,389,1,11
yes,390,0,830
yes,391,0,830
yes,392,0,830
yes,393,0,830
yes,394,0,830
yes,395,0,830
yes,396,0,830
yes,397,0,830
yes,398,0,830
yes,399,0,830
yes,400,0,830
yes,401,0,830
yes,402,0,830
yes,403,0,830
yes,404,0,830
yes,405,0,830
yes,406,0,830
yes,407,0,830
yes,408,0,830
yes,409,0,830
yxs,410,1,11
yes,411,0,830
yes,412,0,830
yes,413,0,830
no,414,3,143
no,415,3,143
no,416,3,143
no,417,3,143
xo,418,5,2
no,419,3,143
no,420,3,143
no,421,3,143
no,422,3,143
no,423,3,143
no,424,3,143
no,425,3,143
no,426,3,143
no,427,3,143
no,428,3,143
no,429,3,143
no,430,3,143
no,431,3,143
yes,432,0,830
yes,433,0,830
yes,434,0,830
yes,435,0,830
yes,436,0,830
yes,437,0,830
yes,438,0,830
yes,439,0,830
yes,440,0,830
yes,441,0,830
yes,442,0,830
yes,443,0,830
yes,444,0,830
yes,445,0,830
yes,446,0,830
yes,447,0,830
yes,448,0,830
yes,449,0,830
no,450,3,143
no,451,3,143
yes,452,0,830
yes,453,0,830
yes,454,0,830
yes,455,0,830
yes,456,0,830
yes,457,0,830
yes,458,0,830
yes,459,0,830
yes,460,0,830
yes,461,0,830
yes,462,0,830
yes,463,0,830
yes,464,0,830
yes,465,0,830
yes,466,0,830
yes,467,0,830
yes,468,0,830
yes,469,0,830
yes,470,0,830
yes,471,0,830
yes,472,0,830
yes,473,0,830
yes,474,0,830
yes,475,0,830
yes,476,0,830
yes,477,0,830
yes,478,0,830
yes,479,0,830
yes,480,0,830
yes,481,0,830
yes,482,0,830
yes,483,0,830
yes,484,0,830
yes,485,0,830
yes,486,0,830
yes,487,0,830
yes,488,0,830
yes,489,0,830
yes,490,0,830
yes,491,0,830
yxs,492,1,11
yes,493,0,830
yes,494,0,830
yes,495,0,830
yes,496,0,830
yes,497,0,830
yes,498,0,830
yes,499,0,830
yes,500,0,830
yes,501,0,830
yes,502,0,830
yes,503,0,830
yes,504,0,830
yes,505,0,830
yes,506,0,830
yes,507,0,830
yes,508,0,830
yes,509,0,830
yes,510,0,830
yes,511,0,830
yes,512,0,830
yes,513,0,830
yes,514,0,830
yes,515,0,830
yes,516,0,830
yes,517,0,830
yes,518,0,830
yes,519,0,830
yes,520,0,830
yxs,521,1,11
yes,522,0,830
yes,523,0,830
yes,524,0,830
yes,525,0,830
yes,526,0,830
yes,527,0,830
yes,528,0,830
yes,529,0,830
yes,530,0,830
yes,531,0,830
yes,532,0,830
yes,533,0,830
yes,534,0,830
yes,535,0,830
yex,536,2,9
yes,537,0,830
yes,538,0,830
yes,539,0,830
yes,540,0,830
yes,541,0,830
yes,542,0,830
yes,543,0,830
yes,544,0,830
yes,545,0,830
yes,546,0,830
yes,547,0,830
yes,548,0,830
yes,549,0,830
yes,550,0,830
yes,551,0,830
yes,552,0,830
yes,553,0,830
yes,554,0,830
yes,555,0,830
yes,556,0,830
yes,557,0,830
yes,558,0,830
yes,559,0,830
yes,560,0,830
yes,561,0,830
yes,562,0,830
yes,563,0,830
xes,564,4,5
yes,565,0,830
yes,566,0,830
yes,567,0,830
yes,568,0,830
yes,569,0,830
yes,570,0,830
yes,571,0,830
yes,572,0,830
yes,573,0,830
yes,574,0,830
yes,575,0,830
yes,576,0,830
yes,577,0,830
yes,578,0,830
xes,579,4,5
yes,580,0,830
yes,581,0,830
yes,582,0,830
yes,583,0,830
yes,584,0,830
yes,585,0,830
yes,586,0,830
xes,587,4,5
yes,588,0,830
yes,589,0,830
yes,590,0,830
yes,591,0,830
yes,592,0,830
yes,593,0,830
yes,594,0,830
yes,595,0,830
yes,596,0,830
yes,597,0,830
yes,598,0,830
yes,599,0,830
yes,600,0,830
yes,601,0,830
yes,602,0,830
yes,603,0,830
yes,604,0,830
yes,605,0,830
yes,606,0,830
yes,607,0,830
yes,608,0,830
yes,609,0,830
yes,610,0,830
yes,611,0,830
yes,612,0,830
yes,613,0,830
yes,614,0,830
yes,615,0,830
yes,616,0,830
yes,617,0,830
yes,618,0,830
yes,619,0,830
yes,620,0,830
yes,621,0,830
yes,622,0,830
yes,623,0,830
yes,624,0,830
yes,625,0,830
yes,626,0,830
yes,627,0,830
yex,628,2,9
yes,629,0,830
yes,630,0,830
yes,631,0,830
yes,632,0,830
yes,633,0,830
yes,634,0,830
yes,635,0,830
yes,636,0,830
yes,637,0,830
yes,638,0,830
yes,639,0,830
yes,640,0,830
no,641,3,143
no,642,3,143
no,643,3,143
no,644,3,143
no,645,3,143
no,646,3,143
no,647,3,143
no,648,3,143
no,649,3,143
no,650,3,143
no,651,3,143
no,652,3,143
xo,653,5,2
no,654,3,143
no,655,3,143
no,656,3,143
no,657,3,143
no,658,3,143
no,659,3,143
no,660,3,143
no,661,3,143
no,662,3,143
no,663,3,143
no,664,3,143
no,665,3,143
yes,666,0,830
yes,667,0,830
yes,668,0,830
yes,669,0,830
yes,670,0,830
yes,671,0,830
yes,672,0,830
yes,673,0,830
yex,674,2,9
yes,675,0,830
yes,676,0,830
yes,677,0,830
yes,678,0,830
yes,679,0,830
yes,680,0,830
yes,681,0,830
yes,682,0,830
yes,683,0,830
yes,684,0,830
yes,685,0,830
yes,686,0,830
yes,687,0,830
yes,688,0,830
yes,689,0,830
yes,690,0,830
no,691,3,143
no,692,3,143
no,693,3,143
no,694,3,143
no,695,3,143
no,696,3,143
no,697,3,143
no,698,3,143
no,699,3,143
no,700,3,143
no,701,3,143
no,702,3,143
no,703,3,143
no,704,3,143
no,705,3,143
no,706,3,143
no,707,3,143
no,708,3,143
no,709,3,143
no,710,3,143
no,711,3,143
no,712,3,143
no,713,3,143
no,714,3,143
no,715,3,143
yes,716,0,830
yes,717,0,830
yes,718,0,830
yes,719,0,830
yes,720,0,830
yes,721,0,830
yes,722,0,830
yes,723,0,830
yes,724,0,830
yes,725,0,830
yes,726,0,830
yes,727,0,830
yes,728,0,830
yes,729,0,830
yes,730,0,830
yes,731,0,830
yes,732,0,830
yes,733,0,830
yes,734,0,830
yes,735,0,830
yes,736,0,830
yes,737,0,830
yes,738,0,830
yes,739,0,830
yes,740,0,830
no,741,3,143
no,742,3,143
no,743,3,143
no,744,3,143
no,745,3,143
no,746,3,143
no,747,3,143
no,748,3,143
no,749,3,143
no,750,3,143
no,751,3,143
no,752,3,143
no,753,3,143
no,754,3,143
no,755,3,143
no,756,3,143
no,757,3,143
no,758,3,143
no,759,3,143
no,760,3,143
no,761,3,143
no,762,3,143
no,763,3,143
no,764,3,143
no,765,3,143
yes,766,0,830
yes,767,0,830
yes,768,0,830
yes,769,0,830
yes,770,0,830
yes,771,0,830
yes,772,0,830
yes,773,0,830
yes,774,0,830
yes,775,0,830
yes,776,0,830
yes,777,0,830
yes,778,0,830
yes,779,0,830
yes,780,0,830
yes,781,0,830
yes,782,0,830
yes,783,0,830
yes,784,0,830
yes,785,0,830
yes,786,0,830
yes,787,0,830
yes,788,0,830
yes,789,0,830
yes,790,0,830
yes,791,0,830
yes,792,0,830
yes,793,0,830
yes,794,0,830
yes,795,0,830
yes,796,0,830
yxs,797,1,11
yes,798,0,830
yes,799,0,830
yes,800,0,830
yes,801,0,830
yes,802,0,830
yes,803,0,830
yes,804,0,830
yes,805,0,830
yes,806,0,830
yes,807,0,830
yes,808,0,830
xes,809,4,5
yes,810,0,830
yes,811,0,830
yes,812,0,830
yes,813,0,830
yes,814,0,830
yes,815,0,830
yes,816,0,830
yes,817,0,830
yes,818,0,830
yes,819,0,830
yes,820,0,830
yes,821,0,830
yes,822,0,830
yes,823,0,830
yes,824,0,830
yes,825,0,830
yes,826,0,830
yes,827,0,830
yes,828,0,830
yes,829,0,830
yes,830,0,830
yes,831,0,830
yes,832,0,830
yes,833,0,830
yes,834,0,830
yes,835,0,830
yes,836,0,830
yes,837,0,830
yes,838,0,830
yes,839,0,830
yes,840,0,830
yes,841,0,830
yes,842,0,830
yes,843,0,830
yes,844,0,830
yes,845,0,830
yes,846,0,830
yes,847,0,830
yes,848,0,830
yes,849,0,830
yes,850,0,830
yes,851,0,830
yes,852,0,830
yes,853,0,830
yes,854,0,830
yes,855,0,830
yes,856,0,830
yes,857,0,830
yes,858,0,830
yes,859,0,830
yes,860,0,830
yes,861,0,830
yes,862,0,830
yes,863,0,830
yes,864,0,830
yes,865,0,830
yxs,866,1,11
yes,867,0,830
yes,868,0,830
yes,869,0,830
yes,870,0,830
yes,871,0,830
yes,872,0,830
yes,873,0,830
yes,874,0,830
yes,875,0,830
yes,876,0,830
yes,877,0,830
yes,878,0,830
yes,879,0,830
yes,880,0,830
yes,881,0,830
yes,882,0,830
yes,883,0,830
yes,884,0,830
yes,885,0,830
yes,886,0,830
yes,887,0,830
yes,888,0,830
yex,889,2,9
yes,890,0,830
yes,891,0,830
yes,892,0,830
yes,893,0,830
yes,894,0,830
yes,895,0,830
yes,896,0,830
yes,897,0,830
yes,898,0,830
yes,899,0,830
yes,900,0,830
yes,901,0,830
yes,902,0,830
yes,903,0,830
yes,904,0,830
yes,905,0,830
yes,906,0,830
yes,907,0,830
yes,908,0,830
yes,909,0,830
yes,910,0,830
yes,911,0,830
yes,912,0,830
yes,913,0,830
yes,914,0,830
yes,915,0,830
yes,916,0,830
yes,917,0,830
yes,918,0,830
yex,919,2,9
yes,920,0,830
yxs,921,1,11
yes,922,0,830
yes,923,0,830
yes,924,0,830
yes,925,0,830
yes,926,0,830
yes,927,0,830
yes,928,0,830
yes,929,0,830
no,930,3,143
no,931,3,143
no,932,3,143
no,933,3,143
no,934,3,143
no,935,3,143
no,936,3,143
no,937,3,143
no,938,3,143
no,939,3,143
no,940,3,143
no,941,3,143
no,942,3,143
no,943,3,143
no,944,3,143
no,945,3,143
no,946,3,143
no,947,3,143
no,948,3,143
no,949,3,143
no,950,3,143
no,951,3,143
no,952,3,143
no,953,3,143
no,954,3,143
yes,955,0,830
yes,956,0,830
yes,957,0,830
yes,958,0,830
yes,959,0,830
yes,960,0,830
yes,961,0,830
yes,962,0,830
yes,963,0,830
yes,964,0,830
yes,965,0,830
yes,966,0,830
yes,967,0,830
yes,968,0,830
yes,969,0,830
yes,970,0,830
yes,971,0,830
yes,972,0,830
yes,973,0,830
yes,974,0,830
yes,975,0,830
yes,976,0,830
yes,977,0,830
yes,978,0,830
yes,979,0,830
yes,980,0,830
yes,981,0,830
yes,982,0,830
yes,983,0,830
yes,984,0,830
yes,985,0,830
yes,986,0,830
yes,987,0,830
yes,988,0,830
yes,989,0,830
yes,990,0,830
yes,991,0,830
yes,992,0,830
yes,993,0,830
yes,994,0,830
yes,995,0,830
yes,996,0,830
yes,997,0,830
yes,998,0,830
yes,999,0,830
