State,EmergencyService,original_index,unique_index,count
al,yes,563,0,789
al,xes,564,7,5
al,yes,565,0,789
al,yes,566,0,789
al,yes,567,0,789
al,yes,568,0,789
al,yes,569,0,789
al,yes,570,0,789
al,yes,571,0,789
ax,yes,572,6,10
al,yes,573,0,789
al,yes,574,0,789
al,yes,575,0,789
al,yes,576,0,789
al,yes,577,0,789
al,yes,578,0,789
al,xes,579,7,5
al,yes,580,0,789
al,yes,581,0,789
al,yes,582,0,789
al,yes,583,0,789
al,yes,584,0,789
al,yes,585,0,789
al,yes,586,0,789
al,xes,587,7,5
al,yes,588,0,789
al,yes,589,0,789
al,yes,590,0,789
al,yes,591,0,789
ax,yes,592,6,10
al,yes,593,0,789
al,yes,594,0,789
al,yes,595,0,789
al,yes,596,0,789
al,yes,597,0,789
al,yes,598,0,789
al,yes,599,0,789
al,yes,600,0,789
al,yes,601,0,789
al,yes,602,0,789
al,yes,603,0,789
al,yes,604,0,789
al,yes,605,0,789
al,yes,606,0,789
al,yes,607,0,789
al,yes,608,0,789
al,yes,609,0,789
al,yes,610,0,789
al,yes,611,0,789
al,yes,612,0,789
al,yes,613,0,789
al,yes,614,0,789
al,yes,615,0,789
al,yes,616,0,789
al,yes,617,0,789
al,yes,618,0,789
al,yes,619,0,789
al,yes,620,0,789
al,yes,621,0,789
al,yes,622,0,789
al,yes,623,0,789
al,yes,624,0,789
al,yes,625,0,789
al,yes,626,0,789
al,yes,627,0,789
al,yex,628,3,9
al,yes,629,0,789
al,yes,630,0,789
al,yes,631,0,789
al,yes,632,0,789
al,yes,633,0,789
al,yes,634,0,789
al,yes,635,0,789
al,yes,636,0,789
al,yes,637,0,789
al,yes,638,0,789
al,yes,639,0,789
al,yes,640,0,789
al,no,641,4,138
al,no,642,4,138
al,no,643,4,138
al,no,644,4,138
al,no,645,4,138
al,no,646,4,138
al,no,647,4,138
al,no,648,4,138
al,no,649,4,138
al,no,650,4,138
al,no,651,4,138
al,no,652,4,138
al,xo,653,8,2
al,no,654,4,138
al,no,655,4,138
al,no,656,4,138
al,no,657,4,138
al,no,658,4,138
al,no,659,4,138
al,no,660,4,138
al,no,661,4,138
al,no,662,4,138
al,no,663,4,138
al,no,664,4,138
al,no,665,4,138
al,yes,666,0,789
al,yes,667,0,789
al,yes,668,0,789
al,yes,669,0,789
al,yes,670,0,789
al,yes,671,0,789
al,yes,672,0,789
al,yes,673,0,789
al,yex,674,3,9
al,yes,675,0,789
al,yes,676,0,789
al,yes,677,0,789
al,yes,678,0,789
al,yes,679,0,789
al,yes,680,0,789
al,yes,681,0,789
al,yes,682,0,789
al,yes,683,0,789
al,yes,684,0,789
al,yes,685,0,789
al,yes,686,0,789
al,yes,687,0,789
al,yes,688,0,789
al,yes,689,0,789
al,yes,690,0,789
al,no,691,4,138
al,no,692,4,138
al,no,693,4,138
al,no,694,4,138
al,no,695,4,138
al,no,696,4,138
al,no,697,4,138
al,no,698,4,138
al,no,699,4,138
al,no,700,4,138
xl,no,701,5,3
al,no,702,4,138
al,no,703,4,138
al,no,704,4,138
al,no,705,4,138
al,no,706,4,138
al,no,707,4,138
al,no,708,4,138
al,no,709,4,138
al,no,710,4,138
al,no,711,4,138
al,no,712,4,138
al,no,713,4,138
al,no,714,4,138
al,no,715,4,138
al,yes,716,0,789
al,yes,717,0,789
al,yes,718,0,789
al,yes,719,0,789
al,yes,720,0,789
al,yes,721,0,789
al,yes,722,0,789
al,yes,723,0,789
al,yes,724,0,789
al,yes,725,0,789
al,yes,726,0,789
al,yes,727,0,789
al,yes,728,0,789
al,yes,729,0,789
al,yes,730,0,789
al,yes,731,0,789
al,yes,732,0,789
al,yes,733,0,789
al,yes,734,0,789
al,yes,735,0,789
al,yes,736,0,789
al,yes,737,0,789
al,yes,738,0,789
al,yes,739,0,789
al,yes,740,0,789
al,no,741,4,138
al,no,742,4,138
al,no,743,4,138
al,no,744,4,138
al,no,745,4,138
al,no,746,4,138
al,no,747,4,138
al,no,748,4,138
al,no,749,4,138
al,no,750,4,138
al,no,751,4,138
al,no,752,4,138
al,no,753,4,138
al,no,754,4,138
al,no,755,4,138
al,no,756,4,138
al,no,757,4,138
al,no,758,4,138
al,no,759,4,138
al,no,760,4,138
al,no,761,4,138
al,no,762,4,138
al,no,763,4,138
xl,no,764,5,3
al,no,765,4,138
al,yes,766,0,789
al,yes,767,0,789
al,yes,768,0,789
al,yes,769,0,789
al,yes,770,0,789
al,yes,771,0,789
al,yes,772,0,789
al,yes,773,0,789
al,yes,774,0,789
al,yes,775,0,789
al,yes,776,0,789
al,yes,777,0,789
al,yes,778,0,789
al,yes,779,0,789
al,yes,780,0,789
al,yes,781,0,789
al,yes,782,0,789
al,yes,783,0,789
al,yes,784,0,789
al,yes,785,0,789
al,yes,786,0,789
al,yes,787,0,789
al,yes,788,0,789
al,yes,789,0,789
al,yes,790,0,789
xl,yes,791,2,13
al,yes,792,0,789
al,yes,793,0,789
al,yes,794,0,789
al,yes,795,0,789
al,yes,796,0,789
al,yxs,797,1,11
al,yes,798,0,789
al,yes,799,0,789
al,yes,800,0,789
al,yes,801,0,789
al,yes,802,0,789
al,yes,803,0,789
al,yes,804,0,789
al,yes,805,0,789
al,yes,806,0,789
al,yes,807,0,789
al,yes,808,0,789
al,xes,809,7,5
al,yes,810,0,789
al,yes,811,0,789
al,yes,812,0,789
al,yes,813,0,789
al,yes,814,0,789
al,yes,815,0,789
al,yes,816,0,789
al,yes,817,0,789
al,yes,818,0,789
al,yes,819,0,789
al,yes,820,0,789
al,yes,821,0,789
al,yes,822,0,789
al,yes,823,0,789
al,yes,824,0,789
al,yes,825,0,789
al,yes,826,0,789
al,yes,827,0,789
al,yes,828,0,789
al,yes,829,0,789
al,yes,830,0,789
al,yes,831,0,789
al,yes,832,0,789
al,yes,833,0,789
al,yes,834,0,789
al,yes,835,0,789
al,yes,836,0,789
al,yes,837,0,789
al,yes,838,0,789
al,yes,839,0,789
al,yes,840,0,789
al,yes,841,0,789
al,yes,842,0,789
al,yes,843,0,789
al,yes,844,0,789
al,yes,845,0,789
al,yes,846,0,789
al,yes,847,0,789
al,yes,848,0,789
al,yes,849,0,789
al,yes,850,0,789
al,yes,851,0,789
al,yes,852,0,789
al,yes,853,0,789
al,yes,854,0,789
al,yes,855,0,789
al,yes,856,0,789
al,yes,857,0,789
al,yes,858,0,789
al,yes,859,0,789
al,yes,860,0,789
al,yes,861,0,789
al,yes,862,0,789
al,yes,863,0,789
al,yes,864,0,789
al,yes,865,0,789
al,yxs,866,1,11
al,yes,867,0,789
al,yes,868,0,789
al,yes,869,0,789
al,yes,870,0,789
al,yes,871,0,789
al,yes,872,0,789
al,yes,873,0,789
al,yes,874,0,789
al,yes,875,0,789
al,yes,876,0,789
al,yes,877,0,789
al,yes,878,0,789
al,yes,879,0,789
al,yes,880,0,789
al,yes,881,0,789
al,yes,882,0,789
al,yes,883,0,789
xl,yes,884,2,13
al,yes,885,0,789
xl,yes,886,2,13
al,yes,887,0,789
al,yes,888,0,789
al,yex,889,3,9
al,yes,890,0,789
al,yes,891,0,789
al,yes,892,0,789
al,yes,893,0,789
al,yes,894,0,789
al,yes,895,0,789
al,yes,896,0,789
al,yes,897,0,789
al,yes,898,0,789
al,yes,899,0,789
al,yes,900,0,789
al,yes,901,0,789
al,yes,902,0,789
al,yes,903,0,789
al,yes,904,0,789
al,yes,905,0,789
al,yes,906,0,789
al,yes,907,0,789
al,yes,908,0,789
al,yes,909,0,789
al,yes,910,0,789
al,yes,911,0,789
al,yes,912,0,789
al,yes,913,0,789
al,yes,914,0,789
al,yes,915,0,789
al,yes,916,0,789
al,yes,917,0,789
al,yes,918,0,789
al,yex,919,3,9
al,yes,920,0,789
al,yxs,921,1,11
ax,yes,922,6,10
al,yes,923,0,789
al,yes,924,0,789
al,yes,925,0,789
al,yes,926,0,789
al,yes,927,0,789
al,yes,928,0,789
al,yes,929,0,789
al,no,930,4,138
al,no,931,4,138
al,no,932,4,138
al,no,933,4,138
al,no,934,4,138
al,no,935,4,138
al,no,936,4,138
al,no,937,4,138
al,no,938,4,138
al,no,939,4,138
al,no,940,4,138
al,no,941,4,138
al,no,942,4,138
al,no,943,4,138
al,no,944,4,138
al,no,945,4,138
al,no,946,4,138
al,no,947,4,138
al,no,948,4,138
al,no,949,4,138
al,no,950,4,138
al,no,951,4,138
al,no,952,4,138
al,no,953,4,138
al,no,954,4,138
al,yes,955,0,789
al,yes,956,0,789
al,yes,957,0,789
al,yes,958,0,789
al,yes,959,0,789
al,yes,960,0,789
al,yes,961,0,789
al,yes,962,0,789
al,yes,963,0,789
al,yes,964,0,789
al,yes,965,0,789
al,yes,966,0,789
al,yes,967,0,789
al,yes,968,0,789
al,yes,969,0,789
al,yes,970,0,789
al,yes,971,0,789
al,yes,972,0,789
al,yes,973,0,789
al,yes,974,0,789
al,yes,975,0,789
al,yes,976,0,789
al,yes,977,0,789
al,yes,978,0,789
al,yes,979,0,789
al,yes,980,0,789
al,yes,981,0,789
al,yes,982,0,789
al,yes,983,0,789
al,yes,984,0,789
al,yes,985,0,789
al,yes,986,0,789
al,yes,987,0,789
al,yes,988,0,789
al,yes,989,0,789
al,yes,990,0,789
al,yes,991,0,789
al,yes,992,0,789
al,yes,993,0,789
al,yes,994,0,789
al,yes,995,0,789
al,yes,996,0,789
al,yes,997,0,789
al,yes,998,0,789
al,yes,999,0,789
