beer_name,original_index,unique_index,count
Brooklyn Lager (12 oz.),462,449,1
Tour de Nez Belgian IPA (Current),463,450,1
Roler Bock (Current),464,451,1
Black Adder IBA (Current),465,452,1
Very Noddy Lager (Current),466,453,1
Tule Duck Red Ale (Current),467,454,1
Original Orange Blossom Ale (Current),468,455,1
Black Noddy Lager (Current),469,456,1
Cleveland Beer Week 2013,470,457,1
Painted Turtle,471,458,1
1836,472,459,1
Summer's Wit,473,460,1
More Cowbell,474,461,1
Wrath of Pele,475,462,1
Black Beer'd,476,463,1
Mr. Tea,477,464,1
Pale Alement,478,465,2
Hopkick Dropkick,479,466,1
Kreamed Corn,480,467,1
Coconoats,481,468,1
Joey Wheat,482,469,1
3:33 Black IPA,483,470,1
MCA,484,471,1
Pale Alement,485,465,2
Couch Select Lager,486,472,1
Mucho Aloha Hawaiian Pale Ale,487,473,1
Heinnieweisse Weissebier,488,474,1
Snapperhead IPA,489,475,1
Moo Thunder Stout,490,476,1
Porkslap Pale Ale,491,477,1
Blackbeard,492,478,1
Rye Knot,493,479,1
Dead Arm,494,480,1
32°/50° Kölsch,495,481,1
HopArt,496,482,1
Boy King,497,483,1
Gran Sport,498,484,1
Horny Toad Cerveza,499,485,1
Native Amber,500,486,1
F5 IPA,501,487,1
Native Amber (2013),502,488,1
Horny Toad Cerveza (2013),503,489,1
Hopportunity Knocks IPA,504,490,1
Pilot Rock Porter,505,491,1
Caldera Pale Ale,506,492,1
Lawnmower Lager,507,493,1
Ashland Amber Ale (2009),508,494,1
Caldera IPA (2009),509,495,1
Caldera IPA (2007),510,496,1
Caldera Pale Ale (2010),511,497,1
Caldera Pale Ale (2009),512,498,1
Caldera Pale Ale (2005),513,499,1
Caldera Pale Ale (2007),514,500,1
Caldera Pale Ale (2011),515,501,1
Ashland Amber Ale,516,502,1
Caldera IPA,517,503,1
Remain in Light,518,504,1
Flower Child (2014),519,505,1
THP White (2006),520,506,1
THP Amber (2006),521,507,1
THP Light (2006),522,508,1
THP Dark (2006),523,509,1
Imperial Pumpkin Stout,524,510,1
Dead-Eye DIPA,525,511,1
Fisherman's IPA,526,512,1
Fisherman's Pils,527,513,1
Fisherman's Brew,528,514,1
Cape Cod Red,529,515,1
Beach Blonde,530,39,2
Dark Voyage Black IPA (2013),531,516,1
Wisconsin Amber,532,517,1
Lake House,533,518,2
Ghost Ship White IPA,534,519,1
Lake House,535,518,2
Mutiny IPA,536,520,1
Wisconsin Amber (1998),537,521,1
Island Wheat,538,522,1
Wisconsin Amber (2013),539,523,1
U.S. Pale Ale,540,524,1
Supper Club Lager,541,525,1
Carolina Lighthouse (2007),542,526,1
Carolina Blonde (2006),543,527,1
Carolina Blonde Light (2005),544,528,1
Santa's Secret,545,529,1
Flagship IPA,546,530,1
Sky Blue Golden Ale,547,531,1
Epitome,548,532,1
Monkey Chased the Weasel,549,533,1
077XX,550,534,1
Boat Beer,551,535,1
Granny Smith Hard Apple Cider,552,536,1
Dry Hard Apple Cider,553,537,1
Farmer Ted's Cream Ale,554,538,1
Firewater India Pale Ale,555,539,2
White Zombie Ale,556,540,2
King Winterbolt Winter Ale,557,541,1
White Zombie Ale,558,540,2
Firewater India Pale Ale,559,539,2
Farmer Ted's Farmhouse Cream Ale,560,542,1
Whitecap Wit,561,543,1
Seiche Scottish Ale,562,544,1
Peanut Butter Jelly Time,563,545,1
King Coconut,564,546,1
Gone A-Rye,565,547,1
Special Release,566,548,1
Dankosaurus,567,549,1
Scruffy's Smoked Alt,568,550,1
Elliott's Phoned Home Pale Ale,569,551,1
The Lawn Ranger,570,552,1
All American Blonde Ale,571,553,1
All American Red Ale,572,554,1
Main St. Virginia Ale,573,555,2
Chin Music Amber Lager,574,556,1
Main St. Virginia Ale,575,555,2
Ray Ray’s Pale Ale,576,557,1
Chai Ale,577,558,1
Lucky Day IPA,578,559,1
Terrace Hill Double IPA,579,560,1
Catch 23,580,561,1
Stickin' In My Rye,581,562,1
Black Me Stout,582,563,1
Killer Kolsch,583,564,1
Missile IPA,584,565,1
Enlighten,585,566,1
Ale Cider,586,567,1
Pail Ale,587,568,1
Englishman,588,569,1
8 Barrel,589,570,1
Oktoberfest,590,571,6
IPA #11,591,572,1
Blood Orange Honey,592,573,1
Lighthouse Amber,593,574,1
Bay of Bengal Double IPA (2014),594,575,1
Churchkey Pilsner Style Beer,595,576,1
First Press,596,577,1
Magic Apple,597,578,1
Cubano Espresso,598,579,1
Operation Homefront,599,580,1
Wandering Pelican,600,581,1
Sugar Plum,601,582,1
Oktoberfest,602,571,6
Puppy's Breath Porter,603,583,1
Happening Now,604,584,1
Hopped on the High Seas (Hop #529),605,585,1
Hopped on the High Seas (Calypso),606,586,1
Wiregrass Post-Prohibition Ale,607,587,1
Dry-Hopped On The High Seas Caribbean-Style IPA,608,588,1
Hopped on the High Seas (Citra),609,589,1
Hopped on the High Seas (Ahtanum),610,590,1
Gwar Beer,611,591,1
Tropical Heatwave,612,592,1
Humidor Series India Pale Ale,613,593,1
Jai Alai IPA Aged on White Oak,614,594,1
José Martí American Porter,615,595,1
Invasion Pale Ale,616,596,1
Maduro Brown Ale,617,597,2
Maduro Brown Ale,618,597,2
Hotter Than Helles Lager,619,598,1
Tocobaga Red Ale,620,599,1
Jai Alai IPA,621,600,1
Florida Cracker Belgian Wit,622,601,1
Shark Tracker Light lager,623,602,1
Pumple Drumkin,624,603,1
Grey Lady,625,604,1
Summer of Lager,626,605,1
Indie Pale Ale,627,606,1
Sankaty Light Lager,628,607,1
Whale's Tale Pale Ale,629,608,1
Jacaranada Rye IPA,630,609,1
Cascadian Dark Ale,631,610,1
Wheat the People,632,611,1
Tybee Island Blonde,633,612,1
Savannah Brown Ale,634,613,1
Rhode Island Blueberry,635,614,1
Newport Storm IPA,636,615,1
Hurricane Amber Ale (2004),637,616,1
Hurricane Amber Ale,638,617,1
Big Blue Van,639,618,1
Des Moines IPA,640,619,1
Capital Gold Golden Lager,641,620,1
Farmer John's Multi-Grain Ale,642,621,1
Behemoth,643,622,1
Arkansas Red,644,623,1
Core Oatmeal Stout,645,624,1
Core ESB,646,625,1
Chester's Beer (2005),647,626,1
Heiner Brau Kölsch,648,627,1
Trigger Blonde Ale,649,628,1
Crabtree Oatmeal Stout,650,629,1
Eclipse Black IPA,651,630,1
Neomexicanus Native,652,631,1
Old Soul,653,632,1
Snowcat Coffee Stout,654,633,1
WinterWonderGrass Festival Ale,655,634,1
Boohai Red Ale,656,635,1
Lava Lake Wit,657,636,1
Mountain Livin' Pale Ale,658,637,1
Crazy Mountain Amber Ale,659,638,1
Tropicalia,660,639,1
Athena,661,640,1
Aviator Raspberry Blonde,662,641,1
3 Picket Porter,663,642,1
Rusty Nail Pale Ale,664,643,1
Red Water Irish Style Red,665,644,1
Mjöllnir,666,645,1
Bear Butte Nut Brown Ale,667,646,1
Easy Livin' Summer Ale,668,647,1
Canyon Cream Ale,669,648,1
Pile O'Dirt Porter,670,649,1
11th Hour IPA,671,650,1
South Ridge Amber Ale,672,651,1
Summertime Ale,673,652,1
Lost River Blonde Ale,674,653,1
Monon Wheat,675,654,1
Floyd's Folly,676,655,1
Half Court IPA,677,656,1
Geary's Pale Ale,678,657,1
Geary's Summer Ale,679,658,1
Stone of Arbroath,680,659,1
The Tradition,681,660,1
El Hefe Speaks,682,661,1
Penn Quarter Porter,683,662,1
On the Wings of Armageddon,684,663,1
The Corruption,685,664,1
The Citizen,686,665,1
The Public,687,666,1
Dank IPA,688,667,1
Dank IPA (2012),689,668,1
Lift Off IPA,690,669,1
BrewFarm Select Golden Lager,691,670,1
Sprocket Blonde Ale (2006),692,671,1
Sprocket Pale Ale (2006),693,672,1
Dead Armadillo Amber Ale,694,673,1
Neato Bandito,695,674,1
Oak Cliff Coffee Ale,696,675,1
Dream Crusher Double IPA,697,676,1
Deep Ellum Pale Ale,698,677,1
Double Brown Stout,699,678,1
Farmhouse Wit,700,679,1
Rye Pils Session Lager,701,680,1
Dallas Blonde,702,681,1
Deep Ellum IPA,703,682,1
Thrasher Session India Pale Ale,704,683,1
Gutch English Style Mild Ale,705,684,1
Chuli Stout,706,685,1
Mother Ale,707,686,1
Twister Creek India Pale Ale,708,687,1
Single Engine Red,709,688,1
Incredible Pedal IPA,710,689,1
Graham Cracker Porter,711,690,1
Mirror Pond Pale Ale,712,691,1
Weissenheimer,713,692,1
Abbey's Single (2015- ),714,693,1
Vertex IPA,715,694,1
Here Gose Nothin',716,695,1
Strawberry Blonde,717,696,1
Hoperation Overload,718,697,1
Abbey's Single Ale (Current),719,698,1
Bravo Four Point,720,699,1
Striped Bass Pale Ale,721,700,1
Deadicated Amber,722,701,1
Kaleidoscope Collaboration 2012,723,702,1
California Sunshine Rye IPA,724,703,1
Full Boar Scotch Ale,725,704,1
12 Man Pale Ale,726,705,1
Filthy Hoppin' IPA,727,706,1
Dock Street Amber Beer (1992),728,707,1
Dolores River Hefeweizen,729,708,1
Dolores River ESB,730,709,1
Snaggletooth Double Pale Ale,731,710,1
Dolores River Pale Ale,732,711,1
Dolores River Dry Stout,733,712,1
Dolores River Mild,734,713,1
Cranberry Blend,735,714,1
Orignal Blend,736,715,1
Hop Abomination,737,716,1
Apricot Blonde,738,717,1
Dry Dock Hefeweizen,739,718,1
Dry Dock Amber Ale,740,719,1
Category 3 IPA,741,720,1
Dundee Summer Wheat Beer,742,721,1
Pumpkin Patch Ale,743,722,1
Crank Yanker IPA,744,723,1
River Runners Pale Ale,745,724,1
Pumpkin Patch Ale (2012),746,725,1
Mountain Fairy Raspberry Wheat,747,726,1
Boater Beer,748,727,1
Crank Yanker IPA (2011),749,728,1
Bleeding Buckeye Red Ale,750,729,1
Dottie Seattle Lager,751,730,1
Nut Sack Imperial Brown Ale,752,731,1
Underachiever,753,732,1
Lil' Brainless Raspberries,754,733,1
Element 29,755,734,1
Hop Syndrome,756,735,1
Escape to Colorado,757,736,1
Little Sister India Style Session Ale,758,737,1
Country Boy IPA,759,738,1
Blonde Czich,760,739,1
White Reaper,761,740,1
Bobblehead,762,741,1
Lucky Dog,763,742,1
Voodoo,764,743,1
General George Patton Pilsner,765,744,1
Nomader Weiss,766,745,1
Molotov Lite,767,746,1
Hipster Ale (Two Roads Brewing),768,747,1
Bikini Beer,769,748,1
Hipster Ale (Westbrook Brewing),770,749,1
Iron Horse Pale Ale,771,750,1
Stone's Throw IPA,772,751,1
Wood Chipper India Pale Ale,773,752,1
Trail Head,774,753,1
Hop Stalker Fresh Hop IPA,775,754,1
Sudice American Stout,776,755,1
Parcae Belgian Style Pale Ale,777,756,1
Norns Roggenbier,778,757,1
Laimas Kölsch Style Ale,779,758,1
Moirai India Pale Ale,780,759,1
Loki Red Ale,781,760,1
Peaches & Cream,782,761,1
Quaff India Style Session Ale,783,762,1
Loki Red Ale (2013),784,763,1
Mjolnir Imperial IPA,785,764,1
Fearless Scottish Ale,786,765,1
Mastermind,787,766,1
Hyzer Flip,788,767,1
Second Fiddle,789,768,1
Hodad Porter,790,769,1
Weiss Weiss Baby,791,770,1
Czech Yo Self,792,771,1
FMB 101,793,772,1
Hardcore Chimera,794,773,1
Sobek & Set,795,774,1
Nuclear Winter,796,775,1
Wet Hot American Wheat Ale,797,776,1
Secret Stache Stout,798,777,1
Fascist Pig Ale,799,778,1
Cut Throat Pale Ale,800,779,1
Threadless IPA,801,780,1
Cut Throat Pale Ale (2011),802,781,1
Golden Wing Blonde Ale,803,782,1
Easy Jack,804,783,1
Union Jack,805,784,1
Pivo Pils,806,785,1
805 Blonde Ale,807,786,1
805,808,787,1
Deflator,809,788,1
Hinchtown Hammer Down,810,789,1
Half Cycle IPA,811,790,1
Inclined Plane Ale,812,791,1
Moped Traveler,813,792,1
Snake Dog IPA,814,793,1
Underdog Atlantic Lager,815,794,1
Flying Mouse 8,816,795,1
Flying Mouse 4,817,796,1
La Ferme Urbaine Farmhouse Ale,818,797,1
Backyahd IPA,819,798,1
Raincloud Robust Porter,820,799,1
Barstool American Golden Ale,821,800,1
What the Butler Saw,822,801,1
1916 Shore Shiver,823,802,1
Quick WIT,824,803,1
The Optimist,825,804,1
Suicide Squeeze IPA,826,805,1
Java the Hop,827,806,1
Next Adventure Black IPA,828,807,1
3-Way IPA (2013),829,808,1
Tender Loving Empire NWPA,830,809,1
Quick Wit Belgianesque Ale,831,810,1
Sunrise Oatmeal Pale Ale,832,811,1
Cavatica Stout,833,812,1
1811 Lager,834,813,1
Vortex IPA,835,814,1
Fort Pitt Ale,836,815,1
Park,837,816,1
Westfalia,838,817,1
KSA,839,818,1
Villager,840,819,1
Dirty Bastard,841,820,1
Centennial IPA,842,821,1
All Day IPA,843,822,1
El Chingon IPA,844,823,1
Block Party Robust Porter,845,824,1
Local Buzz,846,825,1
Feel Like Maplin' Love,847,826,1
Father's Beer,848,827,1
