flight,act_dep_time,original_index,unique_index
CO-58-DEN-IAH,12:37 p.m.,158,141
UA-5487-SFO-MRY,10:53 a.m.,159,57
AA-204-LAX-MCO,Not Available,160,142
UA-414-LAX-SFO,6:10 a.m.,161,59
CO-1614-LAX-IAH,12:58 a.m.,162,143
UA-2726-FLL-PHL,4:10 p.m.,163,61
CO-52-IAH-LAX,7:56 a.m.,164,144
CO-1090-BOS-IAH,10:35 a.m.,165,145
AA-616-DFW-DTW,10:11 a.m.,166,64
UA-3515-IAD-MSP,8:26 a.m.,167,65
AA-3468-CVG-MIA,7:25 a.m.,168,6
AA-484-DFW-MIA,4:30 p.m.,169,146
AA-1886-BOS-MIA,10:55 a.m.,170,10
CO-62-IAH-EWR,2:59 p.m.,171,147
CO-1561-PHX-IAH,8:18 a.m.,172,148
UA-2314-ATL-PHL,3:04 p.m.,173,69
AA-446-DFW-PHL,12:13 p.m.,174,70
CO-1023-IAH-DEN,12:06 p.m.,175,149
AA-466-IAH-MIA,6:09 a.m.,176,72
UA-3050-PHX-CLT,11:45 a.m.,177,73
CO-89-IAH-EWR,6:17 a.m.,178,150
CO-1088-CLE-IAH,9:01 a.m.,179,151
AA-1664-MIA-ATL,10:19 a.m.,180,76
AA-1279-DFW-PHX,2:04 p.m.,181,14
UA-854-SFO-IAH,8:07 a.m.,182,78
UA-382-IAD-LAX,12:56 p.m.,183,79
AA-4344-ORD-DTW,12:14 p.m.,184,80
UA-257-JFK-SFO,2:43 p.m.,185,81
UA-2945-PHL-CLT,12:08 p.m.,186,152
CO-63-EWR-IAH,5:38 p.m.,187,153
CO-47-IAH-LAX,8:36 p.m.,188,154
AA-2050-ORD-MIA,11:06 a.m.,189,85
UA-248-PHX-ORD,,190,155
AA-4330-CVG-ORD,3:36 p.m.,191,21
AA-1434-DFW-MCO,7:22 a.m.,192,88
AA-1640-MIA-MCO,Not Available,193,156
AA-4307-ORD-DTW,6:56 p.m.,194,90
CO-1694-LAX-IAH,Not Available,195,157
UA-843-LAX-ORD,2:38 p.m.,196,158
CO-1193-EWR-MCO,9:58 a.m.,197,159
AA-3842-MSP-ORD,6:57 a.m.,198,95
AA-643-MIA-ORD,7:31 a.m.,199,96
AA-1007-MIA-PHX,5:09 p.m.,200,97
UA-2906-PHL-MCO,4:46 p.m.,201,160
UA-938-DEN-ORD,4:37 p.m.,202,99
AA-1221-MCO-ORD,8:23 p.m.,203,28
CO-16-LAX-EWR,10:37 a.m.,204,161
UA-2515-DFW-CLT,7:31 a.m.,205,162
AA-400-DFW-JFK,11:02 a.m.,206,102
UA-664-ORD-PHL,1:48 p.m.,207,103
AA-3756-ORD-SLC,12:42 p.m.,208,104
UA-37-EWR-MCO,2:01 p.m.,209,163
AA-1522-SFO-ORD,,210,31
UA-233-LAX-JFK,Not Available,211,164
AA-3823-LAX-DEN,Not Available,212,165
AA-2312-DFW-DTW,Not Available,213,166
AA-1165-JFK-MIA,7:23 a.m.,214,110
AA-431-MIA-SFO,8:52 a.m.,215,111
UA-3373-IAD-PHL,8:37 a.m.,216,112
AA-649-ORD-SNA,Not Available,217,167
CO-1250-MIA-IAH,3:17 p.m.,218,168
UA-6273-YYC-SFO,7:41 a.m.,219,115
UA-828-SFO-ORD,,220,116
CO-4888-IAH-DAL,,221,169
UA-858-PVG-SFO,12:45 a.m.,222,170
UA-2704-DTW-PHX,11:47 a.m.,223,119
AA-3063-SLC-LAX,8:40 p.m.,224,120
UA-2708-EWR-CLT,3:04 p.m.,225,121
UA-62-IAH-EWR,2:59 p.m.,226,171
UA-1500-IAH-GUA,9:43 a.m.,227,172
AA-3804-PHL-ORD,2:44 p.m.,228,38
AA-1917-JFK-MCO,3:28 p.m.,229,124
AA-2268-PHX-ORD,7:23 a.m.,230,173
AA-4277-CVG-JFK,12:11 p.m.,231,125
AA-2957-DFW-CVG,8:05 a.m.,232,174
UA-37-EDI-EWR,9:05 a.m.,233,175
AA-789-ORD-DEN,1:20 p.m.,234,127
AA-415-BOS-ORD,8:56 a.m.,235,43
AA-85-JFK-SFO,3:38 p.m.,236,129
AA-3979-CVG-ORD,8:04 a.m.,237,13
AA-1544-SAN-ORD,11:41 a.m.,238,56
AA-3786-IAH-ORD,4:12 p.m.,239,46
AA-271-MIA-LAX,11:52 a.m.,240,19
AA-2525-DFW-MIA,7:40 a.m.,241,176
CO-50-CLE-EWR,4:02 p.m.,242,177
UA-3099-PHX-PHL,11:55 a.m.,243,131
AA-4198-ORD-CLE,10:55 a.m.,244,132
AA-404-MIA-MCO,6:58 a.m.,245,133
CO-45-EWR-MIA,4:15 p.m.,246,178
AA-3809-PHX-LAX,6:11 a.m.,247,135
AA-59-JFK-SFO,7:40 a.m.,248,136
AA-222-LAX-BOS,7:32 a.m.,249,137
AA-3859-IAH-ORD,,250,179
AA-518-MIA-JFK,6:54 a.m.,251,3
UA-397-JFK-SFO,8:49 a.m.,252,139
UA-3925-IAD-ORF,,253,180
AA-1733-ORD-PHX,,254,181
AA-1640-MIA-MCO,6:56 p.m.,255,182
UA-2830-MCO-CLT,,256,183
CO-58-DEN-IAH,,257,55
AA-1544-SAN-ORD,,258,184
UA-5487-SFO-MRY,,259,185
AA-204-LAX-MCO,11:58 p.m.,260,186
UA-414-LAX-SFO,,261,187
AA-3756-ORD-SLC,,262,188
UA-2726-FLL-PHL,,263,189
CO-1090-BOS-IAH,,264,63
AA-3468-CVG-MIA,,265,190
UA-3515-IAD-MSP,,266,191
AA-484-DFW-MIA,,267,192
CO-62-IAH-EWR,,268,67
AA-446-DFW-PHL,,269,193
AA-466-IAH-MIA,6:09 a.m.,270,72
UA-3050-PHX-CLT,,271,194
CO-89-IAH-EWR,,272,74
CO-1088-CLE-IAH,,273,75
AA-1886-BOS-MIA,,274,195
AA-1664-MIA-ATL,10:19 a.m.,275,76
AA-3979-CVG-ORD,,276,196
AA-1279-DFW-PHX,2:04 p.m.,277,14
CO-1614-LAX-IAH,,278,60
AA-616-DFW-DTW,10:11 a.m.,279,64
AA-4344-ORD-DTW,,280,197
UA-2945-PHL-CLT,,281,198
AA-2525-DFW-MIA,7:40 a.m.,282,176
AA-271-MIA-LAX,11:52 a.m.,283,19
AA-2050-ORD-MIA,11:06 a.m.,284,85
AA-1434-DFW-MCO,7:22 a.m.,285,88
CO-1561-PHX-IAH,,286,68
AA-4307-ORD-DTW,,287,199
AA-3-JFK-LAX,12:12 p.m.,288,91
CO-1694-LAX-IAH,,289,92
UA-843-LAX-ORD,,290,200
CO-1193-EWR-MCO,,291,94
AA-3842-MSP-ORD,,292,201
AA-643-MIA-ORD,7:31 a.m.,293,96
UA-2906-PHL-MCO,,294,202
UA-938-DEN-ORD,,295,203
AA-1221-MCO-ORD,,296,204
CO-16-LAX-EWR,,297,100
UA-2515-DFW-CLT,,298,205
AA-400-DFW-JFK,11:02 a.m.,299,102
UA-664-ORD-PHL,,300,206
AA-1522-SFO-ORD,12:11 a.m.,301,106
UA-233-LAX-JFK,4:30 p.m.,302,207
AA-3823-LAX-DEN,,303,32
AA-2312-DFW-DTW,8:44 p.m.,304,208
AA-1165-JFK-MIA,7:23 a.m.,305,110
AA-431-MIA-SFO,8:52 a.m.,306,111
UA-257-JFK-SFO,,307,209
UA-3373-IAD-PHL,,308,210
AA-649-ORD-SNA,,309,36
CO-1250-MIA-IAH,,310,114
UA-6273-YYC-SFO,,311,211
UA-858-PVG-SFO,,312,212
UA-2704-DTW-PHX,,313,213
AA-3063-SLC-LAX,,314,214
UA-2708-EWR-CLT,,315,215
UA-62-IAH-EWR,,316,122
AA-3804-PHL-ORD,,317,216
AA-1917-JFK-MCO,,318,217
AA-2268-PHX-ORD,7:23 a.m.,319,173
UA-2314-ATL-PHL,,320,218
AA-4277-CVG-JFK,,321,219
AA-2957-DFW-CVG,,322,220
UA-37-EDI-EWR,,323,126
AA-789-ORD-DEN,1:20 p.m.,324,127
UA-854-SFO-IAH,8:07 a.m.,325,78
AA-415-BOS-ORD,,326,221
AA-85-JFK-SFO,,327,222
AA-3786-IAH-ORD,,328,223
CO-50-CLE-EWR,,329,130
UA-3099-PHX-PHL,,330,224
AA-4198-ORD-CLE,,331,225
AA-404-MIA-MCO,6:58 a.m.,332,133
CO-45-EWR-MIA,,333,134
AA-3809-PHX-LAX,,334,226
AA-59-JFK-SFO,7:40 a.m.,335,136
AA-222-LAX-BOS,,336,227
AA-3859-IAH-ORD,7:16 a.m.,337,0
CO-1586-IAH-MCO,,338,50
AA-518-MIA-JFK,6:54 a.m.,339,3
UA-397-JFK-SFO,8:48 a.m.,340,51
UA-3925-IAD-ORF,9:00 a.m.,341,52
AA-1733-ORD-PHX,7:59 p.m.,342,53
UA-2830-MCO-CLT,3:50 p.m.,343,54
CO-58-DEN-IAH,,344,55
AA-1544-SAN-ORD,11:41 a.m.,345,56
UA-5487-SFO-MRY,10:53 a.m.,346,57
AA-204-LAX-MCO,11:29 p.m.,347,58
UA-414-LAX-SFO,6:10 a.m.,348,59
CO-1614-LAX-IAH,,349,60
UA-2726-FLL-PHL,4:10 p.m.,350,61
CO-52-IAH-LAX,,351,62
CO-1090-BOS-IAH,,352,63
AA-616-DFW-DTW,10:11 a.m.,353,64
UA-3515-IAD-MSP,8:26 a.m.,354,65
AA-3468-CVG-MIA,7:25 a.m.,355,6
AA-484-DFW-MIA,4:29 p.m.,356,7
AA-1886-BOS-MIA,10:54 a.m.,357,66
CO-62-IAH-EWR,,358,67
CO-1561-PHX-IAH,,359,68
UA-2314-ATL-PHL,3:04 p.m.,360,69
AA-446-DFW-PHL,12:13 p.m.,361,70
CO-1023-IAH-DEN,,362,71
AA-466-IAH-MIA,6:09 a.m.,363,72
UA-3050-PHX-CLT,11:45 a.m.,364,73
CO-89-IAH-EWR,,365,74
CO-1088-CLE-IAH,,366,75
AA-1664-MIA-ATL,10:19 a.m.,367,76
AA-1279-DFW-PHX,2:03 p.m.,368,77
UA-854-SFO-IAH,8:07 a.m.,369,78
UA-382-IAD-LAX,12:56 p.m.,370,79
AA-4344-ORD-DTW,12:14 p.m.,371,80
UA-257-JFK-SFO,2:43 p.m.,372,81
UA-2945-PHL-CLT,12:07 p.m.,373,82
CO-63-EWR-IAH,,374,83
CO-47-IAH-LAX,,375,84
AA-2050-ORD-MIA,11:06 a.m.,376,85
UA-248-PHX-ORD,1:43 p.m.,377,86
AA-4330-CVG-ORD,,378,87
AA-1434-DFW-MCO,7:22 a.m.,379,88
AA-1640-MIA-MCO,6:47 p.m.,380,89
AA-4307-ORD-DTW,6:56 p.m.,381,90
AA-3-JFK-LAX,12:12 p.m.,382,91
CO-1694-LAX-IAH,,383,92
UA-843-LAX-ORD,2:04 p.m.,384,93
CO-1193-EWR-MCO,,385,94
AA-3842-MSP-ORD,6:57 a.m.,386,95
AA-643-MIA-ORD,7:31 a.m.,387,96
AA-1007-MIA-PHX,5:09 p.m.,388,97
AA-2525-DFW-MIA,7:39 a.m.,389,17
UA-2906-PHL-MCO,4:44 p.m.,390,98
UA-938-DEN-ORD,4:37 p.m.,391,99
AA-1221-MCO-ORD,8:23 p.m.,392,28
CO-16-LAX-EWR,,393,100
UA-2515-DFW-CLT,7:30 a.m.,394,101
AA-400-DFW-JFK,11:02 a.m.,395,102
UA-664-ORD-PHL,1:48 p.m.,396,103
AA-3756-ORD-SLC,12:42 p.m.,397,104
UA-37-EWR-MCO,,398,105
AA-1522-SFO-ORD,12:11 a.m.,399,106
UA-233-LAX-JFK,4:28 p.m.,400,107
AA-3823-LAX-DEN,9:06 p.m.,401,108
AA-2312-DFW-DTW,8:29 p.m.,402,109
AA-1165-JFK-MIA,7:23 a.m.,403,110
AA-431-MIA-SFO,8:52 a.m.,404,111
UA-3373-IAD-PHL,8:37 a.m.,405,112
AA-649-ORD-SNA,1:41 p.m.,406,113
CO-1250-MIA-IAH,,407,114
UA-6273-YYC-SFO,7:41 a.m.,408,115
UA-828-SFO-ORD,,409,116
CO-4888-IAH-DAL,5:38 p.m.,410,117
UA-858-PVG-SFO,1:50 p.m. (+8:00),411,118
UA-2704-DTW-PHX,11:47 a.m.,412,119
AA-3063-SLC-LAX,8:40 p.m.,413,120
UA-2708-EWR-CLT,3:04 p.m.,414,121
UA-62-IAH-EWR,,415,122
UA-1500-IAH-GUA,,416,123
AA-3804-PHL-ORD,2:44 p.m.,417,38
AA-1917-JFK-MCO,3:28 p.m.,418,124
AA-2268-PHX-ORD,7:22 a.m.,419,40
AA-4277-CVG-JFK,12:11 p.m.,420,125
AA-2957-DFW-CVG,8:04 a.m.,421,11
UA-37-EDI-EWR,,422,126
AA-789-ORD-DEN,1:20 p.m.,423,127
AA-415-BOS-ORD,8:55 a.m.,424,128
AA-85-JFK-SFO,3:38 p.m.,425,129
AA-3979-CVG-ORD,8:04 a.m.,426,13
AA-3786-IAH-ORD,4:12 p.m.,427,46
AA-271-MIA-LAX,11:52 a.m.,428,19
CO-50-CLE-EWR,,429,130
UA-3099-PHX-PHL,11:55 a.m.,430,131
AA-4198-ORD-CLE,10:55 a.m.,431,132
AA-404-MIA-MCO,6:58 a.m.,432,133
CO-45-EWR-MIA,,433,134
AA-3809-PHX-LAX,6:11 a.m.,434,135
AA-59-JFK-SFO,7:40 a.m.,435,136
AA-222-LAX-BOS,7:32 a.m.,436,137
AA-3859-IAH-ORD,7:16 a.m.,437,0
CO-1586-IAH-MCO,7:42 p.m.,438,138
AA-518-MIA-JFK,6:54 a.m.,439,3
UA-397-JFK-SFO,8:49 a.m.,440,139
UA-3925-IAD-ORF,9:01 a.m.,441,140
AA-1733-ORD-PHX,7:59 p.m.,442,53
AA-3-JFK-LAX,12:12 p.m.,443,91
UA-2830-MCO-CLT,3:50 p.m.,444,54
CO-58-DEN-IAH,12:37 p.m.,445,141
UA-5487-SFO-MRY,10:53 a.m.,446,57
AA-204-LAX-MCO,,447,5
UA-414-LAX-SFO,6:10 a.m.,448,59
CO-1614-LAX-IAH,12:58 a.m.,449,143
UA-2726-FLL-PHL,4:10 p.m.,450,61
CO-52-IAH-LAX,7:56 a.m.,451,144
CO-1090-BOS-IAH,10:35 a.m.,452,145
AA-616-DFW-DTW,10:11 a.m.,453,64
UA-3515-IAD-MSP,8:26 a.m.,454,65
AA-3468-CVG-MIA,7:25 a.m.,455,6
AA-484-DFW-MIA,4:30 p.m.,456,146
AA-1886-BOS-MIA,10:55 a.m.,457,10
CO-62-IAH-EWR,2:59 p.m.,458,147
CO-1561-PHX-IAH,8:18 a.m.,459,148
UA-2314-ATL-PHL,3:04 p.m.,460,69
AA-446-DFW-PHL,12:13 p.m.,461,70
CO-1023-IAH-DEN,12:06 p.m.,462,149
AA-466-IAH-MIA,6:09 a.m.,463,72
UA-3050-PHX-CLT,11:45 a.m.,464,73
CO-89-IAH-EWR,6:17 a.m.,465,150
CO-1088-CLE-IAH,9:01 a.m.,466,151
AA-1664-MIA-ATL,10:19 a.m.,467,76
AA-1279-DFW-PHX,2:04 p.m.,468,14
UA-854-SFO-IAH,8:07 a.m.,469,78
UA-382-IAD-LAX,12:56 p.m.,470,79
AA-4344-ORD-DTW,12:14 p.m.,471,80
UA-257-JFK-SFO,2:43 p.m.,472,81
UA-2945-PHL-CLT,12:08 p.m.,473,152
CO-63-EWR-IAH,5:38 p.m.,474,153
CO-47-IAH-LAX,8:36 p.m.,475,154
AA-2050-ORD-MIA,11:06 a.m.,476,85
UA-248-PHX-ORD,1:43 p.m.,477,86
AA-4330-CVG-ORD,3:36 p.m.,478,21
AA-1434-DFW-MCO,7:22 a.m.,479,88
AA-1640-MIA-MCO,,480,2
AA-4307-ORD-DTW,6:56 p.m.,481,90
CO-1694-LAX-IAH,,482,92
UA-843-LAX-ORD,2:38 p.m.,483,158
CO-1193-EWR-MCO,9:58 a.m.,484,159
AA-3842-MSP-ORD,6:57 a.m.,485,95
AA-643-MIA-ORD,7:31 a.m.,486,96
AA-1007-MIA-PHX,5:09 p.m.,487,97
UA-2906-PHL-MCO,4:46 p.m.,488,160
UA-938-DEN-ORD,4:37 p.m.,489,99
AA-1221-MCO-ORD,8:23 p.m.,490,28
CO-16-LAX-EWR,10:37 a.m.,491,161
UA-2515-DFW-CLT,7:31 a.m.,492,162
AA-400-DFW-JFK,11:02 a.m.,493,102
UA-664-ORD-PHL,1:48 p.m.,494,103
AA-3756-ORD-SLC,12:42 p.m.,495,104
UA-37-EWR-MCO,2:01 p.m.,496,163
AA-1522-SFO-ORD,,497,31
UA-233-LAX-JFK,,498,228
AA-3823-LAX-DEN,,499,32
AA-2312-DFW-DTW,,500,33
AA-1165-JFK-MIA,7:23 a.m.,501,110
AA-431-MIA-SFO,8:52 a.m.,502,111
UA-3373-IAD-PHL,8:37 a.m.,503,112
AA-649-ORD-SNA,,504,36
CO-1250-MIA-IAH,3:17 p.m.,505,168
UA-6273-YYC-SFO,7:41 a.m.,506,115
UA-828-SFO-ORD,,507,116
CO-4888-IAH-DAL,,508,169
UA-858-PVG-SFO,1:45 p.m.,509,229
UA-2704-DTW-PHX,11:47 a.m.,510,119
AA-3063-SLC-LAX,8:40 p.m.,511,120
UA-2708-EWR-CLT,3:04 p.m.,512,121
UA-62-IAH-EWR,2:59 p.m.,513,171
UA-1500-IAH-GUA,9:43 a.m.,514,172
AA-3804-PHL-ORD,2:44 p.m.,515,38
AA-1917-JFK-MCO,3:28 p.m.,516,124
AA-2268-PHX-ORD,7:23 a.m.,517,173
AA-4277-CVG-JFK,12:11 p.m.,518,125
AA-2957-DFW-CVG,8:05 a.m.,519,174
UA-37-EDI-EWR,9:05 a.m.,520,175
AA-789-ORD-DEN,1:20 p.m.,521,127
AA-415-BOS-ORD,8:56 a.m.,522,43
AA-85-JFK-SFO,3:38 p.m.,523,129
AA-3979-CVG-ORD,8:04 a.m.,524,13
AA-1544-SAN-ORD,11:41 a.m.,525,56
AA-3786-IAH-ORD,4:12 p.m.,526,46
AA-271-MIA-LAX,11:52 a.m.,527,19
AA-2525-DFW-MIA,7:40 a.m.,528,176
CO-50-CLE-EWR,4:02 p.m.,529,177
UA-3099-PHX-PHL,11:55 a.m.,530,131
AA-4198-ORD-CLE,10:55 a.m.,531,132
AA-404-MIA-MCO,6:58 a.m.,532,133
CO-45-EWR-MIA,4:15 p.m.,533,178
AA-3809-PHX-LAX,6:11 a.m.,534,135
AA-59-JFK-SFO,7:40 a.m.,535,136
AA-222-LAX-BOS,7:32 a.m.,536,137
AA-3859-IAH-ORD,7:16 a.m.,537,0
CO-1586-IAH-MCO,7:14 p.m.,538,230
AA-518-MIA-JFK,6:54 a.m.,539,3
UA-397-JFK-SFO,8:29 a.m.,540,231
UA-3925-IAD-ORF,8:42 a.m.,541,232
AA-1733-ORD-PHX,7:58 p.m.,542,1
AA-4344-ORD-DTW,12:13 p.m.,543,16
AA-1640-MIA-MCO,6:47 p.m. (Estimated runway),544,233
UA-2830-MCO-CLT,3:28 p.m.,545,234
CO-58-DEN-IAH,11:32 a.m.,546,235
AA-204-LAX-MCO,11:29 p.m. (Estimated runway),547,236
UA-414-LAX-SFO,5:56 a.m.,548,237
CO-1614-LAX-IAH,12:41 a.m.,549,238
UA-2726-FLL-PHL,3:58 p.m.,550,239
CO-52-IAH-LAX,7:29 a.m.,551,240
CO-1090-BOS-IAH,10:19 a.m.,552,241
AA-3468-CVG-MIA,7:25 a.m.,553,6
UA-3515-IAD-MSP,8:12 a.m.,554,242
AA-484-DFW-MIA,4:29 p.m.,555,7
AA-616-DFW-DTW,10:10 a.m.,556,15
CO-62-IAH-EWR,2:48 p.m.,557,243
CO-63-EWR-IAH,5:22 p.m.,558,244
AA-446-DFW-PHL,12:12 p.m.,559,8
CO-1023-IAH-DEN,11:56 a.m.,560,245
AA-466-IAH-MIA,6:08 a.m.,561,9
UA-3050-PHX-CLT,11:30 a.m.,562,246
CO-89-IAH-EWR,6:02 a.m.,563,247
