HospitalName,State,original_index,unique_index,count
eliza coffee memorial hospital,al,78,7,24
eliza coffee memorial hospital,al,79,7,24
eliza coffee memorial hospital,al,80,7,24
eliza coffee memorial hospital,al,81,7,24
eliza coffee memorial hospital,al,82,7,24
eliza coffee memorial hospital,xl,83,8,1
eliza coffee memorial hospital,al,84,7,24
eliza coffee memorial hospital,al,85,7,24
eliza coffee memorial hospital,al,86,7,24
eliza coffee memorial hospital,al,87,7,24
eliza coffee memorial hospital,al,88,7,24
eliza coffee memorial hospital,al,89,7,24
eliza coffee memorial hospital,al,90,7,24
eliza coffee memorial hospital,al,91,7,24
eliza coffee memorial hospital,al,92,7,24
eliza coffee memorial hospital,al,93,7,24
mizell memorial hospital,al,94,9,24
mizell memorial hospital,al,95,9,24
mizell memorial hospital,al,96,9,24
mizell memorial hospital,al,97,9,24
mizell memorial hospital,xl,98,10,1
mizell memorial hospital,al,99,9,24
mizell memorial hospital,al,100,9,24
mizell memorial hospital,al,101,9,24
mizell memorial hospital,al,102,9,24
mizell memorial hospital,al,103,9,24
mizell memorial hospital,al,104,9,24
mizell memorial hospital,al,105,9,24
mizell memorial hospital,al,106,9,24
mizell memorial hospital,al,107,9,24
mizell memorial hospital,al,108,9,24
mizell memorial hospital,al,109,9,24
mizell memorial hospital,al,110,9,24
mizell memorial hospital,al,111,9,24
mizell memorial hospital,al,112,9,24
mizell memorial hospital,al,113,9,24
mizell memorial hospital,al,114,9,24
mizell memorial hospital,al,115,9,24
mizell memorial hospital,al,116,9,24
mizell memorial hospital,al,117,9,24
mizell memorial hospital,al,118,9,24
crenshaw community hospital,ax,119,11,2
crenshaw community hospital,al,120,12,22
crenshaw community hospital,al,121,12,22
crenshaw community hospital,al,122,12,22
crenshaw community hospital,al,123,12,22
crenshaw community hospital,al,124,12,22
crenshaw community hospital,al,125,12,22
crenshaw community hospital,al,126,12,22
crenshaw community hospital,al,127,12,22
crenshaw community hospital,al,128,12,22
crenshaw community hospital,al,129,12,22
crenshaw community hospital,al,130,12,22
crenshaw cxmmunity hxspital,al,131,13,1
crenshaw community hospital,al,132,12,22
crenshaw community hospital,al,133,12,22
crenshaw community hospital,al,134,12,22
crenshaw community hospital,al,135,12,22
crenshaw community hospital,al,136,12,22
crenshaw community hospital,al,137,12,22
crenshaw community hospital,al,138,12,22
crenshaw community hospital,al,139,12,22
crenshaw community hospital,ax,140,11,2
crenshaw community hospital,al,141,12,22
crenshaw community hospital,al,142,12,22
crenshaw community hospital,al,143,12,22
hartselle medical center,al,144,14,24
hartselle medical center,al,145,14,24
hartselle medical center,al,146,14,24
hartselle medical center,al,147,14,24
hartselle medical center,al,148,14,24
hartselle medical center,al,149,14,24
hartselle medical center,al,150,14,24
hartselle medical center,al,151,14,24
hartselle medical center,al,152,14,24
hartselle medical center,al,153,14,24
hartselle medical center,al,154,14,24
hartselle medical center,al,155,14,24
hartselle medical center,al,156,14,24
hartselle medical center,al,157,14,24
hartselle medical center,al,158,14,24
hartselle medical center,al,159,14,24
hartselle medical center,al,160,14,24
hartselle medical center,al,161,14,24
hartselle medical center,al,162,14,24
hartselle medical center,al,163,14,24
hartselle medical center,al,164,14,24
hartselle medical center,ax,165,15,1
hartselle medical center,al,166,14,24
hartselle medical center,al,167,14,24
hartselle medical center,al,168,14,24
marshall medical center north,al,169,16,23
marshall medical center north,al,170,16,23
marshall medical cenxer norxh,al,171,17,1
marshall medical center north,al,172,16,23
marshall medical center north,al,173,16,23
marshall medical center north,al,174,16,23
marshall medical center north,al,175,16,23
marshall medical center north,al,176,16,23
marshall medical center north,al,177,16,23
marshall medical center north,al,178,16,23
marshall medical center north,al,179,16,23
marshall medical center north,al,180,16,23
marshall medical center north,al,181,16,23
marshall medical center north,xl,182,18,1
marshall medical center north,al,183,16,23
marshall medical center north,al,184,16,23
marshall medical center north,al,185,16,23
marshall medical center north,al,186,16,23
marshall medical center north,al,187,16,23
marshall medical center north,al,188,16,23
marshall medical center north,al,189,16,23
marshall medical center north,al,190,16,23
marshall medical center north,al,191,16,23
marshall medical center north,al,192,16,23
marshall medical center north,al,193,16,23
st vincents east,al,194,19,25
st vincents east,al,195,19,25
st vincents east,al,196,19,25
st vincents east,al,197,19,25
st vincents east,al,198,19,25
st vincents east,al,199,19,25
st vincents east,al,200,19,25
st vincents east,al,201,19,25
st vincents east,al,202,19,25
st vincents east,al,203,19,25
st vincents east,al,204,19,25
st vincents east,al,205,19,25
st vincents east,al,206,19,25
st vincents east,al,207,19,25
st vincents east,al,208,19,25
st vincents east,al,209,19,25
st vincents east,al,210,19,25
st vincents east,al,211,19,25
st vincents east,al,212,19,25
st vincents east,al,213,19,25
st vincents east,al,214,19,25
st vincents east,al,215,19,25
st vincents east,al,216,19,25
st vincents east,al,217,19,25
st vincents east,al,218,19,25
dekalb regional medical center,al,219,20,23
dekalb regional medical center,al,220,20,23
dekalb regional medical center,al,221,20,23
dekalb regional medical center,al,222,20,23
dekalb regional medical center,al,223,20,23
dekalb regional medical center,al,224,20,23
dekalb regional medical center,al,225,20,23
dekalb regional medical center,al,226,20,23
dekalb regional medical center,al,227,20,23
dekalb regional medical center,ax,228,21,1
dekalb regional medical center,al,229,20,23
dekalb regional medical center,al,230,20,23
dekalb regional medical center,al,231,20,23
dekalb regional medical center,al,232,20,23
dekalb regional medical center,al,233,20,23
dekalb regional medical center,al,234,20,23
dekalb regional medical center,al,235,20,23
dekalb regional medical center,al,236,20,23
dekalb regional medical center,al,237,20,23
dekalb regional medical center,al,238,20,23
dekalb regional medical center,al,239,20,23
dekalb regional medical center,al,240,20,23
dekalb regional medical center,al,241,20,23
dekalb regional medical center,al,242,20,23
dexalb regional medical center,al,243,22,1
southwest alabama medical center,al,244,23,25
southwest alabama medical center,al,245,23,25
southwest alabama medical center,al,246,23,25
southwest alabama medical center,al,247,23,25
southwest alabama medical center,al,248,23,25
southwest alabama medical center,al,249,23,25
southwest alabama medical center,al,250,23,25
southwest alabama medical center,al,251,23,25
southwest alabama medical center,al,252,23,25
southwest alabama medical center,al,253,23,25
southwest alabama medical center,al,254,23,25
southwest alabama medical center,al,255,23,25
southwest alabama medical center,al,256,23,25
southwest alabama medical center,al,257,23,25
southwest alabama medical center,al,258,23,25
southwest alabama medical center,al,259,23,25
southwest alabama medical center,al,260,23,25
southwest alabama medical center,al,261,23,25
southwest alabama medical center,al,262,23,25
southwest alabama medical center,al,263,23,25
southwest alabama medical center,al,264,23,25
southwest alabama medical center,al,265,23,25
southwest alabama medical center,al,266,23,25
southwest alabama medical center,al,267,23,25
southwest alabama medical center,al,268,23,25
shelby baptist medical center,al,269,24,24
shelby baptist medical center,al,270,24,24
shelby baptist medical center,al,271,24,24
shelby baptist medical center,al,272,24,24
shelby baptist medical center,al,273,24,24
shelby baptist medical center,al,274,24,24
shelby baptist medical center,al,275,24,24
shelby baptist medical center,al,276,24,24
shelby baptist medical center,al,277,24,24
shelby baptist medical center,xl,278,25,1
shelby baptist medical center,al,279,24,24
shelby baptist medical center,al,280,24,24
shelby baptist medical center,al,281,24,24
shelby baptist medical center,al,282,24,24
shelby baptist medical center,al,283,24,24
shelby baptist medical center,al,284,24,24
shelby baptist medical center,al,285,24,24
shelby baptist medical center,al,286,24,24
shelby baptist medical center,al,287,24,24
shelby baptist medical center,al,288,24,24
shelby baptist medical center,al,289,24,24
shelby baptist medical center,al,290,24,24
shelby baptist medical center,al,291,24,24
shelby baptist medical center,al,292,24,24
shelby baptist medical center,al,293,24,24
callahan eye foundation hospital,al,294,0,25
callahan eye foundation hospital,al,295,0,25
callahan eye foundation hospital,al,296,0,25
callahan eye foundation hospital,al,297,0,25
callahan eye foundation hospital,al,298,0,25
callahan eye foundation hospital,al,299,0,25
callahan eye foundation hospital,al,300,0,25
callahan eye foundation hospital,al,301,0,25
callahan eye foundation hospital,al,302,0,25
callahan eye foundation hospital,al,303,0,25
callahan eye foundation hospital,al,304,0,25
callahan eye foundation hospital,al,305,0,25
callahan eye foundation hospital,al,306,0,25
callahan eye foundation hospital,al,307,0,25
callahan eye foundation hospital,al,308,0,25
callahan eye foundation hospital,al,309,0,25
callahan eye foundation hospital,al,310,0,25
stringfellow memorial hospital,al,311,26,28
stringfellow memorial hospital,al,312,26,28
stringfellow memorial hospital,al,313,26,28
stringfellow memorial hospital,al,314,26,28
stringfellow memorial hospital,al,315,26,28
stringfellow memorial hospital,al,316,26,28
stringfellow memorial hospital,al,317,26,28
stringfellow memorial hospital,al,318,26,28
stringfellow memorial hospital,al,319,26,28
stringfellow memorial hospital,al,320,26,28
stringfellow memorial hospital,al,321,26,28
stringfellow memorial hospital,al,322,26,28
stringfellow memorial hospital,al,323,26,28
stringfellow memorial hospital,al,324,26,28
stringfellow memorial hospital,al,325,26,28
stringfellow memorial hospital,al,326,26,28
stringfellow memorial hospital,al,327,26,28
stringfellow memorial hospital,al,328,26,28
stringfellow memorial hospital,al,329,26,28
stringfellow memorial hospital,al,330,26,28
flowers hospital,al,331,27,16
flowers hospital,al,332,27,16
flowers hospital,al,333,27,16
flowers hospital,al,334,27,16
flowers hospital,al,335,27,16
flowers hospital,al,336,27,16
floxers hospital,al,337,28,1
flowers hospital,al,338,27,16
flowers hospital,al,339,27,16
flowers hospital,al,340,27,16
flowers hospital,al,341,27,16
flowers hospital,al,342,27,16
flowers hospital,al,343,27,16
flowers hospital,al,344,27,16
flowers hospital,al,345,27,16
flowers hospital,al,346,27,16
flowers hospital,al,347,27,16
st vincents hospital,al,348,29,5
st vincents hospital,al,349,29,5
st vincents hospital,al,350,29,5
st vincents hospital,al,351,29,5
st vincents hospital,al,352,29,5
decatur general hospital,al,353,30,1
northwest medical center,al,354,31,24
northwest medical center,al,355,31,24
northwest medical center,ax,356,32,1
northwest medical center,al,357,31,24
northwest medical center,al,358,31,24
northwest medical center,al,359,31,24
northwest medical center,al,360,31,24
northwest medical center,al,361,31,24
northwest medical center,al,362,31,24
northwest medical center,al,363,31,24
northwest medical center,al,364,31,24
northwest medical center,al,365,31,24
northwest medical center,al,366,31,24
northwest medical center,al,367,31,24
northwest medical center,al,368,31,24
northwest medical center,al,369,31,24
northwest medical center,al,370,31,24
northwest medical center,al,371,31,24
northwest medical center,al,372,31,24
northwest medical center,al,373,31,24
northwest medical center,al,374,31,24
northwest medical center,al,375,31,24
northwest medical center,al,376,31,24
northwest medical center,al,377,31,24
northwest medical center,al,378,31,24
univ of south alabama medical center,al,379,33,10
univ of south alabama medical center,al,380,33,10
univ of south alabama medical center,al,381,33,10
univ of south alabama medical center,al,382,33,10
univ of south alabama medical center,al,383,33,10
univ ox south alabama medical center,al,384,34,1
xniv of soxth alabama medical center,al,385,35,1
univ of south alabama medical center,xl,386,36,1
univ of south alabama medical center,al,387,33,10
univ of south alabama medical center,al,388,33,10
univ of south alabama medical center,al,389,33,10
univ of south alabama medical center,al,390,33,10
univ of south alabama medical center,al,391,33,10
prattville baptist hospital,al,392,37,19
prattville baptist hospital,al,393,37,19
prattville baptist hospital,al,394,37,19
prattville baptist hospital,al,395,37,19
prattville baptist hospital,al,396,37,19
prattville baptist hospital,al,397,37,19
prattville baptist hospital,al,398,37,19
prattville baptist hospital,al,399,37,19
prattville baptist hospital,al,400,37,19
prattville baptist hospital,al,401,37,19
prattville baptist hospital,ax,402,38,1
prattville baptist hospital,al,403,37,19
prattville baptist hospital,al,404,37,19
prattville baptist hospital,al,405,37,19
prattville baptist hospital,al,406,37,19
prattville baptist hospital,al,407,37,19
prattville baptist hospital,al,408,37,19
prattville baptist hospital,al,409,37,19
prattville baptist hospital,al,410,37,19
prattville baptist hospital,al,411,37,19
russellville hospital,al,412,39,2
russellville hospital,al,413,39,2
coosa valley medical center,al,414,40,18
coosa valley medical center,al,415,40,18
coosa valley medical center,al,416,40,18
coosa valley medical center,al,417,40,18
coosa valley medical center,al,418,40,18
coosa valley medical center,al,419,40,18
coosa valley medical center,al,420,40,18
coosa valley medical center,al,421,40,18
coosa valley medical center,al,422,40,18
coosa valley medical center,al,423,40,18
coosa valley medical center,al,424,40,18
coosa valley medical center,al,425,40,18
coosa valley medical center,al,426,40,18
coosa valley medical center,al,427,40,18
coosa valley medical center,al,428,40,18
coosa valley medical center,al,429,40,18
coosa valley medical center,al,430,40,18
coosa valley medical center,al,431,40,18
alaska regional hospital,ak,432,41,17
alaska regional hospital,ak,433,41,17
alaska regional hospital,ak,434,41,17
alaska regional hospital,ak,435,41,17
alaska regional hospital,ak,436,41,17
alaska regional hospital,ak,437,41,17
alaska regional hospital,ak,438,41,17
alaska regional hospital,ak,439,41,17
alaska regional hospital,ak,440,41,17
alaska regional hospital,ak,441,41,17
alaska regional hospital,ak,442,41,17
alaska regional hospital,ak,443,41,17
alaska regional hospital,ak,444,41,17
alaska regional hospital,ak,445,41,17
alaska regional hospital,ak,446,41,17
alaska regional hospital,ak,447,41,17
xlxskx regionxl hospitxl,ak,448,42,1
alaska regional hospital,ak,449,41,17
yukon kuskokwim delta reg hospital,ak,450,43,2
yukon kuskokwim delta reg hospital,ak,451,43,2
helen keller memorial hospital,al,452,1,25
helen keller memorial hospital,al,453,1,25
helen keller memorial hospital,al,454,1,25
helen keller memorial hospital,al,455,1,25
helen keller memorial hospital,al,456,1,25
helen keller memorial hospital,al,457,1,25
helen keller memorial hospital,al,458,1,25
helen keller memorial hospital,al,459,1,25
helen keller memorial hospital,al,460,1,25
helen keller memorial hospital,al,461,1,25
helen keller memorial hospital,al,462,1,25
helen keller memorial hospital,al,463,1,25
helen keller memorial hospital,al,464,1,25
helen keller memorial hospital,al,465,1,25
dale medical center,al,466,44,23
dale medical center,al,467,44,23
dale medical center,al,468,44,23
dale medical center,al,469,44,23
dale medical center,al,470,44,23
dale medical center,al,471,44,23
dale medical center,al,472,44,23
dale medical center,al,473,44,23
dale medical center,al,474,44,23
dale medical center,al,475,44,23
dale medical center,al,476,44,23
dale medical center,xl,477,45,2
dale medical center,al,478,44,23
dale medical center,al,479,44,23
dale medical center,al,480,44,23
dale medical center,al,481,44,23
dale medical center,al,482,44,23
dale medical center,xl,483,45,2
dale medical center,al,484,44,23
dale medical center,al,485,44,23
dale medical center,al,486,44,23
dale medical center,al,487,44,23
dale medical center,al,488,44,23
dale medical center,al,489,44,23
dale medical center,al,490,44,23
cherokee medical center,al,491,46,24
cherokee medical center,al,492,46,24
cherokee medical center,al,493,46,24
cherokee medical center,al,494,46,24
cherokee medical center,al,495,46,24
cherokee medical center,al,496,46,24
cherokee medical center,al,497,46,24
cherokee medical center,al,498,46,24
cherokee medical center,al,499,46,24
cherokee medical center,al,500,46,24
cherokee medical center,al,501,46,24
cherokee medical center,al,502,46,24
cherokee medical center,al,503,46,24
cherokee medical center,ax,504,47,1
cherokee medical center,al,505,46,24
cherokee medical center,al,506,46,24
cherokee medical center,al,507,46,24
cherokee medical center,al,508,46,24
cherokee medical center,al,509,46,24
cherokee medical center,al,510,46,24
cherokee medical center,al,511,46,24
cherokee medical center,al,512,46,24
cherokee medical center,al,513,46,24
cherokee medical center,al,514,46,24
cherokee medical center,al,515,46,24
baptist medical center south,al,516,48,24
baptist medical center south,al,517,48,24
baptist medical center south,al,518,48,24
baptist medical center south,al,519,48,24
baptist medical center south,al,520,48,24
baptist medical center south,al,521,48,24
baptist medical center south,al,522,48,24
baptist medical center south,al,523,48,24
baptist medical center south,al,524,48,24
baptist medical center south,al,525,48,24
baptist medical center south,al,526,48,24
baptist medical center south,al,527,48,24
baptist medical center south,al,528,48,24
baptist medical center south,al,529,48,24
baptist medical center south,al,530,48,24
baptist medical center south,al,531,48,24
baptist medical cexter south,al,532,49,1
baptist medical center south,al,533,48,24
baptist medical center south,al,534,48,24
baptist medical center south,al,535,48,24
baptist medical center south,al,536,48,24
baptist medical center south,al,537,48,24
baptist medical center south,al,538,48,24
baptist medical center south,al,539,48,24
baptist medical center south,al,540,48,24
jackson hospital & clinic inc,al,541,50,23
jackson hospital & clinic inc,al,542,50,23
jackson hospital & clinic inc,al,543,50,23
jackson hospital & clinic inc,al,544,50,23
jackson hospital & clinic inc,al,545,50,23
jackson hospital & clinic inc,al,546,50,23
jackson hospital & clinic inc,al,547,50,23
jackson hospital & clinic inc,al,548,50,23
jackson hospital & clinic inc,al,549,50,23
jackson hospital & clinic inc,al,550,50,23
jackson hospital & clinic inc,al,551,50,23
jackson hospital & clinic inc,al,552,50,23
jackson hospital & clinic inc,al,553,50,23
jackson hospital & clinic inc,al,554,50,23
jackson hospital & clinic inc,al,555,50,23
jackson hospital & clinic inc,al,556,50,23
jackson hospital & clinic inc,al,557,50,23
jackson hospital & clinic inc,al,558,50,23
jackson hospital & clinic inc,xl,559,51,1
jaxkson hospital & xlinix inx,al,560,52,1
jackson hospital & clinic inc,al,561,50,23
jackson hospital & clinic inc,al,562,50,23
jackson hospital & clinic inc,al,563,50,23
jackson hospital & clinic inc,al,564,50,23
jackson hospital & clinic inc,al,565,50,23
g h lanier memorial hospital,al,566,53,24
g h lanier memorial hospital,al,567,53,24
g h lanier memorial hospital,al,568,53,24
g h lanier memorial hospital,al,569,53,24
g h lanier memorial hospital,al,570,53,24
g h lanier memorial hospital,al,571,53,24
g h lanier memorial hospital,ax,572,54,1
g h lanier memorial hospital,al,573,53,24
g h lanier memorial hospital,al,574,53,24
g h lanier memorial hospital,al,575,53,24
g h lanier memorial hospital,al,576,53,24
g h lanier memorial hospital,al,577,53,24
g h lanier memorial hospital,al,578,53,24
g h lanier memorial hospital,al,579,53,24
g h lanier memorial hospital,al,580,53,24
g h lanier memorial hospital,al,581,53,24
g h lanier memorial hospital,al,582,53,24
g h lanier memorial hospital,al,583,53,24
g h lanier memorial hospital,al,584,53,24
g h lanier memorial hospital,al,585,53,24
g h lanier memorial hospital,al,586,53,24
g h lanier memorial hospital,al,587,53,24
g h lanier memorial hospital,al,588,53,24
g h lanier memorial hospital,al,589,53,24
g h lanier memorial hospital,al,590,53,24
elba general hospital,al,591,55,24
elba general hospital,ax,592,56,1
elba general hospital,al,593,55,24
elba general hospital,al,594,55,24
elba general hospital,al,595,55,24
elba general hospital,al,596,55,24
elba general hospital,al,597,55,24
elba general hospital,al,598,55,24
elba general hospital,al,599,55,24
elba general hospital,al,600,55,24
elba general hospital,al,601,55,24
elba general hospital,al,602,55,24
elba general hospital,al,603,55,24
elba general hospital,al,604,55,24
elba general hospital,al,605,55,24
elba general hospital,al,606,55,24
elba general hospital,al,607,55,24
elba general hospital,al,608,55,24
elba general hospital,al,609,55,24
elba general hospital,al,610,55,24
elba general hospital,al,611,55,24
elba general hospital,al,612,55,24
elba general hospital,al,613,55,24
elba general hospital,al,614,55,24
elba general hospital,al,615,55,24
east alabama medical center and snf,al,616,57,25
east alabama medical center and snf,al,617,57,25
east alabama medical center and snf,al,618,57,25
east alabama medical center and snf,al,619,57,25
east alabama medical center and snf,al,620,57,25
east alabama medical center and snf,al,621,57,25
east alabama medical center and snf,al,622,57,25
east alabama medical center and snf,al,623,57,25
east alabama medical center and snf,al,624,57,25
east alabama medical center and snf,al,625,57,25
east alabama medical center and snf,al,626,57,25
east alabama medical center and snf,al,627,57,25
east alabama medical center and snf,al,628,57,25
east alabama medical center and snf,al,629,57,25
east alabama medical center and snf,al,630,57,25
east alabama medical center and snf,al,631,57,25
east alabama medical center and snf,al,632,57,25
east alabama medical center and snf,al,633,57,25
east alabama medical center and snf,al,634,57,25
east alabama medical center and snf,al,635,57,25
east alabama medical center and snf,al,636,57,25
east alabama medical center and snf,al,637,57,25
east alabama medical center and snf,al,638,57,25
east alabama medical center and snf,al,639,57,25
east alabama medical center and snf,al,640,57,25
wedowee hospital,al,641,58,24
wedowee hospital,al,642,58,24
wedowee hospital,al,643,58,24
wedowee hospital,al,644,58,24
wedowee hospital,al,645,58,24
wedowee hospital,al,646,58,24
wedowee hospital,al,647,58,24
wedowee hospital,al,648,58,24
wedowee hospital,al,649,58,24
wedowee hospital,al,650,58,24
wedowee hospital,al,651,58,24
wedowee hospital,al,652,58,24
wedowee hospital,al,653,58,24
wedowee hosxital,al,654,59,1
wedowee hospital,al,655,58,24
wedowee hospital,al,656,58,24
wedowee hospital,al,657,58,24
wedowee hospital,al,658,58,24
wedowee hospital,al,659,58,24
wedowee hospital,al,660,58,24
wedowee hospital,al,661,58,24
wedowee hospital,al,662,58,24
wedowee hospital,al,663,58,24
wedowee hospital,al,664,58,24
wedowee hospital,al,665,58,24
university of alabama hospital,al,666,60,25
university of alabama hospital,al,667,60,25
university of alabama hospital,al,668,60,25
university of alabama hospital,al,669,60,25
university of alabama hospital,al,670,60,25
university of alabama hospital,al,671,60,25
university of alabama hospital,al,672,60,25
university of alabama hospital,al,673,60,25
university of alabama hospital,al,674,60,25
university of alabama hospital,al,675,60,25
university of alabama hospital,al,676,60,25
university of alabama hospital,al,677,60,25
university of alabama hospital,al,678,60,25
university of alabama hospital,al,679,60,25
university of alabama hospital,al,680,60,25
university of alabama hospital,al,681,60,25
university of alabama hospital,al,682,60,25
university of alabama hospital,al,683,60,25
university of alabama hospital,al,684,60,25
university of alabama hospital,al,685,60,25
university of alabama hospital,al,686,60,25
university of alabama hospital,al,687,60,25
university of alabama hospital,al,688,60,25
university of alabama hospital,al,689,60,25
university of alabama hospital,al,690,60,25
community hospital inc,al,691,61,22
community hospital inc,al,692,61,22
community hospital inc,al,693,61,22
community hospital inc,al,694,61,22
community hospital inc,al,695,61,22
community hospital inc,al,696,61,22
communitx hospital inc,al,697,62,1
community hospital inc,al,698,61,22
community hospital inc,al,699,61,22
community hospital inc,al,700,61,22
community hospital inc,xl,701,63,1
community hospital inc,al,702,61,22
community hospital inc,al,703,61,22
community hospital inc,al,704,61,22
community hospital inc,al,705,61,22
community hospital inc,al,706,61,22
community hospital inc,al,707,61,22
community hospital inc,al,708,61,22
community hospital inc,al,709,61,22
communixy hospixal inc,al,710,64,1
community hospital inc,al,711,61,22
community hospital inc,al,712,61,22
community hospital inc,al,713,61,22
community hospital inc,al,714,61,22
community hospital inc,al,715,61,22
cullman regional medical center,al,716,65,24
cullman regional medical center,al,717,65,24
cullman regional medical center,al,718,65,24
cullman regional medical center,al,719,65,24
cullman regional medical center,al,720,65,24
cullman regional medical center,al,721,65,24
cullman regional medical center,al,722,65,24
cullman regional medical center,al,723,65,24
cullman regional medical center,al,724,65,24
cullman regional medical center,al,725,65,24
cullman regional medical center,al,726,65,24
cullman regional medical center,al,727,65,24
cullman regional medical center,al,728,65,24
cullman regional medical center,al,729,65,24
cullmxn regionxl medicxl center,al,730,66,1
cullman regional medical center,al,731,65,24
cullman regional medical center,al,732,65,24
cullman regional medical center,al,733,65,24
cullman regional medical center,al,734,65,24
cullman regional medical center,al,735,65,24
cullman regional medical center,al,736,65,24
cullman regional medical center,al,737,65,24
cullman regional medical center,al,738,65,24
cullman regional medical center,al,739,65,24
cullman regional medical center,al,740,65,24
andalusia regional hospital,al,741,67,22
andalusia regional hospital,al,742,67,22
andalusia regional hospital,al,743,67,22
andalusia regional hospital,al,744,67,22
andalusia regional hospital,al,745,67,22
andalusia regional hospital,al,746,67,22
andalusia regional hospital,al,747,67,22
andalusia regional hospital,al,748,67,22
andalusia regional hospital,al,749,67,22
andalusia regional hospital,al,750,67,22
andalusia regional hospital,al,751,67,22
andalusia regional hospital,al,752,67,22
andalusia regional hospital,al,753,67,22
andalusia regional hospital,al,754,67,22
andalusia regional hospital,al,755,67,22
andalusia regional hospital,al,756,67,22
andalusia regional hospital,al,757,67,22
andaxusia regionax hospitax,al,758,68,1
andalusia regional hospital,al,759,67,22
andalusia regional hospital,al,760,67,22
andalusia regional hospital,al,761,67,22
andalusia regional hospital,al,762,67,22
andalusia regional hospital,al,763,67,22
andalusia regional hospital,xl,764,69,1
andaluxia regional hoxpital,al,765,70,1
stringfellow memorial hospital,al,766,26,28
stringfellow memorial hospital,al,767,26,28
stringfellow memorial hospital,al,768,26,28
stringfellow memorial hospital,al,769,26,28
stringfellow memorial hospital,al,770,26,28
stringfellow memorial hospital,al,771,26,28
stringfellow memorial hospital,al,772,26,28
stringfellow memorial hospital,al,773,26,28
huntsville hospital,al,774,71,26
huntsville hospital,al,775,71,26
huntsville hospital,al,776,71,26
huntsvxlle hospxtal,al,777,72,1
huntsville hospital,al,778,71,26
huntsville hospital,al,779,71,26
huntsville hospital,al,780,71,26
huntsville hospital,al,781,71,26
huntsville hospital,al,782,71,26
huntsville hospital,al,783,71,26
huntsville hospital,al,784,71,26
huntsville hospital,al,785,71,26
huntsville hospital,al,786,71,26
huntsville hospital,al,787,71,26
huntsville hospital,al,788,71,26
huntsville hospital,al,789,71,26
huntsville hospital,al,790,71,26
huntsville hospital,xl,791,73,1
huntsville hospital,al,792,71,26
huntsville hospital,al,793,71,26
huntsville hospital,al,794,71,26
huntsville hospital,al,795,71,26
huntsville hospital,al,796,71,26
huntsville hospital,al,797,71,26
huntsville hospital,al,798,71,26
huntsville hospital,al,799,71,26
huntsville hospital,al,800,71,26
