Release Date,original_index,unique_index
31 October 1942 (USA),112,111
September 1959 (Austria),113,112
28 August 2015 (USA),114,113
1 September 2000 (USA),115,114
15 March 1940 (USA),116,115
26 December 1959 (UK),117,116
3 April 1968 (USA),118,117
1 August 1971 (USA),119,118
10 March 1972 (USA),120,119
3 June 1983 (USA),121,120
5 April 2013 (USA),122,121
27 October 2006 (USA),123,122
10 February 2006 (USA),124,123
28 August 2009 (USA),125,124
15 January 1988 (USA),126,125
22 August 1986 (USA),127,126
24 October 1986 (USA),128,127
11 April 2013 (Argentina),129,128
20 July 2012 (USA),130,129
14 December 1984 (USA),131,130
11 March 2011 (USA),132,131
12 October 2012 (USA),133,132
10 August 2001 (USA),134,133
12 June 1981 (USA),135,134
22 October 1970 (USA),136,135
16 December 1959 (USA),137,136
14 February 1931 (USA),138,137
7 April 1933 (USA),139,138
11 June 2004 (USA),140,139
5 March 2010 (USA),141,140
4 June 2004 (USA),142,141
18 May 2001 (USA),143,142
24 June 1994 (USA),144,143
22 November 1991 (USA),145,144
18 June 1999 (USA),146,145
15 December 2000 (USA),147,37
1 November 2003 (USA),148,146
31 March 2000 (USA),149,147
1 October 2004 (USA),150,148
17 November 2006 (USA),151,149
4 March 2011 (USA),152,150
18 September 2009 (USA),153,151
7 November 2008 (USA),154,152
23 December 1961 (Japan),155,153
26 May 1978 (France),156,154
5 October 1979 (USA),157,155
June 1978 (Austria),158,156
30 August 1974 (USA),159,157
"Jun 28, 1978 Wide",160,158
"Dec 13, 1991 Wide",161,159
25 December 1992 (USA),162,160
19 January 2001 (USA),163,161
8 December 1995 (USA),164,162
8 February 1991 (USA),165,163
27 January 1984 (USA),166,164
1 January 1982 (USA),167,165
"Nov 25, 1936 Limited",168,166
8 May 1942 (USA),169,167
10 November 1939 (USA),170,168
1 October 1955 (USA),171,169
10 July 1944 (UK),172,170
20 December 1945 (USA),173,171
"Mar 9, 1948 Wide",174,172
20 August 1976 (USA),175,173
1 July 1965 (USA),176,174
7 November 1960 (USA),177,175
12 June 1963 (USA),178,176
19 June 1962 (USA),179,177
21 January 2011 (USA),180,178
24 May 2007 (Germany),181,179
16 June 1995 (USA),182,180
"Feb 13, 1998 Wide",183,181
2 September 2015 (USA),184,182
3 October 2013 (Portugal),185,183
7 August 1987 (USA),186,184
12 April 1985 (USA),187,185
,188,47
18 December 1958 (USA),189,186
31 October 2008 (USA),190,187
26 April 2002 (USA),191,188
20 April 2013 (USA),192,189
24 August 2001 (USA),193,190
26 March 2004 (USA),194,191
26 February 2010 (USA),195,192
2008 (USA),196,193
18 September 2015 (USA),197,42
18 August 1980 (Australia),198,194
25 March 1983 (USA),199,195
21 October 1983 (USA),200,196
22 May 1992 (USA),201,197
31 July 1987 (USA),202,198
8 February 1991 (USA),203,163
13 August 2010 (USA),204,199
1 July 2011 (USA),205,200
20 March 2009 (USA),206,201
13 February 2009 (USA),207,202
24 March 2006 (USA),208,203
October 1973 (USA),209,204
1973 (UK),210,205
10 October 1980 (Finland),211,206
23 April 2004 (USA),212,207
23 March 1973 (Finland),213,208
12 November 2010 (USA),214,209
20 September 2013 (USA),215,210
10 July 1998 (USA),216,211
17 July 2015 (USA),217,212
7 October 1970 (USA),218,213
13 March 1975 (Mexico),219,214
August 1974 (USA),220,215
15 December 1953 (USA),221,216
27 November 1963 (USA),222,217
15 October 1965 (USA),223,218
23 June 1971 (USA),224,219
21 December 1966 (USA),225,220
7 March 1965 (USA),226,221
"May 24, 1961 Wide",227,222
2 April 1968 (USA),228,223
18 October 1972 (USA),229,224
15 November 1952 (USA),230,225
27 October 1953 (USA),231,226
June 1945 (USA),232,227
18 September 1981 (USA),233,228
19 January 1964 (USA),234,229
31 October 1928 (USA),235,230
21 July 1928 (USA),236,231
19 June 2015 (USA),237,232
7 August 2015 (USA),238,233
19 July 2002 (UK),239,234
15 July 1994 (USA),240,235
17 September 2010 (USA),241,236
5 October 2007 (USA),242,237
21 September 2007 (USA),243,238
2 August 2002 (USA),244,239
26 June 1998 (USA),245,240
20 May 1994 (USA),246,241
28 January 2011 (USA),247,242
20 August 1981 (Argentina),248,243
12 December 2003 (USA),249,244
25 December 1999 (USA),250,245
25 December 2009 (USA),251,246
24 September 1969 (USA),252,247
15 March 1940 (USA),253,115
9 January 1952 (USA),254,248
July 1960 (USA),255,249
18 October 2013 (USA),256,250
25 January 2008 (USA),257,251
22 October 1982 (USA),258,252
15 August 1997 (USA),259,253
25 December 1994 (USA),260,254
31 October 2014 (USA),261,255
5 February 1988 (USA),262,256
11 January 2013 (USA),263,257
2015 (USA),264,258
26 June 2015 (USA),265,259
,266,47
25 December 2012 (USA),267,260
18 January 2008 (USA),268,261
18 March 1988 (USA),269,262
21 November 1920 (USA),270,263
23 May 1931 (USA),271,264
4 September 1936 (USA),272,265
4 September 2015 (USA),273,266
8 June 1940 (USA),274,267
23 March 1924 (USA),275,268
1 August 1947 (USA),276,269
6 October 2015 (USA),277,270
25 August 2006 (USA),278,271
30 May 1975 (France),279,272
25 December 1997 (USA),280,273
22 September 1988 (Netherlands),281,274
22 October 1999 (USA),282,275
18 December 1982 (Iceland),283,276
21 June 1977 (USA),284,277
1 August 2008 (USA),285,278
24 February 1989 (USA),286,279
11 October 1985 (USA),287,8
22 August 1986 (USA),288,126
10 October 2008 (USA),289,280
27 June 2008 (USA),290,3
16 November 2007 (USA),291,281
13 March 1998 (USA),292,282
28 April 2006 (USA),293,283
31 May 2007 (Hungary),294,284
1 April 2005 (USA),295,285
6 August 1999 (USA),296,286
14 June 1991 (USA),297,287
25 January 2002 (USA),298,288
24 July 2009 (USA),299,289
18 January 2008 (USA),300,261
21 September 2007 (USA),301,238
1 May 2009 (USA),302,290
12 February 2010 (USA),303,291
14 February 2008 (USA),304,292
29 March 1959 (USA),305,293
11 April 1952 (USA),306,294
19 May 1995 (USA),307,295
14 February 2013 (USA),308,296
7 August 2009 (USA),309,44
3 July 2007 (USA),310,297
"Apr 14, 2008 Wide",311,298
4 April 2014 (USA),312,299
2 May 2014 (USA),313,300
24 June 2016 (USA),314,301
11 August 2000 (USA),315,302
6 October 2015 (USA),316,270
15 October 2004 (USA),317,303
4 January 1985 (USA),318,304
April 1982 (USA),319,305
3 October 1980 (USA),320,306
9 November 1984 (USA),321,307
23 September 1983 (USA),322,308
7 February 1992 (USA),323,309
26 September 2008 (USA),324,310
11 December 1987 (USA),325,311
31 July 1992 (USA),326,312
2 February 1996 (USA),327,313
January 2004 (USA),328,314
22 August 1997 (USA),329,315
18 April 1986 (USA),330,316
24 May 1991 (USA),331,317
9 October 1987 (USA),332,318
2 February 1996 (USA),333,313
1 March 1996 (USA),334,319
21 April 2006 (USA),335,320
27 April 2001 (USA),336,321
7 October 2011 (USA),337,322
7 November 2013 (Greece),338,323
20 May 2005 (USA),339,324
28 August 1987 (USA),340,325
6 February 1998 (USA),341,326
3 March 1995 (USA),342,327
22 August 1997 (USA),343,315
26 October 2001 (USA),344,328
12 November 2010 (USA),345,209
30 January 2015 (USA),346,329
25 July 2013 (Israel),347,330
19 April 2013 (USA),348,331
29 August 2012 (USA),349,332
"May 11, 2012 Limited",350,333
9 December 2005 (USA),351,334
4 March 2011 (USA),352,150
18 September 2009 (USA),353,151
9 September 2011 (USA),354,335
22 October 2010 (USA),355,336
11 December 2009 (USA),356,24
19 August 2005 (USA),357,337
8 October 2009 (USA),358,338
4 February 2006 (USA),359,339
24 July 2009 (USA),360,289
25 April 2003 (USA),361,340
20 October 2000 (USA),362,341
29 May 1981 (USA),363,342
15 September 1958 (Sweden),364,343
16 May 2015 (France),365,344
7 August 1954 (USA),366,345
9 December 1955 (Denmark),367,346
7 August 1953 (USA),368,347
February 1956 (USA),369,348
11 January 1958 (USA),370,349
30 April 1959 (USA),371,350
8 May 1953 (Finland),372,351
2 August 1956 (USA),373,352
July 1953 (USA),374,353
18 September 1981 (USA),375,228
27 April 1990 (USA),376,354
7 January 1998 (France),377,355
3 May 1996 (USA),378,356
17 October 1997 (USA),379,357
"Mar 5, 1999 Wide",380,358
19 February 2005 (USA),381,359
20 December 1996 (USA),382,360
1 March 2009 (USA),383,361
19 September 2014 (USA),384,362
May 2012 (USA),385,363
12 August 2014 (Netherlands),386,364
7 October 1994 (USA),387,365
4 January 2014 (USA),388,366
30 July 2006 (USA),389,367
24 April 2015 (USA),390,368
22 March 1996 (USA),391,369
26 January 1990 (Portugal),392,370
16 October 2015 (USA),393,371
14 August 1987 (USA),394,372
24 May 1991 (USA),395,317
30 September 1988 (USA),396,373
28 March 1986 (USA),397,374
6 July 1988 (USA),398,375
27 February 1987 (USA),399,376
17 June 1988 (USA),400,377
2 August 1985 (USA),401,378
1 July 1987 (USA),402,379
7 June 1991 (USA),403,380
13 February 1987 (USA),404,381
14 February 2014 (USA),405,382
31 January 2014 (USA),406,383
17 August 2007 (USA),407,384
2 October 2009 (USA),408,385
18 March 2011 (USA),409,386
13 August 2008 (USA),410,387
6 August 2010 (USA),411,388
10 August 2012 (USA),412,389
29 February 2008 (USA),413,390
15 July 1998 (USA),414,391
21 March 1997 (USA),415,392
22 December 1999 (USA),416,393
4 October 2002 (USA),417,394
19 October 2001 (USA),418,395
22 May 1998 (USA),419,396
28 October 2011 (USA),420,397
19 July 2013 (USA),421,398
25 January 2013 (USA),422,399
18 May 2012 (USA),423,400
29 July 2011 (USA),424,401
22 July 2005 (USA),425,402
"Nov 22, 2006 Wide",426,403
15 February 2002 (USA),427,404
21 September 1975 (USA),428,405
25 December 2009 (USA),429,246
25 May 2012 (USA),430,406
1 June 1955 (USA),431,407
15 May 1959 (USA),432,408
June 1954 (USA),433,409
5 October 1929 (USA),434,410
4 August 1932 (USA),435,411
25 October 1991 (USA),436,412
22 September 1995 (USA),437,413
31 October 2011 (USA),438,414
June 1954 (USA),439,409
9 November 1929 (USA),440,415
16 April 1937 (USA),441,416
29 December 1933 (USA),442,417
24 January 2009 (USA),443,418
10 May 1930 (USA),444,419
19 May 1929 (USA),445,420
19 November 1932 (USA),446,421
27 May 1933 (USA),447,422
28 December 1936 (USA),448,423
4 September 1937 (USA),449,424
26 September 1941 (USA),450,425
25 March 1966 (USA),451,426
31 October 1969 (West Germany),452,427
7 October 1966 (West Germany),453,428
25 May 1967 (USA),454,429
16 May 1968 (USA),455,430
10 April 1998 (USA),456,431
2016 (USA),457,432
1 June 1934 (USA),458,433
7 February 2008 (Germany),459,434
8 July 2009 (France),460,435
18 November 1992 (USA),461,436
5 January 1945 (USA),462,437
27 September 1973 (USA),463,438
2 August 1978 (USA),464,439
25 January 2002 (USA),465,288
19 October 2001 (USA),466,395
31 October 1949 (USA),467,440
2 October 1987 (USA),468,441
4 July 2008 (USA),469,442
29 October 2013 (USA),470,443
11 June 2013 (USA),471,444
30 July 2004 (USA),472,445
13 November 1976 (Japan),473,446
1 May 1987 (USA),474,7
October 1986 (USA),475,447
3 March 1990 (Japan),476,448
6 October 2015 (USA),477,270
24 December 2013 (USA),478,449
18 October 2013 (USA),479,250
5 January 2015 (USA),480,450
19 January 2007 (USA),481,451
March 1988 (West Germany),482,452
21 July 1989 (USA),483,453
13 September 1995 (USA),484,454
3 December 1999 (USA),485,455
24 April 1942 (USA),486,456
July 1966 (UK),487,457
3 February 2012 (USA),488,458
18 June 2015 (USA),489,459
10 July 2015 (USA),490,460
29 July 2015 (USA),491,461
24 July 2015 (USA),492,462
25 September 2015 (USA),493,50
14 August 2015 (USA),494,463
"Aug 28, 2015 Wide",495,464
4 May 1951 (USA),496,465
6 April 2015 (USA),497,466
8 September 2015 (USA),498,467
18 September 2015 (USA),499,42
7 August 2015 (USA),500,233
6 December 1991 (UK),501,468
15 April 2011 (USA),502,469
26 September 1959 (Japan),503,470
11 May 1984 (USA),504,471
27 March 1981 (USA),505,472
12 May 1949 (USA),506,473
19 November 2004 (USA),507,474
6 August 2004 (USA),508,475
2 February 1972 (USA),509,476
14 May 1982 (USA),510,477
21 October 1983 (USA),511,196
14 September 2015 (USA),512,478
12 February 1982 (USA),513,479
13 May 1978 (USA),514,480
31 October 1974 (USA),515,481
18 October 1980 (USA),516,482
27 June 1973 (USA),517,483
July 1982 (USA),518,484
"May 29, 2005 Wide",519,485
17 April 1959 (Netherlands),520,486
19 February 1932 (USA),521,487
30 January 2009 (USA),522,488
18 January 1991 (UK),523,489
11 November 1939 (USA),524,490
31 March 1934 (USA),525,491
13 August 1932 (USA),526,492
28 April 1995 (USA),527,493
18 January 1985 (USA),528,494
11 June 1982 (USA),529,495
31 October 1962 (USA),530,496
24 February 1927 (France),531,497
29 October 2004 (USA),532,498
8 April 2008 (USA),533,499
5 May 2000 (USA),534,500
2 February 2007 (Mexico),535,501
15 April 2011 (USA),536,469
"Aug 15, 2003 Limited",537,502
8 February 2002 (USA),538,503
2 July 2003 (USA),539,504
8 June 2012 (USA),540,505
30 August 1952 (USA),541,506
30 October 1961 (USA),542,507
27 November 1968 (USA),543,508
3 January 2003 (USA),544,509
12 May 2006 (USA),545,510
1 October 1993 (USA),546,511
31 January 1992 (USA),547,512
2 August 1991 (USA),548,513
6 October 2015 (USA),549,270
30 October 1981 (USA),550,514
10 April 1968 (USA),551,515
15 March 1965 (Denmark),552,516
28 October 1972 (Japan),553,517
December 1961 (USA),554,518
31 January 1953 (USA),555,519
14 July 1999 (USA),556,520
11 December 1992 (USA),557,521
16 February 1996 (USA),558,522
13 July 1984 (USA),559,523
22 June 1979 (USA),560,524
8 September 1980 (Denmark),561,525
25 October 2008 (Japan),562,526
30 September 1988 (USA),563,373
5 April 1991 (USA),564,527
,565,47
17 July 1981 (USA),566,528
22 April 1983 (USA),567,529
25 November 1992 (USA),568,530
12 February 1999 (USA),569,531
"Feb 10, 2012 Wide",570,532
17 March 2006 (USA),571,533
6 February 2009 (USA),572,534
27 May 2016 (USA),573,535
21 November 1990 (USA),574,536
14 September 2007 (USA),575,537
May 1987 (USA),576,538
20 September 1996 (USA),577,539
9 April 2004 (USA),578,540
6 November 1998 (USA),579,541
"Feb 18, 2000 Wide",580,542
17 September 1993 (USA),581,543
13 December 1991 (USA),582,544
18 November 2005 (USA),583,545
16 October 2009 (USA),584,546
18 December 1966 (USA),585,547
10 November 2006 (USA),586,548
16 September 2011 (USA),587,549
April 1970 (USA),588,550
15 February 1974 (USA),589,551
20 March 1981 (USA),590,552
21 October 1971 (Argentina),591,553
29 April 1983 (USA),592,554
6 October 1978 (USA),593,555
3 July 2013 (USA),594,556
10 February 2012 (USA),595,557
5 December 1973 (USA),596,558
2 October 1992 (USA),597,559
2 March 2007 (USA),598,560
1 April 2011 (USA),599,561
2 July 1997 (USA),600,562
3 March 1959 (USA),601,563
7 November 1954 (USA),602,564
26 November 1958 (USA),603,565
May 1953 (USA),604,566
17 May 1952 (USA),605,567
5 May 1946 (USA),606,568
17 September 1932 (USA),607,569
12 September 1970 (USA),608,570
18 May 1935 (USA),609,571
20 December 1936 (USA),610,572
25 December 1964 (Finland),611,573
23 March 2007 (USA),612,574
16 October 1975 (Argentina),613,575
28 May 1971 (France),614,576
,615,47
11 September 1987 (USA),616,577
1 October 1971 (USA),617,578
20 November 1968 (USA),618,579
15 March 2013 (USA),619,580
25 September 2015 (USA),620,50
6 July 1994 (USA),621,581
28 August 1948 (USA),622,582
September 1955 (USA),623,583
4 April 2003 (USA),624,584
17 September 1992 (USA),625,585
13 October 1995 (USA),626,586
3 August 2001 (USA),627,587
"Jul 16, 2004 Wide",628,588
30 May 2003 (USA),629,589
2 September 2005 (USA),630,590
4 May 2001 (USA),631,591
2 November 2007 (USA),632,592
January 2004 (USA),633,314
29 March 2002 (USA),634,593
9 January 1956 (Brazil),635,594
15 November 1996 (USA),636,595
1 October 1955 (USA),637,169
1 June 2007 (USA),638,596
11 November 2011 (UK),639,597
31 July 1956 (USA),640,598
June 1957 (USA),641,599
27 June 1957 (USA),642,600
30 April 1948 (USA),643,601
5 August 1998 (USA),644,602
30 May 1995 (USA),645,603
13 January 2006 (USA),646,604
23 June 1989 (USA),647,605
17 July 1992 (USA),648,606
15 November 1996 (USA),649,595
5 October 1956 (USA),650,607
29 July 1994 (UK),651,608
26 March 1993 (Brazil),652,609
22 September 1995 (USA),653,413
14 October 2010 (USA),654,610
16 September 2002 (USA),655,611
28 September 2007 (USA),656,612
24 August 2011 (Iceland),657,613
17 November 1989 (USA),658,614
26 January 1990 (USA),659,615
21 February 1997 (USA),660,616
25 December 2009 (USA),661,246
2 August 1989 (USA),662,617
17 September 1948 (USA),663,618
April 2010 (USA),664,619
8 October 2010 (USA),665,620
28 March 1984 (France),666,621
26 May 2000 (USA),667,622
10 April 1970 (USA),668,623
11 November 1994 (USA),669,624
17 March 2000 (USA),670,625
25 January 2013 (USA),671,399
14 March 1969 (USA),672,626
10 November 1957 (USA),673,627
December 1956 (USA),674,628
9 January 2015 (USA),675,629
1 August 1956 (USA),676,630
6 May 1949 (USA),677,631
27 May 1977 (USA),678,632
12 October 2004 (USA),679,633
19 January 2003 (USA),680,634
2 September 2011 (USA),681,635
18 February 1983 (USA),682,636
8 June 1949 (USA),683,637
6 December 1996 (USA),684,638
1957 (UK),685,639
20 January 2012 (USA),686,640
11 October 2012 (USA),687,641
19 July 2013 (USA),688,398
"Jan 1, 1988 Wide",689,642
21 September 2014 (USA),690,643
10 September 2004 (USA),691,644
23 September 2012 (USA),692,645
24 November 2004 (USA),693,646
7 July 2004 (USA),694,647
2 November 2003 (USA),695,648
25 January 2002 (UK),696,649
10 September 1993 (USA),697,650
11 June 1993 (USA),698,651
24 May 1989 (USA),699,652
"Jan 9, 2004 Wide",700,653
2 April 2004 (USA),701,654
23 May 2014 (USA),702,655
2 November 2014 (UK),703,656
28 April 1993 (USA),704,657
14 May 1994 (South Korea),705,658
1989 (Spain),706,659
5 November 2013 (USA),707,660
7 June 2013 (USA),708,661
2 November 1991 (Japan),709,662
17 June 1988 (USA),710,377
26 August 1938 (USA),711,663
31 August 2007 (USA),712,664
30 September 1992 (USA),713,665
24 March 1989 (Japan),714,666
7 May 1993 (USA),715,667
10 March 2014 (UK),716,668
21 June 2013 (USA),717,21
30 January 2014 (Kuwait),718,669
17 October 2013 (USA),719,670
20 February 2015 (USA),720,671
4 October 2014 (USA),721,672
15 October 2007 (USA),722,673
October 1998 (USA),723,674
2 May 2013 (Israel),724,675
13 September 2013 (USA),725,676
9 May 2014 (USA),726,677
23 May 2013 (USA),727,678
5 March 2004 (USA),728,679
14 June 1996 (USA),729,680
25 December 1996 (USA),730,681
9 February 2001 (USA),731,682
"Apr 6, 2001 Wide",732,683
30 March 2012 (USA),733,684
10 June 2011 (USA),734,685
24 May 2002 (USA),735,686
14 December 1955 (USA),736,687
April 1957 (USA),737,688
June 1957 (USA),738,599
16 October 1948 (USA),739,689
17 August 1951 (USA),740,690
15 September 1950 (USA),741,691
3 July 1955 (USA),742,692
29 June 1956 (USA),743,693
24 January 1958 (Finland),744,694
,745,47
24 December 1996 (USA),746,695
,747,47
,748,47
29 January 1988 (USA),749,696
15 September 2012 (USA),750,697
15 May 1992 (USA),751,698
23 March 2012 (USA),752,699
28 November 2010 (USA),753,700
27 July 1984 (USA),754,701
27 August 1993 (USA),755,702
30 March 2012 (UK),756,703
April 1984 (USA),757,704
28 August 1992 (USA),758,705
8 August 2012 (France),759,706
1 February 1950 (France),760,707
3 September 2010 (USA),761,708
24 January 1948 (USA),762,709
5 March 1993 (USA),763,710
12 December 2003 (USA),764,244
September 1997 (USA),765,711
"Aug 3, 2001 Wide",766,712
3 September 2015 (USA),767,713
10 August 1990 (USA),768,714
4 August 1956 (USA),769,715
14 July 1951 (USA),770,716
13 July 2012 (UK),771,717
22 December 1989 (USA),772,718
5 August 2005 (USA),773,719
26 January 2001 (USA),774,720
23 January 2015 (USA),775,721
9 March 2012 (USA),776,722
October 2016 (USA),777,723
3 April 2005 (USA),778,724
26 January 2007 (USA),779,725
9 October 2009 (USA),780,726
May 1957 (USA),781,727
15 March 1956 (USA),782,728
24 January 2001 (USA),783,729
12 June 2015 (USA),784,730
25 January 2007 (Germany),785,731
25 September 2015 (USA),786,50
27 August 2004 (USA),787,732
25 September 2015 (USA),788,50
5 August 2011 (USA),789,733
21 November 2012 (USA),790,734
19 December 2014 (USA),791,735
12 March 1999 (USA),792,736
9 October 2015 (USA),793,737
2015 (Chile),794,738
28 September 2012 (USA),795,739
25 February 2011 (USA),796,740
28 March 2014 (USA),797,741
18 February 2005 (USA),798,742
8 November 2005 (USA),799,743
20 August 2010 (USA),800,744
15 March 1996 (USA),801,745
10 June 2011 (USA),802,685
18 March 2015 (USA),803,746
10 January 2012 (USA),804,747
11 March 2015 (USA),805,748
13 March 2015 (USA),806,749
9 April 2010 (USA),807,750
6 November 2015 (USA),808,751
7 June 2014 (USA),809,752
26 June 2015 (USA),810,259
6 February 2015 (USA),811,753
26 September 2014 (USA),812,754
7 October 2005 (USA),813,755
26 November 2014 (USA),814,756
27 March 2015 (USA),815,757
10 July 2015 (USA),816,460
18 April 2008 (USA),817,758
23 June 2000 (USA),818,759
"Sep 27, 2013 Wide",819,760
22 March 2013 (USA),820,761
26 May 2011 (USA),821,762
8 May 2009 (USA),822,763
22 June 2012 (USA),823,764
15 April 2011 (USA),824,469
17 July 2013 (USA),825,765
24 May 2013 (USA),826,766
21 November 2008 (USA),827,767
13 July 2012 (USA),828,768
5 November 2010 (USA),829,769
13 March 2015 (USA),830,749
22 December 1999 (USA),831,393
18 June 1982 (USA),832,770
10 October 2014 (USA),833,771
19 December 2014 (USA),834,735
16 December 2011 (USA),835,772
2 May 1997 (USA),836,773
26 September 2015 (USA),837,774
10 April 2009 (USA),838,775
25 December 2003 (USA),839,776
22 January 2010 (USA),840,777
22 May 2015 (USA),841,778
27 March 2014 (USA),842,779
24 November 2010 (USA),843,780
3 July 2013 (USA),844,556
27 November 2013 (USA),845,781
2 November 2012 (USA),846,782
19 February 1999 (USA),847,783
23 February 2001 (USA),848,784
14 November 1964 (USA),849,785
29 July 1994 (USA),850,786
8 November 1996 (USA),851,787
2 July 1982 (USA),852,788
3 August 2007 (USA),853,13
18 June 1998 (Australia),854,789
17 December 2010 (USA),855,790
16 April 1999 (USA),856,791
"Aug 7, 2015 Wide",857,792
16 April 2015 (USA),858,793
17 April 2015 (USA),859,794
17 July 2015 (USA),860,212
19 April 2015 (USA),861,795
3 November 1983 (Australia),862,796
18 February 2011 (USA),863,797
22 April 2015 (USA),864,798
November 2009 (Netherlands),865,799
5 November 2013 (USA),866,660
22 September 2006 (USA),867,800
23 December 2015 (USA),868,801
4 March 2016 (USA),869,802
3 August 1999 (USA),870,803
4 December 1969 (USA),871,804
8 July 2016 (USA),872,805
17 June 2016 (USA),873,806
29 January 2016 (USA),874,807
27 May 2016 (USA),875,535
16 March 2015 (USA),876,808
19 June 2015 (USA),877,232
19 June 2015 (USA),878,232
26 June 2015 (USA),879,259
February 1996 (USA),880,809
7 November 2014 (USA),881,810
19 November 2004 (USA),882,474
27 March 2009 (USA),883,811
11 April 2014 (USA),884,812
"Oct 17, 2014 Wide",885,813
7 March 2014 (USA),886,814
5 October 2012 (USA),887,815
17 August 2012 (USA),888,816
11 March 2005 (USA),889,817
26 January 1996 (USA),890,818
3 November 2006 (USA),891,819
2 October 1998 (USA),892,32
19 May 2006 (USA),893,820
25 November 1998 (USA),894,821
27 May 2005 (USA),895,822
13 June 2014 (USA),896,823
3 July 1985 (USA),897,824
2 November 2001 (USA),898,825
7 February 2014 (USA),899,826
29 May 2009 (USA),900,827
27 June 2008 (USA),901,3
22 June 1961 (USA),902,828
21 June 2002 (USA),903,829
10 August 1953 (Brazil),904,830
1 July 2009 (USA),905,831
6 June 2008 (USA),906,832
18 May 2007 (USA),907,833
19 May 2004 (USA),908,834
31 March 2006 (USA),909,835
15 March 2002 (USA),910,836
21 May 2010 (USA),911,837
"May 3, 2013 Wide",912,838
12 July 2013 (USA),913,839
18 December 2009 (USA),914,840
14 August 2009 (USA),915,841
14 June 2013 (USA),916,842
7 May 2010 (USA),917,843
5 August 2011 (USA),918,733
16 May 2013 (USA),919,844
3 July 1996 (USA),920,845
3 June 2011 (USA),921,846
29 June 2007 (USA),922,847
5 November 2004 (USA),923,848
24 June 2011 (USA),924,849
"Aug 9, 2013 Wide",925,850
9 June 2006 (USA),926,851
25 May 1983 (USA),927,852
2 August 1978 (USA),928,439
21 November 2007 (USA),929,853
30 May 2014 (USA),930,854
5 November 1999 (USA),931,855
