jounral_abbreviation,article_jvolumn,original_index,unique_index
Cochrane Database Syst Rev,,109,99
Cancer Immunol. Immunother.,63.0,110,100
,3.0,111,33
,103.0,112,101
,38.0,113,102
J Rheumatol,28.0,114,103
,0.0,115,17
J Appl Physiol,41.0,116,104
,13.0,117,69
,11.0,118,105
,0.0,119,17
,85.0,120,106
Trans. R. Soc. Trop. Med. Hyg.,106.0,121,107
,13.0,122,69
Int J Clin Exp Pathol,6.0,123,108
International journal of gynecological cancer : official journal of the International Gynecological Cancer Society,21.0,124,109
Neurologia,27.0,125,110
,14.0,126,10
,5.0,127,111
,10.0,128,5
,11.0,129,105
J.Am.Geriatr.Soc.,61.0,130,112
,68.0,131,113
,0.0,132,17
,0.0,133,17
,143.0,134,114
,55.0,135,115
Skeletal Radiol,43.0,136,116
,23.0,137,117
,35.0,138,14
,17.0,139,118
,89.0,140,119
,137.0,141,120
,0.0,142,17
"Journal of hand surgery (Edinburgh, Scotland)",30.0,143,121
J. Cardiovasc. Electrophysiol.,18.0,144,122
,21.0,145,45
,94.0,146,123
The European journal of general practice,20.0,147,124
Gut,6.0,148,125
Gen Dent,52.0,149,126
,18.0,150,59
Neuropsychologia,50.0,151,127
,149.0,152,128
,27.0,153,82
AM. J. ACUPUNCT.,4.0,154,129
,137.0,155,120
,73.0,156,130
CNS Spectr,18.0,157,131
,80.0,158,132
Hippokratia,18.0,159,133
,19.0,160,134
J.Clin.Diagn.Res.,8.0,161,135
,30.0,162,136
,24.0,163,92
Strabismus,3.0,164,137
,45.0,165,138
,15.0,166,91
,2.0,167,139
,0.0,168,17
,0.0,169,17
Diabetic medicine : a journal of the British Diabetic Association,23.0,170,140
,12.0,171,60
J. Recept. Signal Transduct. Res.,34.0,172,141
,8.0,173,13
Spine,27.0,174,142
Ann. N. Y. Acad. Sci.,850.0,175,143
Annals of the New York Academy of Sciences,669.0,176,144
Obesity (Silver Spring),17.0,177,145
Water Sci. Technol.,69.0,178,146
Orthopedics,36.0,179,147
,0.0,180,17
Scand J Psychol,,181,148
,0.0,182,17
,37.0,183,84
,24.0,184,92
,79.0,185,9
,0.0,186,17
,16.0,187,149
,8.0,188,13
,39.0,189,97
,40.0,190,21
Pediatr Ann,38.0,191,150
,33.0,192,151
J. Natl. Cancer Inst.,98.0,193,152
,15.0,194,91
,101.0,195,153
Eur Arch Otorhinolaryngol,,196,154
,12.0,197,60
Ann Surg,260.0,198,155
J Biomater Appl,18.0,199,156
J Headache Pain,15.0,200,157
,0.0,201,17
J Sports Sci,25.0,202,158
,154.0,203,159
Nephrol. Dial. Transplant.,28.0,204,160
Cytokine,64.0,205,161
,0.0,206,17
,0.0,207,17
"Archives of surgery (Chicago, Ill. : 1960)",130.0,208,162
Muscle Nerve,,209,163
Soc Sci Med,72.0,210,164
Int Arch Occup Environ Health,65.0,211,165
Ugeskrift for laeger,164.0,212,166
,0.0,213,17
Crit. Rev. Oncol. Hematol.,84.0,214,167
,19.0,215,134
Public Health Rep,108.0,216,168
Colorectal Dis,10.0,217,169
,22.0,218,170
,74.0,219,171
Comput Med Imaging Graph,22.0,220,172
,34.0,221,40
,72.0,222,173
International journal of obesity (2005),33.0,223,174
,0.0,224,17
,0.0,225,17
Endocrinology,154.0,226,175
,24.0,227,92
,2.0,228,139
,0.0,229,17
College Teaching,54.0,230,176
J. Hosp. Infect.,87.0,231,177
Best Pract Res Clin Gastroenterol,23.0,232,178
American journal of obstetrics and gynecology,207.0,233,179
Med Teach,35.0,234,180
Acta Cytol.,56.0,235,181
Atheroscler Suppl,4.0,236,182
,45.0,237,138
,4.0,238,78
Mycoses,44.0,239,183
BMC musculoskeletal disorders,8.0,240,184
,24.0,241,92
,4.0,242,78
Physiotherapy,97.0,243,185
Public Health Genomics,16.0,244,186
,15.0,245,91
J Int Neuropsychol Soc,16.0,246,187
Rev Bras Ter Intensiva,20.0,247,188
Gene,515.0,248,189
,7.0,249,52
,35.0,250,14
,20.0,251,190
Biomed Eng Online,10.0,252,191
,1.0,253,74
Nature New Biol.,242.0,254,192
Cardiol Young,23.0,255,193
J Huazhong Univ Sci Technolog Med Sci,34.0,256,194
,68.0,257,113
Crit. Care Med.,42.0,258,195
,23.0,259,117
,32.0,260,196
JOHNS HOPKINS MED. J.,137.0,261,197
,44.0,262,198
Preventive medicine,41.0,263,199
,132.0,264,200
,57.0,265,201
Arch.Gen.Psychiatry,61.0,266,202
,12.0,267,60
Interact Cardiovasc Thorac Surg,19.0,268,203
,0.0,269,17
,33.0,270,151
,99.0,271,204
,173.0,272,205
,48.0,273,71
,16.0,274,149
,0.0,275,17
,0.0,276,17
,122.0,277,206
J Psychiatr Res,45.0,278,207
,0.0,279,17
Neurology,81.0,280,208
,40.0,281,21
J. Am. Vet. Med. Assoc.,245.0,282,209
,0.0,283,17
,0.0,284,17
,7.0,285,52
J Med Imaging Radiat Oncol,57.0,286,210
,44.0,287,198
PloS one,7.0,288,211
,72.0,289,173
Eur J Appl Physiol Occup Physiol,74.0,290,212
Nutrients,7.0,291,213
,40.0,292,21
,6.0,293,214
,7.0,294,52
Tumour Biol.,35.0,295,215
,20.0,296,190
Scand J Infect Dis Suppl,78.0,297,216
,189.0,298,217
Appl Nurs Res,26.0,299,218
,34.0,300,40
J Chem Phys,127.0,301,219
Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,15.0,302,220
,31.0,303,221
Revista medico-chirurgicala a Societatii de Medici si Naturalisti din Iasi,118.0,304,222
The Journal of the Oklahoma State Medical Association,86.0,305,223
,0.0,306,17
,56.0,307,224
Gut,49.0,308,225
,147.0,309,226
,0.0,310,17
,16.0,311,149
Eur. J. Appl. Physiol.,,312,227
,0.0,313,17
,49.0,314,228
Radiology,270.0,315,229
,22.0,316,170
,56.0,317,224
Br J Soc Psychol,43.0,318,230
Cardiol Young,24.0,319,231
,40.0,320,21
Dentomaxillofac Radiol,42.0,321,232
Actas Esp Psiquiatr,41.0,322,233
Int J Colorectal Dis,,323,234
,13.0,324,69
,0.0,325,17
Neurologist,18.0,326,235
,0.0,327,17
Expert Opin Emerg Drugs,15.0,328,236
,0.0,329,17
,20.0,330,190
Drugs Aging,26.0,331,237
,25.0,332,8
,5.0,333,111
Endod Dent Traumatol,13.0,334,238
Cardiology in the young,10.0,335,239
,16.0,336,149
,53.0,337,240
Hematol. J.,5.0,338,241
,59.0,339,242
Int J Geriatr Psychiatry,,340,243
Acta neurochirurgica. Supplementum,43.0,341,244
,0.0,342,17
,48.0,343,71
,0.0,344,17
,9.0,345,28
,32.0,346,196
Colorectal Dis,11.0,347,245
Allergy Asthma Proc,33.0,348,246
,10.0,349,5
,58.0,350,247
,75.0,351,248
,30.0,352,136
,12.0,353,60
J Anesth,29.0,354,249
,11.0,355,105
Parkinsonism Relat. Disord.,,356,250
,50.0,357,251
,108.0,358,252
,82.0,359,253
Dis. Esophagus,,360,254
Annales francaises d'anesthesie et de reanimation,25.0,361,255
,53.0,362,240
Exp. Cell Res.,319.0,363,256
,43.0,364,257
Biomed Res Int,2014.0,365,258
,3.0,366,33
,43.0,367,257
Injury,41.0,368,259
,24.0,369,92
,56.0,370,224
Ann. Intern. Med.,161.0,371,260
,47.0,372,24
,9.0,373,28
,16.0,374,149
Hepatogastroenterology,61.0,375,261
,26.0,376,56
PloS one,7.0,377,211
,49.0,378,228
,7.0,379,52
Anesth Analg,102.0,380,262
Bull. Math. Biol.,61.0,381,263
Kekkaku,80.0,382,264
,9.0,383,28
Br J Sports Med,43.0,384,265
Sci. Total Environ.,45.0,385,266
,21.0,386,45
,21.0,387,45
,0.0,388,17
The Annals of pharmacotherapy,46.0,389,267
Pharmacoeconomics,19.0,390,268
Am.J.Epidemiol.,113.0,391,269
Cir Pediatr,21.0,392,270
,29.0,393,271
,129.0,394,272
Postgrad Med J,88.0,395,273
Minerva Cardioangiol,62.0,396,274
Anesth Analg,113.0,397,275
,2.0,398,139
Neurobiol. Aging,35.0,399,276
World journal for pediatric & congenital heart surgery,4.0,400,277
Am. J. Vet. Res.,75.0,401,278
,19.0,402,134
,35.0,403,14
Clin Psychol Rev,33.0,404,279
,9.0,405,28
,119.0,406,280
J Plast Reconstr Aesthet Surg,66.0,407,281
,75.0,408,248
,147.0,409,226
,69.0,410,282
,16.0,411,149
,46.0,412,67
,0.0,413,17
,0.0,414,17
Cancer,120.0,415,283
Ann Oncol,24.0,416,284
,13.0,417,69
Clin Cardiol,27.0,418,285
,0.0,419,17
,4.0,420,78
J. Dent. Res.,42.0,421,286
Addict.Behav.,37.0,422,287
American journal of perinatology,32.0,423,288
,24.0,424,92
,127.0,425,289
,0.0,426,17
Anadolu Kardiyol Derg,9.0,427,290
,176.0,428,291
,78.0,429,292
,110.0,430,293
,27.0,431,82
,32.0,432,196
,143.0,433,114
The American journal of clinical nutrition,74.0,434,294
,103.0,435,101
BMC oral health,14.0,436,295
J Cell Sci,124.0,437,296
,20.0,438,190
,86.0,439,297
,63.0,440,298
Rev Stomatol Chir Maxillofac Chir Orale,115.0,441,299
J Cardiovasc Med (Hagerstown),15.0,442,300
,13.0,443,69
,19.0,444,134
J Clin Hypertens (Greenwich),,445,301
Front Hum Neurosci,7.0,446,302
,2007.0,447,303
J Am Med Inform Assoc,21.0,448,304
,21.0,449,45
J Learn Disabil,42.0,450,305
Obes Rev,13.0,451,306
Diabetes Technol. Ther.,12.0,452,307
Ophthalmol Eye Dis,3.0,453,308
,48.0,454,71
,37.0,455,84
,28.0,456,30
Int Urogynecol J,23.0,457,309
,10.0,458,5
,69.0,459,282
Rev Lat Am Enfermagem,20.0,460,310
Thromb Haemost,110.0,461,311
Public Health Nutr,17.0,462,312
,30.0,463,136
Journal of pain research,6.0,464,313
Journal of clinical microbiology,49.0,465,314
,95.0,466,315
,16.0,467,149
,21.0,468,45
,21.0,469,45
Health education & behavior : the official publication of the Society for Public Health Education,40.0,470,316
J Am Acad Child Adolesc Psychiatry,48.0,471,317
Science,348.0,472,318
Case Rep.Med.,2013.0,473,319
Korean J.Anesth.,63.0,474,320
Phys Med Biol,55.0,475,321
Surgery,155.0,476,322
IEEE Trans Nucl Sci,57.0,477,323
Int. J. Dev. Biol.,55.0,478,324
Scand. Cardiovasc. J.,43.0,479,325
"Rheumatology (Oxford, England)",45.0,480,326
Pain,80.0,481,327
EMERG RADIOL,18.0,482,328
AUST NZ J MENT HEALTH NURS,5.0,483,329
Tobacco control,8.0,484,330
Physiol Res,49.0,485,331
Physiotherapy,96.0,486,332
,0.0,487,17
,0.0,488,17
,124.0,489,333
,6.0,490,214
Eur. Heart J.,33.0,491,334
Knee Surg Sports Traumatol Arthrosc,18.0,492,335
,39.0,493,97
Horumon To Rinsho,16.0,494,336
,310.0,495,337
,0.0,496,17
,29.0,497,271
,28.0,498,30
Clin Med,4.0,499,338
,169.0,500,339
,23.0,501,117
,23.0,502,117
,70.0,503,46
,23.0,504,117
Scand. J. Rheumatol.,37.0,505,340
Adm Policy Ment Health,27.0,506,341
Czas Stomatol,20.0,507,342
,82.0,508,253
,45.0,509,138
,14.0,510,10
J Korean Neurosurg Soc,57.0,511,343
,347.0,512,344
,79.0,513,9
,3.0,514,33
JAMA Otolaryngol Head Neck Surg,140.0,515,345
,38.0,516,102
J Aerosol Med Pulm Drug Deliv,26.0,517,346
,65.0,518,347
Chung Hua I Hsueh Tsa Chih,85.0,519,348
Can Forces Dent Serv Q,18.0,520,349
,21.0,521,45
,,522,350
,73.0,523,130
J. Biol. Chem.,289.0,524,351
Chin. Med. J.,121.0,525,352
,58.0,526,247
,37.0,527,84
Environ. Toxicol. Pharmacol.,37.0,528,353
,10.0,529,5
,0.0,530,17
Science,316.0,531,354
Neuroscience,254.0,532,355
Exp. Neurol.,,533,356
,37.0,534,84
Paediatr Child Health,5.0,535,357
,0.0,536,17
,34.0,537,40
,47.0,538,24
,54.0,539,358
AJR Am J Roentgenol,184.0,540,359
,0.0,541,17
,10.0,542,5
,329.0,543,360
,0.0,544,17
"Rheumatology (Oxford, England)",44.0,545,361
,82.0,546,253
,0.0,547,17
,147.0,548,226
Disabil Rehabil,,549,362
J Stroke Cerebrovasc Dis,,550,363
,67.0,551,364
,0.0,552,17
The Journal of bone and joint surgery. British volume,89.0,553,365
J. Cancer Res. Clin. Oncol.,138.0,554,366
Int J Obes (Lond),36.0,555,367
,110.0,556,293
,63.0,557,298
,0.0,558,17
"Alcoholism, clinical and experimental research",20.0,559,368
Klin.Psikofarmakol.Bul.,21.0,560,369
REV ENFERMAGEM UFPE,6.0,561,370
,33.0,562,151
Br J Psychiatry,196.0,563,371
,0.0,564,17
Hernia,19.0,565,372
Lancet,365.0,566,373
,29.0,567,271
,33.0,568,151
Int Psychogeriatr,12.0,569,374
,37.0,570,84
,41.0,571,375
,151.0,572,376
,62.0,573,377
Tumour Biol.,35.0,574,215
Croat.Med.J.,46.0,575,378
Int J Stroke,9.0,576,379
Eur. J. Heart Fail.,16.0,577,380
Yonsei Med.J.,49.0,578,381
,29.0,579,271
Can Fam Physician,56.0,580,382
Childs Nerv Syst,30.0,581,383
,20.0,582,190
,8.0,583,13
,0.0,584,17
Arch Phys Med Rehabil,90.0,585,384
Eur J Anaesthesiol,26.0,586,385
,18.0,587,59
Pharmacogenomics,14.0,588,386
Rinsho byori. The Japanese journal of clinical pathology,43.0,589,387
Journal of nutrition in gerontology and geriatrics,32.0,590,388
,68.0,591,113
,0.0,592,17
,90.0,593,38
,0.0,594,17
Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,15.0,595,220
Geriatrics & gerontology international,10.0,596,389
,141.0,597,390
,24.0,598,92
,108.0,599,252
Vet Clin Pathol,44.0,600,391
,32.0,601,196
Bull.WHO,85.0,602,392
,6.0,603,214
Neuropharmacology,85.0,604,393
,28.0,605,30
Phys Ther,89.0,606,394
,57.0,607,201
Z Erkr Atmungsorgane Folia Bronchol,133.0,608,395
,22.0,609,170
Blood Rev.,28.0,610,396
"Journal of alternative and complementary medicine (New York, N.Y.)",9.0,611,397
Jama,256.0,612,398
,21.0,613,45
Catheter Cardiovasc Interv,77.0,614,399
Nature,506.0,615,400
Eur. Respir. J.,24.0,616,401
,284.0,617,402
Public Health Nurs,25.0,618,403
,17.0,619,118
,14.0,620,10
,135.0,621,404
,32.0,622,196
,47.0,623,24
,35.0,624,14
Sleep,31.0,625,405
,81.0,626,406
J. Dent. Res.,80.0,627,407
Ther Adv Respir Dis,7.0,628,408
,24.0,629,92
,17.0,630,118
,91.0,631,409
Onkologie,36.0,632,410
Rheumatology,51.0,633,411
,0.0,634,17
Neurological research,25.0,635,412
Helicobacter,14.0,636,413
,94.0,637,123
Aust J Rural Health,22.0,638,414
,84.0,639,3
J. Med. Chem.,57.0,640,415
,15.0,641,91
Public Health Nurs,,642,416
Circulation,124.0,643,417
Acta Derm. Venereol.,76.0,644,418
,0.0,645,17
Protein Sci.,21.0,646,419
Am J Orthod Dentofacial Orthop,97.0,647,420
,20.0,648,190
Am J Infect Control,17.0,649,421
,16.0,650,149
Hepatology,53.0,651,422
,16.0,652,149
Stroke,46.0,653,423
Journal of graduate medical education,5.0,654,424
,29.0,655,271
Nephrol. Dial. Transplant.,23.0,656,425
Oral Oncol.,46.0,657,426
Stroke,46.0,658,423
Curr Drug Targets,14.0,659,427
Epilepsy Res.,108.0,660,428
,45.0,661,138
J. Heart Valve Dis.,20.0,662,429
PloS one,9.0,663,430
Acad Radiol,19.0,664,431
,0.0,665,17
Chin.J.Evid.-Based Med.,15.0,666,432
,119.0,667,280
Cases journal,1.0,668,433
,18.0,669,59
,111.0,670,434
,7.0,671,52
,86.0,672,297
Environ Monit Assess,151.0,673,435
Acta neurologica Scandinavica,110.0,674,436
,6.0,675,214
,25.0,676,8
,2.0,677,139
,2.0,678,139
,137.0,679,120
,50.0,680,251
,113.0,681,437
,28.0,682,30
Infect. Immun.,69.0,683,438
,36.0,684,439
Photomed Laser Surg,32.0,685,440
,20.0,686,190
The Journal of bone and joint surgery. American volume,91.0,687,441
Oral Surg Oral Med Oral Pathol Oral Radiol Endod,108.0,688,442
,34.0,689,40
Clin Radiol,61.0,690,443
,26.0,691,56
,28.0,692,30
Blood Press Monit,2.0,693,444
Psicothema,18.0,694,445
,104.0,695,446
Journal of analytical toxicology,20.0,696,447
,36.0,697,439
,20.0,698,190
,0.0,699,17
,126.0,700,448
Respirology,0.0,701,449
,2.0,702,139
,0.0,703,17
Biomed Res Int,2014.0,704,258
Journal of applied physiology,29.0,705,450
Ann. Med.,44.0,706,451
Eur J Clin Nutr,56.0,707,452
J Pers Soc Psychol,64.0,708,453
The Journal of hand surgery,32.0,709,454
Physiother. Theory Pract.,17.0,710,455
,0.0,711,17
BMC Neurol,12.0,712,456
,35.0,713,14
,15.0,714,91
Pharm Pract (Granada),12.0,715,457
NeuroRehabilitation,17.0,716,458
Microsurgery,34.0,717,459
Int.J.Neurosci.,114.0,718,460
BJOG : an international journal of obstetrics and gynaecology,115.0,719,461
,50.0,720,251
Jornal de pediatria,91.0,721,462
,18.0,722,59
Mol. Plant Pathol.,13.0,723,463
,0.0,724,17
,0.0,725,17
,0.0,726,17
,30.0,727,136
Bioelectromagnetics,0.0,728,464
,14.0,729,10
,44.0,730,198
Occup Environ Med,65.0,731,465
,66.0,732,466
,25.0,733,8
,25.0,734,8
,29.0,735,271
J Addict Dis,25.0,736,467
Psychosom Med,72.0,737,468
,28.0,738,30
The Journal of hospital infection,44.0,739,469
,44.0,740,198
,194.0,741,470
,23.0,742,117
,0.0,743,17
,58.0,744,247
Circulation,128.0,745,471
Annals of the rheumatic diseases,0.0,746,472
,0.0,747,17
Hawai'i journal of medicine & public health : a journal of Asia Pacific Medicine & Public Health,72.0,748,473
Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,54.0,749,474
,65.0,750,347
Diabetes Forecast,55.0,751,475
,0.0,752,17
Biomed Rep,1.0,753,476
[Nihon koshu eisei zasshi] Japanese journal of public health,42.0,754,477
American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,67.0,755,478
Oncol Nurs Forum,28.0,756,479
,0.0,757,17
Nursing standard (Royal College of Nursing (Great Britain) : 1987),23.0,758,480
,17.0,759,118
,284.0,760,402
,48.0,761,71
,240.0,762,481
,56.0,763,224
Headache,53.0,764,482
,32.0,765,196
,0.0,766,17
,26.0,767,56
Circ. J.,,768,483
PloS one,9.0,769,430
,89.0,770,119
,80.0,771,132
J. Natl. Cancer Inst.,106.0,772,484
AIDS,26.0,773,485
Oral Surg. Oral Med. Oral Pathol.,53.0,774,486
Archives of internal medicine,158.0,775,487
,14.0,776,10
,13.0,777,69
,111.0,778,434
Oper Dent,27.0,779,488
Movement disorders : official journal of the Movement Disorder Society,13.0,780,489
Psychol Assess,22.0,781,490
,0.0,782,17
,10.0,783,5
,34.0,784,40
,49.0,785,228
,56.0,786,224
Stomatologiia (Mosk),50.0,787,491
BMC Med,8.0,788,492
,26.0,789,56
Oral Surg Oral Med Oral Pathol Oral Radiol,118.0,790,493
J Cardiovasc Med (Hagerstown),,791,494
,128.0,792,495
,33.0,793,151
Appl Radiat Isot,49.0,794,496
J Clin Epidemiol,65.0,795,497
,3.0,796,33
The Journal of hand surgery,29.0,797,498
,0.0,798,17
Eur J Prev Cardiol,19.0,799,499
J. Natl. Cancer Inst.,106.0,800,484
,27.0,801,82
,16.0,802,149
,14.0,803,10
,15.0,804,91
,15.0,805,91
Angew. Chem. Int. Ed. Engl.,53.0,806,500
Cardiol Young,25.0,807,501
,29.0,808,271
,13.0,809,69
,0.0,810,17
,0.0,811,17
,7.0,812,52
Acta Clin Belg,61.0,813,502
,289.0,814,503
,64.0,815,87
,71.0,816,504
Acta Endocrinol Suppl (Copenh),288.0,817,505
,39.0,818,97
,41.0,819,375
,14.0,820,10
Obesity (Silver Spring),22.0,821,506
,4.0,822,78
JAMA Intern Med,173.0,823,507
J. Hypertens.,29.0,824,508
Thorax,70.0,825,509
,14.0,826,10
J Am Geriatr Soc,58.0,827,510
,141.0,828,390
World J Pediatr Congenit Heart Surg,6.0,829,511
,123.0,830,512
,103.0,831,101
,0.0,832,17
Am. J. Med.,120.0,833,513
Intensive Care Med,32.0,834,514
,15.0,835,91
J. Bone Miner. Res.,10.0,836,515
Pediatr Allergy Immunol,21.0,837,516
Shock,40.0,838,517
,23.0,839,117
,0.0,840,17
N. Engl. J. Med.,360.0,841,518
Foot & ankle international,35.0,842,519
,159.0,843,520
,15.0,844,91
,15.0,845,91
"International journal of surgery (London, England)",12.0,846,521
,27.0,847,82
Annals of the rheumatic diseases,66.0,848,522
,0.0,849,17
,22.0,850,170
,11.0,851,105
Circulation,121.0,852,523
Hum. Gene Ther.,13.0,853,524
Respiration,87.0,854,525
,11.0,855,105
,0.0,856,17
Circulation,113.0,857,526
,124.0,858,333
,18.0,859,59
,44.0,860,198
Oral Dis,,861,527
,31.0,862,221
,143.0,863,114
,48.0,864,71
Pediatrics,115.0,865,528
,,866,350
Cancer Chemother. Pharmacol.,63.0,867,529
,40.0,868,21
,12.0,869,60
,21.0,870,45
,4.0,871,78
Behav Brain Sci,20.0,872,530
,0.0,873,17
Arch. Gynecol. Obstet.,289.0,874,531
,21.0,875,45
,20.0,876,190
,0.0,877,17
Psychol Med,43.0,878,532
,76.0,879,533
Nepal Med Coll J,27.0,880,534
,25.0,881,8
,9.0,882,28
,63.0,883,298
,0.0,884,17
,56.0,885,224
,55.0,886,115
Catheter Cardiovasc Interv,,887,535
PloS one,8.0,888,27
,0.0,889,17
,23.0,890,117
The Journal of hand surgery,28.0,891,536
,23.0,892,117
Eur. Respir. J.,39.0,893,537
,39.0,894,97
Science and engineering ethics,4.0,895,538
Br J Clin Pharmacol,39.0,896,539
,90.0,897,38
,0.0,898,17
Clin. Infect. Dis.,41.0,899,540
,113.0,900,437
,32.0,901,196
Rev Endocr Metab Disord,14.0,902,541
Auton.Neurosc.Basic Clin.,146.0,903,542
Chest,145.0,904,543
,42.0,905,42
,0.0,906,17
J ECT,30.0,907,544
Integr. Physiol. Behav. Sci.,40.0,908,545
Cancer,119.0,909,546
Proc.Natl.Acad.Sci.U.S.A.,104.0,910,547
,12.0,911,60
,24.0,912,92
Eur J Radiol,82.0,913,548
Psychooncology,23.0,914,549
Bioelectromagnetics,23.0,915,550
,0.0,916,17
J. Am. Coll. Cardiol.,56.0,917,551
Anaesthesia,57.0,918,552
JAMA Neurol,71.0,919,553
Pediatr Med Chir,16.0,920,554
,0.0,921,17
,22.0,922,170
,12.0,923,60
Eur J Anaesthesiol,32.0,924,555
,8.0,925,13
,34.0,926,40
,119.0,927,280
,81.0,928,406
Neurosurg,11.0,929,556
Int J Med Inform,84.0,930,557
J. Clin. Oncol.,31.0,931,558
,0.0,932,17
,0.0,933,17
,100.0,934,559
JRSM Open,6.0,935,560
"American journal of critical care : an official publication, American Association of Critical-Care Nurses",12.0,936,561
The Journal of surgical research,42.0,937,562
"Clinical nutrition (Edinburgh, Scotland)",33.0,938,563
,4.0,939,78
,15.0,940,91
Techniques in coloproctology,14.0,941,564
,20.0,942,190
,15.0,943,91
J Environ Monit,11.0,944,565
,14.0,945,10
,44.0,946,198
,0.0,947,17
,0.0,948,17
,17.0,949,118
PLoS ONE,9.0,950,566
,27.0,951,82
,26.0,952,56
Int J Obes (Lond),34.0,953,567
,35.0,954,14
,5.0,955,111
,25.0,956,8
Curr. Opin. Pediatr.,25.0,957,568
Ann. Intern. Med.,122.0,958,569
Eur. J. Pediatr.,174.0,959,570
,42.0,960,42
Phytother Res,19.0,961,571
,39.0,962,97
Curr.Opin.Infect.Dis.,7.0,963,572
Brain Behav,0.0,964,573
J. Nucl. Med.,54.0,965,574
Laryngorhinootologie,82.0,966,575
J Health Care Poor Underserved,24.0,967,576
Acta Paediatr Scand Suppl,379.0,968,577
,8.0,969,13
,13.0,970,69
J Cell Biol,202.0,971,578
,7.0,972,52
Planta,239.0,973,579
Surg Infect (Larchmt),15.0,974,580
Steroids,101.0,975,581
,0.0,976,17
J. Antimicrob. Chemother.,65.0,977,582
,0.0,978,17
Endocrinology,153.0,979,583
,7457.0,980,584
Clinical obstetrics and gynecology,29.0,981,585
International journal of epidemiology,39.0,982,586
The American journal of clinical nutrition,73.0,983,587
Biol.Blood Marrow Transplant.,19.0,984,588
