sched_dep_time,sched_arr_time,original_index,unique_index
11:08 p.m.,12/2/11 5:11 a.m.,122,68
,,123,50
,,124,50
,,125,50
,,126,50
,,127,50
2:30 p.m.,7:03 p.m.,128,56
8:55 a.m.,11:45 a.m.,129,69
,,130,50
,,131,50
,,132,50
,,133,50
,,134,50
9:05 a.m. (-00:00),11:53 a.m.,135,70
,,136,50
,,137,50
,,138,50
,,139,50
,,140,50
,,141,50
2:55 p.m.,4:49 p.m.,142,71
,,143,50
,,144,50
,,145,50
4:00 p.m.,7:05 p.m.,146,72
,,147,50
,,148,50
,,149,50
7:10 a.m.,9:40 a.m.,150,0
,,151,50
6:40 a.m.,9:25 a.m.,152,3
8:00 a.m.,11:55 a.m.,153,73
,,154,50
7:45 p.m.,10:30 p.m.,155,1
12:00 p.m.,3:15 p.m.,156,24
3:27 p.m.,5:05 p.m.,157,74
,,158,50
,,159,50
11:25 p.m.,6:55 a.m. Dec 02,160,75
,,161,50
,,162,50
4:00 p.m.,6:46 p.m.,163,76
,,164,50
,,165,50
9:05 a.m.,12:35 p.m.,166,15
,,167,50
7:00 a.m.,9:55 a.m.,168,6
4:15 p.m.,7:55 p.m.,169,7
,,170,50
,,171,50
,,172,50
,,173,50
11:50 a.m.,3:50 p.m.,174,8
,,175,50
6:00 a.m.,9:20 a.m.,176,9
11:05 a.m.,4:57 p.m.,177,77
,,178,50
,,179,50
10:15 a.m.,12:10 p.m.,180,12
1:00 p.m.,2:35 p.m.,181,14
,,182,50
,,183,50
,,184,50
2:30 p.m.,6:15 p.m.,185,78
12:00 p.m.,1:45 p.m.,186,79
,,187,50
,,188,50
10:40 a.m.,2:45 p.m.,189,20
12:57 p.m.,4:52 p.m.,190,80
,,191,50
7:15 a.m.,10:35 a.m.,192,22
6:30 p.m.,7:25 p.m.,193,2
6:45 p.m.,9:10 p.m.,194,23
7:15 p.m.,12:21 a.m. Dec 02,195,81
,,196,50
9:15 a.m.,12:18 p.m.,197,64
6:00 a.m.,7:30 a.m.,198,25
7:10 a.m.,9:35 a.m.,199,26
,,200,50
3:50 p.m.,6:23 p.m.,201,82
,,202,50
8:00 p.m.,9:45 p.m.,203,28
,,204,50
,,205,50
10:40 a.m.,2:59 p.m.,206,29
1:33 p.m.,4:31 p.m.,207,83
12:15 p.m.,2:45 p.m.,208,4
,,209,50
11:55 p.m.,5:50 a.m.Dec 02,210,84
4:25 p.m.,12:29 a.m. Dec 02,211,85
9:00 p.m.,12:15 a.m. Dec 02,212,86
8:25 p.m.,11:50 p.m.,213,33
6:59 a.m.,10:34 a.m.,214,34
8:35 a.m.,11:50 a.m.,215,35
,,216,50
1:30 p.m.,3:50 p.m.,217,36
,,218,50
,,219,50
11:08 p.m.,5:11 a.m.Dec 02,220,87
5:30 p.m.,6:09 p.m.,221,88
,,222,50
,,223,50
,,224,50
,,225,50
,,226,50
,,227,50
2:35 p.m.,4:05 p.m.,228,38
2:55 p.m.,5:55 p.m.,229,39
7:15 a.m.,11:35 a.m.,230,40
12:10 p.m.,2:15 p.m.,231,41
7:55 a.m.,11:05 a.m.,232,11
,,233,50
1:05 p.m.,2:35 p.m.,234,42
,,235,50
3:05 p.m.,6:30 p.m.,236,44
7:30 a.m.,8:00 a.m.,237,13
,,238,50
4:00 p.m.,6:40 p.m.,239,46
11:35 a.m.,2:25 p.m.,240,19
7:25 a.m.,11:10 a.m.,241,17
,,242,50
11:55 a.m.,6:17 p.m.,243,89
10:40 a.m.,12:55 p.m.,244,30
6:45 a.m.,7:45 a.m.,245,18
4:00 p.m.,7:05 p.m.,246,72
6:00 a.m.,6:40 a.m.,247,48
7:10 a.m.,10:45 a.m.,248,49
7:10 a.m.,3:30 p.m.,249,47
7:10 a.m.,9:40 a.m.,250,0
6:40 a.m.,9:25 a.m.,251,3
8:00 a.m.,11:55 a.m.,252,73
8:41 a.m.,9:54 a.m.,253,90
7:45 p.m.,10:30 p.m.,254,1
6:30 p.m.,7:25 p.m.,255,2
3:27 p.m.,5:05 p.m.,256,74
11:25 a.m.,2:50 p.m.,257,52
11:25 a.m.,5:25 p.m.,258,45
10:39 a.m.,11:19 a.m.,259,91
11:25 p.m.,6:55 a.m.,260,92
6:00 a.m.,7:23 a.m.,261,93
12:15 p.m.,2:45 p.m.,262,4
4:00 p.m.,6:46 p.m.,263,76
9:45 a.m.,1:16 p.m.,264,55
7:00 a.m.,9:55 a.m.,265,6
8:15 a.m.,10:06 a.m.,266,94
4:15 p.m.,7:55 p.m.,267,7
2:30 p.m.,7:03 p.m.,268,56
11:50 a.m.,3:50 p.m.,269,8
6:00 a.m.,9:20 a.m.,270,9
11:05 a.m.,4:57 p.m.,271,77
6:00 a.m.,10:20 a.m.,272,59
8:40 a.m.,10:54 a.m.,273,60
10:45 a.m.,2:20 p.m.,274,10
10:15 a.m.,12:10 p.m.,275,12
7:30 a.m.,8:00 a.m.,276,13
1:00 p.m.,2:35 p.m.,277,14
12:30 a.m.,5:35 a.m.,278,53
9:05 a.m.,12:35 p.m.,279,15
11:45 a.m.,2:00 p.m.,280,16
12:00 p.m.,1:45 p.m.,281,79
7:25 a.m.,11:10 a.m.,282,17
11:35 a.m.,2:25 p.m.,283,19
10:40 a.m.,2:45 p.m.,284,20
7:15 a.m.,10:35 a.m.,285,22
8:05 a.m.,11:35 a.m.,286,57
6:45 p.m.,9:10 p.m.,287,23
12:00 p.m.,3:15 p.m.,288,24
7:15 p.m.,12:21 a.m.,289,95
1:55 p.m.,7:53 p.m.,290,96
9:15 a.m.,12:18 p.m.,291,64
6:00 a.m.,7:30 a.m.,292,25
7:10 a.m.,9:35 a.m.,293,26
3:50 p.m.,6:23 p.m.,294,82
4:16 p.m.,7:35 p.m.,295,97
8:00 p.m.,9:45 p.m.,296,28
10:25 a.m.,6:44 p.m.,297,65
7:05 a.m.,10:31 a.m.,298,98
10:40 a.m.,2:59 p.m.,299,29
1:33 p.m.,4:31 p.m.,300,83
11:55 p.m.,5:50 a.m.,301,99
4:25 p.m.,12:29 a.m.,302,100
9:00 p.m.,12:15 a.m.,303,101
8:25 p.m.,11:50 p.m.,304,33
6:59 a.m.,10:34 a.m.,305,34
8:35 a.m.,11:50 a.m.,306,35
2:30 p.m.,6:15 p.m.,307,78
8:29 a.m.,9:24 a.m.,308,102
1:30 p.m.,3:50 p.m.,309,36
2:53 p.m.,4:48 p.m.,310,67
7:35 a.m.,9:43 a.m.,311,103
1:45 p.m.,8:27 a.m.,312,104
11:15 a.m.,1:40 p.m.,313,105
8:20 p.m.,9:20 p.m.,314,37
2:55 p.m.,4:53 p.m.,315,106
2:30 p.m.,7:03 p.m.,316,56
2:35 p.m.,4:05 p.m.,317,38
2:55 p.m.,5:55 p.m.,318,39
7:15 a.m.,11:35 a.m.,319,40
2:55 p.m.,5:00 p.m.,320,107
12:10 p.m.,2:15 p.m.,321,41
7:55 a.m.,11:05 a.m.,322,11
9:05 a.m.,11:53 a.m.,323,108
1:05 p.m.,2:35 p.m.,324,42
7:53 a.m.,1:39 p.m.,325,109
8:35 a.m.,10:40 a.m.,326,43
3:05 p.m.,6:30 p.m.,327,44
4:00 p.m.,6:40 p.m.,328,46
2:55 p.m.,4:49 p.m.,329,71
11:55 a.m.,6:17 p.m.,330,89
10:40 a.m.,12:55 p.m.,331,30
6:45 a.m.,7:45 a.m.,332,18
4:00 p.m.,7:05 p.m.,333,72
6:00 a.m.,6:40 a.m.,334,48
7:10 a.m.,10:45 a.m.,335,49
7:10 a.m.,3:30 p.m.,336,47
,,337,50
7:00 p.m.,10:15 p.m.,338,51
,,339,50
,,340,50
,,341,50
,,342,50
,,343,50
11:25 a.m.,2:50 p.m.,344,52
,,345,50
,,346,50
,,347,50
,,348,50
12:30 a.m.,5:35 a.m.,349,53
,,350,50
7:35 a.m.,9:21 a.m.,351,54
9:45 a.m.,1:16 p.m.,352,55
,,353,50
,,354,50
,,355,50
,,356,50
,,357,50
2:30 p.m.,7:03 p.m.,358,56
8:05 a.m.,11:35 a.m.,359,57
,,360,50
,,361,50
11:40 a.m.,1:17 p.m.,362,58
,,363,50
,,364,50
6:00 a.m.,10:20 a.m.,365,59
8:40 a.m.,10:54 a.m.,366,60
,,367,50
,,368,50
,,369,50
,,370,50
,,371,50
,,372,50
,,373,50
5:25 p.m.,8:22 p.m.,374,61
7:10 p.m.,8:56 p.m.,375,62
,,376,50
,,377,50
3:35 p.m.,4:00 p.m.,378,21
,,379,50
,,380,50
,,381,50
,,382,50
7:15 p.m.,12/2/11 12:21 a.m.,383,63
,,384,50
9:15 a.m.,12:18 p.m.,385,64
,,386,50
,,387,50
,,388,50
,,389,50
,,390,50
,,391,50
,,392,50
10:25 a.m.,6:44 p.m.,393,65
,,394,50
,,395,50
,,396,50
,,397,50
1:29 p.m.,4:17 p.m.,398,66
,,399,50
,,400,50
,,401,50
,,402,50
,,403,50
,,404,50
,,405,50
,,406,50
2:53 p.m.,4:48 p.m.,407,67
,,408,50
11:08 p.m.,12/2/11 5:11 a.m.,409,68
,,410,50
,,411,50
,,412,50
,,413,50
,,414,50
2:30 p.m.,7:03 p.m.,415,56
8:55 a.m.,11:45 a.m.,416,69
,,417,50
,,418,50
,,419,50
,,420,50
,,421,50
9:05 a.m. (-00:00),11:53 a.m.,422,70
,,423,50
,,424,50
,,425,50
,,426,50
,,427,50
,,428,50
2:55 p.m.,4:49 p.m.,429,71
,,430,50
,,431,50
,,432,50
4:00 p.m.,7:05 p.m.,433,72
,,434,50
,,435,50
,,436,50
7:10 a.m.,9:40 a.m.,437,0
,,438,50
6:40 a.m.,9:25 a.m.,439,3
8:00 a.m.,11:55 a.m.,440,73
,,441,50
7:45 p.m.,10:30 p.m.,442,1
12:00 p.m.,3:15 p.m.,443,24
3:27 p.m.,5:05 p.m.,444,74
,,445,50
,,446,50
11:25 p.m.,6:55 a.m. Dec 02,447,75
,,448,50
,,449,50
4:00 p.m.,6:46 p.m.,450,76
,,451,50
,,452,50
9:05 a.m.,12:35 p.m.,453,15
,,454,50
7:00 a.m.,9:55 a.m.,455,6
4:15 p.m.,7:55 p.m.,456,7
,,457,50
,,458,50
,,459,50
,,460,50
11:50 a.m.,3:50 p.m.,461,8
,,462,50
6:00 a.m.,9:20 a.m.,463,9
11:05 a.m.,4:57 p.m.,464,77
,,465,50
,,466,50
10:15 a.m.,12:10 p.m.,467,12
1:00 p.m.,2:35 p.m.,468,14
,,469,50
,,470,50
,,471,50
2:30 p.m.,6:15 p.m.,472,78
12:00 p.m.,1:45 p.m.,473,79
,,474,50
,,475,50
10:40 a.m.,2:45 p.m.,476,20
,,477,50
,,478,50
7:15 a.m.,10:35 a.m.,479,22
6:30 p.m.,7:25 p.m.,480,2
6:45 p.m.,9:10 p.m.,481,23
7:15 p.m.,12:21 a.m. Dec 02,482,81
,,483,50
9:15 a.m.,12:18 p.m.,484,64
6:00 a.m.,7:30 a.m.,485,25
7:10 a.m.,9:35 a.m.,486,26
,,487,50
3:50 p.m.,6:23 p.m.,488,82
,,489,50
8:00 p.m.,9:45 p.m.,490,28
,,491,50
,,492,50
10:40 a.m.,2:59 p.m.,493,29
1:33 p.m.,4:31 p.m.,494,83
12:15 p.m.,2:45 p.m.,495,4
,,496,50
11:55 p.m.,5:50 a.m. Dec 02,497,110
4:25 p.m.,12:29 a.m. Dec 02,498,85
9:00 p.m.,12:15 a.m. Dec 02,499,86
8:25 p.m.,11:50 p.m.,500,33
6:59 a.m.,10:34 a.m.,501,34
8:35 a.m.,11:50 a.m.,502,35
,,503,50
1:30 p.m.,3:50 p.m.,504,36
,,505,50
,,506,50
11:08 p.m.,5:11 a.m.Dec 02,507,87
5:30 p.m.,6:40 p.m.,508,111
,,509,50
,,510,50
,,511,50
,,512,50
,,513,50
,,514,50
2:35 p.m.,4:05 p.m.,515,38
2:55 p.m.,5:55 p.m.,516,39
7:15 a.m.,11:35 a.m.,517,40
12:10 p.m.,2:15 p.m.,518,41
7:55 a.m.,11:05 a.m.,519,11
,,520,50
1:05 p.m.,2:35 p.m.,521,42
,,522,50
3:05 p.m.,6:30 p.m.,523,44
7:30 a.m.,8:00 a.m.,524,13
,,525,50
4:00 p.m.,6:40 p.m.,526,46
11:35 a.m.,2:25 p.m.,527,19
7:25 a.m.,11:10 a.m.,528,17
,,529,50
11:55 a.m.,6:17 p.m.,530,89
10:40 a.m.,12:55 p.m.,531,30
6:45 a.m.,7:45 a.m.,532,18
4:00 p.m.,7:05 p.m.,533,72
6:00 a.m.,6:40 a.m.,534,48
7:10 a.m.,10:45 a.m.,535,49
7:10 a.m.,3:30 p.m.,536,47
7:10 a.m.,9:40 a.m.,537,0
7:00 p.m.,10:15 p.m.,538,51
6:40 a.m.,9:25 a.m.,539,3
8:00 a.m.,11:55 a.m.,540,73
8:41 a.m.,9:54 a.m.,541,90
7:45 p.m.,10:30 p.m.,542,1
11:45 a.m.,2:00 p.m.,543,16
6:30 p.m.,7:25 p.m.,544,2
3:27 p.m.,5:05 p.m.,545,74
11:25 a.m.,2:50 p.m.,546,52
11:25 p.m.,6:55 a.m.,547,92
6:00 a.m.,7:23 a.m.,548,93
12:30 a.m.,5:35 a.m.,549,53
4:00 p.m.,6:46 p.m.,550,76
7:35 a.m.,9:21 a.m.,551,54
9:45 a.m.,1:16 p.m.,552,55
7:00 a.m.,9:55 a.m.,553,6
8:15 a.m.,10:06 a.m.,554,94
4:15 p.m.,7:55 p.m.,555,7
9:05 a.m.,12:35 p.m.,556,15
2:30 p.m.,7:03 p.m.,557,56
5:25 p.m.,8:22 p.m.,558,61
11:50 a.m.,3:50 p.m.,559,8
11:40 a.m.,1:17 p.m.,560,58
6:00 a.m.,9:20 a.m.,561,9
11:05 a.m.,4:57 p.m.,562,77
6:00 a.m.,10:20 a.m.,563,59
8:40 a.m.,10:54 a.m.,564,60
7:55 a.m.,11:05 a.m.,565,11
10:15 a.m.,12:10 p.m.,566,12
7:30 a.m.,8:00 a.m.,567,13
1:00 p.m.,2:35 p.m.,568,14
6:45 a.m.,7:45 a.m.,569,18
12:15 p.m.,2:45 p.m.,570,4
12:30 p.m.,3:19 p.m.,571,112
12:00 p.m.,1:45 p.m.,572,79
7:10 p.m.,8:56 p.m.,573,62
11:35 a.m.,2:25 p.m.,574,19
10:40 a.m.,2:45 p.m.,575,20
12:57 p.m.,5:15 p.m.,576,113
3:35 p.m.,4:00 p.m.,577,21
7:15 a.m.,10:35 a.m.,578,22
8:05 a.m.,11:35 a.m.,579,57
6:45 p.m.,9:10 p.m.,580,23
12:00 p.m.,3:15 p.m.,581,24
7:15 p.m.,12:21 a.m.,582,95
1:55 p.m.,7:53 p.m.,583,96
9:15 a.m.,12:18 p.m.,584,64
6:00 a.m.,7:30 a.m.,585,25
7:10 a.m.,9:35 a.m.,586,26
4:55 p.m.,8:05 p.m.,587,27
7:25 a.m.,11:10 a.m.,588,17
3:50 p.m.,6:23 p.m.,589,82
4:16 p.m.,7:35 p.m.,590,97
8:00 p.m.,9:45 p.m.,591,28
10:25 a.m.,6:44 p.m.,592,65
7:05 a.m.,10:31 a.m.,593,98
10:40 a.m.,2:59 p.m.,594,29
1:33 p.m.,4:31 p.m.,595,83
1:29 p.m.,4:17 p.m.,596,66
11:55 p.m.,5:50 a.m.,597,99
4:25 p.m.,12:29 a.m.,598,100
9:00 p.m.,12:15 a.m.,599,101
8:25 p.m.,11:50 p.m.,600,33
2:55 p.m.,5:00 p.m.,601,107
6:59 a.m.,10:34 a.m.,602,34
8:35 a.m.,11:50 a.m.,603,35
2:30 p.m.,6:15 p.m.,604,78
8:29 a.m.,9:24 a.m.,605,102
2:53 p.m.,4:48 p.m.,606,67
11:08 p.m.,5:11 a.m.,607,114
5:30 p.m.,6:40 p.m.,608,111
11:15 a.m.,1:40 p.m.,609,105
8:20 p.m.,9:20 p.m.,610,37
2:55 p.m.,4:53 p.m.,611,106
2:30 p.m.,7:03 p.m.,612,56
2:35 p.m.,4:05 p.m.,613,38
2:55 p.m.,5:55 p.m.,614,39
7:15 a.m.,11:35 a.m.,615,40
12:10 p.m.,2:15 p.m.,616,41
1:05 p.m.,2:35 p.m.,617,42
7:53 a.m.,1:39 p.m.,618,109
8:35 a.m.,10:40 a.m.,619,43
3:05 p.m.,6:30 p.m.,620,44
4:00 p.m.,6:40 p.m.,621,46
7:10 a.m.,3:30 p.m.,622,47
2:55 p.m.,4:49 p.m.,623,71
11:55 a.m.,6:17 p.m.,624,89
10:40 a.m.,12:55 p.m.,625,30
4:00 p.m.,7:05 p.m.,626,72
6:00 a.m.,6:40 a.m.,627,48
7:10 a.m.,10:45 a.m.,628,49
7:10 a.m.,9:40 a.m.,629,0
,,630,50
6:40 a.m.,9:25 a.m.,631,3
8:00 a.m.,11:55 a.m.,632,73
,,633,50
7:45 p.m.,10:30 p.m.,634,1
12:00 p.m.,3:15 p.m.,635,24
3:27 p.m.,5:05 p.m.,636,74
,,637,50
,,638,50
11:25 p.m.,6:55 a.m. Dec 02,639,75
,,640,50
,,641,50
4:00 p.m.,6:46 p.m.,642,76
,,643,50
,,644,50
9:05 a.m.,12:35 p.m.,645,15
,,646,50
7:00 a.m.,9:55 a.m.,647,6
4:15 p.m.,7:55 p.m.,648,7
,,649,50
,,650,50
,,651,50
,,652,50
11:50 a.m.,3:50 p.m.,653,8
,,654,50
6:00 a.m.,9:20 a.m.,655,9
11:05 a.m.,4:57 p.m.,656,77
,,657,50
,,658,50
10:15 a.m.,12:10 p.m.,659,12
1:00 p.m.,2:35 p.m.,660,14
,,661,50
,,662,50
,,663,50
2:30 p.m.,6:15 p.m.,664,78
12:00 p.m.,1:45 p.m.,665,79
,,666,50
,,667,50
10:40 a.m.,2:45 p.m.,668,20
,,669,50
,,670,50
7:15 a.m.,10:35 a.m.,671,22
6:30 p.m.,7:25 p.m.,672,2
6:45 p.m.,9:10 p.m.,673,23
7:15 p.m.,12:21 a.m. Dec 02,674,81
,,675,50
9:15 a.m.,12:18 p.m.,676,64
6:00 a.m.,7:30 a.m.,677,25
7:10 a.m.,9:35 a.m.,678,26
,,679,50
3:50 p.m.,6:23 p.m.,680,82
,,681,50
8:00 p.m.,9:45 p.m.,682,28
,,683,50
,,684,50
10:40 a.m.,2:59 p.m.,685,29
1:33 p.m.,4:31 p.m.,686,83
12:15 p.m.,2:45 p.m.,687,4
,,688,50
11:55 p.m.,5:50 a.m. Dec 02,689,110
4:25 p.m.,12:29 a.m. Dec 02,690,85
9:00 p.m.,12:15 a.m. Dec 02,691,86
8:25 p.m.,11:50 p.m.,692,33
6:59 a.m.,10:34 a.m.,693,34
8:35 a.m.,11:50 a.m.,694,35
,,695,50
1:30 p.m.,3:50 p.m.,696,36
,,697,50
,,698,50
11:08 p.m.,5:11 a.m.Dec 02,699,87
5:30 p.m.,6:40 p.m.,700,111
,,701,50
,,702,50
,,703,50
,,704,50
,,705,50
,,706,50
2:35 p.m.,4:05 p.m.,707,38
2:55 p.m.,5:55 p.m.,708,39
7:15 a.m.,11:35 a.m.,709,40
12:10 p.m.,2:15 p.m.,710,41
7:55 a.m.,11:05 a.m.,711,11
,,712,50
1:05 p.m.,2:35 p.m.,713,42
,,714,50
3:05 p.m.,6:30 p.m.,715,44
7:30 a.m.,8:00 a.m.,716,13
,,717,50
4:00 p.m.,6:40 p.m.,718,46
11:35 a.m.,2:25 p.m.,719,19
7:25 a.m.,11:10 a.m.,720,17
,,721,50
11:55 a.m.,6:17 p.m.,722,89
10:40 a.m.,12:55 p.m.,723,30
6:45 a.m.,7:45 a.m.,724,18
4:00 p.m.,7:05 p.m.,725,72
6:00 a.m.,6:40 a.m.,726,48
7:10 a.m.,10:45 a.m.,727,49
7:10 a.m.,3:30 p.m.,728,47
,,729,50
,,730,50
,,731,50
,,732,50
,,733,50
6:30 p.m.,7:25 p.m.,734,2
,,735,50
,,736,50
11:25 p.m.,12/2/2011 6:55 a.m.,737,115
,,738,50
,,739,50
,,740,50
,,741,50
,,742,50
,,743,50
,,744,50
,,745,50
,,746,50
,,747,50
,,748,50
,,749,50
,,750,50
,,751,50
,,752,50
,,753,50
,,754,50
,,755,50
1:09 p.m.,4:52 p.m.,756,116
,,757,50
,,758,50
,,759,50
,,760,50
,,761,50
,,762,50
,,763,50
,,764,50
,,765,50
,,766,50
,,767,50
,,768,50
,,769,50
,,770,50
11:55 p.m.,12/2/2011 5:50 a.m.,771,117
9:00 p.m.,12/2/2011 12:15 a.m.,772,118
8:25 p.m.,11:50 p.m.,773,33
,,774,50
,,775,50
,,776,50
1:30 p.m.,3:50 p.m.,777,36
,,778,50
5:30 p.m.,6:40 p.m.,779,111
,,780,50
,,781,50
,,782,50
4:25 p.m.,12/2/2011 12:29 a.m.,783,119
,,784,50
,,785,50
,,786,50
,,787,50
,,788,50
,,789,50
,,790,50
,,791,50
,2:45P 12-01-11,792,120
,10:34A 12-01-11,793,121
,7:55P 12-01-11,794,122
,9:20A 12-01-11,795,123
,11:10A 12-01-11,796,124
12:30,,797,125
1:00 p.m.,,798,126
8:25 p.m.,,799,127
11:50 a.m.,,800,128
10:40 a.m.,,801,129
4:15 p.m.,,802,130
,Thu  22:15,803,131
,Thu  17:55,804,132
,Thu  19:25,805,133
,Thu  7:45,806,134
,Thu  6:55,807,135
Thu  20:00,,808,136
,Thu  10:35,809,137
,Thu  12:18,810,138
7:10 a.m.,9:40 a.m.,811,0
,,812,50
6:40 a.m.,9:25 a.m.,813,3
8:00 a.m.,11:55 a.m.,814,73
,,815,50
7:45 p.m.,10:30 p.m.,816,1
12:00 p.m.,3:15 p.m.,817,24
3:27 p.m.,5:05 p.m.,818,74
,,819,50
,,820,50
11:25 p.m.,6:55 a.m.  Fri 02-Dec-2011,821,139
,,822,50
,,823,50
4:00 p.m.,6:46 p.m.,824,76
,,825,50
,,826,50
9:05 a.m.,12:35 p.m.,827,15
,,828,50
7:00 a.m.,9:55 a.m.,829,6
4:15 p.m.,7:55 p.m.,830,7
,,831,50
,,832,50
,,833,50
,,834,50
11:50 a.m.,3:50 p.m.,835,8
,,836,50
6:00 a.m.,9:20 a.m.,837,9
11:05 a.m.,4:57 p.m.,838,77
,,839,50
,,840,50
10:15 a.m.,12:10 p.m.,841,12
1:00 p.m.,2:35 p.m.,842,14
,,843,50
,,844,50
,,845,50
2:30 p.m.,6:15 p.m.,846,78
12:00 p.m.,1:45 p.m.,847,79
,,848,50
,,849,50
10:40 a.m.,2:45 p.m.,850,20
,,851,50
,,852,50
7:15 a.m.,10:35 a.m.,853,22
6:30 p.m.,7:25 p.m.,854,2
6:45 p.m.,9:10 p.m.,855,23
7:15 p.m.,12:21 a.m.  Fri 02-Dec-2011,856,140
,,857,50
9:15 a.m.,12:18 p.m.,858,64
6:00 a.m.,7:30 a.m.,859,25
7:10 a.m.,9:35 a.m.,860,26
,,861,50
3:50 p.m.,6:23 p.m.,862,82
,,863,50
8:00 p.m.,9:45 p.m.,864,28
,,865,50
,,866,50
,,867,50
1:33 p.m.,4:31 p.m.,868,83
12:15 p.m.,2:45 p.m.,869,4
,,870,50
11:55 p.m.,5:50 a.m.  Fri 02-Dec-2011,871,141
4:25 p.m.,12:29 a.m.  Fri 02-Dec-2011,872,142
9:00 p.m.,12:15 a.m.  Fri 02-Dec-2011,873,143
8:25 p.m.,11:50 p.m.,874,33
6:59 a.m.,10:34 a.m.,875,34
8:35 a.m.,11:50 a.m.,876,35
,,877,50
1:30 p.m.,3:50 p.m.,878,36
,,879,50
,,880,50
11:08 p.m.,5:11 a.m.,881,114
5:30 p.m.,6:40 p.m.,882,111
,,883,50
,,884,50
,,885,50
,,886,50
,,887,50
,,888,50
2:35 p.m.,4:05 p.m.,889,38
2:55 p.m.,5:55 p.m.,890,39
7:15 a.m.,11:35 a.m.,891,40
12:10 p.m.,2:15 p.m.,892,41
7:55 a.m.,11:05 a.m.,893,11
,,894,50
1:05 p.m.,2:35 p.m.,895,42
,,896,50
3:05 p.m.,6:30 p.m.,897,44
7:30 a.m.,8:00 a.m.,898,13
,,899,50
4:00 p.m.,6:40 p.m.,900,46
