ProviderNumber,EmergencyService,original_index,unique_index,count
10015,yes,261,20,23
10015,yes,262,20,23
10015,yes,263,20,23
10015,yes,264,20,23
10015,yes,265,20,23
10015,yes,266,20,23
10015,yes,267,20,23
10015,yes,268,20,23
10016,yes,269,22,24
10016,yes,270,22,24
10016,yes,271,22,24
10016,yes,272,22,24
1xx16,yes,273,23,1
10016,yes,274,22,24
10016,yes,275,22,24
10016,yes,276,22,24
10016,yes,277,22,24
10016,yes,278,22,24
10016,yes,279,22,24
10016,yes,280,22,24
10016,yes,281,22,24
10016,yes,282,22,24
10016,yes,283,22,24
10016,yes,284,22,24
10016,yes,285,22,24
10016,yes,286,22,24
10016,yes,287,22,24
10016,yes,288,22,24
10016,yes,289,22,24
10016,yes,290,22,24
10016,yes,291,22,24
10016,yes,292,22,24
10016,yes,293,22,24
10018,yes,294,0,25
10018,yes,295,0,25
10018,yes,296,0,25
10018,yes,297,0,25
10018,yes,298,0,25
10018,yes,299,0,25
10018,yes,300,0,25
10018,yes,301,0,25
10018,yes,302,0,25
10018,yes,303,0,25
10018,yes,304,0,25
10018,yes,305,0,25
10018,yes,306,0,25
10018,yes,307,0,25
10018,yes,308,0,25
10018,yes,309,0,25
10018,yes,310,0,25
10038,yes,311,24,25
10038,yes,312,24,25
10038,yes,313,24,25
100x8,yes,314,25,1
10038,yes,315,24,25
10038,yes,316,24,25
10038,yes,317,24,25
10038,xes,318,26,1
10038,yes,319,24,25
10038,yes,320,24,25
10038,yes,321,24,25
10038,yes,322,24,25
10038,yes,323,24,25
10038,yes,324,24,25
10038,yes,325,24,25
10038,yes,326,24,25
10038,yex,327,27,1
10038,yes,328,24,25
10038,yes,329,24,25
10038,yes,330,24,25
10055,yes,331,28,16
10055,yex,332,29,1
10055,yes,333,28,16
10055,yes,334,28,16
10055,yes,335,28,16
10055,yes,336,28,16
10055,yes,337,28,16
10055,yes,338,28,16
10055,yes,339,28,16
10055,yes,340,28,16
10055,yes,341,28,16
10055,yes,342,28,16
10055,yes,343,28,16
10055,yes,344,28,16
10055,yes,345,28,16
10055,yes,346,28,16
10055,yes,347,28,16
10056,yes,348,30,4
10056,yes,349,30,4
10056,yxs,350,31,1
10056,yes,351,30,4
10056,yes,352,30,4
10085,yes,353,32,1
10086,yes,354,33,23
10086,yes,355,33,23
10086,yes,356,33,23
10086,yes,357,33,23
10086,yes,358,33,23
10086,yes,359,33,23
100x6,yes,360,34,1
10086,yes,361,33,23
10086,yes,362,33,23
10086,yes,363,33,23
10086,yes,364,33,23
10086,yes,365,33,23
10086,yes,366,33,23
10086,yes,367,33,23
10086,yes,368,33,23
10086,yes,369,33,23
10086,yes,370,33,23
10086,yes,371,33,23
10086,yes,372,33,23
10086,yes,373,33,23
10086,yex,374,35,1
10086,yes,375,33,23
10086,yes,376,33,23
10086,yes,377,33,23
10086,yes,378,33,23
10087,yes,379,36,12
10087,yes,380,36,12
10087,yes,381,36,12
10087,yes,382,36,12
10087,yes,383,36,12
10087,yes,384,36,12
10087,yes,385,36,12
10087,yes,386,36,12
10087,yes,387,36,12
10087,yes,388,36,12
10087,yxs,389,37,1
10087,yes,390,36,12
10087,yes,391,36,12
10108,yes,392,38,18
10108,yes,393,38,18
10108,yes,394,38,18
10108,yes,395,38,18
10108,yes,396,38,18
10108,yes,397,38,18
10108,yes,398,38,18
10108,yes,399,38,18
10108,yes,400,38,18
10108,yes,401,38,18
10108,yes,402,38,18
10108,yes,403,38,18
10108,yes,404,38,18
10108,yes,405,38,18
10108,yes,406,38,18
10108,yes,407,38,18
x0x08,yes,408,39,1
10108,yes,409,38,18
10108,yxs,410,40,1
10108,yes,411,38,18
10158,yes,412,41,2
10158,yes,413,41,2
10164,no,414,42,17
10164,no,415,42,17
10164,no,416,42,17
10164,no,417,42,17
10164,xo,418,43,1
10164,no,419,42,17
10164,no,420,42,17
10164,no,421,42,17
10164,no,422,42,17
10164,no,423,42,17
10164,no,424,42,17
10164,no,425,42,17
10164,no,426,42,17
10164,no,427,42,17
10164,no,428,42,17
10164,no,429,42,17
10164,no,430,42,17
10164,no,431,42,17
20017,yes,432,44,18
20017,yes,433,44,18
20017,yes,434,44,18
20017,yes,435,44,18
20017,yes,436,44,18
20017,yes,437,44,18
20017,yes,438,44,18
20017,yes,439,44,18
20017,yes,440,44,18
20017,yes,441,44,18
20017,yes,442,44,18
20017,yes,443,44,18
20017,yes,444,44,18
20017,yes,445,44,18
20017,yes,446,44,18
20017,yes,447,44,18
20017,yes,448,44,18
20017,yes,449,44,18
20018,no,450,45,2
20018,no,451,45,2
10019,yes,452,1,24
10019,yes,453,1,24
10019,yes,454,1,24
10019,yes,455,1,24
10019,yes,456,1,24
10019,yes,457,1,24
10019,yes,458,1,24
10019,yes,459,1,24
10019,yes,460,1,24
10019,yes,461,1,24
10019,yes,462,1,24
10019,yes,463,1,24
10019,yes,464,1,24
10019,yes,465,1,24
10021,yes,466,46,25
10021,yes,467,46,25
10021,yes,468,46,25
10021,yes,469,46,25
10021,yes,470,46,25
10021,yes,471,46,25
10021,yes,472,46,25
10021,yes,473,46,25
10021,yes,474,46,25
10021,yes,475,46,25
10021,yes,476,46,25
10021,yes,477,46,25
10021,yes,478,46,25
10021,yes,479,46,25
10021,yes,480,46,25
10021,yes,481,46,25
10021,yes,482,46,25
10021,yes,483,46,25
10021,yes,484,46,25
10021,yes,485,46,25
10021,yes,486,46,25
10021,yes,487,46,25
10021,yes,488,46,25
10021,yes,489,46,25
10021,yes,490,46,25
10022,yes,491,47,24
10022,yxs,492,48,1
10022,yes,493,47,24
10022,yes,494,47,24
10022,yes,495,47,24
10022,yes,496,47,24
10022,yes,497,47,24
10022,yes,498,47,24
10022,yes,499,47,24
10022,yes,500,47,24
10022,yes,501,47,24
10022,yes,502,47,24
10022,yes,503,47,24
10022,yes,504,47,24
10022,yes,505,47,24
10022,yes,506,47,24
10022,yes,507,47,24
10022,yes,508,47,24
10022,yes,509,47,24
10022,yes,510,47,24
10022,yes,511,47,24
10022,yes,512,47,24
10022,yes,513,47,24
10022,yes,514,47,24
10022,yes,515,47,24
10023,yes,516,49,23
10023,yes,517,49,23
10023,yes,518,49,23
10023,yes,519,49,23
10023,yes,520,49,23
10023,yxs,521,50,1
10023,yes,522,49,23
10023,yes,523,49,23
10023,yes,524,49,23
10023,yes,525,49,23
10023,yes,526,49,23
10023,yes,527,49,23
10023,yes,528,49,23
10023,yes,529,49,23
10023,yes,530,49,23
10023,yes,531,49,23
10023,yes,532,49,23
10023,yes,533,49,23
10023,yes,534,49,23
10023,yes,535,49,23
10023,yex,536,51,1
10023,yes,537,49,23
10023,yes,538,49,23
10023,yes,539,49,23
10023,yes,540,49,23
10024,yes,541,52,23
10024,yes,542,52,23
10024,yes,543,52,23
10024,yes,544,52,23
10024,yes,545,52,23
10024,yes,546,52,23
10024,yes,547,52,23
10024,yes,548,52,23
10024,yes,549,52,23
10024,yes,550,52,23
10024,yes,551,52,23
10024,yes,552,52,23
10024,yes,553,52,23
10024,yes,554,52,23
10024,yes,555,52,23
10024,yes,556,52,23
10024,yes,557,52,23
10024,yes,558,52,23
1xx24,yes,559,53,1
10024,yes,560,52,23
10024,yes,561,52,23
10024,yes,562,52,23
10024,yes,563,52,23
10024,xes,564,54,1
10024,yes,565,52,23
10025,yes,566,55,23
10025,yes,567,55,23
10025,yes,568,55,23
10025,yes,569,55,23
10025,yes,570,55,23
10025,yes,571,55,23
10025,yes,572,55,23
10025,yes,573,55,23
10025,yes,574,55,23
10025,yes,575,55,23
10025,yes,576,55,23
10025,yes,577,55,23
10025,yes,578,55,23
10025,xes,579,56,2
10025,yes,580,55,23
10025,yes,581,55,23
10025,yes,582,55,23
10025,yes,583,55,23
10025,yes,584,55,23
10025,yes,585,55,23
10025,yes,586,55,23
10025,xes,587,56,2
10025,yes,588,55,23
10025,yes,589,55,23
10025,yes,590,55,23
10027,yes,591,57,24
10027,yes,592,57,24
10027,yes,593,57,24
10027,yes,594,57,24
10027,yes,595,57,24
10027,yes,596,57,24
10027,yes,597,57,24
10027,yes,598,57,24
10027,yes,599,57,24
10027,yes,600,57,24
10027,yes,601,57,24
10027,yes,602,57,24
10027,yes,603,57,24
10027,yes,604,57,24
10027,yes,605,57,24
10027,yes,606,57,24
10027,yes,607,57,24
x0027,yes,608,58,1
10027,yes,609,57,24
10027,yes,610,57,24
10027,yes,611,57,24
10027,yes,612,57,24
10027,yes,613,57,24
10027,yes,614,57,24
10027,yes,615,57,24
10029,yes,616,59,22
10029,yes,617,59,22
10029,yes,618,59,22
10029,yes,619,59,22
10029,yes,620,59,22
10029,yes,621,59,22
10029,yes,622,59,22
10029,yes,623,59,22
10029,yes,624,59,22
10029,yes,625,59,22
10029,yes,626,59,22
x0029,yes,627,60,1
10029,yex,628,61,1
10029,yes,629,59,22
10029,yes,630,59,22
10029,yes,631,59,22
10029,yes,632,59,22
10029,yes,633,59,22
10029,yes,634,59,22
10029,yes,635,59,22
10029,yes,636,59,22
10029,yes,637,59,22
10029,yes,638,59,22
1xx29,yes,639,62,1
10029,yes,640,59,22
10032,no,641,63,22
10032,no,642,63,22
10032,no,643,63,22
10032,no,644,63,22
1xx32,no,645,64,2
10032,no,646,63,22
10032,no,647,63,22
10032,no,648,63,22
10032,no,649,63,22
10032,no,650,63,22
10032,no,651,63,22
10032,no,652,63,22
10032,xo,653,65,1
10032,no,654,63,22
1xx32,no,655,64,2
10032,no,656,63,22
10032,no,657,63,22
10032,no,658,63,22
10032,no,659,63,22
10032,no,660,63,22
10032,no,661,63,22
10032,no,662,63,22
10032,no,663,63,22
10032,no,664,63,22
10032,no,665,63,22
10033,yes,666,66,24
10033,yes,667,66,24
10033,yes,668,66,24
10033,yes,669,66,24
10033,yes,670,66,24
10033,yes,671,66,24
10033,yes,672,66,24
10033,yes,673,66,24
10033,yex,674,67,1
10033,yes,675,66,24
10033,yes,676,66,24
10033,yes,677,66,24
10033,yes,678,66,24
10033,yes,679,66,24
10033,yes,680,66,24
10033,yes,681,66,24
10033,yes,682,66,24
10033,yes,683,66,24
10033,yes,684,66,24
10033,yes,685,66,24
10033,yes,686,66,24
10033,yes,687,66,24
10033,yes,688,66,24
10033,yes,689,66,24
10033,yes,690,66,24
10034,no,691,68,24
10034,no,692,68,24
10034,no,693,68,24
10034,no,694,68,24
10034,no,695,68,24
10034,no,696,68,24
10034,no,697,68,24
10034,no,698,68,24
10034,no,699,68,24
10034,no,700,68,24
10034,no,701,68,24
10034,no,702,68,24
10034,no,703,68,24
100x4,no,704,69,1
10034,no,705,68,24
10034,no,706,68,24
10034,no,707,68,24
10034,no,708,68,24
10034,no,709,68,24
10034,no,710,68,24
10034,no,711,68,24
10034,no,712,68,24
10034,no,713,68,24
10034,no,714,68,24
10034,no,715,68,24
10035,yes,716,70,23
10035,yes,717,70,23
10035,yes,718,70,23
10035,yes,719,70,23
10035,yes,720,70,23
100x5,yes,721,71,1
10035,yes,722,70,23
10035,yes,723,70,23
1xx35,yes,724,72,1
10035,yes,725,70,23
10035,yes,726,70,23
10035,yes,727,70,23
10035,yes,728,70,23
10035,yes,729,70,23
10035,yes,730,70,23
10035,yes,731,70,23
10035,yes,732,70,23
10035,yes,733,70,23
10035,yes,734,70,23
10035,yes,735,70,23
10035,yes,736,70,23
10035,yes,737,70,23
10035,yes,738,70,23
10035,yes,739,70,23
10035,yes,740,70,23
10036,no,741,73,24
10036,no,742,73,24
10036,no,743,73,24
10036,no,744,73,24
10036,no,745,73,24
10036,no,746,73,24
10036,no,747,73,24
10036,no,748,73,24
10036,no,749,73,24
10036,no,750,73,24
10036,no,751,73,24
10036,no,752,73,24
10036,no,753,73,24
10036,no,754,73,24
1xx36,no,755,74,1
10036,no,756,73,24
10036,no,757,73,24
10036,no,758,73,24
10036,no,759,73,24
10036,no,760,73,24
10036,no,761,73,24
10036,no,762,73,24
10036,no,763,73,24
10036,no,764,73,24
10036,no,765,73,24
10038,yes,766,24,25
10038,yes,767,24,25
10038,yes,768,24,25
10038,yes,769,24,25
10038,yes,770,24,25
10038,yes,771,24,25
10038,yes,772,24,25
10038,yes,773,24,25
10039,yes,774,75,24
10039,yes,775,75,24
10039,yes,776,75,24
10039,yes,777,75,24
10039,yes,778,75,24
10039,yes,779,75,24
1003x,yes,780,76,1
10039,yes,781,75,24
10039,yes,782,75,24
10039,yes,783,75,24
10039,yes,784,75,24
10039,yes,785,75,24
10039,yes,786,75,24
10039,yes,787,75,24
10039,yes,788,75,24
1xx39,yes,789,77,1
10039,yes,790,75,24
10039,yes,791,75,24
10039,yes,792,75,24
100x9,yes,793,78,1
10039,yes,794,75,24
10039,yes,795,75,24
10039,yes,796,75,24
10039,yxs,797,79,1
10039,yes,798,75,24
10039,yes,799,75,24
10039,yes,800,75,24
10039,yes,801,75,24
10040,yes,802,80,24
10040,yes,803,80,24
10040,yes,804,80,24
10040,yes,805,80,24
10040,yes,806,80,24
10040,yes,807,80,24
10040,yes,808,80,24
10040,xes,809,81,1
10040,yes,810,80,24
10040,yes,811,80,24
10040,yes,812,80,24
10040,yes,813,80,24
10040,yes,814,80,24
10040,yes,815,80,24
10040,yes,816,80,24
10040,yes,817,80,24
10040,yes,818,80,24
10040,yes,819,80,24
10040,yes,820,80,24
10040,yes,821,80,24
10040,yes,822,80,24
10040,yes,823,80,24
10040,yes,824,80,24
10040,yes,825,80,24
10040,yes,826,80,24
10043,yes,827,82,25
10043,yes,828,82,25
10043,yes,829,82,25
10043,yes,830,82,25
10043,yes,831,82,25
10043,yes,832,82,25
10043,yes,833,82,25
10043,yes,834,82,25
10043,yes,835,82,25
10043,yes,836,82,25
10043,yes,837,82,25
10043,yes,838,82,25
10043,yes,839,82,25
10043,yes,840,82,25
10043,yes,841,82,25
10043,yes,842,82,25
10043,yes,843,82,25
10043,yes,844,82,25
10043,yes,845,82,25
10043,yes,846,82,25
10043,yes,847,82,25
10043,yes,848,82,25
10043,yes,849,82,25
10043,yes,850,82,25
10043,yes,851,82,25
10044,yes,852,83,23
10044,yes,853,83,23
10044,yes,854,83,23
10044,yes,855,83,23
10044,yes,856,83,23
10044,yes,857,83,23
10044,yes,858,83,23
1xx44,yes,859,84,1
10044,yes,860,83,23
10044,yes,861,83,23
10044,yes,862,83,23
10044,yes,863,83,23
10044,yes,864,83,23
10044,yes,865,83,23
10044,yxs,866,85,1
10044,yes,867,83,23
10044,yes,868,83,23
10044,yes,869,83,23
10044,yes,870,83,23
10044,yes,871,83,23
10044,yes,872,83,23
10044,yes,873,83,23
10044,yes,874,83,23
10044,yes,875,83,23
10044,yes,876,83,23
10045,yes,877,86,22
1xx45,yes,878,87,1
10045,yes,879,86,22
10045,yes,880,86,22
10045,yes,881,86,22
10045,yes,882,86,22
10045,yes,883,86,22
10045,yes,884,86,22
10045,yes,885,86,22
10045,yes,886,86,22
10045,yes,887,86,22
x0045,yes,888,88,1
10045,yex,889,89,1
10045,yes,890,86,22
10045,yes,891,86,22
10045,yes,892,86,22
10045,yes,893,86,22
10045,yes,894,86,22
10045,yes,895,86,22
10045,yes,896,86,22
10045,yes,897,86,22
10045,yes,898,86,22
10045,yes,899,86,22
10045,yes,900,86,22
10045,yes,901,86,22
10046,yes,902,90,26
10046,yes,903,90,26
10046,yes,904,90,26
10046,yes,905,90,26
10046,yes,906,90,26
10046,yes,907,90,26
10046,yes,908,90,26
10046,yes,909,90,26
10046,yes,910,90,26
10046,yes,911,90,26
10046,yes,912,90,26
10046,yes,913,90,26
10046,yes,914,90,26
10046,yes,915,90,26
10046,yes,916,90,26
10046,yes,917,90,26
10046,yes,918,90,26
10046,yex,919,91,1
10046,yes,920,90,26
10046,yxs,921,92,1
10046,yes,922,90,26
10046,yes,923,90,26
10046,yes,924,90,26
10046,yes,925,90,26
10046,yes,926,90,26
10046,yes,927,90,26
10046,yes,928,90,26
10046,yes,929,90,26
10047,no,930,93,24
10047,no,931,93,24
10047,no,932,93,24
1xx47,no,933,94,1
10047,no,934,93,24
10047,no,935,93,24
10047,no,936,93,24
10047,no,937,93,24
10047,no,938,93,24
10047,no,939,93,24
10047,no,940,93,24
10047,no,941,93,24
10047,no,942,93,24
10047,no,943,93,24
10047,no,944,93,24
10047,no,945,93,24
10047,no,946,93,24
10047,no,947,93,24
10047,no,948,93,24
10047,no,949,93,24
10047,no,950,93,24
10047,no,951,93,24
10047,no,952,93,24
10047,no,953,93,24
10047,no,954,93,24
1004x,yes,955,95,1
10049,yes,956,96,24
10049,yes,957,96,24
10049,yes,958,96,24
10049,yes,959,96,24
10049,yes,960,96,24
10049,yes,961,96,24
10049,yes,962,96,24
10049,yes,963,96,24
10049,yes,964,96,24
10049,yes,965,96,24
10049,yes,966,96,24
10049,yes,967,96,24
10049,yes,968,96,24
10049,yes,969,96,24
10049,yes,970,96,24
10049,yes,971,96,24
10049,yes,972,96,24
10049,yes,973,96,24
10049,yes,974,96,24
10049,yes,975,96,24
10049,yes,976,96,24
10049,yes,977,96,24
10049,yes,978,96,24
10049,yes,979,96,24
10050,yes,980,97,20
10050,yes,981,97,20
10050,yes,982,97,20
10050,yes,983,97,20
10050,yes,984,97,20
10050,yes,985,97,20
10050,yes,986,97,20
10050,yes,987,97,20
10050,yes,988,97,20
10050,yes,989,97,20
10050,yes,990,97,20
10050,yes,991,97,20
10050,yes,992,97,20
10050,yes,993,97,20
10050,yes,994,97,20
10050,yes,995,97,20
10050,yes,996,97,20
10050,yes,997,97,20
10050,yes,998,97,20
10050,yes,999,97,20
