Condition,MeasureCode,original_index,unique_index,count
pneumonia,pn-3b,131,22,38
pneumonia,pn-4,132,23,37
pneumonia,pn-5c,133,24,37
pneumonia,pn-6,134,25,36
pneumonia,pn-7,135,26,40
surgical infection prevention,scip-card-2,136,0,36
surgical infection prevention,scip-inf-1,137,1,38
surgical infection prevention,scip-inf-2,138,2,37
surgical infection prevention,scip-inf-3,139,3,36
surgical infection prevention,scip-inf-4,140,4,35
surgical infection prevention,scip-inf-6,141,5,37
surgical infection prevention,scip-vte-1,142,6,36
surgical infection prevention,scip-vte-2,143,7,38
heart attack,ami-1,144,8,36
heart attack,ami-2,145,9,38
heart attack,ami-3,146,10,38
heart attack,ami-4,147,11,36
heart attack,ami-5,148,12,37
heart attack,ami-7a,149,13,38
heart attack,ami-8a,150,14,38
heart failure,hf-1,151,15,34
heart failure,hf-2,152,16,37
heart failure,hf-3,153,17,40
heart failure,hf-4,154,18,38
pneumonia,pn-2,155,21,40
pneumonia,pn-3b,156,22,38
pneumonia,pn-4,157,23,37
pneumonia,pn-5c,158,24,37
pneumonia,pn-6,159,25,36
pneumonia,pn-7,160,26,40
surgical infection prevention,scip-card-2,161,0,36
surgical infection prevention,scip-inf-1,162,1,38
surgical infection prevention,scip-inf-2,163,2,37
surgical infection prevention,scip-inf-3,164,3,36
surgical infection prevention,scip-inf-4,165,4,35
surgical infection prevention,scip-inf-6,166,5,37
surgical infection prevention,scip-vte-1,167,6,36
surgical infection prevention,scip-vte-2,168,7,38
heart attack,ami-1,169,8,36
heart attack,ami-2,170,9,38
heart attack,ami-3,171,10,38
heart attack,ami-4,172,11,36
heart attack,ami-5,173,12,37
heart attack,ami-7a,174,13,38
heart attack,ami-8a,175,14,38
heart failure,hf-1,176,15,34
heart failure,hf-x,177,33,1
heart failure,hf-3,178,17,40
heart failure,hf-4,179,18,38
pneumonia,pn-2,180,21,40
pneumonia,pn-3b,181,22,38
pneumonia,pn-4,182,23,37
pneumonia,pn-5c,183,24,37
pneumonia,pn-6,184,25,36
pneumonia,pn-7,185,26,40
surgical infection prevention,scip-card-2,186,0,36
surgical infection prevention,scip-inf-1,187,1,38
surgical infection prevention,scip-inf-2,188,2,37
surgical infection prevention,scip-inf-3,189,3,36
surgical infection prevention,scip-inx-4,190,34,1
surgical infection prevention,scip-inf-6,191,5,37
surgical infection prevention,scip-vte-1,192,6,36
surgical infection prevention,scip-vte-2,193,7,38
heart attack,ami-1,194,8,36
heart attack,ami-2,195,9,38
heart attack,ami-3,196,10,38
heart attack,ami-4,197,11,36
heart attack,ami-5,198,12,37
heaxt attack,ami-7a,199,35,1
heart attack,ami-8a,200,14,38
heart failure,hf-1,201,15,34
heart failure,hf-2,202,16,37
heart failure,hf-3,203,17,40
heart failure,hf-4,204,18,38
pneumonia,pn-2,205,21,40
pneumonia,pn-3b,206,22,38
pneumonia,pn-4,207,23,37
pneumonia,pn-5c,208,24,37
pneumonia,pn-6,209,25,36
pneumonia,pn-7,210,26,40
surgical infection prevention,scip-card-2,211,0,36
surgical infection prevention,scip-inf-1,212,1,38
surgical infection prevention,scip-inf-2,213,2,37
surgical infection prevention,scip-inf-3,214,3,36
surgical infection prevention,scip-inf-4,215,4,35
surgical infection prevention,scip-inf-6,216,5,37
surgical infection prevention,scip-vte-1,217,6,36
surgical infection prevention,scip-vte-2,218,7,38
heart attack,ami-1,219,8,36
heart attack,ami-2,220,9,38
heart attack,ami-3,221,10,38
heart attack,ami-4,222,11,36
heart attack,ami-5,223,12,37
heart attack,ami-7a,224,13,38
hexrt attxck,ami-8a,225,36,1
heart failure,hf-1,226,15,34
heart failure,hf-2,227,16,37
heart failure,hf-3,228,17,40
heart faxlure,hf-4,229,37,1
pneumonia,pn-2,230,21,40
pneumonia,pn-3b,231,22,38
pneumonia,pn-4,232,23,37
pneumonia,pn-5c,233,24,37
pneumonia,pn-6,234,25,36
pneumonia,pn-7,235,26,40
suxgical infection pxevention,scip-card-2,236,38,2
surgical infection prevention,scip-inf-1,237,1,38
surgical infection prevention,scip-inf-2,238,2,37
surgxcal infectxon preventxon,scip-inf-3,239,39,1
surgical infection prevention,scip-inf-4,240,4,35
surgical infection prevention,scip-inf-6,241,5,37
surgical infection prevention,scip-vte-1,242,6,36
surgical infection prevention,scip-vte-2,243,7,38
heart attack,ami-1,244,8,36
heart attack,ami-2,245,9,38
heart attack,ami-3,246,10,38
heart attack,ami-4,247,11,36
heart attack,ami-5,248,12,37
heart attack,ami-7a,249,13,38
heart attack,ami-8a,250,14,38
heart failure,hf-1,251,15,34
heart failure,hf-2,252,16,37
heart failure,hf-3,253,17,40
heart failure,hf-4,254,18,38
pneumonia,pn-2,255,21,40
xneumonia,pn-3b,256,40,1
pneumonia,pn-4,257,23,37
pneumonia,pn-5c,258,24,37
pneumonia,pn-6,259,25,36
pneumonia,pn-7,260,26,40
surgical infection prevention,scip-card-2,261,0,36
surgical infection prevention,scip-inf-1,262,1,38
surgical infection prevention,scip-inf-2,263,2,37
surgical infection prevention,scxp-xnf-3,264,41,1
surgical infection prevention,scip-inf-4,265,4,35
surgical infection prevention,scip-inf-6,266,5,37
surgical infection prevention,scip-vte-1,267,6,36
surgical infection prevention,scip-vte-2,268,7,38
heart attack,ami-1,269,8,36
heart attack,ami-2,270,9,38
heart attack,ami-3,271,10,38
heart attack,ami-4,272,11,36
heart attack,ami-5,273,12,37
heart attack,ami-7a,274,13,38
heart attack,ami-8a,275,14,38
heart failure,hf-1,276,15,34
heart failure,hf-2,277,16,37
heart failure,hf-3,278,17,40
xeart failure,hf-4,279,42,1
pneumonia,pn-2,280,21,40
pneumonia,pn-3b,281,22,38
pneumonia,pn-4,282,23,37
pneumonia,pn-5c,283,24,37
pneumonia,pn-6,284,25,36
pneumonia,pn-7,285,26,40
surgical infection prevention,scip-card-2,286,0,36
surgical infection prevention,scip-inf-1,287,1,38
surgical infection prevention,scip-inf-2,288,2,37
surgical infection prevention,scip-inf-3,289,3,36
surgical infection prevention,scip-inf-4,290,4,35
surgical infection prevention,scip-inf-6,291,5,37
surgical infection prevention,scip-vte-1,292,6,36
surgical infection prevention,scip-vte-2,293,7,38
heart attack,ami-1,294,8,36
heart attack,ami-2,295,9,38
heart attack,ami-3,296,10,38
heart attack,ami-4,297,11,36
heart attack,ami-5,298,12,37
heart attack,ami-7a,299,13,38
heart attack,ami-8a,300,14,38
heart failure,hf-1,301,15,34
heart failure,hf-2,302,16,37
heart failure,hf-3,303,17,40
heart failure,hf-4,304,18,38
pneumonia,pn-2,305,21,40
pneumonia,pn-3b,306,22,38
pneumonia,pn-4,307,23,37
pneumonia,pn-5c,308,24,37
pneumonia,pn-6,309,25,36
pneumonia,pn-7,310,26,40
children s asthma care,cac-2,311,43,3
children s asthma care,cac-3,312,44,3
heart attack,ami-1,313,8,36
heart attack,ami-2,314,9,38
heart attack,ami-3,315,10,38
heart attack,ami-4,316,11,36
heart attack,ami-5,317,12,37
heart attack,ami-7a,318,13,38
heart attack,ami-8a,319,14,38
heart failure,hf-1,320,15,34
heart failure,hf-2,321,16,37
heart failure,hf-3,322,17,40
heart failure,hf-4,323,18,38
pneumonia,pn-2,324,21,40
pneumonia,pn-3b,325,22,38
pneumonia,pn-4,326,23,37
pneumonia,pn-5c,327,24,37
pneumonia,pn-6,328,25,36
pneumonia,pn-7,329,26,40
surgical infection prevention,scip-card-2,330,0,36
heart failure,hf-2,331,16,37
heart failure,hf-3,332,17,40
heart failure,hf-4,333,18,38
pneumonia,pn-2,334,21,40
pneumonia,pn-3b,335,22,38
pneumonia,pn-4,336,23,37
pneumonia,pn-5c,337,24,37
pneumonia,pn-6,338,25,36
pneumonia,pn-7,339,26,40
surgical infection prevention,scip-card-2,340,0,36
surgical infection prevention,scip-inf-1,341,1,38
surgical infection prevention,scip-inf-2,342,2,37
surgical infection prevention,scip-inf-3,343,3,36
surgical infection prevention,scip-inf-4,344,4,35
surgical infection prevention,scip-inf-6,345,5,37
surgical infection prevention,scip-vte-1,346,6,36
surgical infection prevention,scip-vte-2,347,7,38
heart attack,ami-1,348,8,36
heart attack,amix2,349,45,1
heart attack,ami-3,350,10,38
heart attack,ami-4,351,11,36
heart attack,ami-5,352,12,37
surgical infection prevention,scip-vte-2,353,7,38
heart attack,ami-1,354,8,36
heart attack,ami-2,355,9,38
heart attack,ami-3,356,10,38
heart attack,ami-4,357,11,36
heart attack,ami-5,358,12,37
heart attack,ami-7a,359,13,38
heart attack,ami-8a,360,14,38
heart failure,hf-1,361,15,34
heart failure,hf-2,362,16,37
heart failure,hf-3,363,17,40
heart failure,hf-4,364,18,38
pneumonia,pn-2,365,21,40
pnxumonia,pn-3b,366,46,1
pneumonia,pn-4,367,23,37
pneumonia,pn-5c,368,24,37
pnexmonia,pn-6,369,47,1
pneumonia,pn-7,370,26,40
surgical infection prevention,scip-card-2,371,0,36
surgical infection prevention,scip-inf-1,372,1,38
surgical infection prevention,scip-inf-2,373,2,37
surgical infection prevention,scip-inf-3,374,3,36
surgical infection prevention,scip-inf-4,375,4,35
surgical infection prevention,scip-inf-6,376,5,37
surgical infection prevention,scip-vte-1,377,6,36
surgical infection prevention,scip-vte-2,378,7,38
heart attack,ami-1,379,8,36
heart attack,ami-2,380,9,38
heart attack,ami-3,381,10,38
heart attack,ami-4,382,11,36
heart attack,ami-5,383,12,37
heart attack,ami-7a,384,13,38
heart attack,ami-8a,385,14,38
hxart failurx,hf-1,386,48,1
heart failure,hf-2,387,16,37
heart failure,hf-3,388,17,40
heart failure,hf-4,389,18,38
pneumonia,pn-2,390,21,40
pneumonia,pn-xb,391,49,1
heart attack,ami-2,392,9,38
heart attack,ami-3,393,10,38
heart attack,ami-4,394,11,36
heart attack,ami-5,395,12,37
heart attack,ami-7a,396,13,38
heart attack,ami-8a,397,14,38
heart failure,hx-1,398,50,1
heart failure,hf-2,399,16,37
hxart failurx,hf-3,400,51,1
heart failure,hf-4,401,18,38
pneumonia,pn-2,402,21,40
pneumonia,pn-3b,403,22,38
pneumonia,pn-4,404,23,37
pneumonia,pn-5c,405,24,37
pneumonia,pn-6,406,25,36
pneumonia,pn-7,407,26,40
surgical infection prevention,scip-card-2,408,0,36
surgical infection prevention,scipxinfx1,409,52,1
surgical infection prevention,scip-inf-2,410,2,37
surgical infection prevention,scip-inf-3,411,3,36
surgical infection prevention,scip-vte-1,412,6,36
surgical infection prevention,scip-vte-2,413,7,38
heart attack,ami-1,414,8,36
heart attack,ami-2,415,9,38
heart attack,ami-3,416,10,38
heart attack,ami-4,417,11,36
heart attack,ami-5,418,12,37
heart attack,ami-7a,419,13,38
heart attack,ami-8a,420,14,38
heart failure,hf-1,421,15,34
heart failure,hf-2,422,16,37
heart failure,hf-3,423,17,40
heart failure,hf-4,424,18,38
pneumonia,pn-2,425,21,40
pneumonia,pn-3b,426,22,38
pneumonia,pn-4,427,23,37
pneumonia,pn-5c,428,24,37
pneumonia,pn-6,429,25,36
pneumonia,pn-7,430,26,40
surgical infection prevention,scip-card-2,431,0,36
heart failure,hf-1,432,15,34
heart failure,hf-2,433,16,37
heart failure,hf-3,434,17,40
heart failure,hf-4,435,18,38
pneumonia,pn-2,436,21,40
pneumonia,pn-3b,437,22,38
pneumonia,pn-4,438,23,37
pneumonia,pn-5c,439,24,37
pneumonia,pn-6,440,25,36
pneumonia,pn-7,441,26,40
surgical infection prevention,scip-card-2,442,0,36
surgical infection prevention,scip-inf-1,443,1,38
surgical infection prevention,scip-inf-2,444,2,37
surgical infection prevention,scip-inf-3,445,3,36
surgical infection prevention,scip-inf-4,446,4,35
surgical infection prevention,scip-inf-6,447,5,37
surgical infection prevention,scip-vte-1,448,6,36
surgical infection prevention,scip-vte-2,449,7,38
heart attack,ami-1,450,8,36
heart attack,ami-2,451,9,38
pneumonia,pn-2,452,21,40
pneumonia,pn-3b,453,22,38
pneumonia,pn-4,454,23,37
pneumonia,pn-5c,455,24,37
pneumonia,pn-6,456,25,36
pneumonia,pn-7,457,26,40
surgical infection prevention,scip-card-2,458,0,36
surgical infection prevention,scip-inf-1,459,1,38
surgical infection prevention,scip-inf-2,460,2,37
surgical infection prevention,scip-inf-3,461,3,36
surgical infection prevention,scip-inf-4,462,4,35
surgical infection prevention,scip-inf-6,463,5,37
surgical infection prevention,sxip-vte-1,464,53,1
surgical infection prevention,scip-vte-2,465,7,38
heart attack,ami-1,466,8,36
hexrt attxck,ami-2,467,54,1
heart attack,ami-3,468,10,38
heart attack,ami-4,469,11,36
heart attack,ami-5,470,12,37
heart attack,ami-7a,471,13,38
heart attack,ami-8a,472,14,38
heart failure,hf-1,473,15,34
heart failure,hf-2,474,16,37
heart failure,hf-3,475,17,40
heart failure,hf-4,476,18,38
pneumonia,pn-2,477,21,40
pneumonia,pn-3b,478,22,38
pneumonia,pn-4,479,23,37
pneumonia,pn-5c,480,24,37
pneumonia,pn-6,481,25,36
pneumonia,pn-7,482,26,40
surgical infection prevention,scip-card-2,483,0,36
surgical infection prevention,scip-inf-1,484,1,38
surgical infection prevention,scip-inf-2,485,2,37
surgical infection prevention,scip-inf-3,486,3,36
surgical infection prevention,scip-inf-4,487,4,35
surgical infection prevention,scip-inf-6,488,5,37
surgical infection prevention,scip-vte-1,489,6,36
surgical infection prevention,scip-vte-2,490,7,38
heart attack,ami-1,491,8,36
heart attack,ami-2,492,9,38
heart attack,ami-3,493,10,38
heart attack,ami-4,494,11,36
heart attack,ami-x,495,55,1
heart attack,ami-7a,496,13,38
heart attack,ami-8a,497,14,38
heart failure,hf-1,498,15,34
heart failure,hf-2,499,16,37
heart failure,hf-3,500,17,40
heart failure,hf-4,501,18,38
pneumonia,pn-2,502,21,40
pneumonia,pn-3b,503,22,38
pneumonia,pn-4,504,23,37
pneumonia,pn-5c,505,24,37
pneumonix,pn-6,506,56,1
pneumonia,pn-7,507,26,40
surgical infection prevention,scip-card-2,508,0,36
surgical infection prevention,scip-inf-1,509,1,38
surgical infection prevention,scip-inf-2,510,2,37
surgical infection prevention,scip-inf-3,511,3,36
surgical infection prevention,scip-inf-4,512,4,35
surgical infection prevention,scip-inf-6,513,5,37
surgical infection prevention,scip-vte-1,514,6,36
surgical infection prevention,scip-vte-2,515,7,38
heart attack,ami-1,516,8,36
heart attack,ami-2,517,9,38
heart attack,ami-3,518,10,38
heart attack,ami-4,519,11,36
heart attack,ami-5,520,12,37
heart attack,ami-7a,521,13,38
heart attack,ami-8a,522,14,38
heart failure,hf-1,523,15,34
heart failure,hf-2,524,16,37
heart failure,hf-3,525,17,40
heart failure,hf-4,526,18,38
pneumonia,pn-2,527,21,40
pneumonia,pn-3b,528,22,38
pneumonia,pn-4,529,23,37
pneumonia,pn-5c,530,24,37
pneumonia,pn-6,531,25,36
pneumonia,pn-7,532,26,40
surgical infection prevention,scip-card-2,533,0,36
surgical infection prevention,scip-inf-1,534,1,38
surgical infection prevention,scip-inf-2,535,2,37
surgical infection prevention,scip-inf-3,536,3,36
surgical infection prevention,scip-inf-4,537,4,35
surgical infection prevention,scip-inf-6,538,5,37
surgical infection prevention,scip-vte-1,539,6,36
surgical infection prevention,scip-vte-2,540,7,38
heart attack,ami-1,541,8,36
heart attack,ami-2,542,9,38
heart attack,ami-3,543,10,38
heart attack,ami-4,544,11,36
heart attack,ami-5,545,12,37
heart attack,ami-7a,546,13,38
heart attack,ami-8a,547,14,38
heart failure,hf-1,548,15,34
heart failure,hf-2,549,16,37
heart failure,hf-3,550,17,40
heart failure,hf-4,551,18,38
pneumonia,pn-2,552,21,40
pneumonia,pn-3b,553,22,38
pneumonia,pn-4,554,23,37
pxeumoxia,pn-5c,555,57,1
pneumonia,pn-6,556,25,36
pneumonia,pn-7,557,26,40
surgical infection prevention,scip-card-2,558,0,36
surgical infection prevention,scip-inf-1,559,1,38
surgical infection prevention,scip-inf-2,560,2,37
surgical infection prevention,scip-inf-3,561,3,36
surgical infection prevention,scip-inf-4,562,4,35
surgical infection prevention,scip-inf-6,563,5,37
surgical infection prevention,scip-vte-1,564,6,36
surgical infection prevention,scip-vte-2,565,7,38
heart attack,ami-1,566,8,36
heart attack,ami-2,567,9,38
heart attack,ami-3,568,10,38
heart attack,ami-4,569,11,36
heart attack,ami-5,570,12,37
heart attack,ami-7a,571,13,38
heart attack,ami-8a,572,14,38
heart failure,hf-1,573,15,34
heart failure,hf-2,574,16,37
heart failure,hf-3,575,17,40
heart failure,hf-4,576,18,38
pneumonia,pn-2,577,21,40
pneumonia,pn-3b,578,22,38
pneumonia,pn-4,579,23,37
pneumonia,px-5c,580,58,1
pneumonia,pn-6,581,25,36
pneumonia,pn-7,582,26,40
surgical infection prevention,scip-card-2,583,0,36
surgical infection prevention,scip-inf-1,584,1,38
surgical infection prevention,scip-inf-2,585,2,37
surgical infection prevention,scip-inf-3,586,3,36
surgical infection prevention,scip-inf-4,587,4,35
surgical infection prevention,scip-inf-6,588,5,37
surgical infection prevention,scip-vte-1,589,6,36
surgical infection prevention,scip-vte-2,590,7,38
heart attack,ami-1,591,8,36
heart attack,ami-2,592,9,38
heart attack,ami-3,593,10,38
heart attack,ami-4,594,11,36
heart attack,ami-5,595,12,37
heart attack,ami-7a,596,13,38
heart attack,ami-8a,597,14,38
heart failure,hf-1,598,15,34
heart faixure,hf-2,599,59,1
heart failure,hf-3,600,17,40
heart failure,hf-4,601,18,38
pneumonia,pn-2,602,21,40
pneumonia,pn-3b,603,22,38
pneumonia,pn-4,604,23,37
pneumonia,pn-5c,605,24,37
pneumonia,pn-6,606,25,36
pneumonia,pn-7,607,26,40
surgical ixfectiox prevextiox,scip-card-2,608,60,2
surgical infection prevention,scip-inf-1,609,1,38
surgical infection prevention,scip-inf-2,610,2,37
surgical infection prevention,scip-inf-3,611,3,36
surgical infection prevention,scip-inf-4,612,4,35
surgical infection prevention,scip-inf-6,613,5,37
surgical infection prevention,scip-vte-1,614,6,36
surgical infection prevention,scip-vte-2,615,7,38
heart attack,ami-1,616,8,36
heart attack,ami-2,617,9,38
heart attack,ami-3,618,10,38
heart attack,ami-4,619,11,36
heart attack,ami-5,620,12,37
heart attack,ami-7a,621,13,38
heart attack,ami-8a,622,14,38
heart failure,hf-1,623,15,34
heart failure,hf-2,624,16,37
heart failure,hf-3,625,17,40
heart failure,hf-4,626,18,38
pneumonia,pn-2,627,21,40
pneumonia,pn-3b,628,22,38
pneumonia,pn-4,629,23,37
pneumonia,pn-5c,630,24,37
pneumonxa,pn-6,631,61,1
pneumonia,pn-7,632,26,40
surgical infection prevention,scip-card-2,633,0,36
surgical infection prevention,scip-inf-1,634,1,38
surgical infection prevention,scip-inf-2,635,2,37
surgical infection prevention,scip-inf-3,636,3,36
surgical infection prevention,scip-inf-4,637,4,35
surgical infection prevention,scip-inf-6,638,5,37
surgical infection prevention,scip-vtx-1,639,62,1
surgical infection prevention,scip-vte-2,640,7,38
heart attack,ami-1,641,8,36
heart attack,ami-2,642,9,38
heart attack,ami-3,643,10,38
heart attack,ami-4,644,11,36
heart attack,ami-5,645,12,37
heart attack,ami-7a,646,13,38
heart attack,ami-8a,647,14,38
heart failure,hfx1,648,29,2
heart failure,hf-2,649,16,37
heart failure,hf-3,650,17,40
heart failure,hf-4,651,18,38
pneumonia,pn-2,652,21,40
pneumonia,pn-3b,653,22,38
pneumonia,pn-4,654,23,37
pneumonia,pn-5c,655,24,37
pneumonia,pn-6,656,25,36
pneumonia,pn-7,657,26,40
surgical infection prevention,scip-card-2,658,0,36
surgical infection prevention,scip-inf-1,659,1,38
surgical infection prevention,scip-inf-2,660,2,37
surgical infection prevention,scip-inf-3,661,3,36
surgical infection prevention,scip-inf-4,662,4,35
surgical infection prevention,scip-inf-6,663,5,37
surgical infection prevention,scip-vte-1,664,6,36
surgical infection prevention,scip-vte-2,665,7,38
heart attack,ami-1,666,8,36
heart attack,ami-2,667,9,38
heart attack,ami-3,668,10,38
heart attack,ami-4,669,11,36
heart attack,ami-5,670,12,37
heart attack,ami-7a,671,13,38
heart attack,ami-8a,672,14,38
heart failure,xf-1,673,63,1
heart failure,hf-2,674,16,37
heart failure,hf-3,675,17,40
heart failure,hfx4,676,64,1
pneumonia,pn-2,677,21,40
pneumonia,pn-3b,678,22,38
xneumonia,pn-4,679,65,1
pneumonia,pn-5c,680,24,37
pneumonia,pn-6,681,25,36
pneumonia,pn-7,682,26,40
surgical infection prevention,scip-card-2,683,0,36
surgical infection prevention,scip-inf-1,684,1,38
surgical infection prevention,scip-inf-2,685,2,37
surgical infection prevention,scip-inf-3,686,3,36
surgical infection prevention,scip-inf-4,687,4,35
surgical infection prevention,scip-inf-6,688,5,37
surgical infection prevention,scip-vte-1,689,6,36
surgical infection prevention,scip-vte-2,690,7,38
heart attack,amix1,691,66,2
heart attack,ami-2,692,9,38
heart attack,ami-3,693,10,38
heart attack,amx-4,694,67,1
heart attaxk,ami-5,695,68,1
heart attack,ami-7a,696,13,38
heart attack,ami-8a,697,14,38
hexrt fxilure,hf-1,698,69,1
heart failure,hf-2,699,16,37
heart failure,hf-3,700,17,40
heart failure,hf-4,701,18,38
pneumonia,pn-2,702,21,40
pneumonia,pn-3b,703,22,38
pneumonia,pn-4,704,23,37
pneumonia,pn-5c,705,24,37
pneumonia,pn-6,706,25,36
pneumonia,pn-7,707,26,40
surgical infection prevention,scip-card-2,708,0,36
surgical infection prevention,scip-inf-1,709,1,38
surgical infection prevention,scip-inf-2,710,2,37
surgical infection prevention,scip-inf-3,711,3,36
surgical infection xrevention,scip-inf-4,712,70,1
surgical infection prevention,scip-inf-6,713,5,37
surgical infection prevention,scip-vte-1,714,6,36
surgical infection prevention,scip-vte-2,715,7,38
heartxattack,ami-1,716,71,1
heart attack,ami-2,717,9,38
heart attack,amx-3,718,72,1
heart attack,ami-4,719,11,36
heart attack,ami-5,720,12,37
heart attack,ami-7a,721,13,38
heart attack,ami-8a,722,14,38
heart failure,hf-1,723,15,34
heart failure,hf-2,724,16,37
heart failure,hf-3,725,17,40
heart failure,hf-4,726,18,38
pneumonia,pn-2,727,21,40
pneumonia,pn-3b,728,22,38
pneumonia,px-4,729,73,2
pneumonia,pn-5c,730,24,37
pneumonia,pn-6,731,25,36
pneumonia,pn-7,732,26,40
suxgical infection pxevention,scip-card-2,733,38,2
surgical infection prevention,scip-inf-1,734,1,38
surgical infection prevention,scix-inf-2,735,74,1
surgical infection prevention,scip-inf-3,736,3,36
surgical infection prevention,scip-inf-4,737,4,35
surgical infection prevention,scip-inf-6,738,5,37
surgical infection prevention,scip-vte-1,739,6,36
surgical infection prevention,scip-vte-2,740,7,38
heart attack,ami-1,741,8,36
heart attack,ami-2,742,9,38
heart attack,ami-3,743,10,38
heart attack,ami-4,744,11,36
heart attack,ami-5,745,12,37
heart attack,ami-7a,746,13,38
heart attack,ami-8a,747,14,38
heart failure,hf-1,748,15,34
heart failure,hx-2,749,75,1
heart failure,hf-3,750,17,40
heart failure,hf-4,751,18,38
pneumonia,pn-2,752,21,40
