article_jvolumn,article_jcreated_at,original_index,unique_index
2.0,12/1/06,86,83
4.0,1/1/12,87,84
64.0,1/1/99,88,85
46.0,1/1/08,89,86
10.0,3/1/09,90,87
27.0,1/1/10,91,88
1.0,1/1/99,92,89
37.0,1/1/11,93,90
19.0,1/1/13,94,91
3.0,1/1/07,95,92
64.0,1/1/09,96,93
71.0,1/1/92,97,94
283.0,9/1/02,98,95
92.0,1/1/92,99,96
0.0,,100,46
15.0,1/1/14,101,97
24.0,1/1/15,102,98
92.0,8/1/09,103,99
73.0,4/1/14,104,100
15.0,3/1/06,105,101
52.0,1/1/12,106,102
39.0,1/1/12,107,103
3.0,4/1/03,108,104
,1/1/00,109,105
63.0,9/1/14,110,106
3.0,1/1/13,111,107
103.0,1/1/07,112,108
38.0,1/1/11,113,109
28.0,4/1/01,114,110
0.0,,115,46
41.0,1/1/76,116,111
13.0,1/1/10,117,112
11.0,,118,113
0.0,1/1/66,119,114
85.0,11/1/96,120,115
106.0,2/1/12,121,116
13.0,1/1/13,122,117
6.0,1/1/13,123,118
21.0,1/1/11,124,119
27.0,5/1/12,125,120
14.0,1/1/11,126,121
5.0,1/1/08,127,122
10.0,4/1/99,128,123
11.0,,129,113
61.0,1/1/13,130,124
68.0,6/1/03,131,125
0.0,,132,46
0.0,,133,46
143.0,1/1/05,134,126
55.0,12/1/00,135,127
43.0,11/1/14,136,128
23.0,1/1/05,137,129
35.0,1/1/14,138,130
17.0,1/1/14,139,131
89.0,1/1/11,140,132
137.0,1/1/09,141,133
0.0,1/1/11,142,134
30.0,1/1/05,143,135
18.0,3/1/07,144,136
21.0,1/1/12,145,137
94.0,,146,138
20.0,1/1/14,147,139
6.0,8/1/65,148,140
52.0,5/1/04,149,141
18.0,1/1/07,150,142
50.0,10/1/12,151,143
149.0,5/28/05,152,144
27.0,1/1/99,153,145
4.0,1/1/76,154,146
137.0,6/30/07,155,147
73.0,1/1/09,156,148
18.0,12/1/13,157,149
80.0,1/1/13,158,150
18.0,1/1/14,159,151
19.0,,160,152
8.0,5/1/14,161,153
30.0,1/1/14,162,154
24.0,1/1/11,163,155
3.0,1/1/95,164,156
45.0,1/1/07,165,157
15.0,1/1/10,166,158
2.0,8/1/08,167,159
0.0,1/1/13,168,160
0.0,,169,46
23.0,7/1/06,170,161
12.0,1/1/05,171,162
34.0,12/1/14,172,163
8.0,1/1/93,173,164
27.0,1/1/02,174,165
850.0,6/30/98,175,166
669.0,1/1/92,176,167
17.0,1/1/09,177,168
69.0,1/1/14,178,169
36.0,10/1/13,179,170
0.0,1/1/14,180,171
,2/17/10,181,172
0.0,,182,46
37.0,1/1/07,183,173
24.0,1/1/12,184,174
79.0,1/1/12,185,175
0.0,,186,46
16.0,1/1/10,187,176
8.0,1/1/12,188,177
39.0,1/1/01,189,178
40.0,1/1/13,190,179
38.0,1/1/09,191,180
33.0,3/1/06,192,181
98.0,8/2/06,193,182
15.0,1/1/12,194,183
101.0,1/1/09,195,184
,8/13/14,196,185
12.0,1/1/12,197,186
260.0,7/1/14,198,187
18.0,4/1/04,199,188
15.0,12/1/14,200,189
0.0,1/1/13,201,160
25.0,7/1/07,202,190
154.0,1/1/06,203,191
28.0,1/1/13,204,192
64.0,1/1/13,205,193
0.0,,206,46
0.0,,207,46
130.0,1/1/95,208,194
,9/10/15,209,195
72.0,3/1/11,210,196
65.0,1/1/94,211,197
164.0,1/1/02,212,198
0.0,,213,46
84.0,10/1/12,214,199
19.0,1/1/12,215,200
108.0,1/1/93,216,201
10.0,1/1/08,217,202
22.0,1/1/10,218,203
74.0,1/1/06,219,204
22.0,11/1/98,220,205
34.0,1/1/99,221,206
72.0,,222,207
33.0,1/1/09,223,208
0.0,,224,46
0.0,,225,46
154.0,9/1/13,226,209
24.0,6/1/01,227,210
2.0,1/1/06,228,211
0.0,,229,46
54.0,1/1/06,230,212
87.0,7/1/14,231,213
23.0,1/1/09,232,214
207.0,1/1/12,233,215
35.0,1/1/13,234,216
56.0,1/1/12,235,217
4.0,12/1/03,236,218
45.0,2/1/96,237,219
4.0,1/1/14,238,220
44.0,11/1/01,239,221
8.0,1/1/07,240,222
24.0,2/1/12,241,223
4.0,1/1/14,242,220
97.0,,243,224
16.0,1/1/13,244,225
15.0,1/1/13,245,226
16.0,1/1/10,246,176
20.0,12/1/08,247,227
515.0,2/15/13,248,228
7.0,,249,229
35.0,9/1/02,250,230
20.0,1/1/09,251,231
10.0,1/1/11,252,232
1.0,1/1/97,253,233
242.0,3/28/73,254,234
23.0,10/1/13,255,235
34.0,4/1/14,256,236
68.0,1/1/14,257,237
42.0,5/1/14,258,238
23.0,1/1/12,259,239
32.0,10/1/06,260,240
137.0,1/1/75,261,241
44.0,7/1/05,262,242
41.0,1/1/05,263,243
132.0,1/1/07,264,244
57.0,2/1/06,265,245
61.0,7/1/04,266,246
12.0,1/1/15,267,247
19.0,1/1/14,268,248
0.0,1/1/03,269,249
33.0,,270,250
99.0,1/1/10,271,251
173.0,1/1/98,272,252
48.0,1/1/11,273,253
16.0,,274,254
0.0,1/1/11,275,134
0.0,1/1/89,276,255
122.0,5/1/02,277,256
45.0,11/1/11,278,257
0.0,1/1/15,279,258
81.0,8/20/13,280,259
40.0,1/1/11,281,21
245.0,9/1/14,282,260
0.0,1/1/14,283,171
0.0,1/1/07,284,261
7.0,1/1/92,285,262
57.0,10/1/13,286,263
44.0,1/1/14,287,264
7.0,1/1/12,288,16
72.0,1/1/14,289,265
74.0,1/1/96,290,266
7.0,1/1/15,291,267
40.0,2/1/09,292,268
6.0,,293,269
7.0,1/1/11,294,270
35.0,3/1/14,295,271
20.0,1/1/06,296,272
78.0,1/1/91,297,273
189.0,1/1/14,298,274
26.0,11/1/13,299,275
34.0,1/1/04,300,276
127.0,1/1/07,301,277
15.0,1/1/10,302,158
31.0,1/1/02,303,278
118.0,,304,279
86.0,1/1/93,305,280
0.0,,306,46
56.0,1/1/03,307,281
49.0,12/1/01,308,282
147.0,1/1/15,309,283
0.0,,310,46
16.0,1/1/12,311,284
,10/8/15,312,285
0.0,1/1/03,313,249
49.0,1/1/10,314,286
270.0,2/1/14,315,287
22.0,1/1/93,316,288
56.0,1/1/09,317,289
43.0,6/1/04,318,290
24.0,6/1/14,319,291
40.0,1/1/03,320,292
42.0,1/1/13,321,293
41.0,5/1/13,322,294
,1/7/15,323,295
13.0,1/1/06,324,75
0.0,,325,46
18.0,5/1/12,326,296
0.0,,327,46
15.0,1/1/10,328,158
0.0,,329,46
20.0,1/1/13,330,297
26.0,12/1/09,331,298
25.0,1/1/06,332,299
5.0,1/1/07,333,300
13.0,12/1/97,334,301
10.0,9/1/00,335,302
16.0,10/1/05,336,303
53.0,1/1/12,337,304
5.0,1/1/04,338,305
59.0,1/1/78,339,306
,10/9/15,340,307
43.0,1/1/88,341,308
0.0,,342,46
48.0,9/1/09,343,309
0.0,,344,46
9.0,1/1/05,345,310
32.0,6/1/01,346,311
11.0,3/1/09,347,312
33.0,5/1/12,348,313
10.0,1/1/09,349,5
58.0,1/1/12,350,314
75.0,1/1/98,351,315
30.0,1/1/15,352,316
12.0,1/1/12,353,186
29.0,8/1/15,354,317
11.0,1/1/10,355,318
,3/7/15,356,319
50.0,7/1/08,357,320
108.0,1/1/01,358,321
82.0,,359,322
,2/28/14,360,323
25.0,1/1/06,361,299
53.0,2/1/13,362,324
319.0,10/15/13,363,325
43.0,1/1/12,364,326
2014.0,1/1/14,365,327
3.0,1/1/09,366,328
43.0,10/1/94,367,329
41.0,1/1/10,368,330
24.0,1/1/11,369,155
56.0,3/1/84,370,331
161.0,9/2/14,371,332
47.0,1/1/12,372,24
9.0,1/1/14,373,333
16.0,1/1/05,374,334
61.0,7/1/14,375,335
26.0,1/1/15,376,336
7.0,1/1/12,377,16
49.0,1/1/96,378,337
7.0,1/1/04,379,338
102.0,5/1/06,380,339
61.0,9/1/99,381,340
80.0,8/1/05,382,341
9.0,1/1/12,383,342
43.0,1/1/09,384,343
45.0,1/1/85,385,344
21.0,1/1/07,386,345
21.0,1/1/05,387,346
0.0,,388,46
46.0,1/1/12,389,347
19.0,1/1/01,390,348
113.0,2/1/81,391,349
21.0,7/1/08,392,350
29.0,12/1/08,393,351
129.0,1/1/12,394,352
88.0,8/1/12,395,353
62.0,4/1/14,396,354
113.0,1/1/11,397,355
2.0,,398,356
35.0,3/1/14,399,271
4.0,1/1/13,400,357
75.0,2/1/14,401,358
19.0,1/1/14,402,248
35.0,1/1/12,403,359
33.0,2/1/13,404,360
9.0,12/1/98,405,361
119.0,4/1/09,406,362
66.0,7/1/13,407,363
75.0,1/1/04,408,364
147.0,1/1/97,409,365
69.0,1/1/10,410,366
16.0,3/1/06,411,367
46.0,11/1/10,412,368
0.0,1/1/00,413,369
0.0,,414,46
120.0,7/15/14,415,370
24.0,2/1/13,416,371
13.0,3/1/99,417,372
27.0,1/1/04,418,373
0.0,,419,46
4.0,1/1/08,420,374
42.0,1/1/63,421,375
37.0,1/1/12,422,376
32.0,1/1/15,423,377
24.0,1/1/09,424,378
127.0,1/1/95,425,379
0.0,,426,46
9.0,12/1/09,427,380
176.0,8/13/10,428,381
78.0,1/1/97,429,382
110.0,1/1/00,430,383
27.0,1/1/07,431,384
32.0,1/1/11,432,385
143.0,1/1/13,433,386
74.0,1/1/01,434,387
103.0,1/1/08,435,388
14.0,1/1/14,436,389
124.0,1/1/11,437,390
20.0,1/1/15,438,391
86.0,6/17/02,439,392
63.0,,440,393
115.0,4/1/14,441,394
15.0,6/1/14,442,395
13.0,1/1/07,443,396
19.0,1/1/07,444,397
,10/20/14,445,398
7.0,1/1/13,446,399
2007.0,1/1/07,447,400
21.0,5/1/14,448,401
21.0,1/1/03,449,402
42.0,5/1/09,450,403
13.0,9/1/12,451,404
12.0,1/1/10,452,66
3.0,1/1/11,453,405
48.0,1/1/04,454,406
37.0,1/1/07,455,173
28.0,1/1/09,456,63
23.0,12/1/12,457,407
10.0,1/1/09,458,5
69.0,1/1/09,459,408
20.0,1/1/12,460,409
110.0,11/1/13,461,410
17.0,12/1/14,462,411
30.0,1/1/04,463,412
6.0,1/1/13,464,118
49.0,1/1/11,465,413
95.0,1/1/15,466,414
16.0,5/1/11,467,415
21.0,,468,416
21.0,1/1/13,469,417
40.0,1/1/13,470,179
48.0,5/1/09,471,418
348.0,4/3/15,472,419
2013.0,1/1/13,473,420
63.0,7/1/12,474,421
55.0,6/21/10,475,422
155.0,3/1/14,476,423
57.0,8/26/10,477,424
55.0,1/1/11,478,425
43.0,4/1/09,479,426
45.0,1/1/06,480,427
80.0,1/1/99,481,428
18.0,4/1/11,482,429
5.0,6/1/96,483,430
8.0,1/1/99,484,431
49.0,1/1/00,485,432
96.0,3/1/10,486,433
0.0,,487,46
0.0,,488,46
124.0,,489,434
6.0,1/1/14,490,435
33.0,7/1/12,491,436
18.0,9/1/10,492,437
39.0,1/1/07,493,438
16.0,4/1/68,494,439
310.0,8/1/13,495,440
0.0,1/1/10,496,441
29.0,1/1/05,497,442
28.0,1/1/11,498,443
4.0,1/1/04,499,444
169.0,2/12/07,500,445
23.0,1/1/91,501,446
23.0,1/1/11,502,447
70.0,1/1/09,503,448
23.0,,504,449
37.0,3/1/08,505,450
27.0,1/1/00,506,451
20.0,1/1/67,507,452
82.0,1/1/13,508,453
45.0,1/1/13,509,454
14.0,1/1/02,510,455
57.0,6/1/15,511,456
347.0,1/1/13,512,457
79.0,1/1/97,513,458
3.0,,514,459
140.0,4/1/14,515,460
38.0,1/1/11,516,109
26.0,8/1/13,517,461
65.0,10/1/11,518,462
85.0,10/26/05,519,463
18.0,1/1/77,520,464
21.0,1/1/13,521,417
,1/1/00,522,105
73.0,4/1/15,523,465
289.0,10/3/14,524,466
121.0,10/5/08,525,467
58.0,3/1/08,526,468
37.0,1/1/14,527,469
37.0,1/1/14,528,469
10.0,6/1/09,529,470
0.0,,530,46
316.0,5/11/07,531,471
254.0,12/19/13,532,472
,5/22/14,533,473
37.0,5/1/01,534,474
5.0,3/1/00,535,475
0.0,,536,46
34.0,10/1/11,537,476
47.0,1/1/06,538,477
54.0,1/1/04,539,478
184.0,5/1/05,540,479
0.0,,541,46
10.0,1/1/95,542,480
329.0,1/1/04,543,481
0.0,,544,46
44.0,1/1/05,545,482
82.0,1/1/06,546,483
0.0,1/1/14,547,171
147.0,3/1/92,548,484
,7/28/14,549,485
,7/24/15,550,486
67.0,1/1/09,551,487
0.0,,552,46
89.0,1/1/07,553,488
138.0,9/1/12,554,489
36.0,6/1/12,555,490
110.0,1/1/10,556,491
63.0,1/1/13,557,492
0.0,1/1/98,558,493
20.0,10/1/96,559,494
21.0,1/1/11,560,119
6.0,11/1/12,561,495
33.0,1/1/04,562,496
196.0,5/1/10,563,497
0.0,1/1/11,564,134
19.0,2/1/15,565,498
365.0,1/1/05,566,499
29.0,6/29/98,567,500
33.0,1/1/10,568,501
12.0,6/1/00,569,502
37.0,7/1/11,570,503
41.0,1/1/12,571,504
151.0,1/1/12,572,505
62.0,1/1/96,573,506
35.0,3/1/14,574,271
46.0,1/1/05,575,507
9.0,6/1/14,576,508
16.0,1/1/14,577,509
49.0,1/1/08,578,510
29.0,7/1/07,579,511
56.0,6/1/10,580,512
30.0,4/1/14,581,513
20.0,1/1/13,582,297
8.0,1/1/11,583,13
0.0,,584,46
90.0,10/1/09,585,514
26.0,9/1/09,586,515
18.0,12/1/03,587,516
14.0,1/1/13,588,517
43.0,1/1/95,589,518
32.0,1/1/13,590,519
68.0,1/1/14,591,237
0.0,1/1/98,592,493
90.0,1/1/05,593,520
0.0,4/1/05,594,521
15.0,1/1/10,595,158
10.0,10/1/10,596,522
141.0,1/1/02,597,523
24.0,1/1/11,598,155
108.0,1/1/14,599,524
44.0,9/1/15,600,525
32.0,1/1/14,601,526
85.0,8/1/07,602,527
6.0,1/1/12,603,528
85.0,10/1/14,604,529
28.0,1/1/99,605,530
89.0,1/1/09,606,531
57.0,6/15/92,607,532
133.0,12/1/70,608,533
22.0,12/1/03,609,534
28.0,9/1/14,610,535
9.0,10/1/03,611,536
256.0,1/1/86,612,537
21.0,1/1/13,613,417
77.0,4/1/11,614,538
506.0,2/6/14,615,539
24.0,9/1/04,616,540
284.0,1/22/15,617,541
25.0,1/1/08,618,542
17.0,1/1/14,619,131
14.0,1/1/06,620,543
135.0,8/1/10,621,544
32.0,1/1/05,622,545
47.0,1/1/13,623,546
35.0,1/1/11,624,14
31.0,9/1/08,625,547
81.0,5/1/90,626,548
80.0,12/1/01,627,549
7.0,12/1/13,628,550
24.0,1/1/15,629,98
17.0,1/1/11,630,551
91.0,1/1/00,631,552
36.0,1/1/13,632,553
51.0,1/1/12,633,554
0.0,,634,46
25.0,1/1/03,635,555
14.0,1/1/09,636,10
94.0,1/1/09,637,556
22.0,8/1/14,638,557
84.0,1/1/09,639,558
57.0,3/27/14,640,559
15.0,1/1/06,641,560
,11/4/15,642,561
124.0,11/1/11,643,562
76.0,5/1/96,644,563
0.0,,645,46
21.0,3/1/12,646,564
97.0,4/1/90,647,565
20.0,1/1/07,648,566
17.0,4/1/89,649,567
16.0,7/2/08,650,568
53.0,6/1/11,651,569
16.0,1/1/10,652,176
46.0,1/1/15,653,570
5.0,1/1/13,654,571
29.0,1/1/04,655,572
23.0,10/1/08,656,573
46.0,10/1/10,657,574
46.0,3/1/15,658,575
14.0,10/1/13,659,576
108.0,7/1/14,660,577
45.0,1/1/11,661,578
20.0,5/1/11,662,579
9.0,1/1/14,663,333
19.0,5/1/12,664,580
0.0,1/1/15,665,258
15.0,1/1/15,666,581
119.0,2/1/13,667,582
1.0,1/1/08,668,583
18.0,1/1/07,669,142
111.0,1/1/14,670,584
7.0,1/1/11,671,270
86.0,,672,585
151.0,1/1/09,673,586
110.0,10/1/04,674,587
6.0,1/1/11,675,588
25.0,1/1/00,676,589
2.0,1/1/07,677,590
2.0,1/1/10,678,591
137.0,8/1/08,679,592
50.0,3/1/13,680,593
113.0,1/1/13,681,594
28.0,1/1/13,682,192
69.0,9/1/01,683,595
36.0,1/1/10,684,596
32.0,1/1/14,685,526
20.0,1/1/14,686,139
91.0,1/1/09,687,597
108.0,7/1/09,688,598
34.0,1/1/81,689,599
61.0,11/1/06,690,600
26.0,1/1/08,691,601
28.0,1/1/14,692,602
2.0,6/1/97,693,603
18.0,8/1/06,694,604
104.0,1/1/14,695,605
20.0,1/1/96,696,606
36.0,1/1/08,697,607
20.0,1/1/07,698,566
0.0,7/1/00,699,608
126.0,1/1/12,700,609
0.0,1/1/14,701,171
2.0,1/1/15,702,610
0.0,,703,46
2014.0,1/1/14,704,327
29.0,1/1/70,705,611
44.0,6/1/12,706,612
56.0,7/1/02,707,613
64.0,2/1/93,708,614
32.0,1/1/07,709,615
17.0,1/1/01,710,616
0.0,,711,46
12.0,1/1/12,712,186
35.0,1/1/08,713,617
15.0,10/1/13,714,618
12.0,4/1/14,715,619
17.0,1/1/02,716,620
34.0,1/1/14,717,621
114.0,1/1/04,718,622
115.0,1/1/08,719,623
50.0,1/1/12,720,624
91.0,1/1/15,721,625
18.0,1/1/07,722,142
13.0,10/1/12,723,626
0.0,,724,46
0.0,1/1/86,725,627
0.0,,726,46
30.0,1/1/75,727,628
0.0,1/1/01,728,629
14.0,10/1/11,729,630
44.0,1/1/14,730,264
65.0,1/1/08,731,631
66.0,8/1/05,732,632
25.0,1/1/14,733,633
25.0,1/1/09,734,634
29.0,1/1/02,735,635
25.0,1/1/06,736,299
72.0,1/1/10,737,636
28.0,,738,637
44.0,1/1/00,739,638
44.0,1/1/10,740,639
194.0,1/1/98,741,640
23.0,1/1/05,742,129
0.0,,743,46
58.0,1/1/86,744,641
128.0,1/1/13,745,642
0.0,1/1/14,746,171
0.0,,747,46
72.0,1/1/13,748,643
54.0,5/1/11,749,644
65.0,1/1/04,750,645
55.0,8/1/02,751,646
0.0,1/1/05,752,17
1.0,5/1/13,753,647
42.0,1/1/95,754,648
67.0,1/1/10,755,649
28.0,6/1/01,756,650
0.0,,757,46
23.0,,758,449
17.0,,759,651
284.0,1/1/03,760,652
48.0,7/1/07,761,653
240.0,7/1/06,762,654
56.0,1/1/12,763,217
53.0,11/1/13,764,655
32.0,4/1/09,765,656
0.0,,766,46
26.0,9/1/98,767,657
,7/4/14,768,658
9.0,1/1/14,769,333
89.0,9/1/08,770,659
80.0,1/1/01,771,660
106.0,7/1/14,772,661
26.0,11/13/12,773,662
53.0,2/1/82,774,663
158.0,1/1/98,775,664
14.0,6/1/13,776,665
13.0,1/1/97,777,666
111.0,1/1/06,778,667
27.0,5/1/02,779,668
13.0,1/1/98,780,669
22.0,6/1/10,781,670
0.0,,782,46
10.0,4/1/11,783,671
34.0,7/1/12,784,672
49.0,1/1/13,785,673
56.0,1/1/14,786,674
50.0,3/1/71,787,675
8.0,1/1/10,788,676
26.0,1/1/01,789,677
118.0,12/1/14,790,678
,9/23/14,791,679
128.0,1/1/00,792,680
33.0,1/1/13,793,681
49.0,5/1/98,794,682
65.0,12/1/12,795,683
3.0,,796,459
29.0,9/1/04,797,684
0.0,,798,46
19.0,8/1/12,799,685
106.0,11/1/14,800,686
27.0,1/1/03,801,687
16.0,1/1/93,802,688
14.0,1/1/05,803,689
15.0,1/1/82,804,690
15.0,,805,691
53.0,2/10/14,806,692
25.0,1/1/15,807,693
29.0,3/1/08,808,694
13.0,1/1/67,809,695
0.0,1/1/12,810,696
0.0,,811,46
7.0,1/1/14,812,697
61.0,7/1/06,813,698
289.0,1/1/14,814,699
64.0,1/1/14,815,700
71.0,1/1/13,816,701
288.0,1/1/88,817,702
39.0,1/1/05,818,703
41.0,,819,704
14.0,1/1/14,820,389
22.0,4/1/14,821,705
4.0,1/1/04,822,444
173.0,10/28/13,823,706
29.0,4/1/11,824,707
70.0,4/1/15,825,708
14.0,1/1/08,826,709
58.0,11/1/10,827,710
141.0,1/1/12,828,711
6.0,4/1/15,829,712
123.0,1/1/03,830,713
103.0,4/15/05,831,714
0.0,,832,46
120.0,10/1/07,833,715
32.0,5/1/06,834,716
15.0,1/1/13,835,226
10.0,6/1/95,836,717
21.0,3/1/10,837,718
40.0,11/1/13,838,719
23.0,1/1/99,839,720
0.0,,840,46
360.0,5/7/09,841,721
35.0,1/1/14,842,130
159.0,1/1/94,843,722
15.0,1/1/14,844,97
15.0,1/1/10,845,158
12.0,1/1/14,846,82
27.0,1/1/11,847,723
66.0,10/1/07,848,724
0.0,1/1/11,849,134
22.0,5/1/07,850,725
11.0,1/1/14,851,726
121.0,2/16/10,852,727
13.0,6/10/02,853,728
87.0,1/1/14,854,729
11.0,1/1/88,855,730
0.0,1/1/10,856,441
113.0,1/1/06,857,731
124.0,1/1/09,858,732
18.0,1/1/15,859,733
44.0,1/1/14,860,264
,3/22/14,861,734
31.0,1/1/15,862,735
143.0,7/7/14,863,736
48.0,1/1/10,864,737
115.0,1/1/05,865,738
,1/1/06,866,739
63.0,3/1/09,867,740
40.0,1/1/10,868,741
12.0,1/1/05,869,162
21.0,1/1/02,870,742
4.0,1/1/14,871,220
20.0,9/1/97,872,743
0.0,1/1/05,873,17
289.0,1/1/14,874,699
21.0,1/1/04,875,744
20.0,1/1/93,876,745
0.0,,877,46
43.0,3/1/13,878,746
76.0,5/1/01,879,747
27.0,6/1/03,880,748
25.0,1/1/11,881,8
9.0,1/1/11,882,749
63.0,1/1/89,883,750
0.0,1/1/96,884,751
56.0,1/1/15,885,752
55.0,1/1/06,886,753
,10/24/14,887,754
8.0,1/1/13,888,28
0.0,1/1/09,889,755
23.0,1/1/97,890,756
28.0,1/1/03,891,757
23.0,1/1/08,892,758
39.0,6/1/12,893,759
39.0,1/1/09,894,760
4.0,1/1/98,895,761
39.0,1/1/95,896,762
90.0,1/1/05,897,520
0.0,,898,46
41.0,7/1/05,899,763
113.0,1/1/10,900,764
32.0,11/1/07,901,765
14.0,9/1/13,902,766
146.0,1/1/09,903,767
145.0,3/1/14,904,768
42.0,1/1/14,905,769
0.0,1/1/12,906,696
30.0,9/1/14,907,770
40.0,1/1/05,908,771
119.0,12/1/13,909,772
104.0,1/1/07,910,773
12.0,6/1/15,911,774
24.0,1/1/00,912,775
82.0,11/1/13,913,776
23.0,3/1/14,914,777
23.0,1/1/02,915,778
0.0,1/1/98,916,493
56.0,8/31/10,917,779
57.0,3/1/02,918,780
71.0,1/1/14,919,781
16.0,9/1/94,920,782
0.0,,921,46
22.0,1/1/03,922,783
12.0,,923,784
32.0,4/1/15,924,785
8.0,1/1/93,925,164
34.0,9/1/12,926,786
119.0,,927,787
81.0,1/1/86,928,788
11.0,1/1/01,929,789
84.0,2/1/15,930,790
31.0,7/10/13,931,791
0.0,,932,46
0.0,,933,46
100.0,1/1/05,934,792
6.0,1/1/15,935,59
12.0,1/1/03,936,793
42.0,1/1/87,937,794
33.0,1/1/14,938,795
4.0,1/1/08,939,374
15.0,1/1/14,940,97
14.0,1/1/10,941,796
20.0,,942,797
15.0,5/1/11,943,798
11.0,1/1/09,944,799
14.0,1/1/11,945,121
44.0,1/1/76,946,800
0.0,,947,46
0.0,,948,46
17.0,1/1/12,949,801
9.0,1/1/14,950,333
27.0,1/1/14,951,43
26.0,,952,802
34.0,5/1/10,953,803
35.0,1/1/10,954,804
5.0,,955,805
25.0,1/1/05,956,806
25.0,10/1/13,957,807
122.0,1/1/95,958,808
174.0,5/1/15,959,809
42.0,1/1/15,960,810
19.0,6/1/05,961,811
39.0,1/1/14,962,812
7.0,1/1/94,963,813
0.0,1/1/13,964,160
54.0,8/1/13,965,814
82.0,10/1/03,966,815
24.0,1/1/13,967,816
379.0,1/1/91,968,817
8.0,1/1/91,969,818
13.0,1/1/13,970,117
202.0,1/1/13,971,819
7.0,1/1/07,972,820
239.0,6/1/14,973,821
15.0,10/1/14,974,822
101.0,9/1/15,975,823
0.0,,976,46
65.0,11/1/10,977,824
0.0,1/1/93,978,825
153.0,7/1/12,979,826
7457.0,8/1/09,980,827
29.0,1/1/86,981,828
39.0,1/1/10,982,829
73.0,2/1/01,983,830
19.0,1/1/13,984,91
0.0,1/1/90,985,831
51.0,1/1/13,986,832
13.0,1/1/99,987,833
21.0,1/1/05,988,346
55.0,9/1/14,989,834
72.0,1/1/00,990,835
188.0,11/1/13,991,836
35.0,4/1/14,992,837
11.0,1/1/14,993,726
28.0,6/1/02,994,838
144.0,1/1/91,995,839
78.0,1/1/07,996,840
,10/27/14,997,841
26.0,1/1/11,998,61
13.0,1/1/12,999,842
