article_jvolumn,original_index,unique_index
33.0,223,4
0.0,224,16
0.0,225,16
154.0,226,90
24.0,227,29
2.0,228,59
0.0,229,16
54.0,230,2
87.0,231,96
23.0,232,75
207.0,233,97
35.0,234,13
56.0,235,98
4.0,236,60
45.0,237,84
4.0,238,60
44.0,239,99
8.0,240,11
24.0,241,29
4.0,242,60
97.0,243,100
16.0,244,58
15.0,245,32
16.0,246,58
20.0,247,80
515.0,248,101
7.0,249,15
35.0,250,13
20.0,251,80
10.0,252,5
1.0,253,55
242.0,254,102
23.0,255,75
34.0,256,34
68.0,257,71
42.0,258,35
23.0,259,75
32.0,260,103
137.0,261,78
44.0,262,99
41.0,263,66
132.0,264,104
57.0,265,105
61.0,266,70
12.0,267,44
19.0,268,57
0.0,269,16
33.0,270,4
99.0,271,52
173.0,272,106
48.0,273,56
16.0,274,58
0.0,275,16
0.0,276,16
122.0,277,107
45.0,278,84
0.0,279,16
81.0,280,108
40.0,281,20
245.0,282,109
0.0,283,16
0.0,284,16
7.0,285,15
57.0,286,105
44.0,287,99
7.0,288,15
72.0,289,92
74.0,290,95
7.0,291,15
40.0,292,20
6.0,293,19
7.0,294,15
35.0,295,13
20.0,296,80
78.0,297,110
189.0,298,111
26.0,299,45
34.0,300,34
127.0,301,112
15.0,302,32
31.0,303,113
118.0,304,114
86.0,305,115
0.0,306,16
56.0,307,98
49.0,308,116
147.0,309,117
0.0,310,16
16.0,311,58
,312,1
0.0,313,16
49.0,314,116
270.0,315,118
22.0,316,43
56.0,317,98
43.0,318,74
24.0,319,29
40.0,320,20
42.0,321,35
41.0,322,66
,323,1
13.0,324,41
0.0,325,16
18.0,326,42
0.0,327,16
15.0,328,32
0.0,329,16
20.0,330,80
26.0,331,45
25.0,332,8
5.0,333,69
13.0,334,41
10.0,335,5
16.0,336,58
53.0,337,119
5.0,338,69
59.0,339,120
,340,1
43.0,341,74
0.0,342,16
48.0,343,56
0.0,344,16
9.0,345,25
32.0,346,103
11.0,347,50
33.0,348,4
10.0,349,5
58.0,350,121
75.0,351,122
30.0,352,48
12.0,353,44
29.0,354,6
11.0,355,50
,356,1
50.0,357,81
108.0,358,94
82.0,359,123
,360,1
25.0,361,8
53.0,362,119
319.0,363,124
43.0,364,74
2014.0,365,125
3.0,366,30
43.0,367,74
41.0,368,66
24.0,369,29
56.0,370,98
161.0,371,126
47.0,372,23
9.0,373,25
16.0,374,58
61.0,375,70
26.0,376,45
7.0,377,15
49.0,378,116
7.0,379,15
102.0,380,127
61.0,381,70
80.0,382,83
9.0,383,25
43.0,384,74
45.0,385,84
21.0,386,37
21.0,387,37
0.0,388,16
46.0,389,53
19.0,390,57
113.0,391,128
21.0,392,37
29.0,393,6
129.0,394,129
88.0,395,31
62.0,396,130
113.0,397,128
2.0,398,59
35.0,399,13
4.0,400,60
75.0,401,122
19.0,402,57
35.0,403,13
33.0,404,4
9.0,405,25
119.0,406,131
66.0,407,132
75.0,408,122
147.0,409,117
69.0,410,24
16.0,411,58
46.0,412,53
0.0,413,16
0.0,414,16
120.0,415,133
24.0,416,29
13.0,417,41
27.0,418,22
0.0,419,16
4.0,420,60
42.0,421,35
37.0,422,21
32.0,423,103
24.0,424,29
127.0,425,112
0.0,426,16
9.0,427,25
176.0,428,134
78.0,429,110
110.0,430,135
27.0,431,22
32.0,432,103
143.0,433,72
74.0,434,95
103.0,435,64
14.0,436,10
124.0,437,136
20.0,438,80
86.0,439,115
63.0,440,63
115.0,441,137
15.0,442,32
13.0,443,41
19.0,444,57
,445,1
7.0,446,15
2007.0,447,138
21.0,448,37
21.0,449,37
42.0,450,35
13.0,451,41
12.0,452,44
3.0,453,30
48.0,454,56
37.0,455,21
28.0,456,27
23.0,457,75
10.0,458,5
69.0,459,24
20.0,460,80
110.0,461,135
17.0,462,76
30.0,463,48
6.0,464,19
49.0,465,116
95.0,466,139
16.0,467,58
21.0,468,37
21.0,469,37
40.0,470,20
48.0,471,56
348.0,472,140
2013.0,473,141
63.0,474,63
55.0,475,73
155.0,476,142
57.0,477,105
55.0,478,73
43.0,479,74
45.0,480,84
80.0,481,83
18.0,482,42
5.0,483,69
8.0,484,11
49.0,485,116
96.0,486,143
0.0,487,16
0.0,488,16
124.0,489,136
6.0,490,19
33.0,491,4
18.0,492,42
39.0,493,18
16.0,494,58
310.0,495,144
0.0,496,16
29.0,497,6
28.0,498,27
4.0,499,60
169.0,500,145
23.0,501,75
23.0,502,75
70.0,503,38
23.0,504,75
37.0,505,21
27.0,506,22
20.0,507,80
82.0,508,123
45.0,509,84
14.0,510,10
57.0,511,105
347.0,512,146
79.0,513,9
3.0,514,30
140.0,515,14
38.0,516,65
26.0,517,45
65.0,518,93
85.0,519,67
18.0,520,42
21.0,521,37
,522,1
73.0,523,62
289.0,524,147
121.0,525,148
58.0,526,121
37.0,527,21
37.0,528,21
10.0,529,5
0.0,530,16
316.0,531,149
254.0,532,150
,533,1
37.0,534,21
5.0,535,69
0.0,536,16
34.0,537,34
47.0,538,23
54.0,539,2
184.0,540,151
0.0,541,16
10.0,542,5
329.0,543,152
0.0,544,16
44.0,545,99
82.0,546,123
0.0,547,16
147.0,548,117
,549,1
,550,1
67.0,551,153
0.0,552,16
89.0,553,77
138.0,554,154
36.0,555,87
110.0,556,135
63.0,557,63
0.0,558,16
20.0,559,80
21.0,560,37
6.0,561,19
33.0,562,4
196.0,563,155
0.0,564,16
19.0,565,57
365.0,566,156
29.0,567,6
33.0,568,4
12.0,569,44
37.0,570,21
41.0,571,66
151.0,572,157
62.0,573,130
35.0,574,13
46.0,575,53
9.0,576,25
16.0,577,58
49.0,578,116
29.0,579,6
56.0,580,98
30.0,581,48
20.0,582,80
8.0,583,11
0.0,584,16
90.0,585,33
26.0,586,45
18.0,587,42
14.0,588,10
43.0,589,74
32.0,590,103
68.0,591,71
0.0,592,16
90.0,593,33
0.0,594,16
15.0,595,32
10.0,596,5
141.0,597,158
24.0,598,29
108.0,599,94
44.0,600,99
32.0,601,103
85.0,602,67
6.0,603,19
85.0,604,67
28.0,605,27
89.0,606,77
57.0,607,105
133.0,608,159
22.0,609,43
28.0,610,27
9.0,611,25
256.0,612,160
21.0,613,37
77.0,614,161
506.0,615,162
24.0,616,29
284.0,617,163
25.0,618,8
17.0,619,76
14.0,620,10
135.0,621,164
32.0,622,103
47.0,623,23
35.0,624,13
31.0,625,113
81.0,626,108
80.0,627,83
7.0,628,15
24.0,629,29
17.0,630,76
91.0,631,40
36.0,632,87
51.0,633,165
0.0,634,16
25.0,635,8
14.0,636,10
94.0,637,79
22.0,638,43
84.0,639,3
57.0,640,105
15.0,641,32
,642,1
124.0,643,136
76.0,644,39
0.0,645,16
21.0,646,37
97.0,647,100
20.0,648,80
17.0,649,76
16.0,650,58
53.0,651,119
16.0,652,58
46.0,653,53
5.0,654,69
29.0,655,6
23.0,656,75
46.0,657,53
46.0,658,53
14.0,659,10
108.0,660,94
45.0,661,84
20.0,662,80
9.0,663,25
19.0,664,57
0.0,665,16
15.0,666,32
119.0,667,131
1.0,668,55
18.0,669,42
111.0,670,166
7.0,671,15
86.0,672,115
151.0,673,157
110.0,674,135
6.0,675,19
25.0,676,8
2.0,677,59
2.0,678,59
137.0,679,78
50.0,680,81
113.0,681,128
28.0,682,27
69.0,683,24
36.0,684,87
32.0,685,103
20.0,686,80
91.0,687,40
108.0,688,94
34.0,689,34
61.0,690,70
26.0,691,45
28.0,692,27
2.0,693,59
18.0,694,42
104.0,695,167
20.0,696,80
36.0,697,87
20.0,698,80
0.0,699,16
126.0,700,168
0.0,701,16
2.0,702,59
0.0,703,16
2014.0,704,125
29.0,705,6
44.0,706,99
56.0,707,98
64.0,708,0
32.0,709,103
17.0,710,76
0.0,711,16
12.0,712,44
35.0,713,13
15.0,714,32
12.0,715,44
17.0,716,76
34.0,717,34
114.0,718,169
115.0,719,137
50.0,720,81
91.0,721,40
18.0,722,42
13.0,723,41
0.0,724,16
0.0,725,16
0.0,726,16
30.0,727,48
0.0,728,16
14.0,729,10
44.0,730,99
65.0,731,93
66.0,732,132
25.0,733,8
25.0,734,8
29.0,735,6
25.0,736,8
72.0,737,92
28.0,738,27
44.0,739,99
44.0,740,99
194.0,741,170
23.0,742,75
0.0,743,16
58.0,744,121
128.0,745,171
0.0,746,16
0.0,747,16
72.0,748,92
54.0,749,2
65.0,750,93
55.0,751,73
0.0,752,16
1.0,753,55
42.0,754,35
67.0,755,153
28.0,756,27
0.0,757,16
23.0,758,75
17.0,759,76
284.0,760,163
48.0,761,56
240.0,762,172
56.0,763,98
53.0,764,119
32.0,765,103
0.0,766,16
26.0,767,45
,768,1
9.0,769,25
89.0,770,77
80.0,771,83
106.0,772,68
26.0,773,45
53.0,774,119
158.0,775,173
14.0,776,10
13.0,777,41
111.0,778,166
27.0,779,22
13.0,780,41
22.0,781,43
0.0,782,16
10.0,783,5
34.0,784,34
49.0,785,116
56.0,786,98
50.0,787,81
8.0,788,11
26.0,789,45
118.0,790,114
,791,1
128.0,792,171
33.0,793,4
49.0,794,116
65.0,795,93
3.0,796,30
29.0,797,6
0.0,798,16
19.0,799,57
106.0,800,68
27.0,801,22
16.0,802,58
14.0,803,10
15.0,804,32
15.0,805,32
53.0,806,119
25.0,807,8
29.0,808,6
13.0,809,41
0.0,810,16
0.0,811,16
7.0,812,15
61.0,813,70
289.0,814,147
64.0,815,0
71.0,816,36
288.0,817,174
39.0,818,18
41.0,819,66
14.0,820,10
22.0,821,43
4.0,822,60
173.0,823,106
29.0,824,6
70.0,825,38
14.0,826,10
58.0,827,121
141.0,828,158
6.0,829,19
123.0,830,175
103.0,831,64
0.0,832,16
120.0,833,133
32.0,834,103
15.0,835,32
10.0,836,5
21.0,837,37
40.0,838,20
23.0,839,75
0.0,840,16
360.0,841,176
35.0,842,13
159.0,843,177
15.0,844,32
15.0,845,32
12.0,846,44
27.0,847,22
66.0,848,132
0.0,849,16
22.0,850,43
11.0,851,50
121.0,852,148
13.0,853,41
87.0,854,96
11.0,855,50
0.0,856,16
113.0,857,128
124.0,858,136
18.0,859,42
44.0,860,99
,861,1
31.0,862,113
143.0,863,72
48.0,864,56
115.0,865,137
,866,1
63.0,867,63
40.0,868,20
12.0,869,44
21.0,870,37
4.0,871,60
20.0,872,80
0.0,873,16
289.0,874,147
21.0,875,37
20.0,876,80
0.0,877,16
43.0,878,74
76.0,879,39
27.0,880,22
25.0,881,8
9.0,882,25
63.0,883,63
0.0,884,16
56.0,885,98
55.0,886,73
,887,1
8.0,888,11
0.0,889,16
23.0,890,75
28.0,891,27
23.0,892,75
39.0,893,18
39.0,894,18
4.0,895,60
39.0,896,18
90.0,897,33
0.0,898,16
41.0,899,66
113.0,900,128
32.0,901,103
14.0,902,10
146.0,903,178
145.0,904,179
42.0,905,35
0.0,906,16
30.0,907,48
40.0,908,20
119.0,909,131
104.0,910,167
12.0,911,44
24.0,912,29
82.0,913,123
23.0,914,75
23.0,915,75
0.0,916,16
56.0,917,98
57.0,918,105
71.0,919,36
16.0,920,58
0.0,921,16
22.0,922,43
12.0,923,44
32.0,924,103
8.0,925,11
34.0,926,34
119.0,927,131
81.0,928,108
11.0,929,50
84.0,930,3
31.0,931,113
0.0,932,16
0.0,933,16
100.0,934,180
6.0,935,19
12.0,936,44
42.0,937,35
33.0,938,4
4.0,939,60
15.0,940,32
14.0,941,10
20.0,942,80
15.0,943,32
11.0,944,50
14.0,945,10
44.0,946,99
0.0,947,16
0.0,948,16
17.0,949,76
9.0,950,25
27.0,951,22
26.0,952,45
34.0,953,34
35.0,954,13
5.0,955,69
25.0,956,8
25.0,957,8
122.0,958,107
174.0,959,181
42.0,960,35
19.0,961,57
39.0,962,18
7.0,963,15
0.0,964,16
54.0,965,2
82.0,966,123
24.0,967,29
379.0,968,182
8.0,969,11
13.0,970,41
202.0,971,183
7.0,972,15
239.0,973,184
15.0,974,32
101.0,975,88
0.0,976,16
65.0,977,93
0.0,978,16
153.0,979,185
7457.0,980,186
29.0,981,6
39.0,982,18
73.0,983,62
19.0,984,57
0.0,985,16
51.0,986,165
13.0,987,41
21.0,988,37
55.0,989,73
72.0,990,92
188.0,991,187
35.0,992,13
11.0,993,50
28.0,994,27
144.0,995,188
78.0,996,110
,997,1
26.0,998,45
13.0,999,41
