abv,ibu,original_index,unique_index
0.075%,25.0,653,367
0.059,,654,32
,,655,218
,,656,218
0.052,15.0,657,368
0.06,,658,15
0.052,25.0,659,369
0.065,65.0,660,370
0.045%,,661,6
0.049%,25.0,662,371
0.055%,,663,35
0.056,,664,322
0.065,,665,7
0.066,,666,1
0.055%,,667,35
0.045,,668,146
0.055%,,669,35
0.069,,670,321
0.06,,671,15
0.06%,31.0,672,372
0.052,23.0,673,373
0.049%,,674,136
0.054,,675,75
0.08,,676,219
0.063,,677,202
0.045%,,678,6
0.06%,,679,137
0.08,,680,219
0.05%,15.0,681,374
0.053,11.0,682,375
0.055,,683,8
0.092,115.0,684,376
0.065%,80.0,685,377
0.07,,686,122
0.06,,687,15
0.065%,,688,63
0.065%,,689,63
0.07200000000000001%,,690,378
0.055,,691,8
0.05,,692,0
0.05,,693,0
0.063%,37.0,694,379
0.06%,,695,137
0.075%,33.0,696,380
0.085,100.0,697,381
0.06%,,698,137
0.07,,699,122
0.048,25.0,700,382
0.046,,701,145
0.052000000000000005%,23.0,702,143
0.07,70.0,703,23
0.045,44.0,704,383
0.05,16.0,705,384
0.059,55.0,706,385
0.056,46.0,707,386
0.065,71.0,708,387
0.058,46.0,709,388
0.07,,710,122
0.05%,,711,94
0.05%,40.0,712,190
0.052000000000000005%,16.0,713,389
0.049%,22.0,714,151
0.063%,76.0,715,390
0.05,12.0,716,121
0.05%,,717,94
0.096,85.0,718,391
0.049%,22.0,719,151
0.044000000000000004%,45.0,720,392
0.052,26.0,721,393
0.054000000000000006%,27.0,722,394
,,723,218
0.071,85.0,724,395
0.074,12.0,725,396
0.045%,,726,6
0.065%,72.0,727,397
,,728,218
,,729,218
,,730,218
,,731,218
,,732,218
,,733,218
,,734,218
0.049,,735,79
0.051,,736,124
0.066%,100.0,737,398
0.051,17.0,738,399
0.043,12.0,739,400
0.057999999999999996%,49.0,740,401
0.061%,64.0,741,402
0.045%,18.0,742,34
0.05,,743,0
0.078,74.0,744,403
0.06,,745,15
0.05,,746,0
0.055,,747,8
0.045,,748,146
0.078,74.0,749,403
0.057%,,750,316
0.049,25.0,751,404
0.07,,752,122
0.05%,,753,94
0.052,,754,102
0.052,,755,102
0.05%,,756,94
0.062,,757,76
0.043%,60.0,758,405
0.062,80.0,759,251
0.049%,23.0,760,406
0.07%,61.0,761,407
0.051,,762,124
0.052,,763,102
0.048,,764,110
0.054,48.0,765,157
0.04%,,766,408
0.085,,767,13
0.055,,768,8
0.027000000000000003%,,769,409
0.055%,,770,35
0.05,32.0,771,187
0.045,19.0,772,410
0.067,70.0,773,411
0.063%,55.0,774,412
0.07,80.0,775,85
0.07,58.0,776,413
0.05%,20.0,777,414
0.05,20.0,778,52
0.05,20.0,779,52
0.07%,70.0,780,24
0.075%,53.0,781,415
0.046,,782,145
0.051,,783,124
0.075,53.0,784,416
0.069,,785,321
0.05,,786,0
0.081,,787,417
0.08199999999999999%,,788,264
0.082,80.0,789,418
0.055%,30.0,790,306
0.045,,791,146
0.055%,45.0,792,419
0.048,20.0,793,420
0.09%,,794,3
0.08,80.0,795,421
0.086,,796,9
0.05,22.0,797,336
0.053%,,798,282
0.08%,72.0,799,422
0.055,,800,8
0.075,,801,4
0.055,,802,8
0.047%,,803,93
0.045,47.0,804,423
0.075,75.0,805,424
0.053,,806,125
0.047,,807,159
0.047,20.0,808,425
0.065,,809,7
0.05,27.0,810,426
0.06,104.0,811,427
,,812,218
0.055%,,813,35
0.071%,60.0,814,428
0.047,28.0,815,429
0.04,,816,231
0.07,70.0,817,23
0.078,,818,286
0.06%,,819,137
0.065%,,820,63
0.045,,821,146
0.05,18.0,822,328
0.069,65.0,823,39
0.052000000000000005%,,824,278
0.062%,,825,123
0.045,,826,146
0.065,,827,7
0.062,,828,76
0.067,,829,133
0.058,,830,169
0.052,,831,102
0.055,,832,8
0.088,,833,430
0.051,,834,124
0.07400000000000001%,97.0,835,431
,,836,218
0.047%,19.0,837,432
0.056,16.0,838,433
0.046,17.0,839,434
0.063,42.0,840,435
0.085,50.0,841,436
0.072,65.0,842,437
0.047,42.0,843,128
0.076%,73.0,844,438
0.057,40.0,845,113
0.052,20.0,846,439
0.055,,847,8
0.05,,848,0
0.06,,849,15
0.064,90.0,850,440
0.04%,,851,408
0.052,17.0,852,274
0.06,21.0,853,441
0.051,,854,124
0.042,9.0,855,256
0.067,47.0,856,442
0.06,21.0,857,441
0.052,,858,102
0.06,,859,15
0.05%,28.0,860,443
0.057,36.0,861,444
0.07,70.0,862,23
0.055999999999999994%,,863,80
0.069,69.0,864,162
0.055,18.0,865,445
0.053,27.0,866,446
0.065%,33.0,867,447
0.06,,868,15
0.042,20.0,869,448
0.068,,870,95
0.042,10.0,871,449
0.059,70.0,872,450
0.044,5.0,873,451
0.04,,874,231
0.045,,875,146
0.08,,876,219
0.065%,35.0,877,452
0.065,45.0,878,245
0.055999999999999994%,30.0,879,453
0.065%,80.0,880,377
0.053%,32.0,881,454
0.07%,24.0,882,455
0.052000000000000005%,42.0,883,456
0.07%,73.0,884,457
0.05%,,885,94
0.072,50.0,886,458
0.049,15.0,887,459
0.05,26.0,888,460
0.067,70.0,889,411
0.072,75.0,890,203
0.057999999999999996%,35.0,891,281
0.074,74.0,892,461
0.08,70.0,893,462
0.094,92.0,894,463
0.059000000000000004%,60.0,895,464
0.046,15.0,896,465
0.068,65.0,897,466
0.059000000000000004%,60.0,898,464
0.05,,899,0
0.055,20.0,900,467
0.08,70.0,901,462
0.08,70.0,902,462
0.059,60.0,903,225
0.046%,15.0,904,41
0.07,11.0,905,468
0.07,70.0,906,23
0.06,18.0,907,469
0.055999999999999994%,36.0,908,470
0.093,103.0,909,471
0.06,54.0,910,472
0.06,64.0,911,473
0.057999999999999996%,36.0,912,474
0.055,40.0,913,178
0.059,55.0,914,385
0.054,30.0,915,44
0.054000000000000006%,30.0,916,475
0.042%,18.0,917,476
0.042%,18.0,918,476
0.042%,20.0,919,477
0.052000000000000005%,19.0,920,478
0.05,,921,0
0.052000000000000005%,,922,278
0.054,,923,75
,,924,218
0.043,21.0,925,479
0.049,21.0,926,480
0.055,35.0,927,160
0.053,22.0,928,227
0.057,18.0,929,481
0.056,33.0,930,482
0.062,60.0,931,483
0.057,27.0,932,484
0.053,22.0,933,227
0.056,33.0,934,482
0.057%,25.0,935,485
0.045,36.0,936,486
0.057,18.0,937,481
0.057%,27.0,938,172
0.06%,25.0,939,487
0.051,13.0,940,488
0.075,65.0,941,489
0.08,66.0,942,490
0.055999999999999994%,33.0,943,491
0.057,23.0,944,492
0.042,26.0,945,493
0.062%,60.0,946,494
0.053%,22.0,947,495
0.05,,948,0
0.087,,949,496
0.061%,,950,497
0.071,,951,2
0.083%,,952,498
0.05,,953,0
0.095%,75.0,954,499
0.073%,,955,214
0.071,,956,2
0.045%,15.0,957,500
0.045,15.0,958,257
0.052,49.0,959,501
0.052,,960,102
0.05,5.0,961,502
0.07%,22.0,962,503
0.048,,963,110
0.048,,964,110
0.048%,20.0,965,504
0.05,30.0,966,505
0.06%,,967,137
0.055,10.0,968,506
0.054000000000000006%,30.0,969,475
0.053,48.0,970,507
0.09%,99.0,971,508
0.07,22.0,972,509
0.07%,70.0,973,24
0.059000000000000004%,25.0,974,510
0.048,25.0,975,382
0.06%,36.0,976,511
0.053%,48.0,977,512
0.054,30.0,978,44
0.05%,30.0,979,513
0.057,44.0,980,514
0.067,71.0,981,515
0.058,,982,169
0.085,69.0,983,516
0.058,,984,169
0.06%,54.0,985,517
0.04,20.0,986,68
0.055,,987,8
0.06,34.0,988,518
0.06%,54.0,989,517
0.049%,22.0,990,151
0.045,6.0,991,519
0.065%,,992,63
0.05,25.0,993,57
0.05%,35.0,994,520
0.065,25.0,995,521
0.075,,996,4
0.05%,35.0,997,520
0.04,55.0,998,522
0.09,,999,38
0.063,43.0,1000,523
0.069,67.0,1001,524
0.047,,1002,159
0.07,,1003,122
0.08,,1004,219
0.057%,,1005,316
0.055,,1006,8
0.06,,1007,15
0.06,,1008,15
0.042,,1009,81
0.052,,1010,102
0.07,40.0,1011,525
0.052,18.0,1012,526
0.046,17.0,1013,434
0.043,14.0,1014,527
0.075,70.0,1015,348
0.044,18.0,1016,528
0.056,55.0,1017,301
0.052,15.0,1018,368
0.062,45.0,1019,529
0.048,,1020,110
0.05%,28.0,1021,443
0.059,42.0,1022,530
0.059000000000000004%,20.0,1023,531
0.055,30.0,1024,339
0.059000000000000004%,42.0,1025,532
0.05%,28.0,1026,443
0.048,10.0,1027,533
0.05,28.0,1028,36
0.059000000000000004%,42.0,1029,532
,,1030,218
0.048%,,1031,82
0.049,,1032,79
0.054000000000000006%,,1033,92
0.064%,,1034,242
0.064,,1035,127
0.083,,1036,171
0.076,65.0,1037,534
0.062%,40.0,1038,535
0.088,77.0,1039,536
0.072,45.0,1040,537
0.06%,30.0,1041,538
0.06,,1042,15
0.063%,30.0,1043,539
0.08%,86.0,1044,540
0.099,85.0,1045,541
0.063,21.0,1046,542
0.07,68.0,1047,543
0.044,22.0,1048,544
0.045%,,1049,6
0.055,,1050,8
0.045%,32.0,1051,545
0.055%,34.0,1052,546
0.049,20.0,1053,547
0.055,60.0,1054,548
0.066%,30.0,1055,549
0.042,,1056,81
0.042,25.0,1057,550
0.047%,28.0,1058,551
0.057999999999999996%,45.0,1059,165
0.049,20.0,1060,547
0.078%,60.0,1061,552
0.063,70.0,1062,553
0.049,20.0,1063,547
0.048,13.0,1064,554
0.065,90.0,1065,555
0.065,90.0,1066,555
0.049,20.0,1067,547
0.07,,1068,122
0.051,,1069,124
0.051,40.0,1070,556
0.06,50.0,1071,557
0.065,,1072,7
0.068,,1073,95
0.027000000000000003%,21.0,1074,558
0.039,20.0,1075,559
0.039,20.0,1076,559
0.039,20.0,1077,559
0.039%,20.0,1078,560
0.039%,20.0,1079,560
0.039,20.0,1080,559
0.039%,20.0,1081,560
0.039%,20.0,1082,560
0.039,20.0,1083,559
0.039%,20.0,1084,560
0.039,20.0,1085,559
0.039%,20.0,1086,560
0.058,60.0,1087,561
0.057999999999999996%,35.0,1088,281
0.066%,75.0,1089,562
0.073%,70.0,1090,563
0.06,60.0,1091,150
0.058,60.0,1092,561
0.073,70.0,1093,564
0.051,32.0,1094,565
0.066,75.0,1095,566
0.055999999999999994%,,1096,80
0.051,17.0,1097,399
0.06,,1098,15
0.065%,,1099,63
0.055,,1100,8
0.068%,90.0,1101,567
0.065,22.0,1102,568
0.05,10.0,1103,164
0.046,27.0,1104,569
0.065,80.0,1105,308
0.054000000000000006%,45.0,1106,570
0.048,32.0,1107,571
0.055,42.0,1108,572
0.059,27.0,1109,573
0.057999999999999996%,58.0,1110,574
0.07,75.0,1111,144
0.055%,20.0,1112,575
0.045%,20.0,1113,147
0.068,55.0,1114,576
0.053,28.0,1115,577
0.049,,1116,79
,,1117,218
0.052,18.0,1118,526
0.048,15.0,1119,578
0.072,80.0,1120,579
0.067%,65.0,1121,580
0.049%,45.0,1122,581
0.05,,1123,0
0.051,,1124,124
0.055%,37.0,1125,582
0.055,,1126,8
0.065,,1127,7
0.07%,,1128,141
0.05,,1129,0
0.067,,1130,133
0.069%,,1131,12
,,1132,218
0.045,,1133,146
0.055,,1134,8
0.055,,1135,8
0.06,,1136,15
0.06%,,1137,137
0.05%,15.0,1138,374
0.05%,50.0,1139,583
0.09300000000000001%,90.0,1140,584
0.052,15.0,1141,368
0.071,,1142,2
0.075,24.0,1143,585
0.052000000000000005%,16.0,1144,389
0.057999999999999996%,25.0,1145,586
0.055,40.0,1146,178
0.055,25.0,1147,87
0.047%,20.0,1148,587
0.066%,20.0,1149,588
0.095%,85.0,1150,589
0.049%,45.0,1151,581
0.052,15.0,1152,368
0.066%,70.0,1153,590
0.057,19.0,1154,591
0.06,64.0,1155,473
0.055,23.0,1156,592
0.057999999999999996%,,1157,168
0.05,15.0,1158,273
0.068,,1159,95
0.058,,1160,169
0.065%,11.0,1161,593
0.065%,65.0,1162,594
0.065,65.0,1163,370
0.055,50.0,1164,595
0.065%,65.0,1165,594
0.065,11.0,1166,596
,,1167,218
,,1168,218
,,1169,218
,,1170,218
,,1171,218
,,1172,218
,,1173,218
0.051,,1174,124
0.055,,1175,8
0.06,70.0,1176,597
0.057%,10.0,1177,342
0.049,,1178,79
0.063,65.0,1179,598
0.048,11.0,1180,599
0.046%,18.0,1181,310
0.046%,18.0,1182,310
0.046,18.0,1183,311
0.046,18.0,1184,311
0.04%,9.0,1185,600
0.08,,1186,219
0.054,15.0,1187,601
0.07200000000000001%,100.0,1188,602
0.066%,30.0,1189,549
0.048,28.0,1190,603
0.045,,1191,146
0.068%,,1192,604
0.05%,,1193,94
0.055,,1194,8
0.05,12.0,1195,121
0.048,9.0,1196,605
0.064,66.0,1197,606
0.064,95.0,1198,607
0.056,70.0,1199,608
0.05,,1200,0
0.051,,1201,124
0.057,,1202,73
0.05%,,1203,94
0.05,,1204,0
0.057,,1205,73
0.052,30.0,1206,609
0.06,30.0,1207,216
0.058,40.0,1208,610
0.057,42.0,1209,611
0.052,20.0,1210,439
0.065,75.0,1211,359
0.057,40.0,1212,113
0.06%,,1213,137
0.075%,,1214,612
0.057,47.0,1215,613
0.058,11.0,1216,614
0.061,30.0,1217,615
0.059,42.0,1218,530
0.046,30.0,1219,616
0.072,33.0,1220,617
0.04,8.0,1221,618
0.046,30.0,1222,616
0.046%,8.0,1223,619
0.048,20.0,1224,420
0.055,,1225,8
0.045%,,1226,6
0.062,65.0,1227,189
