HospitalName,ZipCode,original_index,unique_index,count
hartselle medical center,35640,168,14,23
marshall medical center north,35976,169,16,24
marshall medical center north,35976,170,16,24
marshall medical cenxer norxh,35976,171,17,1
marshall medical center north,35976,172,16,24
marshall medical center north,35976,173,16,24
marshall medical center north,35976,174,16,24
marshall medical center north,35976,175,16,24
marshall medical center north,35976,176,16,24
marshall medical center north,35976,177,16,24
marshall medical center north,35976,178,16,24
marshall medical center north,35976,179,16,24
marshall medical center north,35976,180,16,24
marshall medical center north,35976,181,16,24
marshall medical center north,35976,182,16,24
marshall medical center north,35976,183,16,24
marshall medical center north,35976,184,16,24
marshall medical center north,35976,185,16,24
marshall medical center north,35976,186,16,24
marshall medical center north,35976,187,16,24
marshall medical center north,35976,188,16,24
marshall medical center north,35976,189,16,24
marshall medical center north,35976,190,16,24
marshall medical center north,35976,191,16,24
marshall medical center north,35976,192,16,24
marshall medical center north,35976,193,16,24
st vincents east,35235,194,18,24
st vincents east,35235,195,18,24
st vincents east,3x23x,196,19,1
st vincents east,35235,197,18,24
st vincents east,35235,198,18,24
st vincents east,35235,199,18,24
st vincents east,35235,200,18,24
st vincents east,35235,201,18,24
st vincents east,35235,202,18,24
st vincents east,35235,203,18,24
st vincents east,35235,204,18,24
st vincents east,35235,205,18,24
st vincents east,35235,206,18,24
st vincents east,35235,207,18,24
st vincents east,35235,208,18,24
st vincents east,35235,209,18,24
st vincents east,35235,210,18,24
st vincents east,35235,211,18,24
st vincents east,35235,212,18,24
st vincents east,35235,213,18,24
st vincents east,35235,214,18,24
st vincents east,35235,215,18,24
st vincents east,35235,216,18,24
st vincents east,35235,217,18,24
st vincents east,35235,218,18,24
dekalb regional medical center,35968,219,20,23
dekalb regional medical center,35968,220,20,23
dekalb regional medical center,35968,221,20,23
dekalb regional medical center,35968,222,20,23
dekalb regional medical center,35968,223,20,23
dekalb regional medical center,35968,224,20,23
dekalb regional medical center,35968,225,20,23
dekalb regional medical center,35968,226,20,23
dekalb regional medical center,35968,227,20,23
dekalb regional medical center,35968,228,20,23
dekalb regional medical center,35968,229,20,23
dekalb regional medical center,35968,230,20,23
dekalb regional medical center,35968,231,20,23
dekalb regional medical center,359x8,232,21,1
dekalb regional medical center,35968,233,20,23
dekalb regional medical center,35968,234,20,23
dekalb regional medical center,35968,235,20,23
dekalb regional medical center,35968,236,20,23
dekalb regional medical center,35968,237,20,23
dekalb regional medical center,35968,238,20,23
dekalb regional medical center,35968,239,20,23
dekalb regional medical center,35968,240,20,23
dekalb regional medical center,35968,241,20,23
dekalb regional medical center,35968,242,20,23
dexalb regional medical center,35968,243,22,1
southwest alabama medical center,36784,244,23,24
southwest alabama medical center,36784,245,23,24
southwest alabama medical center,36784,246,23,24
southwest alabama medical center,36784,247,23,24
southwest alabama medical center,36784,248,23,24
southwest alabama medical center,36784,249,23,24
southwest alabama medical center,36784,250,23,24
southwest alabama medical center,36784,251,23,24
southwest alabama medical center,36784,252,23,24
southwest alabama medical center,36784,253,23,24
southwest alabama medical center,36784,254,23,24
southwest alabama medical center,36784,255,23,24
southwest alabama medical center,36784,256,23,24
southwest alabama medical center,36784,257,23,24
southwest alabama medical center,36784,258,23,24
southwest alabama medical center,36784,259,23,24
southwest alabama medical center,36784,260,23,24
southwest alabama medical center,36784,261,23,24
southwest alabama medical center,36784,262,23,24
southwest alabama medical center,36784,263,23,24
southwest alabama medical center,36784,264,23,24
southwest alabama medical center,36784,265,23,24
southwest alabama medical center,36784,266,23,24
southwest alabama medical center,x6784,267,24,1
southwest alabama medical center,36784,268,23,24
shelby baptist medical center,35007,269,25,23
shelby baptist medical center,35007,270,25,23
shelby baptist medical center,35007,271,25,23
shelby baptist medical center,35007,272,25,23
shelby baptist medical center,35007,273,25,23
shelby baptist medical center,35007,274,25,23
shelby baptist medical center,35007,275,25,23
shelby baptist medical center,35007,276,25,23
shelby baptist medical center,35007,277,25,23
shelby baptist medical center,35007,278,25,23
shelby baptist medical center,35007,279,25,23
shelby baptist medical center,35007,280,25,23
shelby baptist medical center,35007,281,25,23
shelby baptist medical center,35007,282,25,23
shelby baptist medical center,3x007,283,26,1
shelby baptist medical center,35007,284,25,23
shelby baptist medical center,35007,285,25,23
shelby baptist medical center,35007,286,25,23
shelby baptist medical center,35007,287,25,23
shelby baptist medical center,35007,288,25,23
shelby baptist medical center,35007,289,25,23
shelby baptist medical center,x5007,290,27,1
shelby baptist medical center,35007,291,25,23
shelby baptist medical center,35007,292,25,23
shelby baptist medical center,35007,293,25,23
callahan eye foundation hospital,35233,294,0,25
callahan eye foundation hospital,35233,295,0,25
callahan eye foundation hospital,35233,296,0,25
callahan eye foundation hospital,35233,297,0,25
callahan eye foundation hospital,35233,298,0,25
callahan eye foundation hospital,35233,299,0,25
callahan eye foundation hospital,35233,300,0,25
callahan eye foundation hospital,35233,301,0,25
callahan eye foundation hospital,35233,302,0,25
callahan eye foundation hospital,35233,303,0,25
callahan eye foundation hospital,35233,304,0,25
callahan eye foundation hospital,35233,305,0,25
callahan eye foundation hospital,35233,306,0,25
callahan eye foundation hospital,35233,307,0,25
callahan eye foundation hospital,35233,308,0,25
callahan eye foundation hospital,35233,309,0,25
callahan eye foundation hospital,35233,310,0,25
stringfellow memorial hospital,36201,311,28,27
stringfellow memorial hospital,36201,312,28,27
stringfellow memorial hospital,36201,313,28,27
stringfellow memorial hospital,36201,314,28,27
stringfellow memorial hospital,36201,315,28,27
stringfellow memorial hospital,36201,316,28,27
stringfellow memorial hospital,36201,317,28,27
stringfellow memorial hospital,36201,318,28,27
stringfellow memorial hospital,36201,319,28,27
stringfellow memorial hospital,36201,320,28,27
stringfellow memorial hospital,36201,321,28,27
stringfellow memorial hospital,36201,322,28,27
stringfellow memorial hospital,36201,323,28,27
stringfellow memorial hospital,36201,324,28,27
stringfellow memorial hospital,36x01,325,29,1
stringfellow memorial hospital,36201,326,28,27
stringfellow memorial hospital,36201,327,28,27
stringfellow memorial hospital,36201,328,28,27
stringfellow memorial hospital,36201,329,28,27
stringfellow memorial hospital,36201,330,28,27
flowers hospital,36305,331,30,14
flowers hospital,3x305,332,31,1
flowers hospital,36305,333,30,14
flowers hospital,36305,334,30,14
flowers hospital,36305,335,30,14
flowers hospital,36305,336,30,14
floxers hospital,36305,337,32,1
flowers hospital,36305,338,30,14
flowers hospital,36305,339,30,14
flowers hospital,x6x05,340,33,1
flowers hospital,36305,341,30,14
flowers hospital,36305,342,30,14
flowers hospital,36305,343,30,14
flowers hospital,36305,344,30,14
flowers hospital,36305,345,30,14
flowers hospital,36305,346,30,14
flowers hospital,36305,347,30,14
st vincents hospital,35205,348,34,5
st vincents hospital,35205,349,34,5
st vincents hospital,35205,350,34,5
st vincents hospital,35205,351,34,5
st vincents hospital,35205,352,34,5
decatur general hospital,35609,353,35,1
northwest medical center,35594,354,36,23
northwest medical center,35594,355,36,23
northwest medical center,35594,356,36,23
northwest medical center,35594,357,36,23
northwest medical center,35594,358,36,23
northwest medical center,35594,359,36,23
northwest medical center,35594,360,36,23
northwest medical center,35594,361,36,23
northwest medical center,35594,362,36,23
northwest medical center,35594,363,36,23
northwest medical center,35594,364,36,23
northwest medical center,35594,365,36,23
northwest medical center,3xx94,366,37,2
northwest medical center,35594,367,36,23
northwest medical center,35594,368,36,23
northwest medical center,35594,369,36,23
northwest medical center,35594,370,36,23
northwest medical center,35594,371,36,23
northwest medical center,35594,372,36,23
northwest medical center,35594,373,36,23
northwest medical center,35594,374,36,23
northwest medical center,3xx94,375,37,2
northwest medical center,35594,376,36,23
northwest medical center,35594,377,36,23
northwest medical center,35594,378,36,23
univ of south alabama medical center,36617,379,38,11
univ of south alabama medical center,36617,380,38,11
univ of south alabama medical center,36617,381,38,11
univ of south alabama medical center,36617,382,38,11
univ of south alabama medical center,36617,383,38,11
univ ox south alabama medical center,36617,384,39,1
xniv of soxth alabama medical center,36617,385,40,1
univ of south alabama medical center,36617,386,38,11
univ of south alabama medical center,36617,387,38,11
univ of south alabama medical center,36617,388,38,11
univ of south alabama medical center,36617,389,38,11
univ of south alabama medical center,36617,390,38,11
univ of south alabama medical center,36617,391,38,11
prattville baptist hospital,36067,392,41,19
prattville baptist hospital,36067,393,41,19
prattville baptist hospital,36067,394,41,19
prattville baptist hospital,36067,395,41,19
prattville baptist hospital,36067,396,41,19
prattville baptist hospital,36067,397,41,19
prattville baptist hospital,36067,398,41,19
prattville baptist hospital,36067,399,41,19
prattville baptist hospital,36067,400,41,19
prattville baptist hospital,36067,401,41,19
prattville baptist hospital,36067,402,41,19
prattville baptist hospital,36067,403,41,19
prattville baptist hospital,36067,404,41,19
prattville baptist hospital,36067,405,41,19
prattville baptist hospital,3x0x7,406,42,1
prattville baptist hospital,36067,407,41,19
prattville baptist hospital,36067,408,41,19
prattville baptist hospital,36067,409,41,19
prattville baptist hospital,36067,410,41,19
prattville baptist hospital,36067,411,41,19
russellville hospital,35653,412,43,2
russellville hospital,35653,413,43,2
coosa valley medical center,35150,414,44,16
coosa valley medical center,35150,415,44,16
coosa valley medical center,35150,416,44,16
coosa valley medical center,35150,417,44,16
coosa valley medical center,35150,418,44,16
coosa valley medical center,35150,419,44,16
coosa valley medical center,x5150,420,45,1
coosa valley medical center,35150,421,44,16
coosa valley medical center,35150,422,44,16
coosa valley medical center,35150,423,44,16
coosa valley medical center,35150,424,44,16
coosa valley medical center,35150,425,44,16
coosa valley medical center,35150,426,44,16
coosa valley medical center,35150,427,44,16
coosa valley medical center,3x1x0,428,46,1
coosa valley medical center,35150,429,44,16
coosa valley medical center,35150,430,44,16
coosa valley medical center,35150,431,44,16
alaska regional hospital,99508,432,47,17
alaska regional hospital,99508,433,47,17
alaska regional hospital,99508,434,47,17
alaska regional hospital,99508,435,47,17
alaska regional hospital,99508,436,47,17
alaska regional hospital,99508,437,47,17
alaska regional hospital,99508,438,47,17
alaska regional hospital,99508,439,47,17
alaska regional hospital,99508,440,47,17
alaska regional hospital,99508,441,47,17
alaska regional hospital,99508,442,47,17
alaska regional hospital,99508,443,47,17
alaska regional hospital,99508,444,47,17
alaska regional hospital,99508,445,47,17
alaska regional hospital,99508,446,47,17
alaska regional hospital,99508,447,47,17
xlxskx regionxl hospitxl,99508,448,48,1
alaska regional hospital,99508,449,47,17
yukon kuskokwim delta reg hospital,99559,450,49,2
yukon kuskokwim delta reg hospital,99559,451,49,2
helen keller memorial hospital,35660,452,1,25
helen keller memorial hospital,35660,453,1,25
helen keller memorial hospital,35660,454,1,25
helen keller memorial hospital,35660,455,1,25
helen keller memorial hospital,35660,456,1,25
helen keller memorial hospital,35660,457,1,25
helen keller memorial hospital,35660,458,1,25
helen keller memorial hospital,35660,459,1,25
helen keller memorial hospital,35660,460,1,25
helen keller memorial hospital,35660,461,1,25
helen keller memorial hospital,35660,462,1,25
helen keller memorial hospital,35660,463,1,25
helen keller memorial hospital,35660,464,1,25
helen keller memorial hospital,35660,465,1,25
dale medical center,36360,466,50,24
dale medical center,36360,467,50,24
dale medical center,36360,468,50,24
dale medical center,36360,469,50,24
dale medical center,36360,470,50,24
dale medical center,36360,471,50,24
dale medical center,36360,472,50,24
dale medical center,36360,473,50,24
dale medical center,36360,474,50,24
dale medical center,36360,475,50,24
dale medical center,36360,476,50,24
dale medical center,36360,477,50,24
dale medical center,36360,478,50,24
dale medical center,36360,479,50,24
dale medical center,36360,480,50,24
dale medical center,36360,481,50,24
dale medical center,36360,482,50,24
dale medical center,36360,483,50,24
dale medical center,36360,484,50,24
dale medical center,36360,485,50,24
dale medical center,36360,486,50,24
dale medical center,36360,487,50,24
dale medical center,36360,488,50,24
dale medical center,36360,489,50,24
dale medical center,x6x60,490,51,1
cherokee medical center,35960,491,52,24
cherokee medical center,35960,492,52,24
cherokee medical center,35960,493,52,24
cherokee medical center,35960,494,52,24
cherokee medical center,35960,495,52,24
cherokee medical center,35960,496,52,24
cherokee medical center,35960,497,52,24
cherokee medical center,35960,498,52,24
cherokee medical center,x5960,499,53,1
cherokee medical center,35960,500,52,24
cherokee medical center,35960,501,52,24
cherokee medical center,35960,502,52,24
cherokee medical center,35960,503,52,24
cherokee medical center,35960,504,52,24
cherokee medical center,35960,505,52,24
cherokee medical center,35960,506,52,24
cherokee medical center,35960,507,52,24
cherokee medical center,35960,508,52,24
cherokee medical center,35960,509,52,24
cherokee medical center,35960,510,52,24
cherokee medical center,35960,511,52,24
cherokee medical center,35960,512,52,24
cherokee medical center,35960,513,52,24
cherokee medical center,35960,514,52,24
cherokee medical center,35960,515,52,24
baptist medical center south,36116,516,54,24
baptist medical center south,36116,517,54,24
baptist medical center south,36116,518,54,24
baptist medical center south,36116,519,54,24
baptist medical center south,36116,520,54,24
baptist medical center south,36116,521,54,24
baptist medical center south,36116,522,54,24
baptist medical center south,36116,523,54,24
baptist medical center south,36116,524,54,24
baptist medical center south,36116,525,54,24
baptist medical center south,36116,526,54,24
baptist medical center south,36116,527,54,24
baptist medical center south,36116,528,54,24
baptist medical center south,36116,529,54,24
baptist medical center south,36116,530,54,24
baptist medical center south,36116,531,54,24
baptist medical cexter south,36116,532,55,1
baptist medical center south,36116,533,54,24
baptist medical center south,36116,534,54,24
baptist medical center south,36116,535,54,24
baptist medical center south,36116,536,54,24
baptist medical center south,36116,537,54,24
baptist medical center south,36116,538,54,24
baptist medical center south,36116,539,54,24
baptist medical center south,36116,540,54,24
jackson hospital & clinic inc,36106,541,56,23
jackson hospital & clinic inc,36106,542,56,23
jackson hospital & clinic inc,36106,543,56,23
jackson hospital & clinic inc,3x10x,544,57,1
jackson hospital & clinic inc,36106,545,56,23
jackson hospital & clinic inc,36106,546,56,23
jackson hospital & clinic inc,36106,547,56,23
jackson hospital & clinic inc,36106,548,56,23
jackson hospital & clinic inc,36106,549,56,23
jackson hospital & clinic inc,36106,550,56,23
jackson hospital & clinic inc,36106,551,56,23
jackson hospital & clinic inc,36106,552,56,23
jackson hospital & clinic inc,36106,553,56,23
jackson hospital & clinic inc,36106,554,56,23
jackson hospital & clinic inc,36106,555,56,23
jackson hospital & clinic inc,36106,556,56,23
jackson hospital & clinic inc,36106,557,56,23
jackson hospital & clinic inc,36106,558,56,23
jackson hospital & clinic inc,36106,559,56,23
jaxkson hospital & xlinix inx,36106,560,58,1
jackson hospital & clinic inc,36106,561,56,23
jackson hospital & clinic inc,36106,562,56,23
jackson hospital & clinic inc,36106,563,56,23
jackson hospital & clinic inc,36106,564,56,23
jackson hospital & clinic inc,36106,565,56,23
g h lanier memorial hospital,36854,566,59,25
g h lanier memorial hospital,36854,567,59,25
g h lanier memorial hospital,36854,568,59,25
g h lanier memorial hospital,36854,569,59,25
g h lanier memorial hospital,36854,570,59,25
g h lanier memorial hospital,36854,571,59,25
g h lanier memorial hospital,36854,572,59,25
g h lanier memorial hospital,36854,573,59,25
g h lanier memorial hospital,36854,574,59,25
g h lanier memorial hospital,36854,575,59,25
g h lanier memorial hospital,36854,576,59,25
g h lanier memorial hospital,36854,577,59,25
g h lanier memorial hospital,36854,578,59,25
g h lanier memorial hospital,36854,579,59,25
g h lanier memorial hospital,36854,580,59,25
g h lanier memorial hospital,36854,581,59,25
g h lanier memorial hospital,36854,582,59,25
g h lanier memorial hospital,36854,583,59,25
g h lanier memorial hospital,36854,584,59,25
g h lanier memorial hospital,36854,585,59,25
g h lanier memorial hospital,36854,586,59,25
g h lanier memorial hospital,36854,587,59,25
g h lanier memorial hospital,36854,588,59,25
g h lanier memorial hospital,36854,589,59,25
g h lanier memorial hospital,36854,590,59,25
elba general hospital,36323,591,60,25
elba general hospital,36323,592,60,25
elba general hospital,36323,593,60,25
elba general hospital,36323,594,60,25
elba general hospital,36323,595,60,25
elba general hospital,36323,596,60,25
elba general hospital,36323,597,60,25
elba general hospital,36323,598,60,25
elba general hospital,36323,599,60,25
elba general hospital,36323,600,60,25
elba general hospital,36323,601,60,25
elba general hospital,36323,602,60,25
elba general hospital,36323,603,60,25
elba general hospital,36323,604,60,25
elba general hospital,36323,605,60,25
elba general hospital,36323,606,60,25
elba general hospital,36323,607,60,25
elba general hospital,36323,608,60,25
elba general hospital,36323,609,60,25
elba general hospital,36323,610,60,25
elba general hospital,36323,611,60,25
elba general hospital,36323,612,60,25
elba general hospital,36323,613,60,25
elba general hospital,36323,614,60,25
elba general hospital,36323,615,60,25
east alabama medical center and snf,36801,616,61,25
east alabama medical center and snf,36801,617,61,25
east alabama medical center and snf,36801,618,61,25
east alabama medical center and snf,36801,619,61,25
east alabama medical center and snf,36801,620,61,25
east alabama medical center and snf,36801,621,61,25
east alabama medical center and snf,36801,622,61,25
east alabama medical center and snf,36801,623,61,25
east alabama medical center and snf,36801,624,61,25
east alabama medical center and snf,36801,625,61,25
east alabama medical center and snf,36801,626,61,25
east alabama medical center and snf,36801,627,61,25
east alabama medical center and snf,36801,628,61,25
east alabama medical center and snf,36801,629,61,25
east alabama medical center and snf,36801,630,61,25
east alabama medical center and snf,36801,631,61,25
east alabama medical center and snf,36801,632,61,25
east alabama medical center and snf,36801,633,61,25
east alabama medical center and snf,36801,634,61,25
east alabama medical center and snf,36801,635,61,25
east alabama medical center and snf,36801,636,61,25
east alabama medical center and snf,36801,637,61,25
east alabama medical center and snf,36801,638,61,25
east alabama medical center and snf,36801,639,61,25
east alabama medical center and snf,36801,640,61,25
wedowee hospital,36278,641,62,24
wedowee hospital,36278,642,62,24
wedowee hospital,36278,643,62,24
wedowee hospital,36278,644,62,24
wedowee hospital,36278,645,62,24
wedowee hospital,36278,646,62,24
wedowee hospital,36278,647,62,24
wedowee hospital,36278,648,62,24
wedowee hospital,36278,649,62,24
wedowee hospital,36278,650,62,24
wedowee hospital,36278,651,62,24
wedowee hospital,36278,652,62,24
wedowee hospital,36278,653,62,24
wedowee hosxital,36278,654,63,1
wedowee hospital,36278,655,62,24
wedowee hospital,36278,656,62,24
wedowee hospital,36278,657,62,24
wedowee hospital,36278,658,62,24
wedowee hospital,36278,659,62,24
wedowee hospital,36278,660,62,24
wedowee hospital,36278,661,62,24
wedowee hospital,36278,662,62,24
wedowee hospital,36278,663,62,24
wedowee hospital,36278,664,62,24
wedowee hospital,36278,665,62,24
university of alabama hospital,35233,666,64,23
university of alabama hospital,35233,667,64,23
university of alabama hospital,35233,668,64,23
university of alabama hospital,35233,669,64,23
university of alabama hospital,35233,670,64,23
university of alabama hospital,35233,671,64,23
university of alabama hospital,35233,672,64,23
university of alabama hospital,35233,673,64,23
university of alabama hospital,35233,674,64,23
university of alabama hospital,35233,675,64,23
university of alabama hospital,35233,676,64,23
university of alabama hospital,35233,677,64,23
university of alabama hospital,35233,678,64,23
university of alabama hospital,3x233,679,65,1
university of alabama hospital,35233,680,64,23
university of alabama hospital,35233,681,64,23
university of alabama hospital,35233,682,64,23
university of alabama hospital,35233,683,64,23
university of alabama hospital,35233,684,64,23
university of alabama hospital,x52xx,685,66,1
university of alabama hospital,35233,686,64,23
university of alabama hospital,35233,687,64,23
university of alabama hospital,35233,688,64,23
university of alabama hospital,35233,689,64,23
university of alabama hospital,35233,690,64,23
community hospital inc,36078,691,67,23
community hospital inc,36078,692,67,23
community hospital inc,36078,693,67,23
community hospital inc,36078,694,67,23
community hospital inc,36078,695,67,23
community hospital inc,36078,696,67,23
communitx hospital inc,36078,697,68,1
community hospital inc,36078,698,67,23
community hospital inc,36078,699,67,23
community hospital inc,36078,700,67,23
community hospital inc,36078,701,67,23
community hospital inc,36078,702,67,23
community hospital inc,36078,703,67,23
community hospital inc,36078,704,67,23
community hospital inc,36078,705,67,23
community hospital inc,36078,706,67,23
community hospital inc,36078,707,67,23
community hospital inc,36078,708,67,23
community hospital inc,36078,709,67,23
communixy hospixal inc,36x78,710,69,1
community hospital inc,36078,711,67,23
community hospital inc,36078,712,67,23
community hospital inc,36078,713,67,23
community hospital inc,36078,714,67,23
community hospital inc,36078,715,67,23
cullman regional medical center,35058,716,70,24
cullman regional medical center,35058,717,70,24
cullman regional medical center,35058,718,70,24
cullman regional medical center,35058,719,70,24
cullman regional medical center,35058,720,70,24
cullman regional medical center,35058,721,70,24
cullman regional medical center,35058,722,70,24
cullman regional medical center,35058,723,70,24
cullman regional medical center,35058,724,70,24
cullman regional medical center,35058,725,70,24
cullman regional medical center,35058,726,70,24
cullman regional medical center,35058,727,70,24
cullman regional medical center,35058,728,70,24
cullman regional medical center,35058,729,70,24
cullmxn regionxl medicxl center,35058,730,71,1
cullman regional medical center,35058,731,70,24
cullman regional medical center,35058,732,70,24
cullman regional medical center,35058,733,70,24
cullman regional medical center,35058,734,70,24
cullman regional medical center,35058,735,70,24
cullman regional medical center,35058,736,70,24
cullman regional medical center,35058,737,70,24
cullman regional medical center,35058,738,70,24
cullman regional medical center,35058,739,70,24
cullman regional medical center,35058,740,70,24
andalusia regional hospital,36420,741,72,22
andalusia regional hospital,36420,742,72,22
andalusia regional hospital,36420,743,72,22
andalusia regional hospital,36420,744,72,22
andalusia regional hospital,36420,745,72,22
andalusia regional hospital,36420,746,72,22
andalusia regional hospital,36420,747,72,22
andalusia regional hospital,36420,748,72,22
andalusia regional hospital,36420,749,72,22
andalusia regional hospital,3642x,750,73,1
andalusia regional hospital,36420,751,72,22
andalusia regional hospital,36420,752,72,22
andalusia regional hospital,36420,753,72,22
andalusia regional hospital,36420,754,72,22
andalusia regional hospital,36420,755,72,22
andalusia regional hospital,36420,756,72,22
