article_jvolumn,article_jissue,original_index,unique_index,count
4.0,7.0,242,200,2.0
97.0,0.0,243,204,1.0
16.0,4.0,244,205,5.0
15.0,0.0,245,206,3.0
16.0,1.0,246,79,4.0
20.0,4.0,247,207,2.0
515.0,1.0,248,208,1.0
7.0,2.0,249,209,1.0
35.0,3.0,250,210,6.0
20.0,2.0,251,211,2.0
10.0,0.0,252,212,1.0
1.0,1.0,253,213,2.0
242.0,117.0,254,214,1.0
23.0,5.0,255,215,2.0
34.0,2.0,256,216,2.0
68.0,6.0,257,118,2.0
42.0,5.0,258,217,2.0
23.0,24.0,259,218,1.0
32.0,4.0,260,219,3.0
137.0,2.0,261,220,1.0
44.0,7.0,262,221,1.0
41.0,2.0,263,222,1.0
132.0,3.0,264,223,1.0
57.0,2.0,265,224,1.0
61.0,7.0,266,117,2.0
12.0,0.0,267,225,2.0
19.0,5.0,268,226,2.0
0.0,0.0,269,32,88.0
33.0,5.0,270,227,2.0
99.0,0.0,271,228,1.0
173.0,0.0,272,229,1.0
48.0,3.0,273,230,1.0
16.0,4.0,274,205,5.0
0.0,0.0,275,32,88.0
0.0,0.0,276,32,88.0
122.0,5.0,277,231,1.0
45.0,11.0,278,232,1.0
0.0,0.0,279,32,88.0
81.0,8.0,280,233,1.0
40.0,0.0,281,21,2.0
245.0,5.0,282,234,1.0
0.0,0.0,283,32,88.0
0.0,4.0,284,17,4.0
7.0,0.0,285,56,3.0
57.0,5.0,286,235,2.0
44.0,0.0,287,236,3.0
7.0,4.0,288,237,2.0
72.0,9.0,289,238,1.0
74.0,1.0,290,185,2.0
7.0,1.0,291,239,1.0
40.0,1.0,292,240,2.0
6.0,0.0,293,241,3.0
7.0,4.0,294,237,2.0
35.0,3.0,295,210,6.0
20.0,6.0,296,242,1.0
78.0,,297,243,
189.0,4.0,298,244,1.0
26.0,4.0,299,245,2.0
34.0,2.0,300,216,2.0
127.0,8.0,301,246,1.0
15.0,2.0,302,247,2.0
31.0,2.0,303,248,1.0
118.0,1.0,304,249,1.0
86.0,7.0,305,250,1.0
0.0,0.0,306,32,88.0
56.0,6.0,307,251,2.0
49.0,6.0,308,252,1.0
147.0,6.0,309,253,1.0
0.0,0.0,310,32,88.0
16.0,10.0,311,254,1.0
,,312,1,
0.0,0.0,313,32,88.0
49.0,0.0,314,255,2.0
270.0,2.0,315,256,1.0
22.0,8.0,316,257,1.0
56.0,8.0,317,258,1.0
43.0,0.0,318,259,2.0
24.0,3.0,319,191,4.0
40.0,10.0,320,260,1.0
42.0,4.0,321,261,1.0
41.0,3.0,322,262,1.0
,,323,1,
13.0,0.0,324,106,2.0
0.0,0.0,325,32,88.0
18.0,3.0,326,128,4.0
0.0,0.0,327,32,88.0
15.0,2.0,328,247,2.0
0.0,0.0,329,32,88.0
20.0,2.0,330,211,2.0
26.0,,331,263,
25.0,0.0,332,264,2.0
5.0,0.0,333,265,2.0
13.0,6.0,334,52,2.0
10.0,5.0,335,266,1.0
16.0,4.0,336,205,5.0
53.0,5.0,337,267,1.0
5.0,2.0,338,268,3.0
59.0,2.0,339,269,1.0
,,340,1,
43.0,0.0,341,259,2.0
0.0,0.0,342,32,88.0
48.0,4.0,343,270,1.0
0.0,0.0,344,32,88.0
9.0,2.0,345,271,1.0
32.0,6.0,346,272,2.0
11.0,3.0,347,107,4.0
33.0,3.0,348,273,2.0
10.0,8.0,349,274,1.0
58.0,2.0,350,275,2.0
75.0,12.0,351,276,1.0
30.0,0.0,352,143,2.0
12.0,,353,169,
29.0,4.0,354,277,3.0
11.0,3.0,355,107,4.0
,,356,1,
50.0,4.0,357,278,1.0
108.0,2.0,358,279,1.0
82.0,2.0,359,280,1.0
,,360,1,
25.0,11.0,361,281,1.0
53.0,1.0,362,282,1.0
319.0,17.0,363,283,1.0
43.0,4.0,364,284,1.0
2014.0,,365,285,
3.0,3.0,366,35,4.0
43.0,10.0,367,286,2.0
41.0,11.0,368,287,1.0
24.0,6.0,369,288,1.0
56.0,3.0,370,197,2.0
161.0,5.0,371,289,1.0
47.0,0.0,372,290,1.0
9.0,0.0,373,291,1.0
16.0,2.0,374,292,2.0
61.0,133.0,375,293,1.0
26.0,5.0,376,294,1.0
7.0,12.0,377,295,1.0
49.0,1.0,378,296,1.0
7.0,5.0,379,297,1.0
102.0,5.0,380,298,1.0
61.0,5.0,381,299,1.0
80.0,8.0,382,300,1.0
9.0,3.0,383,301,1.0
43.0,1.0,384,302,1.0
45.0,0.0,385,303,2.0
21.0,0.0,386,48,5.0
21.0,3.0,387,304,5.0
0.0,0.0,388,32,88.0
46.0,3.0,389,72,4.0
19.0,2.0,390,78,4.0
113.0,2.0,391,305,1.0
21.0,3.0,392,304,5.0
29.0,4.0,393,277,3.0
129.0,6.0,394,306,1.0
88.0,1042.0,395,307,1.0
62.0,2.0,396,308,1.0
113.0,3.0,397,309,1.0
2.0,1.0,398,310,1.0
35.0,3.0,399,210,6.0
4.0,4.0,400,198,5.0
75.0,2.0,401,311,1.0
19.0,4.0,402,181,2.0
35.0,2.0,403,123,2.0
33.0,1.0,404,312,1.0
9.0,12.0,405,313,1.0
119.0,4.0,406,314,1.0
66.0,7.0,407,315,1.0
75.0,0.0,408,316,1.0
147.0,15.0,409,317,1.0
69.0,0.0,410,318,1.0
16.0,1.0,411,79,4.0
46.0,6.0,412,319,1.0
0.0,0.0,413,32,88.0
0.0,0.0,414,32,88.0
120.0,14.0,415,320,1.0
24.0,2.0,416,34,5.0
13.0,2.0,417,321,1.0
27.0,11.0,418,322,1.0
0.0,0.0,419,32,88.0
4.0,4.0,420,198,5.0
42.0,,421,323,
37.0,8.0,422,324,1.0
32.0,1.0,423,325,3.0
24.0,0.0,424,144,2.0
127.0,5.0,425,326,1.0
0.0,0.0,426,32,88.0
9.0,6.0,427,327,1.0
176.0,4537.0,428,328,1.0
78.0,4.0,429,329,1.0
110.0,1.0,430,330,1.0
27.0,6.0,431,136,4.0
32.0,0.0,432,331,2.0
143.0,0.0,433,332,1.0
74.0,6.0,434,333,1.0
103.0,0.0,435,102,2.0
14.0,,436,334,
124.0,0.0,437,335,2.0
20.0,0.0,438,336,3.0
86.0,12.0,439,337,1.0
63.0,0.0,440,338,2.0
115.0,2.0,441,339,1.0
15.0,6.0,442,340,1.0
13.0,3.0,443,341,1.0
19.0,10.0,444,342,1.0
,,445,1,
7.0,,446,16,
2007.0,0.0,447,343,1.0
21.0,3.0,448,304,5.0
21.0,14.0,449,344,1.0
42.0,3.0,450,345,1.0
13.0,9.0,451,346,3.0
12.0,11.0,452,347,1.0
3.0,0.0,453,82,2.0
48.0,1.0,454,348,1.0
37.0,2.0,455,349,2.0
28.0,4.0,456,104,3.0
23.0,12.0,457,350,2.0
10.0,4.0,458,5,4.0
69.0,17.0,459,351,1.0
20.0,1.0,460,131,3.0
110.0,5.0,461,352,1.0
17.0,12.0,462,353,1.0
30.0,1.0,463,354,1.0
6.0,0.0,464,241,3.0
49.0,5.0,465,355,2.0
95.0,0.0,466,356,1.0
16.0,2.0,467,292,2.0
21.0,3.0,468,304,5.0
21.0,1.0,469,357,1.0
40.0,5.0,470,164,3.0
48.0,5.0,471,358,1.0
348.0,6230.0,472,359,1.0
2013.0,,473,360,
63.0,1.0,474,361,2.0
55.0,12.0,475,120,2.0
155.0,3.0,476,362,1.0
57.0,5.0,477,235,2.0
55.0,7.0,478,363,2.0
43.0,2.0,479,364,1.0
45.0,3.0,480,365,1.0
80.0,3.0,481,366,1.0
18.0,2.0,482,133,4.0
5.0,2.0,483,268,3.0
8.0,3.0,484,367,1.0
49.0,2.0,485,368,1.0
96.0,1.0,486,369,1.0
0.0,0.0,487,32,88.0
0.0,0.0,488,32,88.0
124.0,0.0,489,335,2.0
6.0,0.0,490,241,3.0
33.0,14.0,491,370,1.0
18.0,9.0,492,371,1.0
39.0,4.0,493,81,2.0
16.0,4.0,494,205,5.0
310.0,7.0,495,372,1.0
0.0,0.0,496,32,88.0
29.0,1.0,497,373,3.0
28.0,0.0,498,374,1.0
4.0,2.0,499,137,2.0
169.0,7.0,500,375,1.0
23.0,2.0,501,376,1.0
23.0,4.0,502,194,2.0
70.0,1.0,503,377,1.0
23.0,1.0,504,378,1.0
37.0,2.0,505,349,2.0
27.0,5.0,506,379,1.0
20.0,11.0,507,380,1.0
82.0,9.0,508,381,1.0
45.0,5.0,509,382,1.0
14.0,1.0,510,383,1.0
57.0,6.0,511,384,2.0
347.0,,512,385,
79.0,3.0,513,386,1.0
3.0,1.0,514,387,1.0
140.0,4.0,515,388,1.0
38.0,7.0,516,389,1.0
26.0,4.0,517,245,2.0
65.0,10.0,518,390,1.0
85.0,40.0,519,391,1.0
18.0,1.0,520,392,2.0
21.0,4.0,521,129,4.0
,4.0,522,393,
73.0,4.0,523,95,2.0
289.0,40.0,524,394,1.0
121.0,19.0,525,395,1.0
58.0,2.0,526,275,2.0
37.0,1.0,527,396,2.0
37.0,1.0,528,396,2.0
10.0,6.0,529,397,2.0
0.0,0.0,530,32,88.0
316.0,5826.0,531,398,1.0
254.0,,532,399,
,,533,1,
37.0,5.0,534,88,2.0
5.0,2.0,535,268,3.0
0.0,0.0,536,32,88.0
34.0,4.0,537,187,2.0
47.0,3.0,538,400,1.0
54.0,2.0,539,401,1.0
184.0,5.0,540,402,1.0
0.0,0.0,541,32,88.0
10.0,3.0,542,86,2.0
329.0,7462.0,543,403,1.0
0.0,0.0,544,32,88.0
44.0,11.0,545,404,1.0
82.0,3.0,546,405,1.0
0.0,0.0,547,32,88.0
147.0,3.0,548,406,1.0
,,549,1,
,,550,1,
67.0,2.0,551,407,1.0
0.0,0.0,552,32,88.0
89.0,3.0,553,408,1.0
138.0,9.0,554,409,1.0
36.0,6.0,555,410,1.0
110.0,11.0,556,411,1.0
63.0,0.0,557,338,2.0
0.0,350.0,558,412,1.0
20.0,7.0,559,413,1.0
21.0,0.0,560,48,5.0
6.0,11.0,561,111,3.0
33.0,0.0,562,189,2.0
196.0,5.0,563,414,1.0
0.0,0.0,564,32,88.0
19.0,1.0,565,89,2.0
365.0,9453.0,566,415,1.0
29.0,2.0,567,6,3.0
33.0,2.0,568,416,1.0
12.0,2.0,569,59,5.0
37.0,4.0,570,417,1.0
41.0,0.0,571,418,1.0
151.0,7.0,572,419,1.0
62.0,0.0,573,420,1.0
35.0,3.0,574,210,6.0
46.0,4.0,575,421,1.0
9.0,4.0,576,422,1.0
16.0,4.0,577,205,5.0
49.0,4.0,578,423,1.0
29.0,3.0,579,66,4.0
56.0,6.0,580,251,2.0
30.0,4.0,581,424,1.0
20.0,5.0,582,425,2.0
8.0,8.0,583,426,1.0
0.0,0.0,584,32,88.0
90.0,10.0,585,427,1.0
26.0,9.0,586,428,3.0
18.0,10.0,587,429,1.0
14.0,11.0,588,430,2.0
43.0,10.0,589,286,2.0
32.0,1.0,590,325,3.0
68.0,7.0,591,431,1.0
0.0,0.0,592,32,88.0
90.0,0.0,593,432,2.0
0.0,0.0,594,32,88.0
15.0,4.0,595,433,3.0
10.0,4.0,596,5,4.0
141.0,9.0,597,434,1.0
24.0,4.0,598,435,1.0
108.0,4.0,599,436,1.0
44.0,3.0,600,437,2.0
32.0,5.0,601,438,2.0
85.0,8.0,602,439,1.0
6.0,11.0,603,111,3.0
85.0,,604,440,
28.0,2.0,605,441,1.0
89.0,11.0,606,442,1.0
57.0,1.0,607,443,1.0
133.0,1.0,608,444,1.0
22.0,4.0,609,445,3.0
28.0,5.0,610,446,2.0
9.0,5.0,611,447,1.0
256.0,4.0,612,448,1.0
21.0,4.0,613,129,4.0
77.0,5.0,614,449,1.0
506.0,7486.0,615,450,1.0
24.0,3.0,616,191,4.0
284.0,0.0,617,451,1.0
25.0,4.0,618,452,1.0
17.0,2.0,619,453,3.0
14.0,3.0,620,454,2.0
135.0,31.0,621,455,1.0
32.0,0.0,622,331,2.0
47.0,12.0,623,456,1.0
35.0,4.0,624,457,2.0
31.0,9.0,625,458,1.0
81.0,5.0,626,459,1.0
80.0,12.0,627,460,1.0
7.0,6.0,628,461,2.0
24.0,2.0,629,34,5.0
17.0,8.0,630,462,1.0
91.0,5.0,631,463,2.0
36.0,0.0,632,464,2.0
51.0,0.0,633,465,1.0
0.0,0.0,634,32,88.0
25.0,2.0,635,466,2.0
14.0,4.0,636,467,2.0
94.0,0.0,637,468,1.0
22.0,4.0,638,445,3.0
84.0,0.0,639,3,2.0
57.0,6.0,640,384,2.0
15.0,7.0,641,469,1.0
,,642,1,
124.0,18.0,643,470,1.0
76.0,3.0,644,471,1.0
0.0,0.0,645,32,88.0
21.0,3.0,646,304,5.0
97.0,4.0,647,472,1.0
20.0,1.0,648,131,3.0
17.0,2.0,649,453,3.0
16.0,0.0,650,473,2.0
53.0,6.0,651,474,1.0
16.0,1.0,652,79,4.0
46.0,8.0,653,475,1.0
5.0,1.0,654,115,2.0
29.0,3.0,655,66,4.0
23.0,10.0,656,476,1.0
46.0,10.0,657,477,1.0
46.0,3.0,658,72,4.0
14.0,11.0,659,430,2.0
108.0,5.0,660,478,1.0
45.0,0.0,661,303,2.0
20.0,3.0,662,479,3.0
9.0,7.0,663,480,1.0
19.0,5.0,664,226,2.0
0.0,0.0,665,32,88.0
15.0,5.0,666,481,2.0
119.0,2.0,667,482,1.0
1.0,1.0,668,213,2.0
18.0,2.0,669,133,4.0
111.0,9.0,670,483,1.0
7.0,288.0,671,484,1.0
86.0,5.0,672,485,1.0
151.0,1.0,673,486,1.0
110.0,4.0,674,487,1.0
6.0,2.0,675,25,3.0
25.0,0.0,676,264,2.0
2.0,0.0,677,488,2.0
2.0,4.0,678,83,2.0
137.0,3.0,679,489,1.0
50.0,7.0,680,490,1.0
113.0,0.0,681,491,1.0
28.0,1.0,682,175,4.0
69.0,9.0,683,492,1.0
36.0,0.0,684,464,2.0
32.0,1.0,685,325,3.0
20.0,4.0,686,207,2.0
91.0,6.0,687,493,1.0
108.0,1.0,688,494,1.0
34.0,0.0,689,495,1.0
61.0,11.0,690,496,1.0
26.0,0.0,691,497,1.0
28.0,1.0,692,175,4.0
2.0,3.0,693,192,2.0
18.0,3.0,694,128,4.0
104.0,12.0,695,498,1.0
20.0,5.0,696,425,2.0
36.0,12.0,697,499,1.0
20.0,0.0,698,336,3.0
0.0,0.0,699,32,88.0
126.0,0.0,700,500,1.0
0.0,0.0,701,32,88.0
2.0,0.0,702,488,2.0
0.0,0.0,703,32,88.0
2014.0,,704,285,
29.0,1.0,705,373,3.0
44.0,4.0,706,501,1.0
56.0,7.0,707,502,2.0
64.0,2.0,708,37,2.0
32.0,4.0,709,219,3.0
17.0,2.0,710,453,3.0
0.0,0.0,711,32,88.0
12.0,,712,169,
35.0,3.0,713,210,6.0
15.0,10.0,714,503,1.0
12.0,2.0,715,59,5.0
17.0,4.0,716,504,1.0
34.0,1.0,717,505,1.0
114.0,8.0,718,506,1.0
115.0,1.0,719,507,2.0
50.0,1.0,720,508,1.0
91.0,5.0,721,463,2.0
18.0,1.0,722,392,2.0
13.0,8.0,723,509,1.0
0.0,0.0,724,32,88.0
0.0,0.0,725,32,88.0
0.0,0.0,726,32,88.0
30.0,2.0,727,510,1.0
0.0,9.0,728,511,1.0
14.0,5.0,729,10,2.0
44.0,0.0,730,236,3.0
65.0,1.0,731,512,1.0
66.0,8.0,732,513,1.0
25.0,1.0,733,514,3.0
25.0,1.0,734,514,3.0
29.0,1.0,735,373,3.0
25.0,2.0,736,466,2.0
72.0,5.0,737,515,2.0
28.0,15.0,738,516,1.0
44.0,2.0,739,517,1.0
44.0,9.0,740,201,2.0
194.0,1.0,741,518,1.0
23.0,0.0,742,519,3.0
0.0,0.0,743,32,88.0
58.0,,744,520,
128.0,22.0,745,521,1.0
0.0,0.0,746,32,88.0
0.0,0.0,747,32,88.0
72.0,8.0,748,522,1.0
54.0,5.0,749,523,1.0
65.0,0.0,750,524,1.0
55.0,8.0,751,525,1.0
0.0,0.0,752,32,88.0
1.0,3.0,753,80,2.0
42.0,12.0,754,44,2.0
67.0,10.0,755,526,1.0
28.0,5.0,756,446,2.0
0.0,0.0,757,32,88.0
23.0,12.0,758,350,2.0
17.0,7.0,759,527,1.0
284.0,2.0,760,528,1.0
48.0,7.0,761,529,1.0
240.0,1.0,762,530,1.0
56.0,0.0,763,531,2.0
53.0,10.0,764,532,1.0
32.0,2.0,765,533,1.0
0.0,0.0,766,32,88.0
26.0,9.0,767,428,3.0
,,768,1,
9.0,11.0,769,534,1.0
89.0,9.0,770,535,1.0
80.0,,771,536,
106.0,7.0,772,537,1.0
26.0,17.0,773,538,1.0
53.0,2.0,774,539,1.0
158.0,2.0,775,540,1.0
14.0,2.0,776,541,2.0
13.0,4.0,777,542,1.0
111.0,4.0,778,543,1.0
27.0,3.0,779,544,1.0
13.0,1.0,780,545,3.0
22.0,2.0,781,546,1.0
0.0,0.0,782,32,88.0
10.0,2.0,783,547,1.0
34.0,3.0,784,548,1.0
49.0,0.0,785,255,2.0
56.0,0.0,786,531,2.0
50.0,2.0,787,549,1.0
8.0,0.0,788,550,1.0
26.0,1.0,789,551,2.0
118.0,6.0,790,552,1.0
,,791,1,
128.0,2.0,792,553,1.0
33.0,5.0,793,227,2.0
49.0,5.0,794,355,2.0
65.0,12.0,795,554,1.0
3.0,2.0,796,98,2.0
29.0,5.0,797,555,1.0
0.0,0.0,798,32,88.0
19.0,2.0,799,78,4.0
106.0,11.0,800,556,1.0
27.0,1.0,801,43,3.0
16.0,0.0,802,473,2.0
14.0,2.0,803,541,2.0
15.0,1.0,804,146,3.0
15.0,3.0,805,39,5.0
53.0,7.0,806,557,1.0
25.0,1.0,807,514,3.0
29.0,3.0,808,66,4.0
13.0,10.0,809,75,2.0
0.0,0.0,810,32,88.0
0.0,0.0,811,32,88.0
7.0,0.0,812,56,3.0
61.0,4.0,813,558,1.0
289.0,16.0,814,559,1.0
64.0,0.0,815,90,2.0
71.0,1.0,816,560,2.0
288.0,0.0,817,561,1.0
39.0,0.0,818,562,3.0
41.0,12.0,819,563,1.0
14.0,0.0,820,114,3.0
22.0,4.0,821,445,3.0
4.0,0.0,822,564,1.0
173.0,19.0,823,565,1.0
29.0,4.0,824,277,3.0
70.0,4.0,825,566,1.0
14.0,14.0,826,567,1.0
58.0,11.0,827,568,1.0
141.0,5.0,828,569,1.0
6.0,2.0,829,25,3.0
123.0,2.0,830,570,1.0
103.0,8.0,831,571,1.0
0.0,0.0,832,32,88.0
120.0,10.0,833,572,1.0
32.0,5.0,834,438,2.0
15.0,0.0,835,206,3.0
10.0,6.0,836,397,2.0
21.0,2.0,837,112,2.0
40.0,5.0,838,164,3.0
23.0,0.0,839,519,3.0
0.0,0.0,840,32,88.0
360.0,19.0,841,573,1.0
35.0,10.0,842,574,1.0
159.0,1.0,843,575,1.0
15.0,0.0,844,206,3.0
15.0,1.0,845,146,3.0
12.0,9.0,846,576,1.0
27.0,0.0,847,577,1.0
66.0,10.0,848,578,1.0
0.0,0.0,849,32,88.0
22.0,3.0,850,579,1.0
11.0,3.0,851,107,4.0
121.0,6.0,852,580,1.0
13.0,9.0,853,346,3.0
87.0,4.0,854,581,1.0
11.0,4.0,855,582,1.0
0.0,0.0,856,32,88.0
113.0,24.0,857,583,1.0
124.0,5.0,858,584,1.0
18.0,3.0,859,128,4.0
44.0,0.0,860,236,3.0
,,861,1,
31.0,,862,585,
143.0,1.0,863,119,2.0
48.0,6.0,864,586,1.0
115.0,1.0,865,507,2.0
,3.0,866,587,
63.0,4.0,867,588,1.0
40.0,7.0,868,589,1.0
12.0,0.0,869,225,2.0
21.0,4.0,870,129,4.0
4.0,5.0,871,590,1.0
20.0,3.0,872,479,3.0
0.0,4.0,873,17,4.0
289.0,1.0,874,591,1.0
21.0,0.0,875,48,5.0
20.0,0.0,876,336,3.0
0.0,0.0,877,32,88.0
43.0,3.0,878,592,1.0
76.0,5.0,879,50,2.0
27.0,6.0,880,136,4.0
25.0,5.0,881,593,2.0
9.0,1.0,882,594,1.0
63.0,1.0,883,361,2.0
0.0,0.0,884,32,88.0
56.0,7.0,885,502,2.0
55.0,6.0,886,595,1.0
,,887,1,
8.0,7.0,888,596,1.0
0.0,0.0,889,32,88.0
23.0,5.0,890,215,2.0
28.0,1.0,891,175,4.0
23.0,0.0,892,519,3.0
