journal_issn,article_jvolumn,original_index,unique_index
1742-5255,3.0,95,93
,64.0,96,94
0022-0345,71.0,97,95
0193-1849,283.0,98,96
1878-3570,92.0,99,97
,0.0,100,31
1612-4782     1612-4790,15.0,101,98
,24.0,102,99
1556-5653,92.0,103,100
1432-0843,73.0,104,101
1057-9249,15.0,105,102
,52.0,106,103
,39.0,107,104
1471-4892,3.0,108,105
1469-493X,,109,106
1432-0851,63.0,110,107
2044-6055,3.0,111,108
,103.0,112,109
0143-991X,38.0,113,110
0315-162X,28.0,114,111
,0.0,115,31
0021-8987,41.0,116,112
,13.0,117,113
2115-7863(Electronic);2115-8789(Print),11.0,118,114
,0.0,119,31
Mar-22,85.0,120,115
1878-3503,106.0,121,116
1471-2458,13.0,122,117
1936-2625,6.0,123,118
1048-891X (Print)     1048-891x,21.0,124,119
1578-1968,27.0,125,120
,14.0,126,121
1840-0132 1840-2445 (electronic),5.0,127,122
1051-0443,10.0,128,123
-7518,11.0,129,124
Feb-14,61.0,130,125
Feb-37,68.0,131,126
,0.0,132,31
,0.0,133,31
,143.0,134,127
1079-5006,55.0,135,128
1432-2161,43.0,136,129
,23.0,137,130
,35.0,138,14
,17.0,139,131
,89.0,140,132
,137.0,141,133
,0.0,142,31
0266-7681 (Print) 0266-7681,30.0,143,134
1540-8167,18.0,144,135
,21.0,145,47
,94.0,146,136
1381-4788,20.0,147,137
0017-5749,6.0,148,138
0363-6771,52.0,149,139
0956-7135,18.0,150,140
1873-3514,50.0,151,141
0028-2162,149.0,152,142
,27.0,153,143
00913960 (ISSN),4.0,154,144
1424-7860,137.0,155,145
,73.0,156,146
1092-8529,18.0,157,147
Jan-15,80.0,158,148
1790-8019,18.0,159,149
,19.0,160,150
2249-782X,8.0,161,151
,30.0,162,152
,24.0,163,99
0927-3972,3.0,164,153
,45.0,165,154
,15.0,166,155
1751-7311,2.0,167,156
,0.0,168,31
,0.0,169,31
0742-3071,23.0,170,157
,12.0,171,158
1532-4281,34.0,172,159
0393-5264,8.0,173,160
0362-2436,27.0,174,161
0077-8923,850.0,175,162
0077-8923 (Print) 0077-8923,669.0,176,163
1930-7381,17.0,177,164
0273-1223,69.0,178,165
1938-2367,36.0,179,166
0390-6078,0.0,180,167
1467-9450,,181,168
,0.0,182,31
,37.0,183,169
0954-0121,24.0,184,170
,79.0,185,9
,0.0,186,31
1078-6791,16.0,187,171
2158-0979,8.0,188,172
0033-8389 DO  - http://dx.doi.org/10.1016/j.rcl.2010.07.015,39.0,189,173
1090-1981,40.0,190,174
0090-4481,38.0,191,175
,33.0,192,176
1460-2105,98.0,193,177
14402440,15.0,194,178
,101.0,195,179
1434-4726,,196,180
1471-2288,12.0,197,181
1528-1140,260.0,198,182
0885-3282,18.0,199,183
1129-2377,15.0,200,184
978-1-2673-2110-7,0.0,201,185
0264-0414,25.0,202,186
,154.0,203,187
1460-2385,28.0,204,188
1096-0023,64.0,205,189
,0.0,206,31
,0.0,207,31
0004-0010 (Print) 0004-0010,130.0,208,190
1097-4598,,209,191
1873-5347,72.0,210,192
0340-0131,65.0,211,193
0041-5782 (Print) 0041-5782,164.0,212,194
,0.0,213,31
1879-0461,84.0,214,195
,19.0,215,150
0033-3549,108.0,216,196
1462-8910,10.0,217,197
,22.0,218,198
,74.0,219,199
0895-6111,22.0,220,200
,34.0,221,201
,72.0,222,202
0307-0565,33.0,223,203
,0.0,224,31
,0.0,225,31
1945-7170,154.0,226,204
0277-3732,24.0,227,205
1555-7855,2.0,228,206
,0.0,229,31
87567555,54.0,230,207
1532-2939,87.0,231,208
1532-1916,23.0,232,209
0002-9378 (Print) 0002-9378,207.0,233,210
1466-187X,35.0,234,211
Jan-47,56.0,235,212
1567-5688,4.0,236,213
Mar-17,45.0,237,214
2044-6055,4.0,238,215
0933-7407,44.0,239,216
1471-2474,8.0,240,217
1433-2981,24.0,241,218
2044-6055,4.0,242,215
1873-1465,97.0,243,219
1662-8063,16.0,244,220
,15.0,245,155
1469-7661,16.0,246,221
1982-4335,20.0,247,222
1879-0038,515.0,248,223
1088-0224,7.0,249,224
,35.0,250,14
1049-2089,20.0,251,225
1475-925X,10.0,252,226
1088-3371,1.0,253,227
0090-0028,242.0,254,228
1467-1107,23.0,255,229
1672-0733,34.0,256,230
0143-005X,68.0,257,231
1530-0293,42.0,258,232
,23.0,259,130
0361-073X     1096-4657,32.0,260,233
,137.0,261,133
0340-2592,44.0,262,234
0091-7435,41.0,263,235
,132.0,264,236
1075-2730,57.0,265,237
0003-990X,61.0,266,238
,12.0,267,158
1569-9285,19.0,268,239
,0.0,269,31
-10475,33.0,270,240
0042-9007,99.0,271,241
0007-1250 1472-1465,173.0,272,242
0091-0562,48.0,273,243
-8906,16.0,274,244
,0.0,275,31
,0.0,276,31
0016-5085,122.0,277,245
1879-1379,45.0,278,246
978-1-4503-3459-4,0.0,279,247
1526-632X,81.0,280,248
0901-5027,40.0,281,249
1943-569X,245.0,282,250
,0.0,283,31
,0.0,284,31
,7.0,285,55
1754-9485,57.0,286,251
,44.0,287,252
1932-6203,7.0,288,253
0022-9032,72.0,289,254
0301-5548,74.0,290,255
2072-6643,7.0,291,256
1473-0502,40.0,292,257
1749-8546,6.0,293,258
1573-3955     1875-631X,7.0,294,259
1423-0380,35.0,295,260
,20.0,296,261
0300-8878,78.0,297,262
,189.0,298,263
1532-8201,26.0,299,264
,34.0,300,201
1089-7690,127.0,301,265
0949-2658 (Print) 0949-2658,15.0,302,266
,31.0,303,267
0048-7848 (Print) 0048-7848,118.0,304,268
0030-1876 (Print) 0030-1876,86.0,305,269
,0.0,306,31
,56.0,307,270
0017-5749,49.0,308,271
,147.0,309,272
,0.0,310,31
,16.0,311,273
1439-6327,,312,274
,0.0,313,31
,49.0,314,275
1527-1315,270.0,315,276
,22.0,316,198
,56.0,317,270
0144-6665,43.0,318,277
1467-1107,24.0,319,278
420980,40.0,320,279
0250-832X,42.0,321,280
1578-2735,41.0,322,281
1432-1262,,323,282
,13.0,324,113
,0.0,325,31
1074-7931,18.0,326,283
,0.0,327,31
1744-7623,15.0,328,284
,0.0,329,31
1533-7731,20.0,330,285
1179-1969,26.0,331,286
,25.0,332,74
,5.0,333,287
0109-2502,13.0,334,288
1047-9511,10.0,335,289
1079-0713,16.0,336,290
NCT00227591/ClinicalTrials.gov NCT00509899/ClinicalTrials.gov NCT00599547/ClinicalTrials.gov NCT00631462/ClinicalTrials.gov NCT00934544/ClinicalTrials.gov NCT00952289/ClinicalTrials.gov NCT01420770/ClinicalTrials.gov NCT01437787/ClinicalTrials.gov,53.0,337,291
1466-4860,5.0,338,292
,59.0,339,293
1099-1166,,340,294
0065-1419 (Print)     0065-1419,43.0,341,295
,0.0,342,31
0353-9466,48.0,343,296
,0.0,344,31
1360-7863,9.0,345,297
0091-7435,32.0,346,298
1463-1318,11.0,347,299
1539-6304,33.0,348,300
,10.0,349,5
0020-7640,58.0,350,301
0012-835X,75.0,351,302
,30.0,352,152
1471-2407,12.0,353,303
1438-8359,29.0,354,304
,11.0,355,305
1873-5126,,356,306
0041-4301,50.0,357,307
,108.0,358,308
-4928,82.0,359,309
1442-2050,,360,310
0750-7658,25.0,361,311
0022-4707,53.0,362,312
1090-2422,319.0,363,313
,43.0,364,314
2314-6141,2014.0,365,315
1750-497X,3.0,366,316
0021-4892,43.0,367,317
0020-1383,41.0,368,318
9518398,24.0,369,319
0007-0912,56.0,370,320
1539-3704,161.0,371,321
0301-4215,47.0,372,322
,9.0,373,323
,16.0,374,273
0172-6390,61.0,375,324
,26.0,376,325
1932-6203,7.0,377,253
0098-4108 (Print)     0098-4108 (Linking),49.0,378,326
,7.0,379,55
1526-7598,102.0,380,327
0092-8240,61.0,381,328
0022-9776,80.0,382,329
,9.0,383,323
1473-0480,43.0,384,330
1879-1026,45.0,385,331
,21.0,386,47
,21.0,387,47
,0.0,388,31
1060-0280,46.0,389,332
1170-7690,19.0,390,333
Feb-62,113.0,391,334
0214-1221,21.0,392,335
0102-6933,29.0,393,336
,129.0,394,337
1469-0756,88.0,395,338
1827-1618,62.0,396,339
1526-7598,113.0,397,340
0975-1491,2.0,398,341
1558-1497,35.0,399,342
2150-1351 (Print)     2150-1351,4.0,400,343
1943-5681,75.0,401,344
13598546,19.0,402,345
,35.0,403,14
1873-7811,33.0,404,346
0923-7534,9.0,405,347
,119.0,406,348
1878-0539,66.0,407,349
,75.0,408,350
,147.0,409,272
,69.0,410,351
"1051-1970, 1051-1970",16.0,411,352
0012-1649,46.0,412,353
,0.0,413,31
,0.0,414,31
1097-0142,120.0,415,354
1569-8041,24.0,416,355
0269-2163,13.0,417,356
0160-9289,27.0,418,357
,0.0,419,31
1745-834X     1745-8358,4.0,420,358
0022-0345,42.0,421,359
0306-4603,37.0,422,360
0735-1631,32.0,423,361
,24.0,424,99
,127.0,425,362
,0.0,426,31
1308-0032,9.0,427,363
,176.0,428,364
,78.0,429,365
0377-208X,110.0,430,366
,27.0,431,143
,32.0,432,367
,143.0,433,127
Feb-65,74.0,434,368
,103.0,435,109
1472-6831,14.0,436,369
0021-9533,124.0,437,370
,20.0,438,261
0007-0920,86.0,439,371
Feb-14,63.0,440,372
2213-6541,115.0,441,373
1558-2035,15.0,442,374
1592-1107,13.0,443,375
1058-0832,19.0,444,376
1751-7176,,445,377
1662-5161,7.0,446,378
1557-170X,2007.0,447,379
1527-974X,21.0,448,380
,21.0,449,47
0022-2194,42.0,450,381
1467-789X,13.0,451,382
1520-9156,12.0,452,383
1179-1721,3.0,453,384
0019-5499,48.0,454,385
0370-0747,37.0,455,386
,28.0,456,387
1433-3023,23.0,457,388
,10.0,458,5
,69.0,459,351
0104-1169,20.0,460,389
0340-6245,110.0,461,390
1475-2727,17.0,462,391
,30.0,463,152
1178-7090,6.0,464,392
0095-1137 (Print) 0095-1137,49.0,465,393
0023-6837,95.0,466,394
1356-7500,16.0,467,395
-5514,21.0,468,396
,21.0,469,47
1090-1981,40.0,470,174
1527-5418,48.0,471,397
1095-9203,348.0,472,398
1687-9627,2013.0,473,399
2005-7563,63.0,474,400
1361-6560,55.0,475,401
1532-7361,155.0,476,402
0018-9499,57.0,477,403
1696-3547,55.0,478,404
1651-2006,43.0,479,405
1462-0324,45.0,480,406
0304-3959,80.0,481,407
1070-3004,18.0,482,408
1324-3780,5.0,483,409
0964-4563,8.0,484,410
0862-8408,49.0,485,411
1873-1465,96.0,486,412
,0.0,487,31
,0.0,488,31
,124.0,489,413
,6.0,490,414
1522-9645,33.0,491,415
1433-7347,18.0,492,416
,39.0,493,104
0045-7167,16.0,494,417
,310.0,495,418
978-0-7918-4926-2,0.0,496,419
,29.0,497,420
,28.0,498,387
1473-4893,4.0,499,421
1603-6824,169.0,500,422
,23.0,501,130
0895-2841,23.0,502,423
-94325,70.0,503,424
0428-8246,23.0,504,425
0300-9742,37.0,505,426
0894-587X,27.0,506,427
Nov-53,20.0,507,428
,82.0,508,429
0301-1623,45.0,509,430
,14.0,510,121
2005-3711,57.0,511,431
1756-1833,347.0,512,432
,79.0,513,9
-14400,3.0,514,433
2168-619X,140.0,515,434
0301-4851,38.0,516,435
1941-2703,26.0,517,436
1470-2738,65.0,518,437
0376-2491,85.0,519,438
0045-4850,18.0,520,439
0969-4900,21.0,521,440
1469-493X,,522,106
1531-5053,73.0,523,441
1083-351X,289.0,524,442
0366-6999,121.0,525,443
0962-7480,58.0,526,444
,37.0,527,169
1872-7077,37.0,528,445
1558-2027,10.0,529,88
,0.0,530,31
1095-9203,316.0,531,446
1873-7544,254.0,532,447
1090-2430,,533,448
0196-0644,37.0,534,449
1918-1485,5.0,535,450
,0.0,536,31
0160-6379,34.0,537,451
,47.0,538,24
,54.0,539,452
0361-803X,184.0,540,453
,0.0,541,31
1062-8401,10.0,542,454
1468-5833 (Electronic),329.0,543,455
,0.0,544,31
1462-0324,44.0,545,456
,82.0,546,429
,0.0,547,31
0022-5347,147.0,548,457
1464-5165,,549,458
1532-8511,,550,459
0899-8256,67.0,551,460
,0.0,552,31
0301-620X (Print) 0301-620x,89.0,553,461
1432-1335,138.0,554,462
1476-5497,36.0,555,463
,110.0,556,464
1520-7714,63.0,557,465
,0.0,558,31
0145-6008,20.0,559,466
1017-7833,21.0,560,467
1981-8963,6.0,561,468
,33.0,562,176
1472-1465,196.0,563,469
,0.0,564,31
1248-9204,19.0,565,470
1474-547X,365.0,566,471
0921-4488,29.0,567,472
,33.0,568,176
1041-6102,12.0,569,473
1806-3756,37.0,570,474
0884-2175,41.0,571,475
,151.0,572,476
,62.0,573,477
1423-0380,35.0,574,260
0353-9504,46.0,575,478
1747-4949,9.0,576,479
1879-0844,16.0,577,480
1976-2437,49.0,578,481
1592-7830,29.0,579,482
1715-5258,56.0,580,483
1433-0350,30.0,581,484
,20.0,582,261
,8.0,583,485
,0.0,584,31
1532-821X,90.0,585,486
1365-2346,26.0,586,487
0268-0033 DO  - http://dx.doi.org/10.1016/j.clinbiomech.2015.03.009,18.0,587,488
1462-2416,14.0,588,489
0047-1860 (Print)     0047-1860,43.0,589,490
,32.0,590,367
0143-005X,68.0,591,231
,0.0,592,31
,90.0,593,52
978-957-41-6666-4,0.0,594,491
0949-2658 (Print) 0949-2658,15.0,595,266
1447-0594,10.0,596,492
,141.0,597,493
,24.0,598,99
,108.0,599,308
1939-165X,44.0,600,494
,32.0,601,367
0042-9686,85.0,602,495
1935-2735,6.0,603,496
1873-7064,85.0,604,497
,28.0,605,387
0031-9023,89.0,606,498
0167-2789 DO  - http://dx.doi.org/10.1016/j.physd.2013.07.012,57.0,607,499
0044-2631,133.0,608,500
0392-9590,22.0,609,501
0268-960X,28.0,610,502
1075-5535,9.0,611,503
0098-7484,256.0,612,504
,21.0,613,47
1522-726X,77.0,614,505
1476-4687,506.0,615,506
0903-1936,24.0,616,507
,284.0,617,508
0737-1209,25.0,618,509
,17.0,619,131
09663622 (ISSN),14.0,620,510
1439-4413,135.0,621,511
,32.0,622,367
0022-3956,47.0,623,512
,35.0,624,14
0161-8105,31.0,625,513
0910-5050,81.0,626,514
0022-0345,80.0,627,515
1753-4666,7.0,628,516
,24.0,629,99
,17.0,630,131
,91.0,631,517
0378-584X,36.0,632,518
1462-0324,51.0,633,519
,0.0,634,31
0161-6412 (Print) 0161-6412,25.0,635,520
1523-5378,14.0,636,521
0390-6078,94.0,637,522
1440-1584,22.0,638,523
,84.0,639,3
1520-4804,57.0,640,524
1540-9996,15.0,641,525
1525-1446,,642,526
1524-4539,124.0,643,527
Jan-55,76.0,644,528
,0.0,645,31
1469-896X,21.0,646,529
0889-5406,97.0,647,530
1547-1896,20.0,648,531
0196-6553,17.0,649,532
1063-8652,16.0,650,533
1527-3350,53.0,651,534
1076-6294 (Print)     1076-6294,16.0,652,535
0039-2499,46.0,653,536
1949-8349 (Print)     1949-8357,5.0,654,537
0360-7283,29.0,655,538
1460-2385,23.0,656,539
1879-0593,46.0,657,540
1524-4628,46.0,658,541
1873-5592,14.0,659,542
1872-6844,108.0,660,543
,45.0,661,154
0966-8519,20.0,662,544
1932-6203,9.0,663,545
1878-4046,19.0,664,546
,0.0,665,31
1672-2531,15.0,666,547
0195-6744,119.0,667,548
1757-1626,1.0,668,549
,18.0,669,64
,111.0,670,550
,7.0,671,55
-9262,86.0,672,551
1573-2959,151.0,673,552
Jan-14,110.0,674,553
,6.0,675,414
,25.0,676,74
,2.0,677,554
,2.0,678,554
0096-3445,137.0,679,555
"0036-8148, 0036-8148",50.0,680,556
,113.0,681,557
0268-1153,28.0,682,558
0019-9567,69.0,683,559
,36.0,684,560
1557-8550,32.0,685,561
1020-3397,20.0,686,562
0021-9355 (Print),91.0,687,563
1528-395X,108.0,688,564
,34.0,689,201
Sep-60,61.0,690,565
,26.0,691,325
,28.0,692,387
1473-5725,2.0,693,566
0214-9915,18.0,694,567
1541-0048,104.0,695,568
0146-4760 (Print) 0146-4760,20.0,696,569
0301-4215,36.0,697,570
,20.0,698,261
,0.0,699,31
,126.0,700,571
1440-1843,0.0,701,572
1469-493X,2.0,702,573
,0.0,703,31
2314-6141,2014.0,704,315
0021-8987 (Print)     0021-8987,29.0,705,574
1365-2060,44.0,706,575
0954-3007,56.0,707,576
0022-3514,64.0,708,577
0363-5023,32.0,709,578
09593985 (ISSN),17.0,710,579
,0.0,711,31
1471-2377,12.0,712,580
,35.0,713,14
1462-2203,15.0,714,581
1885-642X,12.0,715,582
1053-8135,17.0,716,583
1098-2752,34.0,717,584
0020-7454,114.0,718,585
1470-0328 (Print) 1470-0328,115.0,719,586
,50.0,720,587
0021-7557,91.0,721,588
,18.0,722,64
1364-3703,13.0,723,589
,0.0,724,31
,0.0,725,31
,0.0,726,31
,30.0,727,152
1521-186X,0.0,728,590
"1386-4416, 1386-4416",14.0,729,591
,44.0,730,252
1470-7926,65.0,731,592
0160-6689,66.0,732,593
,25.0,733,74
1678-4464,25.0,734,594
1523-536X,29.0,735,595
1545-0848,25.0,736,596
0033-3174,72.0,737,597
0732-183X,28.0,738,598
0195-6701 (Print) 0195-6701,44.0,739,599
Apr-74,44.0,740,600
,194.0,741,601
,23.0,742,130
,0.0,743,31
0301-5149,58.0,744,602
Sep-22,128.0,745,603
Mar-67,0.0,746,604
,0.0,747,31
2165-8242,72.0,748,605
1437-1588,54.0,749,606
,65.0,750,607
0095-8301,55.0,751,608
,0.0,752,31
2049-9434,1.0,753,609
0546-1766 (Print) 0546-1766,42.0,754,610
1079-2082 (Print) 1079-2082,67.0,755,611
0190-535X,28.0,756,612
,0.0,757,31
0029-6570 (Print) 0029-6570,23.0,758,613
1098-3015,17.0,759,614
,284.0,760,508
1042-8194,48.0,761,615
0033-8419,240.0,762,616
,56.0,763,270
1526-4610,53.0,764,617
1098-240X,32.0,765,618
,0.0,766,31
0301-2603,26.0,767,619
1347-4820,,768,620
1932-6203,9.0,769,545
0221-0363,89.0,770,621
0939-5555,80.0,771,622
1460-2105,106.0,772,623
1473-5571,26.0,773,624
0030-4220,53.0,774,625
0003-9926 (Print) 0003-9926,158.0,775,626
,14.0,776,121
,13.0,777,113
,111.0,778,550
0361-7734,27.0,779,627
0885-3185,13.0,780,628
1939-134X,22.0,781,629
,0.0,782,31
1303-6521,10.0,783,630
1592-7830,34.0,784,631
,49.0,785,275
,56.0,786,270
0039-1735,50.0,787,632
1741-7015,8.0,788,633
,26.0,789,325
2212-4411,118.0,790,634
1558-2035,,791,635
0034-9887,128.0,792,636
,33.0,793,176
0969-8043,49.0,794,637
1878-5921,65.0,795,638
,3.0,796,639
0363-5023,29.0,797,640
,0.0,798,31
2047-4881,19.0,799,641
1460-2105,106.0,800,623
1535-7414,27.0,801,642
,16.0,802,273
0961-5423,14.0,803,643
0093-934X,15.0,804,644
1672-2531,15.0,805,547
1521-3773,53.0,806,645
1467-1107,25.0,807,646
1096-4673,29.0,808,647
0049-8610,13.0,809,648
,0.0,810,31
,0.0,811,31
,7.0,812,55
1784-3286,61.0,813,649
0021-9258,289.0,814,650
,64.0,815,94
,71.0,816,651
0300-9750,288.0,817,652
,39.0,818,104
0090-3493,41.0,819,653
,14.0,820,121
1930-739X,22.0,821,654
,4.0,822,85
2168-6114,173.0,823,655
1473-5598,29.0,824,656
1468-3296,70.0,825,657
,14.0,826,121
1532-5415,58.0,827,658
,141.0,828,493
2150-136X,6.0,829,659
,123.0,830,660
0008-543X,103.0,831,661
,0.0,832,31
1555-7162,120.0,833,662
0342-4642,32.0,834,663
,15.0,835,155
0884-0431,10.0,836,664
1399-3038,21.0,837,665
1540-0514,40.0,838,666
,23.0,839,130
,0.0,840,31
1533-4406,360.0,841,667
1071-1007 (Print) 1071-1007,35.0,842,668
,159.0,843,669
,15.0,844,155
,15.0,845,155
1743-9159,12.0,846,670
,27.0,847,143
Mar-67,66.0,848,671
,0.0,849,31
0882-2786,22.0,850,672
,11.0,851,305
Sep-22,121.0,852,673
1043-0342,13.0,853,674
1423-0356,87.0,854,675
,11.0,855,305
,0.0,856,31
Sep-22,113.0,857,676
,124.0,858,413
,18.0,859,64
,44.0,860,252
1601-0825,,861,677
1699-5198,31.0,862,678
0025-7753,143.0,863,679
,48.0,864,680
1098-4275,115.0,865,681
1469-493X,,866,106
1432-0843,63.0,867,682
,40.0,868,21
,12.0,869,158
,21.0,870,47
2044-6055,4.0,871,215
0140-525X,20.0,872,683
,0.0,873,31
1432-0711,289.0,874,684
,21.0,875,47
,20.0,876,261
,0.0,877,31
1469-8978,43.0,878,685
1040-2446,76.0,879,686
,27.0,880,143
,25.0,881,74
1478-7547 (electronic),9.0,882,687
,63.0,883,688
,0.0,884,31
,56.0,885,270
,55.0,886,689
1522-726X,,887,690
1932-6203,8.0,888,27
,0.0,889,31
0305-1862,23.0,890,691
0363-5023,28.0,891,692
,23.0,892,130
1399-3003,39.0,893,693
,39.0,894,104
1353-3452 (Print)     1353-3452,4.0,895,694
0306-5251,39.0,896,695
,90.0,897,52
,0.0,898,31
1537-6591,41.0,899,696
Mar-22,113.0,900,697
,32.0,901,367
1573-2606,14.0,902,698
1566-0702,146.0,903,699
1931-3543,145.0,904,700
,42.0,905,701
978-1-2673-2110-7,0.0,906,185
1533-4112,30.0,907,702
1053881X (ISSN),40.0,908,703
1097-0142,119.0,909,704
0027-8424,104.0,910,705
,12.0,911,158
"0361-6843, Print 1471-6402, Electronic",24.0,912,706
1872-7727,82.0,913,707
1099-1611,23.0,914,708
1521-186X,23.0,915,709
,0.0,916,31
1558-3597,56.0,917,710
Mar-09,57.0,918,711
2168-6157,71.0,919,712
0391-5387,16.0,920,713
,0.0,921,31
,22.0,922,198
1672-1977,12.0,923,714
1365-2346,32.0,924,715
0393-5264,8.0,925,160
"1466-187X, Electronic 0142-159X, Print",34.0,926,716
,119.0,927,348
,81.0,928,717
1092-0684,11.0,929,718
1872-8243,84.0,930,719
1527-7755,31.0,931,720
,0.0,932,31
,0.0,933,31
,100.0,934,721
2054-2704,6.0,935,722
1062-3264 (Print)     1062-3264,12.0,936,723
0022-4804,42.0,937,724
0261-5614,33.0,938,725
"1742-3953, 1742-3953",4.0,939,726
,15.0,940,155
1123-6337 (Print) 1123-6337,14.0,941,727
-5990,20.0,942,728
1364-6915,15.0,943,729
1464-0325,11.0,944,730
,14.0,945,121
,44.0,946,252
,0.0,947,31
,0.0,948,31
,17.0,949,131
1932-6203,9.0,950,545
,27.0,951,143
,26.0,952,325
1476-5497,34.0,953,731
0893-133X,35.0,954,732
1538-7933,5.0,955,733
0272-4944,25.0,956,734
1531-698X,25.0,957,735
1539-3704,122.0,958,736
1432-1076,174.0,959,737
,42.0,960,701
0951-418X,19.0,961,738
0966-6362 DO  - http://dx.doi.org/10.1016/j.gaitpost.2010.04.002,39.0,962,739
0951-7375,7.0,963,740
2162-3279,0.0,964,741
1535-5667,54.0,965,742
0935-8943,82.0,966,743
1049-2089,24.0,967,744
0300-8843,379.0,968,745
,8.0,969,485
,13.0,970,113
0021-9525,202.0,971,746
1175-3277,7.0,972,747
1432-2048,239.0,973,748
1557-8674,15.0,974,749
1878-5867,101.0,975,750
,0.0,976,31
1460-2091,65.0,977,751
,0.0,978,31
1945-7170,153.0,979,752
,7457.0,980,753
0009-9201 (Print) 0009-9201,29.0,981,754
0300-5771 (Print) 0300-5771,39.0,982,755
Feb-65,73.0,983,756
1083-8791,19.0,984,757
0007-0912,0.0,985,758
,51.0,986,759
0950-9240 (Print) 0950-9240,13.0,987,760
,21.0,988,47
1600-0455,55.0,989,761
Feb-65,72.0,990,762
1535-4970,188.0,991,763
1423-0380,35.0,992,260
,11.0,993,305
0305-4179,28.0,994,764
0003-0805 (Print) 0003-0805,144.0,995,765
,78.0,996,365
2154-4212,,997,766
-4473,26.0,998,767
,13.0,999,113
