article_language,journal_issn,original_index,unique_index,count
eng,0933-7407,239,174,1.0
eng,1471-2474,240,175,1.0
eng,1433-2981,241,176,1.0
eng,2044-6055,242,173,3.0
,1873-1465,243,177,
eng,1662-8063,244,178,1.0
,,245,9,
eng,1469-7661,246,179,1.0
ENGPOR,1982-4335,247,180,1.0
eng,1879-0038,248,181,1.0
,1088-0224,249,182,
,,250,9,
,1049-2089,251,183,
English,1475-925X,252,184,1.0
,1088-3371,253,185,
eng,0090-0028,254,186,1.0
eng,1467-1107,255,187,3.0
eng,1672-0733,256,188,1.0
,0143-005X,257,189,
eng,1530-0293,258,190,1.0
English,,259,20,
,0361-073X     1096-4657,260,191,
English,,261,20,
ger,0340-2592,262,192,1.0
eng,0091-7435,263,193,2.0
English,,264,20,
eng,1075-2730,265,194,1.0
eng,0003-990X,266,195,1.0
,,267,9,
English,1569-9285,268,196,1.0
,,269,9,
,-10475,270,197,
,0042-9007,271,198,
,0007-1250 1472-1465,272,199,
,0091-0562,273,200,
,-8906,274,201,
,,275,9,
,,276,9,
eng,0016-5085,277,202,1.0
eng,1879-1379,278,203,1.0
,978-1-4503-3459-4,279,204,
eng,1526-632X,280,205,1.0
,0901-5027,281,206,
eng,1943-569X,282,207,1.0
,,283,9,
,,284,9,
,,285,9,
eng,1754-9485,286,208,1.0
,,287,9,
eng,1932-6203,288,25,7.0
English,0022-9032,289,209,1.0
eng,0301-5548,290,210,1.0
eng,2072-6643,291,211,1.0
eng,1473-0502,292,212,1.0
,1749-8546,293,213,
,1573-3955     1875-631X,294,214,
eng,1423-0380,295,215,3.0
English,,296,20,
eng,0300-8878,297,216,1.0
English,,298,20,
eng,1532-8201,299,217,1.0
,,300,9,
English,1089-7690,301,218,1.0
eng,0949-2658 (Print) 0949-2658,302,219,2.0
,,303,9,
,0048-7848 (Print) 0048-7848,304,220,
eng,0030-1876 (Print) 0030-1876,305,221,1.0
,,306,9,
English,,307,20,
eng,0017-5749,308,111,2.0
English,,309,20,
,,310,9,
English,,311,20,
ENG,1439-6327,312,222,1.0
,,313,9,
eng,,314,5,
eng,1527-1315,315,223,1.0
English,,316,20,
,,317,9,
eng,0144-6665,318,224,1.0
eng,1467-1107,319,187,3.0
,420980,320,225,
eng,0250-832X,321,226,1.0
eng,1578-2735,322,227,1.0
ENG,1432-1262,323,228,1.0
,,324,9,
,,325,9,
eng,1074-7931,326,229,1.0
,,327,9,
,1744-7623,328,230,
,,329,9,
,1533-7731,330,231,
eng,1179-1969,331,232,1.0
,,332,9,
chi,,333,233,
eng,0109-2502,334,234,1.0
eng,1047-9511,335,235,1.0
eng,1079-0713,336,236,1.0
,NCT00227591/ClinicalTrials.gov NCT00509899/ClinicalTrials.gov NCT00599547/ClinicalTrials.gov NCT00631462/ClinicalTrials.gov NCT00934544/ClinicalTrials.gov NCT00952289/ClinicalTrials.gov NCT01420770/ClinicalTrials.gov NCT01437787/ClinicalTrials.gov,337,237,
eng,1466-4860,338,238,1.0
,,339,9,
ENG,1099-1166,340,239,1.0
eng,0065-1419 (Print)     0065-1419,341,240,1.0
,,342,9,
eng,0353-9466,343,241,1.0
,,344,9,
,1360-7863,345,242,
eng,0091-7435,346,193,2.0
eng,1463-1318,347,243,1.0
eng,1539-6304,348,244,1.0
eng,,349,5,
English,0020-7640,350,245,1.0
,0012-835X,351,246,
English,,352,20,
eng,1471-2407,353,247,1.0
eng,1438-8359,354,248,1.0
,,355,9,
ENG,1873-5126,356,249,1.0
eng,0041-4301,357,250,1.0
eng,,358,5,
,-4928,359,251,
ENG,1442-2050,360,252,1.0
fre,0750-7658,361,253,1.0
eng,0022-4707,362,254,1.0
eng,1090-2422,363,255,1.0
,,364,9,
eng,2314-6141,365,256,2.0
,1750-497X,366,257,
jpn,0021-4892,367,258,1.0
eng,0020-1383,368,259,1.0
English,9518398,369,260,1.0
eng,0007-0912,370,261,1.0
eng,1539-3704,371,262,1.0
,0301-4215,372,263,
English,,373,20,
,,374,9,
eng,0172-6390,375,264,1.0
English,,376,20,
eng,1932-6203,377,25,7.0
,0098-4108 (Print)     0098-4108 (Linking),378,265,
,,379,9,
eng,1526-7598,380,266,2.0
eng,0092-8240,381,267,1.0
jpn,0022-9776,382,268,1.0
,,383,9,
eng,1473-0480,384,269,1.0
,1879-1026,385,270,
,,386,9,
,,387,9,
,,388,9,
eng,1060-0280,389,271,1.0
eng,1170-7690,390,272,1.0
eng,Feb-62,391,273,1.0
spa,0214-1221,392,274,1.0
por,0102-6933,393,275,1.0
,,394,9,
eng,1469-0756,395,276,1.0
eng,1827-1618,396,277,1.0
eng,1526-7598,397,266,2.0
,0975-1491,398,278,
eng,1558-1497,399,279,1.0
eng,2150-1351 (Print)     2150-1351,400,280,1.0
eng,1943-5681,401,281,1.0
English,13598546,402,282,1.0
,,403,9,
eng,1873-7811,404,283,1.0
eng,0923-7534,405,284,1.0
,,406,9,
eng,1878-0539,407,285,1.0
,,408,9,
German,,409,286,
eng,,410,5,
,"1051-1970, 1051-1970",411,287,
,0012-1649,412,288,
,,413,9,
,,414,9,
eng,1097-0142,415,289,2.0
eng,1569-8041,416,290,1.0
eng,0269-2163,417,291,1.0
eng,0160-9289,418,292,1.0
,,419,9,
,1745-834X     1745-8358,420,293,
eng,0022-0345,421,294,2.0
,0306-4603,422,295,
eng,0735-1631,423,296,1.0
,,424,9,
,,425,9,
,,426,9,
tur,1308-0032,427,297,1.0
,,428,9,
English,,429,20,
,0377-208X,430,298,
eng,,431,5,
,,432,9,
English,,433,20,
eng,Feb-65,434,299,2.0
eng,,435,5,
eng,1472-6831,436,300,1.0
English,0021-9533,437,301,1.0
,,438,9,
eng,0007-0920,439,302,1.0
,Feb-14,440,103,
eng,2213-6541,441,303,1.0
eng,1558-2035,442,304,1.0
,1592-1107,443,305,
,1058-0832,444,306,
ENG,1751-7176,445,307,1.0
eng,1662-5161,446,308,1.0
English,1557-170X,447,309,1.0
eng,1527-974X,448,310,1.0
eng,,449,5,
eng,0022-2194,450,311,1.0
eng,1467-789X,451,312,1.0
eng,1520-9156,452,313,1.0
eng,1179-1721,453,314,1.0
English,0019-5499,454,315,1.0
pol,0370-0747,455,316,1.0
eng,,456,5,
eng,1433-3023,457,317,1.0
,,458,9,
,,459,9,
,0104-1169,460,318,
eng,0340-6245,461,319,1.0
eng,1475-2727,462,320,1.0
English,,463,20,
eng,1178-7090,464,321,1.0
eng,0095-1137 (Print) 0095-1137,465,322,1.0
English,0023-6837,466,323,1.0
,1356-7500,467,324,
,-5514,468,325,
,,469,9,
eng,1090-1981,470,326,1.0
eng,1527-5418,471,327,1.0
eng,1095-9203,472,328,2.0
eng,1687-9627,473,329,1.0
eng,2005-7563,474,330,1.0
eng,1361-6560,475,331,1.0
eng,1532-7361,476,332,1.0
ENG,0018-9499,477,333,1.0
eng,1696-3547,478,334,1.0
eng,1651-2006,479,335,1.0
eng,1462-0324,480,336,1.0
,0304-3959,481,337,
,1070-3004,482,338,
,1324-3780,483,339,
eng,0964-4563,484,340,1.0
eng,0862-8408,485,341,1.0
eng,1873-1465,486,342,1.0
,,487,9,
,,488,9,
,,489,9,
,,490,9,
eng,1522-9645,491,343,1.0
eng,1433-7347,492,48,2.0
,,493,9,
jpn,0045-7167,494,344,1.0
eng,,495,5,
,978-0-7918-4926-2,496,345,
,,497,9,
,,498,9,
,1473-4893,499,346,
dan,1603-6824,500,347,1.0
English,,501,20,
,0895-2841,502,348,
,-94325,503,349,
,0428-8246,504,350,
eng,0300-9742,505,351,1.0
,0894-587X,506,352,
pol,Nov-53,507,353,1.0
English,,508,20,
,0301-1623,509,354,
,,510,9,
eng,2005-3711,511,355,1.0
eng,1756-1833,512,356,1.0
,,513,9,
,-14400,514,357,
eng,2168-619X,515,358,1.0
,0301-4851,516,359,
eng,1941-2703,517,360,1.0
eng,1470-2738,518,361,1.0
chi,0376-2491,519,362,1.0
engfre,0045-4850,520,363,1.0
,0969-4900,521,364,
eng,1469-493X,522,16,6.0
eng,1531-5053,523,365,1.0
eng,1083-351X,524,366,1.0
eng,0366-6999,525,367,1.0
eng,0962-7480,526,368,1.0
,,527,9,
eng,1872-7077,528,369,1.0
eng,1558-2027,529,74,2.0
English,,530,20,
eng,1095-9203,531,328,2.0
eng,1873-7544,532,370,1.0
ENG,1090-2430,533,371,1.0
eng,0196-0644,534,372,1.0
eng,1918-1485,535,373,1.0
,,536,9,
,0160-6379,537,374,
English,,538,20,
eng,,539,5,
eng,0361-803X,540,375,1.0
,,541,9,
,1062-8401,542,376,
,1468-5833 (Electronic),543,377,
,,544,9,
,1462-0324,545,378,
English,,546,20,
,,547,9,
eng,0022-5347,548,379,1.0
ENG,1464-5165,549,380,1.0
ENG,1532-8511,550,381,1.0
,0899-8256,551,382,
,,552,9,
eng,0301-620X (Print) 0301-620x,553,383,1.0
eng,1432-1335,554,384,1.0
eng,1476-5497,555,385,2.0
English,,556,20,
,1520-7714,557,386,
eng,,558,5,
eng,0145-6008,559,387,1.0
,1017-7833,560,388,
,1981-8963,561,389,
,,562,9,
eng,1472-1465,563,390,1.0
,,564,9,
eng,1248-9204,565,391,1.0
eng,1474-547X,566,392,1.0
,0921-4488,567,393,
,,568,9,
eng,1041-6102,569,394,1.0
engpor,1806-3756,570,395,1.0
,0884-2175,571,396,
heb,,572,397,
eng,,573,5,
eng,1423-0380,574,215,3.0
,0353-9504,575,398,
eng,1747-4949,576,399,1.0
English,1879-0844,577,400,1.0
English,1976-2437,578,401,1.0
ita,1592-7830,579,402,2.0
eng,1715-5258,580,403,1.0
eng,1433-0350,581,404,1.0
,,582,9,
English,,583,20,
,,584,9,
eng,1532-821X,585,405,1.0
eng,1365-2346,586,406,2.0
,0268-0033 DO  - http://dx.doi.org/10.1016/j.clinbiomech.2015.03.009,587,407,
,1462-2416,588,408,
jpn,0047-1860 (Print)     0047-1860,589,409,1.0
eng,,590,5,
,0143-005X,591,189,
English,,592,20,
eng,,593,5,
,978-957-41-6666-4,594,410,
eng,0949-2658 (Print) 0949-2658,595,219,2.0
eng,1447-0594,596,411,1.0
,,597,9,
eng,,598,5,
,,599,9,
eng,1939-165X,600,412,1.0
English,,601,20,
,0042-9686,602,413,
eng,1935-2735,603,414,1.0
eng,1873-7064,604,415,1.0
eng,,605,5,
,0031-9023,606,416,
,0167-2789 DO  - http://dx.doi.org/10.1016/j.physd.2013.07.012,607,417,
ger,0044-2631,608,418,1.0
eng,0392-9590,609,419,1.0
,0268-960X,610,420,
eng,1075-5535,611,421,1.0
eng,0098-7484,612,422,1.0
,,613,9,
eng,1522-726X,614,423,1.0
eng,1476-4687,615,424,1.0
eng,0903-1936,616,425,1.0
,,617,9,
,0737-1209,618,426,
English,,619,20,
English,09663622 (ISSN),620,427,1.0
ger,1439-4413,621,428,1.0
eng,,622,5,
,0022-3956,623,429,
,,624,9,
eng,0161-8105,625,430,1.0
eng,0910-5050,626,431,1.0
eng,0022-0345,627,294,2.0
eng,1753-4666,628,432,1.0
English,,629,20,
English,,630,20,
,,631,9,
,0378-584X,632,433,
,1462-0324,633,378,
,,634,9,
eng,0161-6412 (Print) 0161-6412,635,434,1.0
,1523-5378,636,435,
,0390-6078,637,436,
eng,1440-1584,638,437,1.0
English,,639,20,
eng,1520-4804,640,438,1.0
,1540-9996,641,439,
ENG,1525-1446,642,440,1.0
eng,1524-4539,643,441,1.0
eng,Jan-55,644,442,1.0
,,645,9,
eng,1469-896X,646,443,1.0
eng,0889-5406,647,444,1.0
eng,1547-1896,648,445,1.0
eng,0196-6553,649,446,1.0
,1063-8652,650,447,
eng,1527-3350,651,448,1.0
eng,1076-6294 (Print)     1076-6294,652,449,1.0
,0039-2499,653,450,
eng,1949-8349 (Print)     1949-8357,654,451,1.0
,0360-7283,655,452,
eng,1460-2385,656,150,2.0
eng,1879-0593,657,453,1.0
eng,1524-4628,658,454,1.0
eng,1873-5592,659,455,1.0
eng,1872-6844,660,456,1.0
,,661,9,
eng,0966-8519,662,457,1.0
eng,1932-6203,663,25,7.0
eng,1878-4046,664,458,1.0
Eng,,665,459,
"Chinese     English, Chinese",1672-2531,666,460,1.0
,0195-6744,667,461,
,1757-1626,668,462,
,,669,9,
,,670,9,
French,,671,463,
,-9262,672,464,
,1573-2959,673,465,
eng,Jan-14,674,466,1.0
,,675,9,
eng,,676,5,
,,677,9,
,,678,9,
eng,0096-3445,679,467,1.0
,"0036-8148, 0036-8148",680,468,
,,681,9,
English,0268-1153,682,469,1.0
eng,0019-9567,683,470,1.0
,,684,9,
eng,1557-8550,685,471,1.0
,1020-3397,686,472,
eng,0021-9355 (Print),687,473,1.0
eng,1528-395X,688,474,1.0
jpn,,689,475,
eng,Sep-60,690,476,1.0
,,691,9,
English,,692,20,
ENG,1473-5725,693,477,1.0
eng,0214-9915,694,478,1.0
,1541-0048,695,479,
,0146-4760 (Print) 0146-4760,696,480,
,0301-4215,697,263,
eng,,698,5,
English,,699,20,
,,700,9,
English,1440-1843,701,481,1.0
eng,1469-493X,702,16,6.0
,,703,9,
eng,2314-6141,704,256,2.0
eng,0021-8987 (Print)     0021-8987,705,482,1.0
eng,1365-2060,706,483,1.0
eng,0954-3007,707,484,1.0
eng,0022-3514,708,485,1.0
eng,0363-5023,709,486,3.0
English,09593985 (ISSN),710,487,1.0
,,711,9,
eng,1471-2377,712,488,1.0
eng,,713,5,
,1462-2203,714,489,
eng,1885-642X,715,490,1.0
,1053-8135,716,491,
eng,1098-2752,717,492,1.0
English,0020-7454,718,493,1.0
eng,1470-0328 (Print) 1470-0328,719,494,1.0
,,720,9,
eng,0021-7557,721,495,1.0
,,722,9,
eng,1364-3703,723,496,1.0
,,724,9,
,,725,9,
,,726,9,
,,727,9,
,1521-186X,728,497,
,"1386-4416, 1386-4416",729,498,
,,730,9,
,1470-7926,731,499,
eng,0160-6689,732,500,1.0
eng,,733,5,
eng,1678-4464,734,501,1.0
eng,1523-536X,735,502,1.0
eng,1545-0848,736,503,1.0
eng,0033-3174,737,504,1.0
,0732-183X,738,505,
eng,0195-6701 (Print) 0195-6701,739,506,1.0
,Apr-74,740,507,
eng,,741,5,
,,742,9,
,,743,9,
eng,0301-5149,744,508,1.0
,Sep-22,745,509,
Eng,Mar-67,746,510,1.0
,,747,9,
,2165-8242,748,511,
ger,1437-1588,749,512,1.0
eng,,750,5,
eng,0095-8301,751,513,1.0
,,752,9,
ENG,2049-9434,753,514,1.0
jpn,0546-1766 (Print) 0546-1766,754,515,1.0
eng,1079-2082 (Print) 1079-2082,755,516,1.0
eng,0190-535X,756,517,1.0
,,757,9,
en,0029-6570 (Print) 0029-6570,758,518,1.0
,1098-3015,759,519,
eng,,760,5,
eng,1042-8194,761,520,1.0
eng,0033-8419,762,521,1.0
,,763,9,
eng,1526-4610,764,522,1.0
eng,1098-240X,765,523,1.0
,,766,9,
jpn,0301-2603,767,524,1.0
ENG,1347-4820,768,525,1.0
eng,1932-6203,769,25,7.0
fre,0221-0363,770,526,1.0
eng,0939-5555,771,527,1.0
eng,1460-2105,772,141,3.0
eng,1473-5571,773,528,1.0
eng,0030-4220,774,529,1.0
eng,0003-9926 (Print) 0003-9926,775,530,1.0
,,776,9,
,,777,9,
English     Italian,,778,531,
eng,0361-7734,779,532,1.0
eng,0885-3185,780,533,1.0
eng,1939-134X,781,534,1.0
,,782,9,
,1303-6521,783,535,
ita,1592-7830,784,402,2.0
,,785,9,
English,,786,20,
rus,0039-1735,787,536,1.0
eng,1741-7015,788,537,1.0
,,789,9,
eng,2212-4411,790,538,1.0
ENG,1558-2035,791,539,1.0
,0034-9887,792,540,
,,793,9,
eng,0969-8043,794,541,1.0
eng,1878-5921,795,542,1.0
pt,,796,543,
eng,0363-5023,797,486,3.0
,,798,9,
eng,2047-4881,799,544,1.0
eng,1460-2105,800,141,3.0
eng,1535-7414,801,545,1.0
eng,,802,5,
English,0961-5423,803,546,1.0
,0093-934X,804,547,
,1672-2531,805,548,
eng,1521-3773,806,549,1.0
eng,1467-1107,807,187,3.0
eng,1096-4673,808,550,1.0
,0049-8610,809,551,
,,810,9,
,,811,9,
English,,812,20,
eng,1784-3286,813,552,1.0
English,0021-9258,814,553,1.0
eng,,815,5,
English,,816,20,
English,0300-9750,817,554,1.0
eng,,818,5,
,0090-3493,819,555,
,,820,9,
eng,1930-739X,821,556,1.0
,,822,9,
eng,2168-6114,823,557,1.0
eng,1473-5598,824,558,1.0
eng,1468-3296,825,559,1.0
,,826,9,
eng,1532-5415,827,560,1.0
English,,828,20,
eng,2150-136X,829,561,1.0
English,,830,20,
eng,0008-543X,831,58,2.0
,,832,9,
eng,1555-7162,833,562,1.0
eng,0342-4642,834,563,1.0
,,835,9,
eng,0884-0431,836,564,1.0
eng,1399-3038,837,565,1.0
eng,1540-0514,838,566,1.0
eng,,839,5,
,,840,9,
eng,1533-4406,841,567,1.0
eng,1071-1007 (Print) 1071-1007,842,568,1.0
,,843,9,
,,844,9,
English,,845,20,
eng,1743-9159,846,569,1.0
,,847,9,
eng,Mar-67,848,570,1.0
English,,849,20,
eng,0882-2786,850,571,1.0
,,851,9,
,Sep-22,852,509,
eng,1043-0342,853,572,1.0
eng,1423-0356,854,573,1.0
eng,,855,5,
,,856,9,
,Sep-22,857,509,
,,858,9,
,,859,9,
,,860,9,
ENG,1601-0825,861,574,1.0
spa,1699-5198,862,575,1.0
spa,0025-7753,863,576,1.0
English,,864,20,
eng,1098-4275,865,577,1.0
eng,1469-493X,866,16,6.0
eng,1432-0843,867,85,2.0
,,868,9,
eng,,869,5,
,,870,9,
eng,2044-6055,871,173,3.0
eng,0140-525X,872,578,1.0
eng,,873,5,
eng,1432-0711,874,579,1.0
eng,,875,5,
eng,,876,5,
,,877,9,
eng,1469-8978,878,580,1.0
eng,1040-2446,879,581,1.0
eng,,880,5,
,,881,9,
,1478-7547 (electronic),882,582,
,,883,9,
,,884,9,
German,,885,286,
,,886,9,
ENG,1522-726X,887,583,1.0
eng,1932-6203,888,25,7.0
English; ABSTRACT LANGUAGE:English,,889,7,
,0305-1862,890,584,
eng,0363-5023,891,486,3.0
eng,,892,5,
eng,1399-3003,893,585,1.0
,,894,9,
eng,1353-3452 (Print)     1353-3452,895,586,1.0
,0306-5251,896,587,
eng,,897,5,
,,898,9,
eng,1537-6591,899,588,1.0
,Mar-22,900,589,
,,901,9,
eng,1573-2606,902,590,1.0
English,1566-0702,903,591,1.0
eng,1931-3543,904,592,1.0
,,905,9,
,978-1-2673-2110-7,906,148,
eng,1533-4112,907,593,1.0
English,1053881X (ISSN),908,594,1.0
eng,1097-0142,909,289,2.0
English,0027-8424,910,595,1.0
eng,,911,5,
English,"0361-6843, Print 1471-6402, Electronic",912,596,1.0
eng,1872-7727,913,597,1.0
eng,1099-1611,914,598,1.0
,1521-186X,915,497,
,,916,9,
eng,1558-3597,917,599,1.0
eng,Mar-09,918,600,1.0
eng,2168-6157,919,601,1.0
ita,0391-5387,920,602,1.0
,,921,9,
,,922,9,
,1672-1977,923,603,
eng,1365-2346,924,406,2.0
English,0393-5264,925,126,2.0
,"1466-187X, Electronic 0142-159X, Print",926,604,
,,927,9,
eng,,928,5,
English,1092-0684,929,605,1.0
eng,1872-8243,930,606,1.0
eng,1527-7755,931,22,2.0
,,932,9,
,,933,9,
,,934,9,
eng,2054-2704,935,607,1.0
eng,1062-3264 (Print)     1062-3264,936,608,1.0
eng,0022-4804,937,609,1.0
eng,0261-5614,938,610,1.0
,"1742-3953, 1742-3953",939,611,
English,,940,20,
eng,1123-6337 (Print) 1123-6337,941,612,1.0
,-5990,942,613,
eng,1364-6915,943,614,1.0
,1464-0325,944,615,
eng,,945,5,
,,946,9,
,,947,9,
,,948,9,
,,949,9,
eng,1932-6203,950,25,7.0
,,951,9,
pt,,952,543,
eng,1476-5497,953,385,2.0
eng,0893-133X,954,616,1.0
,1538-7933,955,617,
,0272-4944,956,618,
eng,1531-698X,957,619,1.0
,1539-3704,958,620,
eng,1432-1076,959,621,1.0
,,960,9,
eng,0951-418X,961,622,1.0
,0966-6362 DO  - http://dx.doi.org/10.1016/j.gaitpost.2010.04.002,962,623,
English,0951-7375,963,624,1.0
,2162-3279,964,625,
eng,1535-5667,965,626,1.0
ger,0935-8943,966,627,1.0
,1049-2089,967,183,
eng,0300-8843,968,628,1.0
English,,969,20,
English,,970,20,
English,0021-9525,971,629,1.0
fre,1175-3277,972,630,1.0
eng,1432-2048,973,631,1.0
eng,1557-8674,974,632,1.0
eng,1878-5867,975,633,1.0
,,976,9,
eng,1460-2091,977,634,1.0
eng,,978,5,
eng,1945-7170,979,162,2.0
,,980,9,
eng,0009-9201 (Print) 0009-9201,981,635,1.0
eng,0300-5771 (Print) 0300-5771,982,636,1.0
eng,Feb-65,983,299,2.0
,1083-8791,984,637,
