ProviderNumber,HospitalType,original_index,unique_index
10015,acute care hospitals,258,20
10015,acute care hospitals,259,20
10015,acute care hospitals,260,20
10015,acute care hospitals,261,20
10015,acute care hospitals,262,20
10015,acute care hospitals,263,20
10015,acute care hospitals,264,20
10015,acute care hospitals,265,20
10015,acuxe care hospixals,266,22
10015,acute care hospitals,267,20
10015,acute care hospitals,268,20
10016,acute care hospitals,269,23
10016,acute care hospitals,270,23
10016,acute care hospitals,271,23
10016,acute care hospitals,272,23
1xx16,acute care hospitals,273,24
10016,acute care hospitals,274,23
10016,acute care hospitals,275,23
10016,acute care hospitals,276,23
10016,acute care hospitals,277,23
10016,acute care hospitals,278,23
10016,acute care hospitals,279,23
10016,acutexcarexhospitals,280,25
10016,acute care hospitals,281,23
10016,acute care hospitals,282,23
10016,acute care hospitals,283,23
10016,acute care hospitals,284,23
10016,acute care hospitals,285,23
10016,acute care hospitals,286,23
10016,acute care hospitals,287,23
10016,acute care hospitals,288,23
10016,acute care hospitals,289,23
10016,acute care hospitals,290,23
10016,acute care hospitals,291,23
10016,acute care hospitals,292,23
10016,acuxe care hospixals,293,26
10018,acute care hospitals,294,0
10018,acute care hospitals,295,0
10018,acute care hospitals,296,0
10018,acute care hospitals,297,0
10018,acute care hospitals,298,0
10018,acute care hospitals,299,0
10018,acute care hospitals,300,0
10018,acute care hospitals,301,0
10018,acute care hospitals,302,0
10018,acute care hospitals,303,0
10018,acute care hospitals,304,0
10018,acute care hospitals,305,0
10018,acute care hospitals,306,0
10018,acute care hospitals,307,0
10018,acute care hospitals,308,0
10018,acute care hospitals,309,0
10018,acute care hospitals,310,0
10038,acute care hospitals,311,27
10038,acute care hospitals,312,27
10038,acute care hospitals,313,27
100x8,acute care hospitals,314,28
10038,acute care hospitals,315,27
10038,acute care hospitals,316,27
10038,acute care hospitals,317,27
10038,acute care hospitals,318,27
10038,acute care hospitals,319,27
10038,acute care hospitals,320,27
10038,acute care hospitals,321,27
10038,acute care hospitals,322,27
10038,acute care hospitals,323,27
10038,acute care hospitals,324,27
10038,acute care hospitals,325,27
10038,acute care hospitals,326,27
10038,acute care hospitals,327,27
10038,acute care hospitals,328,27
10038,acute care hospitals,329,27
10038,acute care hospitals,330,27
10055,acute care hospitals,331,29
10055,acute care hospitals,332,29
10055,acute care hospitals,333,29
10055,acute care hospitals,334,29
10055,acute care hospitals,335,29
10055,acute care hospitals,336,29
10055,acute care hospitals,337,29
10055,acute care hospitals,338,29
10055,acute care hospitals,339,29
10055,acute care hospitals,340,29
10055,acute care hospitals,341,29
10055,acute care hospitals,342,29
10055,acute care hospitals,343,29
10055,acute care hospitals,344,29
10055,acute care hospitals,345,29
10055,acute care hospitals,346,29
10055,acute care hospitals,347,29
10056,acute care hospitals,348,30
10056,acute care hospitals,349,30
10056,acute care hospitals,350,30
10056,acute care hospitals,351,30
10056,acute care hospitals,352,30
10085,acute care hospitals,353,31
10086,acute care hospitals,354,32
10086,acute care hospitals,355,32
10086,acute care hospitals,356,32
10086,acute care hospitals,357,32
10086,acute care hospitals,358,32
10086,acute care hospitals,359,32
100x6,acute care hospitals,360,33
10086,acute care hospitals,361,32
10086,acute care hospitals,362,32
10086,acute care hospitals,363,32
10086,acute care hospitals,364,32
10086,acute care hospitals,365,32
10086,acute care hospitals,366,32
10086,acute care hospitals,367,32
10086,acute care hospitals,368,32
10086,acute care hospitals,369,32
10086,acute care hospitals,370,32
10086,acute care hospitals,371,32
10086,acute care hospitals,372,32
10086,acute care hospitals,373,32
10086,acute care hospitals,374,32
10086,acute care hospitals,375,32
10086,acute care hospitals,376,32
10086,acute care hospitals,377,32
10086,acute care hospitals,378,32
10087,acute care hospitals,379,34
10087,acute care hospitals,380,34
10087,acute care hospitals,381,34
10087,acute care hospitals,382,34
10087,acute care hospitals,383,34
10087,acute care hospitals,384,34
10087,acute care hospitals,385,34
10087,acute care hospitals,386,34
10087,acute care hospitals,387,34
10087,acute care hospitals,388,34
10087,acute care hospitals,389,34
10087,acute care hospitals,390,34
10087,acute care hospitals,391,34
10108,acute care hospitals,392,35
10108,acute care hospitals,393,35
10108,acute care hospitals,394,35
10108,acute care hospitals,395,35
10108,acute care hospitals,396,35
10108,acute care hospitals,397,35
10108,acute care hospitals,398,35
10108,acute care hospitals,399,35
10108,acute care hospitals,400,35
10108,acute care hospitals,401,35
10108,acute care hospitals,402,35
10108,acute care hospitals,403,35
10108,acute care hospitals,404,35
10108,acute care hospitals,405,35
10108,acute care hospitals,406,35
10108,acute care hospitals,407,35
x0x08,acute care hospitals,408,36
10108,acute care hospitals,409,35
10108,acute care hospitals,410,35
10108,acute care hosxitals,411,37
10158,acute care hospitals,412,38
10158,acuxe care hospixals,413,39
10164,acute care hospitals,414,40
10164,acute care hospitals,415,40
10164,acute care hospitals,416,40
10164,acute care hospitals,417,40
10164,acute care hospitals,418,40
10164,acute care hospitals,419,40
10164,acute care hospitals,420,40
10164,acute care hospitals,421,40
10164,acute care hospitals,422,40
10164,acute care hospitals,423,40
10164,acute care hospitals,424,40
10164,acute care hospitals,425,40
10164,acute care hospitals,426,40
10164,acute care hospitals,427,40
10164,acute care hospitals,428,40
10164,acute care hospitals,429,40
10164,acute care hospitals,430,40
10164,acute care hospitals,431,40
20017,acute care hospitals,432,41
20017,acute care hospitals,433,41
20017,acute care hospitals,434,41
20017,acute care hospitals,435,41
20017,acute care hospitals,436,41
20017,acute care hospitals,437,41
20017,acute care hospitals,438,41
20017,acute care hospitals,439,41
20017,acute care hospitals,440,41
20017,acute care hospitals,441,41
20017,acute care hospitals,442,41
20017,acute care hospitals,443,41
20017,acute care hospitals,444,41
20017,acute care hospitals,445,41
20017,acute care hospitals,446,41
20017,acute care hospitals,447,41
20017,acute care hospitals,448,41
20017,acute care hospitals,449,41
20018,acute care hospitals,450,42
20018,acute care hospitals,451,42
10019,acute care hospitals,452,1
10019,acute care hospitaxs,453,43
10019,acute care hospitals,454,1
10019,acute care hospitals,455,1
10019,acute care hospitals,456,1
10019,acute care hospitals,457,1
10019,acute care hospitals,458,1
10019,acute care hospitals,459,1
10019,acute care hospitals,460,1
10019,acute care hospitals,461,1
10019,acute care hospitals,462,1
10019,acute care hospitals,463,1
10019,acute care hospitals,464,1
10019,acute care hospitals,465,1
10021,acute care hospitals,466,44
10021,acute care hospitals,467,44
10021,acute care hospitals,468,44
10021,acute care hospitals,469,44
10021,acute care hospitals,470,44
10021,acute care hospitals,471,44
10021,acute care hospitals,472,44
10021,acute care hospitals,473,44
10021,acute care hospitals,474,44
10021,acute care hospitals,475,44
10021,acute care hospitals,476,44
10021,acute care hospitals,477,44
10021,acute care hospitals,478,44
10021,acute care hospitals,479,44
10021,acute care hospitals,480,44
10021,acute care hospitals,481,44
10021,acute care hospitals,482,44
10021,acute care hospitals,483,44
10021,acute care hospitals,484,44
10021,acute care hospitals,485,44
10021,acute care hospitals,486,44
10021,acute care hospitals,487,44
10021,acute care hospitals,488,44
10021,acute care hospitals,489,44
10021,acute caxe hospitals,490,45
10022,acute care hospitals,491,46
10022,acute care hospitals,492,46
10022,acute care hxspitals,493,47
10022,acute care hospitals,494,46
10022,acute care hospitals,495,46
10022,acute care hospitals,496,46
10022,acutx carx hospitals,497,48
10022,acute care hospitals,498,46
10022,acute care hospitals,499,46
10022,acute care hospitals,500,46
10022,acute care hospitals,501,46
10022,acute care hospitals,502,46
10022,acute care hospitals,503,46
10022,acute care hospitals,504,46
10022,acute care hospitals,505,46
10022,acute care hospitals,506,46
10022,acute care hospitals,507,46
10022,acute care hospitals,508,46
10022,acute care hospitals,509,46
10022,acute care hospitals,510,46
10022,acuxe care hospixals,511,49
10022,acute care hospitals,512,46
10022,acute care hospitals,513,46
10022,acute care hospitals,514,46
10022,acute care hospitals,515,46
10023,acute care hospitals,516,50
10023,acute care hospitals,517,50
10023,acute care hospitals,518,50
10023,acute care hospitals,519,50
10023,acute care hospitals,520,50
10023,acute care hospitals,521,50
10023,acute care hospitals,522,50
10023,acute care hospitals,523,50
10023,acute care hospitals,524,50
10023,acute care hospitals,525,50
10023,acute care hospitals,526,50
10023,acute care hospitals,527,50
10023,acute care hospitals,528,50
10023,acute care hospitals,529,50
10023,acute care hospitals,530,50
10023,acute care hospitals,531,50
10023,acute care hosxitals,532,51
10023,acute care hospitals,533,50
10023,acute care hospitals,534,50
10023,acute care hospitals,535,50
10023,acute care hospitals,536,50
10023,acute care hospitals,537,50
10023,acute care hospitals,538,50
10023,acute care hospitals,539,50
10023,acute care hospitals,540,50
10024,acute care hospitals,541,52
10024,acute care hospitals,542,52
10024,acute care hospitals,543,52
10024,acute care hospitals,544,52
10024,acute care hospitals,545,52
10024,acute care hospitals,546,52
10024,acute care hospitals,547,52
10024,acute care hospitals,548,52
10024,acute care hospitals,549,52
10024,acute care hospitals,550,52
10024,acute care hospitals,551,52
10024,acute care hospitals,552,52
10024,acute care hospitals,553,52
10024,acute care hospitals,554,52
10024,acute care hospitals,555,52
10024,acute care hospitals,556,52
10024,acute care hospitals,557,52
10024,acute care hospitals,558,52
1xx24,acute care hospitals,559,53
10024,acute care hospitals,560,52
10024,acute care hospitals,561,52
10024,acute care hospitals,562,52
10024,acute care hospitals,563,52
10024,acute care hospitals,564,52
10024,acute care hospitals,565,52
10025,acute care hospitals,566,54
10025,acute care hospitals,567,54
10025,acute care hospitals,568,54
10025,acute care hospitals,569,54
10025,acute care hospitals,570,54
10025,acute care hospitals,571,54
10025,acute care hospitals,572,54
10025,acute care hospitals,573,54
10025,acute care hospitals,574,54
10025,acute care hospitals,575,54
10025,acute care hospitals,576,54
10025,acute care hospitals,577,54
10025,acute care hospitals,578,54
10025,acute care hospitals,579,54
10025,acute care hospitals,580,54
10025,acute care hospitals,581,54
10025,acute care hospitals,582,54
10025,acute care hospitals,583,54
10025,acute care hospitals,584,54
10025,acute care hospitals,585,54
10025,acute care hospitals,586,54
10025,acute care hospitals,587,54
10025,acuxe care hospixals,588,55
10025,acute care hospitals,589,54
10025,acute care hospitals,590,54
10027,acute care hospitals,591,56
10027,acute care hospitals,592,56
10027,acute care hospitals,593,56
10027,acute care hospitals,594,56
10027,acute care hospitals,595,56
10027,acute care hospitals,596,56
10027,acute care hospitals,597,56
10027,acute care hospitals,598,56
10027,acute care hospitals,599,56
10027,acute care hospitals,600,56
10027,acute care hospitals,601,56
10027,acute care hospitals,602,56
10027,acute care hospitals,603,56
10027,acute care hospitals,604,56
10027,acute care hospitals,605,56
10027,acute care hospitals,606,56
10027,acute care hospitals,607,56
x0027,acute care hospitals,608,57
10027,acute care hospitals,609,56
10027,acute care hospitals,610,56
10027,acute care hospitals,611,56
10027,acute care hospitals,612,56
10027,acute care hospitals,613,56
10027,acute care hospitals,614,56
10027,acute care hospitals,615,56
10029,acute care hospitals,616,58
10029,acute care hospitals,617,58
10029,acute care hospitals,618,58
10029,acute care hospitals,619,58
10029,acute care hospitals,620,58
10029,acute care hospitals,621,58
10029,acute care hospitals,622,58
10029,acute care hospitals,623,58
10029,acute care hospitals,624,58
10029,acute care hospitals,625,58
10029,acute care hospitals,626,58
x0029,acute care hospitals,627,59
10029,acute care hospitals,628,58
10029,acute care hospitals,629,58
10029,acute care hospitals,630,58
10029,acute care hospitals,631,58
10029,acute care hospitals,632,58
10029,acute care hospitals,633,58
10029,acuxe care hospixals,634,60
10029,acute care hospitals,635,58
10029,acute care hospitals,636,58
10029,acute care hospitals,637,58
10029,acute care hospitals,638,58
1xx29,acute care hospitals,639,61
10029,acute care hospitals,640,58
10032,acute care hospitals,641,62
10032,acute care hospitals,642,62
10032,acute care hospitals,643,62
10032,acute care hospitals,644,62
1xx32,acute care hospitals,645,63
10032,acute care hospitals,646,62
10032,acute care hospitals,647,62
10032,acute care hospitals,648,62
10032,acute care hospitals,649,62
10032,acute care hospitals,650,62
10032,acute care hospitals,651,62
10032,acute care hospitals,652,62
10032,acute care hospitals,653,62
10032,acute care hospitals,654,62
1xx32,acute care hospitals,655,63
10032,acute care hospitals,656,62
10032,acute care hospitals,657,62
10032,acute care hospitals,658,62
10032,acute care hospitals,659,62
10032,acute care hospitals,660,62
10032,acute care hospitals,661,62
10032,acute care hospitals,662,62
10032,acute care hospitals,663,62
10032,acute care hospitals,664,62
10032,acute care hospitals,665,62
10033,acute care hospitals,666,64
10033,acute care hospitals,667,64
10033,acute care hospitals,668,64
10033,acute care hospitals,669,64
10033,acute care hospitals,670,64
10033,acute care hospitals,671,64
10033,acute care hospitals,672,64
10033,acute care hospitals,673,64
10033,acute care hospitals,674,64
10033,acute care hospitals,675,64
10033,acute care hospitals,676,64
10033,acute care hospitals,677,64
10033,acute care hospitals,678,64
10033,acute care hospitals,679,64
10033,acute care hospitals,680,64
10033,acute care hospitals,681,64
10033,acute care hospitals,682,64
10033,acute care hospitals,683,64
10033,acute care hospitals,684,64
10033,acute care hospitals,685,64
10033,acute care hospitals,686,64
10033,acute care hospitals,687,64
10033,acute care hospitals,688,64
10033,acute care hospitals,689,64
10033,acute care hospitals,690,64
10034,acute care hospitals,691,65
10034,acute care hospitals,692,65
10034,acute care hospitals,693,65
10034,acute care hospitals,694,65
10034,acute cxre hospitxls,695,66
10034,acute care hospitals,696,65
10034,acute care hospitals,697,65
10034,acute care hospitals,698,65
10034,acute care hospitals,699,65
10034,acute care hospitals,700,65
10034,acute care hospitals,701,65
10034,acute care hospitals,702,65
10034,acute care hospitals,703,65
100x4,acute care hospitals,704,67
10034,acutexcarexhospitals,705,68
10034,acute care hospitals,706,65
10034,acute care hospitals,707,65
10034,acute care hospitals,708,65
10034,acute care hospitals,709,65
10034,acute care hospitals,710,65
10034,acute care hospitals,711,65
10034,acute care hospitals,712,65
10034,acute care hospitals,713,65
10034,acute care hospitals,714,65
10034,acute care hospitals,715,65
10035,acute care hospitals,716,69
10035,acute care hospitals,717,69
10035,acute care hospitals,718,69
10035,acute care hospitals,719,69
10035,acute care hospitals,720,69
100x5,acute care hospitals,721,70
10035,acute care hospitals,722,69
10035,acute care hospitals,723,69
1xx35,acute care hospitals,724,71
10035,acute care hospitals,725,69
10035,acute care hospitals,726,69
10035,acute care hospitals,727,69
10035,acute care hospitals,728,69
10035,acutexcarexhospitals,729,72
10035,acute care hospitals,730,69
10035,acute care hospitals,731,69
10035,acute care hospitals,732,69
10035,acute care hospitals,733,69
10035,acute care hospitals,734,69
10035,acute care hospitals,735,69
10035,acute care hospitals,736,69
10035,acute care hospitals,737,69
10035,acute care hospitals,738,69
10035,acute care hospitals,739,69
10035,acute care hospitals,740,69
10036,acute care hospitals,741,73
10036,acute care hospitals,742,73
10036,acute care hospitals,743,73
10036,acute care hospitals,744,73
10036,acute care hospitals,745,73
10036,acute care hospitals,746,73
10036,acute care hospitals,747,73
10036,acute care hospitals,748,73
10036,acute care hospitals,749,73
10036,acute care hospitals,750,73
10036,acute care hospitals,751,73
10036,acute care hospitals,752,73
10036,acute care hospitals,753,73
10036,acute care hospitals,754,73
1xx36,acute care hospitals,755,74
10036,acute care hospitals,756,73
10036,acute care hospitals,757,73
10036,acute care hospitals,758,73
10036,acute care hospitals,759,73
10036,acute care hospitals,760,73
10036,acute care hospitals,761,73
10036,acute care hospitals,762,73
10036,acute care hospitals,763,73
10036,acute care hospitals,764,73
10036,acute care hospitals,765,73
10038,acute care hospitals,766,27
10038,acute care hospitals,767,27
10038,acute care hospitals,768,27
10038,acute care hospitals,769,27
10038,acute care hospitals,770,27
10038,acute care hospitals,771,27
10038,acute care hospitals,772,27
10038,acute care hospitals,773,27
10039,acute care hospitals,774,75
10039,acute care hospitals,775,75
10039,acute care hospitals,776,75
10039,acute care hospitals,777,75
10039,acute care hospitals,778,75
10039,acutexcarexhospitals,779,76
1003x,acute care hospitals,780,77
10039,acute care hospitals,781,75
10039,acute care hospitaxs,782,78
10039,acute care hospitals,783,75
10039,acute care hospitals,784,75
10039,acute care hospitals,785,75
10039,acute care hospitals,786,75
10039,acute care hospitals,787,75
10039,acute care hospitals,788,75
1xx39,acute care hospitals,789,79
10039,acute care hospitals,790,75
10039,acute care hospitals,791,75
10039,acute care hospitals,792,75
100x9,acute care hospitals,793,80
10039,acute care hospitals,794,75
10039,acute care hospitals,795,75
10039,acute care hospitals,796,75
10039,acute care hospitals,797,75
10039,acute care hospitals,798,75
10039,acute care hospitals,799,75
10039,acute care hospitals,800,75
10039,acute care hospitals,801,75
10040,acute care hospitals,802,81
10040,acute care hospitals,803,81
10040,acute care hospitals,804,81
10040,acute care hospitals,805,81
10040,acute care hospitals,806,81
10040,acute care hospitals,807,81
10040,acute care hospitals,808,81
10040,acute care hospitals,809,81
10040,acute care hospitals,810,81
10040,acute care hospitals,811,81
10040,acute care hospitals,812,81
10040,acute care hospitals,813,81
10040,axute care hospitals,814,82
10040,acute care hospitals,815,81
10040,acute care hospitals,816,81
10040,acute care hospitals,817,81
10040,acute care hospitals,818,81
10040,acute care hospitals,819,81
10040,acute care hospitals,820,81
10040,acute care hospitals,821,81
10040,acute care hospitals,822,81
10040,acute care hospitals,823,81
10040,acute care hospitals,824,81
10040,acute care hospitals,825,81
10040,acute care hospitals,826,81
10043,acute care hospitals,827,83
10043,acute care hospitals,828,83
10043,acute care hospitals,829,83
10043,acute care hospitals,830,83
10043,acute care hospitals,831,83
10043,acute care hospitals,832,83
10043,acute care hospitals,833,83
10043,acute care hospitals,834,83
10043,acute care hospitals,835,83
10043,acute care hospitals,836,83
10043,acute care hospitals,837,83
10043,acute care hospitals,838,83
10043,acute care hospitals,839,83
10043,acute care hospitals,840,83
10043,acute care hospitals,841,83
10043,acute care hospitals,842,83
10043,acute care hospitals,843,83
10043,acute care hospitals,844,83
10043,acute care hospitals,845,83
10043,acute care hospitals,846,83
10043,acute care hospitals,847,83
10043,acute caxe hospitals,848,84
10043,acute care hospitals,849,83
10043,acute care hospitals,850,83
10043,acute care hospitals,851,83
10044,acute care hospitals,852,85
10044,acute care hospitals,853,85
10044,acute care hospitals,854,85
10044,acute care hospitals,855,85
10044,acute care hospitals,856,85
10044,acute care hospitals,857,85
10044,acute care hospitals,858,85
1xx44,acute care hospitals,859,86
10044,acute care hospitals,860,85
10044,acute care hospitals,861,85
10044,acute care hospitals,862,85
10044,acute care hospitals,863,85
10044,acute care hospitals,864,85
10044,acute care hospitals,865,85
10044,acute care hospitals,866,85
10044,acute care hospitals,867,85
10044,acute care hospitals,868,85
10044,acute care hospitals,869,85
10044,acute care hospitals,870,85
10044,acute care hospitals,871,85
10044,acute care hospitals,872,85
10044,acute care hospitals,873,85
10044,acute care hospitals,874,85
10044,acute care hospitals,875,85
10044,acute care hospitals,876,85
10045,acute care hoxpitalx,877,87
1xx45,acute care hospitals,878,88
10045,acute care hospitals,879,89
10045,acute care hospitals,880,89
10045,acute care hospitals,881,89
10045,acute care hospitals,882,89
10045,acute care hospitals,883,89
10045,acute care hospitals,884,89
10045,acute care hospitals,885,89
10045,acute care hospitals,886,89
10045,acute care hospitals,887,89
x0045,acute care hospitals,888,90
10045,acute care hospitals,889,89
10045,acute care hospitals,890,89
10045,acute care hospitals,891,89
10045,acute care hospitals,892,89
10045,acute care hospitals,893,89
10045,acute care hospitals,894,89
10045,acute care hospitals,895,89
10045,acute care hospitals,896,89
10045,acute care hospitals,897,89
10045,acute care hospitals,898,89
10045,acute care hospitals,899,89
10045,acute care hospitals,900,89
10045,acute care hospitals,901,89
10046,acutexcarexhospitals,902,91
10046,acute care hospitals,903,92
10046,acute care hospitals,904,92
10046,acute care hospitals,905,92
10046,acute care hospitals,906,92
10046,acute care hospitals,907,92
10046,acute care hospitals,908,92
10046,acute care hospitals,909,92
10046,acute care hospitals,910,92
10046,acute care hospitals,911,92
10046,acute care hospitals,912,92
10046,acute care hospitals,913,92
10046,acute care hospitals,914,92
10046,acute care hospitals,915,92
10046,acute care hospitals,916,92
10046,acute care hospitals,917,92
10046,acute care hospitals,918,92
10046,acute care hospitals,919,92
10046,acute care hospitals,920,92
10046,acute care hospitals,921,92
10046,acute care hospitals,922,92
10046,acute care hospitals,923,92
