RatingValue,original_index,unique_index
6.8,715,6
6.8,716,6
7.5,717,3
6.1,718,40
7.7,719,13
9,720,79
4.8,721,8
3.4,722,65
4.4,723,56
7.3,724,22
7.2,725,1
6.4,726,28
5.9,727,7
6.1,728,40
6,729,43
7.3,730,22
6.7,731,4
"5.8/10,5.4/10",732,80
5.8,733,23
7.1,734,17
7.2,735,1
6.5,736,36
5.8,737,23
4.1,738,52
6.7,739,4
7.3,740,22
7.3,741,22
6.9,742,10
6,743,43
6.6,744,18
,745,19
6.6,746,18
5.3,747,37
6.3,748,5
4.4,749,56
4,750,70
5.7,751,49
1.7,752,81
3.8,753,82
6.3,754,5
6.2,755,25
7.3,756,22
5.7,757,49
7.2,758,1
6.5,759,36
7.1,760,17
6.4,761,28
8.3,762,20
6.2,763,25
6.7,764,4
7,765,12
"5.4/10,5.2/10",766,83
,767,19
6.5,768,36
7.6,769,2
6.1,770,40
6.9,771,10
6.3,772,5
7.4,773,14
5.2,774,38
5.9,775,7
6.5,776,36
,777,19
5.6,778,50
6.7,779,4
5.5,780,11
4.6,781,48
7.7,782,13
6.4,783,28
5.7,784,49
6.5,785,36
7.3,786,22
1.9,787,84
7.1,788,17
6.4,789,28
7.3,790,22
5.2,791,38
2.5,792,85
6.2,793,25
6.7,794,4
7.1,795,17
5.9,796,7
6.7,797,4
2.1,798,32
2.5,799,85
6.1,800,40
2.6,801,67
4.1,802,52
8.6,803,0
8.7,804,86
8,805,34
7.7,806,13
6.3,807,5
,808,19
8.5,809,41
5.8,810,23
6.1,811,40
6.8,812,6
7.5,813,3
6.7,814,4
6.7,815,4
6.6,816,18
7.2,817,1
7,818,12
"6.4/10,6.2/10",819,87
7.3,820,22
7.3,821,22
8,822,34
7.2,823,1
7,824,12
6.5,825,36
6.7,826,4
6.9,827,10
6.7,828,4
7.3,829,22
7.1,830,17
6.8,831,6
6.5,832,36
6.2,833,25
6.3,834,5
4.4,835,56
7,836,12
8.1,837,9
5.8,838,23
6.9,839,10
5,840,63
6.6,841,18
7.5,842,3
7.8,843,16
7.5,844,3
7.6,845,2
7.8,846,16
7.8,847,16
4.7,848,54
2.5,849,85
6.9,850,10
2.3,851,88
7.6,852,2
2.7,853,60
2.7,854,60
4.5,855,35
7.5,856,3
,857,19
7,858,12
6.6,859,18
8.5,860,41
6.2,861,25
5.8,862,23
8.4,863,21
7.4,864,14
7,865,12
6.9,866,10
7.4,867,14
,868,19
,869,19
5.4,870,42
7.3,871,22
,872,19
,873,19
,874,19
,875,19
7.2,876,1
8.5,877,41
6.4,878,28
7,879,12
5.6,880,50
7.9,881,15
7,882,12
6.6,883,18
6.4,884,28
"7/10,7.5/10",885,89
6.9,886,10
7,887,12
7,888,12
6.3,889,5
6.4,890,28
6.7,891,4
6.6,892,18
6.8,893,6
7.2,894,1
6.9,895,10
7.9,896,15
8.5,897,41
8.1,898,9
7.8,899,16
8.3,900,20
8.4,901,21
7.6,902,2
7.2,903,1
8.1,904,9
7,905,12
7.6,906,2
6.1,907,40
7.2,908,1
6.9,909,10
7.6,910,2
6.4,911,28
"7/10,6.4/10",912,90
7,913,12
7.9,914,15
8,915,34
7.2,916,1
7,917,12
7.6,918,2
7.8,919,16
6.9,920,10
7.8,921,16
8,922,34
8,923,34
6.3,924,5
"4.6/10,4.6/10",925,91
7.2,926,1
8.4,927,21
7.5,928,3
7.1,929,17
7,930,12
7.9,931,15
7.4,932,14
6.6,933,18
8,934,34
6.4,935,28
6.2,936,25
7.3,937,22
6.2,938,25
7.9,939,15
7.5,940,3
6.5,941,36
6,942,43
8,943,34
6.8,944,6
7.8,945,16
7.6,946,2
7.8,947,16
6.4,948,28
7.3,949,22
6.4,950,28
6.4,951,28
7.6,952,2
6.6,953,18
6.9,954,10
7.4,955,14
5.9,956,7
8.5,957,41
6.7,958,4
6.5,959,36
7.5,960,3
6.8,961,6
5.5,962,11
5.4,963,42
6,964,43
5.9,965,7
"4.4/10,4.1/10",966,92
4.5,967,35
5,968,63
5.5,969,11
5.4,970,42
4.9,971,59
6.1,972,40
7.8,973,16
7.1,974,17
6.6,975,18
6.9,976,10
6.6,977,18
7,978,12
7.2,979,1
6.3,980,5
7.4,981,14
7,982,12
7.3,983,22
6.2,984,25
7.3,985,22
6.1,986,40
,987,19
7.3,988,22
6.7,989,4
6.8,990,6
7.5,991,3
7.8,992,16
7.5,993,3
6.8,994,6
6.7,995,4
6.6,996,18
7.1,997,17
"6.6/10,6.3/10",998,93
6.2,999,25
7.7,1000,13
6.3,1001,5
7.4,1002,14
5.4,1003,42
5.8,1004,23
6,1005,43
5.8,1006,23
5.8,1007,23
6.1,1008,40
5.4,1009,42
5.7,1010,49
6.2,1011,25
5.5,1012,11
6.6,1013,18
8.3,1014,20
8.1,1015,9
8.8,1016,64
6.6,1017,18
6.9,1018,10
7.8,1019,16
1.3,1020,94
7.8,1021,16
8,1022,34
7.1,1023,17
1.6,1024,95
6.1,1025,40
6.8,1026,6
6.7,1027,4
7.3,1028,22
6.3,1029,5
6.5,1030,36
3.5,1031,96
6.9,1032,10
6.4,1033,28
5.6,1034,50
7.2,1035,1
6,1036,43
5.3,1037,37
6.3,1038,5
6.7,1039,4
6.9,1040,10
7.3,1041,22
7.5,1042,3
5.2,1043,38
5.1,1044,26
4.8,1045,8
4.2,1046,39
4,1047,70
4.3,1048,66
,1049,19
7.7,1050,13
7.8,1051,16
6.6,1052,18
6.5,1053,36
7.5,1054,3
8.4,1055,21
7,1056,12
5.4,1057,42
6.5,1058,36
6.1,1059,40
7.1,1060,17
7.6,1061,2
7.2,1062,1
4.9,1063,59
7,1064,12
6.5,1065,36
,1066,19
7.1,1067,17
6.9,1068,10
7,1069,12
7.5,1070,3
7.3,1071,22
8.4,1072,21
5.3,1073,37
8.1,1074,9
6.7,1075,4
7.7,1076,13
,1077,19
7.9,1078,15
6.7,1079,4
,1080,19
7.7,1081,13
7.3,1082,22
7.3,1083,22
7.4,1084,14
6.9,1085,10
,1086,19
,1087,19
,1088,19
6,1089,43
8.4,1090,21
8.2,1091,24
5,1092,63
6.5,1093,36
5.7,1094,49
6.9,1095,10
5.1,1096,26
2.6,1097,67
6.6,1098,18
,1099,19
,1100,19
6.4,1101,28
6.8,1102,6
8.5,1103,41
8.6,1104,0
8.4,1105,21
8.3,1106,20
8.3,1107,20
8.9,1108,97
8.6,1109,0
8.4,1110,21
8.4,1111,21
8.4,1112,21
8.4,1113,21
8.3,1114,20
6.2,1115,25
8.6,1116,0
6.6,1117,18
6.7,1118,4
6.7,1119,4
6.5,1120,36
8,1121,34
6.2,1122,25
5.8,1123,23
6.9,1124,10
5.9,1125,7
6.2,1126,25
5.7,1127,49
3.7,1128,53
7.7,1129,13
6.9,1130,10
7.2,1131,1
7.4,1132,14
7.5,1133,3
8,1134,34
7.2,1135,1
6.2,1136,25
8.7,1137,86
8.7,1138,86
8.3,1139,20
7.8,1140,16
7.4,1141,14
7.7,1142,13
7.4,1143,14
8,1144,34
7.9,1145,15
6.5,1146,36
7,1147,12
7.2,1148,1
7.2,1149,1
7.8,1150,16
7.8,1151,16
8.2,1152,24
7.7,1153,13
7.7,1154,13
6.8,1155,6
7.4,1156,14
7.2,1157,1
7,1158,12
6.8,1159,6
6.3,1160,5
7.5,1161,3
6.9,1162,10
6.8,1163,6
7,1164,12
8.3,1165,20
7.5,1166,3
8.2,1167,24
7.8,1168,16
8.1,1169,9
7.7,1170,13
8.3,1171,20
8.2,1172,24
8,1173,34
8.5,1174,41
8.4,1175,21
8.4,1176,21
8,1177,34
5.8,1178,23
7.7,1179,13
7.1,1180,17
8.1,1181,9
5.9,1182,7
7.4,1183,14
8.1,1184,9
7.3,1185,22
7.1,1186,17
7,1187,12
6.8,1188,6
8,1189,34
7.5,1190,3
6.9,1191,10
6.7,1192,4
7.5,1193,3
7,1194,12
6.5,1195,36
5.9,1196,7
7.2,1197,1
7,1198,12
7.7,1199,13
7.9,1200,15
8,1201,34
7.1,1202,17
7.3,1203,22
8,1204,34
8.1,1205,9
7.3,1206,22
7.7,1207,13
7.7,1208,13
6.7,1209,4
"6.2/10,5.5/10",1210,98
7.3,1211,22
6.3,1212,5
7.3,1213,22
6.7,1214,4
6.8,1215,6
7.7,1216,13
6,1217,43
5.8,1218,23
6.5,1219,36
6.1,1220,40
6.4,1221,28
5.8,1222,23
6.6,1223,18
6.4,1224,28
6,1225,43
6.5,1226,36
6,1227,43
6.5,1228,36
5.7,1229,49
6.5,1230,36
6.4,1231,28
7.3,1232,22
5.9,1233,7
8.7,1234,86
8.9,1235,97
8.8,1236,64
6.5,1237,36
7.7,1238,13
6.7,1239,4
7.6,1240,2
6.8,1241,6
7.8,1242,16
7.2,1243,1
6.6,1244,18
4.7,1245,54
7.8,1246,16
6.4,1247,28
5.8,1248,23
5.7,1249,49
6.1,1250,40
7.2,1251,1
6.8,1252,6
7.6,1253,2
6.3,1254,5
7.7,1255,13
7.5,1256,3
7.5,1257,3
7.3,1258,22
8.3,1259,20
8,1260,34
7.4,1261,14
7.8,1262,16
6.8,1263,6
7.8,1264,16
6.5,1265,36
6.3,1266,5
6.9,1267,10
6,1268,43
7.6,1269,2
8.2,1270,24
7.3,1271,22
7.1,1272,17
7.6,1273,2
7.2,1274,1
7.1,1275,17
5.5,1276,11
"5.4/10,5.1/10",1277,99
6.2,1278,25
6.1,1279,40
5.9,1280,7
7.2,1281,1
6.8,1282,6
6.8,1283,6
7.3,1284,22
8,1285,34
7.3,1286,22
7.8,1287,16
8,1288,34
6.6,1289,18
7.9,1290,15
6,1291,43
5.1,1292,26
6.5,1293,36
6,1294,43
7.1,1295,17
7.3,1296,22
7.2,1297,1
7.5,1298,3
7.8,1299,16
"6.4/10,6.3/10",1300,100
7.7,1301,13
6.9,1302,10
"6.9/10,6.2/10",1303,101
7.2,1304,1
7.5,1305,3
"6.2/10,6.2/10",1306,102
6.8,1307,6
5.9,1308,7
6.3,1309,5
6.5,1310,36
7.4,1311,14
6.8/10,1312,103
7.8,1313,16
8.4,1314,21
8.2,1315,24
7.8,1316,16
7.2,1317,1
7.2,1318,1
6.7,1319,4
6.9,1320,10
7.3,1321,22
6.6,1322,18
5.4,1323,42
6.4,1324,28
5.5,1325,11
6.3,1326,5
7.2,1327,1
7.2,1328,1
5.5,1329,11
5.3,1330,37
7.1,1331,17
6.8,1332,6
7.9,1333,15
8.1,1334,9
7,1335,12
7.8,1336,16
6.8,1337,6
"5.4/10,4.2/10",1338,104
7.7,1339,13
5.6,1340,50
6.9,1341,10
7.1,1342,17
7.1,1343,17
7.3,1344,22
7.6,1345,2
7.5,1346,3
7.4,1347,14
7.4,1348,14
7.2,1349,1
7.4,1350,14
7.4,1351,14
7.3,1352,22
7.3,1353,22
4.7,1354,54
4.5,1355,35
5.3,1356,37
5.8,1357,23
5.6,1358,50
5.8,1359,23
6,1360,43
5,1361,63
5.7,1362,49
7.4,1363,14
6,1364,43
6,1365,43
6.4,1366,28
6,1367,43
7.1,1368,17
6.4,1369,28
6.1,1370,40
6.4,1371,28
7.8,1372,16
8.1,1373,9
7.3,1374,22
8.7,1375,86
8.1,1376,9
5.9,1377,7
8,1378,34
7.5,1379,3
7.9,1380,15
8.5,1381,41
8.4,1382,21
8.4,1383,21
5.2,1384,38
7.8,1385,16
8.7,1386,86
4.2,1387,39
7,1388,12
7.4,1389,14
7.1,1390,17
7,1391,12
7.8,1392,16
6.6,1393,18
5.3,1394,37
5.6,1395,50
6.2,1396,25
6,1397,43
5.5,1398,11
6.2,1399,25
"6.5/10,3.1/10",1400,105
6.4,1401,28
7,1402,12
6.6,1403,18
6.7,1404,4
6.5,1405,36
6.9,1406,10
7,1407,12
4.8,1408,8
6.7,1409,4
6.3,1410,5
7.3,1411,22
6.4,1412,28
"6.5/10,6.6/10",1413,106
6.9,1414,10
7,1415,12
6.2,1416,25
5.9,1417,7
6.4,1418,28
6.2,1419,25
7.1,1420,17
5.5,1421,11
6.4,1422,28
7,1423,12
6.2,1424,25
5.9,1425,7
5.3,1426,37
5.6,1427,50
5.4,1428,42
"5.4/10,4.9/10",1429,107
4.9,1430,59
5.4,1431,42
6,1432,43
6.1,1433,40
6.8,1434,6
7.8,1435,16
7.2,1436,1
7.8,1437,16
5.1,1438,26
7.2,1439,1
6.1,1440,40
6.1,1441,40
7,1442,12
6.2,1443,25
6.2,1444,25
5.9,1445,7
6,1446,43
5.4,1447,42
5.5,1448,11
5.9,1449,7
,1450,19
5.9,1451,7
4.8,1452,8
5.1,1453,26
5.2,1454,38
5.4,1455,42
6.4,1456,28
5.9,1457,7
5.9,1458,7
6.2,1459,25
6.7,1460,4
8.4,1461,21
6.4,1462,28
8.5,1463,41
6.4,1464,28
7.5,1465,3
6.7,1466,4
7.2,1467,1
5.6,1468,50
6.2,1469,25
6.4,1470,28
7.5,1471,3
6.6,1472,18
3.4,1473,65
3.2,1474,108
2.7,1475,60
1.8,1476,109
7.2,1477,1
8.1,1478,9
5.8,1479,23
5.2,1480,38
4.1,1481,52
6.3,1482,5
7.4,1483,14
5.8,1484,23
6.7,1485,4
5.8,1486,23
6.1,1487,40
7.1,1488,17
5.5,1489,11
6.7,1490,4
5.8,1491,23
7.6,1492,2
4.9,1493,59
2.8,1494,110
3.2,1495,108
5.2,1496,38
4.5,1497,35
6.1,1498,40
7.3,1499,22
7.2,1500,1
6.9,1501,10
7,1502,12
5.6,1503,50
6.5,1504,36
5.3,1505,37
6.4,1506,28
7.4,1507,14
5,1508,63
6.4,1509,28
6.2,1510,25
5.7,1511,49
6.7,1512,4
5.9,1513,7
5.7,1514,49
7.8,1515,16
6.4,1516,28
3.8,1517,82
5.9,1518,7
5.5,1519,11
5.2,1520,38
5.4,1521,42
5.9,1522,7
6.3,1523,5
6,1524,43
5.9,1525,7
6.4,1526,28
5.1,1527,26
5.5,1528,11
5.4,1529,42
3.5/10,1530,111
4.8,1531,8
5,1532,63
4.7,1533,54
5.3,1534,37
4.2,1535,39
5.1,1536,26
4.1,1537,52
5.1,1538,26
5.2,1539,38
5.1,1540,26
6.1,1541,40
6.7,1542,4
,1543,19
6.7,1544,4
6.9,1545,10
4.8,1546,8
6.4,1547,28
5.1,1548,26
5.5,1549,11
7.8,1550,16
8.4,1551,21
6.7,1552,4
5.4,1553,42
8.1,1554,9
8.4,1555,21
7.2,1556,1
6.3,1557,5
5.5,1558,11
6.4,1559,28
6.2,1560,25
6.9,1561,10
6.3,1562,5
5.7,1563,49
4.7,1564,54
5.9,1565,7
7.6,1566,2
7.4,1567,14
7.9,1568,15
7.9,1569,15
6.8,1570,6
8.7,1571,86
6.4,1572,28
6.3,1573,5
6.7,1574,4
7.3,1575,22
6.3,1576,5
6.3,1577,5
6.2,1578,25
4.8,1579,8
8,1580,34
7.9,1581,15
6.7,1582,4
5.2,1583,38
4.8,1584,8
4.4,1585,56
6.1,1586,40
6.7,1587,4
,1588,19
5.4,1589,42
6.7,1590,4
7.8,1591,16
8,1592,34
7.5,1593,3
7.7,1594,13
7.8,1595,16
7.7,1596,13
6.7,1597,4
3.5,1598,96
7.5,1599,3
5.4,1600,42
6.6,1601,18
6.6,1602,18
6.4,1603,28
6.4,1604,28
7.5,1605,3
6.3,1606,5
7.2,1607,1
3.9,1608,57
6.8,1609,6
6.7,1610,4
6.3,1611,5
5.6,1612,50
7.3,1613,22
4.9,1614,59
6.7,1615,4
6.2,1616,25
5.8,1617,23
7.7,1618,13
7.3,1619,22
6.8,1620,6
5.3,1621,37
7.2,1622,1
,1623,19
4.2,1624,39
7.4,1625,14
6.9,1626,10
6.4,1627,28
6.7,1628,4
6.7,1629,4
7.3,1630,22
7.3,1631,22
7.6,1632,2
7.1,1633,17
6.6,1634,18
7.4,1635,14
5.9,1636,7
4.9,1637,59
6.6,1638,18
6,1639,43
6.2,1640,25
8.3,1641,20
5.5,1642,11
5.4,1643,42
4.3,1644,66
4.4,1645,56
7.6,1646,2
7.4,1647,14
7.7,1648,13
5.7,1649,49
5.3,1650,37
7.5,1651,3
6.4,1652,28
6,1653,43
6.6,1654,18
7,1655,12
8.1,1656,9
7.4,1657,14
"6.3/10,7.1/10",1658,112
6.5,1659,36
7.7,1660,13
7.2,1661,1
7.8,1662,16
6,1663,43
7.7,1664,13
7.6,1665,2
6.8,1666,6
6.7,1667,4
7.5,1668,3
7.9,1669,15
6.1,1670,40
,1671,19
