beer-name,original_index,unique_index
East India Pale Ale,459,445
Brooklyn Summer Ale (2011),460,447
Brooklyn Lager (16 oz.),461,448
Brooklyn Lager (12 oz.),462,449
Tour de Nez Belgian IPA (Current),463,450
Roler Bock (Current),464,451
Black Adder IBA (Current),465,452
Very Noddy Lager (Current),466,453
Tule Duck Red Ale (Current),467,454
Original Orange Blossom Ale (Current),468,455
Black Noddy Lager (Current),469,456
Cleveland Beer Week 2013,470,457
Painted Turtle,471,458
1836,472,459
Summer's Wit,473,460
More Cowbell,474,461
Wrath of Pele,475,462
Black Beer'd,476,463
Mr. Tea,477,464
Pale Alement,478,465
Hopkick Dropkick,479,466
Kreamed Corn,480,467
Coconoats,481,468
Joey Wheat,482,469
3:33 Black IPA,483,470
MCA,484,471
Pale Alement,485,465
Couch Select Lager,486,472
Mucho Aloha Hawaiian Pale Ale,487,473
Heinnieweisse Weissebier,488,474
Snapperhead IPA,489,475
Moo Thunder Stout,490,476
Porkslap Pale Ale,491,477
Blackbeard,492,478
Rye Knot,493,479
Dead Arm,494,480
32°/50° Kölsch,495,481
HopArt,496,482
Boy King,497,483
Gran Sport,498,484
Horny Toad Cerveza,499,485
Native Amber,500,486
F5 IPA,501,487
Native Amber (2013),502,488
Horny Toad Cerveza (2013),503,489
Hopportunity Knocks IPA,504,490
Pilot Rock Porter,505,491
Caldera Pale Ale,506,492
Lawnmower Lager,507,493
Ashland Amber Ale (2009),508,494
Caldera IPA (2009),509,495
Caldera IPA (2007),510,496
Caldera Pale Ale (2010),511,497
Caldera Pale Ale (2009),512,498
Caldera Pale Ale (2005),513,499
Caldera Pale Ale (2007),514,500
Caldera Pale Ale (2011),515,501
Ashland Amber Ale,516,502
Caldera IPA,517,503
Remain in Light,518,504
Flower Child (2014),519,505
THP White (2006),520,506
THP Amber (2006),521,507
THP Light (2006),522,508
THP Dark (2006),523,509
Imperial Pumpkin Stout,524,510
Dead-Eye DIPA,525,511
Fisherman's IPA,526,512
Fisherman's Pils,527,513
Fisherman's Brew,528,514
Cape Cod Red,529,515
Beach Blonde,530,39
Dark Voyage Black IPA (2013),531,516
Wisconsin Amber,532,517
Lake House,533,518
Ghost Ship White IPA,534,519
Lake House,535,518
Mutiny IPA,536,520
Wisconsin Amber (1998),537,521
Island Wheat,538,522
Wisconsin Amber (2013),539,523
U.S. Pale Ale,540,524
Supper Club Lager,541,525
Carolina Lighthouse (2007),542,526
Carolina Blonde (2006),543,527
Carolina Blonde Light (2005),544,528
Santa's Secret,545,529
Flagship IPA,546,530
Sky Blue Golden Ale,547,531
Epitome,548,532
Monkey Chased the Weasel,549,533
077XX,550,534
Boat Beer,551,535
Granny Smith Hard Apple Cider,552,536
Dry Hard Apple Cider,553,537
Farmer Ted's Cream Ale,554,538
Firewater India Pale Ale,555,539
White Zombie Ale,556,540
King Winterbolt Winter Ale,557,541
White Zombie Ale,558,540
Firewater India Pale Ale,559,539
Farmer Ted's Farmhouse Cream Ale,560,542
Whitecap Wit,561,543
Seiche Scottish Ale,562,544
Peanut Butter Jelly Time,563,545
King Coconut,564,546
Gone A-Rye,565,547
Special Release,566,548
Dankosaurus,567,549
Scruffy's Smoked Alt,568,550
Elliott's Phoned Home Pale Ale,569,551
The Lawn Ranger,570,552
All American Blonde Ale,571,553
All American Red Ale,572,554
Main St. Virginia Ale,573,555
Chin Music Amber Lager,574,556
Main St. Virginia Ale,575,555
Ray Ray’s Pale Ale,576,557
Chai Ale,577,558
Lucky Day IPA,578,559
Terrace Hill Double IPA,579,560
Catch 23,580,561
Stickin' In My Rye,581,562
Black Me Stout,582,563
Killer Kolsch,583,564
Missile IPA,584,565
Enlighten,585,566
Ale Cider,586,567
Pail Ale,587,568
Englishman,588,569
8 Barrel,589,570
Oktoberfest,590,571
IPA #11,591,572
Blood Orange Honey,592,573
Lighthouse Amber,593,574
Bay of Bengal Double IPA (2014),594,575
Churchkey Pilsner Style Beer,595,576
First Press,596,577
Magic Apple,597,578
Cubano Espresso,598,579
Operation Homefront,599,580
Wandering Pelican,600,581
Sugar Plum,601,582
Oktoberfest,602,571
Puppy's Breath Porter,603,583
Happening Now,604,584
Hopped on the High Seas (Hop #529),605,585
Hopped on the High Seas (Calypso),606,586
Wiregrass Post-Prohibition Ale,607,587
Dry-Hopped On The High Seas Caribbean-Style IPA,608,588
Hopped on the High Seas (Citra),609,589
Hopped on the High Seas (Ahtanum),610,590
Gwar Beer,611,591
Tropical Heatwave,612,592
Humidor Series India Pale Ale,613,593
Jai Alai IPA Aged on White Oak,614,594
José Martí American Porter,615,595
Invasion Pale Ale,616,596
Maduro Brown Ale,617,597
Maduro Brown Ale,618,597
Hotter Than Helles Lager,619,598
Tocobaga Red Ale,620,599
Jai Alai IPA,621,600
Florida Cracker Belgian Wit,622,601
Shark Tracker Light lager,623,602
Pumple Drumkin,624,603
Grey Lady,625,604
Summer of Lager,626,605
Indie Pale Ale,627,606
Sankaty Light Lager,628,607
Whale's Tale Pale Ale,629,608
Jacaranada Rye IPA,630,609
Cascadian Dark Ale,631,610
Wheat the People,632,611
Tybee Island Blonde,633,612
Savannah Brown Ale,634,613
Rhode Island Blueberry,635,614
Newport Storm IPA,636,615
Hurricane Amber Ale (2004),637,616
Hurricane Amber Ale,638,617
Big Blue Van,639,618
Des Moines IPA,640,619
Capital Gold Golden Lager,641,620
Farmer John's Multi-Grain Ale,642,621
Behemoth,643,622
Arkansas Red,644,623
Core Oatmeal Stout,645,624
Core ESB,646,625
Chester's Beer (2005),647,626
Heiner Brau Kölsch,648,627
Trigger Blonde Ale,649,628
Crabtree Oatmeal Stout,650,629
Eclipse Black IPA,651,630
Neomexicanus Native,652,631
Old Soul,653,632
Snowcat Coffee Stout,654,633
WinterWonderGrass Festival Ale,655,634
Boohai Red Ale,656,635
Lava Lake Wit,657,636
Mountain Livin' Pale Ale,658,637
Crazy Mountain Amber Ale,659,638
Tropicalia,660,639
Athena,661,640
Aviator Raspberry Blonde,662,641
3 Picket Porter,663,642
Rusty Nail Pale Ale,664,643
Red Water Irish Style Red,665,644
Mjöllnir,666,645
Bear Butte Nut Brown Ale,667,646
Easy Livin' Summer Ale,668,647
Canyon Cream Ale,669,648
Pile O'Dirt Porter,670,649
11th Hour IPA,671,650
South Ridge Amber Ale,672,651
Summertime Ale,673,652
Lost River Blonde Ale,674,653
Monon Wheat,675,654
Floyd's Folly,676,655
Half Court IPA,677,656
Geary's Pale Ale,678,657
Geary's Summer Ale,679,658
Stone of Arbroath,680,659
The Tradition,681,660
El Hefe Speaks,682,661
Penn Quarter Porter,683,662
On the Wings of Armageddon,684,663
The Corruption,685,664
The Citizen,686,665
The Public,687,666
Dank IPA,688,667
Dank IPA (2012),689,668
Lift Off IPA,690,669
BrewFarm Select Golden Lager,691,670
Sprocket Blonde Ale (2006),692,671
Sprocket Pale Ale (2006),693,672
Dead Armadillo Amber Ale,694,673
Neato Bandito,695,674
Oak Cliff Coffee Ale,696,675
Dream Crusher Double IPA,697,676
Deep Ellum Pale Ale,698,677
Double Brown Stout,699,678
Farmhouse Wit,700,679
Rye Pils Session Lager,701,680
Dallas Blonde,702,681
Deep Ellum IPA,703,682
Thrasher Session India Pale Ale,704,683
Gutch English Style Mild Ale,705,684
Chuli Stout,706,685
Mother Ale,707,686
Twister Creek India Pale Ale,708,687
Single Engine Red,709,688
Incredible Pedal IPA,710,689
Graham Cracker Porter,711,690
Mirror Pond Pale Ale,712,691
Weissenheimer,713,692
Abbey's Single (2015- ),714,693
Vertex IPA,715,694
Here Gose Nothin',716,695
Strawberry Blonde,717,696
Hoperation Overload,718,697
Abbey's Single Ale (Current),719,698
Bravo Four Point,720,699
Striped Bass Pale Ale,721,700
Deadicated Amber,722,701
Kaleidoscope Collaboration 2012,723,702
California Sunshine Rye IPA,724,703
Full Boar Scotch Ale,725,704
12 Man Pale Ale,726,705
Filthy Hoppin' IPA,727,706
Dock Street Amber Beer (1992),728,707
Dolores River Hefeweizen,729,708
Dolores River ESB,730,709
Snaggletooth Double Pale Ale,731,710
Dolores River Pale Ale,732,711
Dolores River Dry Stout,733,712
Dolores River Mild,734,713
Cranberry Blend,735,714
Orignal Blend,736,715
Hop Abomination,737,716
Apricot Blonde,738,717
Dry Dock Hefeweizen,739,718
Dry Dock Amber Ale,740,719
Category 3 IPA,741,720
Dundee Summer Wheat Beer,742,721
Pumpkin Patch Ale,743,722
Crank Yanker IPA,744,723
River Runners Pale Ale,745,724
Pumpkin Patch Ale (2012),746,725
Mountain Fairy Raspberry Wheat,747,726
Boater Beer,748,727
Crank Yanker IPA (2011),749,728
Bleeding Buckeye Red Ale,750,729
Dottie Seattle Lager,751,730
Nut Sack Imperial Brown Ale,752,731
Underachiever,753,732
Lil' Brainless Raspberries,754,733
Element 29,755,734
Hop Syndrome,756,735
Escape to Colorado,757,736
Little Sister India Style Session Ale,758,737
Country Boy IPA,759,738
Blonde Czich,760,739
White Reaper,761,740
Bobblehead,762,741
Lucky Dog,763,742
Voodoo,764,743
General George Patton Pilsner,765,744
Nomader Weiss,766,745
Molotov Lite,767,746
Hipster Ale (Two Roads Brewing),768,747
Bikini Beer,769,748
Hipster Ale (Westbrook Brewing),770,749
Iron Horse Pale Ale,771,750
Stone's Throw IPA,772,751
Wood Chipper India Pale Ale,773,752
Trail Head,774,753
Hop Stalker Fresh Hop IPA,775,754
Sudice American Stout,776,755
Parcae Belgian Style Pale Ale,777,756
Norns Roggenbier,778,757
Laimas Kölsch Style Ale,779,758
Moirai India Pale Ale,780,759
Loki Red Ale,781,760
Peaches & Cream,782,761
Quaff India Style Session Ale,783,762
Loki Red Ale (2013),784,763
Mjolnir Imperial IPA,785,764
Fearless Scottish Ale,786,765
Mastermind,787,766
Hyzer Flip,788,767
Second Fiddle,789,768
Hodad Porter,790,769
Weiss Weiss Baby,791,770
Czech Yo Self,792,771
FMB 101,793,772
Hardcore Chimera,794,773
Sobek & Set,795,774
Nuclear Winter,796,775
Wet Hot American Wheat Ale,797,776
Secret Stache Stout,798,777
Fascist Pig Ale,799,778
Cut Throat Pale Ale,800,779
Threadless IPA,801,780
Cut Throat Pale Ale (2011),802,781
Golden Wing Blonde Ale,803,782
Easy Jack,804,783
Union Jack,805,784
Pivo Pils,806,785
805 Blonde Ale,807,786
805,808,787
Deflator,809,788
Hinchtown Hammer Down,810,789
Half Cycle IPA,811,790
Inclined Plane Ale,812,791
Moped Traveler,813,792
Snake Dog IPA,814,793
Underdog Atlantic Lager,815,794
Flying Mouse 8,816,795
Flying Mouse 4,817,796
La Ferme Urbaine Farmhouse Ale,818,797
Backyahd IPA,819,798
Raincloud Robust Porter,820,799
Barstool American Golden Ale,821,800
What the Butler Saw,822,801
1916 Shore Shiver,823,802
Quick WIT,824,803
The Optimist,825,804
Suicide Squeeze IPA,826,805
Java the Hop,827,806
Next Adventure Black IPA,828,807
3-Way IPA (2013),829,808
Tender Loving Empire NWPA,830,809
Quick Wit Belgianesque Ale,831,810
Sunrise Oatmeal Pale Ale,832,811
Cavatica Stout,833,812
1811 Lager,834,813
Vortex IPA,835,814
Fort Pitt Ale,836,815
Park,837,816
Westfalia,838,817
KSA,839,818
Villager,840,819
Dirty Bastard,841,820
Centennial IPA,842,821
All Day IPA,843,822
El Chingon IPA,844,823
Block Party Robust Porter,845,824
Local Buzz,846,825
Feel Like Maplin' Love,847,826
Father's Beer,848,827
The 26th,849,828
The Gadget,850,829
Leprechaun Lager,851,830
Sunbru Kölsch,852,831
Kilt Lifter Scottish-Style Ale,853,832
Pumpkin Porter,854,833
Four Peaks Peach Ale,855,834
Hop Knot IPA,856,835
Kilt Lifter Scottish-Style Ale (2009),857,836
Sunbru Kölsch,858,831
Four String Vanilla Porter,859,837
Suncaster Summer Wheat,860,838
Brass Knuckle Pale Ale,861,839
Big Star White IPA,862,840
Old Detroit,863,841
Batch 69 IPA,864,842
Twisted Helles Summer Lager,865,843
OktoberFiesta,866,844
Texicali,867,845
Pinata Protest,868,846
Bat Outta Helles,869,847
Original,870,848
Rye Wit,871,849
Soul Doubt,872,850
Yo Soy Un Berliner,873,851
77 Fremont Select Spring Session IPA,874,852
Fremont Organic Pale Ale,875,853
Abominable Ale,876,854
Harvest Ale,877,855
Fremont Summer Ale,878,856
Universale Pale Ale,879,857
Interurban IPA,880,858
Gateway Kolsch Style Ale,881,859
Wee-Heavy-Er Scotch Ale,882,860
13 Rebels ESB,883,861
Salamander Slam,884,862
Cack-A-Lacky,885,863
No Wake IPA,886,864
Boathouse Blonde,887,865
Cedar Point,888,866
Clean Shave IPA,889,867
Might As Well IPL,890,868
Saison Pamplemousse,891,869
2020 IPA,892,870
Wolf Among Weeds IPA,893,871
Better Weather IPA,894,872
Point the Way IPA,895,873
Golden Road Hefeweizen,896,874
Heal the Bay IPA,897,875
Point the Way IPA,898,873
Cabrillo Kölsch,899,876
Get Up Offa That Brown,900,877
Burning Bush Smoked IPA,901,878
Wolf Among Weeds IPA (2012),902,879
Point the Way IPA (2012),903,880
Golden Road Hefeweizen (2012),904,881
Vanilla Porter,905,882
Descender IPA,906,883
Sweet As Pacific Ale,907,884
Good People Pale Ale,908,885
Snake Handler Double IPA,909,886
Coffee Oatmeal Stout,910,887
Good People IPA,911,888
Good People American Brown Ale,912,889
Mountain Rescue Pale Ale,913,890
Goose Island India Pale Ale,914,891
312 Urban Pale Ale,915,892
312 Urban Pale Ale,916,892
312 Urban Wheat Ale,917,893
312 Urban Wheat Ale,918,893
312 Urban Wheat Ale (2012),919,894
Beaver Logger,920,895
White Water Wheat,921,896
Grand Canyon American Pilsner,922,897
Grand Canyon Sunset Amber Ale,923,898
Black Iron India Pale Ale,924,899
Monarch Classic American Wheat,925,900
Sir William's English Brown Ale,926,901
Lakefire Rye Pale Ale,927,902
Beer Agent Re-Ignition,928,903
Cherry Ale,929,904
Bourbon Barrel Aged Coconut Porter,930,905
Great Crescent IPA,931,906
Aurora Lager,932,907
Great Crescent Blonde Ale,933,908
Great Crescent Coconut Porter,934,909
Great Crescent Oktoberfest Lager,935,910
Great Crescent Brown Ale,936,911
Cherry Ale (1),937,912
Aurora Lager (2011),938,913
Frosted Fields Winter Wheat,939,914
Great Crescent Belgian Style Wit,940,915
Bourbon's Barrel Stout,941,916
Great Crescent Stout,942,917
Great Crescent Coconut Porter (2012),943,918
Great Crescent Dark Lager,944,919
Great Crescent Mild Ale,945,920
Great Crescent IPA (2011),946,921
Great Crescent Blonde Ale (2011),947,922
Denver Pale Ale (Artist Series No. 1),948,923
Hibernation Ale,949,924
Whitewater,950,925
Rumble,951,926
Orabelle,952,927
Lasso,953,928
Yeti  Imperial Stout,954,929
Colette,955,930
Titan IPA,956,931
Black Star Double Hopped Golden Lager (24 oz.),957,932
