ounces,ibu,original_index,unique_index,count
16.0 oz,,94,56,
16.0 ounce,43.0,95,59,1.0
12.0 oz. Alumi-Tek,,96,5,
12.0 ounce,,97,2,
12.0 oz,,98,0,
12.0 oz.,,99,1,
12.0 ounce,,100,2,
12.0 oz.,,101,1,
12.0 oz,,102,0,
12.0 oz.,,103,1,
12.0 oz,,104,0,
12.0 ounce,13.0,105,60,2.0
12.0 ounce,4.0,106,61,1.0
12.0 oz,80.0,107,62,4.0
12.0 oz.,15.0,108,63,11.0
12.0 oz. Alumi-Tek,13.0,109,64,1.0
16.0 oz,25.0,110,42,7.0
12.0 oz.,15.0,111,63,11.0
12.0 oz,4.0,112,65,1.0
12.0 oz,13.0,113,36,3.0
12.0 ounce,6.0,114,66,1.0
12.0 ounce,80.0,115,67,3.0
12.0 ounce,15.0,116,68,13.0
12.0 oz.,4.0,117,69,1.0
12.0 oz.,28.0,118,22,13.0
16.0 ounce,,119,23,
16.0 oz,,120,56,
16.0 oz.,,121,25,
16.0 oz.,,122,25,
16.0 oz.,,123,25,
12.0 OZ.,,124,3,
12.0 oz.,,125,1,
12.0 ounce,,126,2,
12.0 OZ.,,127,3,
16.0 oz.,75.0,128,70,6.0
16.0 oz. Alumi-Tek,19.0,129,71,1.0
16.0 ounce,23.0,130,72,5.0
12.0 oz. Silo Can,55.0,131,73,1.0
12.0 oz.,17.0,132,10,10.0
12.0 oz,,133,0,
12.0 ounce,50.0,134,74,3.0
12.0 oz.,20.0,135,75,19.0
16.0 oz,10.0,136,76,2.0
16.0 oz.,45.0,137,77,2.0
12.0 oz,27.0,138,78,5.0
12.0 oz,26.0,139,34,2.0
12.0 oz.,69.0,140,79,3.0
16.0 ounce,,141,23,
16.0 oz. Alumi-Tek,,142,58,
16.0 oz. Silo Can,,143,80,
12.0 oz.,27.0,144,81,6.0
12.0 oz,67.0,145,82,2.0
12.0 oz.,40.0,146,54,15.0
12.0 oz.,138.0,147,83,1.0
12.0 ounce,35.0,148,84,4.0
12.0 OZ.,35.0,149,17,6.0
16.0 ounce,115.0,150,85,3.0
16.0 oz.,12.0,151,86,2.0
16.0 oz,,152,56,
12.0 oz.,8.0,153,87,3.0
12.0 oz,62.0,154,88,1.0
12.0 oz.,12.0,155,89,3.0
16.0 oz,,156,56,
12.0 OZ.,,157,3,
12.0 oz,,158,0,
12.0 oz.,,159,1,
12.0 ounce,,160,2,
12.0 oz.,,161,1,
12.0 oz.,,162,1,
12.0 oz.,42.0,163,90,7.0
12.0 oz.,10.0,164,91,4.0
12.0 oz,69.0,165,92,4.0
12.0 ounce,17.0,166,9,5.0
12.0 oz. Alumi-Tek,17.0,167,93,3.0
12.0 oz.,22.0,168,94,6.0
12.0 ounce,23.0,169,95,2.0
12.0 oz.,,170,1,
12.0 oz.,5.0,171,96,2.0
12.0 ounce,41.0,172,97,1.0
12.0 ounce,,173,2,
12.0 oz.,,174,1,
12.0 OZ.,,175,3,
12.0 oz.,,176,1,
12.0 ounce,,177,2,
12.0 ounce,,178,2,
12.0 oz,43.0,179,98,2.0
12.0 ounce,70.0,180,99,13.0
12.0 ounce,38.0,181,100,2.0
12.0 ounce,,182,2,
12.0 ounce,40.0,183,101,9.0
12.0 OZ.,23.0,184,102,2.0
12.0 OZ.,75.0,185,103,2.0
12.0 oz,,186,0,
12.0 oz.,70.0,187,11,12.0
12.0 oz. Alumi-Tek,,188,5,
12.0 oz,20.0,189,104,9.0
12.0 ounce,45.0,190,15,8.0
16.0 oz,46.0,191,105,2.0
12.0 oz.,60.0,192,106,14.0
12.0 oz,,193,0,
12.0 oz. Alumi-Tek,22.0,194,107,1.0
12.0 oz.,60.0,195,106,14.0
12.0 ounce,62.0,196,108,2.0
12.0 oz.,20.0,197,75,19.0
12.0 oz,45.0,198,109,11.0
12.0 ounce,55.0,199,110,7.0
12.0 oz.,70.0,200,11,12.0
12.0 oz.,28.0,201,22,13.0
12.0 oz.,48.0,202,111,1.0
12.0 oz,,203,0,
16.0 oz,42.0,204,112,2.0
12.0 oz,,205,0,
12.0 oz.,,206,1,
12.0 ounce,,207,2,
12.0 oz.,,208,1,
12.0 oz.,35.0,209,113,17.0
12.0 OZ.,28.0,210,114,2.0
12.0 oz,69.0,211,92,4.0
16.0 ounce,108.0,212,115,1.0
12.0 OZ.,10.0,213,116,3.0
12.0 oz. Alumi-Tek,45.0,214,117,2.0
12.0 oz.,85.0,215,118,4.0
12.0 ounce,16.0,216,119,4.0
12.0 oz,,217,0,
16.0 oz.,,218,25,
16.0 oz.,,219,25,
16.0 oz.,,220,25,
16.0 OZ.,,221,57,
16.0 oz.,,222,25,
12.0 oz.,44.0,223,120,2.0
16.0 ounce,,224,23,
12.0 oz.,27.0,225,81,6.0
12.0 OZ.,,226,3,
12.0 oz.,87.0,227,121,2.0
12.0 ounce,32.0,228,122,2.0
12.0 oz.,68.0,229,123,1.0
12.0 oz.,34.0,230,124,3.0
12.0 oz.,38.0,231,125,2.0
12.0 ounce,40.0,232,101,9.0
12.0 oz,20.0,233,104,9.0
12.0 oz.,,234,1,
12.0 oz.,,235,1,
12.0 oz,,236,0,
12.0 oz,,237,0,
12.0 OZ.,,238,3,
16.0 oz. Alumi-Tek,17.0,239,126,1.0
12.0 ounce,104.0,240,127,1.0
16.0 oz.,,241,25,
16.0 oz,85.0,242,128,5.0
12.0 ounce,,243,2,
12.0 OZ.,,244,3,
12.0 ounce,,245,2,
16.0 oz.,54.0,246,129,1.0
16.0 ounce,,247,23,
12.0 oz.,,248,1,
16.0 oz.,60.0,249,130,7.0
12.0 oz.,32.0,250,131,5.0
12.0 oz.,55.0,251,132,9.0
12.0 ounce,65.0,252,16,8.0
12.0 oz,40.0,253,133,5.0
12.0 oz,35.0,254,134,13.0
12.0 oz.,26.0,255,135,4.0
12.0 oz.,60.0,256,106,14.0
12.0 oz.,26.0,257,135,4.0
12.0 oz,35.0,258,134,13.0
12.0 OZ.,65.0,259,136,3.0
12.0 ounce,,260,2,
12.0 oz,40.0,261,133,5.0
12.0 oz,35.0,262,134,13.0
12.0 oz.,26.0,263,135,4.0
12.0 oz.,81.0,264,137,1.0
12.0 ounce,38.0,265,100,2.0
16.0 oz,43.0,266,138,1.0
16.0 ounce,85.0,267,139,1.0
16.0 OZ.,76.0,268,140,1.0
16.0 oz.,35.0,269,141,10.0
16.0 oz.,50.0,270,142,4.0
16.0 ounce,45.0,271,24,4.0
12.0 oz,,272,0,
12.0 oz,,273,0,
12.0 oz.,,274,1,
16.0 oz,75.0,275,30,6.0
12.0 oz,16.0,276,143,9.0
12.0 ounce,35.0,277,84,4.0
12.0 ounce,8.0,278,144,2.0
12.0 ounce,44.0,279,145,3.0
12.0 oz,83.0,280,146,1.0
12.0 ounce,45.0,281,15,8.0
12.0 oz.,34.0,282,124,3.0
12.0 oz,44.0,283,147,2.0
12.0 oz,16.0,284,143,9.0
12.0 oz,20.0,285,104,9.0
12.0 ounce,,286,2,
12.0 oz. Alumi-Tek,47.0,287,148,1.0
12.0 OZ.,30.0,288,149,1.0
12.0 ounce,,289,2,
12.0 ounce,,290,2,
12.0 oz,51.0,291,150,1.0
12.0 ounce,,292,2,
12.0 ounce,,293,2,
12.0 oz. Alumi-Tek,,294,5,
12.0 oz.,,295,1,
12.0 oz.,,296,1,
12.0 oz.,,297,1,
12.0 oz,,298,0,
12.0 ounce,,299,2,
12.0 ounce,,300,2,
12.0 ounce,,301,2,
12.0 oz.,,302,1,
12.0 oz.,37.0,303,151,2.0
12.0 ounce,37.0,304,152,3.0
12.0 ounce,37.0,305,152,3.0
12.0 oz.,35.0,306,113,17.0
12.0 oz.,,307,1,
12.0 oz,,308,0,
12.0 oz,80.0,309,62,4.0
12.0 ounce,60.0,310,4,10.0
12.0 oz.,30.0,311,153,17.0
12.0 oz.,22.0,312,94,6.0
12.0 ounce,60.0,313,4,10.0
12.0 oz,16.0,314,143,9.0
12.0 oz.,,315,1,
12.0 oz.,,316,1,
12.0 oz.,,317,1,
12.0 oz,,318,0,
16.0 oz. Alumi-Tek,,319,58,
12.0 oz.,40.0,320,54,15.0
12.0 ounce,16.0,321,119,4.0
12.0 ounce,28.0,322,154,4.0
12.0 oz.,,323,1,
12.0 oz.,,324,1,
12.0 oz.,,325,1,
12.0 oz,,326,0,
12.0 oz. Alumi-Tek,,327,5,
12.0 oz,,328,0,
12.0 oz. Alumi-Tek,,329,5,
12.0 oz.,,330,1,
16.0 OZ.,30.0,331,155,2.0
16.0 oz.,34.0,332,156,5.0
12.0 oz,,333,0,
12.0 oz.,27.0,334,81,6.0
12.0 ounce,72.0,335,157,1.0
16.0 oz.,22.0,336,158,6.0
16.0 ounce,30.0,337,32,6.0
12.0 oz.,26.0,338,135,4.0
16.0 ounce,94.0,339,159,1.0
12.0 oz. Alumi-Tek,,340,5,
16.0 oz. Alumi-Tek,,341,58,
12.0 oz,,342,0,
12.0 oz,,343,0,
12.0 oz.,38.0,344,125,2.0
16.0 oz.,,345,25,
12.0 oz.,45.0,346,160,7.0
12.0 oz.,,347,1,
16.0 ounce,,348,23,
12.0 ounce,,349,2,
12.0 oz.,,350,1,
12.0 ounce,,351,2,
16.0 oz.,,352,25,
16.0 ounce,72.0,353,161,2.0
16.0 oz. Alumi-Tek,16.0,354,162,1.0
12.0 ounce,8.0,355,144,2.0
16.0 oz,45.0,356,163,3.0
12.0 ounce,,357,2,
12.0 oz.,,358,1,
16.0 ounce,30.0,359,32,6.0
12.0 oz.,30.0,360,153,17.0
12.0 oz,15.0,361,164,6.0
12.0 oz,7.0,362,165,2.0
12.0 oz.,30.0,363,153,17.0
12.0 oz.,35.0,364,113,17.0
12.0 ounce,35.0,365,84,4.0
12.0 oz.,35.0,366,113,17.0
12.0 oz.,80.0,367,166,3.0
12.0 oz.,,368,1,
12.0 oz,,369,0,
12.0 ounce,,370,2,
12.0 oz.,52.0,371,13,4.0
12.0 ounce,52.0,372,167,2.0
12.0 ounce,80.0,373,67,3.0
12.0 oz.,25.0,374,168,11.0
12.0 oz,,375,0,
12.0 oz. Alumi-Tek,40.0,376,169,2.0
16.0 oz,,377,56,
12.0 oz.,9.0,378,170,5.0
12.0 ounce,15.0,379,68,13.0
12.0 ounce,68.0,380,171,1.0
12.0 oz,19.0,381,172,2.0
12.0 oz.,,382,1,
12.0 oz.,60.0,383,106,14.0
12.0 oz.,21.0,384,173,10.0
12.0 oz,28.0,385,174,3.0
16.0 oz.,,386,25,
16.0 ounce,,387,23,
16.0 oz,,388,56,
16.0 oz.,,389,25,
16.0 OZ.,,390,57,
16.0 oz,,391,56,
16.0 oz.,,392,25,
16.0 oz,,393,56,
16.0 oz.,,394,25,
16.0 oz. Alumi-Tek,,395,58,
16.0 oz,,396,56,
16.0 oz.,,397,25,
16.0 oz,,398,56,
16.0 ounce,,399,23,
16.0 oz.,,400,25,
16.0 OZ.,,401,57,
16.0 ounce,,402,23,
16.0 oz.,,403,25,
16.0 oz.,,404,25,
16.0 oz.,,405,25,
16.0 oz. Silo Can,,406,80,
16.0 oz.,,407,25,
16.0 oz,,408,56,
16.0 ounce,,409,23,
16.0 oz.,,410,25,
16.0 oz,,411,56,
16.0 oz,,412,56,
16.0 oz.,,413,25,
16.0 oz.,,414,25,
16.0 oz.,,415,25,
16.0 oz.,,416,25,
16.0 oz.,,417,25,
16.0 ounce,,418,23,
16.0 oz.,,419,25,
16.0 oz.,,420,25,
16.0 oz,,421,56,
16.0 oz,,422,56,
16.0 ounce,,423,23,
16.0 oz,,424,56,
16.0 oz.,,425,25,
16.0 oz,,426,56,
16.0 oz. Alumi-Tek,,427,58,
16.0 ounce,,428,23,
16.0 oz.,,429,25,
16.0 oz,,430,56,
16.0 ounce,,431,23,
16.0 ounce,,432,23,
16.0 oz,,433,56,
16.0 oz.,,434,25,
16.0 ounce,,435,23,
16.0 oz.,,436,25,
16.0 OZ.,,437,57,
16.0 oz,,438,56,
16.0 oz.,,439,25,
16.0 oz,,440,56,
16.0 ounce,,441,23,
16.0 oz.,,442,25,
16.0 oz.,,443,25,
16.0 oz,,444,56,
16.0 oz,,445,56,
16.0 oz. Alumi-Tek,,446,58,
16.0 oz.,,447,25,
16.0 oz.,,448,25,
16.0 oz,,449,56,
12.0 oz.,,450,1,
12.0 oz.,,451,1,
16.0 oz,,452,56,
12.0 oz.,15.0,453,63,11.0
12.0 oz. Alumi-Tek,17.0,454,93,3.0
12.0 oz.,,455,1,
12.0 oz.,64.0,456,175,1.0
16.0 oz,47.0,457,176,1.0
12.0 ounce,,458,2,
12.0 oz.,47.0,459,177,2.0
12.0 OZ.,,460,3,
16.0 oz.,,461,25,
12.0 oz. Alumi-Tek,,462,5,
16.0 oz,,463,56,
16.0 oz. Alumi-Tek,,464,58,
16.0 oz.,85.0,465,178,6.0
16.0 oz,,466,56,
16.0 oz,42.0,467,112,2.0
16.0 oz.,35.0,468,141,10.0
16.0 oz.,40.0,469,179,2.0
16.0 ounce,,470,23,
12.0 oz.,,471,1,
12.0 oz.,40.0,472,54,15.0
12.0 oz,20.0,473,104,9.0
16.0 ounce,118.0,474,180,1.0
16.0 OZ.,,475,57,
16.0 oz,,476,56,
24.0 oz.,,477,181,
12.0 oz,40.0,478,133,5.0
12.0 ounce,115.0,479,182,1.0
12.0 oz.,,480,1,
16.0 oz.,,481,25,
16.0 ounce,16.0,482,183,3.0
16.0 oz,86.0,483,184,3.0
16.0 oz,,484,56,
16.0 oz,40.0,485,185,4.0
12.0 oz,14.0,486,186,4.0
12.0 ounce,36.0,487,187,4.0
12.0 ounce,,488,2,
12.0 oz.,,489,1,
12.0 oz,,490,0,
12.0 ounce,,491,2,
12.0 ounce,,492,2,
12.0 oz. Alumi-Tek,,493,5,
12.0 oz.,,494,1,
16.0 oz.,,495,25,
16.0 oz.,,496,25,
16.0 oz.,,497,25,
16.0 ounce,,498,23,
16.0 oz,25.0,499,42,7.0
16.0 oz.,35.0,500,141,10.0
16.0 oz,100.0,501,188,1.0
16.0 OZ.,35.0,502,49,2.0
16.0 ounce,25.0,503,189,5.0
12.0 ounce,100.0,504,190,4.0
12.0 ounce,,505,2,
12.0 oz.,55.0,506,132,9.0
12.0 oz,16.0,507,143,9.0
12.0 ounce,24.0,508,191,2.0
12.0 oz,94.0,509,192,2.0
12.0 OZ.,94.0,510,193,1.0
12.0 oz,55.0,511,194,8.0
12.0 ounce,55.0,512,110,7.0
12.0 oz.,55.0,513,132,9.0
12.0 ounce,55.0,514,110,7.0
12.0 oz.,55.0,515,132,9.0
12.0 oz. Alumi-Tek,24.0,516,195,2.0
12.0 oz,94.0,517,192,2.0
12.0 oz.,,518,1,
12.0 oz.,,519,1,
12.0 oz,,520,0,
12.0 ounce,,521,2,
12.0 oz. Alumi-Tek,,522,5,
12.0 oz.,,523,1,
16.0 oz.,43.0,524,196,1.0
16.0 oz.,130.0,525,197,1.0
12.0 oz,64.0,526,198,2.0
12.0 oz.,35.0,527,113,17.0
12.0 ounce,30.0,528,199,6.0
16.0 oz.,35.0,529,141,10.0
16.0 oz.,10.0,530,200,3.0
12.0 oz,80.0,531,62,4.0
12.0 ounce,28.0,532,154,4.0
12.0 oz.,18.0,533,201,9.0
12.0 ounce,55.0,534,110,7.0
16.0 OZ.,18.0,535,202,3.0
12.0 oz.,70.0,536,11,12.0
12.0 ounce,,537,2,
12.0 oz.,,538,1,
12.0 ounce,,539,2,
12.0 ounce,,540,2,
12.0 ounce,,541,2,
12.0 ounce,,542,2,
12.0 ounce,,543,2,
12.0 oz,,544,0,
16.0 oz,22.0,545,203,4.0
12.0 oz.,,546,1,
12.0 oz.,,547,1,
16.0 oz.,100.0,548,204,5.0
16.0 ounce,9.0,549,205,1.0
16.0 oz,80.0,550,206,2.0
12.0 oz.,35.0,551,113,17.0
16.0 oz.,,552,25,
16.0 oz,,553,56,
12.0 oz,,554,0,
12.0 ounce,,555,2,
12.0 oz.,,556,1,
12.0 oz. Alumi-Tek,,557,5,
12.0 OZ.,,558,3,
12.0 oz.,,559,1,
12.0 oz.,,560,1,
16.0 ounce,16.0,561,183,3.0
16.0 OZ.,16.0,562,207,1.0
12.0 oz,,563,0,
12.0 oz,,564,0,
16.0 oz.,90.0,565,208,2.0
16.0 oz.,,566,25,
16.0 oz,70.0,567,209,3.0
16.0 oz.,35.0,568,141,10.0
16.0 oz,36.0,569,210,1.0
16.0 oz.,18.0,570,211,6.0
12.0 ounce,,571,2,
12.0 oz,,572,0,
12.0 ounce,40.0,573,101,9.0
12.0 oz. Alumi-Tek,24.0,574,195,2.0
12.0 ounce,40.0,575,101,9.0
12.0 OZ.,42.0,576,212,1.0
16.0 oz,15.0,577,213,1.0
16.0 oz.,85.0,578,178,6.0
16.0 oz.,99.0,579,214,2.0
16.0 oz,77.0,580,215,2.0
24.0 oz,,581,216,
12.0 OZ.,45.0,582,7,2.0
12.0 oz,22.0,583,217,5.0
12.0 oz,65.0,584,218,12.0
16.0 oz. Alumi-Tek,,585,58,
16.0 oz. Alumi-Tek,8.0,586,219,1.0
16.0 oz.,30.0,587,220,7.0
16.0 oz.,,588,25,
16.0 ounce,69.0,589,221,2.0
16.0 ounce,40.0,590,222,2.0
16.0 oz,58.0,591,223,2.0
16.0 oz.,10.0,592,200,3.0
16.0 ounce,,593,23,
12.0 oz.,126.0,594,224,1.0
12.0 oz,29.0,595,225,2.0
12.0 oz.,,596,1,
12.0 ounce,,597,2,
12.0 oz.,25.0,598,168,11.0
12.0 oz,65.0,599,218,12.0
12.0 oz.,65.0,600,18,14.0
12.0 oz,,601,0,
12.0 oz.,,602,1,
12.0 oz.,,603,1,
12.0 oz. Alumi-Tek,,604,5,
12.0 oz. Silo Can,60.0,605,226,1.0
12.0 ounce,60.0,606,4,10.0
12.0 oz. Alumi-Tek,,607,5,
12.0 oz.,60.0,608,106,14.0
12.0 ounce,60.0,609,4,10.0
12.0 oz.,60.0,610,106,14.0
12.0 oz.,,611,1,
16.0 oz,,612,56,
12.0 oz,70.0,613,227,9.0
12.0 ounce,70.0,614,99,13.0
12.0 oz,65.0,615,218,12.0
12.0 oz,,616,0,
12.0 ounce,25.0,617,228,6.0
12.0 oz,25.0,618,229,5.0
12.0 oz.,,619,1,
12.0 oz,75.0,620,230,2.0
12.0 oz,70.0,621,227,9.0
12.0 oz. Alumi-Tek,18.0,622,231,3.0
12.0 oz.,,623,1,
12.0 oz,,624,0,
12.0 oz.,,625,1,
12.0 oz.,,626,1,
12.0 oz,,627,0,
12.0 oz.,,628,1,
12.0 oz.,,629,1,
16.0 oz.,60.0,630,130,7.0
12.0 oz,75.0,631,230,2.0
16.0 oz,13.0,632,44,3.0
12.0 oz,17.0,633,232,4.0
12.0 ounce,55.0,634,110,7.0
12.0 ounce,11.0,635,233,3.0
12.0 ounce,75.0,636,234,5.0
12.0 oz.,24.0,637,235,6.0
12.0 oz,24.0,638,236,3.0
16.0 OZ.,,639,57,
16.0 ounce,75.0,640,237,2.0
16.0 ounce,22.0,641,238,5.0
16.0 oz.,21.0,642,239,1.0
12.0 oz.,,643,1,
12.0 oz,,644,0,
12.0 ounce,,645,2,
12.0 oz.,,646,1,
12.0 oz,,647,0,
12.0 ounce,,648,2,
16.0 oz.,,649,25,
16.0 oz,29.0,650,240,3.0
16.0 oz.,71.0,651,241,1.0
12.0 OZ.,46.0,652,242,1.0
12.0 oz,25.0,653,229,5.0
12.0 oz. Alumi-Tek,,654,5,
12.0 oz.,,655,1,
12.0 ounce,,656,2,
12.0 oz.,15.0,657,63,11.0
12.0 ounce,,658,2,
12.0 ounce,25.0,659,228,6.0
12.0 oz.,65.0,660,18,14.0
12.0 ounce,,661,2,
12.0 oz.,25.0,662,168,11.0
12.0 oz.,,663,1,
12.0 oz,,664,0,
12.0 OZ.,,665,3,
12.0 oz,,666,0,
12.0 oz.,,667,1,
12.0 oz,,668,0,
12.0 ounce,,669,2,
12.0 oz,,670,0,
12.0 oz.,,671,1,
16.0 oz.,31.0,672,243,3.0
16.0 oz,23.0,673,244,2.0
16.0 oz,,674,56,
16.0 oz.,,675,25,
16.0 oz,,676,56,
16.0 oz.,,677,25,
12.0 oz,,678,0,
12.0 oz. Alumi-Tek,,679,5,
12.0 oz,,680,0,
12.0 oz,15.0,681,164,6.0
12.0 oz,11.0,682,20,4.0
12.0 oz.,,683,1,
12.0 oz.,115.0,684,245,1.0
12.0 oz.,80.0,685,166,3.0
12.0 ounce,,686,2,
12.0 oz,,687,0,
16.0 oz.,,688,25,
16.0 ounce,,689,23,
16.0 ounce,,690,23,
12.0 oz.,,691,1,
12.0 oz,,692,0,
12.0 oz,,693,0,
12.0 ounce,37.0,694,152,3.0
12.0 ounce,,695,2,
12.0 oz.,33.0,696,246,4.0
12.0 oz,100.0,697,247,5.0
12.0 oz,,698,0,
12.0 oz.,,699,1,
16.0 oz,25.0,700,42,7.0
12.0 oz.,,701,1,
12.0 oz.,23.0,702,248,4.0
12.0 oz,70.0,703,227,9.0
12.0 oz,44.0,704,147,2.0
12.0 oz,16.0,705,143,9.0
12.0 ounce,55.0,706,110,7.0
12.0 oz.,46.0,707,249,1.0
12.0 oz,71.0,708,250,1.0
12.0 oz,46.0,709,251,1.0
12.0 oz,,710,0,
12.0 oz.,,711,1,
12.0 oz.,40.0,712,54,15.0
12.0 oz,16.0,713,143,9.0
12.0 OZ.,22.0,714,252,1.0
12.0 ounce,76.0,715,253,1.0
12.0 OZ.,12.0,716,254,1.0
12.0 oz.,,717,1,
12.0 oz.,85.0,718,118,4.0
12.0 ounce,22.0,719,255,5.0
12.0 oz.,45.0,720,160,7.0
12.0 OZ.,26.0,721,256,1.0
16.0 oz.,27.0,722,257,3.0
16.0 OZ.,,723,57,
16.0 oz,85.0,724,128,5.0
16.0 oz,12.0,725,258,3.0
12.0 oz.,,726,1,
16.0 ounce,72.0,727,161,2.0
12.0 OZ.,,728,3,
16.0 oz. Alumi-Tek,,729,58,
16.0 oz.,,730,25,
16.0 ounce,,731,23,
16.0 oz,,732,56,
16.0 ounce,,733,23,
16.0 oz,,734,56,
12.0 oz,,735,0,
12.0 oz,,736,0,
12.0 OZ.,100.0,737,259,4.0
12.0 ounce,17.0,738,9,5.0
12.0 oz,12.0,739,260,6.0
12.0 ounce,49.0,740,261,3.0
12.0 ounce,64.0,741,262,2.0
12.0 oz.,18.0,742,201,9.0
16.0 ounce,,743,23,
16.0 ounce,74.0,744,263,1.0
16.0 OZ.,,745,57,
16.0 oz.,,746,25,
16.0 ounce,,747,23,
16.0 ounce,,748,23,
16.0 oz,74.0,749,264,1.0
16.0 oz.,,750,25,
16.0 oz. Silo Can,25.0,751,265,1.0
12.0 ounce,,752,2,
16.0 ounce,,753,23,
12.0 oz. Alumi-Tek,,754,5,
12.0 oz,,755,0,
12.0 oz.,,756,1,
12.0 oz.,,757,1,
12.0 ounce,60.0,758,4,10.0
12.0 oz.,80.0,759,166,3.0
16.0 ounce,23.0,760,72,5.0
16.0 ounce,61.0,761,266,1.0
16.0 oz.,,762,25,
16.0 oz.,,763,25,
16.0 oz,,764,56,
16.0 oz,48.0,765,267,2.0
12.0 oz,,766,0,
16.0 oz.,,767,25,
12.0 oz.,,768,1,
12.0 oz,,769,0,
12.0 oz.,,770,1,
12.0 oz.,32.0,771,131,5.0
12.0 oz.,19.0,772,268,4.0
12.0 oz,70.0,773,227,9.0
12.0 oz,55.0,774,194,8.0
16.0 oz.,80.0,775,39,5.0
16.0 oz,58.0,776,223,2.0
16.0 oz.,20.0,777,269,11.0
16.0 oz.,20.0,778,269,11.0
16.0 oz,20.0,779,47,14.0
16.0 ounce,70.0,780,270,2.0
16.0 ounce,53.0,781,271,1.0
16.0 oz.,,782,25,
16.0 OZ.,,783,57,
16.0 OZ.,53.0,784,272,1.0
16.0 oz,,785,56,
16.0 ounce,,786,23,
12.0 oz.,,787,1,
16.0 oz.,,788,25,
16.0 oz.,80.0,789,39,5.0
16.0 oz.,30.0,790,220,7.0
12.0 oz.,,791,1,
12.0 oz.,45.0,792,160,7.0
12.0 oz.,20.0,793,75,19.0
16.0 oz.,,794,25,
16.0 ounce,80.0,795,273,3.0
16.0 oz.,,796,25,
16.0 ounce,22.0,797,238,5.0
16.0 oz.,,798,25,
16.0 oz. Alumi-Tek,72.0,799,274,1.0
16.0 ounce,,800,23,
16.0 ounce,,801,23,
16.0 oz,,802,56,
16.0 oz,,803,56,
12.0 oz,47.0,804,275,2.0
