Name,Year,original_index,unique_index
Zombieland,2009,408,408
Paul,2011,409,409
Tropic Thunder,2008,410,410
The Other Guys,2010,411,411
The Campaign,2012,412,412
Semi-Pro,2008,413,413
There's Something About Mary,1998,414,414
Liar Liar,1997,415,415
Man on the Moon,1999,416,416
Red Dragon,2002,417,417
From Hell,2001,418,418
Fear and Loathing in Las Vegas,1998,419,419
The Rum Diary,2011,420,420
R.I.P.D.,2013,421,421
Hansel & Gretel: Witch Hunters,2013,422,422
Battleship,2012,423,423
Cowboys & Aliens,2011,424,424
The Island,2005,425,425
Déjà Vu,2005 2006 2007,426,426
John Q,2002,427,427
Dog Day Afternoon,1975,428,428
Sherlock Holmes,2009,429,429
Men in Black 3,2012,430,430
This Island Earth,1955,431,431
Invisible Invaders,1959,432,432
Gog,1954,433,433
The Mysterious Island,1929,434,434
White Zombie,1932,435,435
The Butcher's Wife,1991,436,436
Showgirls,1995,437,437
Revolutions,2011,438,438
Black Horse Canyon,1954,439,439
The Virginian,1929,440,440
Way Out West,1937,441,441
Sons of the Desert,1933,442,442
Che: Part Two,2008,443,443
The Rogue Song,1930,444,444
The Valiant,1929,445,445
I Am a Fugitive from a Chain Gang,1932,446,446
Gold Diggers of 1933,1933,447,447
Gold Diggers of 1937,1936,448,448
Varsity Show,1937,449,449
It Started with Eve,1941,450,450
A Man Could Get Killed,1966,451,451
Tell Them Willie Boy Is Here,1969,452,452
This Property Is Condemned,1966,453,453
Barefoot in the Park,1967,454,454
The Odd Couple,1968,455,455
The Odd Couple II,1998,456,456
In Dubious Battle,2016,457,457
Little Miss Marker,1934,458,458
Che Guevara,2005,459,459
The Girlfriend Experience,2009,460,460
Malcolm X,1992,461,461
I'll Be Seeing You,1944,462,462
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,1973,463,463
The Magic of Lassie,1978,464,464
I Am Sam,2001,465,465
Mulholland Dr.,2001,466,466
Challenge to Lassie,1949,467,467
Creepozoids,1987,468,468
Gingerdead Man 2: Passion of the Crust,2008,469,469
Gingerdead Man Vs. Evil Bong,2013,470,470
Nazithon: Decadence and Destruction,2013,471,471
She Hate Me,2004,472,472
Supervixens,1975,473,473
Psychos in Love,1987,474,474
Sorority House Massacre,1986,475,475
Sleepaway Camp II: Unhappy Campers,1988,476,476
Caesar and Otto's Paranormal Halloween,2015,477,477
Fat Planet,2013,478,478
Lizzie Borden's Revenge,2013,479,479
The G-string Horror: Demon Cut,2015,480,480
The Painted Veil,2006,481,481
The Arrogant,1988,482,482
Do the Right Thing,1989,483,483
Clockers,1995,484,484
Being John Malkovich,1999,485,485
Saboteur,1942,486,486
Torn Curtain,1966,487,487
Castro in Winter,2012,488,488
Dark Places,2015,489,489
Self/less,2015,490,490
Vacation,2015,491,491
Paper Towns,2015,492,492
Ashby,2015,493,493
"10,000 Saints",2015,494,494
Zipper,2014 2015 2016,495,495
The Painted Hills,1951,496,496
Beyond the Mask,2015,497,497
Chain of Command,2015,498,498
War Pigs,2015,499,499
The Diary of a Teenage Girl,2015,500,500
Hearts of Darkness: A Filmmaker's Apocalypse,1991,501,501
Scream 4,2011,502,502
North by Northwest,1959,503,503
Firestarter,1984,504,504
Eyes of a Stranger,1981,505,505
The Sun Comes Up,1949,506,506
National Treasure,2004,507,507
Collateral,2004,508,508
A Clockwork Orange,1971,509,509
Conan the Barbarian,1982,510,510
Under Fire,1983,511,511
The Hive,2015,512,512
The Border,1982,513,513
Jennifer,1978,514,514
Phantom of the Paradise,1974,515,515
Motel Hell,1980,516,516
Scream Blacula Scream,1973,517,517
Kung Fu Cannibals,1982,518,518
Cinderella Man,2004 2005 2006,519,519
The Diary of Anne Frank,1959,520,520
The Man Who Played God,1932,521,521
The Wrestler,2008,522,522
Mr. & Mrs. Bridge,1990,523,523
The Private Lives of Elizabeth and Essex,1939,524,524
Gambling Lady,1934,525,525
Jewel Robbery,1932,526,526
Crumb,1994,527,527
Blood Simple.,1984,528,528
E.T. the Extra-Terrestrial,1982,529,529
What Ever Happened to Baby Jane?,1962,530,530
The General,1926,531,531
Saw,2004,532,532
Day of the Dead,2008,533,533
Gladiator,2000,534,534
The Oh in Ohio,2006,535,535
Win Win,2011,536,536
Confessions of a Dangerous Mind,2002 2003 2004,537,537
In the Bedroom,2001,538,538
Sinbad: Legend of the Seven Seas,2003,539,539
Madagascar 3: Europe's Most Wanted,2012,540,540
Big Jim McLain,1952,541,541
The Comancheros,1961,542,542
Hellfighters,1968,543,543
About Schmidt,2002,544,544
Art School Confidential,2006,545,545
For Love or Money,1993,546,546
Shining Through,1992,547,547
Doc Hollywood,1991,548,548
All Hallows' Eve 2,2015,549,549
Halloween II,1981,550,550
Will Penny,1967,551,551
Major Dundee,1965,552,552
Two-Lane Blacktop,1971,553,553
The 7th Commandment,1961,554,554
The Man Behind the Gun,1953,555,555
Muppets from Space,1999,556,556
The Muppet Christmas Carol,1992,557,557
Muppet Treasure Island,1996,558,558
The Muppets Take Manhattan,1984,559,559
The Muppet Movie,1979,560,560
Rust Never Sleeps,1979,561,561
Amazing Journey: The Story of The Who,2007,562,562
Bird,1988,563,563
Hangin' with the Homeboys,1991,564,564
The Fixer,2016,565,565
Endless Love,1981,566,566
Losin' It,1983,567,567
The Bodyguard,1992,568,568
Message in a Bottle,1999,569,569
The Vow,2011 2012 2013,570,570
She's the Man,2006,571,571
He's Just Not That Into You,2009,572,572
X-Men: Apocalypse,2016,573,573
Robot Jox,1989,574,574
The Brave One,2007,575,575
A Return to Salem's Lot,1987,576,576
Last Man Standing,1996,577,577
The Whole Ten Yards,2004,578,578
The Siege,1998,579,579
The Whole Nine Yards,1999 2000 2001,580,580
Striking Distance,1993,581,581
The Last Boy Scout,1991,582,582
Kiss Kiss Bang Bang,2005,583,583
Law Abiding Citizen,2009,584,584
Blow-Up,1966,585,585
Stranger Than Fiction,2006,586,586
Drive,2011,587,587
The Rebel Rousers,1970,588,588
The Last Detail,1973,589,589
The Postman Always Rings Twice,1981,590,590
Carnal Knowledge,1971,591,591
Valley Girl,1983,592,592
Goin' South,1978,593,593
The Lone Ranger,2013,594,594
Safe House,2012,595,595
Serpico,1973,596,596
Glengarry Glen Ross,1992,597,597
Zodiac,2007,598,598
Source Code,2011,599,599
Men in Black,1997,600,600
The Giant Behemoth,1959,601,601
Target Earth,1954,602,602
From the Earth to the Moon,1958,603,603
The Lone Hand,1953,604,604
The San Francisco Story,1952,605,605
The Virginian,1946,606,606
Pack Up Your Troubles,1932,607,607
Five Easy Pieces,1970,608,608
Black Fury,1935,609,609
Three Smart Girls,1936,610,610
I'd Rather Be Rich,1964,611,611
Strictly Background,2007,612,612
The Fortune,1975,613,613
"Drive, He Said",1971,614,614
Zombiethon,1986,615,615
The Curse,1987,616,616
A Safe Place,1971,617,617
Head,1968,618,618
The Trouble with Barry,2013,619,619
The Intern,2015,620,620
Forrest Gump,1994,621,621
Rope,1948,622,622
To Catch a Thief,1955,623,623
A Man Apart,2003,624,624
Wildfire,1988,625,625
Delta of Venus,1995,626,626
Original Sin,2001,627,627
"I, Robot",2003 2004 2005,628,628
Finding Nemo,2003,629,629
Grizzly Man,2005,630,630
The Mummy Returns,2001,631,631
Confessions of a Superhero,2007,632,632
I Like Killing Flies,2004,633,633
Death to Smoochy,2002,634,634
Oklahoma!,1955,635,635
The Mirror Has Two Faces,1996,636,636
Killer's Kiss,1955,637,637
Crazy Love,2007,638,638
Tabloid,2010,639,639
Storm Center,1956,640,640
A Face in the Crowd,1957,641,641
Sweet Smell of Success,1957,642,642
State of the Union,1948,643,643
Halloween H20: 20 Years Later,1998,644,644
Embrace of the Vampire,1995,645,645
Following Sean,2005,646,646
"Honey, I Shrunk the Kids",1989,647,647
Honey I Blew Up the Kid,1992,648,648
Space Jam,1996,649,649
The Ten Commandments,1956,650,650
Necronomicon: Book of Dead,1993,651,651
Shatterbrain,1991,652,652
Se7en,1995,653,653
Monica & David,2009,654,654
Beyond Vanilla,2001,655,655
Black Ribbon,2007,656,656
The Greatest Movie Ever Sold,2011,657,657
The Little Mermaid,1989,658,658
Driving Miss Daisy,1989,659,659
Blood and Wine,1996,660,660
It's Complicated,2009,661,661
Parenthood,1989,662,662
Red River,1948,663,663
Sons of Perdition,2010,664,664
Marwencol,2010,665,665
Female Trouble,1974,666,666
Shanghai Noon,2000,667,667
Multiple Maniacs,1970,668,668
Interview with the Vampire: The Vampire Chronicles,1994,669,669
Erin Brockovich,2000,670,670
Parker,2013,671,671
Mondo Trasho,1969,672,672
Decision at Sundown,1957,673,673
7th Cavalry,1956,674,674
Kiddie Flamingos,2015,675,675
Autumn Leaves,1956,676,676
Flamingo Road,1949,677,677
Desperate Living,1977,678,678
The Cutting Edge: The Magic of Movie Editing,2004,679,679
A Decade Under the Influence,2003,680,680
Cinerama Adventure,2002,681,681
Der Stand der Dinge,1982,682,682
King of the Rocket Men,1949,683,683
Daylight,1996,684,684
3:10 to Yuma,1957,685,685
The Invisible War,2012,686,686
That Guy ... Who Was in That Thing 1,2012,687,687
Drew: The Man Behind the Poster,2013,688,688
Halloween 4: The Return of Michael Myers,1987 1988 1989,689,689
Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,2014,690,690
Cellular,2004,691,691
The American Scream,2012,692,692
Alexander,2004,693,693
King Arthur,2004,694,694
This Girl's Life,2003,695,695
Shooters,2002,696,696
True Romance,1993,697,697
Jurassic Park,1993,698,698
Indiana Jones and the Last Crusade,1989,699,699
Chasing Liberty,2003 2004 2005,700,700
The Prince and Me,2004,701,701
X-Men: Days of Future Past,2014,702,702
An Honest Liar,2014,703,703
Robot Wars,1993,704,704
A.P.E.X.,1994,705,705
Sinbad of the Seven Seas,1989,706,706
Mortified Nation,2013,707,707
Évocateur: The Morton Downey Jr. Movie,2012,708,708
Sundown: The Vampire in Retreat,1989,709,709
Waxwork,1988,710,710
Marie Antoinette,1938,711,711
Halloween,2007,712,712
Double Edge,1992,713,713
Midnight Crossing,1988,714,714
American Heart,1992,715,715
Memory Lane,2012,716,716
Bridgend,2013,717,717
Sparks,2013,718,718
Clubhouse,2013,719,719
The Real Miyagi,2015,720,720
Revenge of the Spacemen,2014,721,721
Permanent Vacation,2007,722,722
The Blood Oranges,1997,723,723
Stuck in Love,2012,724,724
The Spectacular Now,2013,725,725
Neighbors,2014,726,726
The Hangover Part III,2013,727,727
Starsky & Hutch,2004,728,728
The Cable Guy,1996,729,729
The People vs. Larry Flynt,1996,730,730
Hannibal,2001,731,731
Blow,2000 2001 2002,732,732
Wrath of the Titans,2012,733,733
Super 8,2011,734,734
Insomnia,2002,735,735
Tarantula,1955,736,736
Kronos,1957,737,737
The Giant Claw,1957,738,738
Station West,1948,739,739
The Tall Target,1951,740,740
Devil's Doorway,1950,741,741
Wichita,1955,742,742
The First Texan,1956,743,743
Trooper Hook,1957,744,744
Ambrose in Trouble,1999,745,745
I'm Not Rappaport,1996,746,746
Little Blue Pill,2010,747,747
The Best of Sex and Violence,1981,748,748
Sorority Babes in the Slimeball Bowl-O-Rama,1988,749,749
Puppet Master X: Axis Rising,2012,750,750
The Vagrant,1992,751,751
Sleepaway Camp IV: The Survivor,2012,752,752
Jessicka Rabid,2010,753,753
Purple Rain,1984,754,754
Needful Things,1993,755,755
Into the Abyss,2011,756,756
Angela,1978,757,757
Twin Peaks: Fire Walk with Me,1992,758,758
Terri,2011,759,759
"Abbott and Costello Meet the Killer, Boris Karloff",1949,760,760
16 to Life,2009,761,761
The Treasure of the Sierra Madre,1948,762,762
Rich in Love,1992,763,763
Something's Gotta Give,2003,764,764
A Better Place,1997,765,765
Rush Hour 2,2000 2001 2002,766,766
Actual Reality,2015,767,767
Flatliners,1990,768,768
Seven Men from Now,1956,769,769
Fort Worth,1951,770,770
Electrick Children,2012,771,771
Tango & Cash,1989,772,772
Me and You and Everyone We Know,2005,773,773
The Wedding Planner,2001,774,774
Birds of Neptune,2015,775,775
1 Out of 7,2011,776,776
Dark Ascension,2016,777,777
Man with the Screaming Brain,2005,778,778
Smokin' Aces,2006,779,779
Couples Retreat,2009,780,780
The Deadly Mantis,1957,781,781
Forbidden Planet,1956,782,782
Acts of Worship,2001,783,783
Madame Bovary,2014,784,784
Idiocracy,2006,785,785
Hotel Transylvania 2,2015,786,786
Superbabies: Baby Geniuses 2,2004,787,787
A Brave Heart: The Lizzie Velasquez Story,2015,788,788
The Change-Up,2011,789,789
Rise of the Guardians,2012,790,790
Annie,2014,791,791
Baby Geniuses,1999,792,792
Pan,2015,793,793
Baby Geniuses and the Space Baby,2015,794,794
Hotel Transylvania,2012,795,795
Hall Pass,2011,796,796
Bad Words,2013,797,797
Son of the Mask,2005,798,798
Popstar,2005,799,799
The Switch,2010,800,800
Ed,1996,801,801
Judy Moody and the Not Bummer Summer,2011,802,802
The Jones Family Will Make a Way,2015,803,803
A Sister's Call,2012,804,804
Fear No Fruit,2015,805,805
For Grace,2015,806,806
Date Night,2010,807,807
The Peanuts Movie,2015,808,808
Lost in the Bewilderness,2014,809,809
Batkid Begins,2015,810,810
The SpongeBob Movie: Sponge Out of Water,2015,811,811
The Boxtrolls,2014,812,812
The Curse of the Were-Rabbit,2005,813,813
Penguins of Madagascar,2014,814,814
Home,2015,815,815
Minions,2015,816,816
Forgetting Sarah Marshall,2008,817,817
Chicken Run,2000,818,818
Cloudy with a Chance of Meatballs 2,2012 2013 2014,819,819
The Croods,2013,820,820
Kung Fu Panda 2,2011,821,821
Star Trek,2009,822,822
Brave,2012,823,823
Rio,2011,824,824
Turbo,2013,825,825
Epic,2013,826,826
Bolt,2008,827,827
Ice Age: Continental Drift,2012,828,828
Megamind,2010,829,829
Cinderella,2015,830,830
Any Given Sunday,1999,831,831
Annie,1982,832,832
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,833,833
Night at the Museum: Secret of the Tomb,2014,834,834
Alvin and the Chipmunks: Chipwrecked,2011,835,835
Austin Powers: International Man of Mystery,1997,836,836
My Little Pony: Equestria Girls - Friendship Games,2015,837,837
Observe and Report,2009,838,838
Peter Pan,2003,839,839
Tooth Fairy,2010,840,840
Tomorrowland,2015,841,841
American Arab,2013,842,842
Tangled,2010,843,843
Despicable Me 2,2013,844,844
Frozen,2013,845,845
Wreck-It Ralph,2012,846,846
Office Space,1999,847,847
Monkeybone,2001,848,848
Santa Claus Conquers the Martians,1964,849,849
The Mask,1994,850,850
Santa with Muscles,1996,851,851
The Secret of NIMH,1982,852,852
Bratz,2007,853,853
3 Ninjas: High Noon at Mega Mountain,1998,854,854
Yogi Bear,2010,855,855
SLC Punk!,1998,856,856
God Bless The Child,2014 2015 2016,857,857
In My Father's House,2015,858,858
Thank You for Playing,2015,859,859
Twinsters,2015,860,860
CODE: Debugging the Gender Gap,2015,861,861
Born in Flames,1983,862,862
The Last Lions,2011,863,863
Revolution,2012,864,864
Kings of Pastry,2009,865,865
A Year in Burgundy,2013,866,866
American Hardcore,2006,867,867
