article_jvolumn,original_index,unique_index,count
0.0,225,16,96.0
154.0,226,90,2.0
24.0,227,29,15.0
2.0,228,59,8.0
0.0,229,16,96.0
54.0,230,2,5.0
87.0,231,96,2.0
23.0,232,75,17.0
207.0,233,97,1.0
35.0,234,13,14.0
56.0,235,98,10.0
4.0,236,60,12.0
45.0,237,84,7.0
4.0,238,60,12.0
44.0,239,99,11.0
8.0,240,11,14.0
24.0,241,29,15.0
4.0,242,60,12.0
97.0,243,100,2.0
16.0,244,58,16.0
15.0,245,32,22.0
16.0,246,58,16.0
20.0,247,80,18.0
515.0,248,101,1.0
7.0,249,15,15.0
35.0,250,13,14.0
20.0,251,80,18.0
10.0,252,5,14.0
1.0,253,55,6.0
242.0,254,102,1.0
23.0,255,75,17.0
34.0,256,34,12.0
68.0,257,71,3.0
42.0,258,35,9.0
23.0,259,75,17.0
32.0,260,103,13.0
137.0,261,78,4.0
44.0,262,99,11.0
41.0,263,66,7.0
132.0,264,104,1.0
57.0,265,105,7.0
61.0,266,70,6.0
12.0,267,44,16.0
19.0,268,57,13.0
0.0,269,16,96.0
33.0,270,4,11.0
99.0,271,52,2.0
173.0,272,106,2.0
48.0,273,56,7.0
16.0,274,58,16.0
0.0,275,16,96.0
0.0,276,16,96.0
122.0,277,107,2.0
45.0,278,84,7.0
0.0,279,16,96.0
81.0,280,108,3.0
40.0,281,20,9.0
245.0,282,109,1.0
0.0,283,16,96.0
0.0,284,16,96.0
7.0,285,15,15.0
57.0,286,105,7.0
44.0,287,99,11.0
7.0,288,15,15.0
72.0,289,92,6.0
74.0,290,95,3.0
7.0,291,15,15.0
40.0,292,20,9.0
6.0,293,19,13.0
7.0,294,15,15.0
35.0,295,13,14.0
20.0,296,80,18.0
78.0,297,110,3.0
189.0,298,111,1.0
26.0,299,45,12.0
34.0,300,34,12.0
127.0,301,112,2.0
15.0,302,32,22.0
31.0,303,113,4.0
118.0,304,114,2.0
86.0,305,115,3.0
0.0,306,16,96.0
56.0,307,98,10.0
49.0,308,116,8.0
147.0,309,117,3.0
0.0,310,16,96.0
16.0,311,58,16.0
,312,1,
0.0,313,16,96.0
49.0,314,116,8.0
270.0,315,118,1.0
22.0,316,43,10.0
56.0,317,98,10.0
43.0,318,74,9.0
24.0,319,29,15.0
40.0,320,20,9.0
42.0,321,35,9.0
41.0,322,66,7.0
,323,1,
13.0,324,41,17.0
0.0,325,16,96.0
18.0,326,42,16.0
0.0,327,16,96.0
15.0,328,32,22.0
0.0,329,16,96.0
20.0,330,80,18.0
26.0,331,45,12.0
25.0,332,8,15.0
5.0,333,69,7.0
13.0,334,41,17.0
10.0,335,5,14.0
16.0,336,58,16.0
53.0,337,119,6.0
5.0,338,69,7.0
59.0,339,120,1.0
,340,1,
43.0,341,74,9.0
0.0,342,16,96.0
48.0,343,56,7.0
0.0,344,16,96.0
9.0,345,25,12.0
32.0,346,103,13.0
11.0,347,50,10.0
33.0,348,4,11.0
10.0,349,5,14.0
58.0,350,121,4.0
75.0,351,122,3.0
30.0,352,48,8.0
12.0,353,44,16.0
29.0,354,6,14.0
11.0,355,50,10.0
,356,1,
50.0,357,81,5.0
108.0,358,94,5.0
82.0,359,123,5.0
,360,1,
25.0,361,8,15.0
53.0,362,119,6.0
319.0,363,124,1.0
43.0,364,74,9.0
2014.0,365,125,2.0
3.0,366,30,10.0
43.0,367,74,9.0
41.0,368,66,7.0
24.0,369,29,15.0
56.0,370,98,10.0
161.0,371,126,1.0
47.0,372,23,4.0
9.0,373,25,12.0
16.0,374,58,16.0
61.0,375,70,6.0
26.0,376,45,12.0
7.0,377,15,15.0
49.0,378,116,8.0
7.0,379,15,15.0
102.0,380,127,1.0
61.0,381,70,6.0
80.0,382,83,5.0
9.0,383,25,12.0
43.0,384,74,9.0
45.0,385,84,7.0
21.0,386,37,18.0
21.0,387,37,18.0
0.0,388,16,96.0
46.0,389,53,8.0
19.0,390,57,13.0
113.0,391,128,5.0
21.0,392,37,18.0
29.0,393,6,14.0
129.0,394,129,1.0
88.0,395,31,2.0
62.0,396,130,2.0
113.0,397,128,5.0
2.0,398,59,8.0
35.0,399,13,14.0
4.0,400,60,12.0
75.0,401,122,3.0
19.0,402,57,13.0
35.0,403,13,14.0
33.0,404,4,11.0
9.0,405,25,12.0
119.0,406,131,4.0
66.0,407,132,3.0
75.0,408,122,3.0
147.0,409,117,3.0
69.0,410,24,5.0
16.0,411,58,16.0
46.0,412,53,8.0
0.0,413,16,96.0
0.0,414,16,96.0
120.0,415,133,2.0
24.0,416,29,15.0
13.0,417,41,17.0
27.0,418,22,14.0
0.0,419,16,96.0
4.0,420,60,12.0
42.0,421,35,9.0
37.0,422,21,10.0
32.0,423,103,13.0
24.0,424,29,15.0
127.0,425,112,2.0
0.0,426,16,96.0
9.0,427,25,12.0
176.0,428,134,1.0
78.0,429,110,3.0
110.0,430,135,4.0
27.0,431,22,14.0
32.0,432,103,13.0
143.0,433,72,3.0
74.0,434,95,3.0
103.0,435,64,3.0
14.0,436,10,16.0
124.0,437,136,4.0
20.0,438,80,18.0
86.0,439,115,3.0
63.0,440,63,6.0
115.0,441,137,3.0
15.0,442,32,22.0
13.0,443,41,17.0
19.0,444,57,13.0
,445,1,
7.0,446,15,15.0
2007.0,447,138,1.0
21.0,448,37,18.0
21.0,449,37,18.0
42.0,450,35,9.0
13.0,451,41,17.0
12.0,452,44,16.0
3.0,453,30,10.0
48.0,454,56,7.0
37.0,455,21,10.0
28.0,456,27,14.0
23.0,457,75,17.0
10.0,458,5,14.0
69.0,459,24,5.0
20.0,460,80,18.0
110.0,461,135,4.0
17.0,462,76,10.0
30.0,463,48,8.0
6.0,464,19,13.0
49.0,465,116,8.0
95.0,466,139,1.0
16.0,467,58,16.0
21.0,468,37,18.0
21.0,469,37,18.0
40.0,470,20,9.0
48.0,471,56,7.0
348.0,472,140,1.0
2013.0,473,141,1.0
63.0,474,63,6.0
55.0,475,73,6.0
155.0,476,142,1.0
57.0,477,105,7.0
55.0,478,73,6.0
43.0,479,74,9.0
45.0,480,84,7.0
80.0,481,83,5.0
18.0,482,42,16.0
5.0,483,69,7.0
8.0,484,11,14.0
49.0,485,116,8.0
96.0,486,143,1.0
0.0,487,16,96.0
0.0,488,16,96.0
124.0,489,136,4.0
6.0,490,19,13.0
33.0,491,4,11.0
18.0,492,42,16.0
39.0,493,18,11.0
16.0,494,58,16.0
310.0,495,144,1.0
0.0,496,16,96.0
29.0,497,6,14.0
28.0,498,27,14.0
4.0,499,60,12.0
169.0,500,145,1.0
23.0,501,75,17.0
23.0,502,75,17.0
70.0,503,38,3.0
23.0,504,75,17.0
37.0,505,21,10.0
27.0,506,22,14.0
20.0,507,80,18.0
82.0,508,123,5.0
45.0,509,84,7.0
14.0,510,10,16.0
57.0,511,105,7.0
347.0,512,146,1.0
79.0,513,9,3.0
3.0,514,30,10.0
140.0,515,14,2.0
38.0,516,65,3.0
26.0,517,45,12.0
65.0,518,93,6.0
85.0,519,67,4.0
18.0,520,42,16.0
21.0,521,37,18.0
,522,1,
73.0,523,62,4.0
289.0,524,147,3.0
121.0,525,148,2.0
58.0,526,121,4.0
37.0,527,21,10.0
37.0,528,21,10.0
10.0,529,5,14.0
0.0,530,16,96.0
316.0,531,149,1.0
254.0,532,150,1.0
,533,1,
37.0,534,21,10.0
5.0,535,69,7.0
0.0,536,16,96.0
34.0,537,34,12.0
47.0,538,23,4.0
54.0,539,2,5.0
184.0,540,151,1.0
0.0,541,16,96.0
10.0,542,5,14.0
329.0,543,152,1.0
0.0,544,16,96.0
44.0,545,99,11.0
82.0,546,123,5.0
0.0,547,16,96.0
147.0,548,117,3.0
,549,1,
,550,1,
67.0,551,153,2.0
0.0,552,16,96.0
89.0,553,77,4.0
138.0,554,154,1.0
36.0,555,87,5.0
110.0,556,135,4.0
63.0,557,63,6.0
0.0,558,16,96.0
20.0,559,80,18.0
21.0,560,37,18.0
6.0,561,19,13.0
33.0,562,4,11.0
196.0,563,155,1.0
0.0,564,16,96.0
19.0,565,57,13.0
365.0,566,156,1.0
29.0,567,6,14.0
33.0,568,4,11.0
12.0,569,44,16.0
37.0,570,21,10.0
41.0,571,66,7.0
151.0,572,157,2.0
62.0,573,130,2.0
35.0,574,13,14.0
46.0,575,53,8.0
9.0,576,25,12.0
16.0,577,58,16.0
49.0,578,116,8.0
29.0,579,6,14.0
56.0,580,98,10.0
30.0,581,48,8.0
20.0,582,80,18.0
8.0,583,11,14.0
0.0,584,16,96.0
90.0,585,33,5.0
26.0,586,45,12.0
18.0,587,42,16.0
14.0,588,10,16.0
43.0,589,74,9.0
32.0,590,103,13.0
68.0,591,71,3.0
0.0,592,16,96.0
90.0,593,33,5.0
0.0,594,16,96.0
15.0,595,32,22.0
10.0,596,5,14.0
141.0,597,158,2.0
24.0,598,29,15.0
108.0,599,94,5.0
44.0,600,99,11.0
32.0,601,103,13.0
85.0,602,67,4.0
6.0,603,19,13.0
85.0,604,67,4.0
28.0,605,27,14.0
89.0,606,77,4.0
57.0,607,105,7.0
133.0,608,159,1.0
22.0,609,43,10.0
28.0,610,27,14.0
9.0,611,25,12.0
256.0,612,160,1.0
21.0,613,37,18.0
77.0,614,161,1.0
506.0,615,162,1.0
24.0,616,29,15.0
284.0,617,163,2.0
25.0,618,8,15.0
17.0,619,76,10.0
14.0,620,10,16.0
135.0,621,164,1.0
32.0,622,103,13.0
47.0,623,23,4.0
35.0,624,13,14.0
31.0,625,113,4.0
81.0,626,108,3.0
80.0,627,83,5.0
7.0,628,15,15.0
24.0,629,29,15.0
17.0,630,76,10.0
91.0,631,40,4.0
36.0,632,87,5.0
51.0,633,165,2.0
0.0,634,16,96.0
25.0,635,8,15.0
14.0,636,10,16.0
94.0,637,79,2.0
22.0,638,43,10.0
84.0,639,3,4.0
57.0,640,105,7.0
15.0,641,32,22.0
,642,1,
124.0,643,136,4.0
76.0,644,39,3.0
0.0,645,16,96.0
21.0,646,37,18.0
97.0,647,100,2.0
20.0,648,80,18.0
17.0,649,76,10.0
16.0,650,58,16.0
53.0,651,119,6.0
16.0,652,58,16.0
46.0,653,53,8.0
5.0,654,69,7.0
29.0,655,6,14.0
23.0,656,75,17.0
46.0,657,53,8.0
46.0,658,53,8.0
14.0,659,10,16.0
108.0,660,94,5.0
45.0,661,84,7.0
20.0,662,80,18.0
9.0,663,25,12.0
19.0,664,57,13.0
0.0,665,16,96.0
15.0,666,32,22.0
119.0,667,131,4.0
1.0,668,55,6.0
18.0,669,42,16.0
111.0,670,166,2.0
7.0,671,15,15.0
86.0,672,115,3.0
151.0,673,157,2.0
110.0,674,135,4.0
6.0,675,19,13.0
25.0,676,8,15.0
2.0,677,59,8.0
2.0,678,59,8.0
137.0,679,78,4.0
50.0,680,81,5.0
113.0,681,128,5.0
28.0,682,27,14.0
69.0,683,24,5.0
36.0,684,87,5.0
32.0,685,103,13.0
20.0,686,80,18.0
91.0,687,40,4.0
108.0,688,94,5.0
34.0,689,34,12.0
61.0,690,70,6.0
26.0,691,45,12.0
28.0,692,27,14.0
2.0,693,59,8.0
18.0,694,42,16.0
104.0,695,167,2.0
20.0,696,80,18.0
36.0,697,87,5.0
20.0,698,80,18.0
0.0,699,16,96.0
126.0,700,168,1.0
0.0,701,16,96.0
2.0,702,59,8.0
0.0,703,16,96.0
2014.0,704,125,2.0
29.0,705,6,14.0
44.0,706,99,11.0
56.0,707,98,10.0
64.0,708,0,7.0
32.0,709,103,13.0
17.0,710,76,10.0
0.0,711,16,96.0
12.0,712,44,16.0
35.0,713,13,14.0
15.0,714,32,22.0
12.0,715,44,16.0
17.0,716,76,10.0
34.0,717,34,12.0
114.0,718,169,1.0
115.0,719,137,3.0
50.0,720,81,5.0
91.0,721,40,4.0
18.0,722,42,16.0
13.0,723,41,17.0
0.0,724,16,96.0
0.0,725,16,96.0
0.0,726,16,96.0
30.0,727,48,8.0
0.0,728,16,96.0
14.0,729,10,16.0
44.0,730,99,11.0
65.0,731,93,6.0
66.0,732,132,3.0
25.0,733,8,15.0
25.0,734,8,15.0
29.0,735,6,14.0
25.0,736,8,15.0
72.0,737,92,6.0
28.0,738,27,14.0
44.0,739,99,11.0
44.0,740,99,11.0
194.0,741,170,1.0
23.0,742,75,17.0
0.0,743,16,96.0
58.0,744,121,4.0
128.0,745,171,2.0
0.0,746,16,96.0
0.0,747,16,96.0
72.0,748,92,6.0
54.0,749,2,5.0
65.0,750,93,6.0
55.0,751,73,6.0
0.0,752,16,96.0
1.0,753,55,6.0
42.0,754,35,9.0
67.0,755,153,2.0
28.0,756,27,14.0
0.0,757,16,96.0
23.0,758,75,17.0
17.0,759,76,10.0
284.0,760,163,2.0
48.0,761,56,7.0
240.0,762,172,1.0
56.0,763,98,10.0
53.0,764,119,6.0
32.0,765,103,13.0
0.0,766,16,96.0
26.0,767,45,12.0
,768,1,
9.0,769,25,12.0
89.0,770,77,4.0
80.0,771,83,5.0
106.0,772,68,3.0
26.0,773,45,12.0
53.0,774,119,6.0
158.0,775,173,1.0
14.0,776,10,16.0
13.0,777,41,17.0
111.0,778,166,2.0
27.0,779,22,14.0
13.0,780,41,17.0
22.0,781,43,10.0
0.0,782,16,96.0
10.0,783,5,14.0
34.0,784,34,12.0
49.0,785,116,8.0
56.0,786,98,10.0
50.0,787,81,5.0
8.0,788,11,14.0
26.0,789,45,12.0
118.0,790,114,2.0
,791,1,
128.0,792,171,2.0
33.0,793,4,11.0
49.0,794,116,8.0
65.0,795,93,6.0
3.0,796,30,10.0
29.0,797,6,14.0
0.0,798,16,96.0
19.0,799,57,13.0
106.0,800,68,3.0
27.0,801,22,14.0
16.0,802,58,16.0
14.0,803,10,16.0
15.0,804,32,22.0
15.0,805,32,22.0
53.0,806,119,6.0
25.0,807,8,15.0
29.0,808,6,14.0
13.0,809,41,17.0
0.0,810,16,96.0
0.0,811,16,96.0
7.0,812,15,15.0
61.0,813,70,6.0
289.0,814,147,3.0
64.0,815,0,7.0
71.0,816,36,6.0
288.0,817,174,1.0
39.0,818,18,11.0
41.0,819,66,7.0
14.0,820,10,16.0
22.0,821,43,10.0
4.0,822,60,12.0
173.0,823,106,2.0
29.0,824,6,14.0
70.0,825,38,3.0
14.0,826,10,16.0
58.0,827,121,4.0
141.0,828,158,2.0
6.0,829,19,13.0
123.0,830,175,1.0
103.0,831,64,3.0
0.0,832,16,96.0
120.0,833,133,2.0
32.0,834,103,13.0
15.0,835,32,22.0
10.0,836,5,14.0
21.0,837,37,18.0
40.0,838,20,9.0
23.0,839,75,17.0
0.0,840,16,96.0
360.0,841,176,1.0
35.0,842,13,14.0
159.0,843,177,1.0
15.0,844,32,22.0
15.0,845,32,22.0
12.0,846,44,16.0
27.0,847,22,14.0
66.0,848,132,3.0
0.0,849,16,96.0
22.0,850,43,10.0
11.0,851,50,10.0
121.0,852,148,2.0
13.0,853,41,17.0
87.0,854,96,2.0
11.0,855,50,10.0
0.0,856,16,96.0
113.0,857,128,5.0
124.0,858,136,4.0
18.0,859,42,16.0
44.0,860,99,11.0
,861,1,
31.0,862,113,4.0
143.0,863,72,3.0
48.0,864,56,7.0
115.0,865,137,3.0
,866,1,
63.0,867,63,6.0
40.0,868,20,9.0
12.0,869,44,16.0
21.0,870,37,18.0
4.0,871,60,12.0
20.0,872,80,18.0
0.0,873,16,96.0
289.0,874,147,3.0
21.0,875,37,18.0
20.0,876,80,18.0
0.0,877,16,96.0
43.0,878,74,9.0
76.0,879,39,3.0
27.0,880,22,14.0
25.0,881,8,15.0
9.0,882,25,12.0
63.0,883,63,6.0
0.0,884,16,96.0
56.0,885,98,10.0
55.0,886,73,6.0
,887,1,
8.0,888,11,14.0
0.0,889,16,96.0
23.0,890,75,17.0
28.0,891,27,14.0
23.0,892,75,17.0
39.0,893,18,11.0
39.0,894,18,11.0
4.0,895,60,12.0
39.0,896,18,11.0
90.0,897,33,5.0
0.0,898,16,96.0
41.0,899,66,7.0
113.0,900,128,5.0
32.0,901,103,13.0
14.0,902,10,16.0
146.0,903,178,1.0
145.0,904,179,1.0
42.0,905,35,9.0
0.0,906,16,96.0
30.0,907,48,8.0
40.0,908,20,9.0
119.0,909,131,4.0
104.0,910,167,2.0
12.0,911,44,16.0
24.0,912,29,15.0
82.0,913,123,5.0
23.0,914,75,17.0
23.0,915,75,17.0
0.0,916,16,96.0
56.0,917,98,10.0
57.0,918,105,7.0
71.0,919,36,6.0
16.0,920,58,16.0
0.0,921,16,96.0
22.0,922,43,10.0
12.0,923,44,16.0
32.0,924,103,13.0
8.0,925,11,14.0
34.0,926,34,12.0
119.0,927,131,4.0
81.0,928,108,3.0
11.0,929,50,10.0
84.0,930,3,4.0
31.0,931,113,4.0
0.0,932,16,96.0
0.0,933,16,96.0
100.0,934,180,1.0
6.0,935,19,13.0
12.0,936,44,16.0
42.0,937,35,9.0
33.0,938,4,11.0
4.0,939,60,12.0
15.0,940,32,22.0
14.0,941,10,16.0
20.0,942,80,18.0
15.0,943,32,22.0
11.0,944,50,10.0
14.0,945,10,16.0
44.0,946,99,11.0
0.0,947,16,96.0
0.0,948,16,96.0
17.0,949,76,10.0
9.0,950,25,12.0
27.0,951,22,14.0
26.0,952,45,12.0
34.0,953,34,12.0
35.0,954,13,14.0
5.0,955,69,7.0
25.0,956,8,15.0
25.0,957,8,15.0
122.0,958,107,2.0
174.0,959,181,1.0
42.0,960,35,9.0
19.0,961,57,13.0
39.0,962,18,11.0
7.0,963,15,15.0
0.0,964,16,96.0
54.0,965,2,5.0
82.0,966,123,5.0
24.0,967,29,15.0
379.0,968,182,1.0
8.0,969,11,14.0
13.0,970,41,17.0
202.0,971,183,1.0
7.0,972,15,15.0
239.0,973,184,1.0
15.0,974,32,22.0
101.0,975,88,2.0
0.0,976,16,96.0
65.0,977,93,6.0
0.0,978,16,96.0
153.0,979,185,1.0
7457.0,980,186,1.0
29.0,981,6,14.0
39.0,982,18,11.0
73.0,983,62,4.0
19.0,984,57,13.0
0.0,985,16,96.0
51.0,986,165,2.0
13.0,987,41,17.0
21.0,988,37,18.0
55.0,989,73,6.0
72.0,990,92,6.0
188.0,991,187,1.0
35.0,992,13,14.0
11.0,993,50,10.0
28.0,994,27,14.0
144.0,995,188,1.0
78.0,996,110,3.0
,997,1,
26.0,998,45,12.0
13.0,999,41,17.0
