article_jissue,original_index,unique_index,count
22.0,152,17,2.0
6.0,153,9,54.0
2.0,154,4,109.0
25.0,155,18,1.0
9.0,156,14,28.0
,157,1,
4.0,158,2,98.0
2.0,159,4,109.0
11.0,160,13,24.0
5.0,161,8,78.0
0.0,162,3,200.0
0.0,163,3,200.0
3.0,164,11,103.0
2.0,165,4,109.0
1.0,166,5,107.0
8.0,167,10,20.0
7.0,168,6,35.0
0.0,169,3,200.0
7.0,170,6,35.0
2.0,171,4,109.0
6.0,172,9,54.0
4.0,173,2,98.0
2.0,174,4,109.0
,175,1,
0.0,176,3,200.0
1.0,177,5,107.0
2.0,178,4,109.0
10.0,179,16,27.0
0.0,180,3,200.0
,181,1,
0.0,182,3,200.0
7.0,183,6,35.0
5.0,184,8,78.0
6.0,185,9,54.0
0.0,186,3,200.0
6.0,187,9,54.0
2.0,188,4,109.0
3.0,189,11,103.0
5.0,190,8,78.0
1.0,191,5,107.0
6.0,192,9,54.0
15.0,193,12,4.0
3.0,194,11,103.0
0.0,195,3,200.0
,196,1,
,197,1,
1.0,198,5,107.0
4.0,199,2,98.0
,200,1,
0.0,201,3,200.0
9.0,202,14,28.0
5.0,203,8,78.0
1.0,204,5,107.0
1.0,205,5,107.0
0.0,206,3,200.0
0.0,207,3,200.0
3.0,208,11,103.0
,209,1,
6.0,210,9,54.0
5.0,211,8,78.0
27.0,212,19,1.0
0.0,213,3,200.0
1.0,214,5,107.0
4.0,215,2,98.0
3.0,216,11,103.0
1.0,217,5,107.0
0.0,218,3,200.0
1.0,219,5,107.0
6.0,220,9,54.0
4.0,221,2,98.0
1.0,222,5,107.0
0.0,223,3,200.0
0.0,224,3,200.0
0.0,225,3,200.0
9.0,226,14,28.0
3.0,227,11,103.0
3.0,228,11,103.0
0.0,229,3,200.0
4.0,230,2,98.0
3.0,231,11,103.0
4.0,232,2,98.0
5.0,233,8,78.0
1.0,234,5,107.0
3.0,235,11,103.0
4.0,236,2,98.0
,237,1,
7.0,238,6,35.0
9.0,239,14,28.0
,240,1,
1.0,241,5,107.0
7.0,242,6,35.0
0.0,243,3,200.0
4.0,244,2,98.0
0.0,245,3,200.0
1.0,246,5,107.0
4.0,247,2,98.0
1.0,248,5,107.0
2.0,249,4,109.0
3.0,250,11,103.0
2.0,251,4,109.0
0.0,252,3,200.0
1.0,253,5,107.0
117.0,254,20,1.0
5.0,255,8,78.0
2.0,256,4,109.0
6.0,257,9,54.0
5.0,258,8,78.0
24.0,259,21,2.0
4.0,260,2,98.0
2.0,261,4,109.0
7.0,262,6,35.0
2.0,263,4,109.0
3.0,264,11,103.0
2.0,265,4,109.0
7.0,266,6,35.0
0.0,267,3,200.0
5.0,268,8,78.0
0.0,269,3,200.0
5.0,270,8,78.0
0.0,271,3,200.0
0.0,272,3,200.0
3.0,273,11,103.0
4.0,274,2,98.0
0.0,275,3,200.0
0.0,276,3,200.0
5.0,277,8,78.0
11.0,278,13,24.0
0.0,279,3,200.0
8.0,280,10,20.0
0.0,281,3,200.0
5.0,282,8,78.0
0.0,283,3,200.0
4.0,284,2,98.0
0.0,285,3,200.0
5.0,286,8,78.0
0.0,287,3,200.0
4.0,288,2,98.0
9.0,289,14,28.0
1.0,290,5,107.0
1.0,291,5,107.0
1.0,292,5,107.0
0.0,293,3,200.0
4.0,294,2,98.0
3.0,295,11,103.0
6.0,296,9,54.0
,297,1,
4.0,298,2,98.0
4.0,299,2,98.0
2.0,300,4,109.0
8.0,301,10,20.0
2.0,302,4,109.0
2.0,303,4,109.0
1.0,304,5,107.0
7.0,305,6,35.0
0.0,306,3,200.0
6.0,307,9,54.0
6.0,308,9,54.0
6.0,309,9,54.0
0.0,310,3,200.0
10.0,311,16,27.0
,312,1,
0.0,313,3,200.0
0.0,314,3,200.0
2.0,315,4,109.0
8.0,316,10,20.0
8.0,317,10,20.0
0.0,318,3,200.0
3.0,319,11,103.0
10.0,320,16,27.0
4.0,321,2,98.0
3.0,322,11,103.0
,323,1,
0.0,324,3,200.0
0.0,325,3,200.0
3.0,326,11,103.0
0.0,327,3,200.0
2.0,328,4,109.0
0.0,329,3,200.0
2.0,330,4,109.0
,331,1,
0.0,332,3,200.0
0.0,333,3,200.0
6.0,334,9,54.0
5.0,335,8,78.0
4.0,336,2,98.0
5.0,337,8,78.0
2.0,338,4,109.0
2.0,339,4,109.0
,340,1,
0.0,341,3,200.0
0.0,342,3,200.0
4.0,343,2,98.0
0.0,344,3,200.0
2.0,345,4,109.0
6.0,346,9,54.0
3.0,347,11,103.0
3.0,348,11,103.0
8.0,349,10,20.0
2.0,350,4,109.0
12.0,351,0,22.0
0.0,352,3,200.0
,353,1,
4.0,354,2,98.0
3.0,355,11,103.0
,356,1,
4.0,357,2,98.0
2.0,358,4,109.0
2.0,359,4,109.0
,360,1,
11.0,361,13,24.0
1.0,362,5,107.0
17.0,363,15,5.0
4.0,364,2,98.0
,365,1,
3.0,366,11,103.0
10.0,367,16,27.0
11.0,368,13,24.0
6.0,369,9,54.0
3.0,370,11,103.0
5.0,371,8,78.0
0.0,372,3,200.0
0.0,373,3,200.0
2.0,374,4,109.0
133.0,375,22,1.0
5.0,376,8,78.0
12.0,377,0,22.0
1.0,378,5,107.0
5.0,379,8,78.0
5.0,380,8,78.0
5.0,381,8,78.0
8.0,382,10,20.0
3.0,383,11,103.0
1.0,384,5,107.0
0.0,385,3,200.0
0.0,386,3,200.0
3.0,387,11,103.0
0.0,388,3,200.0
3.0,389,11,103.0
2.0,390,4,109.0
2.0,391,4,109.0
3.0,392,11,103.0
4.0,393,2,98.0
6.0,394,9,54.0
1042.0,395,23,1.0
2.0,396,4,109.0
3.0,397,11,103.0
1.0,398,5,107.0
3.0,399,11,103.0
4.0,400,2,98.0
2.0,401,4,109.0
4.0,402,2,98.0
2.0,403,4,109.0
1.0,404,5,107.0
12.0,405,0,22.0
4.0,406,2,98.0
7.0,407,6,35.0
0.0,408,3,200.0
15.0,409,12,4.0
0.0,410,3,200.0
1.0,411,5,107.0
6.0,412,9,54.0
0.0,413,3,200.0
0.0,414,3,200.0
14.0,415,24,4.0
2.0,416,4,109.0
2.0,417,4,109.0
11.0,418,13,24.0
0.0,419,3,200.0
4.0,420,2,98.0
,421,1,
8.0,422,10,20.0
1.0,423,5,107.0
0.0,424,3,200.0
5.0,425,8,78.0
0.0,426,3,200.0
6.0,427,9,54.0
4537.0,428,25,1.0
4.0,429,2,98.0
1.0,430,5,107.0
6.0,431,9,54.0
0.0,432,3,200.0
0.0,433,3,200.0
6.0,434,9,54.0
0.0,435,3,200.0
,436,1,
0.0,437,3,200.0
0.0,438,3,200.0
12.0,439,0,22.0
0.0,440,3,200.0
2.0,441,4,109.0
6.0,442,9,54.0
3.0,443,11,103.0
10.0,444,16,27.0
,445,1,
,446,1,
0.0,447,3,200.0
3.0,448,11,103.0
14.0,449,24,4.0
3.0,450,11,103.0
9.0,451,14,28.0
11.0,452,13,24.0
0.0,453,3,200.0
1.0,454,5,107.0
2.0,455,4,109.0
4.0,456,2,98.0
12.0,457,0,22.0
4.0,458,2,98.0
17.0,459,15,5.0
1.0,460,5,107.0
5.0,461,8,78.0
12.0,462,0,22.0
1.0,463,5,107.0
0.0,464,3,200.0
5.0,465,8,78.0
0.0,466,3,200.0
2.0,467,4,109.0
3.0,468,11,103.0
1.0,469,5,107.0
5.0,470,8,78.0
5.0,471,8,78.0
6230.0,472,26,1.0
,473,1,
1.0,474,5,107.0
12.0,475,0,22.0
3.0,476,11,103.0
5.0,477,8,78.0
7.0,478,6,35.0
2.0,479,4,109.0
3.0,480,11,103.0
3.0,481,11,103.0
2.0,482,4,109.0
2.0,483,4,109.0
3.0,484,11,103.0
2.0,485,4,109.0
1.0,486,5,107.0
0.0,487,3,200.0
0.0,488,3,200.0
0.0,489,3,200.0
0.0,490,3,200.0
14.0,491,24,4.0
9.0,492,14,28.0
4.0,493,2,98.0
4.0,494,2,98.0
7.0,495,6,35.0
0.0,496,3,200.0
1.0,497,5,107.0
0.0,498,3,200.0
2.0,499,4,109.0
7.0,500,6,35.0
2.0,501,4,109.0
4.0,502,2,98.0
1.0,503,5,107.0
1.0,504,5,107.0
2.0,505,4,109.0
5.0,506,8,78.0
11.0,507,13,24.0
9.0,508,14,28.0
5.0,509,8,78.0
1.0,510,5,107.0
6.0,511,9,54.0
,512,1,
3.0,513,11,103.0
1.0,514,5,107.0
4.0,515,2,98.0
7.0,516,6,35.0
4.0,517,2,98.0
10.0,518,16,27.0
40.0,519,27,2.0
1.0,520,5,107.0
4.0,521,2,98.0
4.0,522,2,98.0
4.0,523,2,98.0
40.0,524,27,2.0
19.0,525,28,3.0
2.0,526,4,109.0
1.0,527,5,107.0
1.0,528,5,107.0
6.0,529,9,54.0
0.0,530,3,200.0
5826.0,531,29,1.0
,532,1,
,533,1,
5.0,534,8,78.0
2.0,535,4,109.0
0.0,536,3,200.0
4.0,537,2,98.0
3.0,538,11,103.0
2.0,539,4,109.0
5.0,540,8,78.0
0.0,541,3,200.0
3.0,542,11,103.0
7462.0,543,30,1.0
0.0,544,3,200.0
11.0,545,13,24.0
3.0,546,11,103.0
0.0,547,3,200.0
3.0,548,11,103.0
,549,1,
,550,1,
2.0,551,4,109.0
0.0,552,3,200.0
3.0,553,11,103.0
9.0,554,14,28.0
6.0,555,9,54.0
11.0,556,13,24.0
0.0,557,3,200.0
350.0,558,31,1.0
7.0,559,6,35.0
0.0,560,3,200.0
11.0,561,13,24.0
0.0,562,3,200.0
5.0,563,8,78.0
0.0,564,3,200.0
1.0,565,5,107.0
9453.0,566,32,1.0
2.0,567,4,109.0
2.0,568,4,109.0
2.0,569,4,109.0
4.0,570,2,98.0
0.0,571,3,200.0
7.0,572,6,35.0
0.0,573,3,200.0
3.0,574,11,103.0
4.0,575,2,98.0
4.0,576,2,98.0
4.0,577,2,98.0
4.0,578,2,98.0
3.0,579,11,103.0
6.0,580,9,54.0
4.0,581,2,98.0
5.0,582,8,78.0
8.0,583,10,20.0
0.0,584,3,200.0
10.0,585,16,27.0
9.0,586,14,28.0
10.0,587,16,27.0
11.0,588,13,24.0
10.0,589,16,27.0
1.0,590,5,107.0
7.0,591,6,35.0
0.0,592,3,200.0
0.0,593,3,200.0
0.0,594,3,200.0
4.0,595,2,98.0
4.0,596,2,98.0
9.0,597,14,28.0
4.0,598,2,98.0
4.0,599,2,98.0
3.0,600,11,103.0
5.0,601,8,78.0
8.0,602,10,20.0
11.0,603,13,24.0
,604,1,
2.0,605,4,109.0
11.0,606,13,24.0
1.0,607,5,107.0
1.0,608,5,107.0
4.0,609,2,98.0
5.0,610,8,78.0
5.0,611,8,78.0
4.0,612,2,98.0
4.0,613,2,98.0
5.0,614,8,78.0
7486.0,615,33,1.0
3.0,616,11,103.0
0.0,617,3,200.0
4.0,618,2,98.0
2.0,619,4,109.0
3.0,620,11,103.0
31.0,621,34,1.0
0.0,622,3,200.0
12.0,623,0,22.0
4.0,624,2,98.0
9.0,625,14,28.0
5.0,626,8,78.0
12.0,627,0,22.0
6.0,628,9,54.0
2.0,629,4,109.0
8.0,630,10,20.0
5.0,631,8,78.0
0.0,632,3,200.0
0.0,633,3,200.0
0.0,634,3,200.0
2.0,635,4,109.0
4.0,636,2,98.0
0.0,637,3,200.0
4.0,638,2,98.0
0.0,639,3,200.0
6.0,640,9,54.0
7.0,641,6,35.0
,642,1,
18.0,643,35,1.0
3.0,644,11,103.0
0.0,645,3,200.0
3.0,646,11,103.0
4.0,647,2,98.0
1.0,648,5,107.0
2.0,649,4,109.0
0.0,650,3,200.0
6.0,651,9,54.0
1.0,652,5,107.0
8.0,653,10,20.0
1.0,654,5,107.0
3.0,655,11,103.0
10.0,656,16,27.0
10.0,657,16,27.0
3.0,658,11,103.0
11.0,659,13,24.0
5.0,660,8,78.0
0.0,661,3,200.0
3.0,662,11,103.0
7.0,663,6,35.0
5.0,664,8,78.0
0.0,665,3,200.0
5.0,666,8,78.0
2.0,667,4,109.0
1.0,668,5,107.0
2.0,669,4,109.0
9.0,670,14,28.0
288.0,671,36,1.0
5.0,672,8,78.0
1.0,673,5,107.0
4.0,674,2,98.0
2.0,675,4,109.0
0.0,676,3,200.0
0.0,677,3,200.0
4.0,678,2,98.0
3.0,679,11,103.0
7.0,680,6,35.0
0.0,681,3,200.0
1.0,682,5,107.0
9.0,683,14,28.0
0.0,684,3,200.0
1.0,685,5,107.0
4.0,686,2,98.0
6.0,687,9,54.0
1.0,688,5,107.0
0.0,689,3,200.0
11.0,690,13,24.0
0.0,691,3,200.0
1.0,692,5,107.0
3.0,693,11,103.0
3.0,694,11,103.0
12.0,695,0,22.0
5.0,696,8,78.0
12.0,697,0,22.0
0.0,698,3,200.0
0.0,699,3,200.0
0.0,700,3,200.0
0.0,701,3,200.0
0.0,702,3,200.0
0.0,703,3,200.0
,704,1,
1.0,705,5,107.0
4.0,706,2,98.0
7.0,707,6,35.0
2.0,708,4,109.0
4.0,709,2,98.0
2.0,710,4,109.0
0.0,711,3,200.0
,712,1,
3.0,713,11,103.0
10.0,714,16,27.0
2.0,715,4,109.0
4.0,716,2,98.0
1.0,717,5,107.0
8.0,718,10,20.0
1.0,719,5,107.0
1.0,720,5,107.0
5.0,721,8,78.0
1.0,722,5,107.0
8.0,723,10,20.0
0.0,724,3,200.0
0.0,725,3,200.0
0.0,726,3,200.0
2.0,727,4,109.0
9.0,728,14,28.0
5.0,729,8,78.0
0.0,730,3,200.0
1.0,731,5,107.0
8.0,732,10,20.0
1.0,733,5,107.0
1.0,734,5,107.0
1.0,735,5,107.0
2.0,736,4,109.0
5.0,737,8,78.0
15.0,738,12,4.0
2.0,739,4,109.0
9.0,740,14,28.0
1.0,741,5,107.0
0.0,742,3,200.0
0.0,743,3,200.0
,744,1,
22.0,745,17,2.0
0.0,746,3,200.0
0.0,747,3,200.0
8.0,748,10,20.0
5.0,749,8,78.0
0.0,750,3,200.0
8.0,751,10,20.0
0.0,752,3,200.0
3.0,753,11,103.0
12.0,754,0,22.0
10.0,755,16,27.0
5.0,756,8,78.0
0.0,757,3,200.0
12.0,758,0,22.0
7.0,759,6,35.0
2.0,760,4,109.0
7.0,761,6,35.0
1.0,762,5,107.0
0.0,763,3,200.0
10.0,764,16,27.0
2.0,765,4,109.0
0.0,766,3,200.0
9.0,767,14,28.0
,768,1,
11.0,769,13,24.0
9.0,770,14,28.0
,771,1,
7.0,772,6,35.0
17.0,773,15,5.0
2.0,774,4,109.0
2.0,775,4,109.0
2.0,776,4,109.0
4.0,777,2,98.0
4.0,778,2,98.0
3.0,779,11,103.0
1.0,780,5,107.0
2.0,781,4,109.0
0.0,782,3,200.0
2.0,783,4,109.0
3.0,784,11,103.0
0.0,785,3,200.0
0.0,786,3,200.0
2.0,787,4,109.0
0.0,788,3,200.0
1.0,789,5,107.0
6.0,790,9,54.0
,791,1,
2.0,792,4,109.0
5.0,793,8,78.0
5.0,794,8,78.0
12.0,795,0,22.0
2.0,796,4,109.0
5.0,797,8,78.0
0.0,798,3,200.0
2.0,799,4,109.0
11.0,800,13,24.0
1.0,801,5,107.0
0.0,802,3,200.0
2.0,803,4,109.0
1.0,804,5,107.0
3.0,805,11,103.0
7.0,806,6,35.0
1.0,807,5,107.0
3.0,808,11,103.0
10.0,809,16,27.0
0.0,810,3,200.0
0.0,811,3,200.0
0.0,812,3,200.0
4.0,813,2,98.0
16.0,814,37,1.0
0.0,815,3,200.0
1.0,816,5,107.0
0.0,817,3,200.0
0.0,818,3,200.0
12.0,819,0,22.0
0.0,820,3,200.0
4.0,821,2,98.0
0.0,822,3,200.0
19.0,823,28,3.0
4.0,824,2,98.0
4.0,825,2,98.0
14.0,826,24,4.0
11.0,827,13,24.0
5.0,828,8,78.0
2.0,829,4,109.0
2.0,830,4,109.0
8.0,831,10,20.0
0.0,832,3,200.0
10.0,833,16,27.0
5.0,834,8,78.0
0.0,835,3,200.0
6.0,836,9,54.0
2.0,837,4,109.0
5.0,838,8,78.0
0.0,839,3,200.0
0.0,840,3,200.0
19.0,841,28,3.0
10.0,842,16,27.0
1.0,843,5,107.0
0.0,844,3,200.0
1.0,845,5,107.0
9.0,846,14,28.0
0.0,847,3,200.0
10.0,848,16,27.0
0.0,849,3,200.0
3.0,850,11,103.0
3.0,851,11,103.0
6.0,852,9,54.0
9.0,853,14,28.0
4.0,854,2,98.0
4.0,855,2,98.0
0.0,856,3,200.0
24.0,857,21,2.0
5.0,858,8,78.0
3.0,859,11,103.0
0.0,860,3,200.0
,861,1,
,862,1,
1.0,863,5,107.0
6.0,864,9,54.0
1.0,865,5,107.0
3.0,866,11,103.0
4.0,867,2,98.0
7.0,868,6,35.0
0.0,869,3,200.0
4.0,870,2,98.0
5.0,871,8,78.0
3.0,872,11,103.0
4.0,873,2,98.0
1.0,874,5,107.0
0.0,875,3,200.0
0.0,876,3,200.0
0.0,877,3,200.0
3.0,878,11,103.0
5.0,879,8,78.0
6.0,880,9,54.0
5.0,881,8,78.0
1.0,882,5,107.0
1.0,883,5,107.0
0.0,884,3,200.0
7.0,885,6,35.0
6.0,886,9,54.0
,887,1,
7.0,888,6,35.0
0.0,889,3,200.0
5.0,890,8,78.0
1.0,891,5,107.0
0.0,892,3,200.0
6.0,893,9,54.0
0.0,894,3,200.0
4.0,895,2,98.0
5.0,896,8,78.0
0.0,897,3,200.0
0.0,898,3,200.0
,899,1,
1.0,900,5,107.0
6.0,901,9,54.0
3.0,902,11,103.0
1.0,903,5,107.0
3.0,904,11,103.0
2.0,905,4,109.0
0.0,906,3,200.0
3.0,907,11,103.0
1.0,908,5,107.0
23.0,909,38,1.0
36.0,910,39,1.0
6.0,911,9,54.0
3.0,912,11,103.0
11.0,913,13,24.0
3.0,914,11,103.0
3.0,915,11,103.0
0.0,916,3,200.0
10.0,917,16,27.0
3.0,918,11,103.0
1.0,919,5,107.0
5.0,920,8,78.0
0.0,921,3,200.0
0.0,922,3,200.0
3.0,923,11,103.0
4.0,924,2,98.0
6.0,925,9,54.0
9.0,926,14,28.0
1.0,927,5,107.0
0.0,928,3,200.0
5.0,929,8,78.0
2.0,930,4,109.0
20.0,931,40,1.0
0.0,932,3,200.0
0.0,933,3,200.0
0.0,934,3,200.0
1.0,935,5,107.0
5.0,936,8,78.0
5.0,937,8,78.0
3.0,938,11,103.0
4.0,939,2,98.0
4.0,940,2,98.0
0.0,941,3,200.0
3.0,942,11,103.0
4.0,943,2,98.0
1.0,944,5,107.0
4.0,945,2,98.0
3.0,946,11,103.0
0.0,947,3,200.0
0.0,948,3,200.0
0.0,949,3,200.0
10.0,950,16,27.0
6.0,951,9,54.0
1.0,952,5,107.0
5.0,953,8,78.0
3.0,954,11,103.0
0.0,955,3,200.0
3.0,956,11,103.0
5.0,957,8,78.0
3.0,958,11,103.0
5.0,959,8,78.0
10.0,960,16,27.0
6.0,961,9,54.0
1.0,962,5,107.0
6.0,963,9,54.0
0.0,964,3,200.0
8.0,965,10,20.0
10.0,966,16,27.0
2.0,967,4,109.0
,968,1,
2.0,969,4,109.0
1.0,970,5,107.0
1.0,971,5,107.0
,972,1,
6.0,973,9,54.0
5.0,974,8,78.0
,975,1,
0.0,976,3,200.0
,977,1,
0.0,978,3,200.0
7.0,979,6,35.0
0.0,980,3,200.0
2.0,981,4,109.0
0.0,982,3,200.0
2.0,983,4,109.0
2.0,984,4,109.0
6.0,985,9,54.0
7.0,986,6,35.0
9.0,987,14,28.0
0.0,988,3,200.0
7.0,989,6,35.0
5.0,990,8,78.0
9.0,991,14,28.0
4.0,992,2,98.0
2.0,993,4,109.0
4.0,994,2,98.0
2.0,995,4,109.0
3.0,996,11,103.0
,997,1,
9.0,998,14,28.0
1.0,999,5,107.0
