ProviderNumber,ZipCode,original_index,unique_index
10032,36278,660,66
10032,36278,661,66
10032,36278,662,66
10032,36278,663,66
10032,36278,664,66
10032,36278,665,66
10033,35233,666,68
10033,35233,667,68
10033,35233,668,68
10033,35233,669,68
10033,35233,670,68
10033,35233,671,68
10033,35233,672,68
10033,35233,673,68
10033,35233,674,68
10033,35233,675,68
10033,35233,676,68
10033,35233,677,68
10033,35233,678,68
10033,3x233,679,69
10033,35233,680,68
10033,35233,681,68
10033,35233,682,68
10033,35233,683,68
10033,35233,684,68
10033,x52xx,685,70
10033,35233,686,68
10033,35233,687,68
10033,35233,688,68
10033,35233,689,68
10033,35233,690,68
10034,36078,691,71
10034,36078,692,71
10034,36078,693,71
10034,36078,694,71
10034,36078,695,71
10034,36078,696,71
10034,36078,697,71
10034,36078,698,71
10034,36078,699,71
10034,36078,700,71
10034,36078,701,71
10034,36078,702,71
10034,36078,703,71
100x4,36078,704,72
10034,36078,705,71
10034,36078,706,71
10034,36078,707,71
10034,36078,708,71
10034,36078,709,71
10034,36x78,710,73
10034,36078,711,71
10034,36078,712,71
10034,36078,713,71
10034,36078,714,71
10034,36078,715,71
10035,35058,716,74
10035,35058,717,74
10035,35058,718,74
10035,35058,719,74
10035,35058,720,74
100x5,35058,721,75
10035,35058,722,74
10035,35058,723,74
1xx35,35058,724,76
10035,35058,725,74
10035,35058,726,74
10035,35058,727,74
10035,35058,728,74
10035,35058,729,74
10035,35058,730,74
10035,35058,731,74
10035,35058,732,74
10035,35058,733,74
10035,35058,734,74
10035,35058,735,74
10035,35058,736,74
10035,35058,737,74
10035,35058,738,74
10035,35058,739,74
10035,35058,740,74
10036,36420,741,77
10036,36420,742,77
10036,36420,743,77
10036,36420,744,77
10036,36420,745,77
10036,36420,746,77
10036,36420,747,77
10036,36420,748,77
10036,36420,749,77
10036,3642x,750,78
10036,36420,751,77
10036,36420,752,77
10036,36420,753,77
10036,36420,754,77
1xx36,36420,755,79
10036,36420,756,77
10036,36420,757,77
10036,36420,758,77
10036,36420,759,77
10036,36420,760,77
10036,36420,761,77
10036,36420,762,77
10036,36420,763,77
10036,36420,764,77
10036,36420,765,77
10038,36201,766,31
10038,36201,767,31
10038,36201,768,31
10038,36201,769,31
10038,36201,770,31
10038,36201,771,31
10038,36201,772,31
10038,36201,773,31
10039,35801,774,80
10039,35801,775,80
10039,35801,776,80
10039,35801,777,80
10039,35801,778,80
10039,35801,779,80
1003x,35801,780,81
10039,35801,781,80
10039,35801,782,80
10039,35801,783,80
10039,35801,784,80
10039,35801,785,80
10039,35801,786,80
10039,35801,787,80
10039,35801,788,80
1xx39,35801,789,82
10039,35801,790,80
10039,35801,791,80
10039,35801,792,80
100x9,35801,793,83
10039,35801,794,80
10039,35801,795,80
10039,35801,796,80
10039,35801,797,80
10039,35801,798,80
10039,35801,799,80
10039,35801,800,80
10039,35801,801,80
10040,35903,802,84
10040,35903,803,84
10040,35903,804,84
10040,35903,805,84
10040,35903,806,84
10040,35903,807,84
10040,35903,808,84
10040,35903,809,84
10040,35903,810,84
10040,35903,811,84
10040,35903,812,84
10040,35903,813,84
10040,35903,814,84
10040,x590x,815,85
10040,35903,816,84
10040,35903,817,84
10040,35903,818,84
10040,35903,819,84
10040,35903,820,84
10040,35903,821,84
10040,35903,822,84
10040,35903,823,84
10040,35903,824,84
10040,35903,825,84
10040,35903,826,84
10043,35045,827,86
10043,35045,828,86
10043,35045,829,86
10043,35045,830,86
10043,35045,831,86
10043,35045,832,86
10043,35045,833,86
10043,35045,834,86
10043,35045,835,86
10043,35045,836,86
10043,35045,837,86
10043,35045,838,86
10043,35045,839,86
10043,35045,840,86
10043,35045,841,86
10043,35045,842,86
10043,35045,843,86
10043,35045,844,86
10043,35045,845,86
10043,35045,846,86
10043,35045,847,86
10043,35045,848,86
10043,35045,849,86
10043,35045,850,86
10043,35045,851,86
10044,35570,852,87
10044,35570,853,87
10044,35570,854,87
10044,35570,855,87
10044,35570,856,87
10044,35570,857,87
10044,35570,858,87
1xx44,35570,859,88
10044,35570,860,87
10044,35570,861,87
10044,35570,862,87
10044,35570,863,87
10044,35570,864,87
10044,35570,865,87
10044,35570,866,87
10044,35570,867,87
10044,35570,868,87
10044,35570,869,87
10044,35570,870,87
10044,35570,871,87
10044,35570,872,87
10044,35570,873,87
10044,35570,874,87
10044,35570,875,87
10044,35570,876,87
10045,35555,877,89
1xx45,35555,878,90
10045,35555,879,89
10045,35555,880,89
10045,35555,881,89
10045,35555,882,89
10045,35555,883,89
10045,35555,884,89
10045,35555,885,89
10045,35555,886,89
10045,35555,887,89
x0045,35555,888,91
10045,35555,889,89
10045,35555,890,89
10045,35555,891,89
10045,35555,892,89
10045,35555,893,89
10045,35555,894,89
10045,35555,895,89
10045,35555,896,89
10045,35555,897,89
10045,35555,898,89
10045,35555,899,89
10045,35555,900,89
10045,35555,901,89
10046,35901,902,92
10046,35901,903,92
10046,35901,904,92
10046,35901,905,92
10046,35901,906,92
10046,35901,907,92
10046,35901,908,92
10046,35901,909,92
10046,35901,910,92
10046,35901,911,92
10046,35901,912,92
10046,35901,913,92
10046,35901,914,92
10046,35901,915,92
10046,35901,916,92
10046,35901,917,92
10046,35901,918,92
10046,35901,919,92
10046,35901,920,92
10046,35901,921,92
10046,35901,922,92
10046,3590x,923,93
10046,35901,924,92
10046,35901,925,92
10046,35901,926,92
10046,35901,927,92
10046,35901,928,92
10046,35901,929,92
10047,36033,930,94
10047,36033,931,94
10047,36033,932,94
1xx47,36033,933,95
10047,36033,934,94
10047,36033,935,94
10047,36033,936,94
10047,36033,937,94
10047,36033,938,94
10047,36033,939,94
10047,36033,940,94
10047,36033,941,94
10047,36033,942,94
10047,36033,943,94
10047,36033,944,94
10047,36033,945,94
10047,36033,946,94
10047,36033,947,94
10047,36033,948,94
10047,36033,949,94
10047,36033,950,94
10047,36033,951,94
10047,36033,952,94
10047,36033,953,94
10047,36033,954,94
1004x,36330,955,96
10049,36330,956,97
10049,36330,957,97
10049,36330,958,97
10049,36330,959,97
10049,36330,960,97
10049,36330,961,97
10049,36330,962,97
10049,36330,963,97
10049,36330,964,97
10049,36330,965,97
10049,36330,966,97
10049,36330,967,97
10049,36330,968,97
10049,36330,969,97
10049,36330,970,97
10049,36330,971,97
10049,36330,972,97
10049,36330,973,97
10049,36330,974,97
10049,36330,975,97
10049,36330,976,97
10049,36330,977,97
10049,36330,978,97
10049,36330,979,97
10050,35121,980,98
10050,35121,981,98
10050,35121,982,98
10050,35121,983,98
10050,35121,984,98
10050,35121,985,98
10050,35121,986,98
10050,35121,987,98
10050,35121,988,98
10050,35121,989,98
10050,35121,990,98
10050,35121,991,98
10050,35121,992,98
10050,35121,993,98
10050,35121,994,98
10050,35121,995,98
10050,35121,996,98
10050,35121,997,98
10050,35121,998,98
10050,35121,999,98
