state,original_index,unique_index,count
MT,372,26,38.0
MT,373,26,38.0
MT,374,26,38.0
MT,375,26,38.0
TX,376,16,123.0
OR,377,0,118.0
CO,378,7,248.0
CO,379,7,248.0
CO,380,7,248.0
,381,3,
FL,382,4,56.0
FL,383,4,56.0
FL,384,4,56.0
FL,385,4,56.0
,386,3,
MI,387,15,157.0
MI,388,15,157.0
MI,389,15,157.0
MI,390,15,157.0
MI,391,15,157.0
MI,392,15,157.0
MI,393,15,157.0
MI,394,15,157.0
MI,395,15,157.0
MI,396,15,157.0
MI,397,15,157.0
MI,398,15,157.0
MI,399,15,157.0
MI,400,15,157.0
MI,401,15,157.0
MI,402,15,157.0
MI,403,15,157.0
MI,404,15,157.0
MI,405,15,157.0
MI,406,15,157.0
MI,407,15,157.0
MI,408,15,157.0
MI,409,15,157.0
,410,3,
MI,411,15,157.0
MI,412,15,157.0
MI,413,15,157.0
MI,414,15,157.0
MI,415,15,157.0
MI,416,15,157.0
MI,417,15,157.0
MI,418,15,157.0
MI,419,15,157.0
MI,420,15,157.0
MI,421,15,157.0
MI,422,15,157.0
MI,423,15,157.0
MI,424,15,157.0
MI,425,15,157.0
MI,426,15,157.0
MI,427,15,157.0
MI,428,15,157.0
MI,429,15,157.0
MI,430,15,157.0
MI,431,15,157.0
MI,432,15,157.0
MI,433,15,157.0
MI,434,15,157.0
MI,435,15,157.0
MI,436,15,157.0
MI,437,15,157.0
MI,438,15,157.0
MI,439,15,157.0
MI,440,15,157.0
MI,441,15,157.0
MI,442,15,157.0
MI,443,15,157.0
MI,444,15,157.0
MI,445,15,157.0
MI,446,15,157.0
MI,447,15,157.0
MI,448,15,157.0
MI,449,15,157.0
FL,450,4,56.0
,451,3,
CT,452,17,27.0
AK,453,10,24.0
AK,454,10,24.0
AK,455,10,24.0
AK,456,10,24.0
NY,457,29,68.0
NY,458,29,68.0
NY,459,29,68.0
NY,460,29,68.0
,461,3,
NY,462,29,68.0
NV,463,33,10.0
NV,464,33,10.0
NV,465,33,10.0
,466,3,
NV,467,33,10.0
NV,468,33,10.0
NV,469,33,10.0
OH,470,12,47.0
IL,471,24,84.0
,472,3,
TX,473,16,123.0
TX,474,16,123.0
IN,475,1,131.0
IN,476,1,131.0
IN,477,1,131.0
IN,478,1,131.0
IN,479,1,131.0
IN,480,1,131.0
IN,481,1,131.0
IN,482,1,131.0
IN,483,1,131.0
IN,484,1,131.0
IN,485,1,131.0
OR,486,0,118.0
CA,487,2,170.0
NY,488,29,68.0
NY,489,29,68.0
NY,490,29,68.0
NY,491,29,68.0
SC,492,34,13.0
SC,493,34,13.0
SC,494,34,13.0
SC,495,34,13.0
SC,496,34,13.0
SC,497,34,13.0
OK,498,13,18.0
OK,499,13,18.0
,500,3,
OK,501,13,18.0
OK,502,13,18.0
OK,503,13,18.0
OR,504,0,118.0
OR,505,0,118.0
OR,506,0,118.0
OR,507,0,118.0
,508,3,
OR,509,0,118.0
OR,510,0,118.0
OR,511,0,118.0
OR,512,0,118.0
OR,513,0,118.0
OR,514,0,118.0
OR,515,0,118.0
OR,516,0,118.0
OR,517,0,118.0
,518,3,
MA,519,19,76.0
NC,520,14,56.0
NC,521,14,56.0
NC,522,14,56.0
NC,523,14,56.0
MA,524,19,76.0
MA,525,19,76.0
MA,526,19,76.0
MA,527,19,76.0
,528,3,
MA,529,19,76.0
MA,530,19,76.0
WI,531,11,82.0
WI,532,11,82.0
WI,533,11,82.0
WI,534,11,82.0
WI,535,11,82.0
WI,536,11,82.0
WI,537,11,82.0
WI,538,11,82.0
WI,539,11,82.0
WI,540,11,82.0
WI,541,11,82.0
,542,3,
,543,3,
NC,544,14,56.0
NC,545,14,56.0
NC,546,14,56.0
NC,547,14,56.0
NJ,548,31,7.0
NJ,549,31,7.0
,550,3,
NJ,551,31,7.0
OR,552,0,118.0
OR,553,0,118.0
NC,554,14,56.0
NC,555,14,56.0
NC,556,14,56.0
NC,557,14,56.0
NC,558,14,56.0
NC,559,14,56.0
NC,560,14,56.0
OH,561,12,47.0
OH,562,12,47.0
NC,563,14,56.0
NC,564,14,56.0
TX,565,16,123.0
TX,566,16,123.0
TX,567,16,123.0
TX,568,16,123.0
TX,569,16,123.0
TX,570,16,123.0
CO,571,7,248.0
,572,3,
VA,573,23,37.0
VA,574,23,37.0
VA,575,23,37.0
VA,576,23,37.0
CA,577,2,170.0
,578,3,
CA,579,2,170.0
CA,580,2,170.0
VA,581,23,37.0
VA,582,23,37.0
VA,583,23,37.0
,584,3,
IN,585,1,131.0
IN,586,1,131.0
IN,587,1,131.0
,588,3,
NY,589,29,68.0
NY,590,29,68.0
MI,591,15,157.0
MI,592,15,157.0
MI,593,15,157.0
OH,594,12,47.0
WA,595,6,68.0
WI,596,11,82.0
WI,597,11,82.0
FL,598,4,56.0
FL,599,4,56.0
FL,600,4,56.0
FL,601,4,56.0
FL,602,4,56.0
FL,603,4,56.0
FL,604,4,56.0
FL,605,4,56.0
FL,606,4,56.0
FL,607,4,56.0
FL,608,4,56.0
FL,609,4,56.0
FL,610,4,56.0
FL,611,4,56.0
FL,612,4,56.0
FL,613,4,56.0
FL,614,4,56.0
FL,615,4,56.0
FL,616,4,56.0
,617,3,
FL,618,4,56.0
FL,619,4,56.0
FL,620,4,56.0
FL,621,4,56.0
FL,622,4,56.0
MA,623,19,76.0
MA,624,19,76.0
MA,625,19,76.0
MA,626,19,76.0
MA,627,19,76.0
MA,628,19,76.0
MA,629,19,76.0
CA,630,2,170.0
OR,631,0,118.0
OR,632,0,118.0
GA,633,35,14.0
GA,634,35,14.0
RI,635,36,27.0
RI,636,36,27.0
RI,637,36,27.0
RI,638,36,27.0
AZ,639,20,46.0
IA,640,37,29.0
IA,641,37,29.0
,642,3,
AR,643,38,4.0
AR,644,38,4.0
AR,645,38,4.0
,646,3,
CT,647,17,27.0
LA,648,8,19.0
CO,649,7,248.0
CO,650,7,248.0
CO,651,7,248.0
CO,652,7,248.0
CO,653,7,248.0
CO,654,7,248.0
CO,655,7,248.0
CO,656,7,248.0
CO,657,7,248.0
CO,658,7,248.0
CO,659,7,248.0
GA,660,35,14.0
GA,661,35,14.0
ID,662,39,28.0
ID,663,39,28.0
ID,664,39,28.0
SD,665,40,7.0
SD,666,40,7.0
SD,667,40,7.0
SD,668,40,7.0
SD,669,40,7.0
SD,670,40,7.0
SD,671,40,7.0
CO,672,7,248.0
CO,673,7,248.0
IN,674,1,131.0
IN,675,1,131.0
IN,676,1,131.0
IN,677,1,131.0
ME,678,22,24.0
ME,679,22,24.0
DC,680,41,8.0
DC,681,41,8.0
DC,682,41,8.0
DC,683,41,8.0
DC,684,41,8.0
DC,685,41,8.0
DC,686,41,8.0
DC,687,41,8.0
CO,688,7,248.0
CO,689,7,248.0
IN,690,1,131.0
WI,691,11,82.0
CA,692,2,170.0
CA,693,2,170.0
OK,694,13,18.0
TX,695,16,123.0
TX,696,16,123.0
TX,697,16,123.0
TX,698,16,123.0
TX,699,16,123.0
TX,700,16,123.0
TX,701,16,123.0
TX,702,16,123.0
TX,703,16,123.0
KS,704,42,22.0
KS,705,42,22.0
AK,706,10,24.0
AK,707,10,24.0
AK,708,10,24.0
AK,709,10,24.0
CO,710,7,248.0
CO,711,7,248.0
OR,712,0,118.0
IL,713,24,84.0
IL,714,24,84.0
,715,3,
,716,3,
IL,717,24,84.0
IL,718,24,84.0
IL,719,24,84.0
VA,720,23,37.0
VA,721,23,37.0
CA,722,2,170.0
,723,3,
CA,724,2,170.0
CA,725,2,170.0
WA,726,6,68.0
WA,727,6,68.0
PA,728,32,91.0
CO,729,7,248.0
CO,730,7,248.0
CO,731,7,248.0
CO,732,7,248.0
CO,733,7,248.0
CO,734,7,248.0
MA,735,19,76.0
MA,736,19,76.0
CO,737,7,248.0
CO,738,7,248.0
CO,739,7,248.0
CO,740,7,248.0
FL,741,4,56.0
NY,742,29,68.0
CO,743,7,248.0
CO,744,7,248.0
CO,745,7,248.0
CO,746,7,248.0
CO,747,7,248.0
CO,748,7,248.0
CO,749,7,248.0
OH,750,12,47.0
WA,751,6,68.0
FL,752,4,56.0
WA,753,6,68.0
CO,754,7,248.0
CO,755,7,248.0
CO,756,7,248.0
CO,757,7,248.0
WA,758,6,68.0
WA,759,6,68.0
IN,760,1,131.0
IN,761,1,131.0
IN,762,1,131.0
IN,763,1,131.0
IN,764,1,131.0
IN,765,1,131.0
NY,766,29,68.0
NY,767,29,68.0
NY,768,29,68.0
NY,769,29,68.0
NY,770,29,68.0
ND,771,43,3.0
ND,772,43,3.0
ND,773,43,3.0
OH,774,12,47.0
OH,775,12,47.0
CO,776,7,248.0
CO,777,7,248.0
CO,778,7,248.0
,779,3,
CO,780,7,248.0
OR,781,0,118.0
OR,782,0,118.0
OR,783,0,118.0
OR,784,0,118.0
OR,785,0,118.0
OR,786,0,118.0
VT,787,44,26.0
VT,788,44,26.0
VT,789,44,26.0
VT,790,44,26.0
CA,791,2,170.0
CA,792,2,170.0
,793,3,
IL,794,24,84.0
IL,795,24,84.0
IL,796,24,84.0
IL,797,24,84.0
IL,798,24,84.0
IL,799,24,84.0
IL,800,24,84.0
IL,801,24,84.0
IL,802,24,84.0
IL,803,24,84.0
CA,804,2,170.0
,805,3,
CA,806,2,170.0
CA,807,2,170.0
CA,808,2,170.0
IN,809,1,131.0
IN,810,1,131.0
IN,811,1,131.0
PA,812,32,91.0
IL,813,24,84.0
MD,814,45,20.0
MD,815,45,20.0
VA,816,23,37.0
VA,817,23,37.0
RI,818,36,27.0
RI,819,36,27.0
RI,820,36,27.0
RI,821,36,27.0
NJ,822,31,7.0
NJ,823,31,7.0
OR,824,0,118.0
OR,825,0,118.0
OR,826,0,118.0
OR,827,0,118.0
OR,828,0,118.0
OR,829,0,118.0
OR,830,0,118.0
OR,831,0,118.0
OR,832,0,118.0
OR,833,0,118.0
OR,834,0,118.0
OR,835,0,118.0
,836,3,
CA,837,2,170.0
CA,838,2,170.0
CA,839,2,170.0
CA,840,2,170.0
MI,841,15,157.0
MI,842,15,157.0
MI,843,15,157.0
TX,844,16,123.0
TX,845,16,123.0
,846,3,
IN,847,1,131.0
IN,848,1,131.0
IN,849,1,131.0
IN,850,1,131.0
IN,851,1,131.0
AZ,852,20,46.0
AZ,853,20,46.0
AZ,854,20,46.0
AZ,855,20,46.0
AZ,856,20,46.0
AZ,857,20,46.0
AZ,858,20,46.0
OH,859,12,47.0
OH,860,12,47.0
OH,861,12,47.0
OH,862,12,47.0
MI,863,15,157.0
,864,3,
MI,865,15,157.0
TX,866,16,123.0
TX,867,16,123.0
TX,868,16,123.0
TX,869,16,123.0
TX,870,16,123.0
TX,871,16,123.0
TX,872,16,123.0
TX,873,16,123.0
WA,874,6,68.0
WA,875,6,68.0
WA,876,6,68.0
WA,877,6,68.0
WA,878,6,68.0
WA,879,6,68.0
WA,880,6,68.0
NC,881,14,56.0
NC,882,14,56.0
NC,883,14,56.0
NC,884,14,56.0
NC,885,14,56.0
,886,3,
WI,887,11,82.0
WI,888,11,82.0
,889,3,
,890,3,
CA,891,2,170.0
CA,892,2,170.0
CA,893,2,170.0
CA,894,2,170.0
CA,895,2,170.0
CA,896,2,170.0
,897,3,
CA,898,2,170.0
CA,899,2,170.0
CA,900,2,170.0
CA,901,2,170.0
CA,902,2,170.0
CA,903,2,170.0
CA,904,2,170.0
MI,905,15,157.0
OR,906,0,118.0
OR,907,0,118.0
AL,908,18,10.0
AL,909,18,10.0
AL,910,18,10.0
AL,911,18,10.0
AL,912,18,10.0
OR,913,0,118.0
IL,914,24,84.0
IL,915,24,84.0
IL,916,24,84.0
IL,917,24,84.0
,918,3,
IL,919,24,84.0
CO,920,7,248.0
AZ,921,20,46.0
AZ,922,20,46.0
AZ,923,20,46.0
AZ,924,20,46.0
TX,925,16,123.0
TX,926,16,123.0
TX,927,16,123.0
IN,928,1,131.0
IN,929,1,131.0
IN,930,1,131.0
IN,931,1,131.0
IN,932,1,131.0
IN,933,1,131.0
IN,934,1,131.0
IN,935,1,131.0
IN,936,1,131.0
IN,937,1,131.0
IN,938,1,131.0
IN,939,1,131.0
,940,3,
IN,941,1,131.0
IN,942,1,131.0
IN,943,1,131.0
IN,944,1,131.0
IN,945,1,131.0
IN,946,1,131.0
IN,947,1,131.0
CO,948,7,248.0
CO,949,7,248.0
CO,950,7,248.0
CO,951,7,248.0
,952,3,
CO,953,7,248.0
CO,954,7,248.0
CO,955,7,248.0
CO,956,7,248.0
MT,957,26,38.0
MT,958,26,38.0
LA,959,8,19.0
LA,960,8,19.0
IA,961,37,29.0
IA,962,37,29.0
IA,963,37,29.0
IA,964,37,29.0
IA,965,37,29.0
IA,966,37,29.0
IA,967,37,29.0
IA,968,37,29.0
IA,969,37,29.0
IA,970,37,29.0
IA,971,37,29.0
IA,972,37,29.0
IA,973,37,29.0
IA,974,37,29.0
IA,975,37,29.0
IA,976,37,29.0
IA,977,37,29.0
IA,978,37,29.0
FL,979,4,56.0
WV,980,46,2.0
WV,981,46,2.0
RI,982,36,27.0
RI,983,36,27.0
RI,984,36,27.0
RI,985,36,27.0
RI,986,36,27.0
RI,987,36,27.0
RI,988,36,27.0
RI,989,36,27.0
RI,990,36,27.0
MI,991,15,157.0
MI,992,15,157.0
MI,993,15,157.0
MI,994,15,157.0
MI,995,15,157.0
MI,996,15,157.0
MI,997,15,157.0
MI,998,15,157.0
MI,999,15,157.0
CO,1000,7,248.0
WA,1001,6,68.0
WA,1002,6,68.0
IL,1003,24,84.0
IL,1004,24,84.0
IL,1005,24,84.0
IL,1006,24,84.0
IL,1007,24,84.0
IL,1008,24,84.0
IL,1009,24,84.0
IL,1010,24,84.0
CT,1011,17,27.0
CT,1012,17,27.0
CA,1013,2,170.0
CA,1014,2,170.0
VA,1015,23,37.0
VA,1016,23,37.0
VA,1017,23,37.0
MA,1018,19,76.0
MA,1019,19,76.0
MA,1020,19,76.0
MA,1021,19,76.0
MA,1022,19,76.0
MA,1023,19,76.0
MA,1024,19,76.0
MA,1025,19,76.0
MA,1026,19,76.0
MA,1027,19,76.0
,1028,3,
MA,1029,19,76.0
MT,1030,26,38.0
MT,1031,26,38.0
HI,1032,47,27.0
HI,1033,47,27.0
HI,1034,47,27.0
HI,1035,47,27.0
HI,1036,47,27.0
CA,1037,2,170.0
CA,1038,2,170.0
,1039,3,
MD,1040,45,20.0
MD,1041,45,20.0
MD,1042,45,20.0
CA,1043,2,170.0
CA,1044,2,170.0
CA,1045,2,170.0
CO,1046,7,248.0
CO,1047,7,248.0
KS,1048,42,22.0
KS,1049,42,22.0
KS,1050,42,22.0
WA,1051,6,68.0
WA,1052,6,68.0
WA,1053,6,68.0
WA,1054,6,68.0
WA,1055,6,68.0
WI,1056,11,82.0
PA,1057,32,91.0
PA,1058,32,91.0
,1059,3,
OR,1060,0,118.0
OR,1061,0,118.0
OR,1062,0,118.0
OR,1063,0,118.0
OR,1064,0,118.0
OR,1065,0,118.0
OR,1066,0,118.0
OR,1067,0,118.0
TX,1068,16,123.0
TX,1069,16,123.0
TX,1070,16,123.0
TX,1071,16,123.0
TX,1072,16,123.0
OR,1073,0,118.0
OR,1074,0,118.0
,1075,3,
OR,1076,0,118.0
,1077,3,
OR,1078,0,118.0
OR,1079,0,118.0
OR,1080,0,118.0
OR,1081,0,118.0
OR,1082,0,118.0
OR,1083,0,118.0
OR,1084,0,118.0
OR,1085,0,118.0
OR,1086,0,118.0
OR,1087,0,118.0
,1088,3,
OR,1089,0,118.0
OR,1090,0,118.0
OR,1091,0,118.0
OR,1092,0,118.0
OR,1093,0,118.0
OR,1094,0,118.0
OR,1095,0,118.0
WI,1096,11,82.0
WI,1097,11,82.0
WI,1098,11,82.0
NC,1099,14,56.0
NC,1100,14,56.0
MN,1101,21,52.0
MN,1102,21,52.0
MN,1103,21,52.0
MN,1104,21,52.0
MN,1105,21,52.0
MN,1106,21,52.0
TX,1107,16,123.0
TX,1108,16,123.0
TX,1109,16,123.0
IN,1110,1,131.0
TX,1111,16,123.0
TX,1112,16,123.0
FL,1113,4,56.0
FL,1114,4,56.0
FL,1115,4,56.0
MA,1116,19,76.0
DE,1117,48,2.0
MA,1118,19,76.0
MA,1119,19,76.0
,1120,3,
MA,1121,19,76.0
MA,1122,19,76.0
PA,1123,32,91.0
PA,1124,32,91.0
TN,1125,25,6.0
OH,1126,12,47.0
OH,1127,12,47.0
OH,1128,12,47.0
OH,1129,12,47.0
OH,1130,12,47.0
MD,1131,45,20.0
WI,1132,11,82.0
WI,1133,11,82.0
WI,1134,11,82.0
WI,1135,11,82.0
WI,1136,11,82.0
,1137,3,
NV,1138,33,10.0
NV,1139,33,10.0
NV,1140,33,10.0
NV,1141,33,10.0
IA,1142,37,29.0
IA,1143,37,29.0
TX,1144,16,123.0
TX,1145,16,123.0
TX,1146,16,123.0
TX,1147,16,123.0
,1148,3,
TX,1149,16,123.0
TX,1150,16,123.0
TX,1151,16,123.0
TX,1152,16,123.0
TX,1153,16,123.0
NY,1154,29,68.0
NY,1155,29,68.0
,1156,3,
AK,1157,10,24.0
,1158,3,
AK,1159,10,24.0
AK,1160,10,24.0
MT,1161,26,38.0
MT,1162,26,38.0
MT,1163,26,38.0
MT,1164,26,38.0
MT,1165,26,38.0
MT,1166,26,38.0
MI,1167,15,157.0
MI,1168,15,157.0
MI,1169,15,157.0
MI,1170,15,157.0
MI,1171,15,157.0
MI,1172,15,157.0
MI,1173,15,157.0
AK,1174,10,24.0
AK,1175,10,24.0
AK,1176,10,24.0
AK,1177,10,24.0
AK,1178,10,24.0
MO,1179,5,41.0
MO,1180,5,41.0
HI,1181,47,27.0
HI,1182,47,27.0
HI,1183,47,27.0
HI,1184,47,27.0
OK,1185,13,18.0
WA,1186,6,68.0
,1187,3,
NM,1188,49,13.0
PA,1189,32,91.0
PA,1190,32,91.0
MI,1191,15,157.0
MI,1192,15,157.0
MI,1193,15,157.0
MI,1194,15,157.0
ID,1195,39,28.0
ID,1196,39,28.0
ID,1197,39,28.0
PA,1198,32,91.0
PA,1199,32,91.0
WI,1200,11,82.0
MT,1201,26,38.0
MT,1202,26,38.0
,1203,3,
MT,1204,26,38.0
MT,1205,26,38.0
MN,1206,21,52.0
MN,1207,21,52.0
PA,1208,32,91.0
PA,1209,32,91.0
PA,1210,32,91.0
,1211,3,
CO,1212,7,248.0
NC,1213,14,56.0
NC,1214,14,56.0
NC,1215,14,56.0
NC,1216,14,56.0
NC,1217,14,56.0
VT,1218,44,26.0
VT,1219,44,26.0
VT,1220,44,26.0
VT,1221,44,26.0
VT,1222,44,26.0
VT,1223,44,26.0
VT,1224,44,26.0
VT,1225,44,26.0
VT,1226,44,26.0
VA,1227,23,37.0
VA,1228,23,37.0
WI,1229,11,82.0
WI,1230,11,82.0
WI,1231,11,82.0
WI,1232,11,82.0
MS,1233,50,11.0
MS,1234,50,11.0
AZ,1235,20,46.0
AZ,1236,20,46.0
AZ,1237,20,46.0
AZ,1238,20,46.0
,1239,3,
OR,1240,0,118.0
GA,1241,35,14.0
GA,1242,35,14.0
OH,1243,12,47.0
OH,1244,12,47.0
OH,1245,12,47.0
,1246,3,
OH,1247,12,47.0
OH,1248,12,47.0
OH,1249,12,47.0
OH,1250,12,47.0
OH,1251,12,47.0
VT,1252,44,26.0
VT,1253,44,26.0
VT,1254,44,26.0
CA,1255,2,170.0
CA,1256,2,170.0
CA,1257,2,170.0
CA,1258,2,170.0
PA,1259,32,91.0
PA,1260,32,91.0
PA,1261,32,91.0
PA,1262,32,91.0
PA,1263,32,91.0
PA,1264,32,91.0
PA,1265,32,91.0
PA,1266,32,91.0
PA,1267,32,91.0
CA,1268,2,170.0
CA,1269,2,170.0
CA,1270,2,170.0
CA,1271,2,170.0
