Condition,MeasureName,original_index,unique_index
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,31,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,32,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,33,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),34,25
pneumonia,pneumonia patients assessed and given influenza vaccination,35,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,36,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,37,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,38,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),39,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,40,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),41,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,42,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,43,7
heart attack,heart attack patients given aspirin at arrival,44,8
heart attack,heart attack patients given aspirin at discharge,45,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),46,10
heart attack,heart attack patients given smoking cessation advice/counseling,47,11
heart attack,heart attack patients given beta blocker at discharge,48,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,49,13
heart attack,heart attack patients given pci within 90 minutes of arrival,50,14
heart failure,heart failure patients given discharge instructions,51,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,52,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),53,17
heart failure,heart failure patients given smoking cessation advice/counseling,54,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,55,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,56,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,57,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,58,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),59,25
pneumonia,pneumonia patients assessed and given influenza vaccination,60,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,61,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,62,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,63,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),64,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,65,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),66,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,67,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,68,7
heart attack,heart attack patients given aspirin at arrival,69,8
heart attack,heart attack patients given aspirin at discharge,70,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),71,10
heart attack,heart attack patients given smoking cessation advice/counseling,72,11
hearx axxack,heart attack patients given beta blocker at discharge,73,28
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,74,13
heart attack,heart attack patients given pci within 90 minutes of arrival,75,14
heart failure,heart failure patients given discharge instructions,76,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,77,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78,17
heart failure,heart failure patients given smoking cessation advice/counseling,79,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,80,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,81,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,82,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,83,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),84,25
pneumonia,pneumonia patients assessed and given influenza vaccination,85,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,86,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,87,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,88,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),89,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,90,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),91,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,92,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,93,7
heart attack,xeart attack patients given aspirin at arrival,94,29
heart attack,heart attack patients given aspirin at discharge,95,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96,10
heart attack,heart attack patients given smoking cessation advice/counseling,97,11
heart attack,heart attack patients given beta blocker at discharge,98,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,99,13
heart attack,heart attack patients given pci within 90 minutes of arrival,100,14
heart failure,heart failure patients given discharge instructions,101,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,102,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),103,17
heart failure,heart failure patients given smoking cessation advice/counseling,104,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,105,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,106,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,107,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,108,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),109,25
pneumonia,pneumonia patients assessed and given influenza vaccination,110,26
surgical infection prevention,surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery,111,30
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,112,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,113,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),114,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,115,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),116,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,117,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,118,7
heart attack,heart attack patients given aspirin at arrivax,119,31
heart attack,heart attack patients given aspirin at discharge,120,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),121,10
heart attack,heart attack patients given smoking cessation advice/counseling,122,11
heart attack,heart attack patients given beta blocker at discharge,123,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,124,13
heart attack,heart attack patients given pci within 90 minutes of arrival,125,14
heart failure,heart failure patients given discharge instructions,126,15
heaxt failuxe,heart failure patients given an evaluation of left ventricular systolic (lvs) function,127,32
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),128,17
heart failure,heart failure patients given smoking cessation advice/counseling,129,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,130,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,131,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,132,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,133,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),134,25
pneumonia,pneumonia patients assessed and given influenza vaccination,135,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,136,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,137,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,138,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),139,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,140,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),141,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,142,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,143,7
heart attack,heart attack patients given aspirin at arrival,144,8
heart attack,heart attaxk patients given aspirin at disxharge,145,33
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),146,10
heart attack,heart attack patients given smoking cessation advice/counseling,147,11
heart attack,heart attack patients given beta blocker at discharge,148,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,149,13
heart attack,heart attack patients given pci within 90 minutes of arrival,150,14
heart failure,heart failure patients given discharge instructions,151,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,152,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),153,17
heart failure,heart failure patients given smoking cessation advice/counseling,154,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,155,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,156,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,157,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,158,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),159,25
pneumonia,pneumonia patients assessed and given influenza vaccination,160,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,161,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,162,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,163,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),164,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,165,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),166,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,167,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,168,7
heart attack,heart attack patients given aspirin at arrival,169,8
heart attack,heart attack patients given aspirin at discharge,170,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),171,10
heart attack,heart attack patients given smoking cessation advice/counseling,172,11
heart attack,heart attack patients given beta blocker at discharge,173,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,174,13
heart attack,heart attack patients given pci within 90 minutes of arrival,175,14
heart failure,heart failure patients given discharge instructions,176,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,177,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),178,17
heart failure,heart failure patients given smoking cessation advice/counseling,179,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,180,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,181,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,182,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,183,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),184,25
pneumonia,pneumonia patients assessed and given influenza vaccination,185,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,186,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,187,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,188,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),189,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,190,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),191,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,192,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,193,7
heart attack,heart attack patients given aspirin at arrival,194,8
heart attack,heart attack patients given aspirin at discharge,195,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),196,10
heart attack,heart attack patients given smoking cessation advice/counseling,197,11
heart attack,heart attack patients given beta blocker at discharge,198,12
heaxt attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,199,34
heart attack,heart attack patients given pci within 90 minutes of arrival,200,14
heart failure,heart failure patients given discharge instructions,201,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,202,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),203,17
heart failure,heart failure patients given smoking cessation advice/counseling,204,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,205,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,206,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,207,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,208,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),209,25
pneumonia,pneumoniaxpatientsxassessedxandxgivenxinfluenzaxvaccination,210,35
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,211,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,212,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,213,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),214,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,215,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),216,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,217,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,218,7
heart attack,heartxattackxpatientsxgivenxaspirinxatxarrival,219,36
heart attack,heart attack patients given aspirin at discharge,220,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),221,10
heart attack,heart attack patients given smoking cessation advice/counseling,222,11
heart attack,heart attack patients given beta blocker at discharge,223,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,224,13
hexrt attxck,heart attack patients given pci within 90 minutes of arrival,225,37
heart failure,heart failure patients given discharge instructions,226,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,227,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),228,17
heart faxlure,heart failure patients given smoking cessation advice/counseling,229,38
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,230,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,231,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,232,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,233,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),234,25
pneumonia,pneumonia patients assessed and given influenza vaccination,235,26
suxgical infection pxevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,236,39
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,237,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,238,2
surgxcal infectxon preventxon,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),239,40
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,240,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),241,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,242,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,243,7
heart attack,heart attack patients given aspirin at arrival,244,8
heart attack,heart attack patients given aspirin at discharge,245,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),246,10
heart attack,heart attack patients given smoking cessation advice/counseling,247,11
heart attack,heart attack patients given beta blocker at discharge,248,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,249,13
heart attack,heart attack patients given pci within 90 minutes of arrival,250,14
heart failure,heart failure patients given discharge instructions,251,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,252,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),253,17
heart failure,heart failure patients given smoking cessation advice/counseling,254,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,255,21
xneumonia,pneumonxa patxents whose inxtxal emergency room blood culture was performed prxor to the admxnxstratxon of the fxrst hospxtal dose of antxbxotxcs,256,41
pneumonia,pneumonia patients given smoking cessation advice/counseling,257,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,258,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),259,25
pneumonia,pneumonia patients assessed and given influenza vaccination,260,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,261,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,262,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,263,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),264,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,265,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),266,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,267,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,268,7
heart attack,heart attack patients given aspirin at arrival,269,8
heart attack,heart attack patients given aspirin at discharge,270,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),271,10
heart attack,heart attack patients given smoking cessation advice/counseling,272,11
heart attack,heart attack patients given beta blocker at discharge,273,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,274,13
heart attack,heart attack patients given pci within 90 minutes of arrival,275,14
heart failure,heart failure patients given discharge instructions,276,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,277,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),278,17
xeart failure,heart failure patients given smoking cessation advice/counseling,279,42
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,280,21
pneumonia,pnxumonia patixnts whosx initial emxrgxncy room blood culturx was pxrformxd prior to thx administration of thx first hospital dosx of antibiotics,281,43
pneumonia,pneumonia patients given smoking cessation advice/counseling,282,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,283,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),284,25
pneumonia,pneumonia patients assessed and given influenza vaccination,285,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,286,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,287,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,288,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),289,3
surgical infection prevention,all heart surgerx patients whose blood sugar (blood glucose) is kept under good control in the daxs right after surgerx,290,44
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),291,5
surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,292,6
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,293,7
heart attack,heart attack patients given aspirin at arrival,294,8
heart attack,heart attack patients given aspirin at discharge,295,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),296,10
heart attack,heart attack patients given smoking cessation advice/counseling,297,11
heart attack,heart attack patients given beta blocker at discharge,298,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,299,13
heart attack,heart attack patients given pci within 90 minutes of arrival,300,14
heart failure,heart failure patients given discharge instructions,301,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,302,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),303,17
heart failure,heart failure patients given smoking cessation advice/counseling,304,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,305,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,306,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,307,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,308,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),309,25
pneumonia,pneumonia patients assessed and given influenza vaccination,310,26
children s asthma care,children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,311,45
children s asthma care,children and their caregivers who received a home management plan of care document while hospitalized for asthma,312,46
heart attack,heart attack patients given aspirin at arrival,313,8
heart attack,heart attack patients given aspirin at discharge,314,9
heart attack,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),315,10
heart attack,heart attack patients given smoking cessation advice/counseling,316,11
heart attack,heart attack patients given beta blocker at discharge,317,12
heart attack,heart attack patients given fibrinolytic medication within 30 minutes of arrival,318,13
heart attack,heart attack patients given pci within 90 minutes of arrival,319,14
heart failure,heart failure patients given discharge instructions,320,15
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,321,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),322,17
heart failure,heart failure patients given smoking cessation advice/counseling,323,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,324,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,325,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,326,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,327,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),328,25
pneumonia,pneumonia patients assessed and given influenza vaccination,329,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,330,27
heart failure,heart failure patients given an evaluation of left ventricular systolic (lvs) function,331,16
heart failure,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),332,17
heart failure,heart failure patients given smoking cessation advice/counseling,333,18
pneumonia,pneumonia patients assessed and given pneumococcal vaccination,334,21
pneumonia,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,335,22
pneumonia,pneumonia patients given smoking cessation advice/counseling,336,23
pneumonia,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,337,24
pneumonia,pneumonia patients given the most appropriate initial antibiotic(s),338,25
pneumonia,pneumonia patients assessed and given influenza vaccination,339,26
surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,340,27
surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,341,1
surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,342,2
surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),343,3
surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,344,4
surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),345,5
surgical infection prevention,surgery pxtients whose doctors ordered trextments to prevent blood clots xfter certxin types of surgeries,346,47
surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,347,7
heart attack,heart attack patients given aspirin at arrival,348,8
heart attack,heart attack patients given aspirin at discharge,349,9
