Actors,Genre,original_index,unique_index
"Wesley Snipes,Stephen Dorff,Kris Kristofferson","Action,Horror",26,26
"Ernest Adams,Scott Adams,Hollywood Anderson",Documentary,27,27
"Bill Carlton,Robert Mruczek,Terry Nelson",Documentary,28,28
"Tom Cruise,Cobie Smulders,Danika Yarosh","Action,Crime,Drama",29,29
"Tom Cruise,Ken Watanabe,Billy Connolly","Action,Drama,History",30,30
"Tom Cruise,Tim Robbins,Kelly McGillis","Action,Drama,Romance",31,31
"Robin Williams,Cuba Gooding Jr.,Annabella Sciorra","Drama,Fantasy,Romance",32,32
"Barbra Streisand,Walter Matthau,Michael Crawford","Comedy,Musical,Romance",33,33
"Barbra Streisand,Omar Sharif,Kay Medford","Biography,Comedy,Drama",34,34
"Humphrey Bogart,Ingrid Bergman,Paul Henreid","Drama,Film-Noir,Romance",35,35
"Keir Dullea,Gary Lockwood,William Sylvester","Mystery,Sci-Fi",36,36
"Ellen Burstyn,Jared Leto,Jennifer Connelly",Drama,37,37
"Isabella Rossellini,Kyle MacLachlan,Dennis Hopper","Crime,Drama,Mystery",38,38
"Tom Cruise,Nicole Kidman,Todd Field","Drama,Mystery,Thriller",39,39
"James Mason,Shelley Winters,Sue Lyon","Drama,Romance",40,40
"Anne Chevalier,Matahi,Hitu","Drama,Romance,Adventure",41,41
"Elijah Wood,Rainn Wilson,Alison Pill","Action,Comedy,Horror",42,42
"Steve Wiebe,Billy Mitchell,Mark Alpiger","Documentary,Biography,Sport",43,43
"Dan Bustard,Ashley Esqueda,Andrew Monkelban",Documentary,44,44
"Thor Aackerlund,Pat Contri,Harry Hong",Documentary,45,45
"Bryan Armitage,Nathan Barnatt,Chris Connally","Documentary,Biography,Sport",46,46
"Skip Lipman,Kenyon Wells,Daniel McArthur","Documentary,Fantasy",47,47
"Chris Alcott,Pete Ashdown,Jean Baudin","Documentary,Biography,History",48,48
"Ralph H. Baer,Tim Balderamos,Greg Bond",Documentary,49,49
"Ross Partridge,Oona Laurence,Tom Bower",Drama,50,50
"Lorenza Izzo,Ariel Levy,Aaron Burns","Adventure,Horror",51,51
"Tom Hanks,Elizabeth Perkins,Robert Loggia","Comedy,Drama,Fantasy",52,52
"Angelina Jolie,Ethan Hawke,Kiefer Sutherland","Crime,Mystery,Thriller",53,53
"Winona Ryder,Angelina Jolie,Clea DuVall","Biography,Drama",54,54
"Jim Sturgess,Hugo Weaving,David Wenham","Animation,Adventure,Fantasy",55,55
"George Clooney,Meryl Streep,Bill Murray","Animation,Adventure,Comedy",56,56
"Sanaa Lathan,Michael Ealy,Morris Chestnut","Drama,Thriller",57,57
"Henry Cavill,Mickey Rourke,John Hurt","Classics,Action & Adventure",58,58
"Alexander Skarsgård,Andrea Riseborough,Emily Alyn Lind","Horror,Thriller",59,59
"Jesse Eisenberg,Kristen Stewart,Connie Britton","Action & Adventure,Comedy",60,60
"Zach Galligan,Phoebe Cates,John Glover","Comedy,Horror",61,61
"JoBeth Williams,Heather O'Rourke,Craig T. Nelson",Horror,62,62
"Bill Murray,Karen Allen,John Forsythe","Comedy,Drama,Fantasy",63,63
"Halle Berry,Sharon Stone,Benjamin Bratt",Action,64,64
"Joe Don Baker,Rossano Brazzi,Venantino Venantini","Action,Crime,Drama",65,65
"Carlos Leon,Eric Smith,Jackie Quinones",Drama,66,66
"Cicely Tyson,Paul Winfield,Kevin Hooks","Drama,Kids & Family,Classics",67,67
"Spencer Tracy,Freddie Bartholomew,Lionel Barrymore","Adventure,Drama,Family",68,68
"Bette Davis,Franchot Tone,Margaret Lindsay",Drama,69,69
"Bette Davis,Miriam Hopkins,Gig Young","Drama,Romance",70,70
"Arnold Schwarzenegger,Danny DeVito,Emma Thompson","Comedy,Romance,Sci-Fi",71,71
"Bette Davis,Susan Hayward,Mike Connors",Drama,72,72
"Betty Compson,Conrad Nagel,Robert Ames",Drama,73,73
"Walter Pidgeon,Ann Harding,Barry Sullivan","Crime,Drama,Film-Noir",74,74
"Dorothy Jordan,Eric Linden,Purnell Pratt",Thriller,75,75
"Jack Pearl,Jimmy Durante,Zasu Pitts",Comedy,76,76
"Bud Abbott,Lou Costello,Lee Bowman","Comedy,Musical",77,77
"Bud Abbott,Lou Costello,Peggy Ryan","Comedy,Music,Musical",78,78
"Bud Abbott,Lou Costello,Fred Clark",Comedy,79,79
"Margarita Fischer,James B. Lowe,Arthur Edmund Carewe","Drama,History",80,80
"Yul Brynner,George Chakiris,Shirley Anne Field","Adventure,Drama,History",81,81
"Yul Brynner,Richard Widmark,George Chakiris","Adventure,Romance,Drama",82,82
"Lesley-Anne Down,Frank Langella,Maurice Ronet","Adventure,Mystery,Thriller",83,83
"Christopher Reeve,Vanessa Redgrave,Jessica Tandy","Drama,Romance",84,84
"Paul Newman,Sally Field,Bob Balaban","Drama,Romance,Thriller",85,85
"Paul Newman,Melvyn Douglas,Patricia Neal",Drama,86,86
"Joel McCrea,Veronica Lake,Robert Warwick","Adventure,Comedy,Drama",87,87
"Gary Cooper,Madeleine Carroll,Paulette Goddard","Action,Adventure,Drama",88,88
"Errol Flynn,Miriam Hopkins,Randolph Scott","Action,Drama,History",89,89
"Spencer Tracy,Nancy Kelly,Richard Greene","Adventure,Drama,History",90,90
"Glenn Ford,Bette Davis,Hope Lange","Comedy,Drama",91,91
"Gary Cooper,Jean Arthur,George Bancroft","Comedy,Drama,Romance",92,92
"Jean Harlow,Loretta Young,Robert Williams","Comedy,Romance",93,93
"Barbara Stanwyck,David Manners,Sam Hardy","Drama,Romance",94,94
"Barbara Stanwyck,Regis Toomey,Zasu Pitts","Drama,Romance",95,95
"Barbara Stanwyck,George Brent,Donald Cook","Drama,Romance",96,96
"Virginia Davis,Joan Blondell,Anne Shirley","Crime,Drama,Romance",97,97
"Loretta Young,Franchot Tone,Ricardo Cortez","Crime,Drama,Romance",98,98
"Loretta Young,Richard Barthelmess,Aline MacMahon","Drama,War",99,99
"William Powell,Mary Astor,Eugene Pallette",Mystery,100,100
"William Powell,Myrna Loy,Virginia Grey","Comedy,Mystery,Drama",101,101
"William Powell,Myrna Loy,Gail Patrick","Comedy,Romance",102,102
"William Powell,Myrna Loy,Una Merkel","Drama,Mystery,Romance",103,103
"William Powell,Myrna Loy,Barry Nelson","Comedy,Romance,Drama",104,104
"Catherine Mary Stewart,George Gilmour,Grace Kennedy","Comedy,Fantasy,Music",105,105
"Jeff Dunham,Joe Pingue,Rob Tinkler","Animation,Adventure,Comedy",106,106
"Mel Gibson,Danny Glover,Joe Pesci","Action,Crime,Thriller",107,107
"Terence Stamp,Peter Fonda,Lesley Ann Warren","Crime,Drama,Mystery",108,108
"Linda Fiorentino,Peter Berg,Bill Pullman","Crime,Drama,Thriller",109,109
"Gabriel Byrne,Albert Finney,John Turturro","Crime,Drama,Thriller",110,110
"Robin Williams,Marcia Gay Harden,Christopher McDonald","Comedy,Family,Sci-Fi",111,111
"Bette Davis,Paul Henreid,Claude Rains","Drama,Romance",112,112
"James Stewart,Lee Remick,Ben Gazzara","Crime,Drama,Mystery",113,113
"Priscilla C. Shirer,T.C. Stallings,Karen Abercrombie",Drama,114,114
"Christopher Lambert,Adrian Paul,Bruce Payne","Action,Adventure,Fantasy",115,115
"Henry Fonda,Jane Darwell,John Carradine",Drama,116,116
"Charlton Heston,Jack Hawkins,Stephen Boyd","Adventure,Drama,History",117,117
"Charlton Heston,Roddy McDowall,Kim Hunter","Adventure,Sci-Fi",118,118
"Charlton Heston,Anthony Zerbe,Rosalind Cash","Action,Sci-Fi",119,119
"Bruce Dern,Cliff Potts,Ron Rifkin","Drama,Sci-Fi",120,120
"Matthew Broderick,Ally Sheedy,John Wood","Sci-Fi,Thriller",121,121
"Jane Levy,Shiloh Fernandez,Jessica Lucas",Horror,122,122
"Tobin Bell,Shawnee Smith,Angus Macfadyen","Horror,Mystery",123,123
"Mary Elizabeth Winstead,Ryan Merriman,Kris Lemche","Horror,Thriller",124,124
"Nick Zano,Krista Allen,Andrew Fiscella","Horror,Thriller",125,125
"James Karen,Thom Mathews,Michael Kenworthy","Comedy,Horror",126,126
"Jason Lively,Tom Atkins,Steve Marshall","Comedy,Horror,Sci-Fi",127,127
"Jeffrey Combs,Barbara Crampton,Ted Sorel","Comedy,Horror,Sci-Fi",128,128
"Catherine Parker,Courtney Bell,Dave Levine","Drama,Horror,Mystery",129,129
"Christian Bale,Tom Hardy,Anne Hathaway","Action,Thriller",130,130
"Kyle MacLachlan,Virginia Madsen,Francesca Annis","Action,Adventure,Sci-Fi",131,131
"Aaron Eckhart,Michelle Rodriguez,Bridget Moynahan","Action,Sci-Fi",132,132
"Jacqui Holland,Olivia Bellafontaine,Breanne Benson",Crime,133,133
"Laurence Fishburne,Chris Rock,David Hyde Pierce","Animation,Action,Adventure",134,134
"Laurence Olivier,Harry Hamlin,Claire Bloom","Adventure,Family,Fantasy",135,135
"Ingrid Pitt,Pippa Steel,Madeline Smith",Horror,136,136
"Peter Cushing,Christopher Lee,Yvonne Furneaux","Adventure,Horror",137,137
"Bela Lugosi,Helen Chandler,David Manners",Horror,138,138
"Fay Wray,Robert Armstrong,Bruce Cabot","Adventure,Fantasy",139,139
"Morgan Spurlock,Daryl Isaacs,Chemeeka Walker","Documentary,Comedy,Drama",140,140
"Mia Wasikowska,Johnny Depp,Helena Bonham Carter","Adventure,Family,Fantasy",141,141
"Daniel Radcliffe,Emma Watson,Rupert Grint","Adventure,Family,Fantasy",142,142
"Mike Myers,Eddie Murphy,Cameron Diaz","Animation,Adventure,Comedy",143,143
"Matthew Broderick,Jeremy Irons,James Earl Jones","Animation,Adventure,Drama",144,144
"Paige O'Hara,Robby Benson,Jesse Corti","Animation,Family,Fantasy",145,145
"Tony Goldwyn,Minnie Driver,Brian Blessed","Animation,Adventure,Family",146,146
"David Spade,John Goodman,Eartha Kitt","Animation,Adventure,Comedy",147,147
"Joaquin Phoenix,Jeremy Suarez,Rick Moranis","Animation,Adventure,Family",148,148
"Kevin Kline,Kenneth Branagh,Rosie Perez","Animation,Adventure,Comedy",149,149
"Will Smith,Robert De Niro,Renée Zellweger","Animation,Adventure,Comedy",150,150
"Elijah Wood,Brittany Murphy,Hugh Jackman","Animation,Comedy,Family",151,151
"Johnny Depp,Isla Fisher,Timothy Olyphant","Animation,Adventure,Comedy",152,152
"Anna Faris,Bill Hader,Bruce Campbell","Animation,Comedy,Family",153,153
"Ben Stiller,Chris Rock,David Schwimmer","Animation,Action,Adventure",154,154
"Natalie Wood,George Chakiris,Richard Beymer","Crime,Drama,Musical",155,155
"Jill Clayburgh,Alan Bates,Michael Murphy","Comedy,Drama,Romance",156,156
"Burt Reynolds,Jill Clayburgh,Candice Bergen","Comedy,Romance",157,157
"Burt Reynolds,Kris Kristofferson,Jill Clayburgh","Comedy,Romance,Sport",158,158
"Burt Reynolds,Eddie Albert,Ed Lauter","Comedy,Crime,Drama",159,159
"Warren Beatty,James Mason,Julie Christie","Romance,Sports & Fitness,Science Fiction & Fantasy,Comedy",160,160
"Warren Beatty,Annette Bening,Harvey Keitel",Drama,161,161
"Jack Nicholson,Danny DeVito,Armand Assante","Biography,Crime,Drama",162,162
"Jack Nicholson,Benicio Del Toro,Patricia Clarkson","Crime,Drama,Mystery",163,163
"Steve Martin,Diane Keaton,Martin Short",Comedy,164,164
"Steve Martin,Victoria Tennant,Richard E. Grant","Comedy,Drama,Fantasy",165,165
"Steve Martin,Charles Grodin,Judith Ivey",Comedy,166,166
"Steve Martin,Bernadette Peters,Jessica Harper","Drama,Musical,Romance",167,167
"Bing Crosby,Madge Evans,Edith Fellows","Drama,Musical & Performing Arts,Classics,Comedy",168,168
"Marlene Dietrich,Randolph Scott,John Wayne","Drama,Western",169,169
"Claire Trevor,John Wayne,George Sanders","Adventure,History,Western",170,170
"John Wayne,Lauren Bacall,Paul Fix","Action,Adventure",171,171
"John Wayne,Susan Hayward,Dennis O'Keefe","Drama,Romance,War",172,172
"Robert Montgomery,John Wayne,Donna Reed","Drama,War",173,173
"John Wayne,Henry Fonda,Shirley Temple","Western,Classics",174,174
"John Wayne,Lauren Bacall,Ron Howard","Drama,Western",175,175
"John Wayne,Dean Martin,Martha Hyer",Western,176,176
"John Wayne,Stewart Granger,Ernie Kovacs","Comedy,Western",177,177
"John Wayne,Lee Marvin,Elizabeth Allen","Adventure,Comedy,Romance",178,178
"John Wayne,Elsa Martinelli,Hardy Krüger","Action,Adventure,Drama",179,179
"Jim Sturgess,Ed Harris,Colin Farrell","Adventure,Drama,History",180,180
"Erin Kelly,Diane Gaidry,Laura Breckenridge","Drama,Romance",181,181
"Laurel Holloman,Nicole Ari Parker,Maggie Moore","Comedy,Drama,Romance",182,182
"John Goodman,Jim Broadbent,Mark Williams","Science Fiction & Fantasy,Kids & Family",183,183
"Robert Redford,Nick Nolte,Emma Thompson","Adventure,Comedy,Drama",184,184
"Val Lauren,Christian Patrick,James Franco",Drama,185,185
"Madonna,Griffin Dunne,Haviland Morris","Comedy,Music,Romance",186,186
"Rosanna Arquette,Madonna,Aidan Quinn","Comedy,Drama",187,187
"Michael Abruscato,Katy Baker,Sam Bologna",Drama,188,188
"Frank Sinatra,Dean Martin,Shirley MacLaine","Drama,Romance",189,189
"Gerard Butler,Tom Wilkinson,Idris Elba","Action,Crime,Thriller",190,190
"Brian O'Halloran,Bryan Johnson,Jerry Lewkowitz","Crime,Drama,Thriller",191,191
"Marc Bernardin,Ming Chen,Matt Cohen","Animation,Comedy",192,192
"Jason Mewes,Kevin Smith,Ben Affleck",Comedy,193,193
"Ben Affleck,Liv Tyler,Raquel Castro","Comedy,Drama,Romance",194,194
"Bruce Willis,Tracy Morgan,Juan Carlos Hernández","Action,Comedy,Crime",195,195
"Sean Morelli,Ryan Allen,Alex Alzona","Comedy,Crime,Drama",196,196
"Victoria Justice,Pierson Fode,Matthew Daddario","Comedy,Drama,Romance",197,197
"Jackie Chan,Kristine DeBell,José Ferrer","Action,Comedy,Crime",198,198
"Sean Penn,Reni Santoni,Jim Moody","Crime,Drama,Thriller",199,199
"Tom Cruise,Lea Thompson,Craig T. Nelson","Drama,Romance,Sport",200,200
"Tom Cruise,Nicole Kidman,Thomas Gibson","Adventure,Drama,Romance",201,201
"Jason Patric,Corey Haim,Dianne Wiest","Comedy,Horror",202,202
"Julia Roberts,Patrick Bergin,Kevin Anderson","Crime,Drama,Thriller",203,203
"Julia Roberts,Javier Bardem,Richard Jenkins","Drama,Romance",204,204
"Tom Hanks,Julia Roberts,Sarah Mahoney","Comedy,Drama,Romance",205,205
"Julia Roberts,Clive Owen,Tom Wilkinson","Crime,Romance,Thriller",206,206
"Clive Owen,Naomi Watts,Armin Mueller-Stahl","Action,Crime,Drama",207,207
"Denzel Washington,Clive Owen,Jodie Foster","Crime,Drama,Mystery",208,208
"Robert Duvall,Karen Black,Joe Don Baker","Crime,Thriller,Drama",209,209
"Walter Matthau,Joe Don Baker,Felicia Farr","Action,Crime,Drama",210,210
"Walter Matthau,Glenda Jackson,Sam Waterston","Adventure,Comedy",211,211
"Denzel Washington,Christopher Walken,Dakota Fanning","Action,Crime,Drama",212,212
"Anthony Quinn,Yaphet Kotto,Anthony Franciosa","Action,Crime,Drama",213,213
"Denzel Washington,Chris Pine,Rosario Dawson","Action,Thriller",214,214
"Hugh Jackman,Jake Gyllenhaal,Viola Davis","Crime,Drama,Mystery",215,215
"Sean Gullette,Mark Margolis,Ben Shenkman","Drama,Thriller",216,216
"Amy Schumer,Bill Hader,Brie Larson","Comedy,Romance",217,217
"Lee Marvin,Jeanne Moreau,Jack Palance",Western,218,218
"Warren Oates,Isela Vega,Robert Webber","Action,Crime,Drama",219,219
"Warren Oates,Richard B. Shull,Harry Dean Stanton",Drama,220,220
"Richard Coogan,Rosemary Pettit,Frank Albertson","Crime,Mystery",221,221
"Steve McQueen,Jackie Gleason,Tuesday Weld","Comedy,Drama",222,222
"Steve McQueen,Ann-Margret,Edward G. Robinson",Drama,223,223
"Steve McQueen,Siegfried Rauch,Elga Andersen","Action,Adventure,Drama",224,224
"James Garner,Eva Marie Saint,Yves Montand","Drama,Sport",225,225
"Burt Lancaster,Paul Scofield,Jeanne Moreau","Thriller,War,Action",226,226
"Burt Lancaster,Dina Merrill,Edward Andrews","Drama,Classics",227,227
"Burt Lancaster,Shelley Winters,Telly Savalas","Comedy,Western",228,228
"Burt Lancaster,Bruce Davison,Jorge Luke","Adventure,Western",229,229
"Randolph Scott,Donna Reed,Claude Jarman Jr.",Western,230,230
"Randolph Scott,Lex Barker,Phyllis Kirk","Romance,War,Western",231,231
"Greer Garson,Gregory Peck,Donald Crisp",Drama,232,232
"Faye Dunaway,Diana Scarwid,Steve Forrest","Biography,Drama",233,233
"Joan Crawford,Diane Baker,Leif Erickson","Drama,Horror,Thriller",234,234
"Douglas Fairbanks Jr.,Jobyna Ralston,Mildred Harris",Drama,235,235
"Thomas Meighan,Evelyn Brent,Renée Adorée",Drama,236,236
"Mark Ruffalo,Zoe Saldana,Imogene Wolodarsky","Comedy,Drama",237,237
"Miles Teller,Kate Mara,Michael B. Jordan","Action,Adventure,Sci-Fi",238,238
"Danny Huston,Peter Weller,James Merendino",Drama,239,239
"Jeremy Davies,Alberta Watson,Elizabeth Newett","Comedy,Drama",240,240
"Ben Affleck,Rebecca Hall,Jon Hamm","Crime,Drama,Thriller",241,241
"Ben Stiller,Michelle Monaghan,Malin Akerman","Comedy,Romance",242,242
"Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl","Crime,Thriller",243,243
"Mel Gibson,Joaquin Phoenix,Rory Culkin","Drama,Sci-Fi,Thriller",244,244
"George Clooney,Jennifer Lopez,Ving Rhames","Comedy,Crime,Romance",245,245
"Mel Gibson,Jodie Foster,James Garner","Action,Adventure,Comedy",246,246
"James Franco,Amber Tamblyn,Kate Mara","Adventure,Biography,Drama",247,247
"John Savage,David Morse,Diana Scarwid",Drama,248,248
"Matt Damon,Greg Kinnear,Eva Mendes",Comedy,249,249
"Matt Damon,Gwyneth Paltrow,Jude Law","Crime,Drama,Thriller",250,250
"Daniel Day-Lewis,Marion Cotillard,Penélope Cruz","Drama,Musical,Romance",251,251
"Christopher Lee,Richard Greene,Howard Marion-Crawford","Adventure,Crime",252,252
"Henry Brandon,William Royle,Robert Kellard","Action,Adventure",253,253
"George Wallace,Aline Towne,Roy Barcroft","Action,Sci-Fi",254,254
"Marguerite Chapman,Douglas Kennedy,James Griffith",Sci-Fi,255,255
"Sylvester Stallone,Arnold Schwarzenegger,50 Cent","Action,Mystery,Thriller",256,256
"Sylvester Stallone,Julie Benz,Matthew Marsden","Action,Thriller,War",257,257
"Sylvester Stallone,Brian Dennehy,Richard Crenna","Action,Thriller",258,258
"Sylvester Stallone,Harvey Keitel,Ray Liotta","Crime,Drama,Thriller",259,259
"Susan Sarandon,Winona Ryder,Kirsten Dunst","Drama,Romance",260,260
"Tom Benedict Knight,Amanda Fernando Stevens,Robert Ashby",Documentary,261,261
"Daniel Day-Lewis,Juliette Binoche,Lena Olin","Drama,Romance",262,262
"Jessica Chastain,Joel Edgerton,Chris Pratt","Drama,History,Thriller",263,263
"James Franco,Josh Peck,Jason Ritter","Fantasy,Horror,Sci-Fi",264,264
"Mischa Barton,Dave Bautista,Andy Dick","Comedy,Crime,Fantasy",265,265
"Michael Glauser,Brittany Armstrong,Jonathan Cronin",Family,266,266
"Hugh Jackman,Russell Crowe,Anne Hathaway","Drama,Musical,Romance",267,267
"Mike Vogel,Jessica Lucas,Lizzy Caplan","Adventure,Horror,Sci-Fi",268,268
"Daniel Day-Lewis,Harry Dean Stanton,Kent Broadhurst",Comedy,269,269
"Wallace Beery,Barbara Bedford,Alan Roscoe","Adventure,Drama",270,270
"Harry Carey,Edwina Booth,Duncan Renaldo","Adventure,Romance",271,271
"Randolph Scott,Binnie Barnes,Henry Wilcoxon","Adventure,Drama,History",272,272
"Fran Kranz,Pedro Pascal,Joey Kern","Comedy,Horror",273,273
"Edward G. Robinson,Humphrey Bogart,Ann Sothern","Comedy,Crime,Drama",274,274
"Edna Murphy,Harold Miller,Whitehorse",,275,275
"Jon Hall,Michael O'Shea,Evelyn Ankers","Action,Adventure,Romance",276,276
"Juliana Harkavy,Joshua Mikel,J. LaRose","Horror,Thriller",277,277
"Camilla Belle,Elisha Cuthbert,Edie Falco","Drama,Thriller",278,278
"Ellen Burstyn,Kris Kristofferson,Mia Bendixsen","Drama,Romance",279,279
"Tenzin Thuthob Tsarong,Gyurme Tethong,Tulku Jamyang Kunga Tenzin","Biography,Drama,History",280,280
"Willem Dafoe,Harvey Keitel,Barbara Hershey",Drama,281,281
"Nicolas Cage,Patricia Arquette,John Goodman","Drama,Thriller",282,282
"Robert De Niro,Jerry Lewis,Diahnne Abbott","Comedy,Drama",283,283
"Liza Minnelli,Robert De Niro,Lionel Stander","Drama,Music,Musical",284,284
"Scoot McNairy,Sara Simmonds,Brian McGuire","Comedy,Romance",285,285
"Glenn Close,John Malkovich,Michelle Pfeiffer","Drama,Romance",286,286
"Griffin Dunne,Rosanna Arquette,Verna Bloom","Comedy,Crime,Drama",287,287
"Wil Wheaton,River Phoenix,Corey Feldman","Adventure,Drama",288,288
"Leonardo DiCaprio,Russell Crowe,Mark Strong","Action,Drama,Thriller",289,289
"Angelina Jolie,James McAvoy,Morgan Freeman","Action,Crime,Fantasy",290,290
"Ray Winstone,Crispin Glover,Angelina Jolie","Animation,Action,Adventure",291,291
"Leonardo DiCaprio,Jeremy Irons,John Malkovich","Action,Adventure",292,292
"David Duchovny,Sigourney Weaver,Ioan Gruffudd","Comedy,Drama",293,293
"Kurt Russell,Zoë Bell,Rosario Dawson",Thriller,294,294
"Mickey Rourke,Clive Owen,Bruce Willis","Crime,Thriller",295,295
"Bruce Willis,Haley Joel Osment,Toni Collette","Drama,Mystery,Thriller",296,296
"Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio","Action,Adventure,Drama",297,297
"Mandy Moore,Shane West,Peter Coyote","Drama,Romance",298,298
"Katherine Heigl,Gerard Butler,Bree Turner","Comedy,Romance",299,299
"Katherine Heigl,James Marsden,Malin Akerman","Comedy,Romance",300,300
"Amanda Bynes,Sara Paxton,Matt Long","Comedy,Romance",301,301
"Matthew McConaughey,Jennifer Garner,Emma Stone","Comedy,Fantasy,Romance",302,302
"Julia Roberts,Jamie Foxx,Anne Hathaway","Comedy,Romance",303,303
"Ryan Reynolds,Rachel Weisz,Abigail Breslin","Comedy,Drama,Romance",304,304
"Marilyn Monroe,Tony Curtis,Jack Lemmon",Comedy,305,305
"Gene Kelly,Donald O'Connor,Debbie Reynolds","Comedy,Musical,Romance",306,306
"Bruce Willis,Jeremy Irons,Samuel L. Jackson","Action,Adventure,Thriller",307,307
"Bruce Willis,Jai Courtney,Sebastian Koch","Action,Crime,Thriller",308,308
"Dennis Quaid,Channing Tatum,Marlon Wayans","Action,Adventure,Sci-Fi",309,309
"Shia LaBeouf,Megan Fox,Josh Duhamel","Action,Adventure,Sci-Fi",310,310
"Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard","Drama,Action & Adventure,Science Fiction & Fantasy",311,311
"Chris Evans,Samuel L. Jackson,Scarlett Johansson","Action,Adventure,Sci-Fi",312,312
"Andrew Garfield,Emma Stone,Jamie Foxx","Action,Adventure,Fantasy",313,313
"Maika Monroe,Liam Hemsworth,Joey King","Action,Adventure,Sci-Fi",314,314
"Richard Gere,Winona Ryder,Anthony LaPaglia",Drama,315,315
"Casper Van Dien,Victoria Pratt,Eddie Jemison","Horror,Sci-Fi",316,316
"Richard Gere,Jennifer Lopez,Susan Sarandon","Comedy,Drama,Romance",317,317
"Matt Mitler,Ruth Martinez,Bill Hitchcock",Horror,318,318
"Laurie Lapinski,Stephen Sachs,David Snow",Horror,319,319
"Ben Johnson,Jamie Lee Curtis,Hart Bochner","Horror,Thriller",320,320
"Lilyan Chauvin,Gilmer McCormick,Toni Nero","Horror,Thriller",321,321
"Christopher George,Lynda Day George,Frank Braña","Horror,Mystery,Thriller",322,322
"Richard Gere,Kim Basinger,Uma Thurman","Drama,Romance,Thriller",323,323
"Diane Lane,Richard Gere,Christopher Meloni","Drama,Romance",324,324
"Danny DeVito,Billy Crystal,Kim Greist","Comedy,Crime,Thriller",325,325
"Meryl Streep,Bruce Willis,Goldie Hawn","Comedy,Fantasy",326,326
"Jeff Bridges,Caroline Goodall,John Savage","Adventure,Drama",327,327
Encke King,"Documentary,History",328,328
"Demi Moore,Viggo Mortensen,Anne Bancroft","Action,Drama",329,329
"Tom Cruise,Mia Sara,Tim Curry","Adventure,Fantasy,Romance",330,330
"Susan Sarandon,Geena Davis,Harvey Keitel","Adventure,Crime,Drama",331,331
"Tom Berenger,Mimi Rogers,Lorraine Bracco","Crime,Drama,Romance",332,332
"Demi Moore,Alec Baldwin,Joseph Gordon-Levitt","Drama,Thriller",333,333
"Robert Redford,Michelle Pfeiffer,Stockard Channing","Drama,Romance",334,334
"Michael Douglas,Kiefer Sutherland,Kim Basinger","Action,Crime,Thriller",335,335
"Liv Tyler,Matt Dillon,Mary Jo Smith","Comedy,Crime",336,336
"Paul Giamatti,George Clooney,Philip Seymour Hoffman",Drama,337,337
Robert Redford,"Action,Adventure,Drama",338,338
"John Beard,Tim Belden,Barbara Boxer",Documentary,339,339
"Arye Gross,Jonathan Stark,Royal Dano","Comedy,Fantasy,Horror",340,340
"Miguel Ferrer,Julie Entwisle,Dan Monahan","Fantasy,Horror,Mystery",341,341
"Robert Englund,Ted Levine,Daniel Matmor","Horror,Mystery",342,342
"Mira Sorvino,Jeremy Northam,Alexander Goodwin","Horror,Sci-Fi",343,343
