MeasureName,Sample,original_index,unique_index,count
pneumonia patients assessed and given influenza vaccination,63 patients,110,103,1
surgery patiexts who were takixg heart drugs called beta blockers before comixg to the hospital who were kept ox the beta blockers durixg the period just before axd after their surgery,11 patients,111,104,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,101 patients,112,105,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,101 patients,113,106,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),100 patients,114,107,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patixnts,115,108,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),123 patients,116,109,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,77 patients,117,110,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,76 patients,118,65,2
heart attack patients given aspirin at arrivax,1 patients,119,111,1
heart attack patients given aspirin at discharge,1 patients,120,112,4
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0 patients,121,92,6
heart attack patients given smoking cessation advice/counseling,0 patients,122,46,14
heart attack patients given beta blocker at discharge,1 patients,123,113,2
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,124,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,125,14,23
heart failure patients given discharge instructions,26 patients,126,114,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,39 patients,127,115,2
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),8 patients,128,116,1
heart failure patients given smoking cessation advice/counseling,5 patients,129,117,1
pneumonia patients assessed and given pneumococcal vaccination,16 patients,130,118,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,15 patients,131,119,1
pneumonia patients given smoking cessation advice/counseling,9 patients,132,120,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,21 pxtients,133,121,1
pneumonia patients given the most appropriate initial antibiotic(s),21 patients,134,122,1
pneumonia patients assessed and given influenza vaccination,15 patients,135,123,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,1 patients,136,124,2
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,2 patients,137,125,2
surgery patients who were given the  right kind  of antibiotic to help prevent infection,2 patients,138,126,2
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),2 patients,139,127,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,140,62,18
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),4 patients,141,128,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,4 patients,142,129,2
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,4 patients,143,130,2
heart attack patients given aspirin at arrival,6 patients,144,131,1
heart attaxk patients given aspirin at disxharge,1 patients,145,132,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),1 patients,146,133,8
heart attack patients given smoking cessation advice/counseling,2 patients,147,134,2
heart attack patients given beta blocker at discharge,3 patients,148,135,4
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,149,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,150,14,23
heart failure patients given discharge instructions,35 patients,151,136,2
heart failure patients given an evaluation of left ventricular systolic (lvs) function,42 patients,152,137,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),10 patients,153,138,2
heart failure patients given smoking cessation advice/counseling,12 patients,154,139,2
pneumonia patients assessed and given pneumococcal vaccination,44 patients,155,140,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,30 patients,156,141,1
pneumonia patients given smoking cessation advice/counseling,25 patients,157,142,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,51 patients,158,143,1
pneumonia patients given the most appropriate initial antibiotic(s),45 patients,159,144,1
pneumonia patients assessed and given influenza vaccination,30 patients,160,145,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,3 patients,161,146,3
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,6 patients,162,147,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,7 patients,163,148,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),5 patients,164,149,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,165,62,18
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),xx patients,166,150,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,9 patients,167,151,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,9 patients,168,152,1
heart attack patients given aspirin at arrival,8 patients,169,153,2
heart attack patients given aspirin at discharge,6xpatients,170,154,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),2 patients,171,45,4
heart attack patients given smoking cessation advice/counseling,2 patients,172,134,2
heart attack patients given beta blocker at discharge,6 patients,173,155,3
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,174,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,175,14,23
heart failure patients given discharge instructions,55 patients,176,156,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,80 patients,177,157,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),27 patients,178,158,1
heart failure patients given smoking cessation advice/counseling,10 patients,179,159,2
pneumonia patients assessed and given pneumococcal vaccination,128 patients,180,160,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,115 patients,181,161,1
pneumonia patients given smoking cessation advice/counseling,65 patients,182,78,2
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,158 patients,183,162,1
pneumonia patients given the most appropriate initial antibiotic(s),133 patients,184,163,1
pneumonia patients assessed and given influenza vaccination,101 patients,185,164,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,14 patients,186,58,2
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,66 patients,187,165,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,64 patients,188,166,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),63 patients,189,167,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,190,62,18
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),155 patients,191,168,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,56 patients,192,169,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,56 patients,193,170,1
heart attack patients given aspirin at arrival,240 patients,194,171,1
heart attack patients given aspirin at discharge,295 patients,195,172,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),70 patients,196,173,1
heart attack patients given smoking cessation advice/counseling,131 patients,197,174,1
heart attack patients given beta blocker at discharge,288 patients,198,175,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,199,13,28
heart attack patients given pci within 90 minutes of arrival,48 patients,200,176,1
heart failure patients given discharge instructions,316 patients,201,177,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,372 patients,202,178,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),130 patients,203,179,1
heart failure patients given smoking cessation advice/counseling,69 patients,204,180,1
pneumonia patients assessed and given pneumococcal vaccination,125 patients,205,181,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,131 patients,206,182,1
pneumonia patients given smoking cessation advice/counseling,69 patients,207,183,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,135 patients,208,184,1
pneumonia patients given the most appropriate initial antibiotic(s),112 patients,209,185,2
pneumoniaxpatientsxassessedxandxgivenxinfluenzaxvaccination,89 patients,210,186,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,125 patients,211,187,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,461 patients,212,188,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,473 patients,213,189,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),442 patients,214,190,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,127 patients,215,191,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),601 patients,216,192,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,229 patients,217,193,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,224 patients,218,194,2
heartxattackxpatientsxgivenxaspirinxatxarrival,46 patients,219,195,1
heart attack patients given aspirin at discharge,39 patients,220,196,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),11 patients,221,197,1
heart attack patients given smoking cessation advice/counseling,14 patients,222,198,1
heart attack patients given beta blocker at discharge,41 patients,223,199,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,1 patiexts,224,200,1
heart attack patients given pci within 90 minutes of arrival,5 patients,225,201,1
heart failure patients given discharge instructions,76 patients,226,202,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,94 patients,227,203,2
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),36 patients,228,204,1
heart failure patients given smoking cessation advice/counseling,15 patients,229,205,3
pneumonia patients assessed and given pneumococcal vaccination,69 patients,230,206,2
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,91 patients,231,207,1
pneumonia patients given smoking cessation advice/counseling,37 patients,232,208,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,88 patients,233,209,1
pneumonia patients given the most appropriate initial antibiotic(s),82 patientx,234,210,1
pneumonia patients assessed and given influenza vaccination,56 patients,235,211,2
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,16 patients,236,212,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,139 patients,237,213,2
surgery patients who were given the  right kind  of antibiotic to help prevent infection,147 patients,238,214,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),136 patients,239,215,2
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,240,62,18
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),179 patients,241,216,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,90 patients,242,217,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,90 patients,243,218,1
heart attack patients given aspirin at arrival,0 patients,244,219,2
heart attack patients given aspirin at discharge,0 patients,245,220,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),0 patients,246,92,6
heart attack patients given smoking cessation advice/counseling,0 patients,247,46,14
heart attack patients given beta blocker at discharge,0 patients,248,221,2
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,249,13,28
heart attack patients given pci within 90 minutes of arrival,0 patients,250,14,23
heart failure patients given discharge instructions,79 patients,251,222,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,91 patients,252,223,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),25 patients,253,224,1
heart failure patients given smoking cessation advice/counseling,17 patients,254,225,1
pneumonia patients assessed and given pneumococcal vaccination,25 patients,255,226,1
pneumonxa patxents whose inxtxal emergency room blood culture was performed prxor to the admxnxstratxon of the fxrst hospxtal dose of antxbxotxcs,24 patients,256,227,1
pneumonia patients given smoking cessation advice/counseling,6 patients,257,228,2
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,24 patients,258,229,1
pneumonia patients given the most appropriate initial antibiotic(s),26 patients,259,230,1
pneumonia patients assessed and given influenza vaccination,24 patients,260,231,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,261,232,5
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,14 patients,262,233,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,14 patients,263,234,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),14 patients,264,235,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,265,62,18
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),15 patients,266,236,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,10 patients,267,237,1
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,10 patients,268,238,1
heart attack patients given aspirin at arrival,179 patients,269,239,1
heart attack patients given aspirin at discharge,208 patients,270,240,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),30 patients,271,241,1
heart attack patients given smoking cessation advice/counseling,98 patients,272,242,1
heart attack patients given beta blocker at discharge,169 patients,273,243,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,0 patients,274,13,28
heart attack patients given pci within 90 minutes of arrival,36 patients,275,244,1
heart failure patients given discharge instructions,210 patients,276,245,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,246 patients,277,246,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),71 patients,278,247,1
heart failure patients given smoking cessation advice/counseling,48 patients,279,248,1
pneumonia patients assessed and given pneumococcal vaccination,235 patients,280,249,1
pnxumonia patixnts whosx initial emxrgxncy room blood culturx was pxrformxd prior to thx administration of thx first hospital dosx of antibiotics,110 patients,281,250,1
pneumonia patients given smoking cessation advice/counseling,131 patients,282,251,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,239 patients,283,252,1
pneumonia patients given the most appropriate initial antibiotic(s),116 patients,284,253,1
pneumonia patients assessed and given influenza vaccination,199 patients,285,254,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,96 patients,286,255,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,368 patients,287,256,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,370 patients,288,257,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),331 patients,289,258,1
all heart surgerx patients whose blood sugar (blood glucose) is kept under good control in the daxs right after surgerx,116 patients,290,259,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),588 patients,291,260,1
surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,226 patients,292,261,2
patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,225 patients,293,262,1
heart attack patients given aspirin at arrival,empty,294,263,3
heart attack patients given aspirin at discharge,empty,295,264,3
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,296,265,2
heart attack patients given smoking cessation advice/counseling,empty,297,266,2
heart attack patients given beta blocker at discharge,empty,298,267,2
heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,299,268,2
heart attack patients given pci within 90 minutes of arrival,empty,300,269,2
heart failure patients given discharge instructions,empty,301,270,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,empty,302,271,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),empty,303,272,1
heart failure patients given smoking cessation advice/counseling,empty,304,273,1
pneumonia patients assessed and given pneumococcal vaccination,empty,305,274,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,empty,306,275,1
pneumonia patients given smoking cessation advice/counseling,empty,307,276,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,empty,308,277,1
pneumonia patients given the most appropriate initial antibiotic(s),empty,309,278,1
pneumonia patients assessed and given influenza vaccination,empty,310,279,1
children who received systemic corticosteroid medication (oral and iv medication that reduces inflammation and controls symptoms) while hospitalized for asthma,9 patients,311,280,1
children and their caregivers who received a home management plan of care document while hospitalized for asthma,9 patients,312,281,1
heart attack patients given aspirin at arrival,81 patients,313,282,1
heart attack patients given aspirin at discharge,73 patients,314,283,1
heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),14 patients,315,284,1
heart attack patients given smoking cessation advice/counseling,29 xatients,316,285,1
heart attack patients given beta blocker at discharge,67 patients,317,286,1
heart attack patients given fibrinolytic medication within 30 minutes of arrival,1 patients,318,287,2
heart attack patients given pci within 90 minutes of arrival,15 patients,319,288,2
heart failure patients given discharge instructions,142 patients,320,289,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,157 patients,321,290,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),49 patients,322,291,1
heart failure patients given smoking cessation advice/counseling,41 patients,323,18,2
pneumonia patients assessed and given pneumococcal vaccination,110 patients,324,292,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,102 patients,325,293,1
pneumonia patients given smoking cessation advice/counseling,83 patients,326,294,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,145 patients,327,295,1
pneumonia patients given the most appropriate initial antibiotic(s),99 patients,328,296,1
pneumonia patients assessed and given influenza vaccination,87 patients,329,297,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,23 patients,330,298,1
heart failure patients given an evaluation of left ventricular systolic (lvs) function,342 patients,331,299,1
heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),94 patients,332,300,1
heart failure patients given smoking cessation advice/counseling,62 patients,333,301,1
pneumonia patients assessed and given pneumococcal vaccination,166 patients,334,302,1
pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,152 patients,335,303,1
pneumonia patients given smoking cessation advice/counseling,77 patients,336,304,1
pneumonia patients given initial antibiotic(s) within 6 hours after arrival,146 patients,337,305,1
pneumonia patients given the most appropriate initial antibiotic(s),112 patients,338,185,2
pneumonia patients assessed and given influenza vaccination,128 patients,339,306,1
surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,147 patients,340,307,1
surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,950 patients,341,308,1
surgery patients who were given the  right kind  of antibiotic to help prevent infection,957 patients,342,309,1
surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),882 patients,343,310,1
all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,165 patients,344,311,1
surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),1295 patients,345,312,1
surgery pxtients whose doctors ordered trextments to prevent blood clots xfter certxin types of surgeries,497 patients,346,313,1
