HospitalName,CountyName,original_index,unique_index
crenshaw community hospital,crenshaw,127,10
crenshaw community hospital,crenshaw,128,10
crenshaw community hospital,crenshaw,129,10
crenshaw community hospital,crenshaw,130,10
crenshaw cxmmunity hxspital,crenshaw,131,11
crenshaw community hospital,crenshaw,132,10
crenshaw community hospital,crenshaw,133,10
crenshaw community hospital,crenshaw,134,10
crenshaw community hospital,crenshaw,135,10
crenshaw community hospital,crxnshaw,136,12
crenshaw community hospital,crenshaw,137,10
crenshaw community hospital,crenshaw,138,10
crenshaw community hospital,crenshaw,139,10
crenshaw community hospital,crenshaw,140,10
crenshaw community hospital,crenshaw,141,10
crenshaw community hospital,crenshaw,142,10
crenshaw community hospital,crenshaw,143,10
hartselle medical center,morgan,144,13
hartselle medical center,morgan,145,13
hartselle medical center,morgan,146,13
hartselle medical center,morgan,147,13
hartselle medical center,morgan,148,13
hartselle medical center,morgan,149,13
hartselle medical center,morgan,150,13
hartselle medical center,morgan,151,13
hartselle medical center,morgan,152,13
hartselle medical center,morgan,153,13
hartselle medical center,morgan,154,13
hartselle medical center,morgan,155,13
hartselle medical center,morgan,156,13
hartselle medical center,morgan,157,13
hartselle medical center,morgan,158,13
hartselle medical center,morgan,159,13
hartselle medical center,morgan,160,13
hartselle medical center,morgan,161,13
hartselle medical center,morgan,162,13
hartselle medical center,morgan,163,13
hartselle medical center,morgan,164,13
hartselle medical center,morgan,165,13
hartselle medical center,morgan,166,13
hartselle medical center,morgan,167,13
hartselle medical center,morgan,168,13
marshall medical center north,marshall,169,14
marshall medical center north,marshall,170,14
marshall medical cenxer norxh,marshall,171,15
marshall medical center north,marshall,172,14
marshall medical center north,marshall,173,14
marshall medical center north,marshall,174,14
marshall medical center north,marshall,175,14
marshall medical center north,marshall,176,14
marshall medical center north,marshall,177,14
marshall medical center north,marshall,178,14
marshall medical center north,marshall,179,14
marshall medical center north,marshall,180,14
marshall medical center north,marshall,181,14
marshall medical center north,marshall,182,14
marshall medical center north,marshall,183,14
marshall medical center north,marshall,184,14
marshall medical center north,marshall,185,14
marshall medical center north,marshall,186,14
marshall medical center north,marshall,187,14
marshall medical center north,marshall,188,14
marshall medical center north,marshall,189,14
marshall medical center north,marshall,190,14
marshall medical center north,marshall,191,14
marshall medical center north,marshall,192,14
marshall medical center north,marshall,193,14
st vincents east,jefferson,194,16
st vincents east,jefferson,195,16
st vincents east,jefferson,196,16
st vincents east,jefferson,197,16
st vincents east,jefferson,198,16
st vincents east,jefferson,199,16
st vincents east,jefferson,200,16
st vincents east,jefferson,201,16
st vincents east,jefferson,202,16
st vincents east,jefferson,203,16
st vincents east,jefferson,204,16
st vincents east,jefferson,205,16
st vincents east,jefferson,206,16
st vincents east,jefferson,207,16
st vincents east,jefferson,208,16
st vincents east,jefferson,209,16
st vincents east,jefferson,210,16
st vincents east,jefferson,211,16
st vincents east,jefferson,212,16
st vincents east,jefferson,213,16
st vincents east,jefferson,214,16
st vincents east,jefferson,215,16
st vincents east,jeffersxn,216,17
st vincents east,jefferson,217,16
st vincents east,jefferson,218,16
dekalb regional medical center,de kalb,219,18
dekalb regional medical center,de kalb,220,18
dekalb regional medical center,dx kalb,221,19
dekalb regional medical center,de kalb,222,18
dekalb regional medical center,xe kalb,223,20
dekalb regional medical center,de kalb,224,18
dekalb regional medical center,de kalb,225,18
dekalb regional medical center,de kalb,226,18
dekalb regional medical center,dx kalb,227,19
dekalb regional medical center,de kalb,228,18
dekalb regional medical center,de kalb,229,18
dekalb regional medical center,de kalb,230,18
dekalb regional medical center,de kalb,231,18
dekalb regional medical center,de kalb,232,18
dekalb regional medical center,de kalb,233,18
dekalb regional medical center,de kalb,234,18
dekalb regional medical center,de kalb,235,18
dekalb regional medical center,de kalb,236,18
dekalb regional medical center,de kalb,237,18
dekalb regional medical center,xe kalb,238,20
dekalb regional medical center,de kalb,239,18
dekalb regional medical center,de kalb,240,18
dekalb regional medical center,de kalb,241,18
dekalb regional medical center,de kalb,242,18
dexalb regional medical center,de kalb,243,21
southwest alabama medical center,clarke,244,22
southwest alabama medical center,clarke,245,22
southwest alabama medical center,clarke,246,22
southwest alabama medical center,clarke,247,22
southwest alabama medical center,clarke,248,22
southwest alabama medical center,clarke,249,22
southwest alabama medical center,clarke,250,22
southwest alabama medical center,clarke,251,22
southwest alabama medical center,xlarke,252,23
southwest alabama medical center,clarke,253,22
southwest alabama medical center,clarke,254,22
southwest alabama medical center,clarke,255,22
southwest alabama medical center,clarke,256,22
southwest alabama medical center,clarke,257,22
southwest alabama medical center,clarke,258,22
southwest alabama medical center,clarke,259,22
southwest alabama medical center,clarke,260,22
southwest alabama medical center,clarke,261,22
southwest alabama medical center,clarke,262,22
southwest alabama medical center,clarke,263,22
southwest alabama medical center,clarke,264,22
southwest alabama medical center,clarke,265,22
southwest alabama medical center,clarke,266,22
southwest alabama medical center,clarke,267,22
southwest alabama medical center,clarke,268,22
shelby baptist medical center,shelby,269,24
shelby baptist medical center,shelby,270,24
shelby baptist medical center,shelby,271,24
shelby baptist medical center,shelby,272,24
shelby baptist medical center,shelby,273,24
shelby baptist medical center,shelby,274,24
shelby baptist medical center,shelby,275,24
shelby baptist medical center,shelby,276,24
shelby baptist medical center,shelby,277,24
shelby baptist medical center,shelby,278,24
shelby baptist medical center,shelby,279,24
shelby baptist medical center,shelby,280,24
shelby baptist medical center,shelby,281,24
shelby baptist medical center,shelby,282,24
shelby baptist medical center,shelby,283,24
shelby baptist medical center,shelby,284,24
shelby baptist medical center,shelby,285,24
shelby baptist medical center,shelby,286,24
shelby baptist medical center,shelby,287,24
shelby baptist medical center,shelby,288,24
shelby baptist medical center,shelby,289,24
shelby baptist medical center,shelby,290,24
shelby baptist medical center,shelby,291,24
shelby baptist medical center,shelby,292,24
shelby baptist medical center,shelby,293,24
callahan eye foundation hospital,jefferson,294,0
callahan eye foundation hospital,jefferson,295,0
callahan eye foundation hospital,jefferson,296,0
callahan eye foundation hospital,jefferson,297,0
callahan eye foundation hospital,jefferson,298,0
callahan eye foundation hospital,jefferson,299,0
callahan eye foundation hospital,jefferson,300,0
callahan eye foundation hospital,jefferson,301,0
callahan eye foundation hospital,jefferson,302,0
callahan eye foundation hospital,jefferson,303,0
callahan eye foundation hospital,jefferson,304,0
callahan eye foundation hospital,jefferson,305,0
callahan eye foundation hospital,jefferson,306,0
callahan eye foundation hospital,jefferson,307,0
callahan eye foundation hospital,jefferson,308,0
callahan eye foundation hospital,jefferson,309,0
callahan eye foundation hospital,jefferson,310,0
stringfellow memorial hospital,calhoun,311,25
stringfellow memorial hospital,calhoxn,312,26
stringfellow memorial hospital,calhoun,313,25
stringfellow memorial hospital,calhoun,314,25
stringfellow memorial hospital,calhoun,315,25
stringfellow memorial hospital,calhoun,316,25
stringfellow memorial hospital,calhoun,317,25
stringfellow memorial hospital,calhoun,318,25
stringfellow memorial hospital,calhoun,319,25
stringfellow memorial hospital,calhoun,320,25
stringfellow memorial hospital,calhoun,321,25
stringfellow memorial hospital,calhoun,322,25
stringfellow memorial hospital,calhoun,323,25
stringfellow memorial hospital,caxhoun,324,27
stringfellow memorial hospital,calhoun,325,25
stringfellow memorial hospital,calhoun,326,25
stringfellow memorial hospital,calhoun,327,25
stringfellow memorial hospital,calhoun,328,25
stringfellow memorial hospital,calhoun,329,25
stringfellow memorial hospital,calhoun,330,25
flowers hospital,houston,331,28
flowers hospital,houston,332,28
flowers hospital,houston,333,28
flowers hospital,houston,334,28
flowers hospital,houston,335,28
flowers hospital,houston,336,28
floxers hospital,houston,337,29
flowers hospital,houston,338,28
flowers hospital,houston,339,28
flowers hospital,houston,340,28
flowers hospital,houston,341,28
flowers hospital,houston,342,28
flowers hospital,houston,343,28
flowers hospital,houston,344,28
flowers hospital,houston,345,28
flowers hospital,housxon,346,30
flowers hospital,houston,347,28
st vincents hospital,jefferson,348,31
st vincents hospital,jefferson,349,31
st vincents hospital,jefferson,350,31
st vincents hospital,jefferson,351,31
st vincents hospital,jefferson,352,31
decatur general hospital,morgan,353,32
northwest medical center,marion,354,33
northwest medical center,marion,355,33
northwest medical center,marion,356,33
northwest medical center,marion,357,33
northwest medical center,marion,358,33
northwest medical center,marion,359,33
northwest medical center,marion,360,33
northwest medical center,marion,361,33
northwest medical center,marion,362,33
northwest medical center,marion,363,33
northwest medical center,marion,364,33
northwest medical center,marion,365,33
northwest medical center,marion,366,33
northwest medical center,marion,367,33
northwest medical center,marion,368,33
northwest medical center,marion,369,33
northwest medical center,marion,370,33
northwest medical center,marion,371,33
northwest medical center,marion,372,33
northwest medical center,marion,373,33
northwest medical center,marion,374,33
northwest medical center,marion,375,33
northwest medical center,marion,376,33
northwest medical center,marion,377,33
northwest medical center,marion,378,33
univ of south alabama medical center,mobile,379,34
univ of south alabama medical center,mobile,380,34
univ of south alabama medical center,mobile,381,34
univ of south alabama medical center,mobile,382,34
univ of south alabama medical center,mobile,383,34
univ ox south alabama medical center,mobile,384,35
xniv of soxth alabama medical center,mobile,385,36
univ of south alabama medical center,mobile,386,34
univ of south alabama medical center,mobile,387,34
univ of south alabama medical center,mobile,388,34
univ of south alabama medical center,mobile,389,34
univ of south alabama medical center,mobile,390,34
univ of south alabama medical center,mobile,391,34
prattville baptist hospital,autauga,392,37
prattville baptist hospital,autauga,393,37
prattville baptist hospital,autauga,394,37
prattville baptist hospital,autauga,395,37
prattville baptist hospital,autauga,396,37
prattville baptist hospital,autauga,397,37
prattville baptist hospital,autauga,398,37
prattville baptist hospital,autauga,399,37
prattville baptist hospital,autauga,400,37
prattville baptist hospital,autauga,401,37
prattville baptist hospital,autauga,402,37
prattville baptist hospital,autauga,403,37
prattville baptist hospital,autauga,404,37
prattville baptist hospital,autauga,405,37
prattville baptist hospital,autauga,406,37
prattville baptist hospital,autauga,407,37
prattville baptist hospital,autauga,408,37
prattville baptist hospital,autauga,409,37
prattville baptist hospital,autauga,410,37
prattville baptist hospital,autauga,411,37
russellville hospital,franklin,412,38
russellville hospital,franklin,413,38
coosa valley medical center,talladega,414,39
coosa valley medical center,tallaxega,415,40
coosa valley medical center,talladega,416,39
coosa valley medical center,talladega,417,39
coosa valley medical center,talladega,418,39
coosa valley medical center,talladega,419,39
coosa valley medical center,talladega,420,39
coosa valley medical center,talladega,421,39
coosa valley medical center,talladega,422,39
coosa valley medical center,talladega,423,39
coosa valley medical center,talladega,424,39
coosa valley medical center,talladega,425,39
coosa valley medical center,talladega,426,39
coosa valley medical center,talladega,427,39
coosa valley medical center,talladega,428,39
coosa valley medical center,talladega,429,39
coosa valley medical center,talladega,430,39
coosa valley medical center,talladega,431,39
alaska regional hospital,anchorage,432,41
alaska regional hospital,anchorage,433,41
alaska regional hospital,anchorage,434,41
alaska regional hospital,anchorage,435,41
alaska regional hospital,anchorage,436,41
alaska regional hospital,anchorage,437,41
alaska regional hospital,anchorage,438,41
alaska regional hospital,anchorage,439,41
alaska regional hospital,anchorage,440,41
alaska regional hospital,anchorage,441,41
alaska regional hospital,anchorage,442,41
alaska regional hospital,anchorage,443,41
alaska regional hospital,anchorage,444,41
alaska regional hospital,anchorage,445,41
alaska regional hospital,anchorage,446,41
alaska regional hospital,anchorage,447,41
xlxskx regionxl hospitxl,anchorage,448,42
alaska regional hospital,anchorage,449,41
yukon kuskokwim delta reg hospital,bethel,450,43
yukon kuskokwim delta reg hospital,bethel,451,43
helen keller memorial hospital,jefferson,452,1
helen keller memorial hospital,jefferson,453,1
helen keller memorial hospital,jefferson,454,1
helen keller memorial hospital,jefferson,455,1
helen keller memorial hospital,jxffxrson,456,44
helen keller memorial hospital,xefferson,457,45
helen keller memorial hospital,jefferson,458,1
helen keller memorial hospital,jefferson,459,1
helen keller memorial hospital,jefferson,460,1
helen keller memorial hospital,jefferson,461,1
helen keller memorial hospital,jefferson,462,1
helen keller memorial hospital,jefferson,463,1
helen keller memorial hospital,jefferson,464,1
helen keller memorial hospital,jexxerson,465,46
dale medical center,dale,466,47
dale medical center,dale,467,47
dale medical center,dale,468,47
dale medical center,dale,469,47
dale medical center,dale,470,47
dale medical center,dale,471,47
dale medical center,dale,472,47
dale medical center,dale,473,47
dale medical center,dale,474,47
dale medical center,dale,475,47
dale medical center,dale,476,47
dale medical center,dale,477,47
dale medical center,dale,478,47
dale medical center,dale,479,47
dale medical center,dale,480,47
dale medical center,dale,481,47
dale medical center,dale,482,47
dale medical center,dale,483,47
dale medical center,dale,484,47
dale medical center,dale,485,47
dale medical center,dale,486,47
dale medical center,dale,487,47
dale medical center,dale,488,47
dale medical center,dale,489,47
dale medical center,dale,490,47
cherokee medical center,cherokee,491,48
cherokee medical center,cherokee,492,48
cherokee medical center,cherokee,493,48
cherokee medical center,cherokee,494,48
cherokee medical center,cherokee,495,48
cherokee medical center,cherokee,496,48
cherokee medical center,cherokee,497,48
cherokee medical center,cherokee,498,48
cherokee medical center,cherokee,499,48
cherokee medical center,cherokee,500,48
cherokee medical center,cherokee,501,48
cherokee medical center,chxrokxx,502,49
cherokee medical center,cherokee,503,48
cherokee medical center,cherokee,504,48
cherokee medical center,cherokee,505,48
cherokee medical center,cherokee,506,48
cherokee medical center,cherokee,507,48
cherokee medical center,cherokee,508,48
cherokee medical center,cherokee,509,48
cherokee medical center,cherokee,510,48
cherokee medical center,cherokee,511,48
cherokee medical center,cherokee,512,48
cherokee medical center,chxrokxx,513,49
cherokee medical center,cherokee,514,48
cherokee medical center,cherokee,515,48
baptist medical center south,montgomery,516,50
baptist medical center south,montgomery,517,50
baptist medical center south,montgomery,518,50
baptist medical center south,montgomery,519,50
baptist medical center south,montgomery,520,50
baptist medical center south,montgomery,521,50
baptist medical center south,montgomery,522,50
baptist medical center south,montgomery,523,50
baptist medical center south,montgomery,524,50
baptist medical center south,montgomery,525,50
baptist medical center south,montgomery,526,50
baptist medical center south,monxgomery,527,51
baptist medical center south,montgomery,528,50
baptist medical center south,montgomery,529,50
baptist medical center south,montgomery,530,50
baptist medical center south,montgomery,531,50
baptist medical cexter south,montgomery,532,52
baptist medical center south,montgomery,533,50
baptist medical center south,montgomery,534,50
baptist medical center south,montgomery,535,50
baptist medical center south,montgomery,536,50
baptist medical center south,montgomery,537,50
baptist medical center south,montgomery,538,50
baptist medical center south,montgomery,539,50
baptist medical center south,montgomexy,540,53
jackson hospital & clinic inc,montgomery,541,54
jackson hospital & clinic inc,montgomery,542,54
jackson hospital & clinic inc,montgomery,543,54
jackson hospital & clinic inc,montgomery,544,54
jackson hospital & clinic inc,montgomery,545,54
jackson hospital & clinic inc,montgomery,546,54
jackson hospital & clinic inc,montgomery,547,54
jackson hospital & clinic inc,montgomery,548,54
jackson hospital & clinic inc,montgomery,549,54
jackson hospital & clinic inc,montgomery,550,54
jackson hospital & clinic inc,monxgomery,551,55
jackson hospital & clinic inc,montgomery,552,54
jackson hospital & clinic inc,montgomery,553,54
jackson hospital & clinic inc,montgomery,554,54
jackson hospital & clinic inc,montgomery,555,54
jackson hospital & clinic inc,montgomery,556,54
jackson hospital & clinic inc,montgomery,557,54
jackson hospital & clinic inc,montgomery,558,54
jackson hospital & clinic inc,montgomery,559,54
jaxkson hospital & xlinix inx,montgomery,560,56
jackson hospital & clinic inc,montgomery,561,54
jackson hospital & clinic inc,montgomery,562,54
jackson hospital & clinic inc,montgomery,563,54
jackson hospital & clinic inc,montgomery,564,54
jackson hospital & clinic inc,montgomery,565,54
g h lanier memorial hospital,chambers,566,57
g h lanier memorial hospital,chambers,567,57
g h lanier memorial hospital,chambers,568,57
g h lanier memorial hospital,chambers,569,57
g h lanier memorial hospital,chambers,570,57
g h lanier memorial hospital,chambers,571,57
g h lanier memorial hospital,chambers,572,57
g h lanier memorial hospital,chambers,573,57
g h lanier memorial hospital,chambers,574,57
g h lanier memorial hospital,chambers,575,57
g h lanier memorial hospital,chambers,576,57
g h lanier memorial hospital,chambers,577,57
g h lanier memorial hospital,xhambers,578,58
g h lanier memorial hospital,chambers,579,57
g h lanier memorial hospital,chambers,580,57
g h lanier memorial hospital,chambers,581,57
g h lanier memorial hospital,chambers,582,57
g h lanier memorial hospital,chambers,583,57
g h lanier memorial hospital,chambers,584,57
g h lanier memorial hospital,chambers,585,57
g h lanier memorial hospital,chambers,586,57
g h lanier memorial hospital,chambers,587,57
g h lanier memorial hospital,chambers,588,57
g h lanier memorial hospital,chambers,589,57
g h lanier memorial hospital,chaxbers,590,59
elba general hospital,coffee,591,60
elba general hospital,coffee,592,60
elba general hospital,coffee,593,60
elba general hospital,coffee,594,60
elba general hospital,coffee,595,60
elba general hospital,coffee,596,60
elba general hospital,coffee,597,60
elba general hospital,coffee,598,60
elba general hospital,coffee,599,60
elba general hospital,coffee,600,60
elba general hospital,coffee,601,60
elba general hospital,coffxx,602,61
elba general hospital,coffee,603,60
elba general hospital,coffee,604,60
elba general hospital,coffee,605,60
elba general hospital,coffee,606,60
elba general hospital,coffee,607,60
elba general hospital,coffee,608,60
elba general hospital,coffee,609,60
elba general hospital,coffee,610,60
elba general hospital,coffee,611,60
elba general hospital,coffee,612,60
elba general hospital,coffee,613,60
elba general hospital,coffee,614,60
elba general hospital,coffee,615,60
east alabama medical center and snf,lee,616,62
east alabama medical center and snf,lee,617,62
east alabama medical center and snf,lee,618,62
east alabama medical center and snf,lee,619,62
east alabama medical center and snf,lee,620,62
east alabama medical center and snf,lee,621,62
east alabama medical center and snf,lee,622,62
east alabama medical center and snf,lee,623,62
east alabama medical center and snf,lee,624,62
east alabama medical center and snf,lee,625,62
east alabama medical center and snf,lee,626,62
east alabama medical center and snf,lee,627,62
east alabama medical center and snf,lee,628,62
east alabama medical center and snf,lee,629,62
east alabama medical center and snf,lee,630,62
east alabama medical center and snf,lee,631,62
east alabama medical center and snf,lee,632,62
east alabama medical center and snf,xee,633,63
east alabama medical center and snf,lee,634,62
east alabama medical center and snf,lee,635,62
east alabama medical center and snf,lee,636,62
east alabama medical center and snf,lee,637,62
east alabama medical center and snf,lee,638,62
east alabama medical center and snf,lee,639,62
east alabama medical center and snf,lee,640,62
wedowee hospital,randolph,641,64
wedowee hospital,randolph,642,64
wedowee hospital,randolph,643,64
wedowee hospital,randolph,644,64
wedowee hospital,randolph,645,64
wedowee hospital,randolph,646,64
wedowee hospital,randolph,647,64
wedowee hospital,randolph,648,64
wedowee hospital,randolph,649,64
wedowee hospital,randolph,650,64
wedowee hospital,randolph,651,64
wedowee hospital,randolph,652,64
wedowee hospital,randolph,653,64
wedowee hosxital,randolph,654,65
wedowee hospital,randolph,655,64
wedowee hospital,randolph,656,64
wedowee hospital,randolph,657,64
wedowee hospital,randolph,658,64
wedowee hospital,randolph,659,64
wedowee hospital,randolph,660,64
wedowee hospital,randolph,661,64
wedowee hospital,randolph,662,64
wedowee hospital,randolph,663,64
wedowee hospital,randolph,664,64
wedowee hospital,randolph,665,64
university of alabama hospital,jefferson,666,66
university of alabama hospital,jefferson,667,66
university of alabama hospital,jefferson,668,66
university of alabama hospital,jefferson,669,66
university of alabama hospital,jefferson,670,66
university of alabama hospital,jefferson,671,66
university of alabama hospital,jxffxrson,672,67
university of alabama hospital,jefferson,673,66
university of alabama hospital,jefferson,674,66
university of alabama hospital,jefferson,675,66
university of alabama hospital,jefferson,676,66
university of alabama hospital,jefferson,677,66
university of alabama hospital,jefferson,678,66
university of alabama hospital,jefferson,679,66
university of alabama hospital,jefferson,680,66
university of alabama hospital,jefferson,681,66
university of alabama hospital,jefferson,682,66
university of alabama hospital,jefferson,683,66
university of alabama hospital,jefferson,684,66
university of alabama hospital,jefferson,685,66
university of alabama hospital,jefferson,686,66
university of alabama hospital,jefferson,687,66
university of alabama hospital,jefferson,688,66
university of alabama hospital,jexxerson,689,68
university of alabama hospital,jefferson,690,66
community hospital inc,elmore,691,69
community hospital inc,elmoxe,692,70
community hospital inc,elmore,693,69
community hospital inc,elmore,694,69
community hospital inc,elmore,695,69
community hospital inc,elmore,696,69
communitx hospital inc,elmore,697,71
community hospital inc,elxore,698,72
community hospital inc,elmore,699,69
community hospital inc,elmore,700,69
community hospital inc,elmore,701,69
community hospital inc,elmore,702,69
community hospital inc,elmore,703,69
community hospital inc,elmore,704,69
community hospital inc,elmore,705,69
community hospital inc,elmore,706,69
community hospital inc,elmore,707,69
community hospital inc,elmore,708,69
community hospital inc,elmore,709,69
communixy hospixal inc,elmore,710,73
community hospital inc,elmore,711,69
community hospital inc,elmore,712,69
community hospital inc,elmore,713,69
community hospital inc,elmore,714,69
community hospital inc,elmore,715,69
cullman regional medical center,cullman,716,74
cullman regional medical center,cullman,717,74
cullman regional medical center,cullman,718,74
cullman regional medical center,cullman,719,74
cullman regional medical center,cullman,720,74
cullman regional medical center,cullman,721,74
cullman regional medical center,cxllman,722,75
cullman regional medical center,cullman,723,74
cullman regional medical center,cullman,724,74
cullman regional medical center,cullman,725,74
cullman regional medical center,cullman,726,74
cullman regional medical center,cullman,727,74
cullman regional medical center,cullman,728,74
cullman regional medical center,cullman,729,74
cullmxn regionxl medicxl center,cxllman,730,76
cullman regional medical center,cullman,731,74
cullman regional medical center,cullman,732,74
cullman regional medical center,cullman,733,74
cullman regional medical center,cullman,734,74
cullman regional medical center,cullman,735,74
cullman regional medical center,cullman,736,74
cullman regional medical center,cullman,737,74
cullman regional medical center,cullman,738,74
cullman regional medical center,cullman,739,74
cullman regional medical center,cullman,740,74
andalusia regional hospital,covington,741,77
andalusia regional hospital,covington,742,77
andalusia regional hospital,covington,743,77
andalusia regional hospital,covington,744,77
andalusia regional hospital,covington,745,77
andalusia regional hospital,covington,746,77
andalusia regional hospital,covington,747,77
andalusia regional hospital,covington,748,77
andalusia regional hospital,covington,749,77
andalusia regional hospital,covington,750,77
andalusia regional hospital,covington,751,77
andalusia regional hospital,coxington,752,78
andalusia regional hospital,covington,753,77
andalusia regional hospital,covington,754,77
andalusia regional hospital,covington,755,77
andalusia regional hospital,covington,756,77
andalusia regional hospital,covington,757,77
andaxusia regionax hospitax,covington,758,79
andalusia regional hospital,covington,759,77
andalusia regional hospital,covington,760,77
andalusia regional hospital,covington,761,77
andalusia regional hospital,covington,762,77
andalusia regional hospital,covington,763,77
andalusia regional hospital,covington,764,77
andaluxia regional hoxpital,covington,765,80
stringfellow memorial hospital,calhoun,766,25
stringfellow memorial hospital,calhoun,767,25
stringfellow memorial hospital,calhoun,768,25
stringfellow memorial hospital,calhoun,769,25
stringfellow memorial hospital,calhoun,770,25
stringfellow memorial hospital,calhoun,771,25
stringfellow memorial hospital,calhoun,772,25
stringfellow memorial hospital,calhoun,773,25
huntsville hospital,madison,774,81
huntsville hospital,madison,775,81
huntsville hospital,madison,776,81
huntsvxlle hospxtal,madison,777,82
huntsville hospital,madison,778,81
huntsville hospital,madison,779,81
huntsville hospital,madison,780,81
huntsville hospital,madison,781,81
huntsville hospital,madison,782,81
huntsville hospital,madison,783,81
huntsville hospital,madison,784,81
huntsville hospital,madisxn,785,83
huntsville hospital,madison,786,81
huntsville hospital,madison,787,81
huntsville hospital,madison,788,81
huntsville hospital,madison,789,81
