Address1,PhoneNumber,original_index,unique_index,count
2505 u s highway 431 north,2565938310,50,5,22
2505 u s highway 431 north,2565938310,51,5,22
2505 u s highway 431 north,2565938310,52,5,22
2505 u s highway 431 north,2565938310,53,5,22
2505 u s highway 431 north,2565938310,54,5,22
2505 u s highway 431 north,2565938310,55,5,22
2505 u s highway 431 north,2565938310,56,5,22
2505xuxsxhighwayx431xnorth,2x6x938310,57,6,1
2505 u s highway 431 north,2565938310,58,5,22
2505 u s highway 431 north,2565938310,59,5,22
2505 u s highway 431 north,2x6x938310,60,7,1
2505 u s highway 431 north,2565938310,61,5,22
2505 u s highway 431 north,2565938310,62,5,22
2505 u s highway 431 north,2565938310,63,5,22
2505 u s highway 431 north,2565938310,64,5,22
2505 u s highway 431 north,2565x38310,65,8,1
2505 u s highway 431 north,2565938310,66,5,22
2505 u s highway 431 north,2565938310,67,5,22
2505 u s highway 431 north,2565938310,68,5,22
205 marengo street,2567688400,69,9,25
205 marengo street,2567688400,70,9,25
205 marengo street,2567688400,71,9,25
205 marengo street,2567688400,72,9,25
205 marengo street,2567688400,73,9,25
205 marengo street,2567688400,74,9,25
205 marengo street,2567688400,75,9,25
205 marengo street,2567688400,76,9,25
205 marengo street,2567688400,77,9,25
205 marengo street,2567688400,78,9,25
205 marengo street,2567688400,79,9,25
205 marengo street,2567688400,80,9,25
205 marengo street,2567688400,81,9,25
205 marengo street,2567688400,82,9,25
205 marengo street,2567688400,83,9,25
205 marengo street,2567688400,84,9,25
205 marengo street,2567688400,85,9,25
205 marengo street,2567688400,86,9,25
205 marengo street,2567688400,87,9,25
205 marengo street,2567688400,88,9,25
205 marengo street,2567688400,89,9,25
205 marengo street,2567688400,90,9,25
205 marengo street,2567688400,91,9,25
205 marengo street,2567688400,92,9,25
205 marengo street,2567688400,93,9,25
702xnxmainxst,3344933541,94,10,1
702 n main st,3344933541,95,11,22
702 n main st,3344933541,96,11,22
702 n main st,3344933541,97,11,22
702 n main st,3344933541,98,11,22
702 n main st,3344933541,99,11,22
702 n main st,3344933541,100,11,22
702 n main st,3344x33541,101,12,1
702 n main st,3344933541,102,11,22
702 n main st,3344933541,103,11,22
702 n main st,3344933541,104,11,22
702 n main st,3344933541,105,11,22
702 x maix st,3344933541,106,13,1
702 n main st,3344933541,107,11,22
702 n main st,3344933541,108,11,22
702 n main st,3344933541,109,11,22
702 n main st,3344933541,110,11,22
702 n main st,3344933541,111,11,22
702 n main st,3344933541,112,11,22
702 n main st,3344933541,113,11,22
702 n main st,3344933541,114,11,22
702 n main st,3344933541,115,11,22
702 n main st,3344933541,116,11,22
702 n main st,3344933541,117,11,22
702 n main st,3344933541,118,11,22
101 hospital circle,3343353374,119,14,25
101 hospital circle,3343353374,120,14,25
101 hospital circle,3343353374,121,14,25
101 hospital circle,3343353374,122,14,25
101 hospital circle,3343353374,123,14,25
101 hospital circle,3343353374,124,14,25
101 hospital circle,3343353374,125,14,25
101 hospital circle,3343353374,126,14,25
101 hospital circle,3343353374,127,14,25
101 hospital circle,3343353374,128,14,25
101 hospital circle,3343353374,129,14,25
101 hospital circle,3343353374,130,14,25
101 hospital circle,3343353374,131,14,25
101 hospital circle,3343353374,132,14,25
101 hospital circle,3343353374,133,14,25
101 hospital circle,3343353374,134,14,25
101 hospital circle,3343353374,135,14,25
101 hospital circle,3343353374,136,14,25
101 hospital circle,3343353374,137,14,25
101 hospital circle,3343353374,138,14,25
101 hospital circle,3343353374,139,14,25
101 hospital circle,3343353374,140,14,25
101 hospital circle,3343353374,141,14,25
101 hospital circle,3343353374,142,14,25
101 hospital circle,3343353374,143,14,25
201 pine street northwest,2567736511,144,15,24
201 pine street northwest,2567736511,145,15,24
201 pine street northwest,2567736511,146,15,24
201 pine street northwest,2567736511,147,15,24
201 pine street northwest,2567736511,148,15,24
201 pine street northwest,2567736511,149,15,24
201 pine street northwest,2567736511,150,15,24
201 pine street northwest,2567736511,151,15,24
201 pine street northwest,2567736511,152,15,24
201 pine street northwest,2567736511,153,15,24
201 pine street northwest,2567736511,154,15,24
201 pine street northwest,2567736511,155,15,24
201 pine street northwest,2567736511,156,15,24
201 pine street northwest,2567736511,157,15,24
201 pine street northwest,2567736511,158,15,24
201 pine street northwest,2567736511,159,15,24
201 pine street northwest,2567736511,160,15,24
201 pine sxreex norxhwesx,2567736511,161,16,1
201 pine street northwest,2567736511,162,15,24
201 pine street northwest,2567736511,163,15,24
201 pine street northwest,2567736511,164,15,24
201 pine street northwest,2567736511,165,15,24
201 pine street northwest,2567736511,166,15,24
201 pine street northwest,2567736511,167,15,24
201 pine street northwest,2567736511,168,15,24
8000 alabama highway 69,2565718000,169,17,24
8000 alabama highway 69,2565718000,170,17,24
8000 alabama highway 69,2565718000,171,17,24
8000 alabama highway 69,2565718000,172,17,24
8000 alabama highway 69,2565718000,173,17,24
8000 alabama highway 69,2565718000,174,17,24
8000 alabama xigxway 69,2565718000,175,18,1
8000 alabama highway 69,2565718000,176,17,24
8000 alabama highway 69,2565718000,177,17,24
8000 alabama highway 69,2565718000,178,17,24
8000 alabama highway 69,2565718000,179,17,24
8000 alabama highway 69,2565718000,180,17,24
8000 alabama highway 69,2565718000,181,17,24
8000 alabama highway 69,2565718000,182,17,24
8000 alabama highway 69,2565718000,183,17,24
8000 alabama highway 69,2565718000,184,17,24
8000 alabama highway 69,2565718000,185,17,24
8000 alabama highway 69,2565718000,186,17,24
8000 alabama highway 69,2565718000,187,17,24
8000 alabama highway 69,2565718000,188,17,24
8000 alabama highway 69,2565718000,189,17,24
8000 alabama highway 69,2565718000,190,17,24
8000 alabama highway 69,2565718000,191,17,24
8000 alabama highway 69,2565718000,192,17,24
8000 alabama highway 69,2565718000,193,17,24
50 medical park east drive,2058383122,194,19,24
50 medical park east drive,2058383122,195,19,24
50 medical park east drive,2058383122,196,19,24
50 medical park east drive,2058383122,197,19,24
50 medical park east drive,2058383122,198,19,24
50 medical park east drive,2058383122,199,19,24
50 medical park east drive,2058383122,200,19,24
50 medical park east drive,2058383122,201,19,24
50 medical park east drive,2058383122,202,19,24
50 medical park east drive,2058383122,203,19,24
50 medical park east drive,2058383122,204,19,24
50 medical park east drive,2058383122,205,19,24
50 medical park east drive,2058383122,206,19,24
50 medical park east drive,2058383122,207,19,24
50 medical park east drive,2058383122,208,19,24
50 medical park east drive,2058383122,209,19,24
50 medical park east drive,2058383122,210,19,24
50 medical park east drive,2058383122,211,19,24
50 medical park east drive,2058383122,212,19,24
50 medical park east drive,2058383122,213,19,24
50 medical park east drive,2058383122,214,19,24
50 medical park east drive,2058383122,215,19,24
50 medical park east drive,2058383122,216,19,24
50 medical park east drive,2058x8x122,217,20,1
50 medical park east drive,2058383122,218,19,24
200 med center drive,2568453150,219,21,24
200 med center drive,2568453150,220,21,24
200 med center drive,2568453150,221,21,24
200 med center drive,2568453150,222,21,24
200 med center drive,2568453150,223,21,24
200 med center drive,2568453150,224,21,24
200 med center drive,2568453150,225,21,24
200 med center drive,2568453150,226,21,24
200 med center drive,2568453150,227,21,24
200 med center drive,2568453x50,228,22,1
200 med center drive,2568453150,229,21,24
200 med center drive,2568453150,230,21,24
200 med center drive,2568453150,231,21,24
200 med center drive,2568453150,232,21,24
200 med center drive,2568453150,233,21,24
200 med center drive,2568453150,234,21,24
200 med center drive,2568453150,235,21,24
200 med center drive,2568453150,236,21,24
200 med center drive,2568453150,237,21,24
200 med center drive,2568453150,238,21,24
200 med center drive,2568453150,239,21,24
200 med center drive,2568453150,240,21,24
200 med center drive,2568453150,241,21,24
200 med center drive,2568453150,242,21,24
200 med center drive,2568453150,243,21,24
33700 highway 43,3346366221,244,23,21
33700 highway 43,3346366221,245,23,21
33700 highway 43,3346366221,246,23,21
33700 highway 43,xx46x66221,247,24,1
33700 highway 43,3346366221,248,23,21
33700 highway 43,3346366221,249,23,21
33700 highway 43,3346366221,250,23,21
33700 highway 43,3346366221,251,23,21
33700 highway 43,3346366221,252,23,21
33700 highway 43,3346366221,253,23,21
33700 highway 43,3346366221,254,23,21
33700 highway 43,3346366221,255,23,21
33700 highway 43,3346366221,256,23,21
33700 highway 43,3346366221,257,23,21
33700 highway 43,3346366221,258,23,21
33700 highway 43,3346366221,259,23,21
33700 hxghway 43,3346366221,260,25,1
33700 highway 43,334x3xx221,261,26,1
33700 highway 43,3346366221,262,23,21
33700 highway 43,3346366221,263,23,21
33700 highway x3,3346366221,264,27,1
33700 highway 43,3346366221,265,23,21
33700 highway 43,3346366221,266,23,21
33700 highway 43,3346366221,267,23,21
33700 highway 43,3346366221,268,23,21
1000 first street north,2056208100,269,28,24
1000 first street north,2056208100,270,28,24
1000 first street north,2056208100,271,28,24
1000 first street north,2056208100,272,28,24
1000 first street north,2056208100,273,28,24
1000 first street north,2056208100,274,28,24
1000 fixst stxeet noxth,2056208100,275,29,1
1000 first street north,2056208100,276,28,24
1000 first street north,2056208100,277,28,24
1000 first street north,2056208100,278,28,24
1000 first street north,2056208100,279,28,24
1000 first street north,2056208100,280,28,24
1000 first street north,2056208100,281,28,24
1000 first street north,2056208100,282,28,24
1000 first street north,2056208100,283,28,24
1000 first street north,2056208100,284,28,24
1000 first street north,2056208100,285,28,24
1000 first street north,2056208100,286,28,24
1000 first street north,2056208100,287,28,24
1000 first street north,2056208100,288,28,24
1000 first street north,2056208100,289,28,24
1000 first street north,2056208100,290,28,24
1000 first street north,2056208100,291,28,24
1000 first street north,2056208100,292,28,24
1000 first street north,2056208100,293,28,24
1720 university blvd,2053258100,294,0,24
1720 univxrsity blvd,2053258100,295,30,1
1720 university blvd,2053258100,296,0,24
1720 university blvd,2053258100,297,0,24
1720 university blvd,2053258100,298,0,24
1720 university blvd,2053258100,299,0,24
1720 university blvd,2053258100,300,0,24
1720 university blvd,2053258100,301,0,24
1720 university blvd,2053258100,302,0,24
1720 university blvd,2053258100,303,0,24
1720 university blvd,2053258100,304,0,24
1720 university blvd,2053258100,305,0,24
1720 university blvd,2053258100,306,0,24
1720 university blvd,2053258100,307,0,24
1720 university blvd,2053258100,308,0,24
1720 university blvd,2053258100,309,0,24
1720 university blvd,2053258100,310,0,24
301 east 18th st,2562358900,311,31,25
301 east 18th st,2562358900,312,31,25
301 east 18th st,2562358900,313,31,25
301 east 18th st,2562358900,314,31,25
301 east 18th st,2562358900,315,31,25
301xeastx18thxst,2562358900,316,32,1
301 east 18th st,2562358900,317,31,25
301 east 18th st,2562358900,318,31,25
301 east 18th st,2562358900,319,31,25
301 east 18th st,2562358900,320,31,25
301 east 18th st,256235x900,321,33,1
301 east 18th st,2562358900,322,31,25
301 east 18th st,2562358900,323,31,25
301 east 18th st,2562358900,324,31,25
301 east 18th st,2562358900,325,31,25
301 east 18th st,2562358900,326,31,25
301 east 18th st,2562358900,327,31,25
301 east 18th st,2562358900,328,31,25
301 east 18th st,2562358900,329,31,25
301 east 18th st,2562358900,330,31,25
4370 west main street,3347935000,331,34,15
4370 west main street,3347935000,332,34,15
4370 west main street,3347935000,333,34,15
4370xwestxmainxstreet,3347935000,334,35,1
4370 west main street,3347935000,335,34,15
4370 west main street,3347935000,336,34,15
4370 west main street,3347935000,337,34,15
4370 west main street,3347935000,338,34,15
4370 west main street,3347935000,339,34,15
4370 west main street,3347935000,340,34,15
4370 west main street,3347935000,341,34,15
4370 west main street,xx479x5000,342,36,1
4370 west main street,3347935000,343,34,15
4370 west main street,3347935000,344,34,15
4370 west main street,3347935000,345,34,15
4370 west main street,3347935000,346,34,15
4370 west main street,3347935000,347,34,15
810 st vincents drive,2059397000,348,37,4
810 st vincents drive,2059397000,349,37,4
810 st vxncents drxve,2059397000,350,38,1
810 st vincents drive,2059397000,351,37,4
810 st vincents drive,2059397000,352,37,4
1201 7th street se,2563412000,353,39,1
1530 u s highway 43,2054877736,354,40,24
1530 u s highway 43,2054877736,355,40,24
1530 u s highway 43,2054877736,356,40,24
1530 u s highway 43,2054877736,357,40,24
1530 u s highway 43,2054877736,358,40,24
1530 u s highway 43,2054877736,359,40,24
1530 u s highway 43,2054877736,360,40,24
1530 u s highway 43,2054877736,361,40,24
1530 u s highway 43,2054877736,362,40,24
1530xuxsxhighwayx43,2054877736,363,41,1
1530 u s highway 43,2054877736,364,40,24
1530 u s highway 43,2054877736,365,40,24
1530 u s highway 43,2054877736,366,40,24
1530 u s highway 43,2054877736,367,40,24
1530 u s highway 43,2054877736,368,40,24
1530 u s highway 43,2054877736,369,40,24
1530 u s highway 43,2054877736,370,40,24
1530 u s highway 43,2054877736,371,40,24
1530 u s highway 43,2054877736,372,40,24
1530 u s highway 43,2054877736,373,40,24
1530 u s highway 43,2054877736,374,40,24
1530 u s highway 43,2054877736,375,40,24
1530 u s highway 43,2054877736,376,40,24
1530 u s highway 43,2054877736,377,40,24
1530 u s highway 43,2054877736,378,40,24
2451 fillingim street,2514717110,379,42,10
2451 fillingim street,2514717110,380,42,10
2451 fillingim street,25x47x7xx0,381,43,3
2451 fillingim street,2514717110,382,42,10
2451 fillingim street,2514717110,383,42,10
2451 fillingim street,25x47x7xx0,384,43,3
2451 fillingim street,2514717110,385,42,10
2451 fillingim street,25x47x7xx0,386,43,3
2451 fillingim street,2514717110,387,42,10
2451 fillingim street,2514717110,388,42,10
2451 fillingim street,2514717110,389,42,10
2451 fillingim street,2514717110,390,42,10
2451 fillingim street,2514717110,391,42,10
124 s memorial dr,3343614267,392,44,18
124xsxmemorialxdr,33x361x267,393,45,1
124 s memorial dr,3343614267,394,44,18
124 s memorial dr,3343614267,395,44,18
124 s memorial dr,3343614267,396,44,18
124 s memorial dr,3343614267,397,44,18
124 s memorial dr,3343614267,398,44,18
124 s memorial dr,3343614267,399,44,18
124 s memorial dr,3343614267,400,44,18
124 s memorial dr,3343614267,401,44,18
124 s memorial dr,3343614267,402,44,18
124 s memorial dr,3343614267,403,44,18
124 s memorial dr,3343614267,404,44,18
124 s memorial dr,3343614267,405,44,18
124 s memorial dr,3343614267,406,44,18
124 s memorial dr,3343614267,407,44,18
124 s memorial dr,3343614267,408,44,18
124 s memorial dr,3343614267,409,44,18
124 s memorial dr,3343614267,410,44,18
124 s mxmorial dr,3343614267,411,46,1
15155 highway 43,2563321611,412,47,2
15155 highway 43,2563321611,413,47,2
315 w hickory st,2562495000,414,48,16
315 w hickxry st,2562495000,415,49,1
315 w hickory st,2562495000,416,48,16
315 w hickory st,2562495000,417,48,16
315 w hickory st,2562495000,418,48,16
315 w hickory st,2562495000,419,48,16
315 w hickory st,2562495000,420,48,16
315 w hickory st,2562495000,421,48,16
315 w hickory st,2562495000,422,48,16
315 w hickory st,2562495000,423,48,16
315 w hickory st,2562495000,424,48,16
315 w hickory st,2562495000,425,48,16
315 w hickory st,2562495000,426,48,16
315 w hickory st,2562495000,427,48,16
315 w hickory st,2562495000,428,48,16
315 w hickory st,2562495000,429,48,16
315 w hickory st,2562495000,430,48,16
315xwxhickoryxst,2562495000,431,50,1
2801 debarr road,9072761131,432,51,18
2801 debarr road,9072761131,433,51,18
2801 debarr road,9072761131,434,51,18
2801 debarr road,9072761131,435,51,18
2801 debarr road,9072761131,436,51,18
2801 debarr road,9072761131,437,51,18
2801 debarr road,9072761131,438,51,18
2801 debarr road,9072761131,439,51,18
2801 debarr road,9072761131,440,51,18
2801 debarr road,9072761131,441,51,18
2801 debarr road,9072761131,442,51,18
2801 debarr road,9072761131,443,51,18
2801 debarr road,9072761131,444,51,18
2801 debarr road,9072761131,445,51,18
2801 debarr road,9072761131,446,51,18
2801 debarr road,9072761131,447,51,18
2801 debarr road,9072761131,448,51,18
2801 debarr road,9072761131,449,51,18
po box 287,9075436300,450,52,1
poxboxx287,9075436300,451,53,1
1300 south montgomery avenue,2563864556,452,1,25
1300 south montgomery avenue,2563864556,453,1,25
1300 south montgomery avenue,2563864556,454,1,25
1300 south montgomery avenue,2563864556,455,1,25
1300 south montgomery avenue,2563864556,456,1,25
1300 south montgomery avenue,2563864556,457,1,25
1300 south montgomery avenue,2563864556,458,1,25
1300 south montgomery avenue,2563864556,459,1,25
1300 south montgomery avenue,2563864556,460,1,25
1300 south montgomery avenue,2563864556,461,1,25
1300 south montgomery avenue,2563864556,462,1,25
1300 south montgomery avenue,2563864556,463,1,25
1300 south montgomery avenue,2563864556,464,1,25
1300 south montgomery avenue,2563864556,465,1,25
126 hospital ave,3347742601,466,54,22
126 hospital ave,3347742601,467,54,22
126 hospital ave,3347742601,468,54,22
126 hospital ave,3347742601,469,54,22
126 hospital ave,3347742601,470,54,22
126 hospital ave,334774x601,471,55,1
126xhospitalxave,3347742601,472,56,1
126 hospital ave,3347742601,473,54,22
126 hospital ave,3347742601,474,54,22
126 hospital ave,3347742601,475,54,22
126 hospital ave,3347742601,476,54,22
126 hospital ave,3347742601,477,54,22
126 hospital ave,3347742601,478,54,22
126 hospital ave,3347742601,479,54,22
126 hospital ave,3347742601,480,54,22
126 hospital ave,3347742601,481,54,22
126 hospital ave,3347742601,482,54,22
126 hospital ave,3347742601,483,54,22
1x6 hospital ave,3347742601,484,57,1
126 hospital ave,3347742601,485,54,22
126 hospital ave,3347742601,486,54,22
126 hospital ave,3347742601,487,54,22
126 hospital ave,3347742601,488,54,22
126 hospital ave,3347742601,489,54,22
126 hospital ave,3347742601,490,54,22
400 northwood dr,2569275531,491,58,25
400 northwood dr,2569275531,492,58,25
400 northwood dr,2569275531,493,58,25
400 northwood dr,2569275531,494,58,25
400 northwood dr,2569275531,495,58,25
400 northwood dr,2569275531,496,58,25
400 northwood dr,2569275531,497,58,25
400 northwood dr,2569275531,498,58,25
400 northwood dr,2569275531,499,58,25
400 northwood dr,2569275531,500,58,25
400 northwood dr,2569275531,501,58,25
400 northwood dr,2569275531,502,58,25
400 northwood dr,2569275531,503,58,25
400 northwood dr,2569275531,504,58,25
400 northwood dr,2569275531,505,58,25
400 northwood dr,2569275531,506,58,25
400 northwood dr,2569275531,507,58,25
400 northwood dr,2569275531,508,58,25
400 northwood dr,2569275531,509,58,25
400 northwood dr,2569275531,510,58,25
400 northwood dr,2569275531,511,58,25
400 northwood dr,2569275531,512,58,25
400 northwood dr,2569275531,513,58,25
400 northwood dr,2569275531,514,58,25
400 northwood dr,2569275531,515,58,25
2105 east south boulevard,3342xx2100,516,59,1
2105 east south boulevard,3342882100,517,60,24
2105 east south boulevard,3342882100,518,60,24
2105 east south boulevard,3342882100,519,60,24
2105 east south boulevard,3342882100,520,60,24
2105 east south boulevard,3342882100,521,60,24
2105 east south boulevard,3342882100,522,60,24
2105 east south boulevard,3342882100,523,60,24
2105 east south boulevard,3342882100,524,60,24
2105 east south boulevard,3342882100,525,60,24
2105 east south boulevard,3342882100,526,60,24
2105 east south boulevard,3342882100,527,60,24
2105 east south boulevard,3342882100,528,60,24
2105 east south boulevard,3342882100,529,60,24
2105 east south boulevard,3342882100,530,60,24
2105 east south boulevard,3342882100,531,60,24
2105 east south boulevard,3342882100,532,60,24
2105 east south boulevard,3342882100,533,60,24
2105 east south boulevard,3342882100,534,60,24
2105 east south boulevard,3342882100,535,60,24
2105 east south boulevard,3342882100,536,60,24
2105 east south boulevard,3342882100,537,60,24
2105 east south boulevard,3342882100,538,60,24
2105 east south boulevard,3342882100,539,60,24
2105 east south boulevard,3342882100,540,60,24
1725 pine street,3342938000,541,61,22
1725 pine street,3342938000,542,61,22
1725 pine street,3342938000,543,61,22
1725 pine street,3342938000,544,61,22
1725 pine street,3342938000,545,61,22
1725 pine street,3342938000,546,61,22
1725 pine street,3342938000,547,61,22
1725 pine street,3342938xxx,548,62,2
1725 pine street,3342938000,549,61,22
1725 pine street,3342938000,550,61,22
1725 pine street,3342938000,551,61,22
1725 pine street,3342938000,552,61,22
1725 pine street,3342938000,553,61,22
1725 pine street,3342938000,554,61,22
1725 pine street,3342938000,555,61,22
1725 pine street,3342938000,556,61,22
1725 pine street,3342938000,557,61,22
1725 pine street,3342938000,558,61,22
1725 pine street,3342938000,559,61,22
1725 pine street,3342938000,560,61,22
1725 pine street,33x2938000,561,63,1
1725 pine street,3342938xxx,562,62,2
1725 pine street,3342938000,563,61,22
1725 pine street,3342938000,564,61,22
1725 pine street,3342938000,565,61,22
4800 48th st,3347561400,566,64,24
4800 48th st,3347561400,567,64,24
4800 48th st,3347561400,568,64,24
4800 48th st,3347561400,569,64,24
4800 48th st,3347561400,570,64,24
4800 48th st,3347561400,571,64,24
4800 48th st,334x561400,572,65,1
4800 48th st,3347561400,573,64,24
4800 48th st,3347561400,574,64,24
4800 48th st,3347561400,575,64,24
4800 48th st,3347561400,576,64,24
4800 48th st,3347561400,577,64,24
4800 48th st,3347561400,578,64,24
4800 48th st,3347561400,579,64,24
4800 48th st,3347561400,580,64,24
4800 48th st,3347561400,581,64,24
4800 48th st,3347561400,582,64,24
4800 48th st,3347561400,583,64,24
4800 48th st,3347561400,584,64,24
4800 48th st,3347561400,585,64,24
4800 48th st,3347561400,586,64,24
4800 48th st,3347561400,587,64,24
4800 48th st,3347561400,588,64,24
4800 48th st,3347561400,589,64,24
4800 48th st,3347561400,590,64,24
987 drayton street,3348972257,591,66,24
987 drayton street,3348972257,592,66,24
987 drayton street,33x8972257,593,67,1
987 drayton street,3348972257,594,66,24
987 drayton street,3348972257,595,66,24
987 drayton street,3348972257,596,66,24
987 drayton street,3348972257,597,66,24
987 drayton street,3348972257,598,66,24
987 drayton street,3348972257,599,66,24
987 drayton street,3348972257,600,66,24
987 drayton street,3348972257,601,66,24
987 drayton street,3348972257,602,66,24
987 drayton street,3348972257,603,66,24
987 drayton street,3348972257,604,66,24
987 drayton street,3348972257,605,66,24
987 drayton street,3348972257,606,66,24
987 drayton street,3348972257,607,66,24
987 drayton street,3348972257,608,66,24
987 drayton street,3348972257,609,66,24
987 drayton street,3348972257,610,66,24
987 drayton street,3348972257,611,66,24
987 drayton street,3348972257,612,66,24
987 drayton street,3348972257,613,66,24
987 drayton street,3348972257,614,66,24
987 drayton street,3348972257,615,66,24
2000 pepperell parkway,3347493411,616,68,25
2000 pepperell parkway,3347493411,617,68,25
2000 pepperell parkway,3347493411,618,68,25
2000 pepperell parkway,3347493411,619,68,25
2000 pepperell parkway,3347493411,620,68,25
2000 pepperell parkway,3347493411,621,68,25
2000 pepperell parkway,3347493411,622,68,25
2000 pepperell parkway,3347493411,623,68,25
2000 pepperell parkway,3347493411,624,68,25
2000 pepperell parkway,3347493411,625,68,25
2000 pepperell parkway,3347493411,626,68,25
2000 pepperell parkway,3347493411,627,68,25
2000 pepperell parkway,3347493411,628,68,25
2000 pepperell parkway,3347493411,629,68,25
2000 pepperell parkway,3347493411,630,68,25
2000 pepperell parkway,3347493411,631,68,25
2000 pepperell parkway,3347493411,632,68,25
2000 pepperell parkway,3347493411,633,68,25
2000 pepperell parkway,3347493411,634,68,25
2000 pepperell parkway,3347493411,635,68,25
2000 pepperell parkway,3347493411,636,68,25
2000 pepperell parkway,3347493411,637,68,25
2000 pepperell parkway,3347493411,638,68,25
2000 pepperell parkway,3347493411,639,68,25
2000 pepperell parkway,3347493411,640,68,25
209 north main street,2563572111,641,69,24
209 north main street,2563572111,642,69,24
209 north main street,2563572111,643,69,24
209 north main street,2563572111,644,69,24
209 north main street,2563572111,645,69,24
209 north main street,2563572111,646,69,24
209 north main street,2563572111,647,69,24
209 north main street,2563572111,648,69,24
209 north main street,2563572111,649,69,24
209 north main street,2563572111,650,69,24
209 north main street,2563572111,651,69,24
209 xorth maix street,2563572111,652,70,1
209 north main street,2563572111,653,69,24
209 north main street,2563572111,654,69,24
209 north main street,2563572111,655,69,24
209 north main street,2563572111,656,69,24
209 north main street,2563572111,657,69,24
209 north main street,2563572111,658,69,24
209 north main street,2563572111,659,69,24
209 north main street,2563572111,660,69,24
209 north main street,2563572111,661,69,24
209 north main street,2563572111,662,69,24
209 north main street,2563572111,663,69,24
209 north main street,2563572111,664,69,24
209 north main street,2563572111,665,69,24
619 south 19th street,20593xx011,666,71,1
619 south 19th street,2059344011,667,72,24
619 south 19th street,2059344011,668,72,24
619 south 19th street,2059344011,669,72,24
619 south 19th street,2059344011,670,72,24
619 south 19th street,2059344011,671,72,24
619 south 19th street,2059344011,672,72,24
619 south 19th street,2059344011,673,72,24
619 south 19th street,2059344011,674,72,24
619 south 19th street,2059344011,675,72,24
619 south 19th street,2059344011,676,72,24
619 south 19th street,2059344011,677,72,24
619 south 19th street,2059344011,678,72,24
619 south 19th street,2059344011,679,72,24
619 south 19th street,2059344011,680,72,24
619 south 19th street,2059344011,681,72,24
619 south 19th street,2059344011,682,72,24
619 south 19th street,2059344011,683,72,24
619 south 19th street,2059344011,684,72,24
619 south 19th street,2059344011,685,72,24
619 south 19th street,2059344011,686,72,24
619 south 19th street,2059344011,687,72,24
619 south 19th street,2059344011,688,72,24
619 south 19th street,2059344011,689,72,24
619 south 19th street,2059344011,690,72,24
805 friendship road,3342836541,691,73,23
805 friendship road,3342836541,692,73,23
805 friendship road,3342836541,693,73,23
805 friendship road,3342836541,694,73,23
805 friendship road,3342836541,695,73,23
805 friendship road,3342836541,696,73,23
805 friendship road,3342836541,697,73,23
805 friendship road,3342836541,698,73,23
805 friendship road,334x836541,699,74,1
805 friendship road,3342836541,700,73,23
805 friendship road,3342836541,701,73,23
805 friendship road,3342836541,702,73,23
805 friendship road,3342836541,703,73,23
805 friendship road,3342836541,704,73,23
805 friendship road,3342836541,705,73,23
805 friendship road,3342836541,706,73,23
805 friendship road,3342836541,707,73,23
805 friendship road,3342836541,708,73,23
805 friendship road,3342836541,709,73,23
805 friendship road,3342836541,710,73,23
805 friendship road,3342836541,711,73,23
805 friendship road,3342836541,712,73,23
